RegioNaam;@invalid;@blank;D66;CDA;PVV;VVD;SP;PvdA;CU-SGP;GL;PvdD;50+;PPNL;Artikel50;Anti  EU(ro)  Partij;DG;JEZUS LEEFT;ikkiesvooreerlijk.eu;Liberaal Democratische Partij;Aandacht en Eenvoud;IQ, de Rechten-Plichten-Partij;@abs
Aa en Hunze-G1680;10;27;1288;876;702;1483;906;1459;214;626;454;358;24;38;20;20;5;11;6;6;2;11740
Aalburg-G0738;13;8;173;690;599;305;197;145;1855;46;67;91;10;16;12;2;20;3;3;3;0;5329
Aalsmeer-G0358;14;32;1265;1435;1171;1767;479;631;548;326;349;330;71;64;31;19;19;7;5;6;3;13923
Aalten-G0197;13;19;711;2622;649;729;867;571;568;337;260;265;26;29;15;16;6;11;10;2;0;13109
Achtkarspelen-G0059;10;21;364;1979;964;461;641;874;1281;179;140;227;32;31;19;8;33;4;2;3;1;14209
Alblasserdam-G0482;9;6;487;756;827;456;506;559;2005;134;179;158;28;28;18;2;47;2;1;1;4;8508
Albrandswaard-G0613;18;19;1007;914;1438;1211;540;527;478;233;350;235;38;45;37;4;15;7;10;7;3;11761
Alkmaar-G0361;67;132;5256;2584;3398;2987;3307;3657;667;2963;1972;1343;396;193;90;100;48;60;41;29;7;43723
Almelo-G0141;59;41;2157;3583;2509;1503;1890;1736;943;762;537;562;111;63;50;25;36;28;21;21;4;37589
Almere-G0034;153;171;7421;2787;8108;5276;4645;4419;1419;2706;2625;1504;610;391;189;105;121;74;58;40;27;97722
Alphen aan den Rijn-G0484;73;149;5048;5364;4215;4497;2518;2508;3255;1879;1263;1118;270;197;90;37;99;49;39;20;9;48293
Alphen-Chaam-G1723;4;11;395;857;353;520;226;167;17;126;94;186;21;9;7;6;6;5;5;1;0;4592
Ameland-G0060;2;8;129;377;160;227;77;212;41;68;64;26;6;6;11;2;0;0;1;0;0;1324
Amersfoort-G0307;85;175;9605;4839;4337;5296;4083;4328;4974;4549;2003;892;433;232;87;111;102;75;55;42;19;64522
Amstelveen-G0362;58;99;5688;2484;2655;4640;1800;2546;673;2088;1325;1103;234;165;79;66;35;28;38;11;11;33492
Amsterdam-G0363;860;816;51510;8476;16415;19657;19555;29626;2772;33772;12741;3521;3863;1126;372;1155;238;322;306;140;70;374172
Apeldoorn-G0200;83;118;7464;6252;4849;5697;3982;4393;5703;3032;2175;1498;290;240;139;97;104;53;66;28;9;76727
Appingedam-G0003;7;20;303;499;403;236;517;448;201;92;135;162;14;13;10;2;5;3;1;1;3;6568
Arnhem-G0202;97;110;8149;3004;4211;3855;4825;4237;1443;4466;2289;1110;515;221;93;133;53;74;38;22;11;76251
Assen-G0106;36;72;2858;2191;1717;1885;2326;2778;2592;1274;828;560;143;78;91;48;42;16;18;9;5;31862
Asten-G0743;19;18;455;1030;586;498;419;236;28;166;123;1451;13;25;14;8;5;7;5;5;2;7576
Baarle-Nassau-G0744;7;4;195;570;316;218;155;81;11;60;63;127;5;6;6;5;3;0;1;0;2;3457
Baarn-G0308;20;39;1658;1291;949;1409;519;621;585;695;412;302;61;56;33;21;12;9;13;8;4;10346
Barendrecht-G0489;21;43;1818;1924;2273;1790;934;855;1781;533;585;429;90;69;33;11;29;20;9;8;4;21683
Barneveld-G0203;31;29;1054;3596;1926;1651;785;540;8285;337;259;406;65;63;28;16;69;19;8;10;3;20170
Bedum-G0005;12;11;380;821;228;229;330;435;645;223;124;104;28;9;3;9;3;4;3;1;1;4567
Beek-G0888;12;23;831;1033;1041;475;503;329;43;181;168;301;27;19;8;3;4;5;4;4;4;8260
Beemster-G0370;5;6;444;486;353;657;200;297;32;184;151;108;28;24;14;12;1;5;2;3;0;4034
Beesel-G0889;9;14;283;887;864;295;394;260;30;139;93;216;17;29;8;4;3;5;0;2;1;7094
Bellingwedde-G0007;5;8;241;287;464;298;534;402;94;184;160;76;19;10;7;10;5;4;3;3;0;4489
Bergambacht-G0491;8;5;382;514;430;516;233;289;1097;120;118;82;13;15;7;3;8;1;7;0;1;3749
Bergeijk-G1724;4;18;550;1560;675;574;471;300;41;171;156;316;28;28;18;6;2;5;0;3;3;9351
Bergen-G0893;5;16;239;887;690;267;492;171;19;120;90;230;19;6;13;5;2;2;3;1;2;7173
Bergen-G0373;29;31;2115;1305;1244;1785;767;976;141;1039;736;431;67;79;40;32;14;15;5;4;4;13343
Bergen op Zoom-G0748;29;68;2432;2108;3240;2280;1534;1346;216;666;666;984;107;114;41;32;48;21;26;16;8;34888
Berkelland-G1859;21;46;1619;4684;1309;1676;1526;1428;269;665;407;518;93;33;20;19;7;20;19;8;5;20723
Bernheze-G1721;12;7;1036;2368;807;845;1113;398;44;253;167;382;48;21;11;11;3;4;5;2;1;15067
Bernisse-G0568;13;22;501;674;703;598;344;279;250;133;180;160;28;20;15;8;18;1;6;7;1;5984
Best-G0753;18;28;1148;1217;961;1176;705;542;275;310;273;716;61;36;14;15;4;11;4;4;3;14200
Beuningen-G0209;25;19;1114;962;901;952;892;645;75;395;199;325;33;23;9;10;4;8;6;4;3;13220
Beverwijk-G0375;34;45;1466;907;1717;987;979;994;154;625;524;526;100;53;44;15;22;15;14;7;4;20337
Binnenmaas-G0585;13;28;1028;1462;1583;1318;677;761;1376;295;382;293;52;58;31;16;28;9;2;7;1;13404
Bladel-G1728;6;18;541;1419;670;656;508;312;28;196;155;338;19;11;22;11;2;6;10;4;1;10437
Blaricum-G0376;3;10;702;465;388;882;199;238;84;145;145;132;13;17;6;5;4;1;6;1;0;3718
Bloemendaal-G0377;28;23;2383;1128;634;2209;324;647;154;647;489;202;46;45;6;23;7;11;30;5;2;7829
Bodegraven-Reeuwijk-G1901;22;23;1323;2428;1334;1655;513;551;2356;491;288;291;71;50;25;10;36;10;12;8;1;13563
Boekel-G0755;12;8;228;793;321;393;312;125;16;79;89;208;14;4;4;4;0;0;1;5;2;5034
Bonaire-O9001;28;44;281;113;60;200;58;80;20;32;31;25;6;4;1;2;8;343;7;1;5;9876
Borger-Odoorn-G1681;14;15;853;1130;961;984;866;1067;409;337;382;301;52;27;33;30;39;8;11;4;3;12982
Borne-G0147;14;11;844;2094;568;671;667;600;138;347;157;162;30;32;12;5;3;5;3;2;1;10528
Borsele-G0654;20;16;619;1466;826;677;515;442;1991;261;200;205;40;31;20;11;12;7;12;5;2;9803
Boxmeer-G0756;12;39;972;2182;976;979;2151;481;86;354;222;361;48;41;11;21;14;7;8;6;1;13065
Boxtel-G0757;18;58;1323;1551;916;944;1087;651;76;452;271;411;66;29;13;13;8;7;10;7;9;15354
Breda-G0758;102;167;8985;5833;5499;7803;5100;3879;555;3500;1962;1589;477;248;107;97;54;68;55;30;13;91876
Brielle-G0501;11;27;596;629;884;782;622;438;137;191;240;169;34;37;12;1;6;10;4;2;3;8123
Bronckhorst-G1876;24;35;1453;3320;1076;1811;938;1115;458;618;393;400;57;34;22;16;15;7;20;5;1;17594
Brummen-G0213;15;10;902;962;741;933;624;816;172;344;276;209;37;19;16;20;9;5;8;7;2;10618
Brunssum-G0899;18;27;549;901;2204;542;1218;566;122;211;355;382;40;18;18;9;16;7;4;4;9;16061
Bunnik-G0312;11;18;1151;967;404;808;323;581;277;871;244;142;33;23;6;24;8;6;5;3;5;5292
Bunschoten-G0313;12;5;205;1191;660;314;125;114;2540;57;84;104;29;39;7;4;54;4;4;2;2;9461
Buren-G0214;8;25;982;1067;1312;1290;519;848;858;260;321;297;40;30;25;46;11;9;13;9;1;12138
Bussum-G0381;21;34;2709;1123;927;2211;577;898;298;848;530;362;108;70;38;35;18;6;22;10;4;13421
Capelle aan den IJssel-G0502;44;67;2458;1498;3197;1911;1649;1424;2510;619;867;599;124;84;33;39;68;18;15;14;8;33386
Castricum-G0383;30;38;2352;1776;1141;1792;1092;1245;180;1141;618;438;97;56;27;31;9;14;17;6;4;14972
Coevorden-G0109;21;24;1110;2040;1278;1593;981;1437;373;365;368;409;44;52;39;22;24;9;9;8;4;17807
Cranendonck-G1706;15;14;598;1055;1100;626;546;314;45;150;177;457;27;23;13;6;11;9;7;4;0;10816
Cromstrijen-G0611;5;6;518;610;669;572;365;395;565;103;138;162;21;17;16;7;6;4;2;2;0;6022
Cuijk-G1684;11;20;949;1316;854;860;1181;474;45;314;228;364;39;24;20;23;8;7;3;5;2;12192
Culemborg-G0216;14;26;1439;919;1094;996;630;900;461;981;352;246;61;49;17;61;13;7;6;9;0;12294
Dalfsen-G0148;11;18;780;2934;638;869;509;585;1467;310;206;240;23;13;14;8;18;10;8;10;3;12520
Dantumadiel-G1891;16;7;266;1524;639;239;498;550;1175;159;130;149;16;24;15;8;25;4;2;1;1;9408
De Bilt-G0310;30;51;3533;2042;1434;2590;1227;1404;1279;1609;723;386;84;71;19;49;28;15;23;10;12;15882
De Friese Meren-G1921;31;44;1716;3697;1572;2203;1471;1834;900;718;492;580;94;71;54;33;21;21;13;8;10;23983
De Marne-G1663;17;16;250;654;336;322;462;393;398;330;186;105;24;5;9;14;10;5;4;2;3;4599
De Ronde Venen-G0736;52;37;2393;2609;1913;2565;658;862;913;721;463;555;101;118;48;30;27;11;30;6;4;18515
De Wolden-G1690;25;14;980;1632;785;1553;543;828;491;418;284;226;32;27;18;9;9;9;8;8;3;10680
Delft-G0503;75;186;7791;2782;3600;3144;2714;3219;1314;3611;1360;725;583;178;77;86;57;47;56;19;22;42517
Delfzijl-G0010;16;45;531;850;971;515;943;789;578;195;288;326;39;32;39;11;21;6;3;6;1;14129
Den Helder-G0400;41;44;1534;1592;2898;1579;1289;1085;721;514;722;771;140;92;69;32;44;14;11;3;6;31664
Deurne-G0762;13;39;830;1606;1210;1029;953;433;63;331;200;1457;46;24;17;13;5;9;7;4;1;16652
Deventer-G0150;80;96;4888;3785;2538;2990;2467;3804;1143;3143;1245;846;209;130;71;77;37;40;38;15;7;46072
Diemen-G0384;28;32;1220;532;1021;772;804;942;122;741;374;283;128;39;30;20;14;9;15;5;3;12144
Dinkelland-G1774;16;6;638;4104;687;749;341;291;61;212;133;196;34;20;10;8;3;5;5;3;3;12432
Doesburg-G0221;10;8;570;448;435;365;503;350;83;237;146;118;29;14;5;6;3;5;8;5;2;5620
Doetinchem-G0222;30;51;2099;2762;1844;1794;2060;1841;787;1027;561;554;125;66;37;18;22;14;15;7;6;28228
Dongen-G0766;21;19;1015;1278;871;898;663;593;139;253;241;343;36;26;17;13;15;4;4;1;6;13312
Dongeradeel-G0058;14;17;515;2282;590;473;561;658;808;318;256;186;32;45;17;8;29;3;4;4;6;11839
Dordrecht-G0505;99;117;4264;3387;4977;2965;3263;3076;3672;2076;1659;1030;285;199;87;70;101;53;45;24;8;57531
Drechterland-G0498;8;18;776;1037;817;1028;482;422;70;246;200;307;47;53;18;7;5;6;9;8;4;9138
Drimmelen-G1719;18;16;1016;1246;1170;1093;759;544;82;294;278;467;47;32;19;12;3;6;6;6;4;14002
Dronten-G0303;26;38;1360;2720;1553;1776;885;809;1223;514;354;363;69;57;43;20;37;20;10;8;1;17883
Druten-G0225;8;31;704;748;700;676;573;477;50;203;157;284;34;15;9;8;1;1;11;2;3;9299
Duiven-G0226;28;18;1050;1102;912;885;803;593;185;353;227;319;29;23;15;6;11;13;8;2;2;13002
Echt-Susteren-G1711;23;28;802;2275;2297;663;914;549;77;370;379;475;54;32;17;11;10;13;12;1;2;16850
Edam-Volendam-G0385;6;27;686;1539;2864;928;425;417;108;396;297;322;56;76;34;8;18;7;4;4;4;13998
Ede-G0228;62;67;4090;5744;3787;3597;1670;2177;10399;1831;995;912;187;157;69;43;110;29;28;51;4;47264
Eemnes-G0317;12;12;521;536;371;516;241;253;151;133;142;95;23;7;7;1;5;5;2;0;0;3639
Eemsmond-G1651;9;12;390;975;550;408;777;588;782;306;230;153;34;11;14;15;22;4;1;1;1;7206
Eersel-G0770;8;22;778;1503;571;675;447;284;50;215;152;293;25;14;14;11;5;5;4;3;1;9561
Eijsden-Margraten-G1903;18;28;1149;1812;1158;840;628;899;51;497;278;323;36;25;21;29;4;5;11;7;6;12264
Eindhoven-G0772;121;259;10167;6168;7139;5994;6708;5067;1138;5021;2270;3674;829;322;132;203;94;105;92;42;23;108141
Elburg-G0230;10;15;444;1174;698;634;332;292;3279;174;142;208;25;16;23;13;26;4;4;3;0;9624
Emmen-G0114;57;52;2762;4490;4631;2171;3158;3613;1334;996;976;1079;139;131;116;36;54;26;21;18;15;60379
Enkhuizen-G0388;16;24;810;597;737;616;792;535;275;294;273;170;44;32;30;16;7;13;7;5;3;8903
Enschede-G0153;62;133;5993;5322;4722;3625;4144;4236;2271;2889;1311;767;599;188;106;69;79;53;72;19;18;83281
Epe-G0232;27;25;1219;1786;1246;1458;713;944;1393;412;387;418;36;34;39;14;44;9;11;7;3;15352
Ermelo-G0233;21;15;828;1965;893;957;436;448;2753;376;329;258;43;38;25;13;36;11;2;3;3;11030
Etten-Leur-G0777;20;34;1532;1844;1765;1472;1023;771;124;460;389;510;91;56;16;17;53;14;11;7;6;22232
Ferwerderadiel-G1722;3;8;190;781;220;270;242;245;228;84;97;76;9;9;5;5;4;0;0;2;1;4201
Franekeradeel-G0070;11;17;605;1416;610;639;611;782;368;321;203;193;40;21;17;12;16;6;6;6;2;9899
Geertruidenberg-G0779;17;18;613;897;1053;731;542;342;86;224;176;287;41;25;26;4;6;9;4;3;1;11931
Geldermalsen-G0236;15;24;1021;1189;1319;1227;426;679;1488;384;259;296;63;39;30;21;8;3;8;3;2;11383
Geldrop-Mierlo-G1771;26;38;1679;1627;1610;1184;1611;681;187;682;410;1077;94;57;22;27;16;13;14;5;2;18982
Gemert-Bakel-G1652;13;32;733;2001;1152;728;1218;384;43;259;220;637;32;20;11;11;7;5;8;2;1;15080
Gennep-G0907;8;21;580;855;614;520;977;360;40;201;148;170;43;21;6;12;5;10;5;1;2;9001
Giessenlanden-G0689;9;7;418;1172;533;794;308;420;1096;137;112;110;22;12;7;8;38;11;4;0;1;5800
Gilze en Rijen-G0784;10;31;931;1321;1044;927;757;600;51;306;240;445;34;29;13;10;17;4;7;3;2;13107
Goeree-Overflakkee-G1924;42;32;1105;1950;2392;1631;1108;997;5797;440;506;442;60;56;52;17;71;9;5;3;8;20832
Goes-G0664;34;31;1435;1926;1215;1309;1263;1006;1789;576;465;323;84;42;38;24;28;9;24;9;5;17442
Goirle-G0785;15;23;1123;1133;766;931;770;548;41;390;228;321;30;23;17;11;9;10;6;4;3;11673
Gorinchem-G0512;32;28;1329;1004;1359;1166;969;985;1080;510;414;267;86;43;22;15;45;17;7;2;4;16930
Gouda-G0513;54;82;3795;2211;3025;1937;1864;2155;3369;1858;997;540;174;99;51;38;73;22;16;10;6;30832
Graft-De Rijp-G0365;8;8;331;342;270;379;176;216;17;137;150;82;11;12;4;9;1;2;4;2;0;2834
Grave-G0786;5;5;511;635;500;451;610;262;34;182;136;204;24;12;6;6;3;13;2;1;4;5940
Groesbeek-G0241;9;14;789;1103;989;609;814;587;51;486;290;223;48;15;9;12;7;11;2;4;3;9278
Groningen-G0014;118;301;12938;4015;3738;4921;6868;8800;3991;8639;3430;970;1110;357;125;234;99;90;83;48;24;95846
Grootegast-G0015;7;19;229;908;322;271;263;204;608;162;95;88;16;14;3;8;13;4;2;0;2;5947
Gulpen-Wittem-G1729;8;26;606;1391;842;327;506;317;44;373;184;210;26;14;2;5;7;5;5;6;4;7333
Haaksbergen-G0158;9;30;837;2826;757;802;538;542;98;249;193;241;39;25;11;14;9;5;7;7;3;11718
Haaren-G0788;9;11;526;1105;331;570;301;206;48;210;131;178;17;13;10;11;2;5;5;1;3;7002
Haarlem-G0392;106;159;10243;3662;4328;4489;4285;5892;1059;5536;3429;1287;486;217;112;157;76;67;83;29;22;70579
Haarlemmerliede en Spaarnwoude-G0393;5;1;289;246;266;251;127;142;31;115;112;50;21;6;3;5;0;0;4;0;0;2627
Haarlemmermeer-G0394;110;121;5879;4731;6012;6423;2549;3027;1675;2028;1782;1600;304;307;122;58;59;63;67;25;27;68495
Halderberge-G1655;18;22;888;1373;1421;1037;732;464;68;203;226;419;48;31;26;7;16;7;7;2;3;16202
Hardenberg-G0160;34;37;1141;5162;1726;1359;1161;1236;3614;447;369;471;81;46;38;19;44;12;15;6;3;28338
Harderwijk-G0243;38;31;1474;2629;1465;1573;804;1025;2820;622;497;362;86;70;37;18;25;15;12;12;1;20574
Hardinxveld-Giessendam-G0523;6;16;230;779;644;384;264;327;3021;78;115;138;15;20;16;9;63;6;9;1;1;7181
Haren-G0017;22;22;1937;1003;409;1230;500;901;616;841;332;208;40;17;24;28;9;15;21;3;1;6489
Harlingen-G0072;15;18;496;643;613;478;592;689;272;261;236;191;30;18;15;11;4;3;3;7;0;7689
Hattem-G0244;6;13;471;826;310;490;224;441;946;166;100;102;24;21;10;4;13;1;1;0;1;4922
Heemskerk-G0396;43;28;1665;1532;1682;1141;1138;1143;241;712;479;511;101;84;38;12;23;22;23;8;9;19623
Heemstede-G0397;26;32;2541;1364;706;2414;494;798;185;757;487;304;60;46;14;28;12;6;27;6;2;9793
Heerde-G0246;17;22;506;1267;670;660;409;499;1407;194;172;144;19;12;17;9;25;3;0;4;1;8566
Heerenveen-G0074;38;64;1981;2213;1339;1902;1622;2800;790;888;662;515;101;68;47;22;31;24;12;5;7;23753
Heerhugowaard-G0398;38;39;2111;1708;1877;1779;1671;1244;431;651;605;538;124;75;41;23;22;24;26;14;5;26348
Heerlen-G0917;69;74;2205;2705;5071;1522;4364;1614;269;900;940;1087;174;103;59;44;51;29;20;20;26;49079
Heeze-Leende-G1658;10;18;756;1022;542;723;416;327;31;220;155;485;25;13;7;10;2;5;38;1;0;7385
Heiloo-G0399;10;24;1743;1189;736;1381;537;858;145;595;474;279;75;35;16;14;11;15;13;6;2;9614
Hellendoorn-G0163;20;28;916;4383;981;866;836;713;750;405;240;269;53;38;20;13;19;8;9;1;2;17191
Hellevoetsluis-G0530;42;39;1233;857;2457;1453;971;898;334;421;520;472;82;64;35;16;25;15;14;9;1;20493
Helmond-G0794;51;97;2175;2249;4379;2272;3246;1156;234;886;572;2523;137;112;43;27;24;26;31;10;8;44849
Hendrik-Ido-Ambacht-G0531;20;21;872;984;1170;902;583;505;2524;193;315;239;54;47;25;6;16;8;4;6;1;13104
Hengelo-G0164;72;68;2971;4555;2365;1993;3511;2260;735;1278;740;525;187;87;53;36;42;31;25;7;11;40621
Het Bildt-G0063;6;6;193;755;301;327;331;375;120;127;109;106;23;3;11;10;6;1;5;4;0;5118
Heumen-G0252;11;18;1077;1049;507;711;635;617;52;506;242;196;20;12;9;11;6;7;6;0;0;6957
Heusden-G0797;23;42;1665;2489;1801;1629;1127;701;188;419;375;557;69;46;20;20;15;9;16;5;8;22094
Hillegom-G0534;12;19;1048;1039;1032;1116;431;481;162;311;331;293;56;51;28;16;8;8;7;6;2;9593
Hilvarenbeek-G0798;8;10;589;1649;412;599;402;257;30;216;179;173;22;10;5;10;2;11;8;2;1;7234
Hilversum-G0402;70;110;5852;2459;2900;3593;2594;2521;1157;2226;1314;803;296;151;92;65;32;37;40;14;10;38509
Hof van Twente-G1735;18;18;1251;4981;940;1366;940;1034;224;434;221;293;36;36;19;13;10;14;2;6;0;15563
Hollands Kroon-G1911;36;40;1480;2399;2105;2168;1199;1089;396;501;505;857;108;97;52;30;19;15;21;12;5;23374
Hoogeveen-G0118;29;27;1175;3534;2004;1202;1682;1332;1960;470;350;433;67;78;53;11;62;13;6;4;7;27886
Hoogezand-Sappemeer-G0018;16;36;949;737;1235;812;1562;1241;618;447;350;362;80;34;33;8;17;5;9;10;3;18321
Hoorn-G0405;59;67;3229;1897;2543;2255;2547;2190;355;1508;938;721;191;123;65;44;38;25;28;12;11;35430
Horst aan de Maas-G1507;15;59;1158;3269;1562;1095;1667;665;80;320;244;554;55;36;16;19;9;7;11;5;1;21277
Houten-G0321;25;30;2953;1974;1616;2071;1155;1409;2134;1426;589;374;127;58;34;21;21;27;22;17;4;19595
Huizen-G0406;25;40;2195;1926;1529;1998;748;928;1507;789;574;543;88;93;54;24;33;15;29;7;3;18801
Hulst-G0677;22;24;837;1421;1389;896;863;662;119;236;271;432;37;16;11;16;13;11;38;6;6;13165
IJsselstein-G0353;24;26;1773;1235;1265;1305;770;755;494;545;340;358;54;47;26;12;15;20;17;5;2;16419
Kaag en Braassem-G1884;14;43;1331;1805;1162;1436;429;496;205;370;319;382;61;47;30;12;5;20;10;3;4;11718
Kampen-G0166;20;31;1120;3131;1593;1040;1421;963;5506;776;346;273;62;50;44;14;59;9;7;4;4;21381
Kapelle-G0678;4;16;376;754;396;603;326;298;1127;143;128;138;23;17;5;9;8;1;5;2;0;5050
Katwijk-G0537;29;47;1241;3533;2620;1466;826;802;4712;419;472;557;137;107;54;23;57;22;20;5;3;29726
Kerkrade-G0928;34;45;799;1500;3317;604;1764;899;74;357;444;484;65;39;35;26;14;16;9;5;8;25581
Koggenland-G1598;19;13;752;1460;834;1132;548;485;75;296;284;277;47;33;28;9;5;12;13;7;3;10746
Kollumerland en Nieuwkruisland-G0079;13;19;190;1090;428;292;283;279;444;124;109;110;24;22;7;5;14;1;3;2;2;6516
Korendijk-G0588;3;10;289;486;530;407;251;205;1068;115;144;85;8;19;9;1;19;4;6;4;1;4633
Krimpen aan den IJssel-G0542;19;16;1045;1060;1602;1039;613;672;2756;357;341;290;65;35;32;16;44;7;9;5;2;12196
Laarbeek-G1659;14;22;634;1104;803;640;729;357;60;228;154;745;36;16;7;6;5;4;5;2;5;11456
Landerd-G1685;8;12;526;1137;525;589;630;280;44;128;107;315;22;10;3;2;4;5;0;2;2;7458
Landgraaf-G0882;16;31;737;1378;2599;586;1533;753;63;362;448;443;63;31;26;18;15;11;9;6;5;21127
Landsmeer-G0415;8;7;563;290;524;493;316;430;46;298;235;120;27;22;14;5;3;4;2;2;2;4854
Langedijk-G0416;14;31;1286;1121;1001;1236;670;694;365;464;357;338;94;50;18;13;30;12;13;12;0;12880
Lansingerland-G1621;22;42;2694;2926;2403;2841;871;1038;1611;664;617;467;113;101;40;18;31;28;20;8;7;24679
