RegioNaam;@invalid;@blank;VVD;PvdA;PVV;CDA;SP;D66;GL;CU;SGP;PvdD;TROTS op Nederland Lijst Rita Verdonk;Partij voor Mens en Spirit (MenS);PPNL;Lijst 17;Partij TTn;Nieuw Nederland;Heel NL;Evangelische Partij Nederland;@abs
Son en Breugel-G0848;10;9;2590;1231;1135;1791;981;729;487;87;10;94;57;20;8;2;1;2;3.0;;2375.0
Spijkenisse-G0612;72;45;7838;6995;10438;2634;4926;1646;1790;792;202;678;344;76;46;30;5;5;8.0;;17595.0
Stadskanaal-G0037;43;10;2020;4710;2672;3248;2019;500;670;1774;123;194;107;37;14;9;2;2;;3.0;7905.0
Staphorst-G0180;11;12;1051;583;901;1993;287;171;159;1675;2860;31;26;12;6;4;0;3;0.0;;1450.0
Stede Broec-G0532;20;10;2892;1915;2300;1841;1448;652;636;154;32;168;115;56;8;10;6;2;5.0;0.0;3769.0
Steenbergen-G0851;16;5;2820;1940;3149;2043;1371;559;498;186;136;190;105;38;14;9;2;1;1.0;;5104.0
Steenwijkerland-G1708;22;18;5196;5385;3399;5052;2264;1163;1258;1768;194;218;166;100;28;14;6;6;7.0;;7038.0
Stein-G0971;23;16;2113;2175;4977;2214;2143;612;705;68;12;240;132;73;21;5;2;4;2.0;;5112.0
Strijen-G0617;6;6;1316;792;935;786;475;230;260;325;148;92;33;19;5;2;2;1;0.0;;1544.0
Ten Boer-G0009;5;5;520;1132;398;719;506;178;310;569;76;39;10;15;10;1;2;2;;1.0;1010.0
Terneuzen-G0715;46;19;4834;5443;5580;4440;2880;1183;1280;1479;1148;321;285;54;32;22;3;7;;;12020.0
Terschelling-G0093;0;3;995;1126;404;528;342;327;516;85;9;48;15;15;1;4;0;0;;2.0;
Texel-G0448;20;4;2477;2032;1120;1519;945;711;830;216;62;133;41;25;7;8;2;4;2.0;3.0;387.0
Teylingen-G1525;24;26;6659;2961;2833;3574;1395;1846;1263;371;50;260;125;62;36;17;3;4;3.0;;4858.0
Tholen-G0716;18;2;2125;1812;2357;2149;1199;322;352;893;3250;150;82;15;7;3;1;3;;;4053.0
Tiel-G0281;41;12;5050;4791;4154;1952;1902;1384;1221;423;143;277;143;50;25;20;6;0;3.0;;8560.0
Tilburg-G0855;199;137;20666;21691;17014;11489;13759;9044;8100;743;85;1343;824;268;144;157;24;19;23.0;;50275.0
Tubbergen-G0183;18;12;2311;1016;1874;5368;809;415;310;67;19;47;92;35;10;7;2;2;1.0;;3218.0
Twenterand-G1700;20;13;2110;2624;2814;5969;1452;460;478;2153;690;140;148;19;15;6;2;4;3.0;;6176.0
Tynaarlo-G1730;22;22;4828;5466;1926;2040;1666;1673;1669;710;42;244;81;46;13;8;4;1;0.0;;4650.0
Tytsjerksteradiel-G0737;23;23;2546;4431;2051;4427;2076;770;1153;1192;126;165;69;72;12;8;1;0;;9.0;5328.0
Ubbergen-G0282;4;4;930;1257;644;1067;703;430;634;40;3;102;16;22;8;10;2;1;3.0;;1429.0
Uden-G0856;39;26;5529;3216;3564;4005;3829;1423;1023;98;9;252;144;78;17;20;6;1;3.0;;7577.0
Uitgeest-G0450;10;3;2114;1407;1014;903;749;663;554;59;5;113;58;29;12;7;0;2;0.0;1.0;1719.0
Uithoorn-G0451;41;6;5178;2776;2532;1937;1168;1170;955;234;22;211;98;46;22;16;5;4;;;4213.0
Urk-G0184;14;4;229;57;1013;2412;72;31;21;1757;3635;8;17;2;8;2;0;3;;29.0;2342.0
Utrecht-G0344;339;230;32746;42952;17035;11517;12079;25190;27237;3879;451;2396;596;392;265;174;35;34;21.0;;51874.0
Utrechtse Heuvelrug-G1581;47;18;8202;4757;3396;4252;1759;2549;2439;1126;1127;456;127;149;34;11;1;10;2.0;;6799.0
Vaals-G0981;9;5;536;826;1280;682;520;179;247;40;5;66;18;20;12;3;0;1;1.0;;1760.0
Valkenburg aan de Geul-G0994;27;8;1929;1513;2752;2075;1044;603;540;75;6;168;81;50;6;2;2;15;1.0;;2932.0
Valkenswaard-G0858;20;14;3561;2737;3415;3250;2591;1003;798;112;9;156;171;37;9;13;6;1;3.0;;6314.0
Veendam-G0047;29;14;2325;5096;2418;1300;2074;706;839;526;38;252;96;29;8;8;4;6;;6.0;6244.0
Veenendaal-G0345;81;27;6772;4745;5598;5884;1981;1495;1241;4727;3299;222;127;60;21;12;10;6;4.0;;9293.0
Veere-G0717;14;8;2898;2180;1410;3259;973;686;701;828;1835;240;84;38;8;10;2;3;;;1722.0
Veghel-G0860;27;17;4650;2908;3313;4563;2878;1193;957;110;6;213;127;38;8;17;3;3;2.0;;6755.0
Veldhoven-G0861;20;34;5505;3808;4593;4110;3481;1584;1313;259;17;241;185;99;32;15;11;1;11.0;;8112.0
Velsen-G0453;56;36;8534;7872;7474;3770;3698;2740;2533;838;68;639;299;98;52;26;10;7;;;12135.0
Venlo-G0983;99;46;9055;7971;16121;7604;6055;2453;2650;298;33;553;228;125;54;33;11;14;14.0;;21645.0
Venray-G0984;27;33;4221;3459;4398;4992;3703;1150;1056;119;13;186;152;60;18;24;3;2;6.0;;8522.0
Vianen-G0620;19;26;2664;1998;2044;1595;1085;654;566;375;300;148;73;30;17;11;6;3;2.0;;3293.0
Vlaardingen-G0622;69;29;7181;7714;8073;3691;4399;2131;2498;1091;603;560;295;76;33;23;14;5;4.0;;15683.0
Vlagtwedde-G0048;23;3;1311;2269;1841;1436;1030;280;492;279;24;129;67;42;12;3;4;8;;5.0;3629.0
Vlieland-G0096;0;0;296;230;76;74;83;93;94;17;3;13;13;1;0;0;0;0;;0.0;
