RegioNaam;@invalid;@blank;CDA;VVD;PvdA;GL;D66;SP;GPV_RPF;SGP;Nederland Mobiel;Gereformeerd Politiek Verbond (GPV);AOV/Senioren2000/Unie55+;Partij Nieuw Limburg;SGP-GPV-RPF;AOV/Unie55+;Onafhankelijken Zuid-Holland;FNP;Centrumdemocraten;Reformatorische Politieke Federatie (RPF);De Groenen/Noord-Holland Anders;SGP_RPF;Federatie Brabantse Onafhankelijke Fracties;Partij Nieuw Gelderland;GL/Delta Anders;Partij voor Zeeland;Onafhankelijke Partij Drenthe;AOV/Senioren2000;Ouderen Unie 55+;Leefbaar Gelderland/De Groenen;Samenwerkende Partij Ouderen Limburg_Unie55+;de Inwonerspartijen;Federatie Gemeentebelangen Friesland;Leefbaar Overijssel/De Groenen;Nieuwe Communistische Partij;Drentse Ouderenpartijen;de Groningers;Het Nederlands Blok;Natuurwetpartij;Lijst Linssen;Onafhankelijke Partij Provincie Groningen;Islamitische Partij Nederland;Gelovig Democratische Unie;@abs
Moordrecht-G0563;;9;493;692;475;194.0;171;71.0;122.0;218.0;44.0;;;;;;19.0;;24.0;;;;;;;;;18.0;22.0;;;;;;;;;;;;;;;2883
Muiden-G0424;;19;651;842;493;262.0;326;44.0;;;50.0;;;;49.0;50.0;;;17.0;;57.0;;;;;;;;;;;;;;;;;;;;;;;2314
Naaldwijk-G0565;;55;4079;3429;962;374.0;295;130.0;373.0;152.0;82.0;;;;;;325.0;;113.0;;;;;;;;;79.0;48.0;;;;;;;;;;;;;;;10724
Naarden-G0425;;5;1062;3036;856;673.0;676;73.0;;;67.0;;;;164.0;83.0;;;19.0;;59.0;;;;;;;;;;;;;;;;;;;;;;;5906
Nederhorst den Berg-G0426;;1;640;643;278;134.0;153;44.0;;;36.0;;;;34.0;18.0;;;5.0;;20.0;;;;;;;;;;;;;;;;;;;;;;;1977
Nederlek-G0643;;18;835;1784;1663;348.0;371;130.0;234.0;671.0;85.0;;;;;;33.0;;46.0;;;;;;;;;13.0;31.0;;;;;;;;;;;;;;;4976
Nederweert-G0946;;41;2792;1066;1596;199.0;110;81.0;;;74.0;;;145.0;;;;;;;;;;;;;;20.0;;;82.0;;;;;;;;;;;;;5967
Neede-G0266;;4;1608;1024;1217;297.0;184;67.0;151.0;7.0;;;32.0;;;;;;28.0;;;;;21.0;;;;;;51.0;;;;;;;;;;;;;2.0;3998
Neerijnen-G0304;;7;905;1079;1015;222.0;142;60.0;183.0;699.0;;;23.0;;;;;;40.0;;;;;38.0;;;;;;49.0;;;;;;;;;;;;;;3787
Niedorp-G0412;;6;778;1043;893;439.0;191;86.0;;;68.0;;;;24.0;89.0;;;34.0;;81.0;;;;;;;;;;;;;;;;;;;;;;;4751
Nieuwegein-G0356;;33;3581;5060;3501;2154.0;1337;793.0;634.0;245.0;301.0;;;;;227.0;;;;;;;;;;;;;;;;354.0;;;;;;207.0;;;;;;28920
Nieuwerkerk aan den IJssel-G0567;;17;1209;2289;1093;421.0;509;127.0;617.0;443.0;150.0;;;;;;39.0;;59.0;;;;;;;;;36.0;32.0;;;;;;;;;;;;;;;7988
Nieuwkoop-G0569;;3;1067;1012;500;329.0;261;68.0;187.0;106.0;47.0;;;;;;16.0;;43.0;;;;;;;;;13.0;24.0;;;;;;;;;;;;;;;4539
Nieuw-Lekkerland-G0571;;18;537;473;738;124.0;91;66.0;740.0;1180.0;64.0;;;;;;10.0;;33.0;;;;;;;;;6.0;25.0;;;;;;;;;;;;;;;2294
Nieuwleusen-G0170;;9;1450;513;499;93.0;88;50.0;;152.0;;307.0;28.0;;;;;;;139.0;;;;;;;;;;;;;;33.0;4.0;;;;;;;;;2867
Nijefurd-G0104;;4;1893;758;1013;390.0;117;;;;;14.0;;;;;;510.0;;;;110.0;;;;;;;;;;;38.0;;;;;;;;;;;3280
Nijkerk-G0267;;9;3109;2117;988;473.0;485;91.0;1450.0;1108.0;;;48.0;;;;;;111.0;;;;;56.0;;;;;;63.0;;;;;;;;;;;;;7.0;9977
Nijmegen-G0268;;229;8622;7647;10143;10644.0;4004;4032.0;477.0;68.0;;;848.0;;;;;;295.0;;;;;201.0;;;;;;1309.0;;;;;;;;;;;;;;69921
Noord-Beveland-G1695;;5;777;727;519;;54;;112.0;230.0;;;36.0;;;;;;;;;;;;227.0;460.0;;;;;;;;;;;;;;;;;;2273
Noordenveld-G1699;;11;1997;3495;3535;1453.0;1045;;563.0;;;;;;;;;;;;;;;;;;595.0;;;;;;;;;246.0;;;;;;;;10888
Noorder-Koggenland-G0529;;11;711;1246;668;415.0;211;66.0;;;82.0;;;;208.0;137.0;;;24.0;;61.0;;;;;;;;;;;;;;;;;;;;;;;3854
Noordoostpolder-G0171;;50;6135;3663;2661;1231.0;814;;1759.0;534.0;;;193.0;;;;;;;;;;;;;;;;;;;;;;;;;;75.0;;;;;13195
Noordwijk-G0575;;10;1797;2946;1164;1007.0;383;333.0;335.0;46.0;60.0;;;;;;49.0;;61.0;;;;;;;;;31.0;91.0;;;;;;;;;;;;;;;10226
Noordwijkerhout-G0576;;13;1644;1811;732;458.0;310;91.0;37.0;7.0;63.0;;;;;;39.0;;36.0;;;;;;;;;23.0;47.0;;;;;;;;;;;;;;;6100
Nootdorp-G0577;;63;891;822;270;335.0;192;360.0;76.0;29.0;44.0;;;;;;461.0;;21.0;;;;;;;;;5.0;22.0;;;;;;;;;;;;;;;3384
Nuenen, Gerwen en Nederwetten-G0820;;22;2194;1986;949;776.0;949;291.0;;;;;114.0;;99.0;;;;;;;;1285.0;;;;;;;;;;;;;;;;;;;;;9029
Nunspeet-G0302;;8;2172;1853;744;377.0;254;83.0;2322.0;3225.0;;;68.0;;;;;;48.0;;;;;38.0;;;;;;77.0;;;;;;;;;;;;;4.0;7615
Nuth-G0951;;12;3262;982;803;501.0;248;243.0;;;163.0;;;886.0;;;;;;;;;;;;;;58.0;;;73.0;;;;;;;;;;;;;5712
Obdam-G0429;;4;871;568;299;147.0;104;41.0;;;24.0;;;;7.0;51.0;;;10.0;;20.0;;;;;;;;;;;;;;;;;;;;;;;2593
Oegstgeest-G0579;;28;1367;3133;1011;994.0;972;146.0;269.0;44.0;69.0;;;;;;75.0;;37.0;;;;;;;;;28.0;45.0;;;;;;;;;;;;;;;6193
Oirschot-G0823;;162;4262;1792;1471;478.0;332;186.0;;;;;144.0;;18.0;;;;;;;;47.0;;;;;;;;;;;;;;;;;;;;;4389
Oisterwijk-G0824;;35;3594;3234;2030;1024.0;720;314.0;;;;;179.0;;77.0;;;;;;;;103.0;;;;;;;;;;;;;;;;;14.0;;;;7854
Oldebroek-G0269;;5;1669;826;800;199.0;164;73.0;2981.0;1537.0;;;17.0;;;;;;22.0;;;;;15.0;;;;;;24.0;;;;;;;;;;;;;1.0;7824
Oldenzaal-G0173;;31;3961;2326;2160;982.0;495;295.0;;8.0;;35.0;170.0;;;;;;;37.0;;;;;;;;;;;;;;110.0;29.0;;;;;;;;;12931
Olst-G0174;;14;1135;869;1008;318.0;166;66.0;;27.0;;15.0;32.0;;;;;;;47.0;;;;;;;;;;;;;;56.0;3.0;;;;;;;;;3309
Ommen-G0175;;12;3340;1270;797;310.0;263;80.0;;55.0;;1018.0;36.0;;;;;;;278.0;;;;;;;;;;;;;;57.0;7.0;;;;;;;;;4764
Onderbanken-G0881;;30;907;599;743;135.0;67;95.0;;;59.0;;;771.0;;;;;;;;;;;;;;14.0;;;50.0;;;;;;;;;;;;;2990
Oostburg-G0692;;23;1207;1552;1258;;183;;115.0;180.0;;;73.0;;;;;;;;;;;;384.0;1291.0;;;;;;;;;;;;;;;;;;7191
Oosterhout-G0826;;17;3998;4376;2822;1304.0;1616;495.0;;;;;403.0;;151.0;;;;;;;;76.0;;;;;;;;;;;;;;;;;16.0;;;;23689
Oostflakkee-G0580;;12;637;657;893;175.0;101;79.0;431.0;516.0;83.0;;;;;;9.0;;34.0;;;;;;;;;28.0;30.0;;;;;;;;;;;;;;;4085
Ooststellingwerf-G0085;;45;2844;1990;3531;1040.0;363;;;;;286.0;;;;;;308.0;;;;233.0;;;;;;;;;;;74.0;;;;;;;;;;;8874
Oostzaan-G0431;;3;245;846;599;563.0;339;56.0;;;75.0;;;;106.0;80.0;;;26.0;;32.0;;;;;;;;;;;;;;;;;;;;;;;3826
Ootmarsum-G0176;;21;1129;451;209;96.0;67;14.0;;1.0;;1.0;27.0;;;;;;;7.0;;;;;;;;;;;;;;27.0;2.0;;;;;;;;;1443
Opmeer-G0432;;2;1260;1012;532;264.0;166;72.0;;;80.0;;;;44.0;106.0;;;21.0;;37.0;;;;;;;;;;;;;;;;;;;;;;;4445
Opsterland-G0086;;23;2893;1959;3373;1106.0;422;;;;;776.0;;;;;;1217.0;;;;326.0;;;;;;;;;;;122.0;;;;;;;;;;;9182
Oss-G0828;;33;5880;4078;2659;1049.0;972;3871.0;;;;;313.0;;73.0;;;;;;;;54.0;;;;;;;;;;;;;;;;;;;;;29985
Oud-Beijerland-G0584;;8;1087;1666;1109;911.0;552;114.0;548.0;1169.0;95.0;;;;;;733.0;;52.0;;;;;;;;;18.0;48.0;;;;;;;;;;;;;;;8443
Ouder-Amstel-G0437;;9;1048;1476;774;486.0;404;87.0;;;58.0;;;;112.0;93.0;;;36.0;;72.0;;;;;;;;;;;;;;;;;;;;;;;4860
Ouderkerk-G0644;;11;520;766;616;138.0;133;41.0;297.0;787.0;41.0;;;;;;11.0;;15.0;;;;;;;;;6.0;13.0;;;;;;;;;;;;;;;2729
Oudewater-G0589;;27;1312;915;410;186.0;175;67.0;298.0;189.0;37.0;;;;;33.0;;;;;;;;;;;;;;;;29.0;;;;;;20.0;;;;;;3746
Papendrecht-G0590;;12;1814;2861;1904;628.0;612;233.0;1148.0;620.0;78.0;;;;;;75.0;;69.0;;;;;;;;;29.0;87.0;;;;;;;;;;;;;;;12242
Pekela-G0765;;8;784;669;1878;600.0;82;158.0;;;;49.0;51.0;;;;;;;;;243.0;;;;;;;;;;;;;111.0;;73.0;;;;2.0;;;5692
Pijnacker-G0594;;86;2425;2113;845;680.0;514;158.0;297.0;243.0;91.0;;;;;;562.0;;48.0;;;;;;;;;22.0;42.0;;;;;;;;;;;;;;;7434
Purmerend-G0439;;30;2142;6572;4830;2256.0;1284;753.0;;;535.0;;;;309.0;980.0;;;134.0;;303.0;;;;;;;;;;;;;;;;;;;;;;;30887
Putten-G0273;;5;3264;2008;703;339.0;293;80.0;1660.0;1221.0;;;27.0;;;;;;62.0;;;;;59.0;;;;;;56.0;;;;;;;;;;;;;9.0;6783
Raalte-G0177;;16;5518;1516;1396;542.0;360;302.0;;16.0;;24.0;68.0;;;;;;;75.0;;;;;;;;;;;;;;200.0;5.0;;;;;;;;;10974
Ravenstein-G0835;;10;1284;510;498;455.0;108;219.0;;;;;53.0;;8.0;;;;;;;;21.0;;;;;;;;;;;;;;;;;;;;;3192
Reeuwijk-G0595;;4;1149;1639;507;309.0;283;81.0;390.0;648.0;60.0;;;;;;24.0;;35.0;;;;;;;;;33.0;50.0;;;;;;;;;;;;;;;4405
Reiderland-G1661;;20;133;363;1058;214.0;41;141.0;;;;10.0;15.0;;;;;;;;;33.0;;;;;;;;;;;;;935.0;;19.0;;;;1.0;;;2545
Reimerswaal-G0703;;1;1186;1165;1160;;118;;426.0;3122.0;;;89.0;;;;;;;;;;;;266.0;1066.0;;;;;;;;;;;;;;;;;;6128
Renkum-G0274;;18;2899;4231;2346;1656.0;1095;293.0;372.0;105.0;;;243.0;;;;;;58.0;;;;;150.0;;;;;;113.0;;;;;;;;;;;;;3.0;11754
Renswoude-G0339;;0;774;324;79;32.0;40;21.0;128.0;259.0;29.0;;;;;2.0;;;;;;;;;;;;;;;;0.0;;;;;;7.0;;;;;;1105
Reusel-De Mierden-G1667;;12;3089;1120;1066;308.0;151;139.0;;;;;99.0;;29.0;;;;;;;;53.0;;;;;;;;;;;;;;;;;;;;;2965
Rheden-G0275;;20;3348;4621;4107;1897.0;1263;676.0;538.0;66.0;;;199.0;;;;;;82.0;;;;;603.0;;;;;;252.0;;;;;;;;;;;;;4.0;17623
Rhenen-G0340;;5;1300;1504;956;590.0;350;110.0;461.0;1320.0;133.0;;;;;57.0;;;;;;;;;;;;;;;;17.0;;;;;;41.0;;;;;;6038
Ridderkerk-G0597;;17;2892;3534;3096;776.0;646;449.0;1331.0;2376.0;212.0;;;;;;84.0;;101.0;;;;;;;;;62.0;109.0;;;;;;;;;;;;;;;20530
Rijnsburg-G0602;;5;2074;1114;373;202.0;117;53.0;968.0;149.0;22.0;;;;;;33.0;;18.0;;;;;;;;;13.0;13.0;;;;;;;;;;;;;;;5234
Rijnwaarden-G0196;;14;938;579;808;210.0;147;86.0;30.0;5.0;;;32.0;;;;;;20.0;;;;;30.0;;;;;;55.0;;;;;;;;;;;;;0.0;5397
Rijnwoude-G1672;;15;2062;1866;898;475.0;477;126.0;383.0;676.0;94.0;;;;;;39.0;;35.0;;;;;;;;;16.0;34.0;;;;;;;;;;;;;;;7120
Rijssen-G0178;;7;2320;897;1114;194.0;89;142.0;;4548.0;;87.0;30.0;;;;;;;2502.0;;;;;;;;;;;;;;44.0;6.0;;;;;;;;;6217
Rijswijk-G0603;;255;2765;4788;2134;1590.0;898;780.0;403.0;170.0;89.0;;;;;;6547.0;;129.0;;;;;;;;;81.0;142.0;;;;;;;;;;;;;;;19194
Roerdalen-G1669;;12;1270;1123;546;246.0;106;73.0;;;57.0;;;146.0;;;;;;;;;;;;;;23.0;;;83.0;;;;;;;;;;;;;4036
Roermond-G0957;;56;3499;4562;1973;1370.0;648;271.0;;;295.0;;;770.0;;;;;;;;;;;;;;137.0;;;337.0;;;;;;;;;;;;;19218
Roggel en Neer-G1670;;12;1099;815;351;278.0;86;53.0;;;42.0;;;258.0;;;;;;;;;;;;;;50.0;;;46.0;;;;;;;;;;;;;3230
Roosendaal-G1674;;0;8277;7496;4560;2231.0;1348;1218.0;;;;;348.0;;198.0;;;;;;;;208.0;;;;;;;;;;;;;;;;;265.0;;;;29061
Rotterdam-G0599;;1157;19025;34956;37674;15670.0;10038;7878.0;3924.0;2600.0;1868.0;;;;;;685.0;;2785.0;;;;;;;;;921.0;2966.0;;;;;;;;;;;;;646.0;;284605
Rozenburg-G0600;;5;695;789;673;186.0;161;108.0;196.0;53.0;125.0;;;;;;978.0;;34.0;;;;;;;;;17.0;49.0;;;;;;;;;;;;;;;6134
Rozendaal-G0277;;3;123;421;52;59.0;63;6.0;7.0;2.0;;;4.0;;;;;;2.0;;;;;6.0;;;;;;11.0;;;;;;;;;;;;;0.0;254
Rucphen-G0840;;7;3265;1440;1091;277.0;193;116.0;;;;;128.0;;35.0;;;;;;;;39.0;;;;;;;;;;;;;;;;;33.0;;;;11174
Ruurlo-G0278;;2;796;1250;658;167.0;111;48.0;22.0;8.0;;;25.0;;;;;;13.0;;;;;19.0;;;;;;37.0;;;;;;;;;;;;;2.0;3019
Sas van Gent-G0704;;4;569;592;442;;272;;17.0;40.0;;;27.0;;;;;;;;;;;;237.0;173.0;;;;;;;;;;;;;;;;;;3740
Sassenheim-G0604;;21;1626;1704;690;318.0;356;136.0;76.0;36.0;71.0;;;;;;15.0;;37.0;;;;;;;;;19.0;36.0;;;;;;;;;;;;;;;5716
Schagen-G0441;;20;921;1925;1328;783.0;351;168.0;;;89.0;;;;102.0;167.0;;;43.0;;165.0;;;;;;;;;;;;;;;;;;;;;;;7318
Scheemda-G0039;;27;1447;946;2289;494.0;185;158.0;;;;78.0;57.0;;;;;;;;;321.0;;;;;;;;;;;;;359.0;;100.0;;;;12.0;;;4647
Schermer-G0458;;0;564;611;314;189.0;103;48.0;;;34.0;;;;17.0;30.0;;;11.0;;36.0;;;;;;;;;;;;;;;;;;;;;;;1699
Scherpenzeel-G0279;;5;798;1051;535;146.0;113;20.0;546.0;836.0;;;22.0;;;;;;17.0;;;;;17.0;;;;;;11.0;;;;;;;;;;;;;3.0;2506
Schiedam-G0606;;47;3544;4863;4719;2072.0;1061;1335.0;459.0;202.0;336.0;;;;;;131.0;;448.0;;;;;;;;;327.0;291.0;;;;;;;;;;;;;;;35717
Schiermonnikoog-G0088;;0;119;131;108;51.0;29;;;;;5.0;;;;;;14.0;;;;4.0;;;;;;;;;;;5.0;;;;;;;;;;;342
Schijndel-G0844;;24;2317;1377;1101;349.0;253;965.0;;;;;196.0;;31.0;;;;;;;;59.0;;;;;;;;;;;;;;;;;;;;;10468
Schinnen-G0962;;8;2490;850;781;505.0;351;163.0;;;103.0;;;690.0;;;;;;;;;;;;;;87.0;;;68.0;;;;;;;;;;;;;4374
Schipluiden-G0607;;17;1612;1220;364;271.0;203;35.0;139.0;46.0;24.0;;;;;;106.0;;13.0;;;;;;;;;9.0;11.0;;;;;;;;;;;;;;;3470
Schoonhoven-G0608;;12;910;1036;645;410.0;234;87.0;302.0;264.0;55.0;;;;;;28.0;;44.0;;;;;;;;;17.0;41.0;;;;;;;;;;;;;;;4683
Schoorl-G0444;;3;489;817;439;307.0;316;106.0;;;29.0;;;;19.0;61.0;;;20.0;;67.0;;;;;;;;;;;;;;;;;;;;;;;2517
Schouwen-Duiveland-G1676;;47;2345;3879;2424;;536;;984.0;1773.0;;;177.0;;;;;;;;;;;;1139.0;523.0;;;;;;;;;;;;;;;;;;11869
Sevenum-G0964;;8;1543;407;207;154.0;97;74.0;;;26.0;;;80.0;;;;;;;;;;;;;;10.0;;;63.0;;;;;;;;;;;;;2851
's-Graveland-G0390;;4;825;1200;473;369.0;294;75.0;;;51.0;;;;142.0;55.0;;;18.0;;47.0;;;;;;;;;;;;;;;;;;;;;;;3669
's-Gravendeel-G0517;;2;666;630;686;243.0;159;45.0;243.0;370.0;48.0;;;;;;17.0;;21.0;;;;;;;;;4.0;8.0;;;;;;;;;;;;;;;3592
's-Gravenhage-G0518;;1131;16720;35310;22296;13534.0;9728;4431.0;2690.0;1342.0;624.0;;;;;;1272.0;;1487.0;;;;;;;;;612.0;1030.0;;;;;;;;;;;;;;;207827
's-Gravenzande-G0519;;22;2358;2193;580;270.0;177;54.0;397.0;373.0;41.0;;;;;;238.0;;52.0;;;;;;;;;26.0;29.0;;;;;;;;;;;;;;;7227
's-Hertogenbosch-G0796;;62;8714;8288;6506;4751.0;2186;2924.0;;;;;1247.0;;364.0;;;;;;;;570.0;;;;;;;;;;;;;;;;;;;;;61466
Simpelveld-G0965;;5;1544;492;709;216.0;108;125.0;;;86.0;;;680.0;;;;;;;;;;;;;;91.0;;;146.0;;;;;;;;;;;;;4375
Sint Anthonis-G1702;;22;3075;512;439;369.0;144;92.0;;;;;50.0;;6.0;;;;;;;;20.0;;;;;;;;;;;;;;;;;;;;;3734
Sint-Michielsgestel-G0845;;13;3233;2062;1593;648.0;442;461.0;;;;;201.0;;51.0;;;;;;;;183.0;;;;;;;;;;;;;;;;;;;;;11985
Sint-Oedenrode-G0846;;24;2480;1078;995;414.0;244;215.0;;;;;141.0;;22.0;;;;;;;;430.0;;;;;;;;;;;;;;;;;;;;;6822
Sittard-G0968;;29;4382;2900;2473;1798.0;954;485.0;;;656.0;;;2876.0;;;;;;;;;;;;;;265.0;;;318.0;;;;;;;;;;;;;20609
Skarsterlân-G0051;;12;3719;1974;2438;697.0;320;;;;;33.0;;;;;;1572.0;;;;281.0;;;;;;;;;;;51.0;;;;;;;;;;;8702
Sliedrecht-G0610;;10;1275;1397;1700;461.0;284;285.0;1065.0;2087.0;56.0;;;;;;43.0;;65.0;;;;;;;;;19.0;24.0;;;;;;;;;;;;;;;9143
Slochteren-G0040;;13;1029;1263;1714;480.0;317;101.0;;;;782.0;202.0;;;;;;;;;139.0;;;;;;;;;;;;;40.0;;76.0;;;;9.0;;;5047
Sluis-Aardenburg-G1698;;1;574;632;287;;57;;14.0;25.0;;;26.0;;;;;;;;;;;;103.0;529.0;;;;;;;;;;;;;;;;;;2292
Smallingerland-G0090;;30;6420;2786;5546;2134.0;769;;;;;1031.0;;;;;;1358.0;;;;1285.0;;;;;;;;;;;293.0;;;;;;;;;;;17316
Sneek-G0091;;19;3078;2046;3024;912.0;464;;;;;43.0;;;;;;954.0;;;;308.0;;;;;;;;;;;46.0;;;;;;;;;;;12652
Soest-G0342;;26;3466;5593;1952;1852.0;1127;331.0;851.0;220.0;150.0;;;;;64.0;;;;;;;;;;;;;;;;48.0;;;;;;142.0;;;;;;17459
Someren-G0847;;13;3085;978;592;335.0;207;148.0;;;;;85.0;;21.0;;;;;;;;71.0;;;;;;;;;;;;;;;;;;;;;7815
Son en Breugel-G0848;;6;1596;1564;602;441.0;325;107.0;;;;;80.0;;48.0;;;;;;;;562.0;;;;;;;;;;;;;;;;;;;;;5786
Spijkenisse-G0612;;27;2008;5537;4220;1333.0;937;751.0;510.0;223.0;1119.0;;;;;;214.0;;195.0;;;;;;;;;86.0;149.0;;;;;;;;;;;;;;;35801
Stad Delden-G0179;;7;1450;836;510;272.0;169;110.0;;3.0;;16.0;47.0;;;;;;;25.0;;;;;;;;;;;;;;42.0;2.0;;;;;;;;;2282
Stadskanaal-G0037;;17;3686;1799;3314;582.0;302;282.0;;;;716.0;94.0;;;;;;;;;1140.0;;;;;;;;;;;;;90.0;;281.0;;;;25.0;;;13348
Staphorst-G0180;;1;1143;753;459;110.0;127;34.0;;2651.0;;740.0;15.0;;;;;;;1077.0;;;;;;;;;;;;;;26.0;4.0;;;;;;;;;3233
Stede Broec-G0532;;13;1525;1888;1164;683.0;342;181.0;;;114.0;;;;106.0;226.0;;;52.0;;68.0;;;;;;;;;;;;;;;;;;;;;;;9426
Steenbergen-G0851;;27;2332;2625;2160;470.0;547;261.0;;;;;165.0;;428.0;;;;;;;;140.0;;;;;;;;;;;;;;;;;148.0;;;;8633
Steenderen-G0280;;11;957;469;373;140.0;67;76.0;25.0;7.0;;;13.0;;;;;;7.0;;;;;14.0;;;;;;34.0;;;;;;;;;;;;;0.0;1512
Steenwijk-G0181;;31;2446;1727;2050;689.0;690;181.0;;32.0;;260.0;76.0;;;;;;;364.0;;;;;;;;;;;;;;84.0;15.0;;;;;;;;;8705
Stein-G0971;;26;2387;1441;1330;706.0;1802;255.0;;;180.0;;;675.0;;;;;;;;;;;;;;167.0;;;235.0;;;;;;;;;;;;;11463
Strijen-G0617;;5;645;822;593;391.0;251;57.0;181.0;267.0;73.0;;;;;;67.0;;28.0;;;;;;;;;10.0;32.0;;;;;;;;;;;;;;;3756
Susteren-G0974;;38;2453;712;804;265.0;232;68.0;;;106.0;;;172.0;;;;;;;;;;;;;;43.0;;;754.0;;;;;;;;;;;;;4436
Swalmen-G0975;;6;1030;723;554;182.0;77;60.0;;;117.0;;;84.0;;;;;;;;;;;;;;25.0;;;42.0;;;;;;;;;;;;;3678
Tegelen-G0976;;7;1633;1165;790;510.0;210;92.0;;;59.0;;;1254.0;;;;;;;;;;;;;;60.0;;;57.0;;;;;;;;;;;;;7856
Ten Boer-G0009;;7;848;521;798;235.0;156;55.0;;;;521.0;26.0;;;;;;;;;158.0;;;;;;;;;;;;;27.0;;49.0;;;;3.0;;;1841
Ter Aar-G0480;;4;1050;815;270;206.0;125;66.0;67.0;65.0;52.0;;;;;;16.0;;28.0;;;;;;;;;14.0;27.0;;;;;;;;;;;;;;;3815
Terneuzen-G0715;;16;2125;2128;1976;;540;;1005.0;1217.0;;;90.0;;;;;;;;;;;;708.0;874.0;;;;;;;;;;;;;;;;;;15138
Terschelling-G0093;;1;347;569;452;182.0;91;;;;;10.0;;;;;;32.0;;;;15.0;;;;;;;;;;;128.0;;;;;;;;;;;2018
Texel-G0448;;8;1131;2094;887;670.0;252;121.0;;;32.0;;;;142.0;82.0;;;18.0;;134.0;;;;;;;;;;;;;;;;;;;;;;;4494
Tholen-G0716;;10;1159;1556;1586;;332;;819.0;2968.0;;;253.0;;;;;;;;;;;;299.0;142.0;;;;;;;;;;;;;;;;;;7967
Thorn-G0977;;14;379;155;271;69.0;28;9.0;;;12.0;;;89.0;;;;;;;;;;;;;;4.0;;;92.0;;;;;;;;;;;;;968
Tiel-G0281;;24;1798;3081;2434;1085.0;543;233.0;241.0;127.0;;;128.0;;;;;;123.0;;;;;73.0;;;;;;99.0;;;;;;;;;;;;;;16989
Tilburg-G0855;;301;14660;13537;12567;7695.0;4026;4558.0;;;;;2791.0;;405.0;;;;;;;;286.0;;;;;;;;;;;;;;;;;76.0;;;;83656
Tubbergen-G0183;;3;6502;844;682;248.0;298;66.0;;16.0;;7.0;56.0;;;;;;;14.0;;;;;;;;;;;;;;34.0;14.0;;;;;;;;;5879
Tytsjerksteradiel-G0737;;10;5093;1959;2945;1115.0;454;;;;;232.0;;;;;;1633.0;;;;559.0;;;;;;;;;;;156.0;;;;;;;;;;;9462
Ubbergen-G0282;;4;864;796;607;452.0;228;105.0;20.0;2.0;;;32.0;;;;;;9.0;;;;;346.0;;;;;;71.0;;;;;;;;;;;;;;3844
Uden-G0856;;19;4214;3133;1371;773.0;542;1476.0;;;;;306.0;;68.0;;;;;;;;90.0;;;;;;;;;;;;;;;;;;;;;17830
Uitgeest-G0450;;5;783;1090;759;632.0;296;93.0;;;97.0;;;;22.0;104.0;;;13.0;;61.0;;;;;;;;;;;;;;;;;;;;;;;4332
Uithoorn-G0451;;7;1865;3281;1280;1119.0;533;144.0;;;328.0;;;;140.0;165.0;;;43.0;;97.0;;;;;;;;;;;;;;;;;;;;;;;10534
Urk-G0184;;3;2320;108;18;19.0;25;;2104.0;2507.0;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;8.0;;;;;2068
Utrecht-G0344;;310;9476;14467;15550;17683.0;7586;4502.0;1796.0;423.0;531.0;;;;;647.0;;;;;;;;;;;;;;;;795.0;;;;;;1502.0;;;;;;101393
Vaals-G0981;;7;1286;302;932;93.0;77;53.0;;;65.0;;;54.0;;;;;;;;;;;;;;24.0;;;23.0;;;;;;;;;;;;;3428
Valburg-G0283;;12;1308;1008;638;373.0;243;106.0;178.0;368.0;;;19.0;;;;;;26.0;;;;;108.0;;;;;;377.0;;;;;;;;;;;;;3.0;5071
Valkenburg (ZH)-G0619;;5;344;431;76;86.0;53;17.0;214.0;39.0;11.0;;;;;;32.0;;11.0;;;;;;;;;6.0;6.0;;;;;;;;;;;;;;;1277
Valkenburg aan de Geul-G0994;;10;4064;959;565;353.0;217;528.0;;;92.0;;;1189.0;;;;;;;;;;;;;;38.0;;;99.0;;;;;;;;;;;;;5959
Valkenswaard-G0858;;11;3102;2272;1631;654.0;580;554.0;;;;;209.0;;79.0;;;;;;;;268.0;;;;;;;;;;;;;;;;;;;;;14499
Veendam-G0047;;27;1516;2229;3938;631.0;521;240.0;;;;181.0;241.0;;;;;;;;;227.0;;;;;;;;;;;;;82.0;;320.0;;;;21.0;;;11624
Veenendaal-G0345;;19;4049;4339;2401;1511.0;708;302.0;4602.0;2896.0;447.0;;;;;56.0;;;;;;;;;;;;;;;;29.0;;;;;;99.0;;;;;;20726
Veere-G0717;;22;2669;2158;1161;;325;;621.0;1932.0;;;185.0;;;;;;;;;;;;866.0;516.0;;;;;;;;;;;;;;;;;;6131
Veghel-G0860;;25;5144;2305;1442;564.0;470;437.0;;;;;207.0;;58.0;;;;;;;;845.0;;;;;;;;;;;;;;;;;;;;;14748
Veldhoven-G0861;;28;4002;3150;1993;910.0;710;1085.0;;;;;287.0;;190.0;;;;;;;;278.0;;;;;;;;;;;;;;;;;;;;;18727
Velsen-G0453;;40;3576;5984;4347;2425.0;1193;522.0;;;346.0;;;;847.0;903.0;;;182.0;;246.0;;;;;;;;;;;;;;;;;;;;;;;29439
Venhuizen-G0454;;5;718;1073;426;229.0;157;50.0;;;57.0;;;;25.0;93.0;;;22.0;;36.0;;;;;;;;;;;;;;;;;;;;;;;2699
