RegioNaam;@invalid;@blank;CDA;VVD;PvdA;GL;D66;SP;GPV_RPF;SGP;Nederland Mobiel;Gereformeerd Politiek Verbond (GPV);AOV/Senioren2000/Unie55+;Partij Nieuw Limburg;SGP-GPV-RPF;AOV/Unie55+;Onafhankelijken Zuid-Holland;FNP;Centrumdemocraten;Reformatorische Politieke Federatie (RPF);De Groenen/Noord-Holland Anders;SGP_RPF;Federatie Brabantse Onafhankelijke Fracties;Partij Nieuw Gelderland;GL/Delta Anders;Partij voor Zeeland;Onafhankelijke Partij Drenthe;AOV/Senioren2000;Ouderen Unie 55+;Leefbaar Gelderland/De Groenen;Samenwerkende Partij Ouderen Limburg_Unie55+;de Inwonerspartijen;Federatie Gemeentebelangen Friesland;Leefbaar Overijssel/De Groenen;Nieuwe Communistische Partij;Drentse Ouderenpartijen;de Groningers;Het Nederlands Blok;Natuurwetpartij;Lijst Linssen;Onafhankelijke Partij Provincie Groningen;Islamitische Partij Nederland;Gelovig Democratische Unie;@abs
Hengelo-G0164;;159;9363;6687;7398;6440.0;1773;2883.0;;103.0;;680.0;1002.0;;;;;;;649.0;;;;;;;;;;;;;;562.0;68.0;;;;;;;;;22087
Hengelo-G0248;;4;1252;865;606;157.0;88;31.0;38.0;17.0;;;18.0;;;;;;27.0;;;;;17.0;;;;;;19.0;;;;;;;;;;;;;2.0;3361
Het Bildt-G0063;;5;1602;644;1169;299.0;72;;;;;27.0;;;;;;251.0;;;;96.0;;;;;;;;;;;104.0;;;;;;;;;;;3406
Heteren-G0251;;3;903;571;517;204.0;191;24.0;149.0;146.0;;;15.0;;;;;;23.0;;;;;209.0;;;;;;46.0;;;;;;;;;;;;;1.0;3602
Heumen-G0252;;15;1593;1554;903;641.0;500;129.0;21.0;2.0;;;58.0;;;;;;25.0;;;;;34.0;;;;;;82.0;;;;;;;;;;;;;;6217
Heusden-G0797;;335;5964;4968;3277;1355.0;1403;749.0;;;;;471.0;;202.0;;;;;;;;97.0;;;;;;;;;;;;;;;;;;;;;12535
Heythuysen-G0920;;8;1926;959;451;209.0;110;72.0;;;72.0;;;549.0;;;;;;;;;;;;;;39.0;;;60.0;;;;;;;;;;;;;4523
Hillegom-G0534;;13;2038;2363;1120;595.0;349;141.0;139.0;81.0;63.0;;;;;;19.0;;38.0;;;;;;;;;33.0;86.0;;;;;;;;;;;;;;;8430
Hilvarenbeek-G0798;;0;3078;1601;1521;521.0;340;175.0;;;;;132.0;;21.0;;;;;;;;62.0;;;;;;;;;;;;;;;;;8.0;;;;3491
Hilversum-G0402;;43;4670;8069;4782;3442.0;2216;877.0;;;272.0;;;;1405.0;766.0;;;177.0;;491.0;;;;;;;;;;;;;;;;;;;;;;;36656
Hoevelaken-G0253;;3;586;969;430;252.0;241;36.0;267.0;430.0;;;17.0;;;;;;6.0;;;;;25.0;;;;;;22.0;;;;;;;;;;;;;1.0;2972
Holten-G0165;;4;1375;1240;793;141.0;187;37.0;;16.0;;19.0;33.0;;;;;;;70.0;;;;;;;;;;;;;;106.0;5.0;;;;;;;;;2911
Hontenisse-G0675;;7;1570;412;440;;53;;13.0;27.0;;;10.0;;;;;;;;;;;;118.0;665.0;;;;;;;;;;;;;;;;;;2724
Hoogeveen-G0118;;0;6643;2821;4653;1497.0;1127;;2495.0;;;;;;;;;;;;;;;;;;1432.0;;;;;;;;;292.0;;;;;;;;19195
Hoogezand-Sappemeer-G0018;;21;1461;2428;4011;1045.0;581;533.0;;;;457.0;188.0;;;;;;;;;205.0;;;;;;;;;;;;;128.0;;185.0;;;;50.0;;;14193
Hoorn-G0405;;36;3140;5485;4191;2523.0;1277;724.0;;;302.0;;;;361.0;675.0;;;103.0;;299.0;;;;;;;;;;;;;;;;;;;;;;;27896
Horst-G0923;;5;3818;832;720;309.0;188;424.0;;;62.0;;;68.0;;;;;;;;;;;;;;36.0;;;190.0;;;;;;;;;;;;;7903
Houten-G0321;;6;2541;2673;1469;1361.0;966;377.0;706.0;434.0;101.0;;;;;57.0;;;;;;;;;;;;;;;;341.0;;;;;;65.0;;;;;;11216
Huissen-G0255;;9;1477;1290;918;453.0;576;79.0;52.0;5.0;;;79.0;;;;;;20.0;;;;;47.0;;;;;;57.0;;;;;;;;;;;;;0.0;6825
Huizen-G0406;;18;2610;4688;1846;1382.0;950;241.0;;;136.0;;;;2293.0;199.0;;;58.0;;140.0;;;;;;;;;;;;;;;;;;;;;;;15749
Hulst-G0677;;12;1425;1314;1186;;273;;44.0;27.0;;;22.0;;;;;;;;;;;;328.0;1261.0;;;;;;;;;;;;;;;;;;7825
Hummelo en Keppel-G0256;;2;580;657;448;113.0;141;82.0;19.0;11.0;;;6.0;;;;;;1.0;;;;;14.0;;;;;;15.0;;;;;;;;;;;;;3.0;1486
Hunsel-G0925;;2;1034;412;229;116.0;42;40.0;;;27.0;;;81.0;;;;;;;;;;;;;;15.0;;;85.0;;;;;;;;;;;;;2407
IJsselham-G0195;;8;931;487;465;191.0;74;41.0;;14.0;;57.0;30.0;;;;;;;105.0;;;;;;;;;;;;;;42.0;4.0;;;;;;;;;1829
IJsselmuiden-G0191;;8;1928;573;488;154.0;75;52.0;;1533.0;;210.0;25.0;;;;;;;1547.0;;;;;;;;;;;;;;30.0;6.0;;;;;;;;;3387
IJsselstein-G0353;;7;1746;2481;1417;821.0;547;319.0;278.0;318.0;153.0;;;;;173.0;;;;;;;;;;;;;;;;53.0;;;;;;90.0;;;;;;11357
Jacobswoude-G0645;;16;1453;1225;391;334.0;261;66.0;79.0;102.0;73.0;;;;;;43.0;;17.0;;;;;;;;;26.0;39.0;;;;;;;;;;;;;;;3990
Kampen-G0166;;17;3269;1527;1830;910.0;422;257.0;;820.0;;775.0;83.0;;;;;;;1732.0;;;;;;;;;;;;;;106.0;19.0;;;;;;;;;12376
