RegioNaam;@invalid;@blank;RKSP;SDAP;ARP;CHU;Liberale Staatspartij (LSP);Vrijzinnig-Democratische Bond (VDB);Communistische Partij van Nederland;SGP;Revolutionair-Socialistische Partij (RSP);Plattelandersbond;Rooms-Katholieke Volkspartij (RKVP);Christelijk-Democratische Unie;HGSP;VNH;Onafhankelijk Socialistische Partij;Katholiek Democratische Bond;Algemeen Nederlandse Fascistenbond;Democratische Partij;Nationaal Verbond Plicht, Orde, Recht;Nederlandse Christelijke Arbeiderspartij;Limburgsche Federatie;Verbond van Nationalisten;Roomsch-Katholieke Arbeiderspartij (RKAP);Recht en Vrijheid;Marktkooplieden;Lijst Wolswinkel;Onafhankelijke Zakenlui;Nationaal-Socialistische Partij;Nederlandsche Fascisten Unie;Lijst Jacobs;RK Bouwvakarbeiders;Handeldrijvende Middenstand;Volkswelvaartspartij;Bond van Belastingbetalers;Lijst Eijking;Nieuwe Socialistische Partij;Lijst Engels;Hoofd- en handarbeiders;Nationaal Verbond voor Arbeidersbelangen;Lijst Bongers;Lijst De Wit;Voor Algemeen Welzijn;Zuiderzee Partij;Algemeene Nederlandse Huurdersbond;Oranjefascisten;Universeele Partij;Nationale Werkliedenpartij;Anti-crisis Partij;Proletarische Groep;Centrale Democratische Arbeiderspartij;Lijst Triesscheijn;Opbouw en Verbroedering;Algemeene Arbeidersbond;Lijst Groothuis;@abs
Wedde-G1220;32;53;10.0;718.0;162.0;164.0;197.0;208.0;124.0;3.0;2.0;92.0;2.0;22.0;4.0;10.0;12.0;2.0;3.0;21.0;3.0;15.0;;7.0;;5.0;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;114.0
Weerselo-G0188;16;28;2587.0;65.0;8.0;40.0;14.0;9.0;9.0;7.0;;32.0;126.0;3.0;;1.0;3.0;6.0;;2.0;;1.0;;;;1.0;;1.0;;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;111.0
Weert-G0988;74;174;5079.0;148.0;12.0;23.0;9.0;11.0;9.0;39.0;3.0;3.0;45.0;8.0;2.0;24.0;1.0;73.0;7.0;11.0;2.0;7.0;14.0;3.0;;3.0;;;;;;18.0;;;;;;;;;;3.0;;;;;;;;;;;;;;;303.0
Weesp-G0457;76;94;613.0;970.0;502.0;873.0;204.0;99.0;37.0;22.0;24.0;1.0;7.0;28.0;180.0;21.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;122.0
Weesperkarspel-G1221;12;28;473.0;193.0;222.0;427.0;17.0;17.0;14.0;31.0;12.0;11.0;3.0;15.0;16.0;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;88.0
Wehl-G0292;25;21;1097.0;20.0;2.0;60.0;8.0;7.0;1.0;;1.0;6.0;3.0;2.0;1.0;1.0;;2.0;2.0;6.0;;;;;;;;;;2.0;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;75.0
Wemeldinge-G0723;13;18;11.0;121.0;364.0;264.0;149.0;45.0;1.0;115.0;;;1.0;5.0;5.0;5.0;4.0;7.0;3.0;5.0;1.0;;;7.0;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;147.0
Werkendam-G0870;8;11;14.0;198.0;461.0;388.0;68.0;18.0;5.0;201.0;1.0;1.0;;;10.0;4.0;;;61.0;2.0;2.0;1.0;;1.0;1.0;1.0;;;;2.0;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;284.0
Werkhoven-G1223;2;2;295.0;6.0;5.0;34.0;;5.0;;65.0;;4.0;;;2.0;1.0;;;1.0;1.0;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27.0
Wervershoof-G0459;3;4;1345.0;16.0;14.0;3.0;9.0;23.0;4.0;3.0;;5.0;25.0;;6.0;;2.0;;;;;;;1.0;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;46.0
Wessem-G0989;4;9;470.0;3.0;3.0;1.0;;2.0;;;;;;2.0;;1.0;;;;;1.0;;1.0;;;;;;;;;4.0;;;;;;;;;;1.0;;;;;;;;;;;;;;;27.0
Westbroek-G1224;4;7;57.0;53.0;155.0;197.0;7.0;3.0;;26.0;;14.0;;;1.0;;;1.0;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23.0
Westdongeradeel-G0097;24;26;19.0;595.0;1383.0;1032.0;295.0;285.0;9.0;18.0;3.0;20.0;4.0;72.0;12.0;;42.0;;1.0;17.0;1.0;7.0;;5.0;;1.0;;;;;;;;;;;;;;;;;;3.0;;;;;;;;;;;;;228.0
Westdorpe-G0724;12;23;652.0;192.0;6.0;11.0;15.0;1.0;4.0;9.0;;;1.0;1.0;;5.0;1.0;9.0;2.0;5.0;;;;29.0;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.0
Westerbork-G0134;29;57;32.0;730.0;403.0;110.0;252.0;122.0;27.0;18.0;12.0;385.0;5.0;28.0;1.0;3.0;17.0;;4.0;10.0;;;;2.0;17.0;8.0;;4.0;;;;;;;;;;;;;;;;;;;;;;;4.0;;;;;;
Westerhoven-G0871;0;3;332.0;3.0;;;;1.0;;1.0;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0
Westervoort-G0293;6;19;624.0;62.0;79.0;97.0;4.0;12.0;1.0;5.0;;4.0;4.0;;18.0;1.0;3.0;4.0;;;;;;;;;;;;3.0;;;;;;;;3.0;;;;;;;;;;;;;;;;;;;34.0
Westkapelle-G0726;4;27;6.0;213.0;188.0;195.0;105.0;52.0;7.0;219.0;;62.0;2.0;;2.0;6.0;15.0;5.0;1.0;19.0;1.0;;;2.0;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;143.0
Westmaas-G0631;6;5;;34.0;165.0;140.0;28.0;4.0;1.0;32.0;;11.0;;1.0;1.0;3.0;3.0;;14.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20.0
Weststellingwerf-G0098;98;217;771.0;3034.0;830.0;966.0;244.0;1349.0;143.0;10.0;584.0;191.0;24.0;431.0;27.0;9.0;38.0;1.0;10.0;63.0;6.0;7.0;;18.0;;25.0;;;;;;;;;;;;;;;;;;7.0;;;;;;;;;;;;;694.0
Westwoud-G0460;2;3;355.0;77.0;5.0;14.0;59.0;49.0;1.0;;2.0;29.0;2.0;1.0;;;1.0;1.0;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;25.0
Westzaan-G0461;17;35;28.0;437.0;210.0;32.0;62.0;252.0;199.0;41.0;15.0;76.0;3.0;54.0;6.0;1.0;14.0;3.0;3.0;6.0;1.0;;;4.0;;;;;;;;;;;;;1.0;;;;;;2.0;;2.0;;;;;;;;;;;;120.0
Wierden-G0189;39;100;1275.0;494.0;1094.0;1310.0;53.0;112.0;27.0;310.0;16.0;31.0;83.0;120.0;20.0;4.0;10.0;5.0;;8.0;5.0;9.0;;11.0;;;;2.0;;;13.0;;;;;;;;;;;;;;;;;;;;;;;;;;186.0
Wieringen-G0462;39;102;237.0;1156.0;330.0;57.0;44.0;706.0;124.0;14.0;13.0;107.0;13.0;6.0;36.0;59.0;50.0;3.0;2.0;19.0;3.0;;;5.0;;3.0;;;;4.0;;;;;;;9.0;;;;;;6.0;;25.0;;;;;;;;;;;;259.0
Wieringerwaard-G0464;1;10;9.0;279.0;40.0;2.0;93.0;172.0;6.0;1.0;1.0;33.0;;3.0;;3.0;;2.0;;3.0;;;;2.0;;;;;;;;;;;;;2.0;;;;;;;;1.0;;;;;;;;;;;;44.0
Wijchen-G0296;15;49;2448.0;43.0;12.0;30.0;23.0;4.0;9.0;2.0;2.0;10.0;119.0;;1.0;1.0;1.0;12.0;3.0;1.0;;;;1.0;;;;1.0;;5.0;;;;;;;;9.0;;;;;;;;;;;;;;;;;;;95.0
Wijdenes-G0469;4;6;3.0;153.0;17.0;8.0;107.0;115.0;1.0;;1.0;66.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25.0
Wijdewormer-G0470;2;3;115.0;43.0;33.0;8.0;4.0;44.0;8.0;;2.0;89.0;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18.0
Wijhe-G0190;16;47;610.0;480.0;290.0;472.0;105.0;237.0;15.0;50.0;11.0;71.0;6.0;33.0;6.0;6.0;7.0;2.0;;2.0;2.0;2.0;;3.0;;3.0;;;;;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;107.0
Wijk aan Zee en Duin-G1229;39;79;1486.0;704.0;194.0;166.0;80.0;329.0;121.0;5.0;32.0;79.0;21.0;25.0;8.0;17.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;128.0
Wijk bij Duurstede-G0352;21;31;871.0;119.0;50.0;195.0;124.0;34.0;1.0;71.0;;23.0;10.0;7.0;6.0;4.0;;;2.0;1.0;1.0;;;1.0;2.0;2.0;;;;;3.0;;;;1.0;1.0;;;;;;;;;1.0;;;;;;;;;;;;103.0
Wijk en Aalburg-G0876;13;36;3.0;40.0;346.0;27.0;18.0;32.0;2.0;405.0;3.0;10.0;;;123.0;13.0;;1.0;12.0;11.0;7.0;;;5.0;;1.0;3.0;;;2.0;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;161.0
Wijlre-G0991;6;16;769.0;23.0;3.0;1.0;;;;2.0;;1.0;16.0;1.0;;;1.0;46.0;;1.0;;;112.0;;;;;;;;;3.0;;;;;;;;;;4.0;;;;;;;;;;;;;;;52.0
Wijnandsrade-G0992;8;3;251.0;8.0;1.0;;;;;;;;1.0;;;;;4.0;;1.0;1.0;;17.0;;;;;;;;;5.0;;;;;;;;;;;;;;;;;;;;;;;;;32.0
Wijngaarden-G0634;3;5;1.0;;102.0;4.0;;;;54.0;;12.0;;;1.0;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12.0
Wildervank-G1225;36;114;142.0;1781.0;927.0;457.0;282.0;612.0;50.0;15.0;60.0;151.0;4.0;37.0;7.0;18.0;74.0;1.0;24.0;65.0;6.0;4.0;;14.0;;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;536.0
Willemstad-G0872;8;19;78.0;117.0;200.0;350.0;53.0;9.0;;45.0;1.0;3.0;;4.0;61.0;5.0;;;;3.0;2.0;;;5.0;2.0;;;;;;;;4.0;;;;;;;;;;;;;;;;;;;;;;;;98.0
Willeskop-G0349;3;3;187.0;31.0;42.0;56.0;5.0;3.0;;26.0;;23.0;10.0;;2.0;1.0;3.0;;3.0;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;18.0
Willige Langerak-G1226;6;6;158.0;10.0;146.0;35.0;3.0;22.0;1.0;51.0;1.0;11.0;1.0;;1.0;;;;4.0;;;;;2.0;;;;13.0;;;1.0;;;;;;;;;;;;;;;;1.0;;;;;;;;;;26.0
Wilnis-G0350;7;5;394.0;25.0;335.0;134.0;19.0;7.0;;53.0;2.0;8.0;2.0;6.0;6.0;;;;;3.0;;1.0;;;11.0;1.0;;;;;3.0;;;;;2.0;;;;;;;;;4.0;;;;;;;;;;;;82.0
Wilsum-G1227;5;3;2.0;21.0;144.0;63.0;2.0;57.0;;40.0;;6.0;;;;;;;;1.0;;1.0;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41.0
Winkel-G0465;5;13;8.0;452.0;31.0;9.0;79.0;236.0;23.0;;12.0;40.0;;18.0;;1.0;14.0;1.0;1.0;2.0;;;;;;1.0;;;;;;;;;;;2.0;;;;;;2.0;;1.0;;;;;;;;;;;;111.0
Winschoten-G0052;79;231;187.0;2187.0;1044.0;469.0;491.0;1084.0;574.0;7.0;8.0;26.0;5.0;32.0;21.0;40.0;71.0;8.0;22.0;62.0;9.0;12.0;;24.0;;8.0;;;;;;;;;4.0;;;;;;;;;;;;;;;;;;;;;;456.0
Winsum-G0053;8;8;1.0;290.0;662.0;102.0;125.0;175.0;5.0;;1.0;4.0;;23.0;4.0;2.0;1.0;;1.0;16.0;;;;1.0;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42.0
Winterswijk-G0294;79;204;900.0;2056.0;815.0;327.0;1709.0;1672.0;246.0;4.0;13.0;365.0;127.0;352.0;11.0;18.0;171.0;14.0;18.0;29.0;12.0;;;10.0;;;;3.0;;3.0;;;;;;;;2.0;;;;;;;;;;;;;;;;;;;344.0
Wisch-G0295;43;100;1391.0;444.0;702.0;552.0;322.0;331.0;25.0;11.0;5.0;674.0;10.0;190.0;90.0;9.0;6.0;23.0;10.0;15.0;7.0;;;1.0;;;;14.0;;5.0;;;;;;;;3.0;;;;;;;;;;;;;;;;;;;240.0
Wissenkerke-G1253;49;23;5.0;77.0;743.0;453.0;68.0;86.0;3.0;154.0;11.0;27.0;5.0;2.0;8.0;7.0;5.0;4.0;3.0;6.0;5.0;;;9.0;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;172.0
Wittem-G0990;26;26;1166.0;76.0;5.0;4.0;3.0;;5.0;7.0;2.0;6.0;20.0;2.0;;1.0;2.0;161.0;;6.0;1.0;1.0;511.0;;;2.0;;;;;;7.0;;;;;;;;;;1.0;;;;;;;;;;;;;;;113.0
Woensdrecht-G0873;43;38;746.0;24.0;2.0;7.0;9.0;3.0;7.0;19.0;1.0;9.0;710.0;1.0;4.0;2.0;1.0;2.0;;6.0;;65.0;;;2.0;2.0;2.0;;;;;;9.0;;;;;;;;;;;;;;;;;;;;;;;;102.0
Woerden-G0632;25;80;1106.0;341.0;570.0;900.0;168.0;96.0;9.0;253.0;3.0;18.0;4.0;30.0;24.0;12.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;232.0
Wognum-G0466;7;4;662.0;68.0;14.0;12.0;62.0;115.0;4.0;;2.0;40.0;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28.0
Wolphaartsdijk-G0728;5;18;29.0;53.0;270.0;556.0;118.0;20.0;2.0;175.0;;2.0;1.0;3.0;1.0;7.0;4.0;2.0;;2.0;1.0;;;1.0;;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;136.0
Wonseradeel-G0099;70;87;516.0;1271.0;1711.0;1651.0;413.0;345.0;114.0;49.0;20.0;52.0;5.0;116.0;38.0;4.0;39.0;2.0;3.0;9.0;2.0;15.0;;8.0;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;419.0
Workum-G0100;5;12;432.0;133.0;355.0;670.0;40.0;134.0;12.0;3.0;2.0;2.0;3.0;22.0;30.0;;3.0;3.0;4.0;;;74.0;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;124.0
Wormer-G0467;14;32;581.0;576.0;235.0;60.0;43.0;284.0;202.0;6.0;9.0;57.0;4.0;35.0;2.0;1.0;4.0;1.0;1.0;7.0;;;;1.0;;5.0;;;;;;;;;;;3.0;;;;;;1.0;;2.0;;;;;;;;;;;;101.0
Wormerveer-G0468;27;107;556.0;1565.0;450.0;59.0;253.0;699.0;619.0;13.0;219.0;48.0;6.0;87.0;5.0;19.0;9.0;11.0;18.0;13.0;12.0;;;3.0;;2.0;;;;5.0;;;;;;;10.0;;;;;;7.0;;1.0;;;;;;;;;;;;203.0
Woubrugge-G0633;12;13;450.0;58.0;226.0;202.0;41.0;1.0;;48.0;4.0;36.0;;1.0;30.0;;;;;;;;;1.0;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.0
Woudenberg-G0351;28;35;8.0;272.0;391.0;110.0;89.0;35.0;3.0;150.0;2.0;128.0;;1.0;6.0;9.0;6.0;2.0;4.0;4.0;1.0;1.0;;3.0;;1.0;;229.0;;;2.0;;;;1.0;;;;;;;;;;;;2.0;;;;;;;;;;144.0
Woudrichem-G0874;3;20;3.0;167.0;299.0;126.0;33.0;96.0;4.0;41.0;;2.0;;;7.0;3.0;76.0;3.0;39.0;3.0;3.0;;;2.0;1.0;;;1.0;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;144.0
Wouw-G0875;48;77;1640.0;85.0;16.0;7.0;5.0;2.0;;60.0;;11.0;143.0;1.0;3.0;4.0;1.0;43.0;3.0;8.0;1.0;11.0;;1.0;2.0;;3.0;;;;;;59.0;;;;;;;;;;;;;;;;;;;;;;;;117.0
Wymbritseradeel-G0101;38;32;711.0;312.0;1521.0;2491.0;128.0;102.0;12.0;18.0;2.0;14.0;3.0;122.0;26.0;2.0;;1.0;;10.0;2.0;5.0;;6.0;;;;;;;;;;;;;;;;;;;;2.0;;;;;;;;;;;;;308.0
Yerseke-G0729;61;35;80.0;239.0;390.0;491.0;55.0;190.0;3.0;408.0;2.0;21.0;6.0;9.0;2.0;10.0;5.0;3.0;2.0;5.0;7.0;;;3.0;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;245.0
Zaamslag-G0731;22;34;27.0;170.0;700.0;491.0;187.0;12.0;5.0;122.0;;8.0;;4.0;4.0;2.0;3.0;1.0;4.0;4.0;1.0;;;12.0;;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;119.0
Zaandam-G0471;139;412;1976.0;6204.0;2832.0;671.0;845.0;1646.0;1599.0;166.0;609.0;57.0;159.0;286.0;25.0;26.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;824.0
Zaandijk-G0472;24;71;54.0;705.0;233.0;48.0;124.0;252.0;179.0;2.0;34.0;3.0;1.0;31.0;1.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;84.0
Zalk en Veecaten-G1232;2;1;15.0;9.0;199.0;81.0;34.0;15.0;;57.0;1.0;2.0;;3.0;;;;;;1.0;1.0;1.0;;3.0;;;;1.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;33.0
Zaltbommel-G0297;15;45;375.0;697.0;251.0;140.0;232.0;156.0;12.0;35.0;1.0;42.0;6.0;102.0;3.0;6.0;6.0;6.0;8.0;10.0;;;;1.0;;;;;;1.0;;;;;;;;6.0;;;;;;;;;;;;;;;;;;;124.0
Zandvoort-G0473;113;135;546.0;1228.0;405.0;445.0;372.0;296.0;133.0;14.0;66.0;3.0;19.0;54.0;19.0;75.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;249.0
Zeeland-G0877;0;2;1097.0;1.0;4.0;2.0;;;;;;;1.0;;;;;2.0;;;;1.0;;1.0;2.0;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;36.0
Zegveld-G0354;5;2;104.0;8.0;210.0;146.0;1.0;2.0;;34.0;;8.0;;2.0;;;3.0;;;;;1.0;;2.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.0
Zegwaart-G1234;15;21;307.0;115.0;199.0;133.0;80.0;16.0;3.0;172.0;;10.0;2.0;;115.0;1.0;1.0;1.0;8.0;;1.0;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;83.0
Zeist-G0355;167;432;1502.0;2484.0;3189.0;1527.0;1573.0;606.0;40.0;603.0;23.0;62.0;20.0;115.0;88.0;114.0;43.0;13.0;62.0;19.0;35.0;231.0;;7.0;9.0;6.0;;6.0;;;15.0;;;;3.0;2.0;;;;;;;;;9.0;;1.0;;;;;;;;;;765.0
Zelhem-G0298;36;72;300.0;211.0;776.0;531.0;112.0;150.0;10.0;130.0;;399.0;6.0;20.0;1.0;4.0;2.0;5.0;3.0;8.0;3.0;;;6.0;;;;20.0;;2.0;;;;;;;;2.0;;;;;;;;;;;;;;;;;;;166.0
Zevenaar-G0299;26;61;2366.0;178.0;59.0;79.0;50.0;41.0;19.0;4.0;2.0;18.0;20.0;9.0;8.0;10.0;3.0;19.0;5.0;10.0;1.0;;;1.0;;;;1.0;;13.0;;;;;;;;9.0;;;;;;;;;;;;;;;;;;;105.0
Zevenbergen-G0878;40;31;2649.0;110.0;213.0;532.0;21.0;22.0;2.0;80.0;2.0;20.0;10.0;9.0;4.0;5.0;;128.0;2.0;4.0;2.0;3.0;;3.0;5.0;2.0;6.0;;;;;;15.0;;;;;;;;;;;;;;;;;;;;;;;;182.0
Zevenhoven-G0635;4;2;246.0;34.0;70.0;75.0;14.0;1.0;;15.0;2.0;6.0;6.0;;1.0;;1.0;;2.0;;;;;;;1.0;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;24.0
Zevenhuizen-G0636;32;26;24.0;280.0;165.0;209.0;151.0;22.0;12.0;134.0;4.0;126.0;;;103.0;12.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;73.0
Zierikzee-G0732;87;47;426.0;675.0;668.0;475.0;593.0;333.0;10.0;124.0;10.0;44.0;2.0;3.0;10.0;6.0;23.0;16.0;4.0;10.0;4.0;;;7.0;;14.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;280.0
Zijpe-G0476;16;18;640.0;858.0;76.0;37.0;75.0;754.0;35.0;2.0;5.0;80.0;12.0;31.0;6.0;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;179.0
Zoelen-G0300;13;37;6.0;309.0;61.0;70.0;444.0;20.0;2.0;8.0;;129.0;2.0;77.0;;5.0;5.0;1.0;14.0;1.0;;;;1.0;;;;4.0;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;111.0
Zoetermeer-G0637;2;10;315.0;15.0;84.0;71.0;36.0;6.0;1.0;68.0;;10.0;;;96.0;1.0;;;;;3.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37.0
Zoeterwoude-G0638;15;18;1260.0;34.0;165.0;181.0;30.0;6.0;1.0;14.0;4.0;23.0;11.0;;12.0;2.0;4.0;2.0;7.0;3.0;1.0;;;;;;;1.0;;;;;;;;3.0;;;;3.0;;;;;;;;;;;;;;;;;103.0
Zonnemaire-G1236;5;12;7.0;131.0;118.0;111.0;75.0;19.0;1.0;7.0;;7.0;;;1.0;1.0;5.0;1.0;1.0;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30.0
Zoutelande-G1237;1;8;2.0;11.0;141.0;136.0;8.0;4.0;1.0;84.0;;2.0;;1.0;1.0;1.0;1.0;;;6.0;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38.0
Zuid- en Noord-Schermer-G0474;1;14;40.0;194.0;19.0;4.0;90.0;62.0;1.0;15.0;1.0;54.0;;4.0;3.0;1.0;2.0;;;1.0;;;;;;3.0;;;;;;;;;;;1.0;;;;;;3.0;;;;;;;;;;;;;;23.0
Zuid-Beijerland-G0639;7;24;8.0;164.0;313.0;236.0;102.0;16.0;2.0;251.0;2.0;53.0;2.0;;2.0;3.0;2.0;1.0;16.0;3.0;7.0;;;;3.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;84.0
Zuidbroek-G1240;20;48;2.0;544.0;202.0;12.0;77.0;200.0;82.0;;36.0;29.0;7.0;17.0;4.0;11.0;9.0;2.0;;35.0;1.0;3.0;;4.0;;22.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;151.0
Zuiddorpe-G0734;9;6;357.0;31.0;;;3.0;;1.0;9.0;;;;;;1.0;;1.0;1.0;3.0;;;;28.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14.0
Zuidhorn-G0056;17;24;24.0;457.0;660.0;129.0;224.0;181.0;12.0;2.0;1.0;19.0;4.0;5.0;4.0;18.0;6.0;1.0;4.0;47.0;2.0;1.0;;8.0;;11.0;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;75.0
Zuidland-G0640;10;5;1.0;42.0;550.0;103.0;74.0;7.0;1.0;25.0;;19.0;1.0;3.0;;;;;94.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.0
Zuidlaren-G0136;19;33;3.0;459.0;424.0;63.0;189.0;341.0;22.0;3.0;4.0;194.0;2.0;54.0;2.0;4.0;1.0;;3.0;37.0;3.0;;;5.0;6.0;6.0;;4.0;;;;;;;;;;;;;;;;;;;;;;;5.0;;;;;;120.0
Zuid-Scharwoude-G1238;8;9;355.0;212.0;34.0;9.0;17.0;137.0;15.0;3.0;6.0;32.0;7.0;1.0;2.0;;3.0;2.0;1.0;41.0;;;;1.0;;;;;;;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;47.0
Zuidwolde-G0137;39;57;24.0;422.0;742.0;507.0;139.0;325.0;7.0;17.0;2.0;205.0;4.0;18.0;1.0;5.0;6.0;;3.0;6.0;1.0;;;3.0;1.0;5.0;;3.0;;;;;;;;;;;;;;;;;;;;;;;4.0;;;;;;129.0
Zuidzande-G0735;9;13;10.0;172.0;68.0;13.0;158.0;31.0;;11.0;;16.0;;2.0;;5.0;3.0;;2.0;6.0;3.0;;;1.0;;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36.0
Zuilen-G1242;145;270;1524.0;2534.0;826.0;536.0;197.0;192.0;80.0;150.0;26.0;10.0;167.0;38.0;27.0;37.0;54.0;21.0;43.0;;11.0;12.0;;5.0;5.0;2.0;;3.0;;;22.0;;;;;2.0;;;;;;;;;1.0;;;;;;;;;;;;238.0
Zuilichem-G1243;4;18;;99.0;158.0;11.0;7.0;5.0;1.0;122.0;;22.0;;;2.0;3.0;1.0;;;1.0;;;;1.0;;;;1.0;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;65.0
Zundert-G0879;50;177;2189.0;167.0;44.0;31.0;8.0;13.0;22.0;41.0;;7.0;98.0;4.0;5.0;2.0;3.0;13.0;3.0;13.0;2.0;6.0;;5.0;7.0;2.0;3.0;6.0;;;;;42.0;;;;;;;;;;;;;;;;;;;;;;;;133.0
Zutphen-G0301;122;349;1027.0;3477.0;884.0;1090.0;1471.0;620.0;467.0;42.0;19.0;24.0;35.0;104.0;10.0;49.0;13.0;610.0;42.0;27.0;60.0;10.0;;;16.0;4.0;;6.0;;12.0;;;;;;7.0;;;;;;;;1.0;;;9.0;;;;;;;;;;584.0
Zwaag-G0475;4;2;515.0;67.0;14.0;3.0;80.0;77.0;1.0;1.0;4.0;47.0;4.0;2.0;1.0;;1.0;3.0;1.0;1.0;1.0;;;;;1.0;;;;;;;;;;;1.0;;;;;;1.0;;1.0;;;;;;;;;;;;76.0
Zwammerdam-G1244;10;14;263.0;72.0;242.0;215.0;33.0;28.0;5.0;89.0;1.0;57.0;1.0;7.0;19.0;3.0;1.0;1.0;4.0;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;77.0
Zwartewaal-G0641;4;4;1.0;72.0;75.0;26.0;35.0;58.0;4.0;2.0;;19.0;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.0
Zwartsluis-G0192;8;26;1.0;101.0;879.0;259.0;93.0;18.0;22.0;62.0;;5.0;1.0;99.0;;2.0;2.0;;;6.0;;1.0;;6.0;;4.0;;;;;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;245.0
Zweeloo-G0138;3;11;2.0;168.0;229.0;40.0;256.0;68.0;3.0;4.0;2.0;137.0;;3.0;1.0;1.0;;;2.0;4.0;;;;;4.0;6.0;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40.0
Zwijndrecht-G0642;55;129;159.0;1047.0;1611.0;1152.0;223.0;75.0;9.0;523.0;70.0;27.0;9.0;18.0;6.0;24.0;19.0;17.0;36.0;5.0;8.0;3.0;;;4.0;2.0;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;329.0
