RegioNaam;@invalid;@blank;PvdA;KVP;VVD;ARP;Politieke Partij Radikalen (PPR);CHU;Communistische Partij van Nederland;D66;Democratisch Socialisten '70;SGP;Boeren Partij;Gereformeerd Politiek Verbond (GPV);Pacifistisch-Socialistische Partij (PSP);Rooms Katholieke Partij Nederland (RKPN);Democratische Middenpartij;Nederlandse Middenstands Partij;Lijst ir. W. Stam;Partij van het Recht;Anti-Woningnood Aktie;Nieuwe Roomse Partij;@abs
Hellevoetsluis-G0530;15;18;3053;174.0;966;397;267;162.0;197.0;433;211;78.0;95;52.0;58.0;6.0;47.0;49.0;;;;;1254.0
Helmond-G0794;111;109;7667;10140.0;3338;857;1185;117.0;2255.0;1607;630;19.0;683;72.0;448.0;340.0;102.0;186.0;;;;;7863.0
Helvoirt-G0795;6;16;244;925.0;357;63;104;21.0;23.0;69;39;2.0;96;7.0;34.0;90.0;7.0;15.0;;;;;339.0
Hemelumer Oldeferd-G0075;12;10;356;72.0;274;526;106;888.0;20.0;41;97;38.0;76;124.0;19.0;2.0;12.0;16.0;;;;;319.0
Hendrik-Ido-Ambacht-G0531;0;3;2018;279.0;1345;1195;334;503.0;101.0;446;347;988.0;43;196.0;54.0;7.0;43.0;21.0;;;;;1366.0
Hengelo-G0164;126;47;12791;10268.0;4534;2258;2408;1427.0;1361.0;1644;1966;90.0;870;734.0;488.0;429.0;296.0;160.0;;;;;5838.0
Hengelo-G0248;10;12;934;1314.0;388;647;90;365.0;24.0;95;98;27.0;145;23.0;21.0;24.0;127.0;20.0;;;;;754.0
Hennaarderadeel-G0076;13;4;392;113.0;227;538;98;855.0;14.0;44;60;20.0;43;60.0;23.0;6.0;23.0;14.0;;;;;309.0
Hensbroek-G0401;5;0;144;292.0;126;19;16;4.0;10.0;17;38;;17;1.0;17.0;12.0;2.0;2.0;;;;;116.0
Herten-G0919;5;5;265;916.0;253;33;88;7.0;17.0;47;65;2.0;29;3.0;21.0;16.0;11.0;17.0;;;;;410.0
Herwen en Aerdt-G0249;15;7;906;1591.0;392;146;122;93.0;54.0;111;50;4.0;197;22.0;28.0;101.0;8.0;18.0;;;;;1120.0
Herwijnen-G0250;5;0;475;15.0;105;290;17;175.0;10.0;16;24;59.0;9;28.0;9.0;;3.0;6.0;;;;;137.0
Het Bildt-G0063;35;11;1481;40.0;557;1509;114;553.0;119.0;88;153;15.0;42;105.0;66.0;2.0;14.0;19.0;;;;;712.0
Heteren-G0251;18;9;714;1458.0;345;368;148;196.0;49.0;131;107;207.0;64;64.0;35.0;36.0;14.0;13.0;;;;;666.0
Heukelum-G0533;3;7;593;13.0;201;168;27;164.0;11.0;35;36;43.0;26;20.0;5.0;2.0;4.0;10.0;;;;;212.0
Heumen-G0252;7;5;531;1544.0;544;110;267;23.0;39.0;134;107;3.0;92;17.0;47.0;35.0;14.0;30.0;;;;;530.0
Heusden-G0797;12;7;513;749.0;297;215;71;93.0;49.0;117;57;39.0;112;18.0;37.0;29.0;8.0;11.0;;;;;663.0
Heythuysen-G0920;7;23;192;1388.0;223;30;110;5.0;14.0;46;25;1.0;75;4.0;18.0;53.0;11.0;19.0;;;;;610.0
Hillegom-G0534;53;25;1707;2837.0;1804;666;451;502.0;200.0;392;483;70.0;133;105.0;164.0;150.0;60.0;35.0;;6.0;;;1738.0
Hilvarenbeek-G0798;20;15;611;2006.0;536;111;172;46.0;53.0;127;112;8.0;239;9.0;33.0;60.0;9.0;26.0;;;;;730.0
Hilversum-G0402;316;159;14745;6288.0;11458;5130;3789;2216.0;2728.0;2645;3881;733.0;715;978.0;1158.0;470.0;379.0;231.0;48.0;;;;11418.0
Hindeloopen-G0077;9;1;175;6.0;30;63;68;86.0;24.0;4;13;1.0;10;8.0;4.0;;5.0;2.0;;;;;67.0
Hoensbroek-G0921;47;42;3357;2898.0;948;337;957;84.0;633.0;512;202;7.0;253;42.0;124.0;220.0;82.0;90.0;;;;;3603.0
Hoevelaken-G0253;14;1;675;288.0;782;324;153;443.0;26.0;137;159;295.0;62;91.0;30.0;8.0;19.0;12.0;;;;;382.0
Hoeven-G0799;9;42;655;1447.0;396;109;79;10.0;36.0;81;64;1.0;209;8.0;29.0;35.0;9.0;30.0;;;;;1063.0
Holten-G0165;7;6;1099;139.0;849;645;82;1028.0;35.0;123;165;32.0;315;35.0;18.0;6.0;19.0;23.0;;;;;472.0
Hontenisse-G0675;16;24;703;2303.0;438;87;282;48.0;34.0;68;30;13.0;124;25.0;22.0;149.0;11.0;45.0;;;;;1086.0
Hoogblokland-G0535;1;8;224;16.0;157;233;11;34.0;7.0;15;11;38.0;12;5.0;5.0;2.0;11.0;;;;;;57.0
Hooge en Lage Mierde-G0801;6;4;135;1057.0;118;31;32;7.0;10.0;27;26;1.0;46;1.0;17.0;27.0;;6.0;;;;;277.0
Hooge en Lage Zwaluwe-G0802;10;8;743;893.0;255;177;76;362.0;47.0;67;43;14.0;79;16.0;18.0;19.0;12.0;21.0;;;;;511.0
Hoogeloon, Hapert en Casteren-G0800;7;8;443;1850.0;360;72;114;35.0;40.0;103;73;10.0;117;1.0;36.0;57.0;3.0;7.0;;;;;633.0
Hoogeveen-G0118;125;33;5457;402.0;1864;5857;696;2367.0;783.0;517;573;266.0;800;1168.0;156.0;21.0;106.0;70.0;;;;;3469.0
Hoogezand-Sappemeer-G0018;73;40;7521;852.0;2084;1330;415;430.0;2136.0;718;742;24.0;278;415.0;362.0;94.0;198.0;116.0;;;;;3562.0
Hoogkarspel-G0403;0;22;290;986.0;292;39;129;8.0;34.0;73;73;;47;4.0;42.0;112.0;10.0;8.0;;;;;330.0
Hoogland-G0320;19;11;372;1761.0;462;202;135;183.0;34.0;101;112;51.0;38;46.0;39.0;43.0;11.0;19.0;;;;;471.0
Hoogwoud-G0404;12;1;433;689.0;301;52;63;34.0;56.0;78;60;1.0;24;8.0;37.0;44.0;7.0;11.0;4.0;;;;273.0
Hoorn-G0405;50;50;3583;1980.0;1728;501;595;213.0;426.0;537;465;22.0;110;88.0;410.0;279.0;55.0;50.0;23.0;;;;2072.0
Hoornaar-G0536;0;0;195;8.0;163;219;12;36.0;7.0;26;30;44.0;11;20.0;5.0;2.0;5.0;1.0;;;;;69.0
Horn-G0922;2;14;288;988.0;291;76;101;9.0;18.0;66;54;3.0;49;4.0;23.0;29.0;12.0;15.0;;;;;522.0
Horssen-G0254;3;1;69;477.0;40;25;18;32.0;3.0;8;4;;31;;6.0;14.0;2.0;3.0;;;;;99.0
Horst-G0923;15;45;815;4896.0;752;176;247;16.0;55.0;123;134;1.0;172;3.0;92.0;112.0;8.0;28.0;;;;;1932.0
Houten-G0321;13;20;320;1688.0;611;226;157;159.0;22.0;96;134;203.0;61;42.0;29.0;126.0;17.0;12.0;;;;;531.0
Huijbergen-G0803;9;2;117;399.0;176;19;20;1.0;14.0;27;24;;36;3.0;7.0;14.0;1.0;2.0;;;;;214.0
Huissen-G0255;15;5;985;2510.0;545;153;246;63.0;51.0;104;77;7.0;167;13.0;43.0;81.0;34.0;57.0;;;;;970.0
Huizen-G0406;42;55;2088;569.0;2681;2172;622;1240.0;280.0;722;866;1323.0;131;529.0;154.0;21.0;39.0;47.0;12.0;;;;1876.0
Hulsberg-G0924;15;19;352;838.0;253;65;92;8.0;33.0;85;27;1.0;63;3.0;15.0;58.0;6.0;27.0;;;;;447.0
Hulst-G0677;51;35;1823;2896.0;1161;224;523;53.0;99.0;220;83;5.0;316;16.0;39.0;318.0;37.0;104.0;;;;;2537.0
Hummelo en Keppel-G0256;3;7;712;308.0;461;298;63;147.0;17.0;55;111;10.0;57;11.0;23.0;16.0;19.0;16.0;;;;;345.0
Hunsel-G0925;2;16;215;1430.0;143;33;38;2.0;11.0;41;25;2.0;52;2.0;24.0;44.0;5.0;12.0;;;;;533.0
Idaarderadeel-G0078;13;14;2784;178.0;673;281;148;170.0;120.0;197;211;7.0;35;45.0;71.0;10.0;47.0;31.0;;;;;503.0
IJlst-G0102;10;1;274;19.0;108;298;30;288.0;6.0;23;35;5.0;8;36.0;6.0;2.0;8.0;7.0;;;;;134.0
IJsselmuiden-G0191;4;12;619;515.0;290;1015;92;830.0;16.0;54;77;1708.0;93;363.0;21.0;28.0;8.0;17.0;;;;;652.0
IJsselstein-G0353;57;27;1299;1791.0;830;481;423;328.0;140.0;401;254;358.0;55;66.0;93.0;51.0;23.0;33.0;;;;;1141.0
Ilpendam-G0407;4;19;491;325.0;239;78;75;101.0;292.0;83;82;14.0;23;11.0;23.0;18.0;8.0;20.0;4.0;;;;229.0
Jabeek-G0927;2;6;84;189.0;13;10;27;;7.0;4;3;;3;;3.0;15.0;;3.0;;;;;53.0
Jisp-G0408;1;0;177;46.0;104;19;33;18.0;80.0;23;26;;21;1.0;14.0;3.0;4.0;3.0;1.0;;;;107.0
Kamerik-G0323;1;19;118;435.0;189;237;61;258.0;7.0;47;54;205.0;37;40.0;12.0;11.0;1.0;8.0;;;;;205.0
Kampen-G0166;57;31;4157;991.0;1288;3327;692;1994.0;208.0;392;412;1541.0;289;1249.0;149.0;74.0;90.0;29.0;;;;;2163.0
Kantens-G0020;1;2;409;8.0;144;196;20;61.0;23.0;15;27;;16;149.0;4.0;2.0;1.0;6.0;;;;;132.0
Kapelle-G0678;20;1;1059;90.0;687;664;138;871.0;31.0;85;119;370.0;229;108.0;33.0;3.0;16.0;25.0;;;;;842.0
Katwijk-G0537;59;70;3079;699.0;2589;2420;646;3792.0;229.0;521;897;3355.0;249;613.0;119.0;51.0;92.0;59.0;;18.0;;;4036.0
Katwoude-G0409;1;0;22;17.0;29;23;1;29.0;2.0;5;13;5.0;8;;1.0;1.0;1.0;;;;;;24.0
Kedichem-G0538;0;9;243;8.0;219;115;6;29.0;6.0;15;15;41.0;10;3.0;1.0;2.0;7.0;1.0;;;;;98.0
Kerkrade-G0928;208;382;6119;9021.0;1900;428;1172;91.0;1336.0;1127;401;19.0;479;36.0;219.0;303.0;92.0;151.0;;;;;8323.0
Kerkwijk-G0257;7;14;631;50.0;202;633;27;205.0;23.0;44;52;866.0;62;70.0;18.0;5.0;5.0;20.0;;;;;576.0
Kessel-G0929;12;13;214;1072.0;239;32;36;;10.0;42;17;1.0;52;2.0;13.0;32.0;2.0;10.0;;;;;372.0
Kesteren-G0258;11;2;1234;52.0;412;470;85;159.0;28.0;70;109;1262.0;108;67.0;12.0;2.0;16.0;25.0;;;;;638.0
Klaaswaal-G0539;0;1;672;39.0;258;239;65;143.0;24.0;81;64;135.0;12;32.0;20.0;2.0;5.0;10.0;;;;;327.0
Klimmen-G0930;27;0;292;868.0;262;37;163;9.0;29.0;65;43;;49;2.0;15.0;142.0;14.0;24.0;;;;;441.0
Kloosterburen-G0021;0;5;241;411.0;116;195;37;3.0;20.0;17;21;1.0;7;10.0;13.0;23.0;3.0;5.0;;;;;108.0
Klundert-G0804;14;24;465;606.0;298;850;57;380.0;28.0;67;27;119.0;31;78.0;8.0;20.0;10.0;11.0;;;;;550.0
Kockengen-G0324;17;0;102;325.0;141;297;64;146.0;7.0;29;44;186.0;38;32.0;10.0;8.0;2.0;11.0;;;;;147.0
Kollumerland en Nieuwkruisland-G0079;46;11;1005;30.0;398;2627;112;1151.0;86.0;63;109;164.0;147;287.0;26.0;1.0;11.0;20.0;;;;;940.0
Koog aan de Zaan-G0411;23;6;1214;215.0;520;238;176;53.0;819.0;135;149;27.0;34;39.0;98.0;10.0;22.0;23.0;6.0;;;;470.0
Kortgene-G0682;4;3;759;12.0;327;254;43;338.0;11.0;42;62;137.0;23;22.0;7.0;;15.0;17.0;;;;;300.0
Koudekerk aan den Rijn-G0540;3;12;328;213.0;445;404;81;264.0;35.0;84;110;36.0;24;36.0;6.0;4.0;8.0;5.0;;1.0;;;341.0
Krimpen aan de Lek-G0541;1;12;1451;53.0;528;397;85;103.0;69.0;243;95;238.0;22;35.0;39.0;;9.0;8.0;;2.0;;;449.0
Krimpen aan den IJssel-G0542;26;44;3727;396.0;1916;986;415;545.0;351.0;711;496;1433.0;45;252.0;101.0;16.0;29.0;56.0;;5.0;;;1855.0
Krommenie-G0413;55;9;2143;1008.0;1073;588;664;120.0;1403.0;453;372;28.0;72;152.0;222.0;54.0;49.0;31.0;20.0;;;;1090.0
Kuinre-G0167;1;0;163;42.0;50;35;8;83.0;5.0;9;29;;14;13.0;2.0;;8.0;10.0;;;;;88.0
Landsmeer-G0415;29;5;1585;195.0;832;321;270;121.0;603.0;310;238;10.0;38;59.0;120.0;12.0;31.0;33.0;3.0;;;;590.0
Langbroek-G0325;5;3;175;142.0;124;163;18;147.0;11.0;17;39;174.0;27;17.0;4.0;2.0;;5.0;;;;;135.0
Langedijk-G0416;16;36;1169;1320.0;842;726;286;202.0;282.0;214;171;26.0;56;126.0;107.0;76.0;26.0;31.0;10.0;;;;962.0
Langerak-G0543;2;10;145;2.0;53;207;8;30.0;3.0;7;20;120.0;15;46.0;2.0;;2.0;;;;;;88.0
Laren-G0417;7;25;1232;1507.0;2508;356;587;145.0;214.0;374;710;30.0;94;61.0;182.0;186.0;47.0;36.0;8.0;;;;1417.0
Leek-G0022;22;14;2485;72.0;883;1643;169;379.0;153.0;255;199;47.0;310;518.0;110.0;4.0;41.0;45.0;;;;;1009.0
Leende-G0805;11;8;165;1093.0;357;63;42;6.0;7.0;55;76;1.0;46;14.0;16.0;26.0;5.0;14.0;;;;;277.0
Leens-G0023;9;0;590;157.0;230;405;28;33.0;57.0;28;59;8.0;17;345.0;11.0;19.0;14.0;12.0;;;;;273.0
Leerbroek-G0544;7;0;49;2.0;38;147;6;57.0;3.0;7;7;232.0;32;23.0;;;4.0;3.0;;;;;88.0
Leerdam-G0545;13;55;2726;220.0;804;1207;169;570.0;198.0;214;148;669.0;101;293.0;53.0;8.0;20.0;13.0;;;;;1169.0
Leersum-G0326;12;25;666;90.0;776;428;101;329.0;20.0;92;228;291.0;76;89.0;27.0;6.0;37.0;20.0;;;;;539.0
Leeuwarden-G0080;230;113;20687;2675.0;5704;7890;2269;2888.0;1802.0;2058;2409;250.0;425;1208.0;801.0;249.0;257.0;153.0;;;;;7854.0
Leeuwarderadeel-G0081;7;17;1542;50.0;456;889;102;187.0;80.0;132;177;16.0;50;63.0;34.0;8.0;24.0;17.0;;;;;420.0
Leiden-G0546;114;412;20213;5683.0;8426;3705;4000;2535.0;3800.0;2785;3821;502.0;539;699.0;1460.0;652.0;296.0;143.0;;36.0;;;10427.0
Leiderdorp-G0547;22;11;1691;829.0;2431;1284;617;503.0;165.0;525;871;121.0;62;162.0;149.0;65.0;33.0;16.0;;1.0;;;1205.0
Leidschendam-G0548;69;29;2780;3991.0;3787;1174;945;616.0;230.0;945;1227;72.0;184;173.0;217.0;194.0;88.0;43.0;;38.0;;;2294.0
Leimuiden-G0549;12;2;245;657.0;327;307;71;160.0;43.0;96;88;12.0;42;11.0;14.0;18.0;9.0;15.0;;1.0;;;361.0
Lekkerkerk-G0550;26;0;1487;46.0;909;397;86;73.0;73.0;204;143;358.0;43;46.0;39.0;6.0;15.0;8.0;;1.0;;;522.0
Lemsterland-G0082;21;21;1518;210.0;367;968;119;753.0;434.0;141;144;94.0;88;84.0;33.0;19.0;52.0;24.0;;;;;900.0
Leusden-G0327;25;18;865;1545.0;1683;585;337;480.0;49.0;336;431;251.0;90;232.0;63.0;144.0;14.0;8.0;;;;;685.0
Lexmond-G0551;0;12;272;11.0;120;318;10;198.0;10.0;13;32;209.0;21;34.0;2.0;1.0;3.0;2.0;;;;;131.0
Lichtenvoorde-G0260;16;15;752;4790.0;632;267;285;240.0;32.0;152;107;3.0;199;11.0;83.0;189.0;49.0;56.0;;;;;1134.0
Liempde-G0806;14;4;295;1049.0;177;41;67;6.0;10.0;65;29;;93;2.0;11.0;66.0;4.0;9.0;;;;;297.0
Lienden-G0261;7;9;1491;46.0;391;282;28;293.0;17.0;61;65;295.0;221;26.0;16.0;3.0;17.0;42.0;;;;;517.0
Lieshout-G0807;23;4;395;1405.0;275;55;59;9.0;49.0;90;48;2.0;106;3.0;42.0;47.0;9.0;11.0;;;;;508.0
Limbricht-G0931;14;17;307;1231.0;231;38;101;3.0;26.0;81;41;;66;1.0;12.0;24.0;8.0;18.0;;;;;553.0
Limmen-G0418;10;3;261;1051.0;292;51;166;11.0;100.0;88;78;1.0;179;8.0;34.0;58.0;7.0;10.0;10.0;;;;329.0
Linne-G0932;14;20;327;829.0;235;47;68;6.0;28.0;42;26;2.0;49;2.0;23.0;29.0;79.0;20.0;;;;;457.0
Linschoten-G0328;34;0;272;624.0;341;381;116;219.0;27.0;85;121;262.0;59;50.0;28.0;18.0;7.0;12.0;;;;;358.0
Lisse-G0553;17;40;1253;2935.0;1849;748;478;588.0;130.0;324;424;574.0;105;170.0;103.0;137.0;55.0;22.0;;8.0;;;1330.0
Lith-G0808;22;8;301;1317.0;175;105;46;15.0;24.0;75;30;2.0;145;4.0;12.0;53.0;10.0;24.0;;;;;712.0
Lochem-G0262;34;26;3049;452.0;2327;1126;257;872.0;149.0;360;416;9.0;325;75.0;159.0;34.0;218.0;59.0;;;;;1690.0
Loenen-G0329;39;6;642;401.0;945;467;212;361.0;81.0;156;216;143.0;43;92.0;42.0;16.0;20.0;13.0;;;;;506.0
Loon op Zand-G0809;63;46;1299;4617.0;1112;232;343;72.0;140.0;237;172;114.0;501;23.0;89.0;139.0;31.0;56.0;;;;;1791.0
Loosdrecht-G0330;20;19;704;209.0;1414;660;230;404.0;105.0;195;310;102.0;84;130.0;68.0;10.0;40.0;23.0;;;;;672.0
Lopik-G0331;21;17;652;532.0;339;564;76;355.0;38.0;82;80;385.0;68;75.0;17.0;21.0;15.0;17.0;;;;;462.0
Loppersum-G0024;14;2;580;15.0;236;672;54;89.0;37.0;33;66;6.0;34;152.0;36.0;6.0;6.0;12.0;;;;;250.0
Losser-G0168;36;25;1580;4809.0;734;238;926;442.0;480.0;235;197;10.0;427;34.0;79.0;162.0;77.0;37.0;;;;;2160.0
Luyksgestel-G0810;6;1;171;597.0;103;32;29;4.0;5.0;40;22;1.0;55;;6.0;15.0;1.0;15.0;;;;;300.0
Maarheeze-G0811;18;11;421;1820.0;361;96;76;12.0;49.0;88;83;;118;5.0;35.0;42.0;3.0;20.0;;;;;697.0
Maarn-G0332;11;21;490;178.0;718;293;115;305.0;27.0;161;259;152.0;65;73.0;46.0;8.0;2.0;8.0;;;;;354.0
Maarssen-G0333;41;40;1975;1098.0;1249;989;402;819.0;172.0;368;375;173.0;118;153.0;84.0;25.0;26.0;31.0;;;;;1454.0
Maartensdijk-G0334;12;28;805;280.0;958;724;185;367.0;77.0;236;266;560.0;70;149.0;69.0;9.0;47.0;11.0;;;;;678.0
Maasbracht-G0933;22;26;504;1442.0;406;168;113;34.0;45.0;93;53;6.0;142;10.0;23.0;69.0;47.0;58.0;;;;;1627.0
Maasbree-G0934;19;39;328;2777.0;558;72;143;4.0;22.0;92;80;2.0;106;1.0;50.0;64.0;10.0;14.0;;;;;958.0
Maasdam-G0554;0;17;575;27.0;374;225;44;138.0;13.0;64;48;171.0;19;24.0;5.0;1.0;12.0;5.0;;;;;244.0
Maasdriel-G0263;20;5;437;2169.0;310;119;91;105.0;44.0;58;43;20.0;167;1.0;15.0;62.0;14.0;37.0;;;;;837.0
Maasland-G0555;13;1;228;324.0;542;778;92;496.0;14.0;73;82;50.0;26;90.0;18.0;18.0;17.0;6.0;;;;;276.0
Maassluis-G0556;14;79;4585;895.0;2374;2214;894;993.0;319.0;967;686;269.0;75;404.0;171.0;41.0;54.0;26.0;;;;;2694.0
Maastricht-G0935;313;326;15739;16514.0;8040;1065;2629;167.0;1803.0;2115;1455;28.0;878;97.0;748.0;1169.0;218.0;451.0;;;;;22239.0
Made en Drimmelen-G0812;42;13;1245;2348.0;548;198;181;104.0;76.0;164;85;9.0;351;8.0;40.0;95.0;24.0;36.0;;;;;1153.0
Margraten-G0936;8;10;202;751.0;204;24;54;2.0;8.0;43;33;1.0;35;2.0;8.0;72.0;14.0;13.0;;;;;361.0
Mariekerke-G0686;4;1;80;6.0;102;397;28;231.0;2.0;18;28;621.0;18;67.0;4.0;2.0;2.0;4.0;;;;;126.0
Markelo-G0169;5;11;1191;115.0;947;494;70;471.0;28.0;128;176;17.0;272;25.0;28.0;11.0;52.0;14.0;;;;;609.0
Marken-G0419;0;7;195;6.0;58;266;30;332.0;15.0;35;24;7.0;22;45.0;15.0;;4.0;10.0;2.0;;;;208.0
Marum-G0025;5;13;1411;29.0;537;1168;66;112.0;128.0;107;114;27.0;424;123.0;84.0;7.0;25.0;22.0;;;;;686.0
Maurik-G0264;4;8;1513;177.0;406;324;46;288.0;27.0;70;67;70.0;75;30.0;14.0;7.0;15.0;29.0;;;;;530.0
Medemblik-G0420;37;4;807;858.0;315;229;127;121.0;266.0;75;124;9.0;42;39.0;49.0;46.0;16.0;13.0;8.0;;;;548.0
Meeden-G0026;1;9;506;8.0;55;239;15;17.0;90.0;17;15;6.0;4;27.0;4.0;;16.0;2.0;;;;;117.0
Meerkerk-G0557;6;15;381;15.0;319;336;49;151.0;16.0;50;30;133.0;41;20.0;12.0;;5.0;8.0;;;;;192.0
Meerlo-Wanssum-G0993;26;5;343;1874.0;340;61;121;6.0;15.0;69;44;;71;;33.0;49.0;7.0;12.0;;;;;644.0
Meerssen-G0938;31;32;868;1932.0;576;112;187;19.0;106.0;150;91;3.0;93;8.0;36.0;99.0;37.0;40.0;;;;;1312.0
Megen, Haren en Macharen-G0813;10;5;201;794.0;106;40;71;3.0;17.0;27;16;;54;2.0;18.0;24.0;5.0;12.0;;;;;302.0
Meijel-G0941;7;17;279;1370.0;207;55;73;1.0;16.0;33;22;;107;3.0;17.0;28.0;2.0;9.0;;;;;562.0
Melick en Herkenbosch-G0939;11;19;430;1287.0;627;57;88;10.0;44.0;67;99;;79;4.0;35.0;67.0;6.0;22.0;;;;;662.0
Menaldumadeel-G0083;34;15;2381;244.0;741;1378;130;638.0;81.0;148;227;16.0;88;183.0;80.0;25.0;71.0;36.0;;;;;719.0
Meppel-G0119;43;17;4787;272.0;1787;1578;426;1250.0;188.0;389;471;43.0;228;372.0;87.0;16.0;106.0;49.0;;;;;1619.0
Merkelbeek-G0940;4;16;160;453.0;65;23;50;1.0;27.0;33;15;;21;;8.0;37.0;2.0;6.0;;;;;238.0
Mheer-G0942;1;10;94;465.0;59;8;13;1.0;5.0;16;12;;33;2.0;7.0;6.0;2.0;6.0;;;;;189.0
Middelburg-G0687;57;29;5273;799.0;2558;2934;1108;1665.0;250.0;654;839;1511.0;161;578.0;202.0;20.0;91.0;70.0;;;;;3248.0
Middelharnis-G0559;37;88;2515;108.0;903;1336;98;258.0;62.0;181;127;1716.0;201;120.0;27.0;10.0;48.0;44.0;;;;;1251.0
Middelstum-G0027;1;1;350;11.0;131;670;37;102.0;40.0;31;23;9.0;11;152.0;26.0;4.0;5.0;1.0;;;;;154.0
Middenschouwen-G0688;0;3;264;9.0;144;334;14;135.0;6.0;28;26;120.0;26;52.0;11.0;4.0;6.0;11.0;;;;;256.0
Midwolda-G0028;9;7;735;20.0;125;545;16;470.0;212.0;31;24;14.0;12;113.0;12.0;6.0;7.0;15.0;;;;;339.0
Midwoud-G0422;4;0;346;59.0;218;21;30;7.0;30.0;48;42;5.0;17;5.0;22.0;1.0;7.0;4.0;1.0;;;;178.0
Mierlo-G0814;21;16;569;1774.0;546;111;145;13.0;128.0;138;102;4.0;111;6.0;46.0;74.0;10.0;17.0;;;;;591.0
Mijdrecht-G0336;36;24;773;1372.0;902;724;193;406.0;76.0;249;257;125.0;116;133.0;42.0;64.0;23.0;18.0;;;;;818.0
Mijnsheerenland-G0564;14;0;400;10.0;300;319;36;193.0;8.0;38;61;81.0;18;25.0;9.0;2.0;8.0;10.0;;;;;201.0
Mill en Sint Hubert-G0815;23;18;799;2734.0;444;96;244;14.0;41.0;128;72;;222;8.0;37.0;64.0;14.0;33.0;;;;;948.0
Millingen aan de Rijn-G0265;10;17;932;838.0;177;69;116;7.0;43.0;86;13;;62;2.0;16.0;27.0;8.0;28.0;;;;;680.0
Moergestel-G0816;17;7;331;1296.0;460;54;71;7.0;51.0;60;61;1.0;111;3.0;28.0;38.0;15.0;18.0;;;;;459.0
Moerkapelle-G0560;14;0;294;37.0;202;209;29;81.0;8.0;40;53;365.0;14;23.0;5.0;1.0;2.0;1.0;;;;;159.0
Molenaarsgraaf-G0561;8;0;88;4.0;62;122;15;53.0;2.0;23;5;112.0;5;7.0;4.0;;1.0;2.0;;;;;68.0
Monnickendam-G0423;17;10;1048;467.0;647;291;213;303.0;290.0;226;245;5.0;64;37.0;54.0;19.0;;23.0;;;;;557.0
Monster-G0562;27;61;1390;2801.0;1627;1077;324;561.0;96.0;284;367;609.0;124;252.0;74.0;161.0;51.0;33.0;;;;;1932.0
Montfoort-G0335;2;8;149;585.0;155;82;71;55.0;5.0;30;31;80.0;37;9.0;9.0;39.0;2.0;9.0;;;;;155.0
Montfort-G0943;10;33;199;800.0;132;29;27;3.0;19.0;29;8;1.0;87;3.0;14.0;8.0;8.0;23.0;;;;;406.0
Mook en Middelaar-G0944;10;14;402;1072.0;580;78;207;13.0;32.0;142;110;;79;7.0;39.0;34.0;13.0;47.0;;;;;473.0
Moordrecht-G0563;28;0;883;192.0;496;449;101;101.0;46.0;168;97;273.0;41;50.0;36.0;2.0;14.0;14.0;;2.0;;;536.0
Muiden-G0424;13;18;835;414.0;594;321;182;347.0;97.0;207;169;45.0;57;36.0;52.0;20.0;11.0;10.0;7.0;;;;415.0
Munstergeleen-G0945;1;33;424;1109.0;272;66;107;9.0;52.0;111;46;1.0;54;3.0;17.0;35.0;6.0;21.0;;;;;502.0
Muntendam-G0029;5;10;1320;26.0;181;111;15;116.0;317.0;48;60;5.0;34;26.0;15.0;2.0;20.0;20.0;;;;;405.0
Naaldwijk-G0565;44;46;1894;2805.0;2492;2244;450;1129.0;55.0;342;418;167.0;128;199.0;54.0;169.0;36.0;37.0;;;;;1851.0
Naarden-G0425;28;28;1858;1052.0;3364;788;538;298.0;204.0;506;968;130.0;114;165.0;173.0;75.0;56.0;27.0;9.0;;;;1405.0
Nederhorst den Berg-G0426;11;12;514;452.0;477;326;149;205.0;102.0;125;115;17.0;39;45.0;32.0;15.0;14.0;14.0;5.0;;;;410.0
Nederweert-G0946;43;47;756;3934.0;579;98;167;9.0;30.0;135;88;5.0;263;13.0;39.0;70.0;26.0;48.0;;;;;1465.0
Neede-G0266;26;16;2275;1190.0;762;392;184;339.0;81.0;201;173;4.0;135;67.0;37.0;22.0;75.0;24.0;;;;;769.0
Neer-G0947;4;5;167;943.0;150;23;45;2.0;5.0;24;14;;30;1.0;19.0;18.0;3.0;13.0;;;;;544.0
Nibbixwoud-G0427;14;2;216;609.0;170;28;55;7.0;23.0;48;28;;20;6.0;15.0;40.0;8.0;3.0;4.0;;;;204.0
Niedorp-G0412;13;12;1268;978.0;581;101;104;27.0;189.0;176;135;6.0;62;14.0;109.0;29.0;20.0;29.0;4.0;;;;621.0
Nieuw-Beijerland-G0566;5;11;515;37.0;250;163;52;50.0;24.0;75;62;366.0;11;34.0;11.0;2.0;8.0;15.0;;;;;217.0
Nieuwe Pekela-G0030;19;4;940;152.0;275;500;56;239.0;443.0;45;73;21.0;74;69.0;32.0;15.0;13.0;17.0;;;;;556.0
Nieuwegein-G0356;30;20;1760;1922.0;1180;689;539;473.0;122.0;390;442;201.0;84;87.0;115.0;62.0;65.0;32.0;;;;;1471.0
Nieuwenhagen-G0948;35;39;1375;1472.0;476;70;219;23.0;307.0;311;103;1.0;110;11.0;62.0;44.0;46.0;39.0;;;;;1386.0
