RegioNaam;@invalid;@blank;PvdA;KVP;VVD;ARP;Politieke Partij Radikalen (PPR);CHU;Communistische Partij van Nederland;D66;Democratisch Socialisten '70;SGP;Boeren Partij;Gereformeerd Politiek Verbond (GPV);Pacifistisch-Socialistische Partij (PSP);Rooms Katholieke Partij Nederland (RKPN);Democratische Middenpartij;Nederlandse Middenstands Partij;Lijst ir. W. Stam;Partij van het Recht;Anti-Woningnood Aktie;Nieuwe Roomse Partij;@abs
Dordrecht-G0505;243;204;22122;3336.0;8190;5932;2199;2902.0;2508.0;2679;2115;1651.0;533;1065.0;704.0;153.0;216.0;183.0;;;;;12357.0
Dreumel-G0224;7;0;299;905.0;158;34;68;22.0;24.0;32;17;;91;1.0;7.0;50.0;7.0;20.0;;;;;311.0
Driebergen-Rijsenburg-G0316;56;44;2006;830.0;2335;1255;523;563.0;136.0;332;614;528.0;128;319.0;124.0;70.0;39.0;23.0;;;;;1394.0
Driebruggen-G0506;9;6;191;324.0;229;489;64;274.0;15.0;56;64;291.0;47;29.0;17.0;12.0;5.0;6.0;;;;;286.0
Dronten-G0303;13;3;1266;820.0;1215;1296;376;583.0;112.0;244;240;137.0;73;259.0;48.0;11.0;20.0;5.0;;;;;609.0
Drunen-G0767;25;22;1011;2924.0;792;228;272;44.0;125.0;234;192;14.0;289;16.0;78.0;116.0;24.0;38.0;;;;;1172.0
Druten-G0225;0;0;1176;2366.0;446;121;310;72.0;51.0;182;54;4.0;222;4.0;52.0;87.0;12.0;44.0;;;;;1480.0
Duiveland-G0662;3;5;626;30.0;294;279;13;216.0;12.0;43;52;721.0;37;53.0;14.0;1.0;11.0;17.0;;;;;405.0
Duiven-G0226;18;9;533;1861.0;405;137;188;37.0;36.0;129;98;2.0;167;16.0;38.0;163.0;5.0;25.0;;;;;691.0
Dussen-G0769;3;17;485;986.0;189;319;64;150.0;40.0;49;37;100.0;92;29.0;20.0;27.0;2.0;17.0;;;;;502.0
Dwingeloo-G0112;11;4;909;22.0;486;319;35;78.0;12.0;74;78;4.0;59;10.0;25.0;1.0;26.0;21.0;;;;;225.0
Echt-G0902;49;80;1445;4468.0;722;172;247;20.0;150.0;231;150;3.0;422;23.0;163.0;221.0;29.0;49.0;;;;;2304.0
Echteld-G0227;6;7;1491;70.0;326;330;63;196.0;18.0;50;67;359.0;117;48.0;7.0;6.0;10.0;26.0;;;;;380.0
Edam-Volendam-G0385;33;62;1396;4877.0;1188;296;476;119.0;232.0;321;365;9.0;157;36.0;112.0;437.0;48.0;49.0;19.0;;;;1765.0
Ede-G0228;147;42;7229;2181.0;7177;6180;2048;4418.0;482.0;1447;2153;6146.0;1884;1346.0;410.0;98.0;188.0;113.0;;;;;5589.0
Eelde-G0113;14;4;2029;195.0;1522;446;201;164.0;101.0;317;490;7.0;153;61.0;107.0;8.0;62.0;43.0;;;;;557.0
Eemnes-G0317;25;0;336;524.0;419;251;100;73.0;38.0;109;120;44.0;54;35.0;35.0;21.0;13.0;5.0;;;;;269.0
Eenrum-G0011;0;1;777;33.0;215;107;36;18.0;42.0;26;53;;16;119.0;27.0;9.0;28.0;7.0;;;;;175.0
Eersel-G0770;17;14;503;2461.0;574;123;190;32.0;57.0;186;133;2.0;139;8.0;80.0;106.0;3.0;12.0;;;;;804.0
Eethen-G0771;4;2;302;65.0;128;785;21;224.0;12.0;28;24;233.0;52;48.0;10.0;1.0;1.0;8.0;;;;;375.0
Egmond aan Zee-G0386;23;4;1383;313.0;533;193;139;69.0;152.0;146;160;5.0;47;12.0;52.0;18.0;11.0;13.0;16.0;;;;605.0
Egmond-Binnen-G0387;18;5;275;1117.0;401;67;149;13.0;54.0;102;98;1.0;81;6.0;48.0;97.0;15.0;13.0;19.0;;;;402.0
Eibergen-G0229;26;10;2120;3201.0;829;687;237;632.0;63.0;240;200;10.0;135;45.0;83.0;126.0;95.0;29.0;;;;;995.0
Eijgelshoven-G0904;22;30;828;935.0;217;55;169;14.0;121.0;206;77;4.0;60;2.0;36.0;19.0;13.0;15.0;;;;;816.0
Eijsden-G0905;12;20;621;1463.0;421;67;98;12.0;56.0;134;78;1.0;72;4.0;39.0;85.0;5.0;22.0;;;;;963.0
Eindhoven-G0772;406;224;25877;29838.0;14753;4553;6785;1018.0;3392.0;5842;4282;131.0;2209;747.0;2123.0;1450.0;270.0;411.0;;;;;25948.0
Elburg-G0230;17;3;508;87.0;454;496;77;607.0;27.0;92;131;490.0;74;210.0;20.0;4.0;8.0;12.0;;;;;510.0
Elsloo-G0903;35;17;843;1594.0;381;109;149;5.0;71.0;179;64;;97;5.0;38.0;62.0;60.0;37.0;;;;;998.0
Elst-G0231;0;2;1647;2623.0;1339;542;310;321.0;72.0;242;272;40.0;102;64.0;90.0;66.0;61.0;30.0;;;;;1936.0
Emmen-G0114;224;70;16907;5840.0;3528;5235;1533;2877.0;2730.0;1176;917;50.0;720;705.0;392.0;161.0;196.0;186.0;;;;;9688.0
Enkhuizen-G0388;26;34;2158;615.0;893;1102;311;433.0;418.0;302;279;173.0;89;229.0;96.0;61.0;26.0;34.0;16.0;;;;997.0
Enschede-G0153;277;156;25531;11926.0;10369;4421;4334;2901.0;7161.0;3595;3375;328.0;1898;2631.0;1104.0;532.0;575.0;274.0;;;;;15203.0
Epe-G0232;63;27;5582;1284.0;2822;1706;416;1693.0;192.0;508;766;629.0;684;255.0;166.0;42.0;135.0;79.0;;;;;2444.0
Ermelo-G0233;37;11;1125;312.0;2029;2654;557;2023.0;90.0;245;605;819.0;279;705.0;112.0;19.0;47.0;31.0;;;;;2254.0
Erp-G0775;7;9;236;1751.0;193;60;66;2.0;18.0;57;32;3.0;68;3.0;12.0;38.0;2.0;17.0;;;;;427.0
Esch-G0776;7;0;96;525.0;99;15;33;3.0;5.0;15;15;2.0;24;2.0;6.0;11.0;1.0;6.0;;;;;133.0
Est en Opijnen-G0234;3;1;322;7.0;95;58;12;61.0;4.0;8;20;85.0;3;9.0;9.0;;1.0;7.0;;;;;102.0
Etten-Leur-G0777;54;50;2802;3922.0;1332;332;561;119.0;170.0;383;204;7.0;535;29.0;87.0;129.0;47.0;87.0;;;;;2864.0
Everdingen-G0508;1;0;152;100.0;168;149;40;78.0;4.0;38;31;131.0;41;13.0;9.0;8.0;14.0;11.0;;;;;168.0
Ewijk-G0235;8;2;393;1124.0;142;52;113;40.0;30.0;42;20;;104;9.0;10.0;43.0;8.0;25.0;;;;;606.0
Ezinge-G0012;0;3;391;6.0;176;313;22;30.0;23.0;24;27;3.0;29;43.0;11.0;1.0;2.0;3.0;;;;;92.0
Ferwerderadeel-G0068;11;15;768;29.0;410;2024;97;637.0;26.0;48;132;39.0;43;284.0;49.0;3.0;20.0;14.0;;;;;549.0
Fijnaart en Heijningen-G0778;24;12;647;931.0;275;260;84;437.0;58.0;60;58;39.0;41;43.0;14.0;23.0;9.0;9.0;;;;;548.0
Finsterwolde-G0013;9;9;424;12.0;124;30;15;46.0;1051.0;20;41;6.0;17;12.0;14.0;6.0;16.0;10.0;;;;;241.0
Franeker-G0069;29;18;1782;426.0;620;1171;240;502.0;138.0;142;201;59.0;68;144.0;91.0;38.0;23.0;23.0;;;;;1267.0
Franekeradeel-G0070;8;12;666;71.0;245;487;64;383.0;28.0;68;57;20.0;30;56.0;28.0;5.0;10.0;9.0;;;;;366.0
Gaasterland-G0071;21;10;503;644.0;289;701;148;914.0;36.0;67;101;165.0;96;113.0;37.0;40.0;30.0;16.0;;;;;601.0
Gasselte-G0115;14;1;1176;15.0;367;226;41;150.0;152.0;72;76;2.0;18;25.0;22.0;7.0;13.0;24.0;;;;;397.0
Geertruidenberg-G0779;16;12;735;1014.0;295;128;139;41.0;96.0;151;55;6.0;133;8.0;38.0;40.0;19.0;38.0;;;;;743.0
Geervliet-G0509;0;8;588;29.0;204;156;61;66.0;38.0;78;38;36.0;15;8.0;19.0;;3.0;10.0;;;;;196.0
Geffen-G0780;6;14;360;916.0;167;61;41;1.0;18.0;60;28;2.0;153;1.0;9.0;48.0;1.0;18.0;;;;;498.0
Geldermalsen-G0236;8;11;1949;169.0;624;448;116;524.0;43.0;114;154;494.0;53;63.0;31.0;7.0;23.0;12.0;;;;;721.0
Geldrop-G0781;40;32;2313;3791.0;1976;524;825;119.0;239.0;661;535;11.0;302;68.0;182.0;142.0;43.0;72.0;;;;;2729.0
Geleen-G0906;145;186;4540;6816.0;2375;609;916;106.0;590.0;930;404;12.0;382;35.0;272.0;160.0;93.0;72.0;;;;;4922.0
Gemert-G0782;35;28;1170;3431.0;694;208;263;54.0;196.0;264;130;2.0;310;12.0;166.0;134.0;32.0;50.0;;;;;1793.0
Gendringen-G0237;23;18;1507;5056.0;615;379;517;346.0;135.0;212;149;13.0;226;21.0;112.0;264.0;45.0;60.0;;;;;1546.0
Gendt-G0238;10;13;668;1689.0;261;96;157;32.0;33.0;63;39;7.0;118;7.0;23.0;38.0;10.0;24.0;;;;;731.0
Genemuiden-G0154;2;13;590;7.0;209;434;25;408.0;21.0;16;61;985.0;39;188.0;2.0;2.0;6.0;8.0;;;;;573.0
Gennep-G0907;10;16;644;1517.0;354;83;160;14.0;34.0;308;56;1.0;73;8.0;44.0;39.0;7.0;23.0;;;;;1208.0
Geulle-G0908;14;12;261;687.0;145;14;75;2.0;23.0;46;21;;30;3.0;26.0;68.0;10.0;13.0;;;;;387.0
Giessen-G0783;1;1;62;2.0;13;434;6;34.0;3.0;5;7;50.0;9;46.0;4.0;;;;;;;;70.0
Giessenburg-G0510;9;12;504;25.0;352;642;38;161.0;26.0;59;27;298.0;39;58.0;12.0;;12.0;9.0;;;;;301.0
Gieten-G0116;17;6;1436;36.0;686;141;57;185.0;67.0;120;145;;60;12.0;19.0;3.0;26.0;21.0;;;;;416.0
Giethoorn-G0155;5;2;677;23.0;220;87;25;143.0;65.0;29;42;5.0;42;33.0;14.0;1.0;8.0;9.0;;;;;279.0
Gilze en Rijen-G0784;28;19;1989;4115.0;1430;366;504;52.0;146.0;376;208;23.0;384;35.0;116.0;114.0;37.0;64.0;;;;;1722.0
Goedereede-G0511;12;59;1034;20.0;430;836;50;345.0;28.0;79;73;1742.0;139;98.0;7.0;;24.0;20.0;;;;;879.0
Goes-G0664;17;41;4157;1215.0;2326;1838;797;2177.0;147.0;532;498;1206.0;174;345.0;147.0;64.0;47.0;79.0;;;;;3029.0
Goirle-G0785;44;23;1055;2409.0;883;147;296;22.0;177.0;255;121;6.0;261;18.0;100.0;79.0;15.0;62.0;;;;;1461.0
Goor-G0156;19;7;2429;1228.0;724;322;213;214.0;157.0;192;225;4.0;108;62.0;40.0;29.0;70.0;17.0;;;;;812.0
Gorinchem-G0512;57;43;6330;826.0;2058;1838;566;645.0;400.0;669;602;439.0;143;297.0;176.0;40.0;59.0;44.0;;;;;2831.0
Gorssel-G0239;15;34;2185;470.0;2053;1168;348;1081.0;76.0;272;511;21.0;258;92.0;88.0;27.0;126.0;31.0;;;;;1176.0
Gouda-G0513;135;97;9736;3165.0;3687;2396;1204;1020.0;853.0;1324;1309;1301.0;266;486.0;390.0;140.0;115.0;90.0;;12.0;;;4925.0
Gouderak-G0514;9;0;444;31.0;197;282;25;29.0;18.0;49;38;177.0;8;12.0;11.0;;7.0;3.0;;2.0;;;196.0
Goudriaan-G0515;7;0;36;;67;135;2;12.0;;8;5;77.0;9;18.0;4.0;;1.0;;;;;;52.0
Goudswaard-G0516;15;1;212;4.0;89;72;10;47.0;1.0;20;7;307.0;8;12.0;3.0;;4.0;2.0;;;;;189.0
