RegioNaam;@invalid;@blank;KVP;PvdA;ARP;Communistische Partij van Nederland;CHU;Partij van de Vrijheid;SGP;@abs
Belfeld-G0890;0;;1043.0;36;3.0;8.0;1.0;3.0;;
Bellingwolde-G1019;0;;26.0;1714;238.0;767.0;188.0;386.0;3.0;
Bemelen-G0891;0;;140.0;7;;;;4.0;;
Bemmel-G0206;0;;3302.0;187;34.0;31.0;197.0;37.0;8.0;
Bennebroek-G0372;0;;604.0;270;243.0;29.0;81.0;143.0;5.0;
Benschop-G0309;0;;306.0;117;288.0;1.0;151.0;64.0;112.0;
Benthuizen-G0490;0;;10.0;76;104.0;2.0;60.0;32.0;295.0;
Berg en Terblijt-G0892;0;;909.0;40;2.0;6.0;2.0;4.0;;
Bergambacht-G0491;0;;12.0;599;548.0;98.0;69.0;241.0;336.0;
Bergen-G0373;0;;1523.0;1378;205.0;302.0;84.0;414.0;3.0;
Bergen-G0893;0;;3503.0;107;11.0;27.0;6.0;1.0;5.0;
Bergen op Zoom-G0748;0;;10032.0;1931;697.0;325.0;286.0;219.0;66.0;
Bergeyk-G0749;0;;1609.0;54;15.0;17.0;26.0;4.0;1.0;
Bergh-G0207;0;;5099.0;598;53.0;24.0;43.0;39.0;12.0;
Bergharen-G0208;0;;783.0;31;1.0;1.0;102.0;11.0;4.0;
Berghem-G0750;0;;1110.0;139;6.0;4.0;1.0;5.0;1.0;
Bergschenhoek-G0492;0;;377.0;232;293.0;48.0;449.0;75.0;75.0;
Berkel en Rodenrijs-G0493;0;;1196.0;122;578.0;6.0;566.0;26.0;30.0;
Berkel-Enschot-G0751;0;;1335.0;21;9.0;5.0;3.0;4.0;;
Berkenwoude-G0494;0;;3.0;78;111.0;7.0;4.0;181.0;98.0;
Berkhout-G0374;0;;849.0;636;25.0;49.0;26.0;80.0;4.0;
Berlicum-G0752;0;;1762.0;111;17.0;10.0;10.0;7.0;3.0;
Best-G0753;0;;2527.0;200;10.0;12.0;10.0;;2.0;
Beuningen-G0209;0;;1560.0;96;9.0;10.0;68.0;28.0;2.0;
Beusichem-G0210;0;;57.0;389;148.0;32.0;65.0;163.0;57.0;
Beverwijk-G0375;0;;5479.0;3074;696.0;2854.0;321.0;443.0;17.0;
Bierum-G0008;0;;6.0;461;939.0;73.0;665.0;165.0;;
Biervliet-G0652;0;;362.0;374;52.0;83.0;143.0;73.0;42.0;
Biggekerke-G1022;0;;4.0;51;153.0;11.0;124.0;7.0;65.0;
Bingelrade-G0894;0;;295.0;6;;4.0;;1.0;1.0;
Bladel en Netersel-G0754;0;;1384.0;14;7.0;;41.0;;2.0;
Blankenham-G0145;0;;23.0;113;10.0;6.0;80.0;48.0;;
Blaricum-G0376;0;;828.0;619;121.0;243.0;86.0;407.0;4.0;
Bleiswijk-G0495;0;;418.0;173;250.0;7.0;270.0;123.0;91.0;
Bleskensgraaf en Hofwegen-G0496;0;;;98;224.0;1.0;14.0;46.0;218.0;
Bloemendaal-G0377;0;;2390.0;2737;1267.0;434.0;472.0;2485.0;22.0;
Blokker-G0378;0;;903.0;282;21.0;24.0;10.0;58.0;3.0;
Blokzijl-G0146;0;;23.0;422;191.0;31.0;86.0;42.0;20.0;
Bocholtz-G0895;0;;1196.0;150;11.0;63.0;8.0;3.0;6.0;
Bodegraven-G0497;0;;744.0;514;1320.0;21.0;594.0;151.0;209.0;
Boekel-G0755;0;;2005.0;25;4.0;1.0;1.0;;;
Bolsward-G0064;0;;1245.0;1016;561.0;209.0;507.0;97.0;3.0;
Borculo-G0211;0;;331.0;1301;412.0;65.0;284.0;861.0;;
Borger-G0108;0;;76.0;2523;765.0;311.0;674.0;798.0;2.0;
Borgharen-G0896;0;;447.0;87;3.0;5.0;4.0;1.0;;
Born-G0897;0;;1466.0;164;10.0;12.0;5.0;10.0;;
Borne-G0147;0;;3324.0;1334;278.0;425.0;243.0;98.0;20.0;
Borsele-G0654;0;;133.0;113;99.0;6.0;206.0;26.0;215.0;
Boskoop-G0499;0;;911.0;769;1154.0;130.0;537.0;567.0;207.0;
Bovenkarspel-G0379;0;;1154.0;280;18.0;31.0;13.0;33.0;;
Boxmeer-G0756;0;;3143.0;133;4.0;34.0;29.0;10.0;2.0;
