RegioNaam;@invalid;@blank;KVP;PvdA;ARP;Communistische Partij van Nederland;CHU;Partij van de Vrijheid;SGP;@abs
Heerenveen-G0074;0;;436.0;5222;1619.0;3080.0;933.0;874.0;19.0;
Heerewaarden-G0247;0;;10.0;363;8.0;6.0;20.0;99.0;1.0;
Heerhugowaard-G0398;0;;1791.0;538;195.0;89.0;39.0;42.0;5.0;
Heerjansdam-G0526;0;;;221;194.0;37.0;178.0;33.0;36.0;
Heerlen-G0917;0;;16045.0;4437;422.0;2896.0;323.0;260.0;46.0;
Heesch-G0791;0;;1600.0;41;8.0;6.0;10.0;;;
Heeswijk-G1072;0;;931.0;5;;1.0;;;;
Heeze-G0793;0;;1650.0;96;14.0;1.0;41.0;14.0;;
Hei- en Boeicop-G0527;0;;2.0;33;159.0;3.0;9.0;28.0;162.0;
Heiloo-G0399;0;;2120.0;1651;218.0;343.0;112.0;336.0;12.0;
Heinenoord-G0528;0;;14.0;296;350.0;11.0;205.0;113.0;124.0;
Heinkenszand-G0672;0;;551.0;100;158.0;3.0;253.0;32.0;43.0;
Heino-G0162;0;;804.0;306;111.0;5.0;399.0;39.0;3.0;
Hekelingen-G1074;0;;1.0;284;96.0;24.0;24.0;97.0;15.0;
Hekendorp-G1075;0;;100.0;42;89.0;3.0;61.0;40.0;39.0;
Helden-G0918;0;;3690.0;36;5.0;4.0;4.0;3.0;2.0;
Hellendoorn-G0163;0;;1884.0;1973;1964.0;210.0;2009.0;261.0;99.0;
Hellevoetsluis-G0530;0;;19.0;300;77.0;26.0;45.0;69.0;8.0;
Helmond-G0794;0;;10827.0;2802;111.0;973.0;79.0;155.0;14.0;
Helvoirt-G0795;0;;1173.0;39;9.0;5.0;34.0;11.0;3.0;
Hemelumer Oldeferd-G0075;0;;103.0;664;572.0;27.0;1136.0;25.0;29.0;
Hemmen-G1076;0;;2.0;19;26.0;1.0;36.0;11.0;29.0;
Hendrik-Ido-Ambacht-G0531;0;;12.0;788;694.0;54.0;419.0;157.0;603.0;
Hengelo-G0248;0;;973.0;680;668.0;27.0;317.0;125.0;43.0;
Hengelo-G0164;0;;8098.0;8783;1364.0;3998.0;794.0;1300.0;40.0;
Hennaarderadeel-G0076;0;;118.0;783;560.0;15.0;875.0;94.0;7.0;
Hensbroek-G0401;0;;261.0;196;8.0;48.0;5.0;4.0;3.0;
Herkingen-G1078;0;;;34;216.0;1.0;16.0;13.0;197.0;
Herten-G0919;0;;749.0;35;6.0;7.0;3.0;2.0;;
Herwen en Aerdt-G0249;0;;2012.0;303;42.0;23.0;173.0;39.0;5.0;
Herwijnen-G0250;0;;6.0;309;331.0;3.0;211.0;39.0;65.0;
Het Bildt-G0063;0;;28.0;1756;1703.0;612.0;671.0;238.0;3.0;
Heteren-G0251;0;;1096.0;110;232.0;18.0;406.0;37.0;237.0;
Heukelum-G0533;0;;7.0;395;240.0;7.0;120.0;122.0;11.0;
Heumen-G0252;0;;1273.0;67;23.0;4.0;25.0;7.0;2.0;
Heusden-G0797;0;;942.0;249;112.0;27.0;116.0;41.0;41.0;
Heythuysen-G0920;0;;1421.0;26;3.0;4.0;2.0;10.0;1.0;
Hillegom-G0534;0;;3379.0;1087;712.0;108.0;775.0;224.0;64.0;
Hilvarenbeek-G0798;0;;2007.0;306;29.0;24.0;49.0;37.0;6.0;
Hilversum-G0402;0;;9350.0;13275;6283.0;5773.0;2768.0;4456.0;760.0;
Hindeloopen-G0077;0;;10.0;253;66.0;44.0;141.0;;;
Hoedekenskerke-G0673;0;;404.0;59;51.0;4.0;164.0;23.0;102.0;
Hoek-G0674;0;;36.0;404;240.0;26.0;371.0;218.0;291.0;
Hoenkoop-G0319;0;;133.0;14;68.0;;40.0;13.0;15.0;
Hoensbroek-G0921;0;;3992.0;1064;117.0;1185.0;51.0;12.0;18.0;
Hoevelaken-G0253;0;;42.0;184;79.0;5.0;367.0;20.0;124.0;
Hoeven-G0799;0;;2106.0;74;38.0;7.0;13.0;3.0;3.0;
Holten-G0165;0;;66.0;723;431.0;33.0;840.0;361.0;13.0;
Hontenisse-G0675;0;;2596.0;123;38.0;13.0;111.0;17.0;7.0;
Hoofdplaat-G0676;0;;524.0;34;14.0;13.0;47.0;8.0;5.0;
Hoogblokland-G0535;0;;3.0;127;180.0;1.0;3.0;111.0;23.0;
Hooge en Lage Mierde-G0801;0;;1081.0;24;7.0;3.0;6.0;2.0;;
Hooge en Lage Zwaluwe-G0802;0;;1095.0;211;124.0;6.0;656.0;41.0;28.0;
Hoogeloon, Hapert en Casteren-G0800;0;;1366.0;16;2.0;;36.0;;;
Hoogeveen-G0118;0;;90.0;1894;4061.0;443.0;1659.0;322.0;70.0;
Hoogezand-G1083;0;;528.0;2998;556.0;1625.0;242.0;814.0;5.0;
Hoogkarspel-G0403;0;;797.0;306;9.0;30.0;7.0;28.0;1.0;
Hoogkerk-G1084;0;;44.0;834;802.0;239.0;241.0;163.0;2.0;
Hoogland-G0320;0;;1413.0;116;97.0;20.0;161.0;20.0;47.0;
Hoogwoud-G0404;0;;617.0;451;39.0;118.0;10.0;83.0;3.0;
Hoorn-G0405;0;;2352.0;2836;419.0;832.0;196.0;543.0;11.0;
Hoornaar-G0536;0;;;108;201.0;4.0;6.0;71.0;16.0;
Horn-G0922;0;;1138.0;46;4.0;7.0;2.0;1.0;;
Horssen-G0254;0;;487.0;8;;1.0;55.0;6.0;2.0;
Horst-G0923;0;;4097.0;78;7.0;6.0;5.0;6.0;1.0;
Houten-G0321;0;;909.0;84;112.0;14.0;59.0;24.0;135.0;
Huijbergen-G0803;0;;339.0;10;7.0;1.0;3.0;;;
Huissen-G0255;0;;2695.0;113;31.0;13.0;112.0;13.0;4.0;
Huizen-G0406;0;;121.0;1225;2501.0;212.0;862.0;334.0;443.0;
Hulsberg-G0924;0;;800.0;53;7.0;33.0;1.0;2.0;;
Hulst-G0677;0;;1771.0;185;16.0;31.0;35.0;44.0;3.0;
Hummelo en Keppel-G0256;0;;310.0;707;327.0;43.0;170.0;212.0;14.0;
Hunsel-G0925;0;;1291.0;34;3.0;4.0;3.0;;;
Hurwenen-G1089;0;;105.0;92;35.0;9.0;47.0;6.0;12.0;
Idaarderadeel-G0078;0;;193.0;2399;212.0;523.0;128.0;120.0;4.0;
IJlst-G0102;0;;10.0;245;252.0;15.0;223.0;6.0;2.0;
IJsselmuiden-G0191;0;;401.0;364;872.0;15.0;540.0;81.0;992.0;
IJsselstein-G0353;0;;1363.0;346;200.0;17.0;395.0;17.0;192.0;
IJzendijke-G0730;0;;828.0;245;110.0;39.0;65.0;101.0;13.0;
Ilpendam-G0407;0;;241.0;440;131.0;317.0;112.0;40.0;3.0;
Itteren-G0926;0;;284.0;19;;2.0;3.0;1.0;1.0;
Jabeek-G0927;0;;266.0;18;1.0;3.0;;1.0;;
Jisp-G0408;0;;20.0;235;12.0;97.0;6.0;24.0;;
Jutphaas-G0322;0;;1790.0;1623;685.0;396.0;361.0;67.0;107.0;
Kamerik-G0323;0;;361.0;62;217.0;2.0;278.0;1.0;129.0;
Kampen-G0166;0;;1107.0;2990;3551.0;227.0;2134.0;338.0;1045.0;
Kantens-G0020;0;;22.0;547;346.0;32.0;117.0;198.0;1.0;
Kapelle-G0678;0;;44.0;475;437.0;19.0;781.0;182.0;228.0;
Kattendijke-G0679;0;;5.0;306;41.0;4.0;207.0;34.0;26.0;
Katwijk-G0537;0;;455.0;1059;1260.0;129.0;4784.0;171.0;710.0;
Katwoude-G0409;0;;21.0;41;23.0;8.0;37.0;8.0;;
Kedichem-G0538;0;;5.0;230;109.0;12.0;23.0;206.0;19.0;
Kerkrade-G0928;0;;11224.0;2357;111.0;2684.0;125.0;92.0;32.0;
Kerkwerve-G1095;0;;1.0;77;146.0;1.0;89.0;39.0;35.0;
Kerkwijk-G0257;0;;3.0;184;398.0;3.0;64.0;15.0;53.0;
Kessel-G0929;0;;920.0;20;3.0;2.0;3.0;1.0;1.0;
Kesteren-G0258;0;;20.0;593;704.0;17.0;120.0;92.0;637.0;
Klaaswaal-G0539;0;;5.0;418;303.0;34.0;161.0;137.0;159.0;
Klimmen-G0930;0;;1028.0;33;1.0;17.0;2.0;6.0;;
Kloetinge-G0680;0;;55.0;228;175.0;8.0;432.0;64.0;62.0;
Kloosterburen-G0021;0;;523.0;264;308.0;8.0;16.0;129.0;;
Klundert-G0804;0;;750.0;116;780.0;9.0;436.0;20.0;138.0;
Kockengen-G0324;0;;262.0;15;178.0;5.0;98.0;4.0;122.0;
Koedijk-G0410;0;;287.0;426;61.0;209.0;36.0;49.0;;
Koewacht-G0681;0;;1010.0;77;16.0;13.0;3.0;22.0;4.0;
Kollumerland en Nieuwkruisland-G0079;0;;17.0;733;2437.0;88.0;1415.0;217.0;137.0;
Koog aan de Zaan-G0411;0;;380.0;1612;404.0;1258.0;76.0;243.0;21.0;
Kortenhoef-G1097;0;;267.0;300;135.0;76.0;186.0;35.0;93.0;
Kortgene-G0682;0;;8.0;910;391.0;26.0;497.0;250.0;165.0;
Koudekerk aan den Rijn-G0540;0;;85.0;81;320.0;8.0;286.0;23.0;34.0;
Koudekerke-G1098;0;;23.0;196;401.0;11.0;332.0;35.0;63.0;
Krabbendijke-G0684;0;;12.0;218;222.0;23.0;363.0;70.0;537.0;
Krimpen aan de Lek-G0541;0;;7.0;818;556.0;117.0;27.0;147.0;130.0;
Krimpen aan den IJssel-G0542;0;;24.0;1399;465.0;225.0;294.0;143.0;598.0;
Krommenie-G0413;0;;844.0;982;293.0;1329.0;49.0;128.0;2.0;
Kruiningen-G0685;0;;409.0;725;320.0;38.0;452.0;209.0;301.0;
Kuinre-G0167;0;;39.0;220;46.0;28.0;97.0;15.0;2.0;
Kwadijk-G0414;0;;6.0;167;13.0;27.0;8.0;20.0;2.0;
Landsmeer-G0415;0;;98.0;742;418.0;559.0;216.0;60.0;20.0;
Langbroek-G0325;0;;132.0;92;194.0;5.0;132.0;10.0;175.0;
Lange Ruige Weide-G1101;0;;16.0;26;165.0;;100.0;6.0;76.0;
Langedijk-G0416;0;;1190.0;1500;829.0;437.0;332.0;144.0;13.0;
Langerak-G0543;0;;2.0;81;260.0;5.0;20.0;45.0;77.0;
Laren-G0417;0;;2300.0;1014;329.0;517.0;179.0;744.0;22.0;
Laren (Gld.)-G0259;0;;82.0;1125;445.0;130.0;542.0;1004.0;1.0;
Leek-G0022;0;;38.0;1666;1538.0;183.0;407.0;518.0;1.0;
Leende-G0805;0;;1029.0;53;4.0;;2.0;1.0;3.0;
Leens-G0023;0;;224.0;605;886.0;63.0;38.0;379.0;;
Leerbroek-G0544;0;;;31;222.0;6.0;47.0;22.0;119.0;
Leerdam-G0545;0;;198.0;1535;1559.0;237.0;586.0;348.0;486.0;
Leersum-G0326;0;;33.0;461;344.0;44.0;239.0;151.0;193.0;
Leeuwarden-G0080;0;;3987.0;18987;6876.0;4576.0;2880.0;2664.0;135.0;
Leeuwarderadeel-G0081;0;;18.0;1585;646.0;160.0;135.0;198.0;3.0;
Leiden-G0546;0;;9531.0;16132;5603.0;5676.0;4196.0;3081.0;515.0;
Leiderdorp-G0547;0;;321.0;438;780.0;28.0;403.0;76.0;52.0;
Leidschendam-G0548;0;;3088.0;612;387.0;112.0;335.0;290.0;26.0;
Leimuiden-G0549;0;;530.0;108;254.0;14.0;103.0;24.0;10.0;
Lekkerkerk-G0550;0;;12.0;1109;384.0;99.0;25.0;648.0;338.0;
Lemsterland-G0082;0;;285.0;1353;846.0;605.0;897.0;62.0;64.0;
Leusden-G0327;0;;493.0;257;242.0;46.0;262.0;67.0;105.0;
Lexmond-G0551;0;;3.0;248;372.0;4.0;170.0;52.0;122.0;
Lichtenvoorde-G0260;0;;3551.0;320;113.0;5.0;207.0;13.0;1.0;
Liempde-G0806;0;;992.0;20;5.0;3.0;;1.0;;
Lienden-G0261;0;;36.0;1007;494.0;23.0;317.0;305.0;242.0;
Lieshout-G0807;0;;1263.0;23;;6.0;2.0;2.0;2.0;
Limbricht-G0931;0;;1116.0;84;1.0;5.0;1.0;;2.0;
Limmen-G0418;0;;1137.0;104;10.0;96.0;7.0;30.0;;
Linne-G0932;0;;833.0;59;6.0;13.0;5.0;2.0;3.0;
Linschoten-G0328;0;;272.0;50;185.0;18.0;208.0;18.0;172.0;
Lisse-G0553;0;;2791.0;508;616.0;37.0;666.0;150.0;301.0;
Lith-G0808;0;;1458.0;76;2.0;2.0;12.0;2.0;;
Lochem-G0262;0;;238.0;1667;239.0;756.0;266.0;451.0;4.0;
Loenen-G0329;0;;174.0;139;161.0;25.0;186.0;73.0;75.0;
Loenersloot-G1105;0;;82.0;19;75.0;5.0;59.0;1.0;25.0;
Loon op Zand-G0809;0;;5257.0;165;146.0;9.0;70.0;7.0;141.0;
Loosdrecht-G0330;0;;140.0;496;535.0;178.0;467.0;142.0;166.0;
Lopik-G0331;0;;507.0;332;539.0;46.0;257.0;30.0;241.0;
Loppersum-G0024;0;;2.0;650;945.0;42.0;126.0;301.0;1.0;
Losser-G0168;0;;6272.0;916;149.0;690.0;449.0;77.0;4.0;
Luyksgestel-G0810;0;;596.0;10;9.0;;2.0;;1.0;
Maarheeze-G0811;0;;1522.0;25;2.0;5.0;6.0;3.0;;
Maarn-G0332;0;;95.0;381;150.0;75.0;276.0;74.0;125.0;
Maarssen-G0333;0;;657.0;649;351.0;162.0;323.0;66.0;96.0;
Maarsseveen-G1108;0;;234.0;251;199.0;70.0;353.0;24.0;28.0;
Maartensdijk-G0334;0;;1228.0;1814;1246.0;314.0;463.0;609.0;352.0;
Maasbracht-G0933;0;;1093.0;72;11.0;5.0;9.0;8.0;2.0;
Maasbree-G0934;0;;2493.0;38;5.0;1.0;1.0;5.0;2.0;
Maasdam-G0554;0;;2.0;325;274.0;12.0;143.0;127.0;79.0;
Maasdriel-G0263;0;;1694.0;110;37.0;15.0;195.0;7.0;32.0;
Maasland-G0555;0;;273.0;51;686.0;1.0;608.0;29.0;24.0;
Maasniel-G1110;0;;1960.0;328;22.0;26.0;16.0;11.0;7.0;
Maassluis-G0556;0;;359.0;1630;1804.0;196.0;1152.0;92.0;103.0;
Maastricht-G0935;0;;21884.0;9348;337.0;2734.0;145.0;653.0;85.0;
Made en Drimmelen-G0812;0;;2290.0;181;106.0;9.0;95.0;31.0;8.0;
Margraten-G0936;0;;643.0;29;;1.0;;3.0;1.0;
Markelo-G0169;0;;203.0;1135;716.0;96.0;215.0;677.0;20.0;
Marken-G0419;0;;3.0;67;262.0;10.0;411.0;;;
Marum-G0025;0;;36.0;1299;1166.0;423.0;160.0;464.0;1.0;
Maurik-G0264;0;;149.0;1105;270.0;61.0;261.0;426.0;61.0;
Medemblik-G0420;0;;937.0;512;300.0;316.0;194.0;102.0;9.0;
Meeden-G0026;0;;10.0;449;297.0;144.0;26.0;138.0;2.0;
Meerkerk-G0557;0;;8.0;290;429.0;19.0;45.0;195.0;72.0;
Meerlo-G0937;0;;1276.0;26;4.0;8.0;1.0;1.0;;
Meerssen-G0938;0;;2754.0;308;34.0;72.0;15.0;31.0;12.0;
Megen, Haren en Macharen-G0813;0;;953.0;22;1.0;2.0;;1.0;;
Meijel-G0941;0;;1286.0;21;;2.0;1.0;;2.0;
Melick en Herkenbosch-G0939;0;;1046.0;55;10.0;9.0;5.0;2.0;2.0;
Meliskerke-G1112;0;;4.0;6;106.0;3.0;26.0;1.0;155.0;
Melissant-G1113;0;;29.0;239;389.0;;80.0;34.0;251.0;
Menaldumadeel-G0083;0;;284.0;3073;1354.0;467.0;800.0;225.0;4.0;
Meppel-G0119;0;;219.0;3376;1337.0;486.0;1629.0;651.0;46.0;
Merkelbeek-G0940;0;;645.0;27;;15.0;4.0;;;
Mheer-G0942;0;;471.0;10;4.0;1.0;2.0;2.0;;
Middelburg-G0687;0;;810.0;4437;2501.0;660.0;1656.0;688.0;608.0;
Middelharnis-G0559;0;;118.0;681;826.0;39.0;77.0;388.0;570.0;
Middelie-G0421;0;;1.0;255;7.0;18.0;2.0;12.0;;
Middelstum-G0027;0;;4.0;408;819.0;50.0;69.0;127.0;;
Midwolda-G0028;0;;13.0;740;719.0;212.0;580.0;207.0;6.0;
Midwoud-G0422;0;;52.0;436;18.0;47.0;13.0;110.0;1.0;
Mierlo-G0814;0;;2609.0;266;12.0;58.0;10.0;11.0;1.0;
Mijdrecht-G0336;0;;997.0;369;497.0;18.0;398.0;56.0;87.0;
Mijnsheerenland-G0564;0;;8.0;214;428.0;6.0;172.0;125.0;62.0;
Mill en Sint Hubert-G0815;0;;2758.0;59;20.0;12.0;5.0;12.0;1.0;
Millingen aan de Rijn-G0265;0;;1407.0;129;4.0;30.0;7.0;6.0;2.0;
Moergestel-G0816;0;;1311.0;43;3.0;3.0;6.0;9.0;;
Moerkapelle-G0560;0;;3.0;106;230.0;2.0;21.0;23.0;111.0;
Molenaarsgraaf-G0561;0;;;33;157.0;1.0;13.0;27.0;65.0;
Monnickendam-G0423;0;;339.0;330;182.0;136.0;420.0;66.0;1.0;
Monster-G0562;0;;3038.0;648;1005.0;31.0;574.0;102.0;568.0;
Montfoort-G0335;0;;777.0;62;97.0;6.0;122.0;6.0;36.0;
Montfort-G0943;0;;681.0;37;3.0;3.0;1.0;;1.0;
Mook en Middelaar-G0944;0;;836.0;76;5.0;4.0;4.0;10.0;1.0;
Moordrecht-G0563;0;;153.0;534;334.0;11.0;58.0;196.0;202.0;
Muiden-G0424;0;;389.0;471;300.0;101.0;389.0;44.0;8.0;
Munstergeleen-G0945;0;;613.0;187;;9.0;;;;
Muntendam-G0029;0;;43.0;1106;168.0;343.0;179.0;141.0;4.0;
Naaldwijk-G0565;0;;2509.0;1267;1767.0;29.0;1278.0;580.0;112.0;
Naarden-G0425;0;;1074.0;1772;818.0;298.0;310.0;1209.0;70.0;
Nederhemert-G1115;0;;6.0;79;145.0;5.0;32.0;17.0;286.0;
Nederhorst den Berg-G0426;0;;396.0;174;227.0;118.0;228.0;13.0;9.0;
Nederweert-G0946;0;;3498.0;52;5.0;2.0;;4.0;4.0;
Neede-G0266;0;;644.0;1943;322.0;158.0;284.0;240.0;3.0;
Neer-G0947;0;;1073.0;36;;2.0;;;;
Nibbixwoud-G0427;0;;511.0;184;10.0;16.0;10.0;78.0;;
Nieuw- en Sint Joosland-G1117;0;;9.0;201;164.0;9.0;298.0;62.0;131.0;
Nieuw-Beijerland-G0566;0;;8.0;312;187.0;14.0;18.0;70.0;265.0;
Nieuwe Niedorp-G0428;0;;225.0;555;38.0;161.0;8.0;86.0;1.0;
Nieuwe Pekela-G0030;0;;200.0;829;593.0;457.0;439.0;205.0;16.0;
Nieuwe Tonge-G1119;0;;10.0;335;381.0;5.0;11.0;74.0;283.0;
Nieuwenhagen-G0948;0;;1493.0;220;17.0;401.0;13.0;8.0;14.0;
Nieuwenhoorn-G1121;0;;4.0;522;78.0;62.0;15.0;278.0;3.0;
Nieuwer-Amstel-G1249;0;;2962.0;2550;2066.0;522.0;1155.0;967.0;43.0;
Nieuwerkerk-G1122;0;;7.0;237;266.0;3.0;88.0;150.0;191.0;
Nieuwerkerk aan den IJssel-G0567;0;;145.0;704;389.0;28.0;356.0;173.0;259.0;
Nieuweschans-G0031;0;;8.0;378;56.0;414.0;40.0;132.0;3.0;
Nieuw-Ginneken-G0817;0;;2321.0;208;38.0;17.0;19.0;15.0;3.0;
Nieuw-Helvoet-G1118;0;;8.0;728;163.0;36.0;69.0;236.0;9.0;
Nieuwkoop-G0569;0;;960.0;193;135.0;6.0;287.0;132.0;60.0;
Nieuwland-G0570;0;;2.0;80;145.0;5.0;13.0;46.0;42.0;
Nieuw-Lekkerland-G0571;0;;9.0;495;630.0;66.0;111.0;124.0;628.0;
Nieuwleusen-G0170;0;;7.0;445;440.0;5.0;833.0;150.0;137.0;
Nieuwolda-G0032;0;;8.0;385;178.0;89.0;173.0;183.0;2.0;
Nieuwpoort-G0572;0;;2.0;72;196.0;7.0;14.0;56.0;96.0;
Nieuwstadt-G0949;0;;577.0;48;;4.0;;2.0;1.0;
Nieuwveen-G0573;0;;429.0;123;201.0;3.0;157.0;37.0;14.0;
Nieuwvliet-G0690;0;;3.0;117;28.0;1.0;45.0;87.0;2.0;
Nieuw-Vossemeer-G0818;0;;703.0;21;15.0;2.0;36.0;7.0;3.0;
Nigtevecht-G0337;0;;29.0;75;99.0;22.0;167.0;6.0;1.0;
Nijeveen-G0121;0;;5.0;262;214.0;6.0;220.0;128.0;1.0;
Nijkerk-G0267;0;;428.0;1159;1532.0;105.0;2168.0;96.0;377.0;
Nijmegen-G0268;0;;30898.0;12517;1127.0;3288.0;1432.0;1792.0;123.0;
Nisse-G0691;0;;79.0;38;44.0;2.0;132.0;24.0;58.0;
Nistelrode-G0819;0;;1596.0;29;23.0;6.0;7.0;1.0;2.0;
Noorbeek-G0950;0;;394.0;17;;;;1.0;;
Noordbroek-G1126;0;;6.0;505;55.0;233.0;59.0;215.0;1.0;
Noorddijk-G1127;0;;18.0;585;201.0;137.0;110.0;278.0;3.0;
Noordeloos-G0574;0;;;125;359.0;1.0;16.0;98.0;78.0;
Noordgouwe-G1128;0;;2.0;147;90.0;6.0;94.0;94.0;31.0;
Noordoostelijke Polder-G1404;0;;485.0;597;356.0;379.0;154.0;42.0;33.0;
Noordwelle-G1129;0;;;87;32.0;1.0;33.0;55.0;18.0;
Noordwijk-G0575;0;;2738.0;1120;863.0;206.0;818.0;212.0;30.0;
Noordwijkerhout-G0576;0;;2874.0;111;59.0;22.0;228.0;8.0;10.0;
Nootdorp-G0577;0;;668.0;101;74.0;3.0;104.0;41.0;14.0;
Norg-G0120;0;;64.0;1115;319.0;89.0;203.0;456.0;5.0;
Nuenen, Gerwen en Nederwetten-G0820;0;;2050.0;180;22.0;30.0;41.0;18.0;;
Nuland-G0821;0;;711.0;12;;1.0;;1.0;;
Numansdorp-G0578;0;;14.0;826;833.0;26.0;275.0;189.0;133.0;
Nuth-G0951;0;;1628.0;355;11.0;98.0;7.0;2.0;4.0;
Obbicht en Papenhoven-G0952;0;;573.0;123;5.0;8.0;2.0;3.0;2.0;
Obdam-G0429;0;;881.0;94;3.0;18.0;1.0;9.0;;
Odijk-G1131;0;;158.0;35;7.0;1.0;45.0;3.0;17.0;
Odoorn-G0122;0;;307.0;2096;678.0;603.0;711.0;1471.0;7.0;
Oeffelt-G0822;0;;693.0;26;;1.0;1.0;2.0;1.0;
Oegstgeest-G0579;0;;1187.0;1036;1004.0;91.0;859.0;820.0;92.0;
Ohé en Laak-G0953;0;;293.0;6;;;5.0;2.0;;
Oirsbeek-G0954;0;;1014.0;54;4.0;8.0;2.0;4.0;1.0;
Oirschot-G0823;0;;2785.0;133;16.0;37.0;13.0;7.0;6.0;
Oisterwijk-G0824;0;;3106.0;615;57.0;34.0;16.0;40.0;4.0;
Oldebroek-G0269;0;;203.0;1137;2038.0;48.0;1039.0;125.0;689.0;
Oldehove-G0035;0;;5.0;326;663.0;5.0;93.0;181.0;;
Oldekerk-G0036;0;;3.0;243;607.0;10.0;81.0;113.0;;
Oldemarkt-G0172;0;;201.0;483;129.0;27.0;690.0;57.0;1.0;
Oldenzaal-G0173;0;;4238.0;935;182.0;100.0;116.0;121.0;6.0;
Olst-G0174;0;;874.0;1378;200.0;327.0;199.0;494.0;18.0;
Ommen-G0175;0;;463.0;831;1553.0;24.0;1212.0;220.0;26.0;
Onstwedde-G1250;0;;1152.0;2761;2253.0;1114.0;1891.0;431.0;26.0;
Ooltgensplaat-G1133;0;;254.0;482;370.0;11.0;157.0;76.0;245.0;
Oost- en West-Souburg-G1135;0;;96.0;821;478.0;129.0;512.0;39.0;58.0;
Oost-, West- en Middelbeers-G0825;0;;857.0;11;5.0;;8.0;;;
Oostburg-G0692;0;;401.0;454;141.0;38.0;87.0;203.0;27.0;
Oostdongeradeel-G0084;0;;5.0;498;2514.0;18.0;1129.0;116.0;11.0;
Oosterhesselen-G0123;0;;4.0;704;507.0;38.0;140.0;218.0;5.0;
Oosterhout-G0826;0;;8152.0;449;82.0;32.0;50.0;23.0;6.0;
Oosterland-G1136;0;;4.0;230;110.0;7.0;195.0;127.0;288.0;
Oosthuizen-G0430;0;;27.0;358;7.0;65.0;20.0;53.0;1.0;
Oostkapelle-G1137;0;;10.0;130;290.0;21.0;192.0;18.0;153.0;
Ooststellingwerf-G0085;0;;73.0;3604;1639.0;1514.0;1109.0;381.0;13.0;
Oostvoorne-G0581;0;;59.0;957;272.0;456.0;108.0;461.0;7.0;
Oostzaan-G0431;0;;45.0;978;352.0;840.0;68.0;138.0;38.0;
Ootmarsum-G0176;0;;786.0;65;20.0;4.0;23.0;4.0;3.0;
Ophemert-G0270;0;;14.0;278;114.0;5.0;156.0;111.0;23.0;
Oploo, Sint Anthonis en Ledeacker-G0827;0;;2235.0;10;2.0;4.0;8.0;;4.0;
Opmeer-G0432;0;;211.0;96;5.0;10.0;2.0;10.0;;
Opperdoes-G0433;0;;4.0;131;329.0;13.0;160.0;7.0;31.0;
Opsterland-G0086;0;;60.0;4006;2226.0;2940.0;881.0;669.0;13.0;
Oss-G0828;0;;7074.0;1668;122.0;133.0;46.0;160.0;20.0;
Ossendrecht-G0829;0;;1348.0;182;33.0;14.0;12.0;5.0;4.0;
Oterleek-G0434;0;;53.0;265;29.0;45.0;18.0;60.0;1.0;
Ottersum-G0955;0;;1158.0;49;;14.0;2.0;5.0;1.0;
Ottoland-G0582;0;;1.0;20;245.0;6.0;29.0;15.0;24.0;
Oud- en Nieuw-Gastel-G0831;0;;3031.0;172;51.0;21.0;55.0;1.0;4.0;
Oud-Alblas-G0583;0;;;90;293.0;4.0;116.0;26.0;129.0;
Oud-Beijerland-G0584;0;;151.0;1012;1455.0;26.0;229.0;333.0;533.0;
Ouddorp-G1142;0;;5.0;120;881.0;4.0;123.0;143.0;724.0;
Oude Niedorp-G0436;0;;534.0;154;20.0;31.0;7.0;13.0;7.0;
Oude Pekela-G0038;0;;246.0;1519;383.0;1001.0;257.0;223.0;6.0;
Oude Tonge-G1143;0;;370.0;456;300.0;20.0;15.0;98.0;258.0;
Oudelande-G0695;0;;52.0;77;95.0;4.0;168.0;47.0;19.0;
Oudenbosch-G0830;0;;2787.0;158;42.0;10.0;22.0;22.0;7.0;
Oudendijk-G0435;0;;8.0;193;3.0;48.0;6.0;19.0;;
Oudenhoorn-G0586;0;;2.0;218;94.0;55.0;28.0;76.0;3.0;
Oudenrijn-G1144;0;;272.0;74;153.0;6.0;94.0;38.0;13.0;
Ouder-Amstel-G0437;0;;1171.0;519;404.0;138.0;524.0;66.0;15.0;
Ouderkerk aan den IJssel-G0587;0;;3.0;305;653.0;28.0;30.0;203.0;536.0;
Oudewater-G0589;0;;909.0;171;280.0;5.0;282.0;63.0;38.0;
Oudorp-G0438;0;;517.0;322;52.0;89.0;34.0;37.0;1.0;
Oud-Vossemeer-G0696;0;;269.0;84;257.0;11.0;298.0;104.0;98.0;
Ouwerkerk-G1148;0;;2.0;212;24.0;1.0;22.0;52.0;33.0;
Overasselt-G0271;0;;1193.0;21;4.0;2.0;26.0;5.0;;
Overslag-G0697;0;;80.0;23;3.0;;12.0;1.0;2.0;
Ovezande-G0698;0;;610.0;31;12.0;;106.0;2.0;;
Pannerden-G0272;0;;668.0;23;1.0;3.0;2.0;1.0;;
Papekop-G1151;0;;79.0;9;64.0;;55.0;;9.0;
Papendrecht-G0590;0;;42.0;882;1246.0;209.0;163.0;109.0;188.0;
Peize-G0124;0;;10.0;636;55.0;242.0;54.0;324.0;6.0;
Peursum-G1154;0;;;49;101.0;;11.0;56.0;27.0;
Philippine-G0699;0;;474.0;70;10.0;4.0;13.0;8.0;2.0;
Piershil-G0591;0;;;133;138.0;5.0;36.0;55.0;96.0;
