RegioNaam;@invalid;@blank;PvdA;VVD;CDA;KVP;Politieke Partij Radikalen (PPR);CHU;ARP;Communistische Partij van Nederland;BoerenPartij;SGP;PvdA/PPR/D'66;Gereformeerd Politiek Verbond (GPV);Democratisch Socialisten '70;Pacifistisch-Socialistische Partij (PSP);D66;FNP;SGP/NEV;Rooms Katholieke Partij Nederland;Lijst Meijer;Vrouw;Nieuwe Roomse Partij;Anti-Woningnood Aktie;@abs
Leimuiden-G0549;6;0;265;485;0;564;90;170;245;32;67;13;0;6;24;17;22;0;0;5;0;0;0;0;566
Lekkerkerk-G0550;19;0;1607;1086;0;50;104;98;305;40;72;373;0;39;37;27;51;0;0;0;0;0;0;0;786
Lemsterland-G0082;39;0;1450;484;1780;0;92;0;0;369;91;0;0;68;28;20;29;260;110;0;0;0;0;0;1438
Leusden-G0327;36;0;0;2419;0;1399;0;691;386;47;109;259;1729;277;176;81;0;0;0;116;0;0;0;5;1444
Lexmond-G0551;7;0;307;173;0;12;26;264;232;8;33;219;0;24;8;2;6;0;0;0;0;0;0;0;210
Lichtenvoorde-G0260;33;0;873;1279;0;4408;251;251;160;26;299;4;0;9;20;59;28;0;0;0;0;0;0;0;1694
Liempde-G0806;18;0;305;210;950;0;44;0;0;11;187;0;0;2;11;11;15;0;0;0;0;4;0;0;558
Lienden-G0261;20;0;1324;574;0;37;60;352;88;11;313;288;0;17;24;15;17;0;0;0;0;0;0;0;875
Lieshout-G0807;12;0;428;336;1338;0;74;0;0;23;214;0;0;8;33;22;23;0;0;0;0;3;0;0;856
Limbricht-G0931;28;0;411;223;1250;0;103;0;0;14;45;0;0;0;5;27;12;0;0;25;0;0;5;0;769
Limmen-G0418;8;0;335;392;965;0;150;0;0;71;212;0;0;15;19;25;36;0;0;32;0;0;0;0;620
Linne-G0932;33;0;263;296;948;0;59;0;0;14;56;0;0;0;4;29;2;0;0;0;0;0;0;0;724
Linschoten-G0328;19;0;0;624;0;486;0;290;228;17;119;255;481;57;52;22;0;0;0;28;0;0;0;4;625
Lisse-G0553;64;0;1480;2273;0;2498;513;764;528;79;182;603;0;168;145;82;88;0;0;9;0;0;0;0;2295
Lith-G0808;21;0;264;220;1208;0;54;0;0;14;222;0;0;8;14;10;10;0;0;0;0;0;0;0;1144
Lochem-G0262;69;0;3146;2808;0;424;312;1018;567;103;472;29;0;64;125;142;64;0;0;0;0;0;0;0;2362
Loenen-G0329;16;0;0;1152;0;353;0;467;316;60;89;134;872;69;64;49;0;0;0;17;0;0;0;10;806
Loon op Zand-G0809;101;0;1390;1367;4034;0;288;0;0;68;648;0;0;12;51;56;62;0;106;0;0;22;0;0;3439
Loosdrecht-G0330;26;0;0;1680;0;170;0;525;390;69;112;104;1016;95;83;60;0;0;0;9;0;0;0;7;1059
Lopik-G0331;27;0;0;462;0;521;0;432;431;24;125;370;743;56;31;22;0;0;0;15;0;0;0;2;760
Loppersum-G0024;15;0;582;288;809;0;56;0;0;46;34;0;0;143;15;22;21;0;0;0;15;0;0;0;370
Losser-G0168;49;0;1584;985;0;5050;873;456;101;428;342;12;0;23;75;52;49;0;0;0;0;0;0;0;3000
Luyksgestel-G0810;6;0;158;147;571;0;35;0;0;2;107;0;0;4;16;2;5;0;0;0;0;0;0;0;417
Maarheeze-G0811;39;0;483;540;1781;0;104;0;0;29;197;0;0;10;30;18;26;0;0;0;0;12;0;0;1263
Maarn-G0332;19;0;0;1075;0;168;0;397;198;18;91;174;824;51;112;34;0;0;0;2;0;0;0;2;572
Maarssen-G0333;37;0;0;1674;0;938;0;909;703;136;202;197;2305;136;130;89;0;0;0;32;0;0;0;7;2369
Maartensdijk-G0334;23;0;0;1241;0;248;0;445;458;50;132;575;1128;139;83;51;0;0;0;15;0;0;0;2;934
Maasbracht-G0933;44;0;290;393;1981;0;101;0;0;18;127;0;0;0;14;33;15;0;0;0;0;0;0;0;1944
Maasbree-G0934;38;0;295;597;2590;0;168;0;0;19;169;0;0;0;27;47;13;0;0;0;0;0;0;0;1682
Maasdam-G0554;4;0;539;429;0;21;32;181;141;11;31;176;0;24;12;5;21;0;0;0;0;0;0;0;341
Maasdriel-G0263;27;0;316;494;0;1924;81;128;35;24;266;23;0;9;11;8;7;0;0;0;0;0;0;0;1358
Maasland-G0555;14;0;284;712;0;285;115;560;635;12;44;62;0;62;36;14;15;0;0;0;0;0;0;0;522
Maassluis-G0556;80;0;4717;2896;0;770;871;1199;1617;205;168;230;0;359;263;123;181;0;0;0;0;0;0;0;4634
Maastricht-G0935;638;0;13591;7975;17413;0;2760;0;0;1315;1267;0;0;0;448;797;339;0;0;700;0;0;196;0;29153
Made en Drimmelen-G0812;56;0;1124;660;2241;0;151;0;0;55;553;0;0;0;47;51;60;0;16;0;0;0;0;0;1917
Margraten-G0936;16;0;139;209;1011;0;59;0;0;4;28;0;0;0;17;12;1;0;0;21;0;0;8;0;470
Mariekerke-G0686;3;0;90;154;0;15;44;251;333;2;52;607;0;75;2;2;4;0;0;0;0;0;0;0;235
Markelo-G0169;26;0;1246;1136;0;106;92;595;203;10;330;17;0;19;67;23;40;0;0;0;0;0;0;0;922
Marken-G0419;7;0;222;83;634;0;66;0;0;7;20;0;0;26;6;6;9;0;4;1;0;0;0;0;213
Marum-G0025;26;0;1378;565;1238;0;91;0;0;97;482;0;0;171;42;79;18;0;0;0;4;0;0;0;977
Maurik-G0264;15;0;1391;588;0;156;41;388;141;22;172;73;0;22;29;19;9;0;0;0;0;0;0;0;729
Medemblik-G0420;21;0;815;398;1237;0;124;0;0;273;98;0;0;20;22;33;19;0;13;37;0;0;0;0;923
Meeden-G0026;8;0;447;77;255;0;14;0;0;90;5;0;0;24;7;9;2;0;0;0;6;0;0;0;183
Meerkerk-G0557;15;0;385;322;0;16;44;219;292;12;77;144;0;15;11;5;13;0;0;0;0;0;0;0;273
Meerlo-Wanssum-G0993;29;0;304;361;1789;0;146;0;0;12;92;0;0;0;8;24;13;0;0;0;0;0;0;0;1066
Meerssen-G0938;59;0;664;652;1997;0;160;0;0;91;123;0;0;0;27;44;42;0;0;70;0;0;24;0;1890
Megen, Haren en Macharen-G0813;7;0;172;133;772;0;87;0;0;14;86;0;0;2;5;19;8;0;0;0;0;0;0;0;474
Meijel-G0941;15;0;122;134;1589;0;53;0;0;14;97;0;0;0;2;24;14;0;0;0;0;0;0;0;906
Melick en Herkenbosch-G0939;36;0;478;800;1202;0;120;0;0;28;86;0;0;0;49;45;9;0;0;0;0;0;0;0;1098
Menaldumadeel-G0083;52;0;2336;779;2270;0;88;0;0;42;70;0;0;89;44;48;30;644;46;0;0;0;0;0;1106
Meppel-G0119;73;0;4827;2196;0;242;344;1394;1179;109;291;0;0;379;162;113;66;0;0;0;0;0;0;0;2635
Merkelbeek-G0940;21;0;122;64;495;0;100;0;0;17;27;0;0;0;3;14;3;0;0;32;0;0;5;0;274
Mheer-G0942;4;0;72;87;487;0;16;0;0;3;42;0;0;0;2;2;0;0;0;11;0;0;6;0;264
Middelburg-G0687;83;0;5226;2949;0;687;1494;1900;2227;197;267;1551;0;521;252;157;199;0;0;0;0;0;0;0;4460
Middelharnis-G0559;57;0;2510;1128;0;111;150;405;997;53;240;1715;0;114;42;38;68;0;0;0;0;0;0;0;1924
Middelstum-G0027;10;0;374;155;771;0;44;0;0;39;14;0;0;141;12;18;8;0;0;0;5;0;0;0;243
Middenschouwen-G0688;9;0;297;179;0;11;25;151;263;5;28;126;0;57;10;12;12;0;0;0;0;0;0;0;328
Midwolda-G0028;21;0;702;148;995;0;32;0;0;199;4;0;0;132;7;13;3;0;0;0;16;0;0;0;404
Midwoud-G0422;4;0;462;267;72;0;33;0;0;31;18;0;0;2;16;37;16;0;3;3;0;0;0;0;259
Mierlo-G0814;29;0;421;676;2194;0;109;0;0;63;115;0;0;11;42;28;30;0;0;0;0;5;0;0;955
Mijdrecht-G0336;32;0;0;1331;0;1219;0;511;525;53;154;135;1138;124;75;46;0;0;0;37;0;0;0;9;1401
Mijnsheerenland-G0564;2;0;407;437;0;13;36;235;240;8;16;85;0;42;23;10;12;0;0;0;0;0;0;0;368
Mill en Sint Hubert-G0815;46;0;648;513;2502;0;160;0;0;24;403;0;0;13;24;27;37;0;0;0;0;0;0;0;1719
Millingen aan de Rijn-G0265;27;0;839;229;0;836;123;16;5;36;124;2;0;2;7;13;13;0;0;0;0;0;0;0;975
Moergestel-G0816;16;0;326;467;1384;0;86;0;0;25;129;0;0;1;10;15;25;0;1;0;0;6;0;0;755
Moerkapelle-G0560;5;0;282;241;0;32;34;115;153;7;15;407;0;22;16;7;8;0;0;0;0;0;0;0;256
Molenaarsgraaf-G0561;7;0;99;89;0;1;13;60;87;2;11;116;0;8;2;0;8;0;0;0;0;0;0;0;89
Monnickendam-G0423;17;0;1056;825;902;0;389;0;0;207;102;0;0;26;53;53;78;0;7;33;0;0;0;0;820
Monster-G0562;81;0;1480;2078;0;2282;320;672;686;32;237;590;0;202;119;48;83;0;0;0;0;0;0;0;2843
Montfoort-G0335;14;0;0;266;0;542;0;65;56;6;47;85;280;9;11;11;0;0;0;20;0;0;0;2;364
Montfort-G0943;31;0;136;158;857;0;23;0;0;15;91;0;0;0;13;15;7;0;0;0;0;0;0;0;549
Mook en Middelaar-G0944;20;0;387;686;1137;0;221;0;0;17;80;0;0;0;29;51;32;0;0;0;0;0;0;0;768
Moordrecht-G0563;18;0;933;610;0;161;104;157;354;33;49;244;0;40;32;24;34;0;0;1;0;0;0;0;719
Muiden-G0424;14;0;895;750;952;0;224;0;0;82;85;0;0;48;80;33;88;0;42;29;0;0;0;0;718
Munstergeleen-G0945;25;0;282;353;1502;0;172;0;0;36;52;0;0;0;9;21;6;0;0;26;0;0;4;0;612
Muntendam-G0029;27;0;1170;246;217;0;19;0;0;275;37;0;0;29;14;22;17;0;0;0;39;0;0;0;649
Naaldwijk-G0565;79;0;1815;3046;0;2401;461;1378;1689;41;217;162;0;150;110;40;94;0;0;0;0;0;0;0;3319
Naarden-G0425;72;0;2024;4069;1741;0;568;0;0;148;217;0;0;115;419;138;126;0;141;107;0;0;0;0;2198
Nederhorst den Berg-G0426;20;0;557;629;834;0;154;0;0;57;44;0;0;40;40;24;24;0;22;21;0;0;0;0;641
Nederweert-G0946;74;0;381;569;4585;0;149;0;0;20;347;0;0;0;15;52;10;0;0;0;0;0;0;0;1944
Neede-G0266;51;0;2403;928;0;1116;199;403;262;40;215;13;0;73;52;39;32;0;0;0;0;0;0;0;1180
Neer-G0947;10;0;113;174;837;0;63;0;0;5;68;0;0;0;7;6;7;0;0;0;0;0;0;0;861
Nibbixwoud-G0427;3;0;246;251;633;0;79;0;0;25;33;0;0;5;16;15;16;0;2;15;0;0;0;0;303
Niedorp-G0412;20;0;1397;770;959;0;125;0;0;152;120;0;0;13;57;101;45;0;6;0;0;0;0;0;872
Nieuw-Beijerland-G0566;10;0;467;344;0;41;70;80;77;14;24;321;0;30;20;14;7;0;0;0;0;0;0;0;400
Nieuwe Pekela-G0030;24;0;894;344;821;0;59;0;0;393;68;0;0;116;24;19;14;0;0;0;19;0;0;0;751
Nieuwegein-G0356;44;0;0;1719;0;1766;0;632;475;82;158;226;2615;76;146;97;0;0;0;42;0;0;0;14;2766
Nieuwenhagen-G0948;76;0;1038;554;1392;0;331;0;0;371;82;0;0;0;28;41;39;0;0;43;0;0;25;0;2194
Nieuwerkerk aan den IJssel-G0567;29;0;1557;1406;0;285;226;568;422;49;127;488;0;88;97;55;65;0;0;4;0;0;0;0;1483
Nieuweschans-G0031;30;0;484;130;76;0;7;0;0;395;4;0;0;3;16;1;2;0;0;0;8;0;0;0;163
Nieuw-Ginneken-G0817;37;0;813;1328;1942;0;231;0;0;32;436;0;0;18;55;20;66;0;7;0;0;0;0;0;1249
Nieuwkoop-G0569;19;0;773;1237;0;1055;276;311;237;31;93;118;0;37;82;39;44;0;0;6;0;0;0;0;971
Nieuwland-G0570;1;0;85;54;0;0;3;28;119;4;26;84;0;8;3;2;0;0;0;0;0;0;0;0;72
Nieuw-Lekkerland-G0571;27;0;1241;424;0;25;228;270;393;45;50;989;0;119;29;16;18;0;0;0;0;0;0;0;843
Nieuwleusen-G0170;19;0;622;480;0;38;90;1073;461;14;391;149;0;160;18;13;23;0;0;0;0;0;0;0;843
Nieuwolda-G0032;9;0;408;151;215;0;8;0;0;45;5;0;0;12;6;2;1;0;0;0;3;0;0;0;255
Nieuwpoort-G0572;9;0;166;88;0;5;16;59;111;5;27;104;0;18;2;1;1;0;0;0;0;0;0;0;129
Nieuwstadt-G0949;27;0;262;182;686;0;90;0;0;24;47;0;0;0;9;19;8;0;0;24;0;0;1;0;473
Nieuwveen-G0573;7;0;147;282;0;465;42;116;89;7;26;45;0;16;15;8;9;0;0;6;0;0;0;0;572
Nieuw-Vossemeer-G0818;12;0;271;104;371;0;60;0;0;11;66;0;0;8;6;14;6;0;3;0;0;0;0;0;357
Nigtevecht-G0337;5;0;0;159;0;25;0;123;58;11;14;5;226;9;7;5;0;0;0;2;0;0;0;1;146
Nijeveen-G0121;11;0;361;308;0;9;32;245;324;2;40;0;0;37;15;10;16;0;0;0;0;0;0;0;203
Nijkerk-G0267;43;0;2102;1680;0;593;378;2383;1561;44;478;936;0;293;187;33;44;0;0;0;0;0;0;0;2485
Nijmegen-G0268;526;0;21230;11711;0;19817;7376;1755;919;2158;0;148;0;400;688;2233;683;0;0;0;0;0;0;0;32844
Nistelrode-G0819;20;0;472;272;1438;0;103;0;0;10;266;0;0;6;11;19;25;0;0;0;0;5;0;0;935
Noorbeek-G0950;7;0;39;71;319;0;28;0;0;2;18;0;0;0;5;9;3;0;0;11;0;0;2;0;165
Noordeloos-G0574;5;0;138;131;0;2;11;68;226;6;27;167;0;21;2;3;1;0;0;0;0;0;0;0;116
Noordoostpolder-G0171;46;0;3642;3151;0;2106;677;2025;2732;165;288;386;0;682;200;116;98;0;0;0;0;0;0;0;3835
Noordwijk-G0575;113;0;2047;2951;0;2024;1062;715;744;146;327;150;0;139;185;150;93;0;0;18;0;0;0;0;4420
Noordwijkerhout-G0576;45;0;819;2091;0;2388;345;241;114;57;183;15;0;23;101;98;64;0;0;19;0;0;0;0;2081
Nootdorp-G0577;8;0;352;781;0;893;139;174;126;13;69;23;0;20;36;22;32;0;0;1;0;0;0;0;678
Norg-G0120;16;0;1217;950;0;31;91;158;303;31;165;0;0;58;74;24;63;0;0;0;0;0;0;0;932
Nuenen, Gerwen en Nederwetten-G0820;32;0;1222;1483;3003;0;348;0;0;46;244;0;0;28;109;104;83;0;0;0;0;18;0;0;1622
Nuland-G0821;18;0;233;131;972;0;40;0;0;8;93;0;0;6;6;8;8;0;0;0;0;5;0;0;643
Numansdorp-G0578;17;0;1680;635;0;35;92;323;421;28;61;282;0;41;25;14;20;0;0;0;0;0;0;0;800
Nunspeet-G0302;45;0;1356;2066;0;249;278;1950;1048;44;695;2427;0;318;158;43;45;0;0;0;0;0;0;0;2361
Nuth-G0951;49;0;817;368;1827;0;432;0;0;77;104;0;0;0;14;50;17;0;0;78;0;0;17;0;1287
Obbicht en Papenhoven-G0952;30;0;170;85;669;0;26;0;0;9;35;0;0;0;2;27;7;0;0;12;0;0;2;0;390
Obdam-G0429;6;0;232;275;979;0;78;0;0;12;57;0;0;1;20;22;7;0;2;41;0;0;0;0;375
Odoorn-G0122;82;0;3084;1271;0;226;124;580;433;198;133;0;0;137;66;38;34;0;0;0;0;0;0;0;2084
Oeffelt-G0822;17;0;118;109;537;0;30;0;0;5;76;0;0;3;5;4;10;0;0;0;0;0;0;0;334
Oegstgeest-G0579;61;0;1404;3510;0;927;605;701;522;66;80;62;0;165;336;136;180;0;0;14;0;0;0;0;1979
Ohé en Laak-G0953;5;0;20;33;274;0;13;0;0;2;29;0;0;0;0;11;3;0;0;0;0;0;0;0;118
Oirsbeek-G0954;30;0;281;275;1318;0;197;0;0;28;38;0;0;0;16;19;16;0;0;27;0;0;10;0;540
Oirschot-G0823;44;0;748;953;2751;0;156;0;0;23;358;0;0;25;35;31;37;0;6;0;0;0;0;0;1434
Oisterwijk-G0824;67;0;1744;1812;2735;0;340;0;0;80;417;0;0;31;91;52;61;0;9;0;0;25;0;0;2381
Oldebroek-G0269;52;0;1868;813;0;173;125;1162;1084;24;352;1930;0;427;70;29;19;0;0;0;0;0;0;0;2787
Oldehove-G0035;13;0;268;217;462;0;23;0;0;11;17;0;0;184;10;11;4;0;0;0;4;0;0;0;175
Oldekerk-G0036;4;0;214;204;567;0;9;0;0;16;23;0;0;104;6;2;5;0;0;0;1;0;0;0;196
Oldenzaal-G0173;69;0;2532;1941;0;5658;808;284;181;134;550;11;0;79;146;56;170;0;0;0;0;0;0;0;3697
Olst-G0174;16;0;1747;998;0;1167;174;330;81;29;117;29;0;20;65;21;37;0;0;0;0;0;0;0;890
Ommen-G0175;28;0;1200;1143;0;709;197;2123;1865;9;361;69;0;771;79;29;37;0;0;0;0;0;0;0;1420
Oost-, West- en Middelbeers-G0825;10;0;217;251;1112;0;61;0;0;6;109;0;0;2;8;7;9;0;2;0;0;0;0;0;581
Oostburg-G0692;104;0;2986;2595;0;1514;754;704;423;73;245;138;0;97;72;55;62;0;0;0;0;0;0;0;3088
Oostdongeradeel-G0084;19;0;312;230;2613;0;31;0;0;12;22;0;0;114;6;7;5;133;34;0;0;0;0;0;517
Oosterbroek-G0033;52;0;1117;419;268;0;37;0;0;306;51;0;0;81;23;84;21;0;0;0;56;0;0;0;913
Oosterhesselen-G0123;16;0;930;464;0;15;44;198;439;69;57;0;0;120;14;11;7;0;0;0;0;0;0;0;503
Oosterhout-G0826;162;0;4162;3122;6286;0;952;0;0;215;1103;0;0;0;167;146;236;0;51;0;0;0;0;0;7055
Oostflakkee-G0580;22;0;1652;520;0;718;82;309;414;31;102;619;0;67;10;17;26;0;0;0;0;0;0;0;1225
Ooststellingwerf-G0085;134;0;4506;1525;2922;0;218;0;0;525;316;0;0;285;96;290;59;212;63;0;0;0;0;0;2909
Oostvoorne-G0581;22;0;1374;1403;0;66;134;194;301;62;83;42;0;18;46;29;42;0;0;0;0;0;0;0;913
Oostzaan-G0431;21;0;1294;626;302;0;134;0;0;474;88;0;0;32;38;73;32;0;59;6;0;0;0;0;821
Ootmarsum-G0176;10;0;161;287;0;1277;63;77;5;4;46;1;0;5;14;6;17;0;0;0;0;0;0;0;373
Ophemert-G0270;1;0;303;165;0;16;17;119;20;4;123;31;0;6;20;14;0;0;0;0;0;0;0;0;178
Oploo, Sint Anthonis en Ledeacker-G0827;23;0;266;313;2376;0;95;0;0;14;150;0;0;9;21;31;14;0;0;0;0;0;0;0;824
Opmeer-G0432;10;0;418;339;1089;0;81;0;0;22;64;0;0;8;11;19;21;0;1;44;0;0;0;0;575
Opperdoes-G0433;5;0;124;99;397;0;26;0;0;12;27;0;0;44;4;8;5;0;129;0;0;0;0;0;141
Opsterland-G0086;116;0;4688;1557;2897;0;337;0;0;704;335;0;0;649;156;335;67;710;127;0;0;0;0;0;3038
Oss-G0828;169;0;4435;3318;6818;0;1344;0;0;215;1160;0;0;96;203;331;260;0;0;0;0;0;0;0;9163
Ossendrecht-G0829;27;0;491;385;738;0;65;0;0;18;173;0;0;7;11;17;16;0;7;0;0;0;0;0;1339
Ottoland-G0582;4;0;42;66;0;1;8;50;144;0;13;77;0;21;2;3;1;0;0;0;0;0;0;0;57
Oud- en Nieuw-Gastel-G0831;64;0;775;475;1389;0;126;0;0;41;532;0;0;13;18;43;20;0;5;0;0;0;0;0;1689
Oud-Alblas-G0583;4;0;163;115;0;7;17;129;189;9;29;241;0;33;3;0;5;0;0;0;0;0;0;0;193
Oud-Beijerland-G0584;28;0;2026;1421;0;194;251;409;834;55;70;928;0;242;80;30;67;0;0;0;0;0;0;0;1674
Oude Pekela-G0038;22;0;1992;397;592;0;106;0;0;1213;41;0;0;70;26;21;16;0;0;0;19;0;0;0;1173
Oudenbosch-G0830;44;0;1039;710;2008;0;184;0;0;47;372;0;0;0;30;59;39;0;8;0;0;0;0;0;2061
Oudendijk-G0435;2;0;104;82;33;0;15;0;0;3;11;0;0;0;7;4;4;0;0;3;0;0;0;0;65
Oudenhoorn-G0586;7;0;248;150;0;6;28;47;15;8;32;12;0;4;5;2;13;0;0;0;0;0;0;0;249
Ouder-Amstel-G0437;35;0;1217;1490;1582;0;380;0;0;172;131;0;0;40;141;104;97;0;71;80;0;0;0;0;1412
Ouderkerk aan den IJssel-G0587;12;0;731;681;0;37;58;110;369;23;53;731;0;53;35;16;43;0;0;0;0;0;0;0;727
Oudewater-G0589;23;0;0;613;0;1005;0;265;318;30;88;130;691;44;23;23;0;0;0;25;0;0;0;4;951
Overasselt-G0271;9;0;125;155;0;1073;98;19;12;6;92;2;0;2;6;14;6;0;0;0;0;0;0;0;407
Pannerden-G0272;11;0;120;76;0;575;26;8;2;12;130;1;0;1;1;2;5;0;0;0;0;0;0;0;390
Papendrecht-G0590;59;0;3655;2055;0;398;510;822;1054;160;148;726;0;202;134;85;237;0;0;0;0;0;0;0;3606
Peize-G0124;26;0;1123;683;0;23;94;67;49;72;145;0;0;12;52;37;53;0;0;0;0;0;0;0;669
Piershil-G0591;2;0;262;126;0;11;23;59;43;5;9;101;0;5;4;6;3;0;0;0;0;0;0;0;140
Pijnacker-G0594;35;0;1321;2025;0;1177;475;1021;513;43;149;317;0;145;118;58;88;0;0;5;0;0;0;0;1686
Polsbroek-G0338;2;0;0;134;0;76;0;99;81;0;44;93;52;0;1;2;0;0;0;0;0;0;0;1;138
Poortugal-G0592;55;0;4597;1068;0;461;479;487;593;327;145;224;0;109;89;88;107;0;0;0;0;0;0;0;3564
Posterholt-G0956;28;0;239;185;838;0;116;0;0;15;80;0;0;0;9;24;8;0;0;0;0;0;0;0;837
Prinsenbeek-G0832;51;0;827;1089;1999;0;170;0;0;38;310;0;0;9;60;21;50;0;4;0;0;0;0;0;1433
Purmerend-G0439;43;0;5166;3564;2366;0;1360;0;0;1261;270;0;0;91;302;389;336;0;45;91;0;0;0;0;3653
Putte-G0833;26;0;313;228;331;0;40;0;0;13;100;0;0;7;56;13;13;0;4;0;0;0;0;0;765
Putten-G0273;42;0;1278;1647;0;191;227;2305;800;62;628;1494;0;243;98;53;43;0;0;0;0;0;0;0;2082
Puttershoek-G0593;16;0;1101;483;0;81;82;259;245;28;32;211;0;35;18;23;24;0;0;0;0;0;0;0;581
Raalte-G0177;42;0;1445;1113;0;6401;465;881;124;27;354;19;0;62;61;47;125;0;0;0;0;0;0;0;2471
Raamsdonk-G0834;52;0;969;629;1947;0;402;0;0;60;394;0;0;0;35;37;51;0;94;0;0;0;0;0;1956
Rauwerderhem-G0087;6;0;442;194;374;0;30;0;0;8;22;0;0;8;9;19;22;282;1;0;0;0;0;0;265
Ravenstein-G0835;35;0;625;367;1738;0;167;0;0;17;274;0;0;11;29;30;26;0;0;0;0;0;0;0;1252
Reeuwijk-G0595;19;0;942;1417;0;591;161;243;420;30;86;242;0;49;86;41;66;0;0;20;0;0;0;0;1127
Reimerswaal-G0703;45;0;2266;1293;0;484;356;1283;679;49;271;2420;0;253;54;28;88;0;0;0;0;0;0;0;2798
Renkum-G0274;95;0;4699;5133;0;2365;1197;1942;1509;222;606;327;0;333;353;206;212;0;0;0;0;0;0;0;5139
Renswoude-G0339;0;0;0;258;0;31;0;386;166;22;73;137;179;49;22;9;0;0;0;2;0;0;0;3;393
Reusel-G0836;18;0;356;296;1621;0;103;0;0;16;145;0;0;7;18;10;15;0;4;0;0;0;0;0;1370
Rheden-G0275;184;0;10573;6332;0;3036;1475;2576;1770;311;558;146;0;403;559;298;243;0;0;0;0;0;0;0;6354
Rhenen-G0340;55;0;0;1691;0;264;0;1177;432;64;262;1221;2965;178;164;66;0;0;0;14;0;0;0;6;2189
Rhoon-G0596;10;0;760;956;0;291;144;625;318;15;46;68;0;43;42;27;35;0;0;0;0;0;0;0;763
Ridderkerk-G0597;87;0;8242;3513;0;613;989;1901;2424;404;259;2542;0;453;232;161;256;0;0;0;0;0;0;0;6674
Riethoven-G0837;2;0;98;236;544;0;45;0;0;3;42;0;0;2;10;6;8;0;2;0;0;0;0;0;250
Rijnsaterwoude-G0601;1;0;109;137;0;111;37;76;48;7;32;57;0;10;8;5;6;0;0;0;0;0;0;0;116
Rijnsburg-G0602;33;0;581;914;0;109;119;1011;1810;12;84;230;0;420;38;30;17;0;0;0;0;0;0;0;997
Rijsbergen-G0841;27;0;261;389;1037;0;66;0;0;14;241;0;0;16;10;15;16;0;2;0;0;0;0;0;1067
Rijssen-G0178;35;0;1568;588;0;672;144;1187;772;41;262;4457;0;243;73;36;48;0;0;0;0;0;0;0;1812
Rijswijk-G0603;149;0;7533;9719;0;3415;1694;1614;1514;379;397;303;0;333;963;435;479;0;0;0;0;0;0;0;7721
Rockanje-G0598;29;0;906;825;0;64;79;176;325;83;118;33;0;16;43;33;37;0;0;0;0;0;0;0;928
Roden-G0125;33;0;3128;1775;0;107;288;487;1053;159;332;0;0;229;147;84;148;0;0;0;0;0;0;0;1630
Roermond-G0957;255;0;2677;3373;5947;0;1081;0;0;165;569;0;0;0;145;266;103;0;0;0;0;0;0;0;9360
Roggel-G0958;24;0;126;155;1173;0;65;0;0;6;110;0;0;0;9;24;5;0;0;0;0;0;0;0;732
Rolde-G0126;19;0;1312;1143;0;51;126;109;108;16;86;0;0;31;54;43;16;0;0;0;0;0;0;0;751
Roosendaal en Nispen-G0838;290;0;5356;4589;8017;0;1214;0;0;255;2303;0;0;85;201;242;213;0;41;0;0;0;0;0;11086
Roosteren-G0959;7;0;113;70;419;0;21;0;0;6;16;0;0;0;3;13;7;0;0;0;0;0;0;0;240
Rosmalen-G0839;101;0;1513;2010;3335;0;478;0;0;53;404;0;0;27;97;89;84;0;14;0;0;161;0;0;3968
Rossum-G0276;4;0;441;220;0;347;40;183;67;5;69;12;0;7;9;5;8;0;0;0;0;0;0;0;445
Rotterdam-G0599;2153;0;158984;43809;0;21952;15579;14649;17593;17366;5800;6405;0;3890;4104;3898;3195;0;0;0;0;0;0;0;141519
Rozenburg-G0600;35;0;2173;799;0;210;285;611;573;191;116;74;0;155;55;52;67;0;0;0;0;0;0;0;2271
Rozendaal-G0277;2;0;115;419;0;39;81;91;46;5;13;2;0;14;28;9;13;0;0;0;0;0;0;0;130
Rucphen-G0840;121;0;921;691;3568;0;124;0;0;104;1438;0;0;34;27;42;51;0;11;0;0;0;0;0;5224
Ruinen-G0127;31;0;1297;1151;0;22;68;237;352;14;204;0;0;57;61;19;16;0;0;0;0;0;0;0;843
Ruinerwold-G0128;13;0;564;626;0;8;41;127;307;4;85;0;0;77;24;8;15;0;0;0;0;0;0;0;300
Ruurlo-G0278;69;0;1224;1047;0;860;93;166;140;9;294;6;0;22;32;13;14;0;0;0;0;0;0;0;778
Sas van Gent-G0704;50;0;1205;716;0;1117;405;100;43;43;191;31;0;21;17;25;20;0;0;0;0;0;0;0;1805
Sassenheim-G0604;34;0;979;1841;0;1550;335;536;750;45;107;83;0;98;113;53;91;0;0;9;0;0;0;0;1591
Schaesberg-G0960;133;0;2035;1241;2532;0;686;0;0;398;204;0;0;0;67;93;73;0;0;94;0;0;45;0;3445
Schagen-G0441;28;0;1765;1592;1180;0;262;0;0;150;97;0;0;29;96;111;78;0;8;0;0;0;0;0;1516
Schaijk-G0843;25;0;550;358;1483;0;85;0;0;15;229;0;0;6;11;24;19;0;0;0;0;0;0;0;1215
Scheemda-G0039;61;0;1867;489;1106;0;87;0;0;553;30;0;0;95;38;21;21;0;0;0;28;0;0;0;782
Schelluinen-G0605;3;0;209;122;0;5;16;36;46;8;14;53;0;8;5;1;4;0;0;0;0;0;0;0;157
