RegioNaam;@invalid;@blank;PvdA;VVD;CDA;KVP;Politieke Partij Radikalen (PPR);CHU;ARP;Communistische Partij van Nederland;BoerenPartij;SGP;PvdA/PPR/D'66;Gereformeerd Politiek Verbond (GPV);Democratisch Socialisten '70;Pacifistisch-Socialistische Partij (PSP);D66;FNP;SGP/NEV;Rooms Katholieke Partij Nederland;Lijst Meijer;Vrouw;Nieuwe Roomse Partij;Anti-Woningnood Aktie;@abs
Gulpen-G0913;25;0;298;353;1028;0;60;0;0;16;100;0;0;0;36;31;14;0;0;45;0;0;16;0;931
Haaften-G0242;14;0;838;266;0;22;44;400;192;5;51;188;0;30;20;7;12;0;0;0;0;0;0;0;374
Haaksbergen-G0158;71;0;2079;1653;0;5020;495;184;122;64;609;8;0;24;120;61;196;0;0;0;0;0;0;0;2232
Haaren-G0788;11;0;214;321;1416;0;54;0;0;12;95;0;0;2;17;15;13;0;1;0;0;8;0;0;709
Haarlem-G0392;642;0;30350;19563;18158;0;5736;0;0;4446;2830;0;0;933;1679;2153;1270;0;413;1571;0;0;0;0;30376
Haarlemmerliede en Spaarnwoude-G0393;23;0;411;584;796;0;107;0;0;91;80;0;0;21;28;27;22;0;18;59;0;0;0;0;512
Haarlemmermeer-G0394;226;0;7858;9036;9983;0;1748;0;0;1214;889;0;0;559;605;409;434;0;652;361;0;0;0;0;9622
Haastrecht-G0521;8;0;459;507;0;577;184;97;189;18;50;93;0;33;26;23;17;0;0;1;0;0;0;0;454
Haelen-G0914;29;0;267;481;1438;0;92;0;0;8;95;0;0;0;17;17;13;0;0;0;0;0;0;0;1078
Hagestein-G0522;6;0;87;98;0;149;19;97;22;5;14;97;0;4;3;3;6;0;0;0;0;0;0;0;156
Halsteren-G0789;62;0;1164;868;1504;0;203;0;0;55;515;0;0;31;43;47;44;0;50;0;0;0;0;0;2894
Haps-G0790;9;0;129;151;785;0;34;0;0;6;93;0;0;6;2;12;9;0;0;0;0;0;0;0;366
Hardenberg-G0160;63;0;2941;1147;0;1159;321;2850;3327;40;460;52;0;2160;60;28;26;0;0;0;0;0;0;0;2378
Harderwijk-G0243;55;0;1848;2991;0;527;520;3030;1800;98;671;1189;0;492;172;58;72;0;0;0;0;0;0;0;3724
Hardinxveld-G1070;72;0;2350;966;0;60;183;678;850;118;196;1910;0;466;49;33;44;0;0;0;0;0;0;0;2009
Haren-G0017;32;0;2439;3352;2660;0;426;0;0;144;131;0;0;412;464;142;252;0;0;0;42;0;0;0;1748
Harenkarspel-G0395;19;0;513;485;1218;0;112;0;0;75;102;0;0;28;34;41;29;0;3;0;0;0;0;0;729
Harlingen-G0072;86;0;2915;909;1888;0;258;0;0;167;94;0;0;360;73;52;49;225;15;0;0;0;0;0;2147
Harmelen-G0318;26;0;0;701;0;633;0;398;273;26;108;84;588;42;50;33;0;0;0;38;0;0;0;5;888
Haskerland-G0073;34;0;2267;776;2566;0;231;0;0;102;153;0;0;97;31;65;45;788;47;0;0;0;0;0;1881
Hasselt-G0161;14;0;572;278;0;108;59;525;444;12;83;286;0;308;23;11;18;0;0;0;0;0;0;0;600
Hattem-G0244;42;0;1982;976;0;202;129;1245;504;75;103;111;0;746;80;29;29;0;0;0;0;0;0;0;906
Havelte-G0117;27;0;1513;911;0;19;61;160;68;19;127;0;0;23;70;58;10;0;0;0;0;0;0;0;659
Hazerswoude-G0524;15;0;627;1170;0;927;261;492;609;32;88;226;0;60;66;37;41;0;0;1;0;0;0;0;1166
Hedel-G0245;18;0;393;213;0;446;45;131;57;8;51;189;0;26;10;6;5;0;0;0;0;0;0;0;413
Heel en Panheel-G0915;10;0;153;319;921;0;116;0;0;8;37;0;0;0;14;48;12;0;0;0;0;0;0;0;1285
Heemskerk-G0396;85;0;4545;2386;4117;0;1309;0;0;537;376;0;0;129;210;244;213;0;45;0;0;0;0;0;4073
