RegioNaam;@invalid;@blank;KVP;PvdA;ARP;CHU;VVD;Communistische Partij van Nederland;SGP;KNP;Gereformeerd Politiek Verbond (GPV);Socialistische Unie;Katholieke Democratische Lijst;Protestants-Christelijke Lijst;Middenstandspartij;Vrijzinnig-Democratische Bond (VDB);Katholieke Arbeiders Lijst;Bond van Wereldburgers;Lijst van Nunen;@abs
Haarlemmermeer-G0394;0;0;4553;4942;3858;3236;1171;1032;249;182.0;203;32;0;0;0;0;0;0;0;1904
Haastrecht-G0521;0;0;521;298;180;64;178;7;57;23.0;4;1;0;0;0;0;0;0;0;81
Haelen-G0914;0;0;1446;28;0;0;0;0;0;0.0;0;0;0;11;0;0;0;0;0;150
Hagestein-G0522;0;0;164;41;45;79;53;1;89;0.0;0;0;0;0;0;0;0;0;0;46
Halsteren-G0789;0;0;2655;398;79;96;96;20;18;370.0;0;0;0;0;0;0;0;0;0;290
Haps-G0790;0;0;895;2;0;1;1;0;0;1.0;0;0;0;0;0;0;0;0;0;63
Hardenberg-G0160;0;0;1104;2256;2816;2188;485;41;29;0.0;1026;0;0;0;0;0;0;0;0;777
Harderwijk-G0243;0;0;404;1191;1471;2632;449;40;508;39.0;58;0;0;0;0;0;0;0;0;842
Hardinxveld-G1070;0;0;23;1439;613;196;284;69;926;7.0;77;3;0;0;0;0;0;0;0;1024
Haren-G0017;0;0;162;2119;1237;975;1602;150;0;0.0;157;0;0;0;151;0;0;0;0;837
Harenkarspel-G0395;0;0;1351;294;96;4;140;29;1;0.0;5;0;0;0;0;0;0;0;0;96
Harlingen-G0072;0;0;798;2406;579;908;417;260;11;0.0;217;0;0;0;0;79;0;0;0;735
Harmelen-G0318;0;0;715;90;269;296;34;0;65;0.0;7;0;0;0;0;0;0;0;0;107
Haskerland-G0073;0;0;661;2264;693;1335;466;88;13;0.0;14;0;0;0;0;15;0;0;0;668
Hasselt-G0161;0;0;59;248;319;326;58;3;53;0.0;112;0;0;0;0;0;0;0;0;201
Hattem-G0244;0;0;84;1341;438;859;284;80;30;6.0;261;0;0;0;0;0;0;0;0;270
Havelte-G0117;0;0;21;1236;157;177;660;10;0;0.0;4;0;0;0;0;0;0;0;0;325
Hazerswoude-G0524;0;0;1112;129;689;553;56;4;168;8.0;2;1;0;0;0;0;0;0;0;155
Hedel-G0245;0;0;458;162;68;218;17;0;140;1.0;0;0;0;0;0;0;0;0;0;133
Heel en Panheel-G0915;0;0;1365;12;0;0;0;0;0;0.0;0;0;0;10;0;0;0;0;0;78
Heemskerk-G0396;0;0;2289;355;23;146;61;73;7;9.0;0;2;0;0;0;0;0;0;0;150
Heemstede-G0397;0;0;3772;2443;1491;964;3078;251;32;779.0;29;51;0;0;0;0;0;0;0;1706
Heenvliet-G0525;0;0;4;259;63;40;187;101;12;1.0;0;0;0;0;0;0;0;0;0;110
Heer-G0916;0;0;2443;872;0;0;0;19;0;0.0;0;0;40;30;0;0;0;0;0;384
Heerde-G0246;0;0;81;2109;1026;2133;497;11;158;9.0;171;0;0;0;0;0;0;0;0;460
Heerenveen-G0074;0;0;472;5711;1601;1147;1792;1403;16;0.0;62;419;0;0;0;96;0;0;0;1667
Heerewaarden-G0247;0;0;25;462;6;17;74;0;1;2.0;0;0;0;0;0;0;0;0;0;53
Heerhugowaard-G0398;0;0;2049;362;184;42;178;39;0;16.0;1;0;0;0;0;0;0;0;0;109
Heerjansdam-G0526;0;0;9;229;174;249;64;10;66;1.0;2;0;0;0;0;0;0;0;0;60
Heerlen-G0917;0;0;21038;5839;0;0;0;1020;0;0.0;85;0;729;1649;0;0;0;0;0;3088
Heesch-G0791;0;0;1982;52;4;26;2;2;0;3.0;0;0;0;0;0;0;0;0;0;154
Heeswijk-G1072;0;0;1031;9;1;2;0;1;0;7.0;0;0;0;0;0;0;0;0;0;81
Heeze-G0793;0;0;1975;82;15;63;16;4;0;15.0;0;0;0;0;0;0;0;0;0;171
Hei- en Boeicop-G0527;0;0;5;27;137;29;30;0;168;1.0;1;0;0;0;0;0;0;0;0;37
Heiloo-G0399;0;0;2375;1599;264;199;752;144;8;101.0;6;4;0;0;0;0;0;0;0;788
Heinenoord-G0528;0;0;14;347;282;147;179;7;157;3.0;1;0;0;0;0;0;0;0;0;116
Heinkenszand-G0672;0;0;515;81;136;301;32;0;46;0.0;0;0;0;0;0;0;43;0;0;80
Heino-G0162;0;0;966;296;62;465;34;3;3;0.0;54;0;0;0;0;0;0;0;0;54
Hekelingen-G1074;0;0;3;330;56;48;116;10;26;4.0;1;0;0;0;0;0;0;0;0;60
Hekendorp-G1075;0;0;128;47;67;72;39;1;41;1.0;0;0;0;0;0;0;0;0;0;38
Helden-G0918;0;0;4081;42;0;0;0;9;0;0.0;0;0;0;9;0;0;0;0;0;263
Hellendoorn-G0163;0;0;2360;1523;1799;3637;302;65;135;0.0;138;0;0;0;0;0;0;0;0;646
Hellevoetsluis-G0530;0;0;60;385;75;73;95;10;24;6.0;3;0;0;0;0;0;0;0;0;96
Helmond-G0794;0;0;13120;3245;116;236;473;410;0;201.0;0;0;0;0;0;0;0;0;0;2259
Helvoirt-G0795;0;0;1269;39;1;40;10;4;5;35.0;0;0;0;0;0;0;0;0;0;118
Hemelumer Oldeferd-G0075;0;0;111;529;553;1412;75;2;27;0.0;6;0;0;0;0;9;0;0;0;201
Hemmen-G1076;0;0;4;11;24;56;10;2;19;0.0;0;0;0;0;0;0;0;0;0;8
Hendrik-Ido-Ambacht-G0531;0;0;26;975;742;448;214;11;683;6.0;19;0;0;0;0;0;0;0;0;244
Hengelo-G0248;0;0;1132;660;502;687;186;4;34;3.0;2;0;0;0;0;0;0;0;0;167
Hengelo-G0164;0;0;10284;11130;1404;1924;2613;1451;67;0.0;134;0;0;0;0;0;0;0;0;2703
Hennaarderadeel-G0076;0;0;130;558;547;1100;164;4;3;0.0;4;0;0;0;0;78;0;0;0;136
Hensbroek-G0401;0;0;292;147;5;3;51;23;1;0.0;0;0;0;0;0;0;0;0;0;34
Herkingen-G1078;0;0;6;55;150;17;11;0;232;1.0;1;0;0;0;0;0;0;0;0;107
Herten-G0919;0;0;890;27;0;0;0;0;0;0.0;0;0;3;3;0;0;0;0;0;123
Herwen en Aerdt-G0249;0;0;2256;297;91;144;53;14;11;35.0;3;0;0;0;0;0;0;0;0;388
Herwijnen-G0250;0;0;5;370;253;231;50;2;71;2.0;1;0;0;0;0;0;0;0;0;74
Het Bildt-G0063;0;0;27;1757;1624;719;528;266;7;0.0;22;0;0;0;0;69;0;0;0;457
Heteren-G0251;0;0;1332;202;247;457;31;3;167;5.0;2;0;0;0;0;0;0;0;0;129
Heukelum-G0533;0;0;13;441;167;170;135;8;23;2.0;2;2;0;0;0;0;0;0;0;94
Heumen-G0252;0;0;1337;54;10;23;12;0;2;15.0;0;0;0;0;0;0;0;0;0;115
Heusden-G0797;0;0;996;299;86;181;52;0;29;11.0;0;0;0;0;0;0;0;0;0;118
Heythuysen-G0920;0;0;1507;17;0;0;0;0;0;0.0;0;0;0;6;0;0;0;0;0;117
Hillegom-G0534;0;0;3534;1198;637;1006;251;39;74;190.0;5;15;0;0;0;0;0;0;0;518
Hilvarenbeek-G0798;0;0;2154;222;9;84;10;4;2;182.0;0;0;0;0;0;0;0;0;6;169
Hilversum-G0402;0;0;10223;15678;6030;5479;7152;3030;491;671.0;177;70;0;0;0;0;0;0;0;6007
Hindeloopen-G0077;0;0;10;244;67;138;5;9;1;0.0;5;0;0;0;0;0;0;0;0;42
Hoedekenskerke-G0673;0;0;407;82;61;152;13;8;102;0.0;1;0;0;0;0;0;66;0;0;49
Hoek-G0674;0;0;39;485;161;325;135;11;217;0.0;81;0;0;0;0;0;1;0;0;164
Hoenkoop-G0319;0;0;165;25;75;43;17;0;5;0.0;1;0;0;0;0;0;0;0;0;10
Hoensbroek-G0921;0;0;5980;1672;0;0;0;538;0;0.0;31;0;58;396;0;0;0;0;0;1008
Hoevelaken-G0253;0;0;61;229;106;331;21;2;153;2.0;8;0;0;0;0;0;0;0;0;117
Hoeven-G0799;0;0;1926;79;5;12;3;6;4;106.0;0;0;0;0;0;0;0;0;0;239
Holten-G0165;0;0;82;623;410;1048;710;19;26;0.0;8;0;0;0;0;0;0;0;0;192
Hontenisse-G0675;0;0;2592;134;18;83;67;1;4;0.0;13;0;0;0;0;0;28;0;0;275
Hoofdplaat-G0676;0;0;278;32;12;49;15;1;7;0.0;0;0;0;0;0;0;225;0;0;64
Hoogblokland-G0535;0;0;9;145;179;14;147;0;26;1.0;0;0;0;0;0;0;0;0;0;18
Hooge en Lage Mierde-G0801;0;0;1109;22;3;10;0;0;0;11.0;0;0;0;0;0;0;0;0;0;93
Hooge en Lage Zwaluwe-G0802;0;0;1195;281;70;671;92;0;26;13.0;0;0;0;0;0;0;0;0;0;214
Hoogeloon, Hapert en Casteren-G0800;0;0;1559;14;2;40;2;0;1;3.0;0;0;0;0;0;0;0;0;0;164
Hoogeveen-G0118;0;0;124;1936;4090;2541;549;567;0;0.0;255;0;0;0;0;0;0;0;0;1509
Hoogezand-Sappemeer-G0018;0;0;965;5884;900;534;1258;1328;0;0.0;96;0;0;0;335;0;0;0;0;1776
Hoogkarspel-G0403;0;0;960;209;6;5;100;11;1;14.0;0;1;0;0;0;0;0;0;0;66
Hoogkerk-G1084;0;0;67;1029;556;274;165;78;0;0.0;264;0;0;0;57;0;0;0;0;202
Hoogland-G0320;0;0;1615;120;67;212;23;4;42;0.0;13;0;0;0;0;0;0;3;0;109
Hoogwoud-G0404;0;0;675;346;5;2;202;37;1;3.0;0;0;0;0;0;0;0;0;0;69
Hoorn-G0405;0;0;2675;2934;403;278;937;418;15;52.0;20;23;0;0;0;0;0;0;0;824
Hoornaar-G0536;0;0;3;119;197;6;100;1;39;0.0;0;1;0;0;0;0;0;0;0;31
Horn-G0922;0;0;1141;28;0;0;0;0;0;0.0;0;0;6;9;0;0;0;0;0;175
Horssen-G0254;0;0;521;12;2;50;1;0;0;0.0;0;0;0;0;0;0;0;0;0;15
Horst-G0923;0;0;4901;47;0;0;0;0;0;0.0;0;0;0;17;0;0;0;0;0;231
Houten-G0321;0;0;951;121;104;79;39;3;133;0.0;5;0;0;0;0;0;0;2;0;102
Huijbergen-G0803;0;0;448;10;4;1;0;1;2;14.0;0;0;0;0;0;0;0;0;0;19
Huissen-G0255;0;0;3150;208;22;138;19;1;3;28.0;7;0;0;0;0;0;0;0;0;232
Huizen-G0406;0;0;221;1461;2328;1576;690;126;403;55.0;33;13;0;0;0;0;0;0;0;669
Hulsberg-G0924;0;0;937;60;0;0;0;9;0;0.0;4;0;7;5;0;0;0;0;0;135
Hulst-G0677;0;0;1970;315;7;33;29;2;4;0.0;2;0;0;0;0;0;32;0;0;262
Hummelo en Keppel-G0256;0;0;317;712;178;308;321;8;12;8.0;1;0;0;0;0;0;0;0;0;213
Hunsel-G0925;0;0;1422;13;0;0;0;0;0;0.0;0;0;0;6;0;0;0;0;0;98
Hurwenen-G1089;0;0;109;144;9;38;15;0;8;0.0;0;0;0;0;0;0;0;0;0;31
Idaarderadeel-G0078;0;0;200;2551;275;168;251;153;5;0.0;0;0;0;0;0;264;0;0;0;364
IJlst-G0102;0;0;11;215;240;298;20;10;2;0.0;0;0;0;0;0;2;0;0;0;39
IJsselmuiden-G0191;0;0;473;389;567;813;109;4;1110;0.0;236;0;0;0;0;0;0;0;0;313
IJsselstein-G0353;0;0;1574;375;249;406;34;10;236;0.0;5;0;0;0;0;0;0;3;0;184
IJzendijke-G0730;0;0;882;280;53;97;77;7;7;0.0;0;0;0;0;0;0;17;0;0;138
Ilpendam-G0407;0;0;326;481;89;165;71;246;2;3.0;7;3;0;0;0;0;0;0;0;98
Itteren-G0926;0;0;329;14;0;0;0;0;0;0.0;0;0;1;5;0;0;0;0;0;21
Jabeek-G0927;0;0;319;8;0;0;0;0;0;0.0;0;0;1;0;0;0;0;0;0;17
Jisp-G0408;0;0;36;176;12;3;107;74;1;0.0;0;0;0;0;0;0;0;0;0;45
Jutphaas-G0322;0;0;1012;253;156;239;31;2;55;0.0;4;0;0;0;0;0;0;1;0;101
Kamerik-G0323;0;0;417;47;213;256;23;7;159;0.0;3;0;0;0;0;0;0;1;0;105
Kampen-G0166;0;0;1265;3213;2319;2869;502;60;1211;0.0;1259;0;0;0;0;0;0;0;0;1259
Kantens-G0020;0;0;26;511;233;133;172;13;0;0.0;114;0;0;0;34;0;0;0;0;66
Kapelle-G0678;0;0;54;514;411;815;214;6;207;0.0;6;0;0;0;0;0;2;0;0;211
Kattendijke-G0679;0;0;6;337;28;218;35;0;14;0.0;0;0;0;0;0;0;1;0;0;59
Katwijk-G0537;0;0;656;1738;1518;5149;463;55;1300;97.0;59;19;0;0;0;0;0;0;0;1478
Katwoude-G0409;0;0;18;40;29;35;16;1;1;1.0;1;0;0;0;0;0;0;0;0;5
Kedichem-G0538;0;0;11;243;137;31;180;5;20;4.0;3;1;0;0;0;0;0;0;0;48
Kerkrade-G0928;0;0;13271;2883;0;0;0;623;0;0.0;60;0;3438;356;0;0;0;0;0;2356
Kerkwerve-G1095;0;0;5;49;130;56;53;0;39;0.0;0;0;0;0;0;0;0;0;0;96
Kerkwijk-G0257;0;0;13;181;282;170;29;0;70;0.0;0;0;0;0;0;0;0;0;0;70
Kessel-G0929;0;0;1112;12;0;0;0;0;0;0.0;0;0;0;5;0;0;0;0;0;74
Kesteren-G0258;0;0;27;708;560;198;192;16;851;6.0;11;0;0;0;0;0;0;0;0;290
Klaaswaal-G0539;0;0;9;453;183;212;187;5;175;1.0;1;0;0;0;0;0;0;0;0;115
Klimmen-G0930;0;0;1170;45;0;0;0;7;0;0.0;2;0;12;9;0;0;0;0;0;119
Kloetinge-G0680;0;0;51;315;141;382;112;2;43;0.0;0;0;0;0;0;0;5;0;0;100
Kloosterburen-G0021;0;0;544;285;297;13;97;3;0;0.0;5;0;0;0;17;0;0;0;0;58
Klundert-G0804;0;0;845;253;902;498;34;0;72;9.0;0;0;0;0;0;0;0;0;0;183
Kockengen-G0324;0;0;294;26;172;136;9;3;149;0.0;3;0;0;0;0;0;0;0;0;34
Koedijk-G0410;0;0;402;435;45;42;159;67;1;9.0;0;14;0;0;0;0;0;0;0;86
Koewacht-G0681;0;0;970;220;4;13;9;2;0;0.0;1;0;0;0;0;0;12;0;0;140
Kollumerland en Nieuwkruisland-G0079;0;0;15;742;2402;1542;286;35;108;0.0;64;0;0;0;0;6;0;0;0;408
Koog aan de Zaan-G0411;0;0;451;1667;351;127;548;932;31;7.0;3;7;0;0;0;0;0;0;0;380
Kortenhoef-G1097;0;0;293;314;125;290;68;40;71;13.0;11;1;0;0;0;0;0;0;0;138
Kortgene-G0682;0;0;28;887;266;518;244;3;131;0.0;3;0;0;0;0;0;0;0;0;260
Koudekerk aan den Rijn-G0540;0;0;108;136;322;338;34;2;27;2.0;0;4;0;0;0;0;0;0;0;75
Koudekerke-G1098;0;0;19;266;452;491;62;3;93;0.0;3;0;0;0;0;0;3;0;0;185
Krabbendijke-G0684;0;0;10;251;218;364;62;8;558;0.0;6;0;0;0;0;0;0;0;0;224
Krimpen aan de Lek-G0541;0;0;23;981;415;98;174;48;203;6.0;1;6;0;0;0;0;0;0;0;177
Krimpen aan den IJssel-G0542;0;0;68;1599;297;483;229;193;907;16.0;7;14;0;0;0;0;0;0;0;580
Krommenie-G0413;0;0;1070;1240;315;74;300;1060;5;11.0;52;3;0;0;0;0;0;0;0;263
Kruiningen-G0685;0;0;302;771;252;442;254;8;285;0.0;6;0;0;0;0;0;113;0;0;383
Kuinre-G0167;0;0;56;207;36;106;38;0;1;0.0;1;0;0;0;0;0;0;0;0;53
Kwadijk-G0414;0;0;13;150;8;8;55;8;1;1.0;0;0;0;0;0;0;0;0;0;22
Landsmeer-G0415;0;0;166;942;451;215;291;643;13;11.0;8;3;0;0;0;0;0;0;0;250
Langbroek-G0325;0;0;157;138;197;177;13;6;140;0.0;4;0;0;0;0;0;0;2;0;59
Lange Ruige Weide-G1101;0;0;14;22;163;115;14;0;81;0.0;0;0;0;0;0;0;0;0;0;19
Langedijk-G0416;0;0;1423;1272;775;321;544;158;0;5.0;24;0;0;0;0;0;0;0;0;251
Langerak-G0543;0;0;2;114;203;25;54;1;106;1.0;9;1;0;0;0;0;0;0;0;49
Laren-G0417;0;0;2600;1156;428;260;1136;198;24;123.0;24;16;0;0;0;0;0;0;0;814
Laren (Gld.)-G0259;0;0;95;926;369;1000;993;74;9;12.0;5;0;0;0;0;0;0;0;0;548
Leek-G0022;0;0;10;1761;1247;390;708;54;0;0.0;272;0;0;0;72;0;0;0;0;362
Leende-G0805;0;0;1147;36;6;19;4;2;0;5.0;0;0;0;0;0;0;0;0;0;113
Leens-G0023;0;0;226;676;453;47;294;13;0;0.0;404;0;0;0;66;0;0;0;0;214
Leerbroek-G0544;0;0;2;34;160;61;21;1;153;1.0;4;0;0;0;0;0;0;0;0;94
Leerdam-G0545;0;0;269;1918;1184;789;416;171;658;12.0;94;3;0;0;0;0;0;0;0;509
Leersum-G0326;0;0;37;505;295;378;178;12;181;0.0;7;0;0;0;0;0;0;7;0;217
Leeuwarden-G0080;0;0;4375;20369;7308;4056;4033;1561;116;0.0;280;343;0;0;0;534;0;0;0;4790
Leeuwarderadeel-G0081;0;0;13;1561;680;165;367;28;3;0.0;7;0;0;0;0;34;0;0;0;207
Leiden-G0546;0;0;10450;18650;3893;7049;4435;3580;681;597.0;127;104;0;0;0;0;0;0;0;4582
Leiderdorp-G0547;0;0;402;516;768;585;159;31;69;22.0;5;0;0;0;0;0;0;0;0;154
Leidschendam-G0548;0;0;3397;779;439;659;601;38;51;351.0;4;6;0;0;0;0;0;0;0;790
Leimuiden-G0549;0;0;622;105;247;179;27;8;6;0.0;0;1;0;0;0;0;0;0;0;66
Lekkerkerk-G0550;0;0;28;1282;322;62;654;69;375;7.0;1;2;0;0;0;0;0;0;0;249
Lemsterland-G0082;0;0;254;1445;907;962;108;339;80;0.0;4;0;0;0;0;22;0;0;0;545
Leusden-G0327;0;0;577;271;218;399;91;6;113;0.0;27;0;0;0;0;0;0;3;0;188
Lexmond-G0551;0;0;3;234;334;170;91;6;159;1.0;0;0;0;0;0;0;0;0;0;96
Lichtenvoorde-G0260;0;0;4263;206;103;326;31;1;0;0.0;1;0;0;0;0;0;0;0;0;163
Liempde-G0806;0;0;1116;10;2;0;0;0;1;0.0;0;0;0;0;0;0;0;0;1;66
Lienden-G0261;0;0;37;1038;172;331;716;31;194;9.0;12;0;0;0;0;0;0;0;0;368
Lieshout-G0807;0;0;1441;33;3;7;4;1;0;10.0;0;0;0;0;0;0;0;0;0;153
Limbricht-G0931;0;0;1259;48;0;0;0;4;0;0.0;1;0;3;2;0;0;0;0;0;104
Limmen-G0418;0;0;1277;98;13;0;55;53;0;14.0;0;0;0;0;0;0;0;0;0;62
Linne-G0932;0;0;1030;64;0;0;0;0;0;0.0;0;0;2;7;0;0;0;0;0;132
Linschoten-G0328;0;0;309;70;191;165;123;5;203;0.0;2;0;0;0;0;0;0;3;0;68
Lisse-G0553;0;0;3116;547;598;839;162;21;397;116.0;39;9;0;0;0;0;0;0;0;334
Lith-G0808;0;0;1453;58;3;31;15;0;0;7.0;0;0;0;0;0;0;0;0;0;166
Lochem-G0262;0;0;309;1750;259;434;656;323;15;44.0;10;0;0;0;0;0;0;0;0;513
Loenen-G0329;0;0;342;242;253;289;273;4;123;0.0;22;0;0;0;0;0;0;4;0;154
Loenersloot-G1105;0;0;89;32;59;79;9;1;45;0.0;0;0;0;0;0;0;0;1;0;30
Loon op Zand-G0809;0;0;5750;244;57;150;10;14;141;99.0;0;0;0;0;0;0;0;0;6;462
Loosdrecht-G0330;0;0;108;494;470;452;472;84;169;0.0;66;0;0;0;0;0;0;7;0;364
Lopik-G0331;0;0;582;422;567;422;54;19;238;0.0;6;0;0;0;0;0;0;3;0;195
Loppersum-G0024;0;0;7;641;780;171;258;25;0;0.0;122;0;0;0;71;0;0;0;0;164
Losser-G0168;0;0;7177;923;107;669;203;462;13;0.0;29;0;0;0;0;0;0;0;0;947
Luyksgestel-G0810;0;0;646;9;2;10;0;2;1;2.0;0;0;0;0;0;0;0;0;0;85
Maarheeze-G0811;0;0;1610;31;1;7;6;1;0;10.0;0;0;0;0;0;0;0;0;0;213
Maarn-G0332;0;0;109;400;193;306;160;22;110;0.0;3;0;0;0;0;0;0;3;0;168
Maarssen-G0333;0;0;1089;1167;755;924;173;59;105;0.0;8;0;0;0;0;0;0;13;0;369
Maartensdijk-G0334;0;0;208;687;449;284;307;28;418;0.0;13;0;0;0;0;0;0;6;0;248
Maasbracht-G0933;0;0;1332;61;0;0;0;0;0;0.0;0;0;13;77;0;0;0;0;0;502
Maasbree-G0934;0;0;2823;25;0;0;0;3;0;0.0;0;0;0;11;0;0;0;0;0;145
Maasdam-G0554;0;0;6;366;161;182;166;3;114;1.0;0;0;0;0;0;0;0;0;0;91
Maasdriel-G0263;0;0;2022;94;23;200;18;0;17;1.0;0;0;0;0;0;0;0;0;0;246
Maasland-G0555;0;0;328;55;729;670;60;2;30;2.0;7;1;0;0;0;0;0;0;0;66
Maasniel-G1110;0;0;2582;239;0;0;0;0;0;0.0;0;0;10;92;0;0;0;0;0;376
Maassluis-G0556;0;0;404;1840;1711;1346;195;38;140;37.0;41;19;0;0;0;0;0;0;0;627
Maastricht-G0935;0;0;25796;12327;0;0;0;520;0;0.0;195;0;1681;493;0;0;0;0;0;4981
Made en Drimmelen-G0812;0;0;2574;141;79;118;120;0;10;16.0;0;0;0;0;0;0;0;0;0;411
Margraten-G0936;0;0;809;15;0;0;0;0;0;0.0;0;0;0;1;0;0;0;0;0;46
Markelo-G0169;0;0;179;1188;479;494;951;24;10;0.0;7;0;0;0;0;0;0;0;0;363
Marken-G0419;0;0;6;41;273;407;17;6;0;1.0;4;0;0;0;0;0;0;0;0;106
Marum-G0025;0;0;13;1442;1046;214;606;160;0;0.0;54;0;0;0;96;0;0;0;0;326
Maurik-G0264;0;0;156;1104;112;741;292;12;45;3.0;6;0;0;0;0;0;0;0;0;285
Medemblik-G0420;0;0;961;570;244;152;122;132;8;15.0;6;2;0;0;0;0;0;0;0;176
Meeden-G0026;0;0;6;537;276;29;91;68;0;0.0;27;0;0;0;37;0;0;0;0;106
Meerkerk-G0557;0;0;7;332;383;66;187;5;107;1.0;1;0;0;0;0;0;0;0;0;94
Meerlo-G0937;0;0;1401;16;0;0;0;0;0;0.0;0;0;0;4;0;0;0;0;0;60
Meerssen-G0938;0;0;3222;329;0;0;0;12;0;0.0;11;0;45;37;0;0;0;0;0;212
Megen, Haren en Macharen-G0813;0;0;949;82;1;0;0;0;0;4.0;0;0;0;0;0;0;0;0;0;105
Meijel-G0941;0;0;1446;14;0;0;0;0;0;0.0;0;0;0;3;0;0;0;0;0;63
Melick en Herkenbosch-G0939;0;0;1176;50;0;0;0;0;0;0.0;0;0;5;11;0;0;0;0;0;167
Meliskerke-G1112;0;0;0;3;110;24;2;0;186;0.0;0;0;0;0;0;0;0;0;0;52
Melissant-G1113;0;0;31;248;185;172;45;2;339;0.0;2;0;0;0;0;0;0;0;0;129
Menaldumadeel-G0083;0;0;280;2771;1422;872;675;79;8;0.0;9;0;0;0;0;69;0;0;0;379
Meppel-G0119;0;0;288;3282;1502;2088;1215;112;0;0.0;68;0;0;0;0;0;0;0;0;1088
Merkelbeek-G0940;0;0;760;28;0;0;0;5;0;0.0;2;0;0;4;0;0;0;0;0;49
Mheer-G0942;0;0;543;9;0;0;0;0;0;0.0;0;0;3;0;0;0;0;0;0;60
Middelburg-G0687;0;0;888;4751;2330;1917;1137;104;767;0.0;82;0;0;0;0;0;79;0;0;1621
Middelharnis-G0559;0;0;85;744;753;94;308;15;603;20.0;7;0;0;0;0;0;0;0;0;378
Middelie-G0421;0;0;7;209;12;5;79;12;2;0.0;0;0;0;0;0;0;0;0;0;17
Middelstum-G0027;0;0;2;369;746;117;136;21;0;0.0;125;0;0;0;24;0;0;0;0;65
Midwolda-G0028;0;0;1;835;722;661;195;161;0;0.0;10;0;0;0;34;0;0;0;0;152
Midwoud-G0422;0;0;43;361;7;4;223;36;1;0.0;0;2;0;0;0;0;0;0;0;52
Mierlo-G0814;0;0;3071;221;21;33;18;27;0;20.0;0;0;0;0;0;0;0;0;0;355
Mijdrecht-G0336;0;0;1141;370;571;535;37;14;118;0.0;20;0;0;0;0;0;0;2;0;191
Mijnsheerenland-G0564;0;0;2;279;356;168;160;2;88;1.0;0;0;0;0;0;0;0;0;0;84
Mill en Sint Hubert-G0815;0;0;2972;61;9;11;5;0;0;13.0;0;0;0;0;0;0;0;0;0;479
Millingen aan de Rijn-G0265;0;0;1529;180;16;12;3;0;2;12.0;0;0;0;0;0;0;0;0;0;345
Moergestel-G0816;0;0;1471;69;2;2;3;4;0;16.0;0;0;0;0;0;0;0;0;0;147
Moerkapelle-G0560;0;0;0;126;171;80;31;1;115;0.0;0;2;0;0;0;0;0;0;0;59
Molenaarsgraaf-G0561;0;0;2;43;97;16;32;0;106;1.0;5;0;0;0;0;0;0;0;0;35
Monnickendam-G0423;0;0;366;390;192;445;103;79;1;12.0;3;1;0;0;0;0;0;0;0;124
Monster-G0562;0;0;3255;817;879;636;232;21;623;253.0;71;4;0;0;0;0;0;0;0;337
Montfoort-G0335;0;0;827;88;92;132;15;1;41;0.0;2;0;0;0;0;0;0;2;0;74
Montfort-G0943;0;0;836;51;0;0;0;0;0;0.0;0;0;4;7;0;0;0;0;0;125
Mook en Middelaar-G0944;0;0;1091;53;0;0;0;0;0;0.0;0;0;0;27;0;0;0;0;0;128
Moordrecht-G0563;0;0;172;585;341;72;256;6;260;17.0;2;1;0;0;0;0;0;0;0;122
Muiden-G0424;0;0;417;521;272;454;109;40;13;2.0;2;0;0;0;0;0;0;0;0;160
Munstergeleen-G0945;0;0;923;110;0;0;0;3;0;0.0;3;0;3;9;0;0;0;0;0;81
Muntendam-G0029;0;0;31;1249;122;178;139;261;0;0.0;7;0;0;0;59;0;0;0;0;226
Naaldwijk-G0565;0;0;2845;1233;1794;1377;807;24;142;170.0;15;5;0;0;0;0;0;0;0;420
Naarden-G0425;0;0;1164;1817;773;469;1815;136;74;214.0;22;11;0;0;0;0;0;0;0;878
Nederhemert-G1115;0;0;6;87;48;225;12;0;198;0.0;0;0;0;0;0;0;0;0;0;98
Nederhorst den Berg-G0426;0;0;449;183;242;331;23;89;7;17.0;14;0;0;0;0;0;0;0;0;114
Nederweert-G0946;0;0;3938;46;0;0;0;0;0;0.0;0;0;0;19;0;0;0;0;0;309
Neede-G0266;0;0;871;1986;373;282;611;30;10;0.0;45;0;0;0;0;0;0;0;0;233
Neer-G0947;0;0;1227;11;0;0;0;0;0;0.0;0;0;0;8;0;0;0;0;0;57
Nibbixwoud-G0427;0;0;559;144;5;9;135;8;0;0.0;2;0;0;0;0;0;0;0;0;24
Nieuw- en Sint Joosland-G1117;0;0;3;203;100;236;53;2;84;0.0;2;0;0;0;0;0;1;0;0;80
Nieuw-Beijerland-G0566;0;0;10;348;115;45;78;4;296;0.0;0;0;0;0;0;0;0;0;0;144
Nieuwe Niedorp-G0428;0;0;249;497;19;4;187;67;0;1.0;1;3;0;0;0;0;0;0;0;103
Nieuwe Pekela-G0030;0;0;207;990;555;439;193;329;0;0.0;13;0;0;0;44;0;0;0;0;400
Nieuwe Tonge-G1119;0;0;8;417;205;28;64;3;316;1.0;4;0;0;0;0;0;0;0;0;159
Nieuwenhagen-G0948;0;0;2207;635;0;0;0;137;0;0.0;9;0;24;37;0;0;0;0;0;527
Nieuwenhoorn-G1121;0;0;8;586;47;59;267;16;5;1.0;2;0;0;0;0;0;0;0;0;91
