RegioNaam;@invalid;@blank;KVP;PvdA;ARP;CHU;VVD;Communistische Partij van Nederland;SGP;KNP;Gereformeerd Politiek Verbond (GPV);Socialistische Unie;Katholieke Democratische Lijst;Protestants-Christelijke Lijst;Middenstandspartij;Vrijzinnig-Democratische Bond (VDB);Katholieke Arbeiders Lijst;Bond van Wereldburgers;Lijst van Nunen;@abs
Brakel-G0212;0;0;10;306;44;297;28;0;269;1.0;0;0;0;0;0;0;0;0;0;224
Brandwijk-G0500;0;0;2;72;199;28;80;1;113;0.0;3;0;0;0;0;0;0;0;0;50
Breda-G0758;0;0;29609;10743;1011;1320;2395;308;163;1831.0;0;0;0;0;0;0;0;0;0;5248
Breskens-G0655;0;0;167;930;114;337;299;20;23;0.0;2;0;0;0;0;0;4;0;0;258
Breukelen-G0311;0;0;698;382;524;665;283;13;213;0.0;54;0;0;0;0;0;0;3;0;263
Brielle-G0501;0;0;169;957;216;307;355;32;14;9.0;3;0;0;0;0;0;0;0;0;216
Broek in Waterland-G0380;0;0;35;367;119;163;230;25;1;4.0;1;2;0;0;0;0;0;0;0;108
Broekhuizen-G0898;0;0;564;9;0;0;0;0;0;0.0;0;0;0;1;0;0;0;0;0;12
Brouwershaven-G0656;0;0;9;331;158;30;141;0;17;0.0;0;0;0;0;0;0;0;0;0;55
Bruinisse-G0657;0;0;15;326;148;211;208;0;254;0.0;0;0;0;0;0;0;0;0;0;273
Brummen-G0213;0;0;580;3286;505;1340;787;93;10;19.0;11;0;0;0;0;0;0;0;0;634
Brunssum-G0899;0;0;6593;2054;0;0;0;431;0;0.0;57;0;47;635;0;0;0;0;0;1130
Budel-G0759;0;0;2671;140;20;63;13;5;0;20.0;0;0;0;0;0;0;0;0;0;413
Bunde-G0900;0;0;948;71;0;0;0;3;0;0.0;2;0;3;3;0;0;0;0;0;87
Bunnik-G0312;0;0;704;183;175;202;42;1;37;0.0;5;0;0;0;0;0;0;1;0;92
Bunschoten-G0313;0;0;24;197;2140;72;11;6;41;0.0;1085;0;0;0;0;0;0;4;0;229
Buren-G0214;0;0;59;447;63;353;126;8;52;5.0;0;0;0;0;0;0;0;0;0;118
Burgh-G1035;0;0;7;156;50;90;95;0;14;0.0;0;0;0;0;0;0;0;0;0;36
Bussum-G0381;0;0;5048;5006;1998;1654;3603;785;146;673.0;110;24;0;0;0;0;0;0;0;2494
Buurmalsen-G0215;0;0;51;411;127;350;110;2;118;1.0;5;0;0;0;0;0;0;0;0;129
Cadier en Keer-G0901;0;0;609;17;0;0;0;1;0;0.0;0;0;2;3;0;0;0;0;0;54
Cadzand-G0658;0;0;18;279;22;118;102;4;7;0.0;1;0;0;0;0;0;0;0;0;72
Callantsoog-G0382;0;0;95;271;26;7;160;73;0;1.0;0;1;0;0;0;0;0;0;0;63
Capelle aan den IJssel-G0502;0;0;69;1561;414;856;318;52;811;18.0;132;9;0;0;0;0;0;0;0;562
Castricum-G0383;0;0;2639;1269;235;98;347;151;1;68.0;6;3;0;0;0;0;0;0;0;1017
Chaam-G0760;0;0;1069;38;6;49;4;1;2;16.0;0;0;0;0;0;0;0;0;0;94
Clinge-G0659;0;0;1279;169;4;29;16;3;0;0.0;1;0;0;0;0;0;53;0;0;196
Coevorden-G0109;0;0;1176;1389;662;619;566;26;0;0.0;14;0;0;0;0;0;0;0;0;474
Cothen-G0314;0;0;452;30;6;64;6;0;19;0.0;0;0;0;0;0;0;0;1;0;34
Cuijk en Sint Agatha-G0761;0;0;2695;116;13;21;27;0;0;30.0;0;0;0;0;0;0;0;0;0;240
Culemborg-G0216;0;0;2434;2220;247;368;693;198;141;60.0;22;0;0;0;0;0;0;0;0;436
Dalen-G0110;0;0;271;816;123;179;798;10;0;0.0;1;0;0;0;0;0;0;0;0;242
Dalfsen-G0148;0;0;1436;461;317;1943;188;3;38;0.0;294;0;0;0;0;0;0;0;0;292
Dantumadeel-G0065;0;0;73;1981;2535;1621;423;150;489;0.0;244;0;0;0;0;31;0;0;0;911
De Bilt-G0310;0;0;1816;2884;1722;1287;2187;111;278;0.0;69;0;0;0;0;0;0;53;0;1484
De Lier-G0552;0;0;305;145;718;680;129;3;34;1.0;22;2;0;0;0;0;0;0;0;73
De Rijp-G0440;0;0;387;256;12;4;83;60;8;1.0;0;0;0;0;0;0;0;0;0;61
De Wijk-G0135;0;0;8;715;419;306;616;17;0;0.0;22;0;0;0;0;0;0;0;0;187
Deil-G0217;0;0;225;436;50;361;121;4;45;2.0;3;0;0;0;0;0;0;0;0;152
Delft-G0503;0;0;9829;12751;3467;2562;2587;1726;1282;474.0;145;50;0;0;0;0;0;0;0;4500
Delfzijl-G0010;0;0;149;2419;864;632;936;787;0;0.0;61;0;0;0;102;0;0;0;0;1175
Den Bommel-G1024;0;0;240;189;206;141;53;6;138;4.0;2;0;0;0;0;0;0;0;0;102
