RegioNaam;@invalid;@blank;KVP;PvdA;VVD;D66;ARP;CHU;Combinatie van Christelijke Partijen;Progressief Akkoord;Communistische Partij van Nederland;SGP;Boeren Partij;Politieke Partij Radikalen (PPR);Pacifistisch-Socialistische Partij (PSP);PvdA/PPR;Gereformeerd Politiek Verbond (GPV);Protestants-Christelijke Groepering;Binding Rechts;FNP;Lijst Koekoek;Christen-Democraten Unie;Lijst Steur;Lijst Volleman;Lijst Leferink;Lijst Kooiker;Verenigde Protestantse Partij;@abs
Oploo, Sint Anthonis en Ledeacker-G0827;33;0;2305;0;57;70;0;0;0;0;5;0;27;0;18;125;0;31;6;0.0;0;0;0;0;0;0;0;833
Opmeer-G0432;18;0;1029;220;88;45;5;11;0;0;11;0;31;10;14;0;3;0;0;0.0;0;1;52;0;0;0;0;547
Opperdoes-G0433;4;0;3;51;33;10;334;93;0;0;14;65;28;3;4;0;7;0;0;0.0;0;3;4;0;0;0;0;30
Opsterland-G0086;184;0;0;0;996;563;0;0;2696;3875;808;123;265;0;0;0;413;0;105;344.0;0;0;0;0;0;48;0;3265
Oss-G0828;257;0;6881;0;1145;1660;0;0;0;0;193;0;319;0;171;2412;0;526;47;0.0;0;0;0;0;0;0;0;8992
Ossendrecht-G0829;33;0;903;0;117;88;0;0;0;0;13;0;13;0;20;204;6;39;7;0.0;23;0;0;0;0;0;0;1271
Oterleek-G0434;3;0;44;176;110;43;19;10;0;0;2;0;14;5;24;0;0;0;0;0.0;0;2;2;0;0;0;0;181
Ottersum-G0955;42;0;0;91;78;99;0;0;1054;0;14;0;65;31;22;0;0;0;4;0.0;0;0;0;0;0;0;0;873
Ottoland-G0582;1;0;1;34;26;4;142;54;0;0;0;57;22;0;1;0;3;0;1;0.0;0;0;0;0;0;0;0;73
Oud- en Nieuw-Gastel-G0831;65;0;1994;0;118;103;0;0;0;0;17;0;52;0;11;360;3;47;8;0.0;61;0;0;0;0;0;0;1803
Oud-Alblas-G0583;12;0;5;113;42;20;178;132;0;0;2;200;21;1;2;0;7;0;2;0.0;0;0;0;0;0;0;0;212
Oud-Beijerland-G0584;58;0;137;1305;545;221;884;487;0;0;39;706;54;28;38;0;40;0;0;0.0;0;0;0;0;0;0;0;1635
Oude Niedorp-G0436;9;0;542;70;59;31;11;5;0;0;15;0;8;10;12;0;0;0;0;0.0;0;0;7;0;0;0;0;245
Oude Pekela-G0038;85;0;165;1252;206;64;312;213;0;0;1729;0;42;91;48;0;26;0;10;0.0;0;0;0;0;0;0;0;964
Oudenbosch-G0830;43;0;1932;0;158;140;0;0;0;0;28;0;25;0;24;556;1;80;55;0.0;53;0;0;0;0;0;0;2098
Oudendijk-G0435;3;0;25;90;47;18;4;8;0;0;10;1;10;0;4;0;0;0;0;0.0;0;0;3;0;0;0;0;71
Oudenhoorn-G0586;15;0;4;205;89;28;22;51;0;0;8;12;24;5;10;0;0;0;0;0.0;0;0;0;0;0;0;0;272
Ouder-Amstel-G0437;27;0;1036;564;521;419;339;460;0;0;66;43;63;110;54;0;15;0;19;0.0;0;11;0;0;0;0;0;1391
Ouderkerk aan den IJssel-G0587;15;0;3;387;241;40;368;74;0;0;12;606;22;6;9;0;24;0;4;0.0;0;0;0;0;0;0;0;771
Oudewater-G0589;14;0;847;206;157;63;216;230;0;0;9;75;19;34;8;0;14;0;9;0.0;0;0;0;0;0;0;0;665
Oudorp-G0438;11;0;648;411;171;160;62;42;0;0;64;0;32;49;44;0;4;0;13;0.0;0;10;6;0;0;0;0;624
Oud-Vossemeer-G0696;18;0;287;157;120;12;113;175;0;0;0;129;10;4;0;0;0;0;0;0.0;0;4;0;0;0;0;0;301
Overasselt-G0271;12;0;1081;30;42;60;14;16;0;0;6;1;44;31;5;0;2;0;4;0.0;0;0;0;0;0;0;0;361
