RegioNaam;@invalid;@blank;KVP;PvdA;VVD;D66;ARP;CHU;Combinatie van Christelijke Partijen;Progressief Akkoord;Communistische Partij van Nederland;SGP;Boeren Partij;Politieke Partij Radikalen (PPR);Pacifistisch-Socialistische Partij (PSP);PvdA/PPR;Gereformeerd Politiek Verbond (GPV);Protestants-Christelijke Groepering;Binding Rechts;FNP;Lijst Koekoek;Christen-Democraten Unie;Lijst Steur;Lijst Volleman;Lijst Leferink;Lijst Kooiker;Verenigde Protestantse Partij;@abs
Someren-G0847;92;0;3902;0;148;183;0;0;0;0;21;0;46;0;20;203;5;76;14;0.0;66;0;0;0;0;0;0;2599
Son en Breugel-G0848;30;0;2126;0;816;463;0;0;0;0;12;7;21;0;48;385;6;274;8;0.0;45;0;0;0;0;0;0;1590
Spaubeek-G0970;28;0;0;43;73;68;0;0;852;0;9;0;16;38;27;0;0;0;7;0.0;0;0;0;0;0;0;0;596
Spijkenisse-G0612;100;0;495;3434;942;1765;1032;640;0;0;325;186;78;203;179;0;46;0;0;0.0;0;0;0;0;0;0;0;4466
Sprang-Capelle-G0849;49;0;121;0;188;73;0;0;0;0;17;348;150;0;7;345;18;1520;7;0.0;36;0;0;0;0;0;0;1347
Stad Delden-G0179;20;0;1269;0;444;176;106;121;0;479;18;4;37;0;0;0;3;0;12;0.0;0;0;0;0;3;0;0;722
Stadskanaal-G0037;203;0;1315;3760;914;515;2509;2643;0;0;1959;0;184;103;99;0;560;0;32;0.0;0;0;0;0;0;0;0;5026
Standdaarbuiten-G0850;11;0;842;0;32;22;0;0;0;0;4;0;1;0;3;42;0;26;39;0.0;10;0;0;0;0;0;0;330
Staphorst-G0180;25;0;21;0;379;78;741;662;0;476;13;1679;490;0;0;0;403;0;31;0.0;0;0;0;0;0;0;0;873
Stavenisse-G0714;7;0;6;181;46;7;37;89;0;0;0;299;19;1;0;0;0;0;0;0.0;0;0;0;0;0;0;0;295
Stavoren-G0092;2;0;0;0;24;12;0;0;260;84;3;8;0;0;0;0;4;0;7;22.0;0;0;0;0;0;0;0;175
Stedum-G0041;13;0;7;225;86;10;380;208;0;0;53;0;12;11;8;0;60;0;1;0.0;0;0;0;0;0;0;0;181
Steenbergen-G0851;103;0;2577;0;367;211;0;0;0;0;38;15;63;0;30;401;2;140;13;0.0;135;0;0;0;0;0;0;3587
Steenderen-G0280;25;0;952;274;148;40;235;356;0;0;1;14;36;22;7;0;1;0;14;0.0;0;0;0;0;0;0;0;390
Steenwijk-G0181;61;0;276;0;678;223;688;1006;0;2123;187;60;63;0;0;0;132;0;27;0.0;0;0;0;0;0;0;0;1915
Steenwijkerwold-G0182;36;0;494;0;281;99;233;894;0;1184;61;26;111;0;0;0;77;0;29;0.0;0;0;0;0;0;0;0;1263
Stein-G0971;104;0;0;286;132;268;0;0;3001;0;61;0;43;124;183;0;0;0;8;0.0;0;0;0;0;0;0;0;2432
Stevensweert-G0972;21;0;0;41;25;21;0;0;508;0;4;0;14;26;8;0;0;0;1;0.0;0;0;0;0;0;0;0;267
Stolwijk-G0615;17;0;24;545;430;132;249;85;0;0;13;334;83;13;21;0;8;0;6;0.0;0;0;0;0;0;0;0;549
Stramproy-G0973;17;0;0;50;38;61;0;0;1118;0;12;0;23;25;24;0;0;0;1;0.0;0;0;0;0;0;0;0;746
Streefkerk-G0616;20;0;6;206;105;19;193;123;0;0;6;197;26;1;5;0;2;0;2;0.0;0;0;0;0;0;0;0;261
Strijen-G0617;37;0;21;970;453;108;318;465;0;0;35;238;59;10;32;0;20;0;0;0.0;0;0;0;0;0;0;0;929
Susteren-G0974;116;0;0;202;87;157;0;0;1678;0;44;0;39;74;55;0;0;0;7;0.0;0;0;0;0;0;0;0;1521
Swalmen-G0975;124;0;0;214;135;141;0;0;1897;0;46;0;66;72;24;0;0;0;8;0.0;0;0;0;0;0;0;0;1893
't Zandt-G0054;12;0;8;436;219;30;371;120;0;0;75;0;25;3;6;0;24;0;11;0.0;0;0;0;0;0;0;0;326
Tegelen-G0976;196;0;0;579;374;311;0;0;4824;0;92;0;90;255;46;0;0;0;16;0.0;0;0;0;0;0;0;0;3440
Ten Boer-G0009;21;0;23;687;276;80;942;192;0;0;177;0;43;7;20;0;266;0;6;0.0;0;0;0;0;0;0;0;580
Ter Aar-G0480;23;0;1364;108;137;107;256;351;0;0;10;81;49;45;21;0;16;0;12;0.0;0;0;0;0;0;0;0;979
Terheijden-G0853;30;0;1473;0;107;187;0;0;0;0;20;5;212;0;29;248;7;42;15;0.0;41;0;0;0;0;0;0;1255
Termunten-G0042;43;0;10;812;204;47;500;172;0;0;419;0;9;14;19;0;34;0;3;0.0;0;0;0;0;0;0;0;867
Terneuzen-G0715;62;0;1129;2978;746;511;637;1003;0;0;91;642;159;569;0;0;208;0;0;0.0;0;29;0;38;0;0;0;4498
Terschelling-G0093;22;0;0;0;498;103;0;0;504;635;28;11;40;0;0;0;13;0;12;44.0;0;0;0;0;0;0;0;935
Teteringen-G0854;9;0;896;0;200;119;0;0;0;0;8;3;20;0;16;124;0;27;11;0.0;9;0;0;0;0;0;0;615
Texel-G0448;47;0;998;1467;815;309;522;439;0;0;61;22;93;37;95;0;22;0;29;0.0;0;3;13;0;0;0;0;1863
Tholen-G0716;14;0;105;267;205;75;240;316;0;0;0;566;33;18;0;0;0;0;0;0.0;0;6;0;0;0;0;0;545
Thorn-G0977;17;0;0;35;47;12;0;0;899;0;5;0;16;38;6;0;0;0;0;0.0;0;0;0;0;0;0;0;347
Tiel-G0281;75;0;1784;4341;989;424;303;630;0;0;123;32;189;134;78;0;68;0;35;0.0;0;0;0;0;0;0;0;3844
Tienhoven (ZH)-G0618;1;0;3;38;9;7;91;45;0;0;3;41;8;0;2;0;0;0;0;0.0;0;0;0;0;0;0;0;25
Tietjerksteradeel-G0094;147;0;0;0;806;334;0;0;5602;2769;183;175;131;0;0;0;233;0;44;670.0;0;0;0;0;0;43;0;2985
Tilburg-G0855;1302;0;27887;0;5122;5518;0;0;0;0;1457;79;768;0;1426;9133;136;998;245;0.0;901;0;0;0;0;0;0;37182
Tubbergen-G0183;41;0;5781;0;164;93;33;296;0;343;9;16;380;0;0;0;5;0;42;0.0;0;0;0;0;0;0;0;1518
Twisk-G0449;2;0;4;179;129;17;22;11;0;0;13;4;14;6;8;0;0;0;0;0.0;0;2;5;0;0;0;0;106
Ubach over Worms-G0978;148;0;0;441;142;719;0;0;1619;0;184;0;71;155;213;0;0;0;25;0.0;0;0;0;0;0;0;0;2379
Ubbergen-G0282;50;0;2424;208;322;200;53;71;0;0;26;4;59;130;55;0;3;0;4;0.0;0;0;0;0;0;0;0;1996
Uden-G0856;104;0;4894;0;699;713;0;0;0;0;52;0;148;0;56;653;0;304;31;0.0;0;0;0;0;0;0;0;4708
Udenhout-G0857;44;0;2027;0;117;133;0;0;0;0;8;1;24;0;19;121;0;13;5;0.0;30;0;0;0;0;0;0;1184
Uitgeest-G0450;25;0;921;481;331;236;57;51;0;0;241;0;44;380;65;0;7;0;12;0.0;0;24;1;0;0;0;0;1202
Uithoorn-G0451;44;0;2028;1185;1003;876;565;460;0;0;117;12;83;174;92;0;31;0;26;0.0;0;12;0;0;0;0;0;2479
Uithuizen-G0043;32;0;263;743;319;52;572;276;0;0;230;0;9;13;12;0;129;0;6;0.0;0;0;0;0;0;0;0;547
Uithuizermeeden-G0044;22;0;19;490;226;40;735;645;0;0;83;0;22;9;7;0;387;0;9;0.0;0;0;0;0;0;0;0;468
Ulestraten-G0979;29;0;0;107;86;86;0;0;704;0;14;0;14;58;24;0;0;0;6;0.0;0;0;0;0;0;0;0;494
Ulrum-G0045;18;0;18;366;163;36;757;131;0;0;73;0;16;5;23;0;330;0;3;0.0;0;0;0;0;0;0;0;394
Urk-G0184;22;0;4;0;18;5;1028;344;0;20;10;834;26;0;0;0;198;0;490;0.0;0;0;0;0;0;0;0;781
Urmond-G0980;50;0;0;117;74;62;0;0;1179;0;17;0;21;177;52;0;0;0;5;0.0;0;0;0;0;0;0;0;818
Ursem-G0452;7;0;583;77;58;33;9;9;0;0;23;2;39;38;7;0;1;0;0;0.0;0;0;12;0;0;0;0;295
Usquert-G0046;16;0;17;623;138;18;42;39;0;0;47;0;6;6;3;0;17;0;2;0.0;0;0;0;0;0;0;0;140
Utingeradeel-G0095;19;0;0;0;324;83;0;0;676;1229;49;47;20;0;0;0;7;0;7;150.0;0;0;0;0;0;0;0;622
Utrecht-G0344;801;0;22136;0;15067;11059;9068;7755;0;38073;3786;1431;1235;0;0;0;921;0;601;0.0;0;0;0;0;0;0;0;63014
Vaals-G0981;164;0;0;264;205;345;0;0;2717;0;212;0;47;73;56;0;0;0;23;0.0;0;0;0;0;0;0;0;1852
Valburg-G0283;17;0;1353;583;247;134;306;625;0;0;34;318;176;44;21;0;20;0;30;0.0;0;0;0;0;0;0;0;1551
Valkenburg (ZH)-G0619;13;0;76;124;171;49;214;317;0;0;10;82;22;7;7;0;52;0;6;0.0;0;0;0;0;0;0;0;430
Valkenburg-Houthem-G0982;106;0;0;392;520;420;0;0;2955;0;78;0;182;220;107;0;0;0;67;0.0;0;0;0;0;0;0;0;2578
Valkenisse-G0720;16;0;7;209;158;89;496;720;0;0;4;216;34;10;0;0;37;0;0;0.0;0;15;0;0;0;0;0;698
Valkenswaard-G0858;125;0;4526;0;566;929;0;0;0;0;115;11;80;0;136;1193;27;208;24;0.0;131;0;0;0;0;0;0;4992
Varik-G0284;3;0;114;220;24;10;25;98;0;0;0;20;44;2;2;0;4;0;1;0.0;0;0;0;0;0;0;0;195
Veen-G0859;7;0;3;0;13;6;0;0;0;0;0;147;7;0;3;72;4;230;0;0.0;6;0;0;0;0;0;0;323
Veendam-G0047;160;0;417;4645;1361;470;1220;1100;0;0;1761;0;123;69;97;0;115;0;24;0.0;0;0;0;0;0;0;0;3881
Veenendaal-G0345;90;0;487;0;874;637;2282;3310;0;2776;104;2272;217;0;0;0;156;0;139;0.0;0;0;0;0;0;0;0;4416
Veere-G0717;14;0;9;144;130;67;875;386;0;0;14;203;26;21;0;0;103;0;0;0.0;0;12;0;0;0;0;0;370
Veghel-G0860;92;0;4872;0;401;471;0;0;0;0;43;0;61;0;53;556;12;109;17;0.0;100;0;0;0;0;0;0;3356
Veldhoven-G0861;120;0;5489;0;793;1019;0;0;0;0;93;14;60;0;99;982;23;519;27;0.0;90;0;0;0;0;0;0;5025
Velsen-G0453;243;0;4808;7863;3729;3061;2629;1958;0;0;1769;218;420;757;717;0;229;0;0;0.0;0;91;43;0;0;0;0;12939
Venhuizen-G0454;20;0;921;284;212;64;16;23;0;0;23;0;36;31;31;0;2;0;0;0.0;0;0;26;0;0;0;0;565
Venlo-G0983;471;0;0;2066;2311;1284;0;0;13800;0;342;0;324;778;212;0;0;0;65;0.0;0;0;0;0;0;0;0;14671
Venray-G0984;186;0;0;647;348;325;0;0;6983;0;53;0;126;146;68;0;0;0;8;0.0;0;0;0;0;0;0;0;5650
Vessem, Wintelre en Knegsel-G0862;9;0;1211;0;134;93;0;0;0;0;1;1;12;0;22;63;2;20;1;0.0;3;0;0;0;0;0;0;488
Vianen-G0620;38;0;562;878;368;211;300;622;0;0;41;155;35;45;46;0;21;0;5;0.0;0;0;0;0;0;0;0;1304
Vierlingsbeek-G0863;45;0;2161;0;54;81;0;0;0;0;10;0;66;0;20;135;0;27;3;0.0;0;0;0;0;0;0;0;940
Vierpolders-G0621;3;0;32;237;143;82;47;53;0;0;24;10;25;8;9;0;2;0;0;0.0;0;0;0;0;0;0;0;317
Vinkeveen en Waverveen-G0346;20;0;1120;0;364;200;265;392;0;211;28;132;100;0;0;0;19;0;23;0.0;0;0;0;0;0;0;0;1257
Vlaardingen-G0622;199;0;2627;11250;3186;3284;3936;3975;0;0;1085;1315;207;540;865;0;360;0;134;0.0;0;0;0;0;0;0;0;15679
Vlagtwedde-G0048;134;0;1068;1929;624;179;735;1199;0;0;1137;0;302;66;94;0;79;0;65;0.0;0;0;0;0;0;0;0;2896
Vledder-G0132;8;0;80;0;244;61;133;142;0;656;43;0;46;0;0;0;11;0;8;0.0;0;0;0;0;0;0;0;409
Vleuten-De Meern-G0347;38;0;2163;0;1003;558;420;661;0;795;29;102;96;0;0;0;74;0;21;0.0;0;0;0;0;0;0;0;2172
Vlieland-G0096;17;0;0;0;88;38;0;0;80;189;10;0;10;0;0;0;0;0;2;18.0;0;0;0;0;0;0;0;169
Vlijmen-G0864;80;0;2662;0;210;334;0;0;0;0;28;3;63;0;36;353;5;127;10;0.0;217;0;0;0;0;0;0;2770
Vlissingen-G0718;164;0;1258;6612;1658;1418;2004;2144;0;0;377;528;352;456;0;0;127;0;0;0.0;0;40;0;0;0;0;0;8305
Vlist-G0623;0;0;68;20;32;1;70;18;0;0;0;55;5;0;1;0;2;0;4;0.0;0;0;0;0;0;0;0;60
Vlodrop-G0985;31;0;0;42;34;27;0;0;509;0;1;0;13;18;4;0;0;0;1;0.0;0;0;0;0;0;0;0;415
Voerendaal-G0986;78;0;0;178;223;208;0;0;1942;0;52;0;26;188;70;0;0;0;17;0.0;0;0;0;0;0;0;0;1436
Vogelwaarde-G0719;14;0;625;51;42;20;11;30;0;0;8;5;73;398;0;0;3;0;0;0.0;0;1;0;231;0;0;0;559
Vollenhove-G0185;21;0;146;0;115;57;491;605;0;462;11;62;67;0;0;0;431;0;19;0.0;0;0;0;0;0;0;0;587
Voorburg-G0624;154;0;3966;3662;5556;2286;2142;1481;0;0;180;189;149;616;303;0;251;0;217;0.0;0;0;0;0;0;0;0;8478
Voorhout-G0625;31;0;1276;145;382;191;110;134;0;0;20;6;34;240;24;0;7;0;9;0.0;0;0;0;0;0;0;0;849
Voorschoten-G0626;84;0;1769;1266;2394;938;1026;777;0;0;78;132;85;216;132;0;68;0;88;0.0;0;0;0;0;0;0;0;3113
Voorst-G0285;78;0;2741;2560;1488;392;323;1313;0;0;137;157;346;61;77;0;25;0;255;0.0;0;0;0;0;0;0;0;2542
Vorden-G0286;41;0;484;781;460;102;427;713;0;0;16;12;84;36;13;0;6;0;319;0.0;0;0;0;0;0;0;0;817
Vreeswijk-G0348;16;0;573;0;138;149;238;283;0;441;9;90;23;0;0;0;6;0;10;0.0;0;0;0;0;0;0;0;1021
Vries-G0133;47;0;40;0;1047;184;303;107;0;1537;152;0;177;0;0;0;75;0;77;0.0;0;0;0;0;0;0;0;1078
Vriezenveen-G0186;44;0;402;0;214;101;563;3106;0;1137;54;571;246;0;0;0;61;0;66;0.0;0;0;0;0;0;0;0;1947
Vught-G0865;84;0;4723;0;1034;608;0;0;0;0;57;0;47;0;109;829;26;280;26;0.0;116;0;0;0;0;0;0;5034
Vuren-G0287;2;0;16;448;86;59;250;238;0;0;8;36;12;6;12;0;9;0;9;0.0;0;0;0;0;0;0;0;359
Waalre-G0866;52;0;2080;0;906;485;0;0;0;0;36;4;39;0;65;470;8;185;21;0.0;70;0;0;0;0;0;0;1967
Waalwijk-G0867;133;0;4172;0;830;626;0;0;0;0;99;48;97;0;66;1116;25;893;34;0.0;92;0;0;0;0;0;0;5025
Waardenburg-G0288;13;0;11;283;44;20;50;229;0;0;1;249;34;5;1;0;1;0;3;0.0;0;0;0;0;0;0;0;288
Waddinxveen-G0627;66;0;787;1494;1016;822;1143;799;0;0;71;962;67;97;60;0;76;0;49;0.0;0;0;0;0;0;0;0;2429
Wageningen-G0289;119;0;1508;3511;1926;1090;1060;1502;0;0;217;396;152;364;524;0;79;0;48;0.0;0;0;0;0;0;0;12;3934
Wamel-G0290;70;0;2759;174;66;52;13;120;0;0;11;7;91;53;5;0;3;0;5;0.0;0;0;0;0;0;0;0;1421
Wanneperveen-G0187;8;0;6;0;62;25;117;384;0;216;2;7;37;0;0;0;14;0;8;0.0;0;0;0;0;0;0;0;221
Wanroij-G0868;17;0;1525;0;29;33;0;0;0;0;3;0;20;0;7;62;0;8;3;0.0;0;0;0;0;0;0;0;386
Warder-G0455;3;0;28;90;76;30;5;12;0;0;19;3;22;5;5;0;3;0;0;0.0;0;1;3;0;0;0;0;106
Warffum-G0049;6;0;11;482;158;35;356;63;0;0;51;0;9;1;13;0;39;0;4;0.0;0;0;0;0;0;0;0;258
Warmenhuizen-G0456;11;0;669;103;102;33;63;11;0;0;20;0;69;20;19;0;2;0;3;0.0;0;1;4;0;0;0;0;445
Warmond-G0628;13;0;851;212;281;158;62;116;0;0;31;23;24;81;38;0;3;0;14;0.0;0;0;0;0;0;0;0;677
Warnsveld-G0291;32;0;365;774;682;142;335;599;0;0;22;7;51;22;31;0;18;0;44;0.0;0;0;0;0;0;0;0;1208
Waspik-G0869;21;0;986;0;31;52;0;0;0;0;10;12;16;0;7;95;0;195;5;0.0;21;0;0;0;0;0;0;773
Wassenaar-G0629;96;0;3024;1346;4542;914;792;1039;0;0;74;112;106;189;101;0;35;0;107;0.0;0;0;0;0;0;0;0;4284
Wateringen-G0630;23;0;2162;219;342;285;233;307;0;0;26;16;48;134;51;0;15;0;296;0.0;0;0;0;0;0;0;0;2075
Waterlandkerkje-G0722;2;0;50;36;63;4;3;10;0;0;1;12;11;21;0;0;0;0;0;0.0;0;1;0;0;0;0;0;47
Weerselo-G0188;21;0;3583;0;67;62;16;55;0;94;11;2;226;0;0;0;1;0;9;0.0;0;0;0;0;0;0;0;670
Weert-G0988;274;0;0;654;565;566;0;0;9459;0;127;0;199;209;441;0;0;0;32;0.0;0;0;0;0;0;0;0;6671
Weesp-G0457;74;0;964;1930;903;927;623;815;0;0;223;64;135;327;182;0;53;0;30;0.0;0;60;0;0;0;0;0;3197
Wehl-G0292;28;0;1367;136;55;75;19;64;0;0;19;3;112;40;10;0;2;0;167;0.0;0;0;0;0;0;0;0;923
Werkendam-G0870;42;0;51;0;175;81;0;0;0;0;21;492;11;0;26;1097;62;2058;7;0.0;21;0;0;0;0;0;0;2568
Wervershoof-G0459;11;0;1507;64;50;44;9;6;0;0;8;0;99;44;8;0;0;0;0;0.0;0;2;15;0;0;0;0;633
Wessem-G0989;22;0;0;31;41;28;0;0;537;0;5;0;15;14;2;0;0;0;2;0.0;0;0;0;0;0;0;0;487
Westdongeradeel-G0097;32;0;0;0;205;60;0;0;2156;678;71;50;25;0;0;0;89;0;10;116.0;0;0;0;0;0;9;0;597
Westdorpe-G0724;20;0;258;116;70;16;8;25;0;0;12;3;13;412;0;0;4;0;0;0.0;0;2;0;26;0;0;0;525
Westerbork-G0134;31;0;9;0;683;108;568;227;0;1476;37;0;92;0;0;0;48;0;16;0.0;0;0;0;0;0;0;0;638
Westerhoven-G0871;1;0;482;0;16;36;0;0;0;0;4;0;1;0;3;41;1;2;0;0.0;5;0;0;0;0;0;0;196
Westerschouwen-G0725;24;0;28;649;530;122;275;438;0;0;0;99;28;15;0;0;5;0;0;0.0;0;8;0;0;0;0;0;663
Westervoort-G0293;18;0;879;285;97;107;107;99;0;0;19;7;29;58;15;0;7;0;15;0.0;0;0;0;0;0;0;0;730
Westkapelle-G0726;6;0;11;450;126;28;118;271;0;0;3;194;28;3;0;0;14;0;0;0.0;0;4;0;0;0;0;0;362
Westmaas-G0631;5;0;6;155;118;46;193;101;0;0;5;36;10;12;3;0;3;0;0;0.0;0;0;0;0;0;0;0;193
Weststellingwerf-G0098;132;0;0;0;1216;472;0;0;3049;3948;663;27;341;0;0;0;60;0;63;126.0;0;0;0;0;0;22;0;3551
Westwoud-G0460;2;0;370;76;68;29;6;6;0;0;13;3;14;12;7;0;2;0;0;0.0;0;0;16;0;0;0;0;216
Westzaan-G0461;29;0;89;527;238;204;203;95;0;0;337;31;31;36;118;0;6;0;0;0.0;0;1;6;0;0;0;0;770
Wierden-G0189;45;0;2403;0;384;181;1408;1977;0;782;37;684;244;0;0;0;44;0;71;0.0;0;0;0;0;0;0;0;1605
Wieringen-G0462;43;0;214;1281;603;200;230;205;0;0;315;3;93;18;105;0;9;0;10;0.0;0;4;20;0;0;0;0;1372
Wieringermeer-G0463;36;0;832;880;583;213;933;439;0;0;79;25;51;42;51;0;35;0;7;0.0;0;4;4;0;0;0;0;1160
Wieringerwaard-G0464;9;0;26;331;198;34;23;22;0;0;18;4;9;3;16;0;1;0;1;0.0;0;1;5;0;0;0;0;231
Wijchen-G0296;63;0;3702;358;296;450;89;50;0;0;43;6;220;157;62;0;7;0;9;0.0;0;0;0;0;0;0;0;3354
Wijdenes-G0469;8;0;76;167;101;35;6;8;0;0;22;1;11;1;16;0;0;0;0;0.0;0;1;6;0;0;0;0;193
Wijdewormer-G0470;5;0;159;133;79;65;21;26;0;0;27;4;31;5;24;0;0;0;0;0.0;0;0;2;0;0;0;0;180
Wijhe-G0190;19;0;859;0;241;71;233;646;0;779;13;48;140;0;0;0;11;0;15;0.0;0;0;0;0;0;0;0;551
Wijk bij Duurstede-G0352;19;0;825;0;180;83;75;211;0;415;25;25;59;0;0;0;8;0;16;0.0;0;0;0;0;0;0;0;1049
Wijk en Aalburg-G0876;20;0;3;0;85;21;0;0;0;0;6;409;13;0;9;182;5;520;3;0.0;24;0;0;0;0;0;0;823
Wijlre-G0991;19;0;0;53;41;44;0;0;857;0;15;0;16;53;33;0;0;0;201;0.0;0;0;0;0;0;0;0;531
Wijnandsrade-G0992;9;0;0;34;23;18;0;0;274;0;4;0;18;178;8;0;0;0;5;0.0;0;0;0;0;0;0;0;210
Wijngaarden-G0634;7;0;0;6;10;5;97;7;0;0;1;89;18;0;2;0;1;0;1;0.0;0;0;0;0;0;0;0;51
Willemstad-G0872;10;0;96;0;64;31;0;0;0;0;4;22;0;0;0;257;1;516;3;0.0;12;0;0;0;0;0;0;371
Willeskop-G0349;5;0;235;0;19;13;25;50;0;29;0;29;17;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;123
Wilnis-G0350;11;0;483;0;138;92;396;249;0;71;24;97;49;0;0;0;21;0;12;0.0;0;0;0;0;0;0;0;594
Winkel-G0465;8;0;64;537;197;95;27;22;0;0;66;4;28;7;57;0;3;0;2;0.0;0;2;10;0;0;0;0;360
Winschoten-G0052;118;0;217;3215;1260;261;1031;652;0;0;2400;0;49;72;83;0;115;0;21;0.0;0;0;0;0;0;0;0;2495
Winsum-G0053;18;0;29;530;270;66;850;111;0;0;33;0;15;15;15;0;85;0;15;0.0;0;0;0;0;0;0;0;318
Winterswijk-G0294;183;0;1629;4942;2274;661;1151;845;0;0;99;16;257;86;90;0;46;0;403;0.0;0;0;0;0;0;0;0;3503
Wisch-G0295;128;0;2210;1366;902;358;732;1195;0;0;34;5;298;130;36;0;21;0;49;0.0;0;0;0;0;0;0;0;3109
Wissenkerke-G0727;17;0;10;242;143;37;500;474;0;0;8;141;26;4;0;0;15;0;0;0.0;0;7;0;0;0;0;0;403
Wittem-G0990;77;0;0;154;90;111;0;0;1996;0;38;0;21;82;33;0;0;0;52;0.0;0;0;0;0;0;0;0;1133
Woensdrecht-G0873;60;0;1403;0;242;213;0;0;0;0;18;6;38;0;18;378;2;119;17;0.0;104;0;0;0;0;0;0;2126
Woerden-G0632;45;0;1768;1108;956;401;1064;1365;0;0;36;415;77;106;43;0;52;0;35;0.0;0;0;0;0;0;0;0;3071
Wognum-G0466;6;0;774;120;104;66;14;6;0;0;23;1;23;28;9;0;0;0;0;0.0;0;0;54;0;0;0;0;465
Wonseradeel-G0099;52;0;0;0;329;137;0;0;3170;1291;128;40;64;0;0;0;65;0;64;240.0;0;0;0;0;0;0;0;1343
Workum-G0100;16;0;0;0;59;20;0;0;1357;273;24;14;15;0;0;0;8;0;13;203.0;0;0;0;0;0;0;0;483
Wormer-G0467;31;0;928;1141;352;397;356;110;0;0;578;32;33;186;209;0;54;0;0;0.0;0;7;7;0;0;0;0;1364
Wormerveer-G0468;83;0;804;1905;728;567;570;160;0;0;1110;33;37;169;575;0;40;0;0;0.0;0;15;9;0;0;0;0;2243
Woubrugge-G0633;7;0;449;120;155;75;205;270;0;0;12;61;32;14;19;0;5;0;7;0.0;0;0;0;0;0;0;0;615
Woudenberg-G0351;19;0;158;0;478;232;307;1046;0;615;15;344;77;0;0;0;40;0;70;0.0;0;0;0;0;0;0;0;984
Woudrichem-G0874;14;0;27;0;61;38;0;0;0;0;19;47;7;0;9;444;7;404;4;0.0;1;0;0;0;0;0;0;521
Wouw-G0875;63;0;1627;0;159;133;0;0;0;0;16;1;42;0;18;234;3;32;14;0.0;86;0;0;0;0;0;0;1728
Wymbritseradeel-G0101;20;0;0;0;140;87;0;0;3789;439;27;13;35;0;0;0;27;0;39;463.0;0;0;0;0;0;0;0;1082
Zaamslag-G0731;8;0;19;226;81;30;348;427;0;0;4;157;34;9;0;0;190;0;0;0.0;0;3;0;3;0;0;0;487
Zaandam-G0471;330;0;2591;8269;2645;3045;2528;1130;0;0;4770;267;213;1391;1134;0;177;0;0;0.0;0;58;25;0;0;0;0;11178
Zaandijk-G0472;29;0;213;817;369;323;236;77;0;0;403;12;17;56;188;0;16;0;0;0.0;0;13;4;0;0;0;0;1003
Zaltbommel-G0297;20;0;442;1370;373;162;238;314;0;0;19;111;44;26;26;0;23;0;18;0.0;0;0;0;0;0;0;0;1154
Zandvoort-G0473;69;0;726;1881;1978;742;310;535;0;0;228;15;92;51;120;0;16;0;48;0.0;0;24;8;0;0;0;0;3398
Zeeland-G0877;29;0;1443;0;43;57;0;0;0;0;3;0;22;0;13;119;0;11;2;0.0;0;0;0;0;0;0;0;752
Zegveld-G0354;2;0;116;0;31;25;176;202;0;31;3;79;18;0;0;0;5;0;8;0.0;0;0;0;0;0;0;0;178
Zeist-G0355;291;0;2684;0;5550;1769;3161;2884;0;5598;269;1095;307;0;0;0;306;0;224;0.0;0;0;0;0;0;0;0;11348
Zelhem-G0298;52;0;441;1163;471;208;671;1064;0;0;19;85;361;19;19;0;15;0;50;0.0;0;0;0;0;0;0;0;1648
Zevenaar-G0299;119;0;3803;771;571;856;234;310;0;0;41;19;206;187;69;0;25;0;54;0.0;0;0;0;0;0;0;0;3147
Zevenbergen-G0878;78;0;2348;0;285;152;0;0;0;0;26;13;50;0;18;322;54;541;12;0.0;74;0;0;0;0;0;0;2175
Zevenhoven-G0635;2;0;337;59;50;26;87;85;0;0;4;16;34;12;2;0;7;0;7;0.0;0;0;0;0;0;0;0;224
Zevenhuizen-G0636;9;0;50;686;267;62;160;408;0;0;14;200;46;6;14;0;6;0;10;0.0;0;0;0;0;0;0;0;663
Zierikzee-G0732;28;0;362;1210;561;199;728;405;0;0;0;181;29;39;0;0;26;0;0;0.0;0;18;0;0;0;0;0;1096
Zijpe-G0476;34;0;886;918;599;266;61;37;0;0;68;10;75;25;35;0;5;0;6;0.0;0;3;19;0;0;0;0;1207
Zoelen-G0300;27;0;44;974;262;77;73;287;0;0;12;106;119;10;17;0;7;0;13;0.0;0;0;0;0;0;0;0;650
Zoetermeer-G0637;36;0;1402;1237;980;659;750;630;0;0;62;625;56;169;46;0;59;0;38;0.0;0;0;0;0;0;0;0;2538
Zoeterwoude-G0638;11;0;1471;138;198;144;107;187;0;0;18;27;31;82;17;0;5;0;8;0.0;0;0;0;0;0;0;0;1006
Zuid- en Noord-Schermer-G0474;3;0;84;157;101;39;31;18;0;0;18;18;29;3;10;0;0;0;0;0.0;0;1;7;0;0;0;0;117
Zuid-Beijerland-G0639;15;0;2;325;127;27;201;251;0;0;15;200;30;4;9;0;3;0;0;0.0;0;0;0;0;0;0;0;457
Zuiddorpe-G0734;6;0;14;160;145;12;15;37;0;0;4;1;10;15;0;0;0;0;0;0.0;0;4;0;0;0;0;0;101
Zuidhorn-G0056;26;0;47;577;346;105;546;190;0;0;59;0;31;8;21;0;458;0;7;0.0;0;0;0;0;0;0;0;451
Zuidland-G0640;15;0;14;219;145;64;689;168;0;0;12;40;20;14;6;0;7;0;0;0.0;0;0;0;0;0;0;0;497
