RegioNaam;@invalid;@blank;CDA;VVD;PvdA;D66;SGP;Communistische Partij van Nederland;Pacifistisch-Socialistische Partij (PSP);Politieke Partij Radikalen (PPR);PSP/CPN/PPR;PvdA/PPR;RPF/GPV;PSP/CPN;RFP;Gereformeerd Politiek Verbond (GPV);SP;RPF/SGP;PPR/PSP;Fryske Nasjonale Partij;SGP-GPV-RPF;Verontruste Provinciale Statengroep;Evangelische Volkspartij;RVP;Federoalistische Partij Gronneger Bond;GOD MET ONS;Lijst Heezen;Lijst Mormon;@abs
Herwen en Aerdt-G0249;13;13;1803;498;847;292;4;0;0;67;0;0;0;64;4;1;17;0.0;0;0;0;0;0;0;0;0;0;0;2062
Herwijnen-G0250;6;2;561;183;443;52;60;0;0;11;0;0;0;36;64;3;1;0.0;0;0;0;0;0;0;0;0;0;0;206
Het Bildt-G0063;18;10;1886;828;1457;221;0;102;0;0;0;0;0;0;0;34;0;71.0;203;113;0;0;44;0;0;0;0;0;1086
Heteren-G0251;11;4;1928;754;555;306;188;0;0;95;0;0;0;96;47;20;15;0.0;0;0;0;0;0;0;0;0;0;0;1617
Heukelum-G0533;6;4;375;334;453;164;53;0;0;0;37;0;42;0;0;0;3;0.0;0;0;0;0;0;0;0;0;0;0;407
Heumen-G0252;0;2;3051;1206;642;514;22;0;0;187;0;0;0;176;4;12;44;0.0;0;0;0;0;0;0;0;0;0;0;2135
Heusden-G0797;23;0;1021;446;324;201;0;53;51;51;0;0;0;0;0;0;16;0.0;0;0;109;0;0;0;0;0;0;0;1375
Heythuysen-G0920;9;30;1812;474;222;149;0;14;46;49;0;0;0;0;0;0;7;10.0;0;0;0;0;0;0;0;0;0;0;1178
Hillegom-G0534;38;45;3772;2653;1376;786;82;0;0;0;587;0;81;0;0;0;20;0.0;0;0;0;0;0;0;0;0;0;0;3885
Hilvarenbeek-G0798;24;18;2283;823;597;331;0;47;82;141;0;0;0;0;0;0;16;0.0;0;0;13;0;0;0;0;0;0;0;1686
Hilversum-G0402;283;75;11980;14523;9874;4288;0;1252;1894;988;0;0;0;0;0;298;298;1406.0;0;0;0;0;0;92;0;0;0;0;21568
Hindeloopen-G0077;1;1;157;61;175;20;0;11;0;0;0;0;0;0;0;1;0;17.0;25;19;0;0;2;0;0;0;0;0;98
Hoevelaken-G0253;13;5;1219;1193;540;332;317;0;0;109;0;0;0;52;102;73;6;0.0;0;0;0;0;0;0;0;0;0;0;1021
Hoeven-G0799;13;25;1619;669;444;209;0;19;39;37;0;0;0;0;0;0;3;0.0;0;0;27;0;0;0;0;0;0;0;2135
Holten-G0165;28;17;2123;1427;1035;448;28;0;0;45;0;0;0;41;45;16;7;0.0;0;0;0;0;0;0;0;0;0;0;912
Hontenisse-G0675;19;24;2842;564;422;148;14;0;0;89;0;0;22;78;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;1459
Hoogblokland-G0535;1;4;214;221;199;49;55;0;0;0;16;0;43;0;0;0;6;0.0;0;0;0;0;0;0;0;0;0;0;151
Hooge en Lage Mierde-G0801;5;2;1289;210;99;91;0;10;33;25;0;0;0;0;0;0;8;0.0;0;0;2;0;0;0;0;0;0;0;712
Hooge en Lage Zwaluwe-G0802;17;5;1287;617;603;229;0;33;21;41;0;0;0;0;0;0;7;0.0;0;0;52;0;0;0;0;0;0;0;1303
Hoogeloon, Hapert en Casteren-G0800;17;21;2283;574;328;234;0;14;41;55;0;0;0;0;0;0;7;0.0;0;0;8;0;0;0;0;0;0;0;1587
Hoogeveen-G0118;66;55;9386;3012;4919;1683;0;682;0;0;0;0;0;0;1300;705;45;0.0;710;0;0;0;0;0;0;0;0;0;7530
Hoogezand-Sappemeer-G0018;45;88;2576;2918;5691;1285;0;1156;547;390;0;0;0;0;200;427;114;0.0;0;0;0;164;0;0;276;0;0;0;8728
Hoorn-G0405;108;54;4970;4990;4993;2303;0;1082;999;590;0;0;0;0;0;42;80;175.0;0;0;0;0;0;63;0;0;0;0;9717
Hoornaar-G0536;2;3;243;248;169;56;27;0;0;0;32;0;46;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;177
Horn-G0922;8;7;979;398;199;139;0;4;28;25;0;0;0;0;0;0;2;1.0;0;0;0;0;0;0;0;14;0;0;1072
Horssen-G0254;2;2;478;97;59;57;3;0;0;15;0;0;0;4;0;0;6;0.0;0;0;0;0;0;0;0;0;0;0;228
Horst-G0923;38;24;5340;1123;828;325;0;40;133;84;0;0;0;0;0;0;66;10.0;0;0;0;0;0;0;0;0;0;0;3982
