RegioNaam;@invalid;@blank;CDA;VVD;PvdA;D66;SGP;Communistische Partij van Nederland;Pacifistisch-Socialistische Partij (PSP);Politieke Partij Radikalen (PPR);PSP/CPN/PPR;PvdA/PPR;RPF/GPV;PSP/CPN;RFP;Gereformeerd Politiek Verbond (GPV);SP;RPF/SGP;PPR/PSP;Fryske Nasjonale Partij;SGP-GPV-RPF;Verontruste Provinciale Statengroep;Evangelische Volkspartij;RVP;Federoalistische Partij Gronneger Bond;GOD MET ONS;Lijst Heezen;Lijst Mormon;@abs
Meerlo-Wanssum-G0993;13;14;2125;549;264;207;0;11;53;123;0;0;0;0;0;0;13;5.0;0;0;0;0;0;0;0;0;0;0;1388
Meerssen-G0938;47;43;4187;2106;1302;829;0;85;257;217;0;0;0;0;0;0;45;19.0;0;0;0;0;0;0;0;65;0;0;5427
Megen, Haren en Macharen-G0813;7;3;927;168;160;88;0;11;23;19;0;0;0;0;0;0;46;0.0;0;0;4;0;0;0;0;0;0;0;578
Meijel-G0941;6;8;1590;242;176;103;0;7;26;30;0;0;0;0;0;0;6;4.0;0;0;0;0;0;0;0;0;0;0;1469
Melick en Herkenbosch-G0939;18;23;1682;913;443;263;0;20;59;59;0;0;0;0;0;0;13;4.0;0;0;0;0;0;0;0;16;0;0;1367
Menaldumadeel-G0083;32;12;2512;1258;2344;416;0;49;0;0;0;0;0;0;0;32;0;107.0;205;547;0;0;62;0;0;0;0;0;1436
Meppel-G0119;37;23;3165;2716;3708;1093;0;180;0;0;0;0;0;0;240;309;47;0.0;556;0;0;0;0;0;0;0;0;0;4048
Middelburg-G0687;68;28;5048;3807;4016;1497;1692;0;0;1037;0;0;884;786;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;8019
Middelharnis-G0559;0;16;1482;1265;1909;477;1737;0;0;0;371;0;436;0;0;0;12;0.0;0;0;0;0;0;0;0;0;0;0;3122
Middelstum-G0027;11;3;722;179;349;91;0;30;33;31;0;0;0;0;100;116;0;0.0;0;0;0;10;0;0;14;0;0;0;348
Middenschouwen-G0688;2;2;409;340;237;78;146;0;0;22;0;0;109;17;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;390
Midwolda-G0028;11;22;882;181;679;94;0;236;41;46;0;0;0;0;160;17;2;0.0;0;0;0;23;0;0;19;0;0;0;551
Mierlo-G0814;14;8;2279;1098;535;412;0;41;61;77;0;0;0;0;0;0;23;0.0;0;0;11;0;0;0;0;0;0;0;1925
Mijdrecht-G0336;12;13;2802;2078;0;540;131;62;130;0;0;808;197;0;0;0;9;0.0;0;0;0;0;0;0;0;0;0;0;2241
Mijnsheerenland-G0564;11;3;566;871;362;192;87;0;0;0;53;0;45;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;648
Mill en Sint Hubert-G0815;13;33;3349;613;615;308;0;12;121;82;0;0;0;0;0;0;34;0.0;0;0;5;0;0;0;0;0;0;0;1921
Millingen aan de Rijn-G0265;11;22;1003;238;625;219;2;0;0;65;0;0;0;56;3;1;5;0.0;0;0;0;0;0;0;0;0;0;0;1311
Moergestel-G0816;15;9;1631;546;298;128;0;22;49;57;0;0;0;0;0;0;14;0.0;0;0;2;0;0;0;0;0;0;0;923
Moerkapelle-G0560;4;1;292;282;219;105;474;0;0;0;27;0;88;0;0;0;5;0.0;0;0;0;0;0;0;0;0;0;0;338
Molenaarsgraaf-G0561;0;3;178;83;71;28;116;0;0;0;11;0;36;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;108
Monnickendam-G0423;17;15;1155;1346;1103;599;0;223;153;159;0;0;0;0;0;12;15;50.0;0;0;0;0;0;14;0;0;0;0;1702
Monster-G0562;30;34;4131;2494;980;541;575;0;0;0;243;0;322;0;0;0;18;0.0;0;0;0;0;0;0;0;0;0;0;4092
Montfoort-G0335;6;6;1330;831;0;283;155;28;58;0;0;381;58;0;0;0;9;0.0;0;0;0;0;0;0;0;0;0;0;962
Montfort-G0943;18;22;782;223;168;78;0;11;18;11;0;0;0;0;0;0;11;8.0;0;0;0;0;0;0;0;9;0;0;801
Mook en Middelaar-G0944;10;4;1305;948;452;303;0;23;121;99;0;0;0;0;0;0;27;19.0;0;0;0;0;0;0;0;0;0;0;1120
Moordrecht-G0563;22;7;695;698;728;364;225;0;0;0;159;0;73;0;0;0;11;0.0;0;0;0;0;0;0;0;0;0;0;1324
Muiden-G0424;21;8;1028;1078;767;621;0;48;121;71;0;0;0;0;0;6;1;60.0;0;0;0;0;0;5;0;0;0;0;1164
Muntendam-G0029;9;8;228;232;1254;193;0;336;38;22;0;0;0;0;68;19;28;0.0;0;0;0;33;0;0;42;0;0;0;976
Naaldwijk-G0565;101;0;6097;3823;1265;681;182;0;0;0;304;0;279;0;0;0;22;0.0;0;0;0;0;0;0;0;0;0;0;4925
Naarden-G0425;0;4;1998;4200;1176;1026;0;162;362;173;0;0;0;0;0;42;15;201.0;0;0;0;0;0;10;0;0;0;0;2918
Nederhorst den Berg-G0426;18;0;810;846;454;173;0;49;46;58;0;0;0;0;0;15;2;33.0;0;0;0;0;0;2;0;0;0;0;869
Nederweert-G0946;44;63;4677;749;915;260;0;12;66;85;0;0;0;0;0;0;115;9.0;0;0;0;0;0;0;0;0;0;0;3231
Neede-G0266;13;16;2154;1200;1977;543;11;0;0;85;0;0;0;142;58;77;23;0.0;0;0;0;0;0;0;0;0;0;0;1508
Neer-G0947;9;5;1112;191;145;99;0;14;38;38;0;0;0;0;0;0;7;2.0;0;0;0;0;0;0;0;0;0;0;866
Neerijnen-G0304;9;21;1405;1045;1492;371;683;0;0;54;0;0;0;107;89;30;9;0.0;0;0;0;0;0;0;0;0;0;0;1758
Niedorp-G0412;36;7;1265;874;1023;410;0;132;206;71;0;0;0;0;0;4;6;7.0;0;0;0;0;0;11;0;0;0;0;1340
Nieuw-Beijerland-G0566;5;2;235;423;306;106;355;0;0;0;47;0;56;0;0;0;6;0.0;0;0;0;0;0;0;0;0;0;0;517
Nieuwe Pekela-G0030;13;11;803;406;879;123;0;259;57;35;0;0;0;0;139;21;23;0.0;0;0;0;28;0;0;47;0;0;0;971
Nieuwegein-G0356;0;18;6127;5169;0;2665;386;431;729;0;0;4681;369;0;0;0;273;0.0;0;0;0;0;0;0;0;0;0;0;10801
Nieuwerkerk aan den IJssel-G0567;40;3;1619;2135;1521;741;532;0;0;0;276;0;335;0;0;0;14;0.0;0;0;0;0;0;0;0;0;0;0;2979
Nieuweschans-G0031;4;7;77;99;398;30;0;380;23;12;0;0;0;0;0;3;0;0.0;0;0;0;125;0;0;5;0;0;0;246
Nieuw-Ginneken-G0817;32;18;2814;1619;646;462;0;21;77;100;0;0;0;0;0;0;2;0.0;0;0;18;0;0;0;0;0;0;0;1801
Nieuwkoop-G0569;0;16;1693;1269;628;374;124;0;0;0;240;0;102;0;0;0;13;0.0;0;0;0;0;0;0;0;0;0;0;1893
Nieuwland-G0570;0;0;142;76;64;13;90;0;0;0;11;0;61;0;0;0;1;0.0;0;0;0;0;0;0;0;0;0;0;85
Nieuw-Lekkerland-G0571;11;10;772;376;1001;278;1103;0;0;0;123;0;209;0;0;0;2;0.0;0;0;0;0;0;0;0;0;0;0;1266
Nieuwleusen-G0170;26;7;1993;645;537;275;152;0;0;44;0;0;0;27;108;194;4;0.0;0;0;0;0;0;0;0;0;0;0;1181
Nieuwolda-G0032;4;0;233;172;374;37;0;48;37;14;0;0;0;0;9;11;2;0.0;0;0;0;3;0;0;16;0;0;0;214
Nieuwpoort-G0572;4;0;169;104;104;29;102;0;0;0;15;0;78;0;0;0;1;0.0;0;0;0;0;0;0;0;0;0;0;171
Nieuwveen-G0573;10;4;686;316;136;92;44;0;0;0;57;0;14;0;0;0;7;0.0;0;0;0;0;0;0;0;0;0;0;823
Nieuw-Vossemeer-G0818;4;0;515;177;282;119;0;15;29;20;0;0;0;0;0;0;4;0.0;0;0;7;0;0;0;0;0;0;0;468
Nigtevecht-G0337;6;0;246;206;0;64;3;10;13;0;0;147;10;0;0;0;2;0.0;0;0;0;0;0;0;0;0;0;0;235
Nijeveen-G0121;4;3;755;350;314;130;0;5;0;0;0;0;0;0;27;15;3;0.0;29;0;0;0;0;0;0;0;0;0;275
Nijkerk-G0267;24;23;5027;2233;1582;773;1060;0;0;249;0;0;0;121;761;185;8;0.0;0;0;0;0;0;0;0;0;0;0;3961
Nijmegen-G0268;285;222;21938;10992;14368;5649;97;0;0;3272;0;0;0;7804;154;150;2278;0.0;0;0;0;0;0;0;0;0;40;0;42726
Nistelrode-G0819;5;15;2075;275;312;215;0;16;65;49;0;0;0;0;0;0;55;0.0;0;0;6;0;0;0;0;0;0;0;1350
Noordeloos-G0574;0;3;265;178;100;47;146;0;0;0;17;0;119;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;155
Noorder-Koggenland-G0529;16;20;1017;1471;1069;473;0;91;198;98;0;0;0;0;0;24;9;189.0;0;0;0;0;0;28;0;0;0;0;1643
Noordoostpolder-G0171;86;38;8312;4085;3319;1755;378;0;0;372;0;0;0;560;790;492;23;0.0;0;0;0;0;0;0;0;0;0;0;5530
Noordwijk-G0575;41;114;4056;3610;1518;816;128;0;0;0;997;0;185;0;0;0;29;0.0;0;0;0;0;0;0;0;0;0;0;5480
Noordwijkerhout-G0576;36;27;3129;2242;661;645;16;0;0;0;487;0;37;0;0;0;18;0.0;0;0;0;0;0;0;0;0;0;0;2773
Nootdorp-G0577;20;12;1445;917;293;333;32;0;0;0;110;0;42;0;0;0;8;0.0;0;0;0;0;0;0;0;0;0;0;1069
Norg-G0120;5;10;580;1313;955;324;0;34;0;0;0;0;0;0;33;43;4;0.0;228;0;0;0;0;0;0;0;0;0;980
Nuenen, Gerwen en Nederwetten-G0820;35;39;3863;2165;1038;921;0;48;160;254;0;0;0;0;0;0;24;0.0;0;0;56;0;0;0;0;0;0;0;2889
Nuland-G0821;9;9;1410;162;126;86;0;9;22;18;0;0;0;0;0;0;47;0.0;0;0;2;0;0;0;0;0;0;0;811
Numansdorp-G0578;13;22;884;916;1448;335;268;0;0;0;131;0;58;0;0;0;13;0.0;0;0;0;0;0;0;0;0;0;0;1312
Nunspeet-G0302;43;11;3429;2466;936;612;2751;0;0;183;0;0;0;93;1921;56;19;0.0;0;0;0;0;0;0;0;0;0;0;2822
Nuth-G0951;44;63;4136;1257;1020;475;0;83;210;723;0;0;0;0;0;0;40;27.0;0;0;0;0;0;0;0;69;0;0;4126
Obdam-G0429;33;2;1389;642;337;244;0;52;85;74;0;0;0;0;0;3;2;9.0;0;0;0;0;0;15;0;0;0;0;872
Odoorn-G0122;38;39;1283;1549;2957;435;0;215;0;0;0;0;0;0;150;95;18;0.0;174;0;0;0;0;0;0;0;0;0;2133
Oeffelt-G0822;2;12;669;142;138;119;0;2;31;15;0;0;0;0;0;0;2;0.0;0;0;3;0;0;0;0;0;0;0;404
Oegstgeest-G0579;59;34;2362;3500;1102;956;62;0;0;0;500;0;214;0;0;0;17;0.0;0;0;0;0;0;0;0;0;0;0;2413
Ohé en Laak-G0953;1;5;335;56;26;25;0;0;13;8;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;3;0;0;170
Oirschot-G0823;39;61;3260;805;561;350;0;17;109;76;0;0;0;0;0;0;19;0.0;0;0;15;0;0;0;0;0;0;0;2236
Oisterwijk-G0824;27;25;3433;2253;1466;717;0;120;161;152;0;0;0;0;0;0;35;0.0;0;0;40;0;0;0;0;0;0;0;3152
Oldebroek-G0269;32;22;2803;1108;1307;474;1940;0;0;80;0;0;0;53;2011;137;19;0.0;0;0;0;0;0;0;0;0;0;0;3433
Oldehove-G0035;2;4;494;260;237;51;0;11;35;38;0;0;0;0;50;214;1;0.0;0;0;0;20;0;0;8;0;0;0;222
Oldekerk-G0036;6;5;637;272;207;50;0;17;15;13;0;0;0;0;33;57;0;0.0;0;0;0;11;0;0;14;0;0;0;238
Oldenzaal-G0173;73;28;7672;2520;2223;1414;23;0;0;220;0;0;0;376;36;51;83;0.0;0;0;0;0;0;0;0;0;0;0;4595
Olst-G0174;21;10;1838;1166;1545;452;28;0;0;80;0;0;0;98;22;3;3;0.0;0;0;0;0;0;0;0;0;0;0;1139
Ommen-G0175;55;22;5441;1582;956;551;76;0;0;143;0;0;0;87;202;933;6;0.0;0;0;0;0;0;0;0;0;0;0;1764
Onderbanken-G0881;34;60;2135;379;577;181;0;73;67;168;0;0;0;0;0;0;49;12.0;0;0;0;0;0;0;0;70;0;0;2106
Oost-, West- en Middelbeers-G0825;17;2;1469;310;161;120;0;7;26;43;0;0;0;0;0;0;10;0.0;0;0;2;0;0;0;0;0;0;0;920
Oostburg-G0692;42;40;2863;2859;2619;466;165;0;0;351;0;0;145;178;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;3899
Oostdongeradeel-G0084;5;2;2602;327;323;67;0;15;0;0;0;0;0;0;0;30;0;146.0;43;180;0;0;44;0;0;0;0;0;610
Oosterbroek-G0033;18;14;331;473;1093;169;0;197;101;26;0;0;0;0;15;69;6;0.0;0;0;0;36;0;0;66;0;0;0;1173
Oosterhesselen-G0123;13;4;730;651;827;183;0;58;0;0;0;0;0;0;111;77;3;0.0;85;0;0;0;0;0;0;0;0;0;631
Oosterhout-G0826;135;65;7889;4489;3685;1945;0;243;514;472;0;0;0;0;0;0;95;0.0;0;0;96;0;0;0;0;0;0;0;11825
Oostflakkee-G0580;8;12;1449;766;1439;343;641;0;0;0;117;0;197;0;0;0;4;0.0;0;0;0;0;0;0;0;0;0;0;1761
Ooststellingwerf-G0085;53;39;3315;2237;4581;951;0;356;0;0;0;0;0;0;0;272;0;241.0;639;177;0;0;108;0;0;0;0;0;4027
Oostzaan-G0431;11;6;445;868;1032;346;0;479;219;59;0;0;0;0;0;9;8;120.0;0;0;0;0;0;3;0;0;0;0;1373
Ootmarsum-G0176;12;6;1686;413;155;165;5;0;0;18;0;0;0;23;5;3;3;0.0;0;0;0;0;0;0;0;0;0;0;402
Oploo, Sint Anthonis en Ledeacker-G0827;7;17;2820;338;244;173;0;14;207;83;0;0;0;0;0;0;7;0.0;0;0;2;0;0;0;0;0;0;0;981
Opmeer-G0432;19;24;2195;1243;694;430;0;77;125;88;0;0;0;0;0;8;5;20.0;0;0;0;0;0;15;0;0;0;0;1691
Opsterland-G0086;61;26;3316;2149;5117;876;0;608;0;0;0;0;0;0;0;683;0;393.0;666;693;0;0;121;0;0;0;0;0;3659
Oss-G0828;103;76;8197;3865;3251;1786;0;138;624;407;0;0;0;0;0;0;1833;0.0;0;0;68;0;0;0;0;0;0;0;12740
Ossendrecht-G0829;9;7;917;445;409;128;0;15;27;22;0;0;0;0;0;0;5;0.0;0;0;8;0;0;0;0;0;0;0;1498
Ottoland-G0582;4;0;236;79;39;21;86;0;0;0;10;0;49;0;0;0;1;0.0;0;0;0;0;0;0;0;0;0;0;82
Oud- en Nieuw-Gastel-G0831;29;27;2509;1039;883;416;0;53;94;90;0;0;0;0;0;0;15;0.0;0;0;25;0;0;0;0;0;0;0;3083
Oud-Alblas-G0583;4;1;378;188;132;55;238;0;0;0;21;0;49;0;0;0;1;0.0;0;0;0;0;0;0;0;0;0;0;277
Oud-Beijerland-G0584;23;29;1812;1978;1808;682;1097;0;0;0;333;0;273;0;0;0;26;0.0;0;0;0;0;0;0;0;0;0;0;3144
Oude Pekela-G0038;32;4;603;369;1927;158;0;1216;72;44;0;0;0;0;63;21;10;0.0;0;0;0;69;0;0;20;0;0;0;1444
Oudenbosch-G0830;22;10;1862;518;526;244;0;50;61;46;0;0;0;0;0;0;5;0.0;0;0;8;0;0;0;0;0;0;0;2312
Ouder-Amstel-G0437;27;19;1956;2093;1066;619;0;153;184;148;0;0;0;0;0;18;5;126.0;0;0;0;0;0;5;0;0;0;0;2082
Ouderkerk aan den IJssel-G0587;11;3;540;693;522;216;670;0;0;0;74;0;151;0;0;0;6;0.0;0;0;0;0;0;0;0;0;0;0;933
Oudewater-G0589;10;13;1700;862;0;286;167;14;63;0;0;474;110;0;0;0;7;0.0;0;0;0;0;0;0;0;0;0;0;1147
Pannerden-G0272;9;2;565;85;105;171;1;0;0;90;0;0;0;23;3;0;0;0.0;0;0;0;0;0;0;0;0;0;0;533
Papendrecht-G0590;16;53;2749;2796;2723;1243;740;0;0;0;632;0;578;0;0;0;58;0.0;0;0;0;0;0;0;0;0;0;0;5754
Peize-G0124;13;9;220;813;967;269;0;51;0;0;0;0;0;0;23;11;2;0.0;110;0;0;0;0;0;0;0;0;0;947
Piershil-G0591;2;8;112;181;196;48;122;0;0;0;18;0;11;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;293
Pijnacker-G0594;39;8;3537;2465;999;830;313;0;0;0;336;0;176;0;0;0;12;0.0;0;0;0;0;0;0;0;0;0;0;2323
Polsbroek-G0338;10;1;259;146;0;10;119;0;10;0;0;39;24;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;153
Poortugal-G0592;81;42;1872;1734;3930;1083;270;0;0;0;893;0;218;0;0;0;61;0.0;0;0;0;0;0;0;0;0;0;0;6323
Posterholt-G0956;10;21;1085;242;311;104;0;17;46;36;0;0;0;0;0;0;6;2.0;0;0;0;0;0;0;0;4;0;0;1018
Prinsenbeek-G0832;27;21;2413;1501;533;366;0;23;62;73;0;0;0;0;0;0;14;0.0;0;0;24;0;0;0;0;0;0;0;1836
Purmerend-G0439;84;29;2999;5080;4781;2073;0;1437;827;562;0;0;0;0;0;25;37;137.0;0;0;0;0;0;37;0;0;0;0;8647
Putte-G0833;13;10;543;358;260;111;0;24;15;11;0;0;0;0;0;0;4;0.0;0;0;7;0;0;0;0;0;0;0;949
Putten-G0273;26;24;3897;2072;1007;454;1682;0;0;156;0;0;0;111;777;98;9;0.0;0;0;0;0;0;0;0;0;0;0;2860
Puttershoek-G0593;14;6;674;628;924;269;257;0;0;0;96;0;45;0;0;0;6;0.0;0;0;0;0;0;0;0;0;0;0;1095
Raalte-G0177;47;41;8975;1574;1339;959;7;0;0;183;0;0;0;197;45;25;10;0.0;0;0;0;0;0;0;0;0;0;0;3572
Raamsdonk-G0834;15;36;2371;1163;1060;447;0;69;98;196;0;0;0;0;0;0;17;0.0;0;0;78;0;0;0;0;0;0;0;2991
Rauwerderhem-G0087;4;0;390;320;434;123;0;22;0;0;0;0;0;0;0;1;0;19.0;61;261;0;0;5;0;0;0;0;0;368
Ravenstein-G0835;10;16;2241;454;652;274;0;20;87;57;0;0;0;0;0;0;65;0.0;0;0;16;0;0;0;0;0;0;0;1405
Reeuwijk-G0595;26;11;1408;1577;563;496;233;0;0;0;185;0;165;0;0;0;11;0.0;0;0;0;0;0;0;0;0;0;0;1481
Reimerswaal-G0703;29;11;2361;1683;1587;577;2774;0;0;112;0;0;316;148;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;3684
Renkum-G0274;83;36;6359;5830;3529;1663;276;0;0;763;0;0;0;586;271;102;135;0.0;0;0;0;0;0;0;0;0;0;0;6133
Renswoude-G0339;1;0;704;371;0;122;180;3;33;0;0;136;95;0;0;0;10;0.0;0;0;0;0;0;0;0;0;0;0;504
Reusel-G0836;21;8;2013;395;283;216;0;13;47;43;0;0;0;0;0;0;12;0.0;0;0;9;0;0;0;0;0;0;0;1917
Rheden-G0275;148;54;7845;6880;7457;2652;122;0;0;736;0;0;0;899;326;154;136;0.0;0;0;0;0;0;0;0;0;0;0;8697
Rhenen-G0340;17;20;2272;2011;0;658;1418;50;158;0;0;1788;319;0;0;0;19;0.0;0;0;0;0;0;0;0;0;0;0;3333
Rhoon-G0596;14;14;1283;1425;585;366;78;0;0;0;107;0;80;0;0;0;7;0.0;0;0;0;0;0;0;0;0;0;0;1257
Ridderkerk-G0597;86;51;5345;4373;6609;2149;2659;0;0;0;1030;0;916;0;0;0;63;0.0;0;0;0;0;0;0;0;0;0;0;9877
Riethoven-G0837;3;3;716;293;58;70;0;2;17;15;0;0;0;0;0;0;0;0.0;0;0;2;0;0;0;0;0;0;0;303
Rijnsaterwoude-G0601;2;5;210;184;78;54;43;0;0;0;25;0;30;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;205
Rijnsburg-G0602;53;13;3269;1132;448;251;186;0;0;0;98;0;702;0;0;0;3;0.0;0;0;0;0;0;0;0;0;0;0;1533
Rijsbergen-G0841;13;11;1436;445;273;145;0;10;28;22;0;0;0;0;0;0;2;0.0;0;0;22;0;0;0;0;0;0;0;1411
Rijssen-G0178;65;25;3292;873;1265;392;4797;0;0;68;0;0;0;71;1081;75;11;0.0;0;0;0;0;0;0;0;0;0;0;2061
Rijswijk-G0603;110;96;7380;10283;5156;2984;276;0;0;0;1570;0;460;0;0;0;86;0.0;0;0;0;0;0;0;0;0;0;0;11220
Roden-G0125;38;12;1855;2379;2848;987;0;177;0;0;0;0;0;0;179;171;21;0.0;477;0;0;0;0;0;0;0;0;0;2617
Roermond-G0957;95;110;5771;3795;2614;1248;0;148;599;403;0;0;0;0;0;0;56;78.0;0;0;0;0;0;0;0;128;0;0;11732
Roggel-G0958;12;13;1383;305;163;105;0;9;65;42;0;0;0;0;0;0;6;2.0;0;0;0;0;0;0;0;0;0;0;902
Rolde-G0126;7;14;380;1412;1036;318;0;19;0;0;0;0;0;0;13;26;10;0.0;190;0;0;0;0;0;0;0;0;0;858
Roosendaal en Nispen-G0838;134;82;10755;5357;3821;1997;0;293;328;425;0;0;0;0;0;0;185;0.0;0;0;159;0;0;0;0;0;0;0;16246
Rosmalen-G0839;49;47;4426;2707;1475;920;0;100;257;266;0;0;0;0;0;0;171;0.0;0;0;44;0;0;0;0;0;0;0;5789
Rossum-G0276;5;7;648;332;367;104;16;0;0;36;0;0;0;39;3;4;8;0.0;0;0;0;0;0;0;0;0;0;0;509
Rotterdam-G0599;959;759;43434;43321;95377;19048;5008;0;0;0;22491;0;4765;0;0;0;1745;0.0;0;0;0;0;0;0;0;0;0;0;179509
Rozenburg-G0600;28;7;1460;1290;1530;786;77;0;0;0;367;0;214;0;0;0;32;0.0;0;0;0;0;0;0;0;0;0;0;3485
Rozendaal-G0277;2;1;224;463;78;103;3;0;0;40;0;0;0;10;11;2;4;0.0;0;0;0;0;0;0;0;0;0;0;121
Rucphen-G0840;42;42;4799;915;1325;361;0;81;68;45;0;0;0;0;0;0;9;0.0;0;0;22;0;0;0;0;0;0;0;7058
Ruinen-G0127;9;9;808;1418;1103;308;0;31;0;0;0;0;0;0;43;24;1;0.0;79;0;0;0;0;0;0;0;0;0;1018
Ruinerwold-G0128;0;5;583;765;455;183;0;5;0;0;0;0;0;0;32;36;0;0.0;38;0;0;0;0;0;0;0;0;0;377
Ruurlo-G0278;12;13;1301;1291;810;339;1;0;0;47;0;0;0;56;14;4;8;0.0;0;0;0;0;0;0;0;0;0;0;1252
Sas van Gent-G0704;20;31;1500;829;907;240;45;0;0;99;0;0;35;132;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;2304
Sassenheim-G0604;39;11;3030;1989;707;494;66;0;0;0;274;0;78;0;0;0;23;0.0;0;0;0;0;0;0;0;0;0;0;2337
Schagen-G0441;14;38;1639;2585;1746;856;0;213;339;178;0;0;0;0;0;12;18;70.0;0;0;0;0;0;22;0;0;0;0;3261
Schaijk-G0843;12;17;2147;489;334;230;0;10;81;45;0;0;0;0;0;0;67;0.0;0;0;7;0;0;0;0;0;0;0;1514
Scheemda-G0039;31;11;1009;519;1677;228;0;515;65;67;0;0;0;0;112;57;14;0.0;0;0;0;63;0;0;51;0;0;0;1171
Schelluinen-G0605;5;1;113;185;136;82;48;0;0;0;7;0;32;0;0;0;1;0.0;0;0;0;0;0;0;0;0;0;0;133
Schermer-G0458;22;4;739;619;464;227;0;61;86;34;0;0;0;0;0;2;3;21.0;0;0;0;0;0;12;0;0;0;0;618
Scherpenzeel-G0279;11;5;1363;991;628;249;491;0;0;53;0;0;0;31;335;15;9;0.0;0;0;0;0;0;0;0;0;0;0;941
Schiedam-G0606;136;120;8189;6012;12371;2853;443;0;0;0;3199;0;628;0;0;0;211;0.0;0;0;0;0;0;0;0;0;0;0;19900
Schiermonnikoog-G0088;1;2;151;143;135;46;0;7;0;0;0;0;0;0;0;6;0;2.0;20;7;0;0;30;0;0;0;0;0;108
Schijndel-G0844;20;45;4109;1211;1351;605;0;53;156;166;0;0;0;0;0;0;342;0.0;0;0;13;0;0;0;0;0;0;0;5533
Schinnen-G0962;36;48;3756;929;938;346;0;56;152;187;0;0;0;0;0;0;38;17.0;0;0;0;0;0;0;0;54;0;0;3003
Schipluiden-G0607;28;0;2367;1030;267;257;55;0;0;0;134;0;68;0;0;0;1;0.0;0;0;0;0;0;0;0;0;0;0;1046
Schoonebeek-G0129;9;2;2206;372;803;263;0;46;0;0;0;0;0;0;37;13;3;0.0;70;0;0;0;0;0;0;0;0;0;1519
Schoonhoven-G0608;48;8;1572;1242;1024;546;342;0;0;0;359;0;138;0;0;0;17;0.0;0;0;0;0;0;0;0;0;0;0;1949
Schoonrewoerd-G0609;1;4;310;116;82;44;193;0;0;0;7;0;41;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;171
Schoorl-G0444;23;5;951;1199;691;380;0;78;146;81;0;0;0;0;0;3;12;13.0;0;0;0;0;0;11;0;0;0;0;1088
Sevenum-G0964;11;4;2461;428;273;142;0;4;52;29;0;0;0;0;0;0;50;5.0;0;0;0;0;0;0;0;0;0;0;1132
's-Graveland-G0390;20;16;1500;1485;692;443;0;74;177;111;0;0;0;0;0;36;7;119.0;0;0;0;0;0;9;0;0;0;0;1833
's-Gravendeel-G0517;22;5;1216;779;1268;283;339;0;0;0;117;0;100;0;0;0;6;0.0;0;0;0;0;0;0;0;0;0;0;1403
's-Gravenhage-G0518;904;584;46430;62068;49953;18059;2944;0;0;0;16678;0;3066;0;0;0;1365;0.0;0;0;0;0;0;0;0;0;0;0;138524
's-Gravenmoer-G0787;4;2;578;197;95;58;0;3;8;13;0;0;0;0;0;0;3;0.0;0;0;110;0;0;0;0;0;0;0;323
's-Gravenzande-G0519;10;26;3378;2624;1149;535;414;0;0;0;166;0;273;0;0;0;13;0.0;0;0;0;0;0;0;0;0;0;0;3068
's-Hertogenbosch-G0796;107;156;12980;7236;7844;3450;0;941;1522;1162;0;0;0;0;0;0;600;0.0;0;0;303;0;0;0;0;0;0;0;27661
Simpelveld-G0965;18;62;3619;764;728;289;0;84;114;89;0;0;0;0;0;0;31;;0;0;0;0;0;0;0;56;0;0;2678
Sint Maarten-G0445;9;0;346;257;207;126;0;32;62;16;0;0;0;0;0;2;1;11.0;0;0;0;0;0;5;0;0;0;0;344
Sint Odiliënberg-G0967;17;12;909;377;183;118;0;3;36;26;0;0;0;0;0;0;5;3.0;0;0;0;0;0;0;0;12;0;0;755
Sint Pancras-G0446;26;0;814;672;436;237;0;81;92;84;0;0;0;0;0;8;8;61.0;0;0;0;0;0;8;0;0;0;0;798
Sint Philipsland-G0712;5;3;271;166;176;70;639;0;0;8;0;0;41;11;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;231
Sint-Michielsgestel-G0845;3;34;2706;1081;874;513;0;61;104;111;0;0;0;0;0;0;59;0.0;0;0;28;0;0;0;0;0;0;0;2616
Sint-Oedenrode-G0846;39;25;4882;1161;960;597;0;47;141;191;0;0;0;0;0;0;63;0.0;0;0;16;0;0;0;0;0;0;0;2883
Sittard-G0968;98;140;8358;2881;3174;1101;0;199;516;891;0;0;0;0;0;0;89;37.0;0;0;0;0;0;0;0;118;0;0;13969
Sleen-G0130;15;17;982;1132;2082;326;0;229;0;0;0;0;0;0;101;10;9;0.0;122;0;0;0;0;0;0;0;0;0;1165
