RegioNaam;@invalid;@blank;CDA;PvdA;VVD;D66;SGP;Politieke Partij Radikalen (PPR);Pacifistisch-Socialistische Partij (PSP);Gereformeerd Politiek Verbond (GPV);Reformatorische Politieke Federatie (RPF);Communistische Partij van Nederland;CP;SP;Evangelische Volkspartij;Federatie Groenen;Partij voor de Middengroepen;Loesje;Centrumdemocraten;VCN: partij van communisten in Nederland;Partij voor Ambtenaren en Trendvolgers;Anti Revolutionairen '85;Socialistische Arbeiderspartij;God Met Ons;Partij Algemeen Belang;Partij Geluk voor Iedereen;Lijst Wissink;Humanistische Partij;Lijst Brummer;@abs
Rijsbergen-G0841;24;;1914;773;564;154;3.0;24.0;15.0;3.0;6.0;2.0;6.0;3.0;6.0;7.0;2.0;6.0;;;;;;0.0;;;0.0;;;593.0
Rijssen-G0178;37;;4979;2197;816;270;4824.0;46.0;23.0;90.0;1023.0;10.0;26.0;6.0;41.0;2.0;5.0;7.0;13.0;;;11.0;;;;;0.0;;;918.0
Rijswijk-G0603;91;;10733;8324;9480;3026;208.0;411.0;325.0;204.0;164.0;119.0;208.0;61.0;60.0;60.0;72.0;49.0;118.0;1.0;;16.0;9.0;;8.0;;;;;5217.0
Roden-G0125;32;;2633;4947;2461;862;12.0;166.0;112.0;201.0;86.0;29.0;;12.0;64.0;12.0;14.0;12.0;14.0;;;1.0;3.0;;1.0;;;;;1147.0
Roermond-G0957;297;;8495;7522;3423;1057;13.0;203.0;263.0;29.0;47.0;54.0;86.0;15.0;27.0;40.0;30.0;24.0;;4.0;61.0;4.0;4.0;30.0;4.0;;1.0;;;6111.0
Roggel-G0958;14;;1698;516;330;102;1.0;38.0;9.0;1.0;;8.0;5.0;4.0;3.0;2.0;3.0;1.0;;;2.0;;;6.0;1.0;;0.0;;;396.0
Rolde-G0126;11;;546;1595;1517;236;3.0;71.0;53.0;25.0;6.0;10.0;;3.0;6.0;5.0;6.0;2.0;7.0;1.0;;;1.0;;;;;;;440.0
Roosendaal en Nispen-G0838;133;;14454;10334;6246;2044;24.0;299.0;267.0;29.0;105.0;61.0;189.0;69.0;62.0;47.0;47.0;56.0;48.0;3.0;;2.0;13.0;7.0;11.0;18.0;8.0;;;7756.0
Rosmalen-G0839;60;;6773;4224;2815;955;7.0;192.0;119.0;25.0;17.0;29.0;22.0;219.0;21.0;29.0;28.0;18.0;8.0;2.0;;3.0;7.0;3.0;5.0;;2.0;;;2489.0
Rossum-G0276;12;;782;667;342;102;10.0;10.0;26.0;3.0;3.0;5.0;2.0;;2.0;8.0;1.0;2.0;3.0;;;;;0.0;;1.0;0.0;;;186.0
Rotterdam-G0599;1533;;64668;163709;45556;22584;4528.0;3580.0;4408.0;2151.0;2159.0;3096.0;5075.0;1454.0;807.0;750.0;879.0;628.0;1375.0;320.0;626.0;156.0;300.0;;136.0;;;;;94618.0
Rozenburg-G0600;20;;2477;3015;1455;761;77.0;64.0;52.0;155.0;56.0;45.0;39.0;22.0;25.0;14.0;47.0;23.0;10.0;3.0;;8.0;2.0;;3.0;;;;;1521.0
Rozendaal-G0277;1;;311;125;424;87;2.0;30.0;8.0;3.0;8.0;1.0;2.0;2.0;1.0;9.0;3.0;;3.0;;;;;;;;0.0;0.0;;33.0
Rucphen-G0840;57;;4581;6072;1401;377;6.0;46.0;29.0;4.0;14.0;15.0;41.0;2.0;6.0;10.0;24.0;12.0;13.0;2.0;;;1.0;1.0;2.0;1.0;2.0;;;3187.0
Ruinen-G0127;10;;1169;1703;1478;239;4.0;42.0;18.0;21.0;38.0;5.0;;5.0;9.0;6.0;11.0;8.0;6.0;1.0;;3.0;1.0;;;;;;;267.0
Ruinerwold-G0128;5;;720;652;758;126;4.0;21.0;9.0;37.0;19.0;1.0;;;;2.0;4.0;4.0;1.0;;;1.0;1.0;;2.0;;;;;205.0
Ruurlo-G0278;25;;1758;1509;1425;180;5.0;28.0;24.0;9.0;13.0;5.0;3.0;4.0;4.0;2.0;3.0;9.0;1.0;2.0;;1.0;4.0;2.0;1.0;;0.0;;;619.0
Sas van Gent-G0704;22;;1874;1801;931;254;24.0;47.0;32.0;19.0;13.0;9.0;6.0;5.0;3.0;14.0;20.0;5.0;4.0;2.0;;;2.0;;1.0;;;;;1120.0
Sassenheim-G0604;30;;4353;1577;2204;598;58.0;95.0;75.0;26.0;34.0;22.0;14.0;20.0;25.0;11.0;14.0;14.0;9.0;;9.0;5.0;4.0;;;;;;;867.0
Schagen-G0441;26;;2739;3075;2763;921;9.0;123.0;148.0;21.0;43.0;73.0;38.0;5.0;22.0;29.0;23.0;21.0;9.0;6.0;;3.0;2.0;;5.0;;;;;1592.0
Schaijk-G0843;23;;2707;1091;538;192;;37.0;40.0;6.0;;13.0;7.0;44.0;6.0;4.0;3.0;3.0;;;;;1.0;3.0;1.0;;0.0;;;548.0
Scheemda-G0039;30;;1211;2897;552;227;14.0;34.0;38.0;47.0;66.0;121.0;6.0;11.0;24.0;4.0;5.0;2.0;6.0;12.0;;2.0;;;1.0;1.0;;;;451.0
Schermer-G0458;6;;1065;754;636;162;8.0;27.0;46.0;6.0;5.0;17.0;3.0;1.0;2.0;3.0;12.0;6.0;1.0;2.0;;1.0;;;1.0;;;;;1046.0
Scherpenzeel-G0279;6;;2134;937;1039;178;567.0;30.0;12.0;37.0;178.0;8.0;11.0;1.0;19.0;7.0;3.0;3.0;6.0;;;6.0;2.0;;;1.0;1.0;0.0;;425.0
Schiedam-G0606;141;;11045;20117;5682;3172;346.0;448.0;488.0;165.0;352.0;411.0;351.0;195.0;65.0;64.0;127.0;67.0;114.0;30.0;;14.0;17.0;;19.0;;;;;9220.0
Schiermonnikoog-G0088;3;;245;267;222;66;;23.0;17.0;11.0;3.0;9.0;1.0;7.0;7.0;2.0;;2.0;;;;;;;;;;;;
Schijndel-G0844;35;;6139;4017;1305;484;6.0;111.0;87.0;5.0;8.0;21.0;4.0;522.0;9.0;8.0;21.0;14.0;6.0;1.0;;4.0;12.0;10.0;4.0;;3.0;;;2327.0
Schinnen-G0962;32;;4433;2671;1054;387;1.0;113.0;55.0;7.0;10.0;17.0;16.0;8.0;2.0;34.0;2.0;10.0;;2.0;41.0;2.0;;12.0;2.0;;1.0;;;939.0
Schipluiden-G0607;17;;3362;527;944;248;43.0;51.0;35.0;30.0;27.0;15.0;19.0;4.0;19.0;4.0;5.0;6.0;2.0;;;;3.0;;;;;;;386.0
Schoonebeek-G0129;12;;2641;1750;330;163;1.0;27.0;17.0;17.0;16.0;6.0;;1.0;10.0;2.0;5.0;3.0;3.0;;;2.0;;;2.0;;;;;609.0
Schoonhoven-G0608;17;;2432;1952;1304;434;315.0;79.0;96.0;37.0;64.0;14.0;13.0;1.0;11.0;17.0;14.0;12.0;9.0;;12.0;17.0;3.0;;;;;;;785.0
Schoorl-G0444;13;;1433;1288;1182;372;1.0;73.0;68.0;10.0;12.0;21.0;15.0;12.0;6.0;74.0;7.0;12.0;2.0;5.0;;;;;5.0;;;;;380.0
Sevenum-G0964;12;;3002;615;433;190;;31.0;44.0;3.0;3.0;3.0;3.0;6.0;2.0;7.0;2.0;7.0;;;0.0;1.0;1.0;1.0;;;0.0;;;539.0
's-Graveland-G0390;15;;2198;1365;1633;423;66.0;77.0;52.0;47.0;38.0;20.0;12.0;9.0;18.0;11.0;17.0;9.0;7.0;4.0;;1.0;;;2.0;;;;;773.0
's-Gravendeel-G0517;18;;1726;1950;804;246;317.0;36.0;27.0;44.0;83.0;11.0;2.0;4.0;18.0;4.0;17.0;5.0;3.0;;;1.0;1.0;;5.0;;;;;593.0
's-Gravenhage-G0518;836;;65883;95435;57894;19645;2443.0;3189.0;3507.0;1339.0;1342.0;2088.0;2644.0;824.0;557.0;725.0;403.0;311.0;1071.0;146.0;486.0;141.0;110.0;;;130.0;;;;74154.0
's-Gravenmoer-G0787;0;;701;245;204;81;21.0;15.0;5.0;19.0;36.0;1.0;1.0;3.0;8.0;5.0;1.0;1.0;;;;15.0;;0.0;;1.0;0.0;;;126.0
's-Gravenzande-G0519;10;;5267;1887;2707;552;399.0;66.0;66.0;54.0;115.0;38.0;19.0;8.0;57.0;11.0;23.0;10.0;12.0;3.0;;9.0;1.0;;2.0;;;;;1422.0
's-Hertogenbosch-G0796;155;;18043;22030;6923;3175;38.0;936.0;964.0;153.0;84.0;404.0;259.0;381.0;81.0;177.0;87.0;131.0;141.0;6.0;;5.0;31.0;18.0;25.0;;4.0;;;12160.0
Simpelveld-G0965;41;;3792;2931;662;284;1.0;38.0;34.0;5.0;11.0;13.0;23.0;14.0;3.0;31.0;11.0;7.0;;1.0;43.0;1.0;4.0;24.0;3.0;;2.0;;;813.0
Sint Maarten-G0445;3;;469;374;307;108;;21.0;20.0;7.0;1.0;5.0;1.0;2.0;5.0;5.0;2.0;2.0;;;;;1.0;;;;;;;133.0
Sint Odiliënberg-G0967;14;;1148;569;322;108;1.0;18.0;20.0;1.0;2.0;3.0;7.0;;2.0;3.0;4.0;5.0;;2.0;5.0;1.0;;0.0;;;1.0;;;375.0
Sint Pancras-G0446;5;;1358;804;739;224;15.0;55.0;38.0;19.0;38.0;21.0;12.0;2.0;10.0;6.0;11.0;2.0;5.0;;;3.0;;;;;;;;350.0
Sint Philipsland-G0712;3;;362;322;136;39;638.0;8.0;4.0;14.0;25.0;3.0;2.0;;;;3.0;4.0;2.0;;;1.0;;;;;;;;115.0
Sint-Michielsgestel-G0845;25;;3561;2425;1024;387;3.0;79.0;57.0;16.0;7.0;11.0;13.0;40.0;8.0;13.0;14.0;9.0;4.0;1.0;;;7.0;3.0;;;4.0;;;921.0
Sint-Oedenrode-G0846;32;;6093;2343;1184;488;6.0;121.0;83.0;7.0;4.0;21.0;9.0;21.0;9.0;19.0;17.0;9.0;5.0;9.0;;;5.0;6.0;1.0;;0.0;;;1262.0
Sittard-G0968;125;;11434;9733;3181;1183;11.0;446.0;280.0;27.0;49.0;107.0;88.0;53.0;31.0;59.0;18.0;39.0;;3.0;149.0;2.0;8.0;63.0;1.0;;5.0;;;6262.0
Skarsterlân-G0051;28;;6344;5256;2000;680;69.0;173.0;78.0;74.0;129.0;41.0;18.0;3.0;67.0;18.0;14.0;20.0;4.0;10.0;;8.0;9.0;;2.0;;;;;1443.0
Sleen-G0130;18;;1227;3172;1177;188;4.0;52.0;26.0;19.0;87.0;44.0;;11.0;13.0;2.0;4.0;6.0;11.0;1.0;;8.0;1.0;;2.0;;;;;387.0
Sliedrecht-G0610;11;;3366;5245;1771;619;2155.0;96.0;116.0;172.0;354.0;129.0;43.0;31.0;45.0;18.0;31.0;13.0;5.0;5.0;;16.0;6.0;;2.0;;;;;2370.0
Slochteren-G0040;28;;1794;3871;1547;512;10.0;69.0;98.0;830.0;110.0;46.0;17.0;20.0;23.0;7.0;16.0;8.0;10.0;1.0;;10.0;2.0;;2.0;;;;;1263.0
Sluis-G0713;4;;603;592;589;93;4.0;9.0;12.0;8.0;7.0;1.0;5.0;;3.0;2.0;1.0;3.0;3.0;;;;1.0;;;;;;;188.0
Smallingerland-G0090;111;;10548;13920;3551;1761;175.0;348.0;256.0;1157.0;671.0;272.0;47.0;58.0;212.0;33.0;26.0;43.0;11.0;7.0;;65.0;9.0;;8.0;;;;;3351.0
Smilde-G0131;11;;2210;2162;789;283;5.0;62.0;30.0;138.0;57.0;16.0;;6.0;23.0;4.0;9.0;9.0;15.0;;;4.0;2.0;;3.0;;;;;580.0
Sneek-G0091;59;;6644;7432;2587;1175;49.0;225.0;164.0;121.0;220.0;73.0;24.0;31.0;88.0;30.0;25.0;42.0;5.0;29.0;;14.0;4.0;;5.0;;;;;2711.0
Snelrewaard-G0341;2;;360;18;98;23;48.0;;3.0;3.0;4.0;;;;1.0;;;1.0;;;;;;;;;0.0;0.0;;34.0
Soest-G0342;84;;9885;5030;7642;1934;230.0;315.0;208.0;240.0;279.0;58.0;84.0;22.0;61.0;62.0;51.0;21.0;21.0;1.0;;5.0;4.0;;;13.0;3.0;8.0;;3801.0
Someren-G0847;31;;6605;1760;1326;391;5.0;97.0;66.0;7.0;14.0;17.0;10.0;13.0;3.0;15.0;11.0;11.0;4.0;;;;2.0;3.0;205.0;;1.0;;;1613.0
Son en Breugel-G0848;19;;4244;1565;2749;617;2.0;104.0;47.0;25.0;30.0;21.0;12.0;17.0;12.0;16.0;13.0;15.0;10.0;3.0;;1.0;1.0;2.0;3.0;;0.0;;;1108.0
Spijkenisse-G0612;109;;7339;14924;6353;3442;326.0;283.0;311.0;183.0;272.0;153.0;252.0;485.0;46.0;60.0;254.0;69.0;89.0;14.0;;8.0;20.0;;12.0;;;;;7443.0
Sprang-Capelle-G0849;10;;2471;1115;817;193;613.0;24.0;25.0;29.0;105.0;11.0;8.0;2.0;9.0;7.0;6.0;9.0;3.0;;;4.0;1.0;2.0;2.0;;0.0;;;942.0
Stad Delden-G0179;15;;2558;1006;1107;303;10.0;57.0;22.0;17.0;12.0;8.0;13.0;13.0;5.0;8.0;10.0;4.0;1.0;2.0;;1.0;3.0;;;;0.0;;;327.0
Stadskanaal-G0037;66;;7325;10219;1838;712;51.0;163.0;124.0;674.0;876.0;128.0;24.0;32.0;58.0;8.0;14.0;17.0;8.0;5.0;;17.0;4.0;;2.0;3.0;;;;2896.0
Standdaarbuiten-G0850;8;;920;516;256;106;1.0;9.0;4.0;;6.0;;4.0;;1.0;;3.0;2.0;4.0;;;;;0.0;2.0;;0.0;;;151.0
Staphorst-G0180;38;;2158;878;915;154;2554.0;24.0;22.0;693.0;594.0;2.0;9.0;1.0;13.0;7.0;4.0;5.0;1.0;;;10.0;2.0;;;;1.0;;;506.0
Stede Broec-G0532;16;;4715;2955;1880;698;21.0;176.0;160.0;18.0;42.0;95.0;23.0;15.0;7.0;29.0;17.0;13.0;10.0;6.0;;;1.0;;1.0;;;;;1739.0
Stedum-G0041;2;;551;443;106;52;3.0;25.0;19.0;68.0;14.0;16.0;1.0;2.0;13.0;;4.0;1.0;1.0;;;1.0;;;;1.0;;;;83.0
Steenbergen-G0851;28;;3273;3135;1518;416;18.0;46.0;57.0;7.0;3.0;11.0;17.0;4.0;11.0;10.0;18.0;14.0;12.0;3.0;;1.0;2.0;4.0;1.0;4.0;2.0;;;1746.0
Steenderen-G0280;14;;1785;729;468;96;12.0;25.0;25.0;;17.0;6.0;3.0;1.0;5.0;5.0;;4.0;;;;3.0;;;;1.0;0.0;0.0;;198.0
Steenwijk-G0181;37;;4651;5623;2031;719;47.0;162.0;138.0;183.0;237.0;24.0;20.0;10.0;36.0;24.0;20.0;31.0;11.0;3.0;;7.0;4.0;;;;0.0;;;1542.0
Stein-G0971;92;;7933;5841;1700;912;7.0;159.0;151.0;11.0;10.0;50.0;66.0;17.0;8.0;30.0;18.0;19.0;;2.0;82.0;2.0;2.0;44.0;6.0;;1.0;;;2678.0
Stevensweert-G0972;4;;650;283;115;36;;5.0;4.0;;;;;;;;;2.0;;;4.0;;;2.0;;;0.0;;;137.0
Stramproy-G0973;11;;1901;702;279;118;;24.0;16.0;1.0;;4.0;3.0;10.0;5.0;6.0;2.0;3.0;;1.0;3.0;1.0;;4.0;;;0.0;;;391.0
Strijen-G0617;27;;1540;1984;1208;283;253.0;28.0;53.0;24.0;82.0;16.0;14.0;2.0;21.0;9.0;21.0;4.0;6.0;;;1.0;;;3.0;;;;;712.0
Susteren-G0974;44;;4267;2731;770;340;2.0;79.0;71.0;2.0;9.0;12.0;16.0;4.0;7.0;10.0;11.0;9.0;;3.0;38.0;;1.0;21.0;;;1.0;;;1200.0
Swalmen-G0975;30;;2327;1801;538;188;2.0;36.0;45.0;6.0;3.0;11.0;11.0;;1.0;9.0;8.0;6.0;;3.0;6.0;1.0;;8.0;;;0.0;;;1256.0
't Zandt-G0054;7;;426;780;230;65;2.0;20.0;21.0;37.0;14.0;6.0;1.0;;20.0;3.0;2.0;4.0;;;;1.0;1.0;;;;;;;163.0
Tegelen-G0976;43;;5064;3672;1085;507;2.0;84.0;47.0;39.0;11.0;19.0;36.0;12.0;6.0;8.0;15.0;12.0;;1.0;28.0;2.0;2.0;11.0;2.0;;1.0;;;2398.0
Ten Boer-G0009;9;;1359;1455;584;198;14.0;47.0;37.0;479.0;96.0;32.0;3.0;5.0;11.0;3.0;9.0;1.0;4.0;2.0;;12.0;2.0;;1.0;;;;;369.0
Ter Aar-G0480;18;;3130;710;1223;274;100.0;63.0;28.0;20.0;27.0;7.0;6.0;6.0;12.0;6.0;9.0;7.0;8.0;;5.0;;5.0;;;;;;;589.0
Terheijden-G0853;11;;2289;1677;786;410;5.0;55.0;50.0;8.0;4.0;17.0;3.0;;12.0;6.0;9.0;14.0;3.0;;;1.0;3.0;5.0;;;1.0;;;680.0
Termunten-G0042;24;;660;1579;297;114;12.0;21.0;30.0;5.0;45.0;101.0;9.0;2.0;15.0;4.0;3.0;4.0;4.0;3.0;;3.0;5.0;;2.0;1.0;;;;408.0
Terneuzen-G0715;71;;6676;6369;3667;1320;1068.0;177.0;151.0;698.0;314.0;34.0;81.0;30.0;79.0;31.0;58.0;34.0;34.0;6.0;;3.0;13.0;;5.0;;;;;4596.0
Terschelling-G0093;14;;855;1329;1141;218;9.0;59.0;41.0;23.0;33.0;14.0;10.0;2.0;7.0;5.0;6.0;6.0;3.0;2.0;;3.0;;;;;;;;
Teteringen-G0854;5;;1949;688;771;255;;32.0;28.0;6.0;3.0;11.0;9.0;1.0;4.0;6.0;4.0;3.0;3.0;1.0;;1.0;;2.0;;1.0;0.0;;;342.0
Texel-G0448;19;;3310;2515;2119;552;37.0;133.0;211.0;39.0;80.0;31.0;11.0;13.0;28.0;27.0;17.0;9.0;2.0;5.0;;3.0;;;2.0;;;;;208.0
Tholen-G0716;43;;3024;3310;1699;360;2894.0;50.0;34.0;92.0;326.0;16.0;24.0;15.0;34.0;7.0;14.0;11.0;11.0;3.0;;7.0;3.0;;6.0;;;;;1733.0
Thorn-G0977;9;;1000;527;156;75;1.0;17.0;8.0;;;2.0;3.0;;2.0;6.0;3.0;1.0;;1.0;2.0;;;0.0;;;0.0;;;201.0
Tiel-G0281;15;;4754;7880;3187;1055;108.0;365.0;169.0;103.0;82.0;53.0;53.0;21.0;35.0;45.0;30.0;14.0;9.0;;;3.0;5.0;0.0;1.0;14.0;1.0;;;3325.0
Tietjerksteradeel-G0094;52;;8064;6189;2427;1018;142.0;154.0;113.0;358.0;360.0;48.0;13.0;25.0;98.0;24.0;8.0;38.0;8.0;1.0;;48.0;4.0;;6.0;;;;;2002.0
Tilburg-G0855;381;;33821;34292;11639;5330;54.0;1467.0;2027.0;120.0;124.0;667.0;368.0;992.0;116.0;195.0;236.0;242.0;112.0;62.0;;12.0;45.0;47.0;24.0;58.0;34.0;;;23594.0
Tubbergen-G0183;26;;9814;1366;773;209;14.0;45.0;33.0;23.0;16.0;7.0;10.0;18.0;12.0;16.0;9.0;11.0;2.0;;;1.0;1.0;;;;0.0;;;567.0
Ubbergen-G0282;18;;2917;1938;947;301;1.0;129.0;83.0;13.0;4.0;37.0;9.0;6.0;5.0;12.0;3.0;15.0;4.0;1.0;;;;0.0;;3.0;0.0;;;737.0
Uden-G0856;52;;10004;5135;3814;960;10.0;156.0;158.0;28.0;24.0;45.0;30.0;484.0;18.0;15.0;36.0;41.0;20.0;2.0;;1.0;15.0;6.0;3.0;;0.0;;;3156.0
Udenhout-G0857;16;;2958;1068;698;208;4.0;47.0;32.0;;4.0;10.0;10.0;2.0;5.0;6.0;7.0;9.0;;;;;2.0;0.0;4.0;1.0;0.0;;;1071.0
Uitgeest-G0450;19;;2278;1684;1336;527;2.0;118.0;98.0;13.0;10.0;87.0;17.0;11.0;9.0;27.0;12.0;7.0;2.0;11.0;;1.0;3.0;;3.0;;;;;800.0
Uithoorn-G0451;26;;5436;3051;3930;1063;29.0;276.0;131.0;42.0;44.0;33.0;54.0;24.0;17.0;28.0;22.0;19.0;13.0;9.0;;1.0;5.0;;2.0;;;;;1531.0
Ulrum-G0045;13;;987;718;284;86;33.0;19.0;19.0;233.0;75.0;4.0;3.0;1.0;6.0;1.0;2.0;1.0;1.0;;;3.0;2.0;;;;;;;265.0
Urk-G0184;14;;2937;56;120;20;1929.0;2.0;1.0;352.0;839.0;3.0;7.0;;3.0;;5.0;1.0;2.0;;;14.0;;;2.0;;;;;417.0
Usquert-G0046;3;;135;682;174;47;;15.0;7.0;30.0;2.0;10.0;;3.0;1.0;;1.0;;;;;;;;1.0;;;;;114.0
Utrecht-G0344;496;;35026;57619;21268;10876;782.0;3944.0;5073.0;877.0;687.0;1946.0;1304.0;1454.0;441.0;324.0;212.0;276.0;384.0;66.0;;44.0;66.0;;;56.0;17.0;66.0;;31088.0
Vaals-G0981;42;;2097;2374;629;142;5.0;29.0;33.0;19.0;4.0;11.0;14.0;6.0;5.0;26.0;4.0;4.0;;1.0;16.0;;;14.0;3.0;;3.0;;;1087.0
Valburg-G0283;18;;3559;1764;1201;344;379.0;110.0;58.0;34.0;86.0;12.0;5.0;5.0;14.0;9.0;6.0;3.0;2.0;;;2.0;;0.0;1.0;;0.0;;;957.0
Valkenburg (ZH)-G0619;9;;991;272;319;78;63.0;24.0;1.0;99.0;64.0;3.0;8.0;;8.0;2.0;5.0;2.0;1.0;;1.0;2.0;;;;;;;;218.0
Valkenburg aan de Geul-G0994;42;;6113;3344;1703;476;7.0;75.0;65.0;17.0;13.0;16.0;60.0;14.0;8.0;26.0;9.0;9.0;;1.0;47.0;;2.0;35.0;1.0;;0.0;;;1446.0
Valkenisse-G0720;10;;1733;712;991;254;225.0;56.0;26.0;32.0;57.0;6.0;4.0;1.0;15.0;6.0;8.0;3.0;2.0;;;2.0;;;1.0;;;;;367.0
Valkenswaard-G0858;34;;8745;5102;3095;964;20.0;207.0;105.0;15.0;48.0;43.0;35.0;69.0;25.0;19.0;33.0;31.0;11.0;4.0;;2.0;2.0;23.0;10.0;;5.0;;;2861.0
Veendam-G0047;49;;3376;10487;2683;881;18.0;158.0;136.0;155.0;213.0;120.0;31.0;74.0;36.0;17.0;26.0;7.0;10.0;11.0;;5.0;15.0;;2.0;5.0;;;;2312.0
Veenendaal-G0345;5;;10262;5522;4465;1189;2260.0;172.0;234.0;521.0;1313.0;263.0;38.0;18.0;132.0;25.0;25.0;18.0;19.0;5.0;;21.0;5.0;;;8.0;0.0;5.0;;3904.0
Veere-G0717;10;;1546;368;621;187;237.0;56.0;12.0;155.0;56.0;7.0;2.0;1.0;23.0;3.0;1.0;8.0;3.0;2.0;;3.0;1.0;;;;;;;180.0
Veghel-G0860;52;;8020;3656;2241;705;12.0;136.0;109.0;19.0;19.0;27.0;27.0;116.0;9.0;22.0;23.0;28.0;5.0;;;4.0;6.0;4.0;4.0;;2.0;;;2281.0
Veldhoven-G0861;42;;10666;5499;3876;1312;15.0;334.0;174.0;24.0;69.0;33.0;57.0;82.0;87.0;32.0;37.0;37.0;20.0;3.0;;2.0;4.0;30.0;9.0;;4.0;;;4387.0
Velsen-G0453;124;;11701;13203;7340;2739;137.0;406.0;517.0;249.0;295.0;291.0;120.0;67.0;98.0;125.0;85.0;55.0;72.0;36.0;;23.0;14.0;;10.0;;;;;6609.0
Venhuizen-G0454;13;;1910;1033;1142;256;4.0;57.0;44.0;6.0;5.0;14.0;11.0;1.0;8.0;33.0;18.0;10.0;5.0;4.0;;4.0;;;2.0;;;;;498.0
Venlo-G0983;139;;17393;10642;5263;1790;16.0;430.0;328.0;32.0;60.0;97.0;134.0;85.0;23.0;43.0;34.0;58.0;;11.0;45.0;4.0;6.0;36.0;5.0;;6.0;;;10210.0
Venray-G0984;85;;11013;5023;2170;892;8.0;219.0;208.0;20.0;12.0;53.0;47.0;81.0;14.0;26.0;13.0;32.0;;8.0;19.0;2.0;16.0;13.0;4.0;;4.0;;;4255.0
Vessem, Wintelre en Knegsel-G0862;6;;2191;407;380;124;;38.0;26.0;3.0;3.0;7.0;;3.0;5.0;3.0;6.0;;1.0;;;;2.0;3.0;;;1.0;;;287.0
Vianen-G0620;46;;3970;3320;2159;758;448.0;159.0;75.0;44.0;82.0;28.0;44.0;12.0;35.0;36.0;25.0;18.0;8.0;7.0;;3.0;1.0;;1.0;;;;;1350.0
Vierlingsbeek-G0863;16;;3276;995;536;204;4.0;38.0;49.0;7.0;;15.0;4.0;11.0;12.0;6.0;1.0;6.0;;1.0;;;1.0;3.0;;;1.0;;;496.0
Vinkeveen en Waverveen-G0346;18;;2613;748;1548;312;164.0;56.0;15.0;29.0;63.0;5.0;16.0;1.0;7.0;6.0;11.0;3.0;1.0;;;1.0;;;;4.0;0.0;0.0;;755.0
Vlaardingen-G0622;120;;12946;18642;7168;3838;1169.0;631.0;443.0;395.0;623.0;299.0;265.0;1302.0;114.0;74.0;102.0;96.0;91.0;6.0;;20.0;30.0;;8.0;;;;;8851.0
Vlagtwedde-G0048;37;;3587;5432;1287;339;16.0;73.0;31.0;61.0;128.0;65.0;10.0;19.0;34.0;10.0;19.0;7.0;6.0;4.0;;3.0;3.0;;2.0;3.0;;;;1631.0
Vledder-G0132;8;;557;1120;499;189;3.0;25.0;23.0;14.0;11.0;3.0;;3.0;10.0;6.0;4.0;3.0;5.0;2.0;;2.0;1.0;;;;;;;275.0
Vleuten-De Meern-G0347;22;;5208;1541;2884;639;96.0;125.0;99.0;101.0;41.0;19.0;24.0;;32.0;18.0;16.0;8.0;4.0;;;7.0;4.0;;;5.0;0.0;1.0;;972.0
Vlieland-G0096;1;;199;369;317;85;3.0;21.0;15.0;4.0;3.0;;;;2.0;3.0;;1.0;1.0;;;3.0;;;1.0;;;;;
Vlijmen-G0864;32;;4740;2628;1387;501;6.0;98.0;43.0;12.0;7.0;19.0;20.0;24.0;17.0;29.0;19.0;27.0;7.0;;;;1.0;13.0;2.0;;2.0;;;1174.0
Vlissingen-G0718;95;;7667;10355;5110;2181;667.0;289.0;209.0;172.0;225.0;85.0;119.0;93.0;76.0;35.0;67.0;86.0;61.0;14.0;;15.0;19.0;;13.0;;;;;5870.0
Vlist-G0623;20;;2317;1439;1326;316;565.0;64.0;47.0;37.0;79.0;9.0;20.0;3.0;12.0;8.0;9.0;9.0;5.0;;3.0;;1.0;;;;;;;541.0
Vlodrop-G0985;11;;762;360;191;58;;7.0;16.0;2.0;;4.0;4.0;3.0;;4.0;1.0;2.0;;;2.0;;;1.0;;;0.0;;;242.0
Voerendaal-G0986;1;;4097;2388;1539;417;11.0;67.0;81.0;9.0;12.0;20.0;11.0;17.0;1.0;29.0;7.0;11.0;;3.0;32.0;;5.0;21.0;4.0;;0.0;;;1191.0
Voorburg-G0624;62;;9311;6606;8688;2309;139.0;295.0;276.0;275.0;148.0;81.0;178.0;53.0;63.0;80.0;32.0;31.0;83.0;3.0;73.0;17.0;11.0;;;;;;;3871.0
Voorhout-G0625;10;;2772;775;1305;369;17.0;109.0;39.0;28.0;8.0;15.0;9.0;1.0;6.0;11.0;9.0;8.0;4.0;;7.0;1.0;;;;;;;;437.0
Voorschoten-G0626;34;;5227;2795;4577;1242;105.0;184.0;122.0;77.0;72.0;32.0;27.0;17.0;30.0;23.0;33.0;13.0;11.0;4.0;19.0;5.0;4.0;;;;;;;1380.0
Voorst-G0285;47;;6631;4221;2773;789;226.0;142.0;75.0;42.0;72.0;40.0;12.0;10.0;21.0;16.0;19.0;18.0;5.0;3.0;;2.0;6.0;;;3.0;6.0;0.0;;2023.0
Vorden-G0286;15;;2250;1396;1122;203;17.0;48.0;22.0;24.0;31.0;10.0;3.0;8.0;6.0;23.0;8.0;4.0;;;;1.0;;;;3.0;0.0;1.0;;374.0
Vries-G0133;26;;1007;2473;2106;465;3.0;113.0;40.0;102.0;47.0;22.0;;5.0;10.0;5.0;11.0;7.0;13.0;2.0;;;1.0;;3.0;;;;;657.0
