RegioNaam;@invalid;@blank;CDA;PvdA;VVD;D66;SGP;Politieke Partij Radikalen (PPR);Pacifistisch-Socialistische Partij (PSP);Gereformeerd Politiek Verbond (GPV);Reformatorische Politieke Federatie (RPF);Communistische Partij van Nederland;CP;SP;Evangelische Volkspartij;Federatie Groenen;Partij voor de Middengroepen;Loesje;Centrumdemocraten;VCN: partij van communisten in Nederland;Partij voor Ambtenaren en Trendvolgers;Anti Revolutionairen '85;Socialistische Arbeiderspartij;God Met Ons;Partij Algemeen Belang;Partij Geluk voor Iedereen;Lijst Wissink;Humanistische Partij;Lijst Brummer;@abs
Naaldwijk-G0565;29;;9660;2340;3557;704;157.0;98.0;86.0;81.0;124.0;25.0;36.0;8.0;32.0;28.0;24.0;11.0;12.0;;;6.0;3.0;;5.0;;;;;1925.0
Naarden-G0425;3;;2980;2071;4413;940;82.0;98.0;220.0;54.0;61.0;27.0;14.0;22.0;37.0;25.0;21.0;10.0;12.0;5.0;;6.0;7.0;;6.0;;;;;1429.0
Nederhorst den Berg-G0426;9;;1245;783;860;150;12.0;32.0;17.0;19.0;12.0;10.0;11.0;46.0;17.0;2.0;5.0;5.0;2.0;1.0;;2.0;;;;;;;;303.0
Nederlek-G0643;19;;1974;3546;2054;603;681.0;56.0;51.0;51.0;78.0;29.0;21.0;13.0;25.0;14.0;24.0;14.0;5.0;2.0;13.0;3.0;10.0;;;;;;;1050.0
Nederweert-G0946;47;;5774;2225;914;279;1.0;56.0;52.0;12.0;13.0;6.0;15.0;6.0;4.0;23.0;11.0;19.0;;;18.0;2.0;1.0;2.0;38.0;;0.0;;;1548.0
Neede-G0266;29;;2694;3012;1119;327;9.0;75.0;49.0;102.0;41.0;6.0;13.0;10.0;7.0;7.0;9.0;5.0;3.0;2.0;;3.0;;0.0;;1.0;2.0;;;608.0
Neer-G0947;11;;1354;487;210;69;;19.0;30.0;;1.0;4.0;5.0;;2.0;4.0;4.0;5.0;;;1.0;;;1.0;;;0.0;;;430.0
Neerijnen-G0304;16;;2010;2362;1149;257;675.0;54.0;36.0;43.0;56.0;16.0;24.0;2.0;6.0;11.0;9.0;4.0;7.0;;;2.0;;1.0;2.0;1.0;0.0;;;728.0
Niedorp-G0412;19;;1863;1608;952;329;4.0;57.0;120.0;5.0;2.0;40.0;9.0;4.0;;10.0;23.0;8.0;2.0;2.0;;;;;9.0;;;;;631.0
Nieuwe Pekela-G0030;10;;932;1801;350;101;25.0;43.0;14.0;22.0;65.0;81.0;3.0;2.0;9.0;;5.0;4.0;1.0;4.0;;;;;;;;;;418.0
Nieuwegein-G0356;15;;10136;10171;6955;3192;289.0;406.0;676.0;220.0;207.0;123.0;107.0;128.0;107.0;66.0;51.0;51.0;38.0;15.0;;24.0;9.0;;;42.0;3.0;12.0;;5718.0
Nieuwerkerk aan den IJssel-G0567;31;;3042;2983;2991;825;512.0;83.0;62.0;120.0;157.0;22.0;29.0;18.0;38.0;21.0;33.0;11.0;13.0;1.0;23.0;3.0;2.0;;;;;;;1383.0
Nieuweschans-G0031;3;;94;876;105;41;1.0;4.0;5.0;1.0;2.0;102.0;1.0;2.0;;;2.0;;1.0;2.0;;;;;1.0;;;;;127.0
Nieuw-Ginneken-G0817;24;;3788;1600;1734;471;2.0;49.0;32.0;8.0;6.0;11.0;12.0;1.0;1.0;9.0;8.0;9.0;3.0;;;1.0;;5.0;1.0;2.0;1.0;;;780.0
Nieuwkoop-G0569;19;;2494;1142;1620;419;114.0;86.0;72.0;14.0;78.0;18.0;7.0;14.0;10.0;8.0;6.0;14.0;4.0;1.0;7.0;1.0;2.0;;;;;;;808.0
Nieuw-Lekkerland-G0571;15;;1212;1667;393;222;1150.0;25.0;28.0;88.0;125.0;11.0;5.0;3.0;7.0;6.0;7.0;4.0;6.0;;;4.0;2.0;;;;;;;562.0
Nieuwleusen-G0170;6;;2581;1070;665;207;160.0;23.0;11.0;269.0;72.0;3.0;4.0;2.0;13.0;3.0;8.0;1.0;1.0;;;3.0;1.0;;;;2.0;;;604.0
Nieuwolda-G0032;4;;260;604;150;34;;18.0;6.0;2.0;14.0;8.0;7.0;8.0;2.0;5.0;2.0;2.0;1.0;2.0;;;;;;;;;;106.0
Nieuwveen-G0573;7;;997;232;336;96;33.0;26.0;18.0;1.0;11.0;3.0;3.0;3.0;5.0;5.0;4.0;6.0;;1.0;0.0;;1.0;;;;;;;491.0
Nieuw-Vossemeer-G0818;4;;606;653;219;70;2.0;8.0;12.0;1.0;;2.0;4.0;;;;;3.0;;1.0;;1.0;;0.0;1.0;1.0;1.0;;;151.0
Nigtevecht-G0337;0;;368;197;217;59;6.0;15.0;12.0;2.0;5.0;2.0;2.0;1.0;;3.0;5.0;;;;;;1.0;;;;0.0;1.0;;97.0
Nijefurd-G0104;27;;3704;1680;847;326;22.0;107.0;65.0;62.0;116.0;7.0;11.0;10.0;65.0;9.0;6.0;9.0;;3.0;;4.0;4.0;;3.0;;;;;570.0
Nijeveen-G0121;6;;888;455;364;111;3.0;11.0;7.0;25.0;19.0;3.0;;;5.0;1.0;3.0;1.0;;;;4.0;;;1.0;;;;;116.0
Nijkerk-G0267;27;;7458;3101;2128;652;1017.0;135.0;48.0;263.0;504.0;11.0;27.0;8.0;44.0;14.0;18.0;9.0;8.0;1.0;;15.0;1.0;;;2.0;1.0;4.0;;1675.0
Nijmegen-G0268;408;;27186;41133;9845;6087;63.0;2888.0;3733.0;167.0;125.0;1428.0;298.0;1143.0;144.0;235.0;79.0;186.0;55.0;38.0;;13.0;49.0;33.0;15.0;18.0;6.0;;;18555.0
Nistelrode-G0819;21;;2537;982;329;113;;31.0;23.0;4.0;2.0;11.0;3.0;41.0;;2.0;6.0;4.0;;;;;;1.0;2.0;;0.0;;;618.0
Noorder-Koggenland-G0529;19;;1795;1637;1454;408;77.0;68.0;100.0;29.0;87.0;23.0;11.0;7.0;2.0;27.0;20.0;9.0;2.0;3.0;;2.0;1.0;;8.0;;;;;732.0
