RegioNaam;@invalid;@blank;CDA;VVD;PvdA;SP;GL;CU;D66;PvdD;SGP;CU-SGP;Leefbaar Zuid-Holland;Fryske Nasjonale Partij (FNP);Ouderenpartij NH/VSP;Brabantse Partij;Partij Nieuw Limburg;Verenigde Senioren Partij (NB);Partij voor het Noorden;Partij voor Zeeland;Fortuyn;Mooi Utrecht;Lokaal Zuid-Holland;Gelderland Lokaal;De Groenen/Noord-Holland Anders;Een voor de Vrijheid;Nieuw Rechts;Limburgs Belang;Gemeentebelangen Friesland;Actief Drenthe;Islam Democraten;Onafhankelijke Partij Drenthe;LEEFBAAR OV/ VER. SENIOREN PARTIJ;Drentse Ouderenpartijen;Nederlandse Volksunie;ONS Flevoland / VER. SENIOREN PARTIJ;Zeeuws Belang !;Tilburgse Volkspartij (TVP);deFriezen;Drents Belang-Ver. Senioren Partij;Nieuwe Communistische Partij;Groep Hop;Nederlandse Klokkenluiders Partij;Sociaal-Liberale Partij;@abs
Rotterdam-G0599;;1117;20218;24610;35027;27774;10978;6285.0;4208;5774.0;1798.0;;12334.0;;;;;;;;1124.0;;558.0;;;;;;;;915.0;;;;;;;;;;;;;;268253
Rozenburg-G0600;;24;771;653;588;649;94;286.0;34;147.0;39.0;;180.0;;;;;;;;26.0;;124.0;;;;;;;;9.0;;;;;;;;;;;;;;6092
Rozendaal-G0277;;3;197;346;99;47;51;19.0;43;26.0;3.0;;;;;;;;;;1.0;;;7.0;;4.0;;;;;;;;;0.0;;;;;;;1.0;;;313
Rucphen-G0840;;24;2222;979;771;894;95;;56;187.0;;61.0;;;;533.0;;87.0;;;;;;;;;;;;;;;;;;;;7.0;;;;;;;11994
Schagen-G0441;;21;1215;1669;1356;1053;305;;121;177.0;;181.0;;;236.0;;;;;;;;;;33.0;;;;;;;;;;;;;;;;;;;;8125
Scheemda-G0039;;19;1291;556;1674;1040;238;498.0;71;120.0;;;;;;;;;224.0;;;;;;;;;;;;;;;;;;;;;;86.0;;;;5142
Schermer-G0458;;11;569;601;336;242;100;;44;64.0;;44.0;;;51.0;;;;;;;;;;15.0;;;;;;;;;;;;;;;;;;;;1766
Scherpenzeel-G0279;;5;1158;643;366;204;57;583.0;35;36.0;844.0;;;;;;;;;;11.0;;;31.0;;19.0;;;;;;;;;11.0;;;;;;;1.0;;;2550
Schiedam-G0606;;133;3441;3501;4362;4444;1115;671.0;428;706.0;132.0;;901.0;;;;;;;;121.0;;64.0;;;;;;;;221.0;;;;;;;;;;;;;;35057
Schiermonnikoog-G0088;;0;109;94;131;42;37;13.0;12;15.0;;;;13.0;;;;;4.0;;;;;;;;;;17.0;;;;;;;;;;3.0;;;;0.0;;269
Schijndel-G0844;;29;2342;1072;1329;1663;195;;97;136.0;;50.0;;;;65.0;;127.0;;;;;;;;;;;;;;;;;;;;6.0;;;;;;;10406
Schinnen-G0962;;11;2334;633;952;899;186;120.0;66;141.0;;;;;;;286.0;;;;;;;;;;;69.0;;;;;;;;;;;;;;;;;4689
Schoonhoven-G0608;;17;1144;895;729;549;218;436.0;101;127.0;177.0;;82.0;;;;;;;;8.0;;219.0;;;;17.0;;;;;;;;;;;;;;;;;3.0;4469
Schouwen-Duiveland-G1676;;62;3664;3122;2052;1562;672;1233.0;190;;1783.0;;;;;;;;;505.0;;;;;;;;;;;;;;;;;205.0;;;;;;;;11643
Sevenum-G0964;;12;1616;283;261;471;70;68.0;31;36.0;;;;;;;31.0;;;;;;;;;;;11.0;;;;;;;;;;;;;;;;;2858
's-Gravenhage-G0518;;803;19249;29654;25808;17708;10003;4302.0;4994;5757.0;857.0;;1318.0;;;;;;;;684.0;;354.0;;;;650.0;;;;1131.0;;;;;;;;;;;;;;209444
's-Hertogenbosch-G0796;;196;9242;8854;7084;10909;3041;;1176;1044.0;;753.0;;;;611.0;;612.0;;;;;;;;;;;;;;;;;;;;44.0;;;;;;;59933
Simpelveld-G0965;;14;1411;361;770;563;64;44.0;31;93.0;;;;;;;752.0;;;;;;;;;;;29.0;;;;;;;;;;;;;;;;;4459
Sint Anthonis-G1702;;19;2836;475;345;777;108;;40;57.0;;43.0;;;;71.0;;52.0;;;;;;;;;;;;;;;;;;;;4.0;;;;;;;3946
Sint-Michielsgestel-G0845;;43;3282;1766;1534;1772;318;;210;174.0;;130.0;;;;172.0;;175.0;;;;;;;;;;;;;;;;;;;;14.0;;;;;;;11631
Sint-Oedenrode-G0846;;17;2697;918;753;1309;151;;54;79.0;;72.0;;;;181.0;;61.0;;;;;;;;;;;;;;;;;;;;2.0;;;;;;;6654
Sittard-Geleen-G1883;;167;11673;3932;5505;5871;2008;572.0;434;991.0;;;;;;;1034.0;;;;;;;;;;;294.0;;;;;;;;;;;;;;;;;42167
Skarsterlân-G0051;;30;3494;1239;2551;774;294;591.0;114;145.0;;;;2192.0;;;;;27.0;;;;;;;;;;67.0;;;;;;;;;;72.0;;;;31.0;;8868
