RegioNaam;@invalid;@blank;CDA;VVD;PvdA;SP;GL;CU;D66;PvdD;SGP;CU-SGP;Leefbaar Zuid-Holland;Fryske Nasjonale Partij (FNP);Ouderenpartij NH/VSP;Brabantse Partij;Partij Nieuw Limburg;Verenigde Senioren Partij (NB);Partij voor het Noorden;Partij voor Zeeland;Fortuyn;Mooi Utrecht;Lokaal Zuid-Holland;Gelderland Lokaal;De Groenen/Noord-Holland Anders;Een voor de Vrijheid;Nieuw Rechts;Limburgs Belang;Gemeentebelangen Friesland;Actief Drenthe;Islam Democraten;Onafhankelijke Partij Drenthe;LEEFBAAR OV/ VER. SENIOREN PARTIJ;Drentse Ouderenpartijen;Nederlandse Volksunie;ONS Flevoland / VER. SENIOREN PARTIJ;Zeeuws Belang !;Tilburgse Volkspartij (TVP);deFriezen;Drents Belang-Ver. Senioren Partij;Nieuwe Communistische Partij;Groep Hop;Nederlandse Klokkenluiders Partij;Sociaal-Liberale Partij;@abs
Winterswijk-G0294;;26;2689;2698;2584;1577;379;352.0;167;197.0;23.0;;;;;;;;;;27.0;;;59.0;;63.0;;;;;;;;;16.0;;;;;;;9.0;;;11090
Woensdrecht-G0873;;25;1891;1366;831;1092;153;;138;176.0;;84.0;;;;386.0;;106.0;;;;;;;;;;;;;;;;;;;;5.0;;;;;;;9918
Woerden-G0632;;65;5591;3341;2180;1522;1095;2023.0;510;385.0;818.0;;;;;;;;;;;842.0;;;;;;;;;;;;;;;;;;;;;;;17107
Wormerland-G0880;;23;1036;1118;1059;1102;537;;135;173.0;;201.0;;;189.0;;;;;;;;;;60.0;;;;;;;;;;;;;;;;;;;;6327
Woudenberg-G0351;;10;1327;830;436;319;130;769.0;83;96.0;1013.0;;;;;;;;;;;64.0;;;;;;;;;;;;;;;;;;;;;;;3198
Woudrichem-G0874;;28;2301;753;514;454;112;;43;100.0;;1269.0;;;;32.0;;14.0;;;;;;;;;;;;;;;;;;;;3.0;;;;;;;5233
Wûnseradiel-G0710;;5;1876;564;1073;453;134;212.0;58;101.0;;;;583.0;;;;;18.0;;;;;;;;;;32.0;;;;;;;;;;37.0;;;;7.0;;3672
Wymbritseradiel-G0683;;18;2601;707;1140;421;180;416.0;74;69.0;;;;1301.0;;;;;15.0;;;;;;;;;;83.0;;;;;;;;;;41.0;;;;9.0;;4850
Zaanstad-G0479;;297;6405;8810;9963;9595;3248;;1018;1883.0;;1781.0;;;1887.0;;;;;;;;;;535.0;;;;;;;;;;;;;;;;;;;;59694
Zaltbommel-G0297;;26;2086;1368;1492;916;512;1258.0;165;150.0;1770.0;;;;;;;;;;29.0;;;43.0;;63.0;;;;;;;;;18.0;;;;;;;4.0;;;9076
Zandvoort-G0473;;30;785;2164;803;747;263;;134;243.0;;60.0;;;366.0;;;;;;;;;;23.0;;;;;;;;;;;;;;;;;;;;7485
Zederik-G0707;;21;2169;765;721;312;100;923.0;42;84.0;1002.0;;25.0;;;;;;;;10.0;;36.0;;;;;;;;3.0;;;;;;;;;;;;;;3769
Zeevang-G0478;;14;432;818;427;347;201;;65;121.0;;40.0;;;90.0;;;;;;;;;;35.0;;;;;;;;;;;;;;;;;;;;2112
Zeewolde-G0050;;29;1501;2007;704;624;389;1191.0;131;173.0;97.0;;;;;;;;;;;;;;;;;;;;;;;;;110.0;;;;;;;;;6425
Zeist-G0355;;99;4804;5427;3822;2857;2197;1772.0;1308;726.0;684.0;;;;;;;;;;;328.0;;;;;;;;;;;;;;;;;;;;;;;21251
Zevenaar-G0299;;28;3590;1948;2129;1865;460;220.0;239;273.0;28.0;;;;;;;;;;48.0;;;224.0;;79.0;;;;;;;;;35.0;;;;;;;8.0;;;13642
Zevenhuizen-Moerkapelle-G1666;;18;900;829;444;248;83;507.0;67;67.0;756.0;;55.0;;;;;;;;9.0;;218.0;;;;21.0;;;;;;;;;;;;;;;;;6.0;3403
Zijpe-G0476;;16;990;1102;841;596;191;;74;142.0;;88.0;;;139.0;;;;;;;;;;47.0;;;;;;;;;;;;;;;;;;;;4532
Zoetermeer-G0637;;195;6986;8503;6541;6289;1961;2169.0;1072;1232.0;543.0;;543.0;;;;;;;;138.0;;70.0;;;;225.0;;;;;;;;;;;;;;;;;25.0;52367
Zoeterwoude-G0638;;24;1141;583;429;400;201;87.0;78;77.0;37.0;;37.0;;;;;;;;5.0;;11.0;;;;14.0;;;;;;;;;;;;;;;;;1.0;3160
Zuidhorn-G0056;;29;2478;839;1598;891;717;1992.0;143;163.0;;;;;;;;;197.0;;;;;;;;;;;;;;;;;;;;;;16.0;;;;4412
Zundert-G0879;;26;2181;1845;644;929;121;;73;124.0;;76.0;;;;95.0;;67.0;;;;;;;;;;;;;;;;;;;;4.0;;;;;;;9293
Zutphen-G0301;;51;3021;2531;4432;3541;1623;884.0;567;518.0;44.0;;;;;;;;;;38.0;;;317.0;;101.0;;;;;;;;;32.0;;;;;;;18.0;;;17421
Zwartewaterland-G1896;;7;2621;692;1106;485;106;2223.0;47;61.0;1981.0;;;;;;;;;;18.0;;;;;;11.0;;;;;;27.0;;;;;;;;;;;;6040
Zwijndrecht-G0642;;67;3804;2809;2511;2108;513;1721.0;221;461.0;819.0;;465.0;;;;;;;;104.0;;70.0;;;;;;;;42.0;;;;;;;;;;;;;;18441
Zwolle-G0193;;133;8884;6088;8911;6432;3233;6744.0;1017;1041.0;343.0;;;;;;;;;;110.0;;;;;;144.0;;;;;;241.0;;;;;;;;;;;;44243
