RegioNaam;@invalid;@blank;RKSP;SDAP;ARP;CHU;Vrijzinnig-Democratische Bond (VDB);Nationaal-Socialistische Beweging (NSB);Liberale Staatspartij (LSP);Communistische Partij van Nederland;Christelijk-Democratische Unie;SGP;Revolutionair Socialistische Arbeiderspartij;Katholiek Democratische Partij;HGSP;Actie-Bouwman;Christelijk Nationale Actie;Algemeen Belang;Zwart Front;Plattelandersbond;VNH;Nationaal Socialistische Arbeiderspartij;@abs
Tilburg-G0855;607;1120;31174.0;2437.0;654.0;209.0;324.0;651.0;126.0;883.0;23.0;35.0;137.0;2786.0;9.0;44.0;16.0;36.0;1868.0;24.0;11.0;30.0;1354.0
Tubbergen-G0183;26;12;3912.0;56.0;40.0;193.0;36.0;47.0;8.0;9.0;21.0;6.0;3.0;99.0;6.0;12.0;;1.0;;3.0;;2.0;117.0
Tull en 't Waal-G1205;3;3;128.0;4.0;19.0;29.0;;3.0;;;1.0;1.0;;;16.0;;1.0;;;;;;16.0
Twisk-G0449;3;4;1.0;132.0;14.0;5.0;94.0;23.0;89.0;2.0;19.0;;1.0;;;;;;;7.0;;;32.0
Ubach over Worms-G0978;72;78;1333.0;216.0;26.0;29.0;;158.0;2.0;104.0;2.0;;;2.0;1.0;;;3.0;;2.0;1.0;47.0;69.0
Ubbergen-G0282;30;25;2168.0;46.0;68.0;23.0;23.0;91.0;27.0;5.0;3.0;;;6.0;;69.0;;3.0;;;1.0;;100.0
Uden-G0856;17;30;3177.0;29.0;3.0;;9.0;18.0;1.0;1.0;;1.0;;4.0;;293.0;;1.0;5.0;;4.0;;128.0
Udenhout-G0857;4;9;1744.0;17.0;2.0;1.0;;1.0;;1.0;;;;3.0;;25.0;;2.0;28.0;;;;70.0
Uitgeest-G0450;26;23;909.0;373.0;66.0;12.0;207.0;58.0;14.0;232.0;27.0;1.0;3.0;21.0;1.0;;;3.0;1.0;3.0;2.0;;86.0
Uithoorn-G0451;18;22;868.0;188.0;174.0;247.0;27.0;48.0;39.0;5.0;6.0;14.0;1.0;10.0;6.0;;3.0;2.0;1.0;1.0;;;71.0
Uithuizen-G0043;25;19;354.0;501.0;543.0;212.0;193.0;40.0;97.0;10.0;292.0;;2.0;3.0;;;;23.0;;3.0;2.0;;113.0
Uithuizermeeden-G0044;18;18;12.0;221.0;902.0;621.0;193.0;46.0;74.0;19.0;403.0;7.0;;1.0;2.0;;;9.0;;;;;111.0
Ulestraten-G0979;16;5;501.0;;;;1.0;6.0;;;;;;;;;;;;;1.0;;16.0
Ulrum-G0045;20;12;5.0;222.0;1004.0;126.0;94.0;109.0;103.0;21.0;299.0;;;;1.0;;1.0;18.0;;;1.0;;149.0
Urk-G0184;15;7;5.0;19.0;1281.0;126.0;6.0;41.0;3.0;3.0;14.0;95.0;;;;;;;;;;;88.0
Urmond-G0980;24;9;869.0;9.0;7.0;22.0;2.0;30.0;2.0;;;;1.0;;3.0;;;1.0;;;;;28.0
Ursem-G0452;5;7;444.0;55.0;12.0;2.0;76.0;7.0;;1.0;;;1.0;;1.0;;;2.0;;;;;28.0
Usquert-G0046;5;5;29.0;517.0;61.0;29.0;74.0;38.0;92.0;3.0;140.0;;;;;;;9.0;;;;;56.0
Utingeradeel-G0095;21;61;26.0;1004.0;364.0;321.0;596.0;44.0;84.0;42.0;138.0;23.0;3.0;2.0;7.0;;1.0;5.0;;12.0;1.0;;182.0
Utrecht-G0344;1200;1518;22254.0;23403.0;15374.0;4205.0;3981.0;3641.0;3283.0;1772.0;1241.0;720.0;305.0;623.0;271.0;;256.0;67.0;59.0;23.0;57.0;;4988.0
Vaals-G0981;157;116;2217.0;268.0;69.0;7.0;17.0;263.0;9.0;100.0;4.0;4.0;10.0;9.0;1.0;8.0;;2.0;37.0;4.0;9.0;3.0;127.0
Valburg-G0283;33;49;1039.0;359.0;619.0;479.0;55.0;107.0;55.0;;6.0;229.0;3.0;1.0;;121.0;10.0;1.0;1.0;30.0;2.0;;212.0
Valkenburg (Li)-G1252;8;29;838.0;21.0;16.0;3.0;14.0;125.0;2.0;10.0;2.0;;2.0;3.0;1.0;;;8.0;;;;;8.0
Valkenburg (ZH)-G0619;4;6;22.0;13.0;144.0;159.0;15.0;24.0;3.0;;6.0;21.0;1.0;;80.0;;;;;;;;17.0
Valkenswaard-G0858;61;90;3411.0;431.0;71.0;27.0;13.0;80.0;12.0;10.0;;2.0;1.0;51.0;2.0;73.0;1.0;8.0;10.0;;3.0;;89.0
Varik-G0284;21;20;118.0;113.0;112.0;83.0;41.0;7.0;5.0;;7.0;39.0;2.0;;1.0;1.0;;1.0;;18.0;;;73.0
Veen-G0859;12;16;1.0;15.0;60.0;16.0;;2.0;5.0;1.0;1.0;75.0;;1.0;148.0;1.0;4.0;1.0;30.0;6.0;;;77.0
Veendam-G0047;91;108;416.0;2900.0;829.0;239.0;769.0;571.0;205.0;175.0;774.0;10.0;26.0;16.0;10.0;;1.0;32.0;;3.0;2.0;;498.0
Veenendaal-G0345;75;112;177.0;773.0;2339.0;648.0;88.0;114.0;54.0;49.0;41.0;568.0;11.0;11.0;2.0;;114.0;23.0;2.0;2.0;;;
Veere-G0717;7;12;23.0;31.0;181.0;107.0;80.0;11.0;35.0;5.0;;48.0;1.0;;1.0;;;3.0;;2.0;;;27.0
Veghel-G0860;28;26;3415.0;33.0;30.0;19.0;25.0;16.0;1.0;10.0;2.0;3.0;;20.0;1.0;178.0;;5.0;3.0;2.0;7.0;;133.0
Veldhoven-G0861;13;32;3037.0;48.0;22.0;29.0;16.0;25.0;2.0;21.0;4.0;4.0;1.0;13.0;1.0;109.0;1.0;2.0;1.0;;;;65.0
Veldhuizen-G1207;1;4;185.0;19.0;58.0;54.0;4.0;20.0;3.0;;;7.0;;;;;2.0;;;1.0;;;5.0
Velp-G1208;2;1;347.0;1.0;2.0;;;2.0;;;;;;;;30.0;;;;;;;33.0
Velsen-G0453;332;412;4648.0;6540.0;3853.0;1597.0;1563.0;1502.0;448.0;1233.0;458.0;157.0;;;;;;;;;;;1172.0
Venhuizen-G0454;10;14;691.0;264.0;43.0;11.0;301.0;25.0;108.0;10.0;4.0;;7.0;3.0;;;1.0;6.0;1.0;9.0;2.0;;51.0
Venlo-G0983;179;317;9277.0;967.0;276.0;81.0;58.0;521.0;44.0;169.0;7.0;9.0;7.0;114.0;3.0;28.0;;6.0;11.0;12.0;10.0;12.0;460.0
Venray-G0984;34;43;4791.0;19.0;14.0;2.0;4.0;104.0;1.0;1.0;;;1.0;5.0;4.0;67.0;;11.0;4.0;1.0;4.0;;183.0
Vessem, Wintelre en Knegsel-G0862;0;1;673.0;;;;1.0;;;;;;;;;;;;;;;;21.0
Veur-G1209;8;8;1088.0;108.0;184.0;83.0;30.0;58.0;41.0;10.0;5.0;7.0;;45.0;22.0;;;;3.0;;7.0;;70.0
Vianen-G0620;17;20;360.0;362.0;314.0;98.0;38.0;62.0;64.0;7.0;7.0;122.0;;;;;;;;;;;137.0
Vierlingsbeek-G0863;3;3;760.0;6.0;7.0;1.0;2.0;11.0;1.0;;;;;2.0;;30.0;;;;;1.0;;76.0
Vierpolders-G0621;1;9;;155.0;102.0;27.0;58.0;21.0;49.0;36.0;2.0;;2.0;;;;1.0;5.0;;16.0;;;38.0
Vinkeveen en Waverveen-G0346;9;19;1052.0;50.0;277.0;107.0;15.0;120.0;26.0;3.0;4.0;121.0;2.0;2.0;66.0;;50.0;3.0;;6.0;;;97.0
Vlaardingen-G0622;164;185;1203.0;3998.0;3369.0;2830.0;299.0;263.0;437.0;120.0;641.0;698.0;33.0;120.0;45.0;;83.0;26.0;4.0;8.0;7.0;;978.0
Vlaardinger-Ambacht-G1210;28;20;315.0;461.0;594.0;472.0;91.0;76.0;76.0;5.0;62.0;72.0;;11.0;2.0;;5.0;;;3.0;;;2.0
Vlagtwedde-G0048;143;134;858.0;1440.0;911.0;487.0;620.0;773.0;93.0;261.0;878.0;8.0;7.0;6.0;53.0;;3.0;19.0;3.0;12.0;1.0;;467.0
Vledder-G0132;17;37;64.0;374.0;190.0;40.0;215.0;48.0;150.0;15.0;14.0;;23.0;2.0;8.0;;2.0;2.0;;3.0;2.0;1.0;106.0
Vleuten-G1211;11;16;768.0;109.0;236.0;257.0;27.0;62.0;24.0;4.0;3.0;22.0;2.0;1.0;2.0;;6.0;;;1.0;;;32.0
Vlieland-G0096;6;3;5.0;164.0;40.0;10.0;55.0;7.0;6.0;2.0;4.0;;;;;;;1.0;1.0;1.0;2.0;;32.0
Vlijmen-G0864;31;40;2801.0;29.0;12.0;22.0;5.0;25.0;;2.0;;;;12.0;;312.0;3.0;4.0;12.0;1.0;1.0;;172.0
Vlissingen-G0718;192;404;1250.0;3223.0;2931.0;1339.0;1222.0;285.0;364.0;114.0;53.0;144.0;70.0;22.0;8.0;;13.0;16.0;5.0;6.0;31.0;;943.0
Vlist-G0623;3;2;38.0;9.0;70.0;2.0;26.0;10.0;14.0;;;28.0;;1.0;;;18.0;;;1.0;;;16.0
Vlodrop-G0985;8;7;542.0;2.0;4.0;3.0;;14.0;;2.0;;;;1.0;;;;;1.0;;9.0;;11.0
Voerendaal-G0986;34;41;1491.0;21.0;6.0;;3.0;112.0;1.0;1.0;2.0;;1.0;4.0;;1.0;;;1.0;1.0;1.0;;53.0
Vogelwaarde-G0719;25;30;1730.0;12.0;24.0;25.0;7.0;27.0;15.0;2.0;;2.0;;8.0;1.0;;1.0;;;2.0;;;152.0
