RegioNaam;@invalid;@blank;CDA;PvdA;VVD;D66;SGP;PSP/CPN/PPR;Politieke Partij Radikalen (PPR);RPF/GPV;Gereformeerd Politiek Verbond (GPV);Communistische Partij van Nederland;Groenen;Pacifistisch-Socialistische Partij (PSP);PSP/CPN;SP;SGP-GPV-RPF;NL;Centrumdemocraten;RPF/SGP;Reformatorische Politieke Federatie (RPF);FNP;Evangelische Volkspartij (EVP);SAP;FPGB;HP;Centrumpartij;@abs
Opmeer-G0432;23;0;2404;1112;854;281;;;58.0;;;34.0;59.0;81.0;;0.0;35.0;;0.0;;;;;2.0;;;;2118.0
Opsterland-G0086;76;0;3447;6976;1870;524;;689.0;;;773.0;;;;;;;;;324.0;;571.0;;;;;;3949.0
Oss-G0828;96;0;7505;6022;2713;1334;;492.0;;;;;;;;4045.0;100.0;;;;;;;0.0;;;;13766.0
Ossendrecht-G0829;11;0;809;713;406;97;;34.0;;;;;;;;2.0;8.0;;;;;;;0.0;;;;1595.0
Oud- en Nieuw-Gastel-G0831;17;0;1571;1172;356;141;;47.0;;;;;;;;2.0;4.0;;;;;;;0.0;;;;2622.0
Oud-Beijerland-G0584;30;0;2646;2776;1795;822;1153.0;234.0;;269.0;;;62.0;;;18.0;;;53.0;;;;44.0;5.0;;;;4226.0
Oude Pekela-G0038;21;0;487;2960;275;139;;;38.0;;14.0;827.0;;32.0;;22.0;;;;67.0;;;;;24.0;;;1302.0
Oudenbosch-G0830;27;0;2458;1818;709;329;;150.0;;;;;;;;21.0;26.0;;;;;;;0.0;;;;3268.0
Ouder-Amstel-G0437;34;0;2091;1422;1524;665;;;124.0;;;59.0;79.0;95.0;;0.0;102.0;;53.0;;;;;0.0;;;;2722.0
Ouderkerk-G0644;17;0;1096;1131;760;210;858.0;64.0;;166.0;;;25.0;;;3.0;;;10.0;;;;7.0;2.0;;;;1469.0
Oudewater-G0589;27;0;1855;714;521;214;183.0;;98.0;75.0;;;;;30.0;1.0;;;6.0;;;;;;;2.0;;1414.0
