RegioNaam;@invalid;@blank;RKSP;SDAP;ARP;CHU;Vrijzinnig-Democratische Bond;Liberale Staatspartij;Nationaal-Socialistische Beweging;Communistische Partij van Nederland;Staatkundig Gereformeerde Partij;Christelijk-Democratische Unie;Revolutionair Socialistische Arbeiderspartij;Overige partij(en) met zetel(s);Overige partij(en) zonder zetel(s);@abs
Baarland-G0651;6;5;88.0;28.0;77.0;113.0;2.0;46.0;16.0;;35.0;;;;;36.0
Baarle-Nassau-G0744;7;30;1226.0;35.0;7.0;7.0;;5.0;10.0;;5.0;;;;;64.0
Baarn-G0308;102;198;1114.0;1482.0;1290.0;877.0;533.0;744.0;301.0;58.0;333.0;167.0;9.0;;;562.0
Baexem-G0886;3;5;541.0;;;3.0;;;;;;;;;;21.0
Baflo-G0004;21;15;1.0;256.0;568.0;39.0;93.0;129.0;32.0;5.0;;242.0;;;4.0;113.0
Bakel en Milheeze-G0745;8;7;1387.0;8.0;4.0;12.0;;12.0;3.0;;;;;26.0;;85.0
Barendrecht-G0489;43;46;21.0;253.0;1202.0;538.0;196.0;127.0;99.0;21.0;160.0;8.0;8.0;12.0;;187.0
Barneveld-G0203;47;82;406.0;540.0;1542.0;3069.0;80.0;110.0;195.0;9.0;799.0;20.0;2.0;;;797.0
Barradeel-G0062;28;39;22.0;510.0;1121.0;1118.0;373.0;84.0;21.0;13.0;;233.0;23.0;;358.0;243.0
Barsingerhorn-G0369;15;26;30.0;367.0;37.0;15.0;215.0;117.0;53.0;78.0;;3.0;9.0;27.0;;204.0
Barwoutswaarder-G1017;4;2;59.0;15.0;87.0;116.0;7.0;1.0;8.0;2.0;34.0;;;4.0;;27.0
Batenburg-G0204;2;2;163.0;2.0;8.0;27.0;;8.0;1.0;;;1.0;;;24.0;21.0
Bathmen-G0144;8;9;27.0;208.0;13.0;219.0;243.0;261.0;52.0;9.0;;2.0;;;;96.0
Bedum-G0005;20;13;129.0;467.0;1662.0;72.0;235.0;244.0;72.0;5.0;;244.0;;;13.0;218.0
Beegden-G0887;2;3;411.0;2.0;1.0;;;;5.0;;;;;6.0;;26.0
Beek-G0888;44;65;2214.0;53.0;3.0;85.0;;18.0;168.0;;;;;27.0;;218.0
Beek en Donk-G0746;9;10;1325.0;34.0;3.0;1.0;;5.0;6.0;;;;;2.0;;101.0
Beemster-G0370;37;25;673.0;373.0;129.0;38.0;851.0;383.0;215.0;54.0;4.0;18.0;63.0;1.0;;205.0
Beers-G0747;0;7;440.0;;;1.0;;;1.0;;;;;3.0;;13.0
Beerta-G0006;28;104;7.0;449.0;37.0;62.0;107.0;299.0;72.0;624.0;;68.0;;;26.0;220.0
Beesd-G0205;8;20;542.0;126.0;54.0;457.0;15.0;48.0;10.0;;22.0;5.0;;;;91.0
Beesel-G0889;24;24;1853.0;8.0;4.0;2.0;;5.0;54.0;;;;;;;115.0
Beets-G0371;1;5;3.0;74.0;2.0;5.0;86.0;41.0;24.0;;;3.0;12.0;;;29.0
Beilen-G0107;60;79;22.0;919.0;949.0;844.0;588.0;317.0;207.0;;;76.0;3.0;;;486.0
Belfeld-G0890;11;14;839.0;2.0;1.0;2.0;;;22.0;;;;;;;43.0
Bellingwolde-G1019;54;43;9.0;1443.0;195.0;155.0;246.0;208.0;169.0;349.0;;272.0;;;7.0;272.0
Bemelen-G0891;3;2;117.0;3.0;;1.0;;;3.0;;;;;;;3.0
Bemmel-G0206;44;23;2399.0;70.0;23.0;194.0;15.0;20.0;27.0;;12.0;;;;525.0;296.0
Bennebroek-G0372;26;18;468.0;52.0;207.0;71.0;107.0;78.0;48.0;11.0;7.0;73.0;17.0;4.0;;100.0
Benschop-G0309;2;20;310.0;12.0;242.0;116.0;28.0;52.0;10.0;2.0;160.0;;;;;66.0
Benthuizen-G0490;8;3;10.0;35.0;67.0;41.0;11.0;17.0;32.0;;193.0;;;44.0;;60.0
Berg en Terblijt-G0892;15;21;882.0;3.0;3.0;6.0;;;42.0;;;;;;;54.0
Bergambacht-G0491;19;54;8.0;438.0;473.0;61.0;196.0;125.0;111.0;10.0;346.0;1.0;4.0;7.0;;211.0
Bergen-G0373;50;87;1218.0;542.0;124.0;116.0;666.0;314.0;168.0;47.0;1.0;9.0;35.0;74.0;;309.0
Bergen-G0893;39;84;2166.0;38.0;25.0;14.0;;9.0;121.0;;;;;555.0;;208.0
Bergen op Zoom-G0748;151;279;8038.0;1340.0;517.0;192.0;;477.0;182.0;;9.0;;;;;1124.0
Bergeyk-G0749;6;7;1249.0;30.0;2.0;33.0;;7.0;3.0;;1.0;;;27.0;;150.0
Bergh-G0207;69;149;3525.0;265.0;18.0;79.0;68.0;42.0;393.0;;11.0;;;;360.0;298.0
Bergharen-G0208;8;3;702.0;2.0;;111.0;;;4.0;;;;;;6.0;51.0
Berghem-G0750;16;13;864.0;21.0;1.0;4.0;;3.0;18.0;;;;;194.0;;66.0
Bergschenhoek-G0492;18;36;311.0;114.0;179.0;459.0;40.0;9.0;38.0;12.0;65.0;2.0;1.0;53.0;;73.0
Berkel en Rodenrijs-G0493;16;9;928.0;56.0;500.0;379.0;39.0;24.0;27.0;4.0;30.0;;;43.0;;96.0
Berkel-Enschot-G0751;2;23;1103.0;23.0;7.0;1.0;;3.0;;;;;;;;74.0
Berkenwoude-G0494;2;4;3.0;34.0;64.0;5.0;26.0;154.0;31.0;;74.0;;;1.0;;58.0
Berkhout-G0374;13;14;680.0;256.0;19.0;7.0;259.0;165.0;69.0;4.0;;9.0;8.0;4.0;;79.0
Berlicum-G0752;23;20;1367.0;69.0;1.0;22.0;;4.0;34.0;;;;;92.0;;185.0
Best-G0753;24;27;2038.0;67.0;2.0;6.0;;8.0;36.0;;1.0;;;13.0;;211.0
Beugen en Rijkevoort-G1021;5;3;987.0;7.0;;2.0;;;;;;;;18.0;;54.0
Beuningen-G0209;23;50;1284.0;24.0;4.0;73.0;2.0;19.0;41.0;1.0;1.0;1.0;;;;102.0
Beusichem-G0210;16;28;52.0;215.0;59.0;114.0;71.0;149.0;24.0;7.0;48.0;76.0;1.0;;;63.0
Beverwijk-G0375;157;321;4384.0;2027.0;502.0;432.0;1062.0;239.0;291.0;542.0;21.0;180.0;145.0;21.0;;594.0
Bierum-G0008;8;46;1.0;141.0;916.0;437.0;53.0;105.0;65.0;15.0;;358.0;;1.0;3.0;227.0
Biervliet-G0652;39;47;314.0;235.0;36.0;119.0;91.0;122.0;40.0;;25.0;;;16.0;;110.0
Biggekerke-G1022;4;11;3.0;9.0;197.0;167.0;8.0;10.0;1.0;;66.0;;;1.0;;57.0
Bingelrade-G0894;2;0;262.0;4.0;;1.0;;;11.0;;;;;3.0;;10.0
Bladel en Netersel-G0754;6;4;1049.0;6.0;3.0;45.0;;4.0;;;1.0;;;6.0;;110.0
Blankenham-G0145;3;6;11.0;34.0;6.0;66.0;44.0;46.0;6.0;;;14.0;1.0;;;43.0
Blaricum-G0376;19;59;709.0;163.0;87.0;165.0;255.0;251.0;94.0;86.0;4.0;19.0;17.0;1.0;;208.0
Bleiswijk-G0495;12;7;309.0;52.0;200.0;225.0;61.0;70.0;20.0;;79.0;3.0;;24.0;;65.0
Bleskensgraaf en Hofwegen-G0496;2;5;;35.0;178.0;19.0;17.0;46.0;5.0;3.0;159.0;1.0;2.0;15.0;;136.0
Bloemendaal-G0377;56;144;1968.0;917.0;667.0;755.0;1069.0;1650.0;537.0;52.0;5.0;135.0;26.0;3.0;;1870.0
Blokker-G0378;3;13;781.0;72.0;6.0;4.0;164.0;109.0;33.0;1.0;2.0;3.0;3.0;;;43.0
Blokzijl-G0146;8;13;;101.0;115.0;124.0;79.0;26.0;23.0;1.0;11.0;25.0;1.0;;;28.0
Bocholtz-G0895;37;45;1179.0;24.0;1.0;4.0;;;63.0;;;;;;;67.0
Bodegraven-G0497;33;56;660.0;213.0;1106.0;431.0;117.0;154.0;122.0;33.0;172.0;15.0;2.0;141.0;;217.0
Boekel-G0755;15;11;1510.0;18.0;;6.0;;2.0;4.0;;;;;61.0;;197.0
Bolsward-G0064;38;68;1164.0;481.0;536.0;494.0;492.0;126.0;33.0;20.0;;65.0;6.0;;17.0;262.0
Borculo-G0211;29;61;268.0;611.0;404.0;243.0;338.0;810.0;131.0;16.0;;17.0;;;;
Borger-G0108;67;79;72.0;1548.0;673.0;659.0;437.0;622.0;495.0;71.0;;26.0;32.0;;;295.0
Borgharen-G0896;16;40;351.0;24.0;;3.0;;6.0;28.0;;;;;1.0;;37.0
Born-G0897;19;31;1205.0;15.0;;21.0;;6.0;72.0;;;;;12.0;;98.0
Borne-G0147;58;68;2644.0;603.0;153.0;282.0;141.0;56.0;169.0;69.0;30.0;543.0;8.0;;;292.0
Borssele-G1254;12;9;107.0;34.0;67.0;128.0;38.0;126.0;5.0;;168.0;;;;;92.0
Boskoop-G0499;30;63;788.0;393.0;894.0;599.0;156.0;584.0;128.0;20.0;177.0;22.0;2.0;39.0;;255.0
Bovenkarspel-G0379;10;11;972.0;109.0;16.0;5.0;162.0;30.0;14.0;2.0;;2.0;14.0;;;91.0
Boxmeer-G0756;9;61;1565.0;96.0;5.0;14.0;;19.0;13.0;;;;;14.0;;162.0
Boxtel-G0757;118;155;3983.0;227.0;19.0;59.0;;38.0;64.0;;4.0;;;196.0;;417.0
Brakel-G0212;15;33;2.0;178.0;175.0;259.0;5.0;23.0;35.0;;125.0;2.0;;;1.0;115.0
Brandwijk-G0500;0;15;4.0;24.0;163.0;29.0;15.0;48.0;7.0;1.0;68.0;;;46.0;;69.0
Breda-G0758;406;952;15810.0;4208.0;782.0;607.0;;1539.0;571.0;;67.0;;;;;1719.0
Breskens-G0655;28;51;79.0;493.0;177.0;292.0;200.0;337.0;33.0;;20.0;;;6.0;;186.0
Breukelen-Nijenrode-G1028;26;9;434.0;76.0;307.0;458.0;27.0;61.0;69.0;2.0;125.0;3.0;;;;97.0
Breukelen-Sint Pieters-G1029;8;4;89.0;46.0;98.0;136.0;8.0;32.0;9.0;;17.0;1.0;1.0;;;43.0
Brielle-G0501;27;37;140.0;398.0;200.0;391.0;310.0;241.0;35.0;13.0;8.0;6.0;7.0;11.0;;189.0
Broek in Waterland-G0380;4;27;25.0;135.0;84.0;177.0;291.0;48.0;40.0;8.0;;13.0;14.0;1.0;;55.0
Broek op Langendijk-G1031;8;8;13.0;120.0;488.0;278.0;105.0;14.0;26.0;7.0;2.0;6.0;12.0;2.0;;84.0
Broekhuizen-G0898;1;1;413.0;;;2.0;;1.0;12.0;;;;;7.0;;23.0
Broeksittard-G1032;7;8;347.0;4.0;;4.0;;1.0;8.0;;;;;13.0;;12.0
Brouwershaven-G0656;18;9;6.0;205.0;169.0;18.0;71.0;168.0;8.0;;9.0;;;;;76.0
Bruinisse-G0657;11;28;11.0;196.0;225.0;213.0;58.0;224.0;11.0;;274.0;;;44.0;;238.0
Brummen-G0213;92;197;325.0;1599.0;474.0;857.0;156.0;1105.0;301.0;13.0;5.0;15.0;9.0;;;374.0
Brunssum-G0899;171;250;3320.0;1075.0;202.0;342.0;;20.0;429.0;;;;;27.0;;275.0
Budel-G0759;22;24;1926.0;52.0;9.0;8.0;;12.0;4.0;;;;;45.0;;114.0
Buggenum-G1033;5;2;400.0;1.0;;6.0;;;1.0;;;;;1.0;;13.0
Bunde-G0900;16;39;552.0;8.0;1.0;1.0;;4.0;54.0;;;;;2.0;;47.0
Bunnik-G0312;6;18;498.0;114.0;125.0;152.0;34.0;40.0;36.0;;47.0;3.0;;;;88.0
Bunschoten-G0313;30;19;13.0;8.0;2164.0;49.0;3.0;6.0;40.0;;72.0;;;;;142.0
Buren-G0214;15;40;61.0;133.0;28.0;201.0;22.0;171.0;28.0;3.0;73.0;167.0;;;;80.0
Burgh-G1035;4;8;3.0;77.0;26.0;86.0;33.0;97.0;6.0;;14.0;;;;;33.0
Bussum-G0381;248;421;4088.0;2037.0;2194.0;1397.0;1225.0;1607.0;849.0;357.0;74.0;396.0;111.0;7.0;;1100.0
Buurmalsen-G0215;13;22;38.0;232.0;92.0;284.0;43.0;138.0;14.0;3.0;102.0;17.0;2.0;;;92.0
Cadier en Keer-G0901;0;0;419.0;6.0;1.0;2.0;;;21.0;;;;;;;
Cadzand-G0658;6;13;14.0;140.0;28.0;104.0;49.0;159.0;6.0;;11.0;;;2.0;;68.0
Callantsoog-G0382;9;15;55.0;260.0;23.0;2.0;158.0;12.0;4.0;1.0;;2.0;3.0;2.0;;43.0
Capelle aan den IJssel-G0502;241;0;60.0;1147.0;764.0;385.0;147.0;337.0;153.0;22.0;787.0;8.0;15.0;63.0;;500.0
Castricum-G0383;55;100;1727.0;601.0;130.0;97.0;294.0;80.0;93.0;64.0;2.0;39.0;11.0;11.0;;170.0
Chaam-G0760;6;2;779.0;36.0;13.0;48.0;;2.0;3.0;;;;;;;72.0
Clinge-G0659;11;58;1000.0;63.0;16.0;24.0;10.0;5.0;56.0;;11.0;;;91.0;;123.0
Coevorden-G0109;46;67;637.0;716.0;395.0;353.0;135.0;452.0;242.0;224.0;;;8.0;;;266.0
Colijnsplaat-G1038;25;33;5.0;53.0;274.0;306.0;30.0;250.0;2.0;;45.0;;;2.0;;126.0
