RegioNaam;@invalid;@blank;CDA;PvdA;SP;VVD;PVV;GL;CU;D66;PvdD;SGP;ETnNL;Fortuyn;Verenigde Senioren Partij;Ad Bos Collectief;Partij voor Nederland;Lijst Potmis;Nederland Transparant;Groen Vrij Internet Partij;Liberaal Democratische Partij;Lijst Poortman;Continue Directe Democratie Partij;LRVP - het Zeteltje;Solide Multiculturele Partij;Tamara's Open Partij;@abs
Uithoorn-G0451;;28;5049;2815;1821;3856;891;653;393;322;436;13;137;36;36.0;9.0;7.0;;2;8.0;3.0;7.0;3.0;;;1.0;3235
Urk-G0184;;0;3636;91;98;119;245;7;2118;6;9;3318;6;1;2.0;4.0;4.0;;0;3.0;0.0;2.0;0.0;;;;1247
Utrecht-G0344;;327;28605;41795;27294;24072;7682;20468;4877;8052;3399;444;770;195;166.0;103.0;61.0;171.0;22;;132.0;35.0;6.0;;;;46263
Utrechtse Heuvelrug-G1581;;35;9254;4926;3427;6640;1333;1860;1588;839;702;1095;167;51;23.0;17.0;16.0;5.0;1;;15.0;7.0;4.0;;;;5089
Vaals-G0981;;8;1167;1132;918;427;439;166;49;39;95;5;12;21;14.0;9.0;13.0;;1;;;0.0;;;;;1524
Valkenburg aan de Geul-G0994;;8;3493;1763;2586;1414;1105;375;152;118;205;4;23;16;23.0;6.0;7.0;;6;;;3.0;;;;;2366
Valkenswaard-G0858;;30;6270;3297;4050;3035;1165;493;243;190;251;12;69;50;29.0;;9.0;;18;;5.0;6.0;0.0;;;;4873
Veendam-G0047;;23;2506;6852;3699;1981;638;524;687;218;243;33;66;17;7.0;9.0;8.0;;2;;1.0;0.0;;;;;4505
Veenendaal-G0345;;45;12236;5576;3615;4477;1964;830;5127;368;358;3007;138;57;18.0;18.0;18.0;31.0;4;;3.0;4.0;3.0;;;;6649
Veere-G0717;;22;5004;1812;1390;2135;575;444;926;142;290;1724;71;20;15.0;;6.0;;6;;;0.0;;;;;2059
Veghel-G0860;;17;9085;3109;4421;2993;1083;509;203;414;207;16;70;49;34.0;;16.0;;6;;6.0;1.0;5.0;;;;4923
Veldhoven-G0861;;32;8651;4218;5547;4035;1655;769;439;316;342;18;132;79;38.0;;12.0;;13;;12.0;3.0;1.0;;;;6569
Velsen-G0453;;57;9241;8643;7185;7022;2979;1725;1305;837;970;52;247;81;80.0;66.0;30.0;;11;35.0;14.0;17.0;1.0;;;12.0;10068
Venlo-G0983;;88;13154;9381;9482;5989;9179;1763;555;799;707;35;142;63;64.0;53.0;31.0;;9;;;11.0;;;;;16932
Venray-G0984;;42;8523;3941;4418;2572;1767;612;214;344;230;20;79;47;27.0;13.0;5.0;;6;;;2.0;;;;;6060
Vianen-G0620;;12;3619;2294;1846;1861;741;372;455;158;196;284;46;27;14.0;7.0;3.0;9.0;1;;4.0;1.0;1.0;;;;2824
Vlaardingen-G0622;;60;9027;9811;8356;5401;4039;1502;1613;884;824;670;638;123;77.0;38.0;24.0;89.0;5;;13.0;7.0;3.0;;;;11664
Vlagtwedde-G0048;;19;2387;3371;1855;1061;507;288;416;74;194;23;39;13;11.0;7.0;4.0;;2;;2.0;3.0;;;;;2700
Vlieland-G0096;;3;148;188;116;193;24;38;15;20;17;1;0;1;4.0;0.0;0.0;;0;1.0;;0.0;;;;;76
Vlissingen-G0718;;34;5861;5800;5369;3359;1970;846;1013;302;746;426;152;76;56.0;;22.0;;11;;;6.0;;;;;8314
Vlist-G0623;;15;2224;907;672;1121;346;161;353;64;84;540;49;10;;1.0;1.0;0.0;0;;1.0;0.0;0.0;;;;831
Voerendaal-G0986;;8;2867;1688;1500;971;849;293;120;90;145;5;23;12;20.0;9.0;4.0;;2;;;1.0;;;;;1583
Voorschoten-G0626;;24;4340;2233;1571;3285;651;847;402;417;367;55;94;22;;4.0;5.0;11.0;2;;5.0;1.0;1.0;;;;2272
Voorst-G0285;;19;5600;3085;1952;2321;634;475;299;233;194;213;42;27;18.0;8.0;9.0;1.0;0;5.0;3.0;2.0;;;;;2928
Vught-G0865;;18;4586;2817;2847;2921;674;787;187;302;232;8;83;21;15.0;;13.0;;6;;2.0;4.0;0.0;;;;3474
Waalre-G0866;;10;3607;1524;1585;2173;520;431;167;219;171;12;60;18;33.0;;5.0;;0;;9.0;0.0;0.0;;;;1731
Waalwijk-G0867;;48;9027;4620;4949;3928;1770;663;916;451;343;492;200;55;43.0;21.0;;13.0;4;14.0;2.0;1.0;2.0;;;;7638
Waddinxveen-G0627;;38;5006;2551;1681;2505;965;458;1473;271;198;999;118;41;;10.0;6.0;3.0;8;;2.0;2.0;0.0;;;;3146
