RegioNaam;@invalid;@blank;CDA;PvdA;SP;VVD;PVV;GL;CU;D66;PvdD;SGP;ETnNL;Fortuyn;Verenigde Senioren Partij;Ad Bos Collectief;Partij voor Nederland;Lijst Potmis;Nederland Transparant;Groen Vrij Internet Partij;Liberaal Democratische Partij;Lijst Poortman;Continue Directe Democratie Partij;LRVP - het Zeteltje;Solide Multiculturele Partij;Tamara's Open Partij;@abs
Bergeijk-G1724;;12;5135;1343;1887;1533;670;204;112;92;101;5;38;22;21.0;;7.0;;15;;1.0;4.0;1.0;;;;2371
Bergen-G0893;;6;3111;1319;1463;784;733;161;48;59;94;3;29;8;4.0;7.0;4.0;;1;;;0.0;;;;;2445
Bergen-G0373;;19;5313;3543;2973;4740;1146;1421;276;459;638;11;147;31;23.0;24.0;14.0;;7;16.0;7.0;1.0;2.0;;;;3666
Bergen op Zoom-G0748;;35;9433;7628;7470;5976;2933;1122;530;759;569;47;211;110;39.0;16.0;;12.0;12;22.0;4.0;8.0;4.0;;;;11748
Bergschenhoek-G0492;;9;3386;1158;857;2195;763;292;506;144;162;53;151;60;;0.0;4.0;2.0;1;;1.0;0.0;1.0;;;;1637
Berkel en Rodenrijs-G0493;;21;4786;1558;1180;2370;819;424;964;217;211;84;188;82;;6.0;15.0;2.0;3;;2.0;4.0;0.0;;;;2177
Berkelland-G1859;;19;9707;6794;4716;4486;1056;803;563;339;323;41;80;60;22.0;6.0;14.0;7.0;6;10.0;6.0;7.0;;;;;5606
Bernheze-G1721;;31;7364;2351;4063;2335;910;401;144;162;170;4;69;34;16.0;;4.0;;1;;5.0;3.0;0.0;;;;4067
Bernisse-G0568;;13;2412;1284;1132;1576;820;192;307;104;151;77;148;35;14.0;2.0;9.0;0.0;2;;0.0;0.0;0.0;;;;1582
Best-G0753;;23;5859;2880;3161;2864;939;433;409;313;214;33;67;42;41.0;;12.0;;6;;3.0;4.0;1.0;;;;4020
Beuningen-G0209;;14;4673;3113;3259;2169;781;480;178;178;183;12;66;35;20.0;12.0;9.0;;0;;3.0;2.0;0.0;;;;3602
Beverwijk-G0375;;25;4991;4782;4202;3304;1614;955;332;460;466;14;131;46;33.0;33.0;16.0;;6;16.0;5.0;8.0;2.0;;;14.0;6110
Binnenmaas-G0585;;22;3585;2104;1631;2392;1000;395;616;167;220;635;185;39;12.0;8.0;2.0;0.0;2;;4.0;0.0;1.0;;;;2277
Bladel-G1728;;16;5115;1498;2227;1402;582;219;80;79;96;9;42;31;24.0;;6.0;;36;;2.0;1.0;0.0;;;;2927
Blaricum-G0376;;8;1718;899;682;1851;258;257;138;161;182;7;32;4;10.0;7.0;3.0;;0;0.0;0.0;6.0;0.0;;;1.0;810
Bleiswijk-G0495;;9;2422;768;566;1409;454;142;377;74;100;101;127;33;;5.0;7.0;1.0;1;;0.0;0.0;0.0;;;;915
Bloemendaal-G0377;;9;2979;1512;808;3740;313;716;234;489;301;13;55;3;16.0;7.0;3.0;;3;7.0;16.0;0.0;1.0;;;1.0;1336
Boarnsterhim-G0055;;10;2616;4177;2128;2006;342;528;320;179;140;20;30;15;6.0;10.0;8.0;;1;2.0;;2.0;;;;;2082
Bodegraven-G0497;;13;4279;1700;1077;1803;626;368;940;128;139;641;64;16;;2.0;7.0;0.0;0;;2.0;2.0;2.0;;;;2321
Boekel-G0755;;6;2812;661;1005;578;269;115;37;41;50;5;32;18;6.0;;2.0;;2;;0.0;1.0;1.0;;;;1262
Bolsward-G0064;;9;2125;1566;1153;484;199;188;248;60;55;12;19;9;6.0;3.0;1.0;;0;7.0;;0.0;;;;;1187
Borger-Odoorn-G1681;;15;3318;5866;2829;2458;729;550;736;192;285;34;53;26;;;13.0;;2;;4.0;4.0;;;;;3394
Borne-G0147;;8;5002;2738;2021;1547;557;393;311;197;112;17;36;20;9.0;2.0;3.0;;2;5.0;2.0;;0.0;;;;2146
Borsele-G0654;;12;4666;1870;1852;1555;658;327;522;111;265;1816;67;26;25.0;;11.0;;3;;;2.0;;;;;2764
Boskoop-G0499;;13;3363;1251;1022;1736;508;333;582;155;141;304;66;11;;4.0;5.0;5.0;2;;2.0;1.0;0.0;;;;1619
Boxmeer-G0756;;16;7179;2693;4255;2081;792;447;197;166;199;8;60;25;24.0;;3.0;;1;;1.0;1.0;0.0;;;;3413
Boxtel-G0757;;22;5685;3603;3841;2299;950;684;254;282;220;7;73;34;13.0;;12.0;;8;;1.0;5.0;3.0;;;;4670
Breda-G0758;;139;25038;20350;20065;17421;5616;4903;1397;2168;1703;91;540;201;108.0;60.0;;20.0;32;45.0;20.0;17.0;11.0;;;;29443
Breukelen-G0311;;14;3058;1235;851;1910;429;416;570;205;144;424;43;9;14.0;5.0;5.0;2.0;3;;1.0;2.0;1.0;;;;1442
Briefstemmen-G9999;;375;5905;4523;2460;7912;875;3096;985;1321;504;116;233;73;74.0;9.0;15.0;1.0;16;;48.0;2.0;2.0;;;;3581
Brielle-G0501;;18;2342;1738;1728;2150;935;286;226;154;191;27;146;48;18.0;3.0;5.0;0.0;4;;1.0;3.0;0.0;;;;2261
Bronckhorst-G1876;;12;9504;4753;3518;3737;781;680;560;294;339;131;85;47;10.0;8.0;9.0;2.0;3;4.0;2.0;0.0;;;;;4606
Brummen-G0213;;27;3280;3702;2388;2114;597;488;240;244;194;34;57;17;12.0;9.0;9.0;4.0;1;9.0;2.0;1.0;;;;;2812
Brunssum-G0899;;22;3664;4532;4567;1458;2301;487;356;108;309;25;56;32;48.0;16.0;9.0;;1;;;8.0;;;;;5386
Bunnik-G0312;;17;3312;1654;1061;1569;362;741;276;234;158;97;54;16;12.0;4.0;2.0;3.0;6;;0.0;1.0;0.0;;;;1108
Bunschoten-G0313;;12;6231;538;409;764;460;109;3628;52;57;269;28;9;4.0;5.0;0.0;0.0;0;;3.0;0.0;0.0;;;;1506
Buren-G0214;;11;4308;3494;1866;3313;1007;491;493;247;308;653;92;29;6.0;6.0;4.0;;2;;3.0;2.0;0.0;;;;3131
Bussum-G0381;;38;4726;3440;2415;4873;840;1278;569;687;579;65;100;45;24.0;9.0;4.0;;5;7.0;14.0;9.0;2.0;;;3.0;3703
Capelle aan den IJssel-G0502;;54;8749;8385;5592;5871;3205;1216;1740;587;868;1925;725;125;;24.0;20.0;12.0;10;;2.0;13.0;4.0;;;;10542
Castricum-G0383;;28;6783;4253;3161;4841;1030;1494;398;494;491;19;157;45;41.0;41.0;12.0;;9;8.0;1.0;7.0;1.0;;;;3192
Coevorden-G0109;;17;5763;6918;3369;3914;946;687;670;240;294;54;71;37;;;17.0;;7;;4.0;3.0;;;;;4817
Cranendonck-G1706;;16;4931;1892;2192;1665;811;238;150;119;194;4;64;26;24.0;;4.0;;4;;1.0;1.0;1.0;;;;3278
Cromstrijen-G0611;;6;2255;1645;1118;1662;553;206;360;103;125;473;102;28;2.0;8.0;2.0;0.0;2;;0.0;0.0;1.0;;;;1434
Cuijk-G1684;;22;4745;2675;3498;1688;687;500;96;281;175;5;55;37;14.0;;6.0;;1;;3.0;1.0;0.0;;;;3507
Culemborg-G0216;;18;3732;3679;2551;2583;1085;1086;513;344;246;131;77;16;15.0;8.0;6.0;;4;;4.0;4.0;0.0;;;;3440
Dalfsen-G0148;;12;7638;2536;1784;1894;507;341;1857;142;159;255;54;38;6.0;2.0;8.0;;1;3.0;0.0;;0.0;;;;2567
Dantumadeel-G0065;;12;4135;2819;1795;621;377;243;1558;59;92;441;30;18;2.0;1.0;13.0;;0;3.0;;2.0;;;;;2579
De Bilt-G0310;;38;7189;4642;3443;5976;1156;1869;1164;887;640;729;148;27;32.0;18.0;10.0;4.0;3;;12.0;6.0;1.0;;;;4095
De Marne-G1663;;8;1617;1815;1181;763;240;321;666;71;158;28;20;12;4.0;4.0;1.0;;3;;0.0;1.0;;;;;1474
De Ronde Venen-G0736;;25;8240;2582;2004;4999;1132;628;899;354;382;283;138;40;27.0;19.0;8.0;7.0;3;;7.0;6.0;1.0;;;;3863
De Wolden-G1690;;11;4490;3404;1822;3459;494;513;626;209;283;65;54;29;;;8.0;;3;;5.0;0.0;;;;;2596
Delft-G0503;;139;11447;13668;9783;8340;3177;4620;1927;2409;1292;261;476;115;64.0;41.0;21.0;33.0;14;;44.0;30.0;2.0;;;;13450
Delfzijl-G0010;;36;3205;5672;3233;1664;644;461;1076;302;228;20;77;27;18.0;19.0;12.0;;5;;1.0;2.0;;;;;4671
Den Helder-G0400;;49;7611;6560;6065;6297;2576;1034;1418;386;750;156;192;138;65.0;12.0;19.0;;16;33.0;11.0;8.0;2.0;;;;11726
Deurne-G0762;;24;8335;2720;3511;2255;1217;455;153;154;193;12;74;45;25.0;;7.0;;4;;7.0;2.0;1.0;;;;4989
Deventer-G0150;;61;11790;16658;11166;7371;2452;3682;1847;1609;909;68;234;86;60.0;24.0;23.0;;13;34.0;16.0;;5.0;;;;12858
Diemen-G0384;;19;2333;3445;2309;2645;975;941;278;309;394;15;102;27;31.0;7.0;12.0;;4;3.0;5.0;1.0;2.0;;;4.0;3705
Dinkelland-G1774;;16;10109;1862;1535;1785;596;290;195;94;107;10;36;19;10.0;5.0;2.0;;5;7.0;2.0;;3.0;;;;2497
Dirksland-G0504;;3;1340;783;621;516;333;75;442;32;72;994;38;12;6.0;3.0;8.0;1.0;0;;1.0;1.0;0.0;;;;938
Doesburg-G0221;;14;1449;1740;1778;818;290;252;198;253;113;14;30;15;3.0;2.0;2.0;12.0;1;1.0;1.0;0.0;;;;;1702
Doetinchem-G0222;;23;9578;8007;6453;4454;1373;1336;934;635;533;247;138;61;26.0;12.0;13.0;10.0;6;10.0;6.0;7.0;;;;;8846
Dongen-G0766;;34;4915;2714;3328;2119;849;394;275;248;200;20;41;38;15.0;10.0;;8.0;7;7.0;2.0;1.0;2.0;;;;3790
Dongeradeel-G0058;;8;6531;2843;2321;1031;457;424;1488;101;161;94;37;24;5.0;4.0;6.0;;3;5.0;;0.0;;;;;2941
Dordrecht-G0505;;89;13365;15420;12849;9116;4814;2873;3783;1673;1489;1550;635;184;230.0;42.0;30.0;104.0;21;;8.0;16.0;9.0;;;;19514
Drechterland-G0498;;18;4170;1658;1733;2461;703;448;165;162;203;8;71;29;30.0;11.0;4.0;;6;8.0;2.0;5.0;1.0;;;;2061
Drimmelen-G1719;;31;5384;3035;3194;2471;1244;408;214;207;241;19;106;49;25.0;7.0;;0.0;3;3.0;1.0;1.0;1.0;;;;3902
Dronten-G0303;;31;7932;3194;2656;4166;1101;647;1726;341;332;127;86;52;35.0;10.0;14.0;;3;11.0;0.0;7.0;2.0;;;;4556
Druten-G0225;;7;3388;2254;2245;1448;538;306;97;191;118;10;59;21;17.0;13.0;4.0;;3;;1.0;1.0;2.0;;;;2679
Duiven-G0226;;18;5186;2995;2722;2396;722;579;330;192;238;17;56;53;10.0;5.0;5.0;2.0;2;3.0;3.0;5.0;;;;;3117
Echt-Susteren-G1711;;27;6186;3962;3708;1904;2675;596;200;118;352;9;72;48;42.0;15.0;18.0;;7;;;2.0;;;;;5221
Edam-Volendam-G0385;;36;8576;1769;1406;3214;1425;460;236;152;298;12;115;54;22.0;13.0;4.0;;4;5.0;2.0;3.0;0.0;;;;3607
Ede-G0228;;59;21828;9130;6088;8875;2526;2249;7135;1002;865;6290;255;117;69.0;14.0;30.0;50.0;26;12.0;8.0;11.0;;;;;12209
Eemnes-G0317;;6;1824;799;715;1210;310;240;239;103;145;37;28;13;3.0;2.0;2.0;0.0;0;;3.0;4.0;0.0;;;;795
Eemsmond-G1651;;23;2509;3230;1762;937;277;383;1178;70;144;67;22;18;7.0;6.0;5.0;;6;;2.0;1.0;;;;;2085
Eersel-G0770;;15;5211;1309;1830;1569;498;273;127;139;120;5;63;29;11.0;;4.0;;12;;2.0;1.0;1.0;;;;2384
Eijsden-G0905;;13;2398;1558;1220;842;666;279;75;67;90;3;26;8;11.0;7.0;6.0;;1;;;1.0;;;;;1519
Eindhoven-G0772;;213;27929;24163;27810;15997;6967;6063;2250;3008;2059;117;644;303;356.0;;39.0;;41;;44.0;36.0;11.0;;;;39982
Elburg-G0230;;9;5105;1539;1087;1384;436;220;2506;59;132;1702;33;25;14.0;6.0;4.0;1.0;1;3.0;2.0;5.0;;;;;2306
Emmen-G0114;;56;15090;24446;12199;6072;3126;1896;2478;584;795;122;235;127;;;24.0;;15;;16.0;5.0;;;;;16663
Enkhuizen-G0388;;21;2499;2357;2210;1642;655;471;379;193;242;117;48;29;10.0;3.0;5.0;;2;8.0;1.0;5.0;0.0;;;;2642
Enschede-G0153;;130;17895;26319;17100;10668;4666;4088;4204;2445;1140;151;314;120;71.0;29.0;33.0;;15;44.0;37.0;;9.0;;;;26459
Epe-G0232;;16;6076;4553;2648;3556;959;609;1118;343;397;614;74;39;12.0;7.0;9.0;1.0;3;9.0;2.0;2.0;;;;;4596
Ermelo-G0233;;13;6837;1716;1500;2090;608;484;2135;123;267;751;93;32;7.0;2.0;2.0;1.0;3;6.0;3.0;8.0;;;;;3182
Etten-Leur-G0777;;37;6739;4712;4337;3729;1663;675;359;369;324;15;147;68;28.0;6.0;;4.0;6;10.0;0.0;4.0;2.0;;;;6971
Ferwerderadiel-G1722;;3;2176;1046;869;498;170;166;469;34;83;14;14;5;2.0;7.0;0.0;;0;1.0;;1.0;;;;;1211
Franekeradeel-G0070;;20;3932;3212;2247;1259;494;437;742;93;157;23;37;14;9.0;6.0;3.0;;1;3.0;;1.0;;;;;3016
Gaasterlân-Sleat-G0653;;4;2829;1070;903;728;257;231;329;56;94;128;36;15;4.0;1.0;2.0;;0;1.0;;1.0;;;;;1164
Geertruidenberg-G0779;;18;3506;2665;2818;1817;959;296;144;102;178;20;56;27;19.0;2.0;;1.0;13;2.0;0.0;2.0;0.0;;;;3549
Geldermalsen-G0236;;17;5131;2891;1812;3016;980;475;513;217;228;1296;82;28;12.0;4.0;5.0;;4;;1.0;1.0;0.0;;;;2661
Geldrop-Mierlo-G1771;;47;7385;3715;5128;3015;1474;860;363;314;341;12;106;49;52.0;;13.0;;1;;10.0;7.0;2.0;;;;5879
Gemert-Bakel-G1652;;22;7160;2429;3386;1805;1009;367;110;108;176;10;58;17;33.0;;5.0;;2;;3.0;2.0;1.0;;;;4422
Gennep-G0907;;9;3610;1884;1965;1094;564;244;88;245;129;1;39;8;1.0;7.0;5.0;;3;;;1.0;;;;;3085
Giessenlanden-G0689;;5;3196;1548;1002;1642;435;174;1014;83;117;383;76;18;10.0;3.0;7.0;1.0;0;;2.0;2.0;1.0;;;;1123
Gilze en Rijen-G0784;;12;4986;3055;3046;2127;1120;415;153;270;189;11;80;29;26.0;5.0;;2.0;4;9.0;4.0;2.0;2.0;;;;3370
Goedereede-G0511;;10;2555;831;600;1060;410;98;541;41;97;1565;54;18;5.0;2.0;2.0;0.0;1;;0.0;0.0;0.0;;;;1051
Goes-G0664;;32;6439;4244;3716;2925;1000;883;1164;303;494;1421;106;32;29.0;;9.0;;2;;;2.0;;;;;5422
Goirle-G0785;;8;4306;2657;2842;2058;828;524;111;192;186;4;102;27;7.0;6.0;;0.0;1;4.0;4.0;2.0;0.0;;;;3301
Gorinchem-G0512;;39;4281;4666;3468;2787;1075;675;1099;505;315;315;134;27;17.0;13.0;9.0;11.0;4;;3.0;4.0;2.0;;;;5428
Gouda-G0513;;73;9181;9798;6294;5490;3181;2336;2660;838;836;1571;378;86;;25.0;28.0;6.0;11;;16.0;7.0;8.0;;;;8915
Graafstroom-G0693;;2;2431;530;363;577;206;98;969;21;43;934;21;6;1.0;0.0;2.0;1.0;2;;2.0;0.0;1.0;;;;671
Graft-De Rijp-G0365;;8;1231;740;670;983;214;203;35;88;92;0;23;8;7.0;1.0;1.0;;0;10.0;0.0;1.0;0.0;;;;630
Grave-G0786;;7;2544;1187;1947;1205;408;243;88;104;105;3;30;19;9.0;;2.0;;0;;2.0;0.0;0.0;;;;1526
Groenlo-G0240;;21;8730;2864;3244;2453;607;376;153;146;154;8;46;40;20.0;5.0;5.0;0.0;3;6.0;1.0;3.0;;;;;3609
Groesbeek-G0241;;18;3675;3107;2318;1244;583;510;125;125;211;8;34;23;9.0;7.0;10.0;;1;;2.0;2.0;2.0;;;;2744
Groningen-G0014;;241;15839;34466;25371;14061;3006;11797;6404;3923;2324;207;459;132;90.0;59.0;40.0;;44;;50.0;17.0;;;;;28585
Grootegast-G0015;;7;2916;1277;905;576;267;176;869;42;101;56;24;13;2.0;3.0;3.0;;1;;1.0;4.0;;;;;1687
Gulpen-Wittem-G1729;;9;3256;1901;1689;910;1110;365;141;88;164;4;24;23;12.0;7.0;6.0;;0;;;2.0;;;;;1982
Haaksbergen-G0158;;11;6739;2804;2054;2060;820;415;248;258;145;5;47;34;10.0;4.0;7.0;;6;9.0;1.0;;0.0;;;;2842
Haaren-G0788;;7;3703;1163;1197;1291;365;236;84;83;108;5;35;11;8.0;;5.0;;4;;2.0;0.0;2.0;;;;1956
Haarlem-G0392;;153;15550;20753;17970;13396;4472;7226;2059;2819;2857;125;487;135;244.0;64.0;34.0;;10;70.0;59.0;33.0;14.0;;;24.0;22860
Haarlemmerliede en Spaarnwoude-G0393;;2;1066;523;436;791;254;174;64;69;79;8;24;12;6.0;3.0;2.0;;1;4.0;2.0;0.0;0.0;;;2.0;560
Haarlemmermeer-G0394;;124;22238;13504;9969;19418;5349;3053;2461;1453;1737;481;597;210;126.0;49.0;40.0;;20;48.0;20.0;19.0;5.0;;;14.0;18701
Haelen-G0914;;10;2079;896;989;825;749;186;83;47;100;5;18;16;14.0;4.0;1.0;;1;;;4.0;;;;;1608
Halderberge-G1655;;15;5531;3202;3273;2754;1382;380;213;169;217;17;100;62;14.0;19.0;;4.0;6;9.0;4.0;3.0;0.0;;;;5227
Hardenberg-G0160;;28;14419;6471;4398;3316;1174;599;5022;208;296;410;100;87;37.0;8.0;14.0;;7;29.0;4.0;;1.0;;;;6600
Harderwijk-G0243;;23;9171;3662;2823;3604;1167;825;2734;454;373;485;132;40;30.0;5.0;21.0;9.0;2;6.0;4.0;5.0;;;;;5512
Hardinxveld-Giessendam-G0523;;11;3242;1532;905;980;557;121;2002;49;95;1844;58;15;6.0;1.0;1.0;0.0;4;;1.0;2.0;1.0;;;;1617
Haren-G0017;;11;2854;3048;1371;2538;308;1077;819;434;230;53;51;13;11.0;7.0;4.0;;3;;3.0;1.0;;;;;1463
Harenkarspel-G0395;;4;3390;1413;1507;1893;616;424;145;153;174;4;59;23;14.0;8.0;3.0;;3;5.0;3.0;0.0;0.0;;;;1933
Harlingen-G0072;;6;2052;2710;1966;1138;421;358;474;114;171;10;23;18;8.0;9.0;6.0;;2;5.0;;3.0;;;;;2287
Hattem-G0244;;9;2251;1807;795;834;202;168;1392;108;84;108;14;7;1.0;3.0;1.0;4.0;1;4.0;0.0;2.0;;;;;1037
Heel-G1937;;8;1657;805;930;646;593;124;44;41;66;2;17;9;12.0;3.0;3.0;;1;;;4.0;;;;;1479
Heemskerk-G0396;;30;6137;4684;4168;3516;1471;1050;502;335;457;35;143;61;42.0;34.0;25.0;;3;18.0;5.0;3.0;1.0;;;11.0;5439
Heemstede-G0397;;19;4654;2585;1694;4684;519;1012;373;592;508;24;79;20;18.0;9.0;5.0;;2;11.0;17.0;1.0;1.0;;;1.0;2508
Heerde-G0246;;3;4136;2553;1074;1225;454;227;1582;97;184;219;30;19;8.0;4.0;7.0;2.0;1;3.0;4.0;0.0;;;;;2010
Heerenveen-G0074;;29;5335;9583;4372;3509;773;1016;1207;471;403;42;94;43;17.0;18.0;10.0;;6;12.0;;3.0;;;;;6135
Heerhugowaard-G0398;;36;8041;5644;5108;5261;1836;1222;757;502;599;37;175;75;55.0;16.0;18.0;;14;20.0;6.0;21.0;4.0;;;;7085
Heerlen-G0917;;87;9942;12067;16606;4137;5456;1594;717;422;854;41;152;104;191.0;62.0;28.0;;26;;;14.0;;;;;18334
Heeze-Leende-G1658;;17;4202;1249;1393;1608;461;278;111;139;126;7;31;16;13.0;;4.0;;6;;2.0;3.0;0.0;;;;1946
Heiloo-G0399;;20;4263;2662;1934;3204;638;868;303;306;341;17;106;26;24.0;34.0;7.0;;1;3.0;10.0;2.0;0.0;;;;2068
Helden-G0918;;13;4772;1528;1786;1220;1518;262;101;88;105;6;34;27;18.0;9.0;4.0;;4;;;1.0;;;;;3218
Hellendoorn-G0163;;11;11521;3711;2936;2136;797;545;1664;209;192;88;49;43;12.0;3.0;3.0;;3;16.0;5.0;;1.0;;;;3747
Hellevoetsluis-G0530;;28;4828;4754;4275;4340;2396;730;567;367;497;76;406;109;45.0;14.0;16.0;4.0;5;;5.0;3.0;2.0;;;;6757
Helmond-G0794;;63;12295;9633;11145;6301;3550;1292;544;592;613;22;207;97;96.0;;26.0;;17;;6.0;10.0;6.0;;;;16414
Hendrik-Ido-Ambacht-G0531;;17;4240;2267;1698;2315;1010;298;1076;160;208;1813;194;38;6.0;6.0;12.0;1.0;1;;1.0;0.0;1.0;;;;2749
Hengelo-G0164;;86;14106;11769;10135;6045;2371;2004;1741;1183;656;66;158;81;33.0;22.0;16.0;;11;27.0;5.0;;6.0;;;;10818
Het Bildt-G0063;;8;2048;1617;1288;664;268;196;276;49;76;7;19;7;3.0;6.0;3.0;;3;1.0;;1.0;;;;;1493
Heumen-G0252;;10;3678;1960;1831;1580;411;588;160;216;162;5;33;11;5.0;6.0;5.0;;1;;0.0;2.0;0.0;;;;1716
Heusden-G0797;;45;9070;4198;4555;4028;1704;742;374;390;311;45;173;67;39.0;;11.0;;7;;1.0;6.0;4.0;;;;6508
Heythuysen-G0920;;11;3138;910;1263;879;700;203;97;72;100;8;27;19;20.0;11.0;3.0;;6;;;1.0;;;;;1728
Hillegom-G0534;;16;4258;1918;1748;2572;845;515;239;172;305;64;105;46;;10.0;7.0;4.0;4;;4.0;3.0;1.0;;;;2546
Hilvarenbeek-G0798;;7;4112;1349;1632;1501;426;296;88;99;133;8;41;29;7.0;3.0;;0.0;0;5.0;0.0;0.0;2.0;;;;1553
Hilversum-G0402;;67;10991;10726;9084;9564;2594;3047;1915;1561;1311;214;246;107;70.0;34.0;23.0;;7;25.0;17.0;13.0;5.0;;;13.0;11528
Hof van Twente-G1735;;16;9213;4869;2612;3784;918;613;456;274;236;42;73;36;10.0;5.0;6.0;;6;8.0;2.0;;0.0;;;;3617
Hoogeveen-G0118;;21;10960;8412;4938;3250;1548;841;2857;345;344;376;115;83;;;17.0;;6;;7.0;4.0;;;;;7813
Hoogezand-Sappemeer-G0018;;26;2627;7824;4297;2205;770;763;1041;302;309;37;46;28;21.0;20.0;10.0;;9;;2.0;2.0;;;;;5863
Hoorn-G0405;;69;8719;9152;8018;6825;2241;2160;795;798;1010;41;245;104;164.0;26.0;20.0;;8;17.0;8.0;22.0;3.0;;;;10375
Horst aan de Maas-G1507;;16;7356;2007;3288;1745;1661;362;132;159;151;10;41;26;12.0;8.0;8.0;;3;;;5.0;;;;;4548
Houten-G0321;;32;7916;4849;3606;4741;1447;1616;1748;600;445;536;133;42;14.0;13.0;16.0;3.0;9;;6.0;0.0;1.0;;;;4526
Huizen-G0406;;33;7613;4359;3257;5288;1353;1093;1775;509;581;404;100;45;35.0;17.0;8.0;;5;4.0;6.0;14.0;4.0;;;0.0;4801
Hulst-G0677;;15;4991;3262;3359;1981;1039;368;182;107;256;21;74;48;21.0;;13.0;;2;;;3.0;;;;;4282
Hunsel-G0925;;8;1653;497;545;437;419;77;25;22;40;6;5;14;11.0;9.0;2.0;;1;;;5.0;;;;;808
IJsselstein-G0353;;38;5695;3878;2987;3555;1295;777;627;327;311;185;120;45;34.0;8.0;5.0;6.0;1;;7.0;3.0;0.0;;;;4499
Jacobswoude-G0645;;11;2814;774;736;1455;432;229;192;109;128;45;49;25;;5.0;4.0;0.0;0;;0.0;0.0;2.0;;;;1103
Kampen-G0166;;21;9648;5051;3826;2275;1051;854;5045;264;297;2534;88;45;15.0;7.0;12.0;;4;9.0;5.0;;1.0;;;;5100
Kapelle-G0678;;12;2738;1052;859;1031;371;191;492;52;116;740;26;11;4.0;;1.0;;1;;;1.0;;;;;1137
Katwijk-G0537;;47;16552;3554;3079;3810;1910;603;4195;240;538;2594;180;56;;14.0;15.0;2.0;6;;12.0;0.0;3.0;;;;7549
Kerkrade-G0928;;43;5422;7652;6819;1942;3499;651;255;109;461;16;73;69;67.0;35.0;19.0;;11;;;8.0;;;;;9484
Kessel-G0929;;6;1119;381;392;311;362;27;11;20;23;1;9;3;1.0;2.0;1.0;;0;;;0.0;;;;;569
Kollumerland en Nieuwkruisland-G0079;;22;3310;1508;1169;542;273;206;781;47;95;68;19;18;2.0;4.0;6.0;;1;4.0;;0.0;;;;;1926
Korendijk-G0588;;7;1791;984;787;1049;492;154;396;74;127;1067;101;17;4.0;3.0;1.0;0.0;0;;0.0;1.0;0.0;;;;1169
Krimpen aan den IJssel-G0542;;17;4412;3390;2094;2536;1237;507;1402;206;295;2159;218;42;;9.0;8.0;4.0;3;;8.0;2.0;1.0;;;;3197
Laarbeek-G1659;;15;5261;2035;2671;1627;839;300;101;126;142;16;71;38;18.0;;4.0;;4;;1.0;0.0;2.0;;;;3323
Landerd-G1685;;7;4088;1201;1938;1238;423;206;69;66;63;7;38;14;4.0;;7.0;;0;;2.0;5.0;2.0;;;;1750
Landgraaf-G0882;;26;5029;5760;5927;1918;3004;718;258;148;411;35;57;49;31.0;34.0;17.0;;3;;;5.0;;;;;6815
Landsmeer-G0415;;11;1155;1648;845;1732;462;360;89;153;201;16;39;9;21.0;9.0;1.0;;2;6.0;2.0;4.0;0.0;;;;1115
Langedijk-G0416;;14;4882;2480;2559;3320;991;786;592;259;291;21;113;40;18.0;5.0;8.0;;4;16.0;1.0;1.0;2.0;;;;2734
Laren-G0417;;10;2200;925;656;2481;232;298;98;185;212;7;25;10;9.0;2.0;2.0;;0;0.0;1.0;18.0;0.0;;;0.0;1133
Leek-G0022;;10;2787;3379;1944;1476;387;489;1143;151;133;69;38;27;8.0;7.0;7.0;;1;;1.0;3.0;;;;;2388
Leerdam-G0545;;20;3507;2451;1586;1628;801;270;864;314;146;789;69;38;5.0;8.0;8.0;126.0;0;;2.0;0.0;0.0;;;;2547
Leeuwarden-G0080;;65;10062;18930;12531;5747;2047;3473;2558;858;1034;92;247;86;37.0;32.0;25.0;;5;37.0;;18.0;;;;;15091
Leeuwarderadeel-G0081;;16;1807;2084;1144;708;208;221;356;67;99;14;29;6;7.0;3.0;3.0;;2;1.0;;0.0;;;;;964
Leiden-G0546;;169;11701;17635;12062;10608;3588;7158;2045;3191;1907;210;469;91;;54.0;34.0;102.0;10;;51.0;12.0;7.0;;;;17348
Leiderdorp-G0547;;39;4276;3176;2201;3188;772;996;540;476;336;132;119;26;;3.0;8.0;1.0;2;;3.0;3.0;3.0;;;;3006
Leidschendam-Voorburg-G1916;;74;12497;7820;5800;10088;2886;2227;1199;1182;1390;120;393;96;;23.0;35.0;17.0;6;;27.0;10.0;6.0;;;;9630
Lelystad-G0995;;75;7247;9424;7370;6692;2763;1706;1775;755;1013;148;202;105;107.0;35.0;32.0;;9;40.0;11.0;35.0;4.0;;;;13018
Lemsterland-G0082;;6;2573;1996;1332;1190;329;181;353;90;149;27;20;11;12.0;3.0;4.0;;1;4.0;;1.0;;;;;1716
Leusden-G0327;;31;6145;2898;2126;3558;692;889;1196;411;369;245;110;24;17.0;4.0;9.0;0.0;4;;4.0;4.0;0.0;;;;2475
Liemeer-G1673;;5;1866;338;408;784;300;109;158;53;68;35;37;12;;0.0;2.0;0.0;1;;0.0;0.0;0.0;;;;921
Liesveld-G0694;;8;2191;803;487;779;263;97;852;31;61;655;21;22;2.0;0.0;5.0;1.0;1;;2.0;2.0;0.0;;;;845
