RegioNaam;@invalid;@blank;PvdA;VVD;CDA;FvD;GL;D66;CU-SGP;PvdD;50+;PVV;SP;Volt;DENK;vandeRegio & Piratenpartij;DG;JEZUS LEEFT;@abs
Heerlen-G0917;47;38;8091;1586;1795;3089;1339;686;235;1140;826;1765;2069;209;86;50;30;29;46071
Heeze-Leende-G1658;15;16;1127;1037;970;507;385;422;41;180;496;153;170;118;3;2;9;3;7084
Heiloo-G0399;10;17;2386;1897;1018;1002;1157;858;200;492;394;203;165;226;10;12;19;22;8643
Hellendoorn-G0163;18;14;1754;1462;4473;1164;736;495;728;221;396;327;331;99;14;12;16;20;15933
Hellevoetsluis-G0530;19;19;1915;2012;813;2540;631;567;323;445;720;720;399;143;168;44;18;22;19925
Helmond-G0794;47;62;3846;3158;2084;3125;1729;1296;213;670;2423;1240;1283;378;335;40;31;22;44705
Hendrik-Ido-Ambacht-G0531;14;16;1224;1538;1043;1286;435;451;2588;249;401;346;199;83;33;11;2;24;13109
Hengelo-G0164;62;56;4949;3042;4470;2646;2326;1564;708;837;798;778;1513;367;413;51;52;34;38351
Het Hogeland-G1966;33;44;3799;1536;2845;1200;1789;597;2203;797;415;479;824;161;5;27;26;26;21073
Heumen-G0252;12;7;1520;1041;889;543;897;625;64;240;244;155;219;119;9;5;14;3;6472
Heusden-G0797;23;19;2416;2411;1878;1489;890;839;186;399;787;513;528;203;123;24;19;18;21476
Hillegom-G0534;17;7;1171;1439;993;1085;576;505;171;333;416;298;157;130;18;16;16;8;9308
Hilvarenbeek-G0798;7;11;1079;951;1185;395;406;376;34;156;257;133;173;91;2;7;8;2;6975
Hilversum-G0402;70;63;5721;5195;2170;2864;4431;3614;1118;1691;1297;901;811;751;366;85;70;39;34225
Hoeksche Waard-G1963;50;36;4317;4701;3687;4137;1603;1458;4985;1035;1205;1058;683;305;22;40;39;59;39375
Hof van Twente-G1735;23;11;2153;1763;5095;1207;653;625;245;249;297;276;292;120;41;18;16;13;14789
Hollands Kroon-G1911;22;33;2738;2711;2043;2363;882;665;411;452;750;686;428;187;10;27;27;27;24036
Hoogeveen-G0118;36;22;2596;1628;3158;2304;881;530;1995;357;521;726;842;122;34;26;14;64;27328
Hoorn-G0405;45;52;4850;3264;1708;2875;2454;1549;458;1085;1330;800;948;448;226;77;43;31;33078
Horst aan de Maas-G1507;16;29;2826;1400;3085;1253;744;630;79;321;535;460;660;132;6;13;10;11;20613
Houten-G0321;26;23;3338;3013;2204;1614;2492;1625;2061;621;562;412;375;332;35;39;32;15;18294
Huizen-G0406;18;27;2570;2813;1695;1766;1142;948;1459;583;643;450;255;258;90;23;17;32;17475
Hulst-G0677;17;14;1540;998;1227;981;471;338;76;279;784;455;359;133;3;11;12;10;12960
IJsselstein-G0353;16;11;1877;2116;1285;1238;960;782;495;377;446;325;257;195;94;18;14;15;15471
Kaag en Braassem-G1884;14;14;1417;1880;1771;1295;623;687;208;314;509;337;215;175;6;16;9;9;11579
Kampen-G0166;24;28;2112;1528;2989;1863;1313;525;5820;372;441;547;402;181;127;20;25;53;21810
Kapelle-G0678;10;7;643;653;729;444;226;192;1150;129;192;135;94;65;1;7;9;7;5030
Katwijk-G0537;41;32;2055;2446;3962;3534;802;643;4974;498;878;661;328;232;76;23;19;59;27630
Kerkrade-G0928;29;23;4612;539;952;1728;473;208;59;476;351;1221;731;83;31;15;13;20;23504
Koggenland-G1598;13;9;1468;1627;1346;905;503;412;93;268;431;253;204;111;6;26;15;7;9965
Krimpen aan den IJssel-G0542;28;12;1530;1415;936;1486;544;502;3055;317;443;427;235;137;38;13;7;18;11499
Krimpenerwaard-G1931;42;29;3180;3222;2733;2363;1116;997;4040;677;889;699;419;246;48;30;18;47;22752
Laarbeek-G1659;12;12;1234;858;1100;724;397;371;42;191;768;250;338;107;10;6;6;6;11157
Landerd-G1685;11;9;809;818;973;412;273;312;32;105;246;167;354;51;4;4;5;3;7627
Landgraaf-G0882;21;20;3926;752;949;1499;474;226;74;412;382;1046;526;80;13;16;10;19;19952
Landsmeer-G0415;7;8;1060;681;257;628;480;363;66;237;160;149;114;87;12;7;7;4;3713
Langedijk-G0416;24;12;1964;1821;1051;1268;882;586;423;387;486;355;269;184;4;28;9;20;11958
Lansingerland-G1621;47;37;2742;4526;2726;2635;1434;1517;1710;624;881;666;313;275;111;37;21;23;24167
Laren-G0417;8;13;673;1641;506;558;263;435;62;197;132;97;62;140;8;4;5;4;3910
Leeuwarden-G0080;68;79;10483;4745;3989;4031;4815;2416;1994;1970;1162;1175;1689;651;97;111;75;50;56547
Leiden-G0546;85;119;9587;6027;2860;3871;10185;6070;1245;2725;1086;1053;1335;1763;358;129;141;34;45072
Leiderdorp-G0547;16;20;2149;1761;1031;1128;1208;841;363;400;438;279;246;231;61;14;23;14;10605
Leidschendam-Voorburg-G1916;42;58;4843;6054;2683;3075;2625;2683;698;1169;1075;957;679;571;117;40;52;36;28858
Lelystad-G0995;43;50;3993;2920;1681;3533;1628;1051;1276;969;1257;1260;954;310;376;61;39;72;35605
Leudal-G1640;22;27;2681;1064;2987;1197;557;593;84;337;436;579;280;125;3;8;14;14;17603
Leusden-G0327;27;21;2139;2132;1657;1117;1339;923;1128;433;396;232;385;266;14;23;19;10;11183
Lingewaard-G1705;37;44;3130;2554;1932;1610;1295;1038;192;434;683;431;592;216;30;16;23;8;22119
Lisse-G0553;18;10;1193;1475;1319;1214;498;560;819;281;445;275;196;96;11;17;13;13;9179
Lochem-G0262;28;19;2917;2541;2494;968;1513;1078;270;524;367;220;331;287;66;17;18;4;13447
Loon op Zand-G0809;11;10;1248;1200;1052;765;475;428;105;207;365;361;253;99;19;10;3;2;11727
Lopik-G0331;14;12;489;696;1051;592;168;143;1067;106;162;215;79;48;10;7;2;17;6264
Loppersum-G0024;9;4;744;295;662;195;395;107;411;165;93;85;210;42;1;13;4;11;4288
Losser-G0168;9;13;1099;844;2293;865;313;294;93;130;252;276;217;47;17;7;5;7;11161
Maasdriel-G0263;13;7;1228;1193;1104;1137;392;401;353;215;313;384;246;102;9;9;9;6;11587
Maasgouw-G1641;25;23;2002;634;1571;941;313;262;48;279;332;481;168;88;8;11;5;3;12494
Maassluis-G0556;18;14;1766;1554;1391;1458;537;497;632;342;528;458;312;127;420;13;8;18;14962
