RegioNaam;@invalid;@blank;PvdA;VVD;CDA;FvD;GL;D66;CU-SGP;PvdD;50+;PVV;SP;Volt;DENK;vandeRegio & Piratenpartij;DG;JEZUS LEEFT;@abs
Vlieland-G0096;1;1;128;110;34;48;74;57;8;27;22;13;12;12;0;1;1;1;364
Vlissingen-G0718;30;17;2643;1444;1094;1570;895;569;828;551;790;554;539;166;96;22;26;36;22053
Voerendaal-G0986;4;8;1740;429;676;426;256;191;26;183;144;213;143;53;0;5;5;1;5631
Voorschoten-G0626;17;18;2012;2242;1190;1047;1190;959;242;374;362;263;222;196;42;21;19;10;8609
Voorst-G0285;13;16;1654;1530;1687;742;673;642;419;231;337;209;211;128;29;8;10;9;10868
Vught-G0865;14;17;2205;1992;864;711;1033;1010;81;350;275;211;371;244;8;12;19;6;10914
Waadhoeke-G1949;23;13;3310;2287;2703;1523;1006;577;994;471;420;466;640;164;15;17;19;19;21027
Waalre-G0866;11;13;1233;1384;739;531;655;638;85;227;391;153;201;205;3;6;14;8;6738
Waalwijk-G0867;26;23;2034;2213;1607;1600;819;760;886;410;753;632;515;134;163;18;17;16;24286
Waddinxveen-G0627;10;11;1285;1415;1217;1219;543;541;2276;285;439;323;162;111;68;10;9;32;11603
Wageningen-G0289;26;35;3209;1681;1164;770;4161;2056;761;718;324;191;424;692;33;40;53;7;11992
Wassenaar-G0629;24;15;1310;3076;1156;1351;579;818;163;356;327;295;133;207;6;11;20;7;8269
Waterland-G0852;11;10;1686;1110;921;916;822;458;121;348;253;226;178;151;5;18;9;12;6411
Weert-G0988;29;28;2883;1608;4196;2074;835;725;105;428;541;746;511;196;175;26;8;10;24066
Weesp-G0457;8;15;1598;1030;694;676;980;630;135;328;283;186;181;133;60;14;10;8;7651
West Betuwe-G1960;30;18;2702;2865;2355;2580;1045;902;3037;497;655;699;353;206;37;29;27;25;20933
West Maas en Waal-G0668;11;13;1084;1153;924;779;381;330;55;159;317;240;263;102;1;10;4;6;9570
Westerkwartier-G1969;37;30;4228;2303;3602;1886;2169;940;3232;681;603;527;844;222;20;40;25;36;27514
Westerveld-G1701;11;11;1771;1415;1069;742;849;403;293;457;260;235;273;93;1;13;20;16;8086
Westervoort-G0293;7;16;1076;543;574;594;442;250;125;184;227;203;229;59;18;6;8;4;7366
Westerwolde-G1950;6;24;1658;728;1053;1154;496;217;338;432;298;463;467;71;5;16;10;11;12638
Westland-G1783;66;61;3934;7127;8064;5965;1488;1494;1966;916;1499;1438;480;408;107;35;28;49;46258
Weststellingwerf-G0098;16;17;1936;1548;1264;1085;577;272;287;353;301;365;376;97;13;15;19;9;12188
Westvoorne-G0614;9;12;944;1374;603;1003;242;311;116;252;237;223;141;70;0;7;8;2;6433
Wierden-G0189;11;18;893;1056;3465;789;323;296;1122;92;226;208;142;58;1;5;13;31;10151
Wijchen-G0296;21;30;3026;2185;1831;1495;1093;905;149;422;636;491;523;206;53;20;18;10;19209
Wijdemeren-G1696;14;11;1587;2034;1193;1127;691;697;315;383;337;240;155;195;7;14;14;8;9987
Wijk bij Duurstede-G0352;10;10;1646;1465;1060;882;850;483;543;290;318;260;213;149;9;19;6;10;10433
Winterswijk-G0294;16;14;2274;1496;1950;851;762;558;178;255;311;277;298;133;46;15;19;10;13266
Woensdrecht-G0873;13;17;1067;951;739;923;236;421;63;191;328;376;213;60;13;10;12;3;10718
Woerden-G0632;32;23;2977;3072;3906;1777;1839;1344;2020;627;501;487;368;386;104;24;32;44;19954
Wormerland-G0880;14;8;1354;847;453;663;608;345;162;273;294;191;238;98;14;14;14;12;7430
Woudenberg-G0351;8;1;564;668;714;452;211;180;1820;121;120;109;80;40;5;5;5;9;4718
Zaanstad-G0479;94;58;9403;5510;2804;5741;4888;2384;1157;2278;2399;2030;2099;797;1329;148;99;83;71666
Zaltbommel-G0297;19;14;1476;1106;1090;846;603;459;2367;304;290;257;217;143;11;6;14;13;11636
Zandvoort-G0473;23;9;997;1297;374;1144;378;346;68;294;232;336;158;133;16;6;8;8;7603
Zeewolde-G0050;17;24;988;1371;1062;974;497;356;941;215;317;228;130;139;26;9;8;16;8780
Zeist-G0355;49;39;4204;4614;2048;2129;3608;2468;1524;1221;653;563;534;606;182;43;52;19;23676
Zevenaar-G0299;15;26;3063;1883;1871;1620;978;750;160;423;613;568;523;163;48;17;24;11;22207
Zoetermeer-G0637;80;61;6994;6063;2962;5932;2964;2558;1868;1558;2169;1658;1294;666;266;93;68;84;58387
Zoeterwoude-G0638;5;10;608;535;585;346;304;239;80;106;122;72;70;59;10;6;6;6;3534
Zuidplas-G1892;23;27;1963;2588;1705;1794;830;790;2754;486;620;425;321;205;66;14;17;37;17924
Zundert-G0879;19;15;900;1184;1302;707;333;368;44;207;289;289;229;67;8;6;10;4;11059
Zutphen-G0301;27;30;4136;1827;1448;1325;2739;1189;582;1147;530;371;896;395;196;30;42;25;20304
Zwartewaterland-G1896;20;11;748;569;1354;682;213;119;3627;105;155;207;140;35;1;1;4;16;8573
Zwijndrecht-G0642;22;22;1943;1778;1429;1756;690;631;1953;404;640;543;391;151;188;24;18;27;21946
Zwolle-G0193;69;100;8788;5841;4736;3198;7247;3364;5764;1802;1214;996;1305;797;378;100;93;116;52024
