RegioNaam;@invalid;@blank;CDA;PvdA;VVD;D66;SGP;PvdA/PPR;Communistische Partij van Nederland;Politieke Partij Radikalen (PPR);Pacifistisch-Socialistische Partij (PSP);Gereformeerd Politiek Verbond (GPV);Boeren Partij;Reformatorische Politieke Federatie (RPF);Fryske Nasjonale Partij;Democratisch Socialisten '70;SGP/RPF;Conservatieve Volkspartij;Lijst de Boer;Gronneger Bond;Internationale Kommunistenbond;Christen Democraten Unie;Lijst Wartena;Lijst Hofman;@abs
Blaricum-G0376;31;4;1483;1148;2039;573;21.0;0;38;96;93;12;68;13;0;28;0;0.0;0;0;0;0;0;0;1289
Bleiswijk-G0495;4;12;1756;634;1000;304;231.0;0;6;33;19;31;15;10;0;0;0;3.0;0;0;0;0;0;0;616
Bleskensgraaf en Hofwegen-G0496;9;1;444;240;152;45;338.0;0;6;13;6;13;9;6;0;0;0;2.0;0;0;0;0;0;0;177
Bloemendaal-G0377;67;34;3166;1714;4867;795;34.0;0;45;165;160;44;50;15;0;52;0;0.0;0;0;5;0;0;0;2225
Blokker-G0378;0;6;1101;413;411;136;2.0;0;13;35;20;2;15;0;0;1;0;0.0;0;0;0;0;0;0;447
Bocholtz-G0895;16;38;1595;979;195;53;0.0;0;51;34;11;0;0;0;0;0;0;3.0;0;0;0;0;0;0;565
Bodegraven-G0497;20;11;3726;1643;1539;421;514.0;0;27;109;82;74;37;67;0;0;0;2.0;0;0;0;0;0;0;1885
Boekel-G0755;14;7;2930;570;367;67;0.0;0;6;33;29;2;25;0;0;0;0;4.0;0;0;0;3;0;0;1037
Bolsward-G0064;12;8;2810;1671;452;157;0.0;0;24;79;24;27;0;0;227;0;32;0.0;0;0;0;0;3;0;1191
Borculo-G0211;15;11;1730;2262;1401;295;12.0;0;21;65;34;23;62;5;0;0;0;2.0;0;0;0;0;0;0;806
Borger-G0108;28;10;1672;3675;1294;256;0.0;0;63;85;43;52;0;34;0;0;0;0.0;203;0;0;0;0;0;967
Born-G0897;14;39;3041;865;299;89;0.0;0;26;51;34;0;0;0;0;0;0;13.0;0;0;0;0;0;0;690
Borne-G0147;18;17;5897;3150;1181;509;30.0;0;55;162;55;36;41;14;0;0;0;3.0;0;0;0;0;0;0;1371
Borsele-G0654;26;6;4851;2142;1204;316;1172.0;0;22;204;43;116;66;0;0;0;0;5.0;0;0;0;0;0;0;2082
Boskoop-G0499;12;13;3086;1432;1808;391;323.0;0;22;86;108;31;24;28;0;0;0;2.0;0;0;0;0;0;0;1450
Bovenkarspel-G0379;12;2;1578;1383;750;336;11.0;0;88;74;55;3;17;4;0;21;0;0.0;0;0;0;0;0;0;1257
Boxmeer-G0756;22;15;4016;1700;633;224;0.0;0;16;91;81;4;37;0;0;0;0;7.0;0;0;0;3;0;0;1621
Boxtel-G0757;18;63;5464;3573;1334;687;14.0;0;26;188;102;17;95;0;0;0;0;9.0;0;0;0;29;0;0;3826
Brakel-G0212;12;9;877;1076;247;73;952.0;0;1;26;13;16;40;10;0;0;0;4.0;0;0;0;0;0;0;706
Brandwijk-G0500;0;7;253;122;106;21;138.0;0;0;7;4;2;13;5;0;0;0;0.0;0;0;0;0;0;0;87
Breda-G0758;264;194;22617;22874;11329;3476;139.0;0;336;866;995;93;387;0;0;0;0;68.0;0;0;0;24;0;0;21578
Brederwiede-G0194;11;9;2791;2016;864;230;80.0;0;38;41;37;536;27;46;0;0;0;1.0;0;0;0;0;0;0;1047
Breukelen-G0311;15;10;2130;0;1383;437;356.0;1132;18;0;56;52;13;50;0;10;0;5.0;0;0;0;0;0;0;1314
Brielle-G0501;15;6;1289;2243;1492;465;54.0;0;25;72;41;12;15;29;0;0;0;0.0;0;0;0;0;0;0;1270
Broek in Waterland-G0380;8;0;337;497;459;124;7.0;0;20;30;23;4;14;3;0;9;0;0.0;0;0;0;0;0;0;296
Broekhuizen-G0898;2;4;663;137;113;26;0.0;0;4;8;23;0;0;0;0;0;0;0.0;0;0;0;0;0;0;167
Brouwershaven-G0656;9;1;387;949;541;88;76.0;0;11;29;10;64;7;0;0;0;0;1.0;0;0;0;0;0;0;336
Bruinisse-G0657;18;2;515;552;335;43;378.0;0;2;11;11;17;2;0;0;0;0;1.0;0;0;0;0;0;0;267
Brummen-G0213;39;23;2822;5508;2055;627;38.0;0;54;146;63;28;0;23;0;0;0;8.0;0;0;0;0;0;0;2079
Brunssum-G0899;54;58;6204;5367;1084;235;0.0;0;402;396;112;0;0;0;0;0;0;19.0;0;0;0;0;0;0;4713
Budel-G0759;30;20;3193;1482;417;135;0.0;0;7;28;18;2;44;0;0;0;0;6.0;0;0;0;31;0;0;1889
Bunde-G0900;5;8;1276;644;515;121;0.0;0;21;42;16;0;0;0;0;0;0;4.0;0;0;0;0;0;0;654
Bunnik-G0312;21;8;3124;0;1921;634;161.0;1473;26;0;133;33;17;15;0;12;0;4.0;0;0;0;0;0;0;1130
Bunschoten-G0313;24;15;3089;0;983;314;304.0;703;7;0;23;2530;13;657;0;18;0;1.0;0;0;0;0;0;0;1215
Buren-G0214;9;17;1159;1957;1300;219;157.0;0;12;48;27;4;48;12;0;0;0;3.0;0;0;0;0;0;0;945
Bussum-G0381;106;65;6373;5185;7028;1681;182.0;0;231;335;457;135;89;81;0;80;0;0.0;0;0;0;0;0;0;5051
Cadier en Keer-G0901;4;13;928;408;496;70;0.0;0;10;28;9;0;0;0;0;0;0;3.0;0;0;0;0;0;0;409
Callantsoog-G0382;12;0;226;492;601;71;4.0;0;33;5;14;4;9;0;0;7;0;0.0;0;0;0;0;0;0;286
Capelle aan den IJssel-G0502;48;34;3493;8305;4533;1953;1710.0;0;155;165;190;451;48;110;0;0;0;6.0;0;0;0;0;0;0;6027
Castricum-G0383;33;16;4268;3194;3404;1131;4.0;0;121;443;209;26;45;11;0;47;0;0.0;0;0;0;0;0;0;2465
Chaam-G0760;9;11;1097;323;288;71;0.0;0;4;18;8;1;26;0;0;0;0;5.0;0;0;0;2;0;0;426
Coevorden-G0109;26;18;3087;3161;1010;262;0.0;0;23;55;41;44;0;31;0;0;0;0.0;21;0;0;0;0;0;1284
Cothen-G0314;10;2;761;0;173;28;35.0;249;9;0;14;1;3;1;0;1;0;0.0;0;0;0;0;0;0;184
Cuijk en Sint Agatha-G0761;22;26;3473;2341;917;432;0.0;0;18;101;70;5;36;0;0;0;0;11.0;0;0;0;4;0;0;2280
Culemborg-G0216;42;6;3158;3430;1698;507;191.0;0;99;289;183;47;65;27;0;0;0;4.0;0;0;0;0;0;0;2526
Dalen-G0110;8;3;656;1319;1086;112;0.0;0;27;18;7;4;0;6;0;0;0;0.0;45;0;0;0;0;0;445
Dalfsen-G0148;10;7;4844;1192;988;275;69.0;0;4;56;18;577;53;78;0;0;0;28.0;0;0;0;0;0;0;908
Dantumadeel-G0065;25;9;4757;2925;706;181;0.0;0;51;62;47;250;0;0;432;0;976;0.0;0;0;0;0;4;0;1782
De Bilt-G0310;50;37;5597;0;6553;1936;368.0;4814;78;0;287;271;37;67;0;84;0;7.0;0;0;0;0;0;0;3423
De Lier-G0552;16;14;2704;598;1011;164;45.0;0;13;33;4;87;16;22;0;0;0;0.0;0;0;0;0;0;0;763
De Wijk-G0135;6;10;723;992;817;85;0.0;0;11;17;15;27;0;4;0;0;0;0.0;145;0;0;0;0;0;419
Delft-G0503;148;86;13346;18764;8221;4071;773.0;0;1321;1344;1203;403;149;199;0;0;0;12.0;0;0;0;0;0;0;12317
Delfzijl-G0010;33;17;2923;6127;1713;625;0.0;0;400;138;104;249;47;93;0;0;0;0.0;0;84;0;0;0;0;3701
Den Dungen-G0768;2;12;1388;491;148;65;2.0;0;3;27;10;2;14;0;0;0;0;2.0;0;0;0;0;0;0;368
Den Ham-G0159;23;8;4653;1687;449;136;83.0;0;12;52;16;305;60;58;0;0;0;2.0;0;0;0;0;0;0;1310
Den Helder-G0400;118;61;7753;10511;8964;1667;181.0;0;187;299;263;347;139;153;0;205;0;0.0;0;0;0;0;0;0;11741
Denekamp-G0149;25;14;4687;993;459;145;4.0;0;11;44;22;10;33;4;0;0;0;1.0;0;0;0;0;0;0;1037
Deurne-G0762;37;41;8471;2456;1110;260;0.0;0;68;197;131;9;87;0;0;0;0;8.0;0;0;0;11;0;0;4765
Deventer-G0150;185;50;8432;17575;5696;2387;151.0;0;686;701;500;188;107;99;0;0;0;17.0;0;0;0;0;0;0;8392
Didam-G0218;26;10;4252;2117;640;232;7.0;0;8;81;23;17;171;3;0;0;0;2.0;0;0;0;0;0;0;2017
Diemen-G0384;25;23;1924;2584;1876;869;13.0;0;250;138;267;21;48;29;0;22;0;0.0;0;0;6;0;0;0;1851
