RegioNaam;@invalid;@blank;CDA;PvdA;VVD;D66;SGP;PvdA/PPR;Communistische Partij van Nederland;Politieke Partij Radikalen (PPR);Pacifistisch-Socialistische Partij (PSP);Gereformeerd Politiek Verbond (GPV);Boeren Partij;Reformatorische Politieke Federatie (RPF);Fryske Nasjonale Partij;Democratisch Socialisten '70;SGP/RPF;Conservatieve Volkspartij;Lijst de Boer;Gronneger Bond;Internationale Kommunistenbond;Christen Democraten Unie;Lijst Wartena;Lijst Hofman;@abs
Gennep-G0907;15;22;3877;1676;760;463;0.0;0;31;150;118;0;0;0;0;0;0;0.0;0;0;0;0;0;0;3195
Geulle-G0908;11;5;823;375;161;44;0.0;0;11;24;19;0;0;0;0;0;0;3.0;0;0;0;0;0;0;532
Giessenburg-G0510;6;8;958;582;446;79;276.0;0;3;17;9;29;31;45;0;0;0;6.0;0;0;0;0;0;0;332
Gieten-G0116;12;8;490;1937;883;160;0.0;0;19;26;13;14;0;3;0;0;0;0.0;17;0;0;0;0;0;429
Gilze en Rijen-G0784;46;30;5201;3056;1447;432;10.0;0;14;135;88;12;97;0;0;0;0;13.0;0;0;0;7;0;0;2923
Goedereede-G0511;28;7;1134;1341;746;113;2180.0;0;10;30;22;44;47;31;0;0;0;6.0;0;0;0;0;0;0;842
Goes-G0664;38;19;5593;5290;2576;768;1391.0;0;50;318;131;221;34;0;0;0;0;6.0;0;0;0;0;0;0;4273
Goirle-G0785;31;12;3354;2060;1061;290;7.0;0;25;159;281;7;39;0;0;0;0;4.0;0;0;0;6;0;0;2452
Goor-G0156;18;6;2271;3029;1090;379;11.0;0;31;83;25;54;20;20;0;0;0;3.0;0;0;0;0;0;0;832
Gorinchem-G0512;47;64;3498;7449;2384;806;403.0;0;146;188;91;119;81;110;0;0;0;1.0;0;0;0;0;0;0;4002
Gorssel-G0239;20;18;2995;2518;2793;661;21.0;0;20;167;49;39;0;21;0;0;0;6.0;0;0;0;0;0;0;1190
Gouda-G0513;75;46;7993;12827;5980;2133;1334.0;0;482;531;429;326;92;112;0;0;0;11.0;0;0;0;0;0;0;7962
Gouderak-G0514;9;0;400;508;320;85;188.0;0;3;11;12;8;7;8;0;0;0;1.0;0;0;0;0;0;0;245
Goudriaan-G0515;2;0;178;55;105;19;87.0;0;0;2;1;4;4;6;0;0;0;0.0;0;0;0;0;0;0;49
Goudswaard-G0516;3;1;144;270;147;14;309.0;0;2;9;10;6;6;2;0;0;0;0.0;0;0;0;0;0;0;175
Graft-De Rijp-G0365;9;6;844;895;742;165;10.0;0;49;32;97;1;12;0;0;5;0;0.0;0;0;0;0;0;0;418
Gramsbergen-G0157;17;0;1787;1191;314;56;7.0;0;1;15;5;101;32;28;0;0;0;0.0;0;0;0;0;0;0;348
Grathem-G0909;7;2;1049;176;180;22;0.0;0;0;9;22;0;0;0;0;0;0;0.0;0;0;0;0;0;0;324
Grave-G0786;7;6;2493;1180;930;193;0.0;0;11;107;41;5;32;0;0;0;0;7.0;0;0;0;3;0;0;1393
Grevenbicht-G0910;8;18;925;392;95;30;0.0;0;8;25;12;0;0;0;0;0;0;3.0;0;0;0;0;0;0;334
Grijpskerk-G0016;9;9;1471;430;310;76;0.0;0;7;29;20;185;3;15;0;0;0;0.0;0;8;0;0;0;0;211
Groenlo-G0240;0;0;2983;851;464;95;9.0;0;6;129;38;6;46;13;0;0;0;29.0;0;0;0;0;0;0;909
Groesbeek-G0241;58;21;4499;3397;816;381;12.0;0;41;239;92;11;63;8;0;0;0;10.0;0;0;0;0;0;0;3051
Groningen-G0014;344;131;18475;43606;14164;7099;0.0;0;5002;2885;3285;4776;224;465;0;0;0;0.0;0;226;0;0;0;0;22927
Gronsveld-G0911;6;7;1361;421;273;52;0.0;0;5;16;27;0;0;0;0;0;0;1.0;0;0;0;0;0;0;342
Groot-Ammers-G0520;11;6;551;370;317;70;271.0;0;3;4;7;21;27;22;0;0;0;0.0;0;0;0;0;0;0;220
Grootebroek-G0391;22;5;2002;1161;755;234;1.0;0;66;94;61;3;24;1;0;12;0;0.0;0;0;0;0;0;0;1143
Grootegast-G0015;16;7;2782;1017;481;81;0.0;0;27;56;34;285;85;84;0;0;0;0.0;0;4;0;0;0;0;707
Grubbenvorst-G0912;3;6;2014;718;427;91;0.0;0;0;33;22;0;0;0;0;0;0;0.0;0;0;0;0;0;0;779
Gulpen-G0913;10;10;1284;702;393;50;0.0;0;8;42;25;0;0;0;0;0;0;9.0;0;0;0;0;0;0;584
Haaksbergen-G0158;26;25;6883;2700;1539;498;11.0;0;34;172;86;7;125;8;0;0;0;7.0;0;0;0;0;0;0;1531
Haaren-G0788;6;9;1640;401;306;74;4.0;0;6;18;22;0;15;0;0;0;0;1.0;0;0;0;1;0;0;687
Haarlem-G0392;363;196;24031;35126;17540;6765;294.0;0;1971;1728;2211;358;497;181;0;317;0;0.0;0;0;56;0;0;0;26728
Haarlemmerliede en Spaarnwoude-G0393;18;6;1166;638;567;122;18.0;0;48;40;38;16;19;4;0;7;0;0.0;0;0;2;0;0;0;484
Haarlemmermeer-G0394;147;59;13784;10057;10446;2720;516.0;0;634;605;329;204;178;250;0;117;0;0.0;0;0;21;0;0;0;10375
Haastrecht-G0521;5;5;1048;534;470;128;102.0;0;4;77;26;22;14;9;0;0;0;0.0;0;0;0;0;0;0;429
Haelen-G0914;6;13;1994;468;363;91;0.0;0;2;41;23;0;0;0;0;0;0;0.0;0;0;0;0;0;0;847
Hagestein-G0522;3;1;305;143;127;16;114.0;0;1;9;1;1;5;1;0;0;0;0.0;0;0;0;0;0;0;109
Halsteren-G0789;32;38;2358;2087;1006;255;27.0;0;32;67;42;17;59;0;0;0;0;17.0;0;0;0;13;0;0;2367
Haps-G0790;2;8;1089;213;102;39;0.0;0;1;12;9;1;13;0;0;0;0;2.0;0;0;0;0;0;0;232
Hardenberg-G0160;33;25;8756;3752;1327;316;41.0;0;34;215;67;2233;88;159;0;0;0;9.0;0;0;0;0;0;0;1840
Harderwijk-G0243;50;12;7197;2476;3113;602;1123.0;0;54;237;71;312;117;450;0;0;0;9.0;0;0;0;0;0;0;3513
Hardinxveld-G1070;26;27;2032;2747;1085;307;2066.0;0;54;63;20;408;48;127;0;0;0;12.0;0;0;0;0;0;0;1472
Haren-G0017;33;14;3259;3016;3779;1143;0.0;0;66;167;105;402;37;93;0;0;0;0.0;0;20;0;0;0;0;1592
Harenkarspel-G0395;8;11;1562;771;443;105;2.0;0;43;29;24;20;23;2;0;6;0;0.0;0;0;0;0;0;0;571
Harlingen-G0072;39;9;2376;3588;1027;483;0.0;0;60;150;45;296;0;0;161;0;46;0.0;0;0;0;0;1;0;1936
Harmelen-G0318;14;2;1698;0;898;240;116.0;579;9;0;14;16;13;11;0;4;0;3.0;0;0;0;0;0;0;731
Haskerland-G0073;19;5;3479;3027;916;258;0.0;0;46;100;37;25;0;0;631;0;63;0.0;0;0;0;0;6;0;1493
Hasselt-G0161;5;5;1484;680;320;154;262.0;0;7;12;9;288;15;124;0;0;0;3.0;0;0;0;0;0;0;459
Hattem-G0244;15;6;2267;2216;970;313;90.0;0;26;49;10;631;32;240;0;0;0;0.0;0;0;0;0;0;0;709
Havelte-G0117;16;20;410;1710;1117;185;0.0;0;10;24;41;18;0;7;0;0;0;0.0;54;0;0;0;0;0;476
Hazerswoude-G0524;18;4;2573;889;1026;295;251.0;0;19;108;51;25;14;105;0;0;0;1.0;0;0;0;0;0;0;1040
Hedel-G0245;5;3;1028;425;198;46;200.0;0;2;12;5;14;9;3;0;0;0;0.0;0;0;0;0;0;0;339
Heel en Panheel-G0915;9;7;1149;346;263;104;0.0;0;6;34;21;0;0;0;0;0;0;0.0;0;0;0;0;0;0;1266
Heemskerk-G0396;83;25;5676;5263;2451;1154;34.0;0;206;419;248;55;60;40;0;39;0;0.0;0;0;0;0;0;0;4184
Heemstede-G0397;85;0;5349;2815;6162;1172;44.0;0;69;350;218;51;55;22;0;44;0;0.0;0;0;2;0;0;0;3218
Heenvliet-G0525;3;2;251;793;445;153;21.0;0;35;20;17;7;7;4;0;0;0;1.0;0;0;0;0;0;0;313
Heerde-G0246;26;5;3757;3379;1243;343;381.0;0;14;65;52;196;350;566;0;0;0;4.0;0;0;0;0;0;0;1367
Heerenveen-G0074;65;58;4583;9116;2949;872;0.0;0;1054;239;243;187;0;0;1273;0;180;0.0;0;0;0;0;4;0;4368
Heerewaarden-G0247;6;4;97;425;147;19;2.0;0;2;2;3;0;5;1;0;0;0;2.0;0;0;0;0;0;0;77
Heerhugowaard-G0398;59;7;5022;3718;2956;1147;10.0;0;142;228;188;33;42;23;0;29;0;0.0;0;0;0;0;0;0;3421
Heerjansdam-G0526;1;3;612;676;415;115;77.0;0;3;17;14;6;4;1;0;0;0;0.0;0;0;0;0;0;0;370
Heerlen-G0917;145;97;14703;12560;3924;1127;0.0;0;1903;779;606;0;0;0;0;0;0;0.0;0;0;0;0;0;0;14627
Heesch-G0791;6;20;2785;1118;432;115;1.0;0;8;34;21;4;36;0;0;0;0;1.0;0;0;0;4;0;0;1118
Heeswijk-Dinther-G0792;17;11;2805;537;372;88;5.0;0;7;58;19;0;35;0;0;0;0;3.0;0;0;0;0;0;0;843
Heeze-G0793;12;7;2406;756;712;188;0.0;0;7;81;33;5;43;0;0;0;0;6.0;0;0;0;6;0;0;1209
Hei- en Boeicop-G0527;0;7;260;87;67;10;112.0;0;0;7;4;2;21;9;0;0;0;0.0;0;0;0;0;0;0;47
Heiloo-G0399;35;14;4043;2657;3787;923;15.0;0;143;215;156;33;52;18;0;42;0;0.0;0;0;0;0;0;0;1882
Heinenoord-G0528;8;2;474;699;346;87;135.0;0;5;12;9;10;18;28;0;0;0;0.0;0;0;0;0;0;0;316
Heino-G0162;9;6;2219;690;453;155;9.0;0;4;48;26;80;17;64;0;0;0;5.0;0;0;0;0;0;0;397
Helden-G0918;27;28;5589;1040;598;135;0.0;0;22;153;51;0;0;0;0;0;0;0.0;0;0;0;0;0;0;2530
Hellendoorn-G0163;35;26;12124;3946;1370;496;225.0;0;29;186;53;339;132;154;0;0;0;26.0;0;0;0;0;0;0;2368
Hellevoetsluis-G0530;28;10;1155;4752;1898;756;104.0;0;88;75;78;43;39;17;0;0;0;3.0;0;0;0;0;0;0;2126
Helmond-G0794;105;87;11580;11053;2878;931;0.0;0;618;536;213;34;182;0;0;0;0;23.0;0;0;0;47;0;0;10852
Helvoirt-G0795;5;8;1345;437;400;125;5.0;0;4;20;10;2;24;0;0;0;0;0.0;0;0;0;0;0;0;451
Hemelumer Oldeferd-G0075;6;6;1748;436;275;71;0.0;0;3;21;18;33;0;0;208;0;62;0.0;0;0;0;0;3;0;370
Hendrik-Ido-Ambacht-G0531;0;11;2218;2411;1728;413;1017.0;0;118;141;46;102;51;54;0;0;0;4.0;0;0;0;0;0;0;1860
Hengelo-G0164;118;46;16775;16574;5608;2637;103.0;0;430;635;502;396;144;142;0;0;0;14.0;0;0;0;0;0;0;6436
Hengelo-G0248;14;11;2550;1046;638;159;36.0;0;6;38;14;11;64;5;0;0;0;4.0;0;0;0;0;0;0;855
Hennaarderadeel-G0076;4;2;1445;479;274;69;0.0;0;14;34;36;11;0;0;360;0;20;0.0;0;0;0;0;0;0;312
Hensbroek-G0401;3;4;366;160;209;28;0.0;0;9;9;12;2;2;1;0;2;0;0.0;0;0;0;0;0;0;173
Herten-G0919;3;15;1117;322;292;66;0.0;0;4;19;7;0;0;0;0;0;0;3.0;0;0;0;0;0;0;437
Herwen en Aerdt-G0249;14;5;2097;1250;368;96;3.0;0;16;49;16;11;65;2;0;0;0;3.0;0;0;0;0;0;0;1366
Herwijnen-G0250;5;5;596;569;166;30;59.0;0;2;7;9;8;9;2;0;0;0;1.0;0;0;0;0;0;0;126
Het Bildt-G0063;14;5;2162;1820;645;139;0.0;0;54;71;51;18;0;0;107;0;44;0.0;0;0;0;0;3;0;655
Heteren-G0251;15;6;2277;987;531;177;224.0;0;20;59;32;31;19;27;0;0;0;0.0;0;0;0;0;0;0;932
Heukelum-G0533;10;0;412;653;271;94;63.0;0;3;10;3;11;13;12;0;0;0;0.0;0;0;0;0;0;0;231
Heumen-G0252;4;7;2288;938;648;230;2.0;0;10;99;57;7;18;2;0;0;0;0.0;0;0;0;0;0;0;840
Heusden-G0797;10;4;1248;765;340;103;67.0;0;11;43;18;9;28;0;0;0;0;1.0;0;0;0;2;0;0;786
Heythuysen-G0920;12;22;1948;355;320;77;0.0;0;12;32;20;0;0;0;0;0;0;0.0;0;0;0;0;0;0;771
Hillegom-G0534;22;23;4560;2368;1890;557;58.0;0;30;163;107;20;33;13;0;0;0;7.0;0;0;4;0;0;0;2261
Hilvarenbeek-G0798;28;15;2598;1118;657;160;5.0;0;16;89;44;3;26;0;0;0;0;0.0;0;0;0;8;0;0;878
Hilversum-G0402;337;93;14585;18096;13044;4497;668.0;0;773;784;887;344;207;258;0;183;0;0.0;0;0;0;0;0;0;14413
Hindeloopen-G0077;1;0;191;215;48;4;0.0;0;10;23;4;1;0;0;17;0;1;0.0;0;0;0;0;0;0;68
Hoensbroek-G0921;41;34;3990;4899;995;294;0.0;0;364;308;132;0;0;0;0;0;0;0.0;0;0;0;0;0;0;4735
Hoevelaken-G0253;10;0;1360;728;891;325;332.0;0;7;41;17;73;17;14;0;0;0;0.0;0;0;0;0;0;0;647
Hoeven-G0799;7;24;1768;958;514;110;1.0;0;8;33;26;8;55;0;0;0;0;5.0;0;0;0;1;0;0;1370
Holten-G0165;18;10;2210;1544;1236;225;39.0;0;6;43;24;24;77;11;0;0;0;2.0;0;0;0;0;0;0;539
Hontenisse-G0675;7;16;2736;878;404;64;16.0;0;5;85;39;14;157;0;0;0;0;8.0;0;0;0;0;0;0;1016
Hoogblokland-G0535;0;2;255;234;196;26;58.0;0;3;3;3;4;14;8;0;0;0;;0;0;0;0;0;0;90
Hooge en Lage Mierde-G0801;5;2;1461;207;107;39;0.0;0;2;17;11;1;8;0;0;0;0;0.0;0;0;0;2;0;0;323
Hooge en Lage Zwaluwe-G0802;12;5;1357;1035;500;116;28.0;0;3;35;15;8;20;0;0;0;0;4.0;0;0;0;1;0;0;835
Hoogeloon, Hapert en Casteren-G0800;4;4;2568;520;394;126;2.0;0;6;49;24;2;19;0;0;0;0;0.0;0;0;0;1;0;0;1026
Hoogeveen-G0118;91;40;10623;7292;2384;773;0.0;0;386;273;134;875;0;385;0;0;0;0.0;60;0;0;0;0;0;4557
Hoogezand-Sappemeer-G0018;57;49;3132;10459;2924;904;0.0;0;802;164;253;435;51;57;0;0;0;0.0;0;85;0;0;0;0;4941
Hoogkarspel-G0403;5;3;1388;579;473;164;1.0;0;22;46;32;1;33;0;0;6;0;0.0;0;0;0;0;0;0;620
Hoogwoud-G0404;9;0;952;624;608;153;3.0;0;15;35;36;2;13;3;0;6;0;0.0;0;0;0;0;0;0;431
Hoorn-G0405;46;20;3902;5920;3006;1200;23.0;0;358;338;366;33;55;21;0;50;0;0.0;0;0;0;0;0;0;3996
Hoornaar-G0536;0;1;287;233;210;42;39.0;0;3;4;3;3;13;15;0;0;0;0.0;0;0;0;0;0;0;82
Horn-G0922;8;4;1109;395;324;67;0.0;0;5;34;19;0;0;0;0;0;0;1.0;0;0;0;0;0;0;773
Horssen-G0254;1;3;550;113;41;17;2.0;0;0;13;2;0;15;0;0;0;0;0.0;0;0;0;0;0;0;107
Horst-G0923;23;20;5827;1585;782;155;0.0;0;35;61;73;0;0;0;0;0;0;0.0;0;0;0;0;0;0;2455
Houten-G0321;13;8;2801;0;762;207;222.0;647;6;0;47;13;17;9;0;5;0;2.0;0;0;0;0;0;0;667
Huijbergen-G0803;6;2;618;207;197;37;0.0;0;5;9;3;0;8;0;0;0;0;3.0;0;0;0;1;0;0;242
Huissen-G0255;14;10;3589;1633;1142;338;8.0;0;22;132;62;10;39;3;0;0;0;2.0;0;0;0;0;0;0;1467
Huizen-G0406;89;11;5247;3075;3627;1180;988.0;0;114;175;220;108;53;263;0;36;0;0.0;0;0;0;0;0;0;3190
Hulsberg-G0924;9;13;1262;635;504;68;0.0;0;8;38;30;0;0;0;0;0;0;0.0;0;0;0;0;0;0;541
Hulst-G0677;38;46;3650;2634;1133;223;15.0;0;21;233;81;12;322;0;0;0;0;11.0;0;0;0;0;0;0;3289
Hummelo en Keppel-G0256;4;8;884;819;689;126;4.0;0;2;18;17;2;18;0;0;0;0;0.0;0;0;0;0;0;0;378
Hunsel-G0925;5;6;1924;423;231;44;0.0;0;7;19;22;0;0;0;0;0;0;0.0;0;0;0;0;0;0;648
Idaarderadeel-G0078;8;6;782;3016;820;207;0.0;0;74;69;44;6;0;0;386;0;13;0.0;0;0;0;0;2;0;615
IJlst-G0102;3;1;735;376;132;60;0.0;0;1;9;3;15;0;0;95;0;2;0.0;0;0;0;0;0;0;210
IJsselham-G0195;5;2;1381;869;451;67;15.0;0;9;17;28;72;15;4;0;0;0;0.0;0;0;0;0;0;0;397
IJsselmuiden-G0191;6;14;2677;705;436;108;1872.0;0;7;43;13;95;13;357;0;0;0;4.0;0;0;0;0;0;0;685
IJsselstein-G0353;27;14;3161;0;1473;703;381.0;2378;69;0;98;26;28;22;0;15;0;13.0;0;0;0;0;0;0;2231
Ilpendam-G0407;5;9;630;694;443;138;5.0;0;171;42;36;1;16;5;0;4;0;0.0;0;0;0;0;0;0;401
Jabeek-G0927;1;0;355;100;15;11;0.0;0;6;4;3;0;0;0;0;0;0;0.0;0;0;0;0;0;0;60
Jisp-G0408;3;0;77;240;151;25;0.0;0;28;20;5;0;4;0;0;0;0;0.0;0;0;0;0;0;0;107
Kamerik-G0323;5;9;1076;0;231;71;217.0;269;2;0;11;16;6;17;0;5;0;0.0;0;0;0;0;0;0;261
Kampen-G0166;32;21;6994;5130;1492;545;1405.0;0;51;322;111;655;36;851;0;0;0;3.0;0;0;0;0;0;0;2649
Kantens-G0020;0;1;256;473;184;32;0.0;0;5;15;19;134;1;3;0;0;0;0.0;0;6;0;0;0;0;97
Kapelle-G0678;11;3;1980;1280;872;235;420.0;0;7;60;30;64;142;0;0;0;0;0.0;0;0;0;0;0;0;1152
Katwijk-G0537;67;48;8101;3808;2576;633;3570.0;0;67;199;80;156;61;151;0;0;0;5.0;0;0;10;0;0;0;5560
Katwoude-G0409;3;0;70;21;60;6;3.0;0;0;9;2;3;2;0;0;0;0;0.0;0;0;0;0;0;0;15
Kedichem-G0538;7;1;134;260;253;29;52.0;0;2;8;2;1;14;0;0;0;0;0.0;0;0;0;0;0;0;105
Kerkrade-G0928;158;160;9002;10134;2154;581;0.0;0;413;705;252;0;0;0;0;0;0;0.0;0;0;0;0;0;0;9607
Kerkwijk-G0257;5;8;1088;651;347;67;891.0;0;4;22;16;17;21;18;0;0;0;3.0;0;0;0;0;0;0;635
Kessel-G0929;10;8;1173;374;288;47;0.0;0;9;49;20;0;0;0;0;0;0;0.0;0;0;0;0;0;0;506
Kesteren-G0258;16;0;1009;1362;577;145;1418.0;0;5;22;18;24;34;13;0;0;0;1.0;0;0;0;0;0;0;752
Klaaswaal-G0539;0;1;478;759;429;81;137.0;0;22;72;9;16;6;11;0;0;0;1.0;0;0;0;0;0;0;434
Klimmen-G0930;5;6;1276;498;333;78;0.0;0;19;113;30;0;0;0;0;0;0;0.0;0;0;0;0;0;0;492
Kloosterburen-G0021;3;5;577;309;129;26;0.0;0;9;16;9;9;1;1;0;0;0;0.0;0;0;0;0;0;0;175
Klundert-G0804;13;5;1818;712;499;102;168.0;0;1;23;5;17;15;0;0;0;0;0.0;0;0;0;1;0;0;774
Kockengen-G0324;6;0;911;0;180;62;198.0;177;2;0;21;10;22;17;0;4;0;5.0;0;0;0;0;0;0;203
Kollumerland en Nieuwkruisland-G0079;20;13;4320;1399;541;97;0.0;0;23;38;39;78;0;0;153;0;210;0.0;0;0;0;0;4;0;1029
Kortgene-G0682;5;4;585;885;413;86;137.0;0;6;16;3;23;3;0;0;0;0;1.0;0;0;0;0;0;0;325
Koudekerk aan den Rijn-G0540;9;2;1031;537;492;125;48.0;0;12;30;20;3;4;12;0;0;0;0.0;0;0;0;0;0;0;376
Krimpen aan de Lek-G0541;10;3;611;1630;692;222;293.0;0;27;31;26;18;5;9;0;0;0;0.0;0;0;0;0;0;0;609
Krimpen aan den IJssel-G0542;27;21;2492;5161;3329;1040;1768.0;0;135;134;120;189;28;82;0;0;0;5.0;0;0;0;0;0;0;3105
Landsmeer-G0415;23;2;787;1864;1163;543;12.0;0;319;155;71;8;22;12;0;15;0;0.0;0;0;0;0;0;0;696
Langbroek-G0325;1;15;470;0;194;50;181.0;212;2;0;5;4;6;8;0;7;0;0.0;0;0;0;0;0;0;174
Langedijk-G0416;44;14;2761;1580;1307;403;7.0;0;270;72;64;44;31;58;0;13;0;0.0;0;0;0;0;0;0;1341
Langerak-G0543;1;6;272;229;118;44;143.0;0;0;5;4;64;7;43;0;0;0;0.0;0;0;0;0;0;0;117
Laren-G0417;32;14;2443;1666;2827;607;23.0;0;59;188;106;24;40;9;0;24;0;0.0;0;0;0;0;0;0;1639
Leek-G0022;44;9;2754;3448;1552;518;0.0;0;66;100;92;582;85;48;0;0;0;0.0;0;15;0;0;0;0;1440
Leende-G0805;4;7;1525;217;376;63;0.0;0;2;15;9;1;12;0;0;0;0;0.0;0;0;0;2;0;0;381
Leens-G0023;8;7;687;717;290;49;0.0;0;21;27;38;300;0;12;0;0;0;0.0;0;7;0;0;0;0;327
Leerbroek-G0544;2;0;241;60;55;21;250.0;0;3;1;1;11;11;3;0;0;0;1.0;0;0;0;0;0;0;90
Leerdam-G0545;42;18;2300;3192;1129;350;791.0;0;57;57;28;176;58;100;0;0;0;3.0;0;0;0;0;0;0;1680
Leersum-G0326;13;3;1141;0;1124;218;283.0;830;2;0;35;30;16;11;0;8;0;2.0;0;0;0;0;0;0;609
Leeuwarden-G0080;163;62;14128;24426;6099;2176;0.0;0;467;595;854;616;0;0;1725;0;471;0.0;0;0;0;0;17;0;9889
Leeuwarderadeel-G0081;12;0;1611;1923;598;219;0.0;0;12;38;29;34;0;0;345;0;37;0.0;0;0;0;0;2;0;474
Leiden-G0546;258;128;13237;24859;10925;4644;548.0;0;1217;1440;1710;265;169;169;0;0;0;17.0;0;0;43;0;0;0;16725
Leiderdorp-G0547;26;23;3158;2383;3183;1017;129.0;0;46;186;125;46;22;31;0;0;0;1.0;0;0;2;0;0;0;2088
Leidschendam-G0548;44;42;6406;3610;4412;1518;78.0;0;63;255;167;98;73;20;0;0;0;11.0;0;0;5;0;0;0;3783
Leimuiden-G0549;6;2;1281;347;431;98;16.0;0;4;25;12;0;20;0;0;0;0;2.0;0;0;0;0;0;0;524
Lekkerkerk-G0550;17;6;638;1791;1237;352;413.0;0;29;26;19;15;21;14;0;0;0;2.0;0;0;0;0;0;0;620
Lemsterland-G0082;21;8;2048;1904;542;212;0.0;0;338;38;25;31;0;0;156;0;102;0.0;0;0;0;0;1;0;1176
Leusden-G0327;29;14;4072;0;2881;878;294.0;1743;25;0;114;312;19;48;0;32;0;6.0;0;0;0;0;0;0;1738
Lexmond-G0551;0;6;565;367;219;28;213.0;0;7;2;8;10;16;8;0;0;0;0.0;0;0;0;0;0;0;118
Lichtenvoorde-G0260;15;6;6234;1313;826;217;5.0;0;14;138;65;1;79;6;0;0;0;7.0;0;0;0;0;0;0;1535
Liempde-G0806;4;4;1336;484;150;72;0.0;0;4;18;10;3;34;0;0;0;0;4.0;0;0;0;2;0;0;407
Lienden-G0261;8;9;720;1648;687;99;312.0;0;6;32;17;3;95;16;0;0;0;0.0;0;0;0;0;0;0;555
Lieshout-G0807;5;4;1746;599;270;80;0.0;0;13;28;22;1;58;0;0;0;0;3.0;0;0;0;1;0;0;775
Limbricht-G0931;22;14;1528;791;263;56;0.0;0;11;118;18;0;0;0;0;0;0;5.0;0;0;0;0;0;0;551
Limmen-G0418;3;1;1304;551;478;115;1.0;0;51;46;32;5;71;7;0;9;0;0.0;0;0;0;0;0;0;453
Linne-G0932;3;19;1096;476;349;48;0.0;0;7;31;19;0;0;0;0;0;0;9.0;0;0;0;0;0;0;601
Linschoten-G0328;5;2;1520;0;644;187;306.0;518;6;0;23;16;15;18;0;8;0;19.0;0;0;0;0;0;0;594
Lisse-G0553;23;12;4780;1820;2114;553;580.0;0;30;180;79;67;43;79;0;0;0;2.0;0;0;3;0;0;0;1929
Lith-G0808;15;6;1872;526;205;65;0.0;0;4;19;18;0;24;0;0;0;0;0.0;0;0;0;2;0;0;805
Lochem-G0262;29;15;2778;3661;2963;718;18.0;0;53;161;143;31;0;19;0;0;0;8.0;0;0;0;0;0;0;1823
Loenen-G0329;11;5;1460;0;1111;329;138.0;877;29;0;53;34;23;14;0;7;0;0.0;0;0;0;0;0;0;678
Loon op Zand-G0809;56;34;5195;2369;1282;267;110.0;0;25;126;53;4;102;0;0;0;0;7.0;0;0;0;12;0;0;2848
Loosdrecht-G0330;12;9;1493;0;1782;461;110.0;859;24;0;60;37;16;31;0;13;0;1.0;0;0;0;0;0;0;967
Lopik-G0331;6;12;1898;0;486;126;378.0;914;5;0;24;23;23;26;0;4;0;5.0;0;0;0;0;0;0;696
Loppersum-G0024;8;5;965;739;317;60;0.0;0;25;21;30;135;7;11;0;0;0;0.0;0;24;0;0;0;0;266
Losser-G0168;34;13;6753;3077;990;295;16.0;0;159;331;47;10;52;9;0;0;0;8.0;0;0;0;0;0;0;2391
Luyksgestel-G0810;2;0;1002;170;95;31;1.0;0;1;8;2;1;11;0;0;0;0;0.0;0;0;1;1;0;0;328
Maarheeze-G0811;15;0;2598;617;735;138;0.0;0;6;40;25;4;22;0;0;0;0;2.0;0;0;0;6;0;0;1097
Maarn-G0332;12;16;1055;0;1192;350;179.0;706;13;0;47;17;12;17;0;11;0;3.0;0;0;0;0;0;0;512
Maarssen-G0333;54;12;4121;0;3176;1071;220.0;3935;69;0;157;88;39;36;0;29;0;6.0;0;0;0;0;0;0;3327
Maartensdijk-G0334;12;11;1675;0;1198;426;640.0;1069;20;0;59;41;22;36;0;18;0;8.0;0;0;0;0;0;0;774
Maasbracht-G0933;17;18;2226;885;520;73;0.0;0;11;29;50;0;0;0;0;0;0;7.0;0;0;0;0;0;0;1339
Maasbree-G0934;7;15;3481;635;676;130;0.0;0;14;103;61;0;0;0;0;0;0;0.0;0;0;0;0;0;0;1308
Maasdam-G0554;4;1;406;567;519;96;201.0;0;6;5;9;7;10;10;0;0;0;2.0;0;0;0;0;0;0;263
Maasdriel-G0263;14;10;2547;898;564;71;23.0;0;4;25;17;3;34;2;0;0;0;0.0;0;0;0;0;0;0;1046
Maasland-G0555;5;10;1806;347;741;157;60.0;0;2;23;9;25;8;44;0;0;0;3.0;0;0;0;0;0;0;420
Maassluis-G0556;52;34;4711;6118;3318;1209;242.0;0;92;299;135;176;33;191;0;0;0;1.0;0;0;0;0;0;0;4310
Maastricht-G0935;311;181;20143;22147;6897;1896;0.0;0;598;1014;692;0;0;0;0;0;0;199.0;0;0;0;0;0;0;24712
Made en Drimmelen-G0812;38;15;2768;2375;689;180;5.0;0;9;67;21;6;54;0;0;0;0;15.0;0;0;0;5;0;0;1476
Margraten-G0936;9;5;1041;399;232;86;0.0;0;1;50;23;0;0;0;0;0;0;2.0;0;0;0;0;0;0;407
Mariekerke-G0686;3;1;762;124;169;33;702.0;0;0;18;4;39;15;0;0;0;0;2.0;0;0;0;0;0;0;208
Markelo-G0169;15;15;1096;1421;1388;231;33.0;0;6;32;21;5;59;20;0;0;0;2.0;0;0;0;0;0;0;602
Marken-G0419;7;1;765;290;88;48;2.0;0;3;12;5;8;10;1;0;4;0;0.0;0;0;0;0;0;0;160
Marum-G0025;20;21;1497;1843;779;187;0.0;0;51;65;44;101;147;52;0;0;0;0.0;0;3;0;0;0;0;746
