RegioNaam;@invalid;@blank;CDA;LPF;VVD;PvdA;GL;SP;D66;CU;SGP;LN;Verenigde Senioren Partij;Vrije Indische Partij & OuderenUnie;Duurzaam Nederland;Partij van de Toekomst;Nieuwe Midden Partij;Republikeinse Volkspartij;@abs
Doorn-G0315;;4;1888;928;1550;657;519;251;363;130;192;68;18;6.0;2;7.0;;;1287.0
Dordrecht-G0505;;82;13948;14606;9253;11035;4164;3908;3234;2189;1627;1207;449;184.0;284;44.0;29.0;;21953.0
Drechterland-G0498;;2;2222;1127;1129;645;365;286;289;37;3;177;32;5.0;8;;0.0;;1098.0
Driebergen-Rijsenburg-G0316;;15;3137;1585;2157;1418;1252;621;680;362;340;163;33;9.0;4;8.0;;;2006.0
Drimmelen-G1719;;11;5284;2664;2787;2061;816;952;915;73;21;364;52;14.0;6;22.0;1.0;;4379.0
Dronten-G0303;;14;7559;3225;4020;2165;1103;702;869;1119;126;334;63;16.0;5;;2.0;;4194.0
Druten-G0225;;8;3357;1657;1633;1696;604;594;534;22;13;170;28;11.0;10;3.0;;;2596.0
Duiven-G0226;;7;4826;2377;2776;2072;1081;772;847;171;21;230;62;23.0;2;7.0;3.0;;3265.0
Echt-G0902;;11;4431;2131;1146;1310;772;502;368;30;10;231;69;17.0;2;9.0;3.0;;3758.0
Edam-Volendam-G0385;;16;6373;5552;2155;1421;630;648;499;94;5;396;56;9.0;6;;9.0;;3300.0
Ede-G0228;;51;20576;8329;8741;5888;3403;2092;2383;4587;6606;780;141;112.0;41;30.0;10.0;;11856.0
Eemnes-G0317;;5;1592;878;1168;605;312;302;350;130;43;80;22;7.0;4;5.0;;;780.0
Eemsmond-G1651;;7;2910;1178;1061;2495;547;567;326;978;56;180;16;6.0;4;6.0;6.0;;2377.0
Eersel-G0770;;20;5111;1583;1692;971;587;526;477;53;5;199;37;3.0;3;9.0;2.0;;2324.0
Eibergen-G0229;;8;4872;1064;1202;1776;548;571;361;46;9;130;23;5.0;7;5.0;2.0;;1912.0
Eijsden-G0905;;10;3129;1099;915;910;490;249;276;17;5;80;21;5.0;1;2.0;0.0;;1828.0
Eindhoven-G0772;;0;29310;20540;17397;16643;9936;10000;7236;1202;128;2043;715;187.0;231;357.0;41.0;;39418.0
Elburg-G0230;;10;5116;1347;1413;992;367;312;284;1758;1923;124;24;13.0;1;3.0;3.0;;2314.0
Emmen-G0114;;40;17541;8146;6825;16904;3586;3455;2552;1444;115;892;216;61.0;53;58.0;12.0;;21258.0
Enkhuizen-G0388;;10;2319;1809;1673;1679;816;728;669;183;163;242;51;7.0;15;;4.0;;2482.0
Enschede-G0153;;108;19618;11414;11828;18593;6780;5451;4415;3129;159;1138;359;135.0;51;53.0;21.0;;29822.0
Epe-G0232;;10;6399;3094;3671;3553;1075;730;758;675;718;236;61;23.0;5;20.0;7.0;;4759.0
Ermelo-G0233;;16;6947;2058;2194;1114;704;599;484;1534;792;181;31;11.0;9;9.0;0.0;;3094.0
Etten-Leur-G0777;;24;6671;3805;3884;2821;1383;1087;1185;125;20;446;94;13.0;34;15.0;1.0;;7514.0
Ferwerderadiel-G1722;;0;2684;681;535;688;259;251;152;248;18;65;13;;1;3.0;3.0;;1145.0
Franekeradeel-G0070;;15;4523;1410;1388;2393;720;627;490;404;37;201;30;;5;13.0;6.0;;3174.0
Gaasterlân-Sleat-G0653;;4;3058;890;904;673;357;264;201;154;135;82;17;;1;2.0;1.0;;1009.0
Geertruidenberg-G0779;;10;3695;2050;2014;1790;678;721;531;41;34;351;45;12.0;4;12.0;2.0;;4237.0
Geldermalsen-G0236;;13;4461;2999;2590;2133;654;590;576;231;1261;239;23;4.0;1;9.0;;;2784.0
Geldrop-G0781;;0;5310;3002;2451;1847;1202;1218;834;159;14;284;108;18.0;10;41.0;7.0;;4784.0
Gemert-Bakel-G1652;;35;6688;2898;2103;1638;837;1042;528;30;5;260;71;29.0;2;15.0;0.0;;4623.0
Gendringen-G0237;;10;5581;1619;1430;1854;547;515;408;66;11;202;36;12.0;15;10.0;2.0;;3329.0
Gennep-G0907;;16;3383;1670;1087;1188;529;623;624;35;6;118;34;6.0;3;5.0;3.0;;3403.0
Giessenlanden-G0689;;6;2969;1433;1640;1235;281;311;331;727;405;122;37;4.0;1;6.0;2.0;;1167.0
Gilze en Rijen-G0784;;12;4833;2467;2392;2008;844;899;812;38;12;270;72;17.0;9;28.0;4.0;;3721.0
Goedereede-G0511;;9;2206;1156;894;713;126;161;170;417;1837;68;16;3.0;1;2.0;2.0;;968.0
Goes-G0664;;14;6689;2552;2986;3024;1565;1028;989;791;1453;273;84;;21;22.0;10.0;;6088.0
Goirle-G0785;;19;4306;2340;2182;1584;1119;988;808;28;5;163;64;7.0;1;13.0;0.0;;3519.0
Gorinchem-G0512;;16;4075;3599;2952;3406;1074;1021;1114;762;368;362;133;16.0;9;21.0;3.0;;5750.0
Gorssel-G0239;;11;2922;975;2173;1358;483;470;497;97;7;95;24;4.0;0;7.0;1.0;;1417.0
Gouda-G0513;;67;9483;8929;5814;6510;3234;2259;2458;1638;1363;715;106;45.0;8;17.0;3.0;;9030.0
Graafstroom-G0693;;12;2340;650;608;419;106;127;108;622;1073;52;6;2.0;0;1.0;0.0;;630.0
Graft-De Rijp-G0365;;4;1154;715;902;578;262;243;224;11;1;86;19;4.0;0;;1.0;;565.0
Grave-G0786;;9;2553;1246;1348;831;512;576;378;31;2;109;85;15.0;1;4.0;1.0;;1801.0
Groenlo-G0240;;9;2873;625;721;786;280;255;248;8;4;65;22;8.0;5;3.0;0.0;;1401.0
Groesbeek-G0241;;8;3720;1973;1365;2157;904;895;498;41;9;141;47;10.0;3;12.0;;;2999.0
Groningen-G0014;;190;17355;11427;15338;26982;15675;11453;8632;4791;213;1103;271;103.0;48;63.0;22.0;;29233.0
Grootegast-G0015;;5;3263;846;659;817;243;237;159;715;74;115;8;0.0;3;9.0;2.0;;1651.0
Gulpen-Wittem-G1729;;8;4741;1599;882;1084;608;424;335;34;12;118;23;6.0;1;7.0;2.0;;1866.0
Haaksbergen-G0158;;12;6926;1836;2058;1918;620;628;660;87;10;222;38;18.0;5;5.0;5.0;;3249.0
Haaren-G0788;;7;3579;1154;1370;711;508;379;407;21;4;106;14;4.0;1;12.0;2.0;;2241.0
Haarlem-G0392;;131;17107;14159;14146;15515;9299;7276;6137;1158;167;1546;550;;102;81.0;40.0;;25029.0
Haarlemmerliede en Spaarnwoude-G0393;;2;1001;664;681;378;226;193;252;26;6;97;13;;4;1.0;1.0;;561.0
Haarlemmermeer-G0394;;71;18556;14193;15893;8081;4114;3109;4206;1298;557;1725;374;;34;61.0;22.0;;15558.0
Haelen-G0914;;18;2301;1092;888;523;343;232;265;27;5;112;37;4.0;3;1.0;2.0;;1871.0
Halderberge-G1655;;18;5765;3504;2827;1951;749;844;694;84;19;268;67;17.0;19;10.0;3.0;;5791.0
Hardenberg-G0160;;20;15426;3490;3499;4989;1143;1131;1036;4330;396;458;66;21.0;3;20.0;3.0;;6328.0
Harderwijk-G0243;;11;8901;3435;3597;2461;1244;889;970;1803;621;356;60;39.0;19;16.0;4.0;;5181.0
Hardinxveld-Giessendam-G0523;;3;3114;1472;1083;1231;232;271;203;1594;2013;126;24;3.0;1;1.0;0.0;;1632.0
Haren-G0017;;7;3004;1186;2803;2170;1105;561;987;585;42;89;31;6.0;4;2.0;0.0;;1801.0
