RegioNaam;@invalid;@blank;CDA;LPF;VVD;PvdA;GL;SP;D66;CU;SGP;LN;Verenigde Senioren Partij;Vrije Indische Partij & OuderenUnie;Duurzaam Nederland;Partij van de Toekomst;Nieuwe Midden Partij;Republikeinse Volkspartij;@abs
Moordrecht-G0563;;16;1175;1039;785;779;214;178;178;130;199;70;9;6.0;2;1.0;0.0;;947.0
Muiden-G0424;;2;966;669;1032;696;229;263;391;35;8;62;24;;1;5.0;0.0;;606.0
Naaldwijk-G0565;;21;7735;4340;2891;1162;486;424;480;298;165;342;31;14.0;5;15.0;3.0;;2923.0
Naarden-G0425;;6;2447;1540;3273;1287;635;453;799;111;72;107;49;;0;10.0;2.0;;1663.0
Nederlek-G0643;;20;2154;2059;1618;1649;317;412;378;268;610;219;38;4.0;4;3.0;1.0;;1523.0
Nederweert-G0946;;8;4082;1832;1429;938;349;344;307;16;7;133;29;5.0;2;6.0;1.0;;2788.0
Neede-G0266;;5;2433;929;1095;1609;357;294;341;148;6;94;15;1.0;0;4.0;0.0;;1293.0
Neerijnen-G0304;;23;1942;1150;1124;1200;218;196;215;162;778;90;22;1.0;2;3.0;;;1340.0
Niedorp-G0412;;7;1619;1249;1466;1130;417;405;377;22;5;231;30;6.0;4;;2.0;;1568.0
Nieuwegein-G0356;;34;9288;7144;6328;5498;2919;2266;2189;638;187;958;282;55.0;17;28.0;;;9392.0
Nieuwerkerk aan den IJssel-G0567;;8;3495;2925;2720;1380;538;512;692;676;445;217;46;11.0;2;5.0;2.0;;2503.0
Nieuwkoop-G0569;;4;2264;1245;1236;648;345;279;419;185;111;118;14;2.0;1;3.0;5.0;;1378.0
Nieuw-Lekkerland-G0571;;3;1195;725;453;789;130;198;108;683;1306;74;15;6.0;3;1.0;0.0;;770.0
Nijefurd-G0104;;13;3012;920;888;919;456;359;234;176;19;116;26;;3;1.0;0.0;;1193.0
Nijkerk-G0267;;16;8546;3219;3269;2095;964;636;814;1646;1529;348;50;19.0;8;8.0;2.0;;4352.0
Nijmegen-G0268;;145;17876;12524;9998;17374;15025;10451;6151;623;73;849;582;127.0;86;57.0;;;27326.0
Noord-Beveland-G1695;;6;1542;741;744;567;187;238;131;78;213;75;17;;1;3.0;2.0;;993.0
Noordenveld-G1699;;20;3965;2579;4049;4597;1476;968;1270;532;59;248;84;16.0;5;9.0;7.0;;4281.0
Noorder-Koggenland-G0529;;3;1568;1211;1380;936;373;390;333;140;67;162;50;3.0;0;;2.0;;1257.0
Noordoostpolder-G0171;;21;10701;3324;3512;3257;1224;978;959;1717;588;393;77;19.0;10;;5.0;;5155.0
Noordwijk-G0575;;25;4537;3401;2999;1509;842;694;764;245;53;209;71;13.0;0;7.0;3.0;;3174.0
Noordwijkerhout-G0576;;9;3357;2019;1832;755;503;380;397;42;10;153;47;10.0;2;5.0;3.0;;1703.0
Nuenen, Gerwen en Nederwetten-G0820;;20;5194;2344;3013;1585;983;782;1033;78;8;195;66;8.0;2;23.0;4.0;;2312.0
Nunspeet-G0302;;8;5750;2011;1699;965;429;392;311;1865;3450;150;32;15.0;1;8.0;3.0;;2144.0
Nuth-G0951;;8;4521;1722;1123;1105;619;479;324;20;5;417;30;5.0;4;2.0;2.0;;2428.0
Obdam-G0429;;7;1644;587;767;416;239;177;177;21;3;104;23;4.0;0;;2.0;;633.0
Oegstgeest-G0579;;24;3298;1884;3286;1575;1014;595;1153;248;38;144;44;10.0;3;8.0;1.0;;1762.0
Oirschot-G0823;;40;4979;1584;1703;1025;420;500;372;15;11;177;35;10.0;1;28.0;1.0;;2506.0
Oisterwijk-G0824;;15;5597;2550;2733;1671;1146;832;817;66;10;177;62;8.0;4;13.0;5.0;;3593.0
Oldebroek-G0269;;16;5115;1330;972;1302;240;265;233;2295;1791;125;17;8.0;10;5.0;3.0;;2904.0
Oldenzaal-G0173;;25;8509;2246;2596;2651;1221;1006;833;77;14;249;76;9.0;12;5.0;1.0;;4276.0
Olst-Wijhe-G1773;;16;3989;1110;1428;2096;630;451;447;117;43;130;22;12.0;1;1.0;2.0;;2261.0
Ommen-G0175;;9;5397;978;1308;1048;419;292;437;1213;110;99;24;5.0;3;6.0;1.0;;1395.0
Onderbanken-G0881;;10;2019;886;505;576;269;304;144;19;2;99;9;8.0;2;6.0;1.0;;1514.0
Oostburg-G0692;;9;3009;1731;1957;1817;537;430;426;151;114;213;58;;7;4.0;1.0;;3026.0
Oosterhout-G0826;;29;8895;5303;5718;4192;1854;1879;1872;135;18;614;178;79.0;63;27.0;5.0;;9105.0
Oostflakkee-G0580;;4;1753;1297;713;1036;169;235;200;373;543;114;17;6.0;2;1.0;3.0;;1398.0
Ooststellingwerf-G0085;;51;4431;2165;2219;3926;1053;818;637;465;77;258;61;;6;14.0;1.0;;3967.0
Oostzaan-G0431;;7;818;1352;1237;973;417;355;370;79;17;170;24;3.0;2;;2.0;;1068.0
Opmeer-G0432;;8;2461;1109;1355;688;332;319;388;37;2;199;42;9.0;2;;0.0;;1352.0
Opsterland-G0086;;9;4692;1911;2400;4212;1195;1010;767;1128;100;261;63;;7;11.0;5.0;;3787.0
Oss-G0828;;37;10560;6648;5645;4228;1858;7345;1916;106;26;418;104;32.0;46;35.0;8.0;;11440.0
Oud-Beijerland-G0584;;14;3830;2925;2219;1596;591;566;718;484;1187;216;45;6.0;5;6.0;2.0;;2583.0
Ouder-Amstel-G0437;;6;2068;1352;1780;1141;521;434;649;79;54;147;44;;1;6.0;1.0;;1567.0
Ouderkerk-G0644;;2;1300;841;769;715;146;147;160;375;734;86;6;0.0;0;1.0;0.0;;775.0
Oudewater-G0589;;11;2565;1087;892;508;222;177;207;259;164;107;9;6.0;0;7.0;;;1105.0
Overbetuwe-G1734;;16;8277;3354;3806;3304;1634;1203;1502;491;529;331;63;17.0;6;15.0;5.0;;5572.0
Papendrecht-G0590;;20;5277;3882;2928;2351;774;827;902;932;688;387;69;35.0;11;2.0;6.0;;3944.0
Pekela-G0765;;12;1403;1236;669;2434;785;452;206;183;23;121;18;6.0;1;12.0;3.0;;2791.0
Pijnacker-Nootdorp-G1926;;18;7730;4046;3932;1886;1020;795;1167;382;229;457;48;6.0;6;7.0;3.0;;3293.0
Purmerend-G0439;;39;7032;9902;8164;7022;2969;2940;2578;389;49;1342;463;81.0;15;;15.0;;12051.0
Putten-G0273;;5;6060;2223;1690;993;432;318;342;1515;1187;167;28;8.0;3;8.0;2.0;;2241.0
Raalte-G0177;;23;12230;1985;2549;2475;1087;732;912;286;25;300;45;6.0;7;13.0;1.0;;4664.0
Ravenstein-G0835;;1;2084;712;649;712;295;620;275;15;6;55;24;2.0;1;4.0;0.0;;930.0
Reeuwijk-G0595;;5;2709;1578;1663;607;301;190;370;324;589;107;24;6.0;0;3.0;2.0;;1121.0
Reiderland-G1661;;6;329;879;369;1160;382;460;101;34;5;78;16;10.0;2;7.0;5.0;;1661.0
Reimerswaal-G0703;;6;3305;1809;1205;1085;312;338;241;444;3448;206;41;;4;8.0;3.0;;2508.0
Renkum-G0274;;18;5854;2746;3928;3257;1898;1190;1275;343;110;239;63;19.0;6;13.0;2.0;;4131.0
Renswoude-G0339;;2;1122;404;354;142;36;65;38;133;333;30;0;1.0;0;1.0;;;318.0
Reusel-De Mierden-G1667;;10;3501;1088;962;678;285;311;235;19;5;164;24;2.0;2;13.0;0.0;;1908.0
Rheden-G0275;;40;7093;3979;4752;5865;2207;1895;1597;503;66;406;114;28.0;14;6.0;6.0;;6546.0
Rhenen-G0340;;30;2821;1845;1588;1457;527;387;418;344;1458;134;31;5.0;3;4.0;;;2140.0
Ridderkerk-G0597;;31;7150;6917;3383;4048;955;1130;1014;1343;2411;646;108;40.0;45;19.0;6.0;;6536.0
Rijnsburg-G0602;;3;4482;1442;957;461;233;156;225;770;193;106;19;2.0;2;3.0;6.0;;1562.0
Rijnwaarden-G0196;;23;2191;1191;778;1090;343;343;297;21;2;100;28;4.0;1;10.0;2.0;;2117.0
Rijnwoude-G1672;;8;4377;1970;1874;1234;502;537;607;375;710;189;20;1.0;1;5.0;1.0;;1968.0
Rijssen-G0178;;8;7599;1903;2113;2305;512;476;417;2711;5104;173;33;4.0;6;10.0;6.0;;2341.0
Rijswijk-G0603;;47;7929;7454;5439;3819;1775;1486;1704;371;110;738;121;60.0;17;16.0;7.0;;7373.0
Roerdalen-G1669;;11;2469;1252;814;625;335;236;243;16;2;81;29;6.0;2;2.0;2.0;;1773.0
Roermond-G0957;;29;6861;5201;3561;2865;1759;1180;993;100;17;393;96;41.0;210;12.0;9.0;;10272.0
Roggel en Neer-G1670;;9;2189;783;728;456;255;191;177;8;2;80;30;3.0;2;4.0;0.0;;1427.0
Roosendaal-G1674;;34;13309;8797;7403;4833;2452;2464;1821;232;29;912;189;53.0;33;31.0;7.0;;15034.0
Rotterdam-G0599;;716;47023;88861;35321;61127;21483;18778;13192;4727;2393;4317;921;377.0;1100;179.0;86.0;;128109.0
Rozenburg-G0600;;10;1877;2136;1053;1034;317;373;472;218;50;285;57;14.0;9;3.0;3.0;;2241.0
Rozendaal-G0277;;0;284;150;390;109;67;37;74;6;4;5;0;0.0;0;1.0;0.0;;83.0
Rucphen-G0840;;7;3520;3667;1746;1533;410;496;283;33;5;268;37;9.0;3;10.0;2.0;;5930.0
Ruurlo-G0278;;7;1833;588;1357;913;196;196;216;23;8;55;7;5.0;0;3.0;1.0;;1057.0
Sas van Gent-G0704;;2;1281;886;658;691;227;175;255;28;24;63;35;;2;3.0;3.0;;1683.0
Sassenheim-G0604;;14;3458;1626;1829;893;464;395;559;87;19;145;18;7.0;2;6.0;0.0;;1543.0
Schagen-G0441;;8;2387;1647;2274;1760;849;702;680;86;16;277;83;16.0;20;;3.0;;2644.0
Scheemda-G0039;;6;2189;1176;927;2444;640;528;337;374;22;154;28;5.0;1;6.0;2.0;;2256.0
Schermer-G0458;;13;1017;506;576;405;203;172;176;21;2;52;14;0.0;0;;0.0;;464.0
Scherpenzeel-G0279;;1;1974;766;814;483;130;127;156;363;915;74;15;1.0;0;2.0;1.0;;793.0
Schiedam-G0606;;56;8227;11935;5278;7149;2401;2864;1697;507;181;910;266;56.0;171;39.0;8.0;;14090.0
Schiermonnikoog-G0088;;0;290;90;172;189;86;66;69;16;4;4;1;;0;0.0;0.0;;
Schijndel-G0844;;34;4268;2315;1925;1526;762;1368;577;18;15;209;138;9.0;1;23.0;2.0;;4273.0
Schinnen-G0962;;5;3737;1295;942;960;543;352;344;45;1;133;32;8.0;1;2.0;1.0;;1991.0
Schipluiden-G0607;;9;3189;1102;1132;537;315;279;343;139;35;96;6;0.0;0;5.0;2.0;;767.0
Schoonhoven-G0608;;12;2209;1422;1186;940;490;381;397;295;234;133;20;15.0;2;5.0;2.0;;1337.0
Schouwen-Duiveland-G1676;;83;6143;3873;4055;3118;916;900;790;793;1762;366;78;;1;23.0;6.0;;3615.0
Sevenum-G0964;;7;2342;548;482;335;212;250;166;13;1;58;24;0.0;1;3.0;0.0;;1041.0
's-Gravendeel-G0517;;3;1760;1088;722;950;154;244;193;197;321;95;14;2.0;1;2.0;1.0;;1175.0
's-Gravenhage-G0518;;596;45077;57446;47749;41794;20183;13860;15810;3237;1345;3228;903;437.0;830;112.0;53.0;63.0;99751.0
's-Gravenzande-G0519;;5;4863;2734;2064;892;238;276;315;351;425;185;22;6.0;3;4.0;2.0;;2078.0
's-Hertogenbosch-G0796;;96;18536;14704;12393;10699;7252;6510;4503;383;73;1113;319;86.0;51;80.0;20.0;;22879.0
Simpelveld-G0965;;4;2777;1209;545;881;334;278;204;15;3;142;25;3.0;1;5.0;2.0;;2135.0
Sint Anthonis-G1702;;18;3822;940;781;645;405;348;230;9;5;74;37;9.0;4;7.0;3.0;;1209.0
Sint-Michielsgestel-G0845;;16;6231;2772;2474;2027;1033;1162;859;46;6;275;75;20.0;8;17.0;4.0;;4186.0
Sint-Oedenrode-G0846;;15;4453;1657;1520;1175;592;573;417;28;4;151;60;14.0;2;17.0;2.0;;2222.0
Sittard-Geleen-G1883;;93;18948;9937;5919;7242;4806;2902;2275;214;37;1733;347;183.0;28;32.0;12.0;;20031.0
Skarsterlân-G0051;;16;6665;2034;2182;3075;960;672;677;325;44;266;51;;6;20.0;5.0;;3238.0
Sliedrecht-G0610;;12;3524;2451;1490;2179;452;618;442;1087;2098;259;30;8.0;19;5.0;0.0;;3212.0
Slochteren-G0040;;13;1946;1219;1345;2047;542;400;482;844;88;153;40;7.0;2;10.0;2.0;;2240.0
Sluis-Aardenburg-G1698;;4;1189;682;763;507;148;140;154;10;8;40;14;;6;2.0;1.0;;945.0
Smallingerland-G0090;;35;10311;3544;3298;7108;2177;1910;1369;2272;249;426;104;;9;19.0;9.0;;7361.0
Sneek-G0091;;15;5785;2571;2776;3772;1343;1125;932;548;31;289;60;;6;19.0;2.0;;5257.0
Soest-G0342;;23;7709;4947;6158;2816;1707;1225;1616;786;271;459;105;44.0;31;13.0;;;5608.0
Someren-G0847;;12;4872;2110;1455;844;405;515;322;39;8;201;54;6.0;3;7.0;3.0;;2642.0
Son en Breugel-G0848;;4;3412;1666;1930;785;503;441;516;60;2;122;39;2.0;2;8.0;0.0;;1795.0
Spijkenisse-G0612;;56;8057;13447;6403;6505;2163;2325;1859;716;271;1023;222;113.0;23;32.0;20.0;;13300.0
Stadskanaal-G0037;;21;6184;2439;1730;4437;836;864;515;1699;88;377;44;20.0;6;17.0;7.0;;6770.0
Staphorst-G0180;;3;2648;617;784;567;126;102;157;1648;2829;90;12;5.0;0;10.0;14.0;;948.0
Stede Broec-G0532;;12;3821;2503;2120;1546;838;740;704;104;15;393;92;10.0;10;;4.0;;2901.0
Steenbergen-G0851;;15;4198;2886;2206;1808;531;636;604;151;193;244;56;8.0;2;4.0;1.0;;4514.0
Steenderen-G0280;;10;1544;333;472;512;130;143;106;34;6;40;9;2.0;0;2.0;1.0;;452.0
Steenwijk-G0181;;28;8945;3396;3482;4906;1235;1057;1036;1461;144;397;90;20.0;20;36.0;8.0;;5384.0
Stein-G0971;;18;5934;3295;1638;1892;998;731;637;47;15;309;83;31.0;11;16.0;9.0;;5268.0
Strijen-G0617;;7;1709;1307;978;736;223;260;219;168;240;111;19;7.0;1;4.0;1.0;;1109.0
Susteren-G0974;;16;3132;1295;881;1027;454;328;345;25;4;132;37;10.0;0;8.0;3.0;;2352.0
Swalmen-G0975;;4;1692;823;655;601;261;226;211;6;3;90;40;11.0;12;1.0;1.0;;2042.0
Ten Boer-G0009;;9;1286;472;526;841;285;276;179;584;66;50;19;6.0;1;1.0;0.0;;669.0
Ter Aar-G0480;;4;2309;1111;924;419;246;167;233;65;51;88;11;2.0;1;3.0;0.0;;987.0
Terneuzen-G0715;;17;5446;3450;2559;2770;949;865;818;1006;991;267;99;;17;14.0;2.0;;6355.0
Terschelling-G0093;;4;978;599;869;740;290;239;228;56;8;60;20;;0;1.0;2.0;;
Texel-G0448;;12;2790;1531;1800;1422;830;741;536;141;56;204;48;2.0;5;;0.0;;158.0
Tholen-G0716;;8;3419;2192;1406;1686;383;429;314;802;3256;261;35;;6;10.0;6.0;;3060.0
Thorn-G0977;;25;669;299;185;208;85;60;60;5;1;20;3;1.0;1;1.0;0.0;;388.0
Tiel-G0281;;31;4768;4357;3898;4271;1373;1039;971;317;171;412;70;26.0;45;13.0;;;6933.0
Tilburg-G0855;;134;27084;18275;15266;13663;9702;8885;6203;525;165;1719;1102;265.0;311;157.0;73.0;;44699.0
Tubbergen-G0183;;11;8755;1246;978;707;269;267;214;22;21;140;14;2.0;0;2.0;1.0;;2008.0
Tynaarlo-G1730;;14;4037;2389;4670;4223;1583;974;1373;593;31;308;55;11.0;3;18.0;4.0;;3938.0
Tytsjerksteradiel-G0737;;25;8394;2187;2151;3453;1187;852;738;776;148;254;37;;9;9.0;3.0;;3629.0
Ubbergen-G0282;;6;1962;735;903;999;584;455;335;22;5;61;23;9.0;1;3.0;;;1186.0
Uden-G0856;;29;8044;3987;4024;2277;1260;2237;1110;89;16;356;86;35.0;10;29.0;8.0;;6602.0
Uitgeest-G0450;;7;1990;1239;1410;1043;518;458;436;52;7;183;45;5.0;1;;3.0;;1270.0
Uithoorn-G0451;;14;4485;2985;3973;1926;872;753;967;175;22;289;98;;9;14.0;11.0;;3090.0
Urk-G0184;;2;2932;484;59;38;11;33;23;2074;3136;13;1;3.0;1;;4.0;;1172.0
Utrecht-G0344;;548;26533;21140;22920;27969;21867;14346;12159;2182;521;2283;418;154.0;259;91.0;;;43196.0
Vaals-G0981;;4;1759;817;394;782;248;136;129;21;3;69;26;5.0;1;2.0;1.0;;1748.0
Valkenburg (ZH)-G0619;;2;1022;380;321;173;72;50;60;183;28;34;3;0.0;0;0.0;0.0;;391.0
Valkenburg aan de Geul-G0994;;6;5924;1842;1135;902;507;606;356;45;7;79;27;9.0;2;6.0;1.0;;2849.0
Valkenswaard-G0858;;25;6422;3535;3232;2085;1077;1266;862;88;11;264;130;18.0;2;50.0;9.0;;4869.0
Veendam-G0047;;16;2949;2416;2342;4889;1074;888;776;437;17;349;71;19.0;44;22.0;6.0;;5570.0
Veenendaal-G0345;;35;11617;5152;4769;3310;1585;1098;1017;3870;3179;431;63;26.0;16;17.0;;;7094.0
Veere-G0717;;5;5240;1633;2325;1369;739;485;520;655;1820;209;48;;4;7.0;3.0;;1437.0
Veghel-G0860;;23;8702;3440;3259;2239;1021;1211;919;55;19;331;76;18.0;20;33.0;3.0;;5247.0
Veldhoven-G0861;;36;8632;4355;4410;2652;1439;1809;1366;215;16;454;110;26.0;6;47.0;10.0;;6358.0
Velsen-G0453;;53;9370;8076;7124;6299;2505;2581;2178;815;99;969;278;;11;36.0;13.0;;10069.0
Venhuizen-G0454;;11;1354;899;1181;551;246;249;241;23;6;133;16;3.0;1;;1.0;;856.0
Venlo-G0983;;62;15674;10297;7158;5690;3656;2082;2054;185;44;783;285;70.0;71;37.0;19.0;;18926.0
Venray-G0984;;18;8308;3508;2823;2523;1379;1243;998;58;14;293;126;39.0;26;11.0;6.0;;7007.0
Vianen-G0620;;14;3474;2321;1725;1758;623;640;532;233;366;270;26;10.0;4;7.0;;;2560.0
Vlaardingen-G0622;;50;10175;10894;5706;6715;2249;2963;1775;892;789;776;179;49.0;43;25.0;15.0;;13475.0
Vlagtwedde-G0048;;10;2860;1570;1130;2325;508;479;334;235;26;156;28;3.0;2;6.0;0.0;;3380.0
Vlieland-G0096;;3;178;140;262;148;79;56;55;9;8;21;16;;0;2.0;0.0;;
Vlissingen-G0718;;31;6359;5044;3613;4018;1655;1791;1147;634;460;492;151;;32;20.0;8.0;;9074.0
Vlist-G0623;;6;1904;1119;1010;708;203;214;286;243;554;122;28;7.0;1;10.0;2.0;;954.0
Voerendaal-G0986;;6;3675;1319;946;989;414;381;363;20;5;85;6;4.0;1;4.0;1.0;;1984.0
Voorhout-G0625;;14;2967;1461;2043;748;499;392;533;69;21;100;14;5.0;4;4.0;0.0;;1205.0
Voorschoten-G0626;;17;3959;2180;3456;1457;991;552;999;169;78;152;49;15.0;4;4.0;2.0;;2304.0
Voorst-G0285;;11;5781;1637;2442;2304;781;533;692;143;211;215;47;9.0;4;15.0;2.0;;3158.0
Vorden-G0286;;5;2309;597;1060;794;289;255;275;62;12;66;10;3.0;1;1.0;0.0;;928.0
Vriezenveen-G0186;;10;9951;1829;1263;2718;543;540;390;1892;621;233;36;8.0;7;5.0;7.0;;4730.0
Vught-G0865;;26;4765;2192;3056;1993;1122;954;986;61;14;170;56;10.0;7;13.0;0.0;;3731.0
Waalre-G0866;;11;3511;1609;2436;985;523;500;555;49;5;127;42;7.0;3;40.0;2.0;;1766.0
Waalwijk-G0867;;26;8482;5155;4153;2988;1476;1546;1081;499;575;456;171;33.0;22;36.0;6.0;;8101.0
Waddinxveen-G0627;;17;4730;3006;2612;1709;622;522;841;1074;1061;281;54;22.0;9;15.0;4.0;;3053.0
Wageningen-G0289;;0;4386;1725;2838;4104;3212;1831;1571;661;256;215;45;25.0;17;8.0;5.0;;4701.0
Warmond-G0628;;5;1189;578;638;286;163;151;216;13;11;52;13;2.0;1;1.0;0.0;;538.0
Warnsveld-G0291;;7;1535;566;1093;1066;441;410;430;134;9;62;6;3.0;1;3.0;1.0;;1100.0
Wassenaar-G0629;;22;4126;2894;5586;925;526;369;629;97;30;145;39;15.0;2;5.0;2.0;;2464.0
Wateringen-G0630;;13;3891;2352;1823;732;328;294;401;100;26;202;27;6.0;3;4.0;0.0;;1726.0
Waterland-G0852;;12;2944;2299;2123;1555;768;702;623;112;22;254;74;7.0;0;;6.0;;1558.0
Weert-G0988;;37;8509;5735;5558;3183;1366;1439;1206;99;16;419;119;28.0;15;18.0;1.0;;8912.0
Weesp-G0457;;5;2466;1994;1979;1677;850;726;644;118;41;213;218;;8;7.0;5.0;;2608.0
Wehl-G0292;;3;1952;604;378;574;161;155;110;5;5;40;12;2.0;3;3.0;1.0;;1119.0
Werkendam-G0870;;13;5884;2611;1866;1726;490;521;427;777;1728;224;38;10.0;2;10.0;2.0;;3260.0
Wervershoof-G0459;;8;2137;1063;780;441;266;196;231;24;6;156;31;4.0;4;;3.0;;876.0
West Maas en Waal-G0668;;5;4519;2071;1790;1476;635;624;434;31;8;148;41;13.0;3;3.0;;;2307.0
Wester-Koggenland-G0558;;14;3149;1306;1713;922;414;427;391;30;8;230;39;7.0;0;;5.0;;1520.0
Westerveld-G1701;;11;2840;1647;2751;3185;764;620;615;156;37;198;28;8.0;3;6.0;1.0;;1977.0
Westervoort-G0293;;7;2428;1533;1393;1602;832;618;546;146;10;163;26;13.0;0;4.0;1.0;;2427.0
Weststellingwerf-G0098;;18;4149;2437;2342;3589;894;817;561;248;35;269;49;;1;18.0;4.0;;4232.0
Westvoorne-G0614;;6;2098;2261;2353;1105;286;345;470;52;50;186;31;1.0;4;5.0;3.0;;1770.0
Wierden-G0189;;5;7993;1495;1642;1280;453;353;359;1048;393;136;29;9.0;3;7.0;1.0;;2153.0
Wieringen-G0462;;6;979;1044;1019;857;237;338;222;31;5;126;235;5.0;1;;1.0;;1393.0
Wieringermeer-G0463;;9;2588;1485;1424;914;339;364;340;202;51;171;62;2.0;2;;8.0;;1536.0
Wijchen-G0296;;38;7871;3865;3739;3335;1549;1498;1222;96;6;347;93;26.0;11;20.0;;;5332.0
Wijdemeren-G1696;;22;4528;2828;3485;1521;804;734;864;200;100;242;80;;1;11.0;2.0;;2468.0
Wijk bij Duurstede-G0352;;17;4042;2259;2691;1651;1018;811;707;244;290;284;34;13.0;10;10.0;;;2828.0
Winschoten-G0052;;16;1911;1732;1397;3241;862;586;484;363;21;148;31;4.0;2;4.0;4.0;;3903.0
Winsum-G0053;;13;2675;754;982;1871;761;554;426;650;38;116;11;2.0;2;2.0;0.0;;1430.0
Winterswijk-G0294;;18;4640;1929;3627;4108;1029;829;844;184;22;219;67;12.0;13;16.0;3.0;;4466.0
Wisch-G0295;;15;4581;1581;1715;1835;583;565;488;168;8;163;30;3.0;11;10.0;0.0;;3235.0
Woensdrecht-G0873;;12;3658;2659;2246;1269;507;496;503;47;16;242;84;18.0;11;12.0;2.0;;3941.0
Woerden-G0632;;25;10011;4678;4870;2938;1727;1337;1615;1121;911;461;78;21.0;3;20.0;;;5213.0
Wognum-G0466;;2;2149;766;800;428;261;200;301;21;1;106;29;2.0;2;;1.0;;872.0
Wormerland-G0880;;7;2241;1612;1826;1454;1005;698;595;122;16;236;63;9.0;10;;4.0;;1782.0
Woudenberg-G0351;;6;2320;820;992;550;256;234;246;518;909;67;10;9.0;1;6.0;;;1021.0
Woudrichem-G0874;;10;3631;1226;1016;909;278;345;258;807;356;116;11;2.0;2;5.0;0.0;;1820.0
Wûnseradiel-G0710;;2;3124;1004;909;1082;389;418;265;144;14;110;15;;1;11.0;0.0;;1271.0
Wymbritseradiel-G0683;;6;4941;1036;1226;1075;606;407;377;254;30;135;18;;1;4.0;0.0;;1671.0
Zaanstad-G0479;;115;15023;15847;12935;14512;6930;6947;4577;1141;213;2072;547;121.0;218;;37.0;;21410.0
Zaltbommel-G0297;;15;4120;2010;2265;2126;743;628;621;818;1965;164;34;13.0;2;10.0;;;3220.0
Zandvoort-G0473;;15;1879;2775;2593;1320;502;491;575;44;4;199;147;;11;4.0;2.0;;2673.0
Zederik-G0707;;20;3405;1161;987;974;170;203;214;663;1045;99;19;2.0;3;1.0;0.0;;1019.0
Zeevang-G0478;;12;661;714;1181;593;278;249;250;15;4;86;39;3.0;0;;2.0;;666.0
Zeewolde-G0050;;4;2974;1768;2356;934;555;337;482;866;96;186;17;8.0;0;;0.0;;1632.0
Zeist-G0355;;39;8720;6056;7156;4669;3341;2201;2211;1075;816;610;102;62.0;9;13.0;;;8307.0
Zelhem-G0298;;4;2611;868;1129;1143;292;271;284;101;113;97;20;0.0;1;3.0;1.0;;1755.0
Zevenaar-G0299;;11;5550;2378;2418;2490;1046;966;893;95;20;230;57;21.0;0;10.0;2.0;;4189.0
Zevenhuizen-Moerkapelle-G1666;;8;1717;1161;1020;720;147;132;226;369;768;106;22;3.0;0;3.0;4.0;;907.0
Zijpe-G0476;;10;1984;1190;1483;1069;414;372;350;45;8;206;56;4.0;4;;6.0;;1353.0
Zoetermeer-G0637;;71;15158;13119;12224;9142;3991;4107;4669;1365;659;1089;179;145.0;37;32.0;6.0;;16036.0
Zoeterwoude-G0638;;8;2079;893;799;493;353;251;296;23;42;66;13;4.0;1;2.0;0.0;;1036.0
Zuidhorn-G0056;;22;3931;932;1267;1844;751;503;426;1693;139;112;30;5.0;4;7.0;0.0;;1513.0
Zundert-G0879;;14;4370;1993;1869;1186;500;507;423;42;3;226;43;5.0;4;8.0;1.0;;3947.0
Zutphen-G0301;;32;4326;2732;2955;4880;2375;2080;1391;487;34;277;62;32.0;19;9.0;4.0;;5609.0
Zwartewaterland-G1896;;10;4694;1114;1009;1315;330;294;237;1940;2117;162;22;5.0;4;3.0;1.0;;2006.0
Zwijndrecht-G0642;;28;6800;5594;3573;3427;1023;1108;1007;1253;996;465;125;40.0;34;8.0;12.0;;6034.0
Zwolle-G0193;;55;18387;7057;8600;12056;6862;4273;3599;5184;415;834;194;53.0;35;30.0;17.0;;15892.0
