RegioNaam;@invalid;@blank;CDA;PvdA;VVD;D66;GL;SGP;GPV/RPF;Centrumdemocraten;SP;Gereformeerd Politiek Verbond (GPV);DG;Partij Nieuw Limburg;SGP-GPV-RPF;Brabantse Onafhankelijke Federatie;SGP/RPF;Centrumpartij;FNP;Reformatorische Politieke Federatie (RPF);Delta Anders;Onafhankelijke Partijen Drenthe;Socialistische Arbeiderspartij;Lokale Partijen Gelderland;VCN: partij van communisten in Nederland;Vooruitstrevende Volkspartij;Lijst Hendriks;@abs
Gieten-G0116;15;;383;1048;717;512;106;;;;;13.0;;;;;21.0;;;;;179.0;;;;;;1611
Gilze en Rijen-G0784;12;;3861;1469;861;1173;174;;;58.0;76.0;;53.0;;31.0;220.0;;32.0;;;;;7.0;;;;;8960
Goedereede-G0511;30;;1318;656;622;340;58;1956.0;332.0;21.0;17.0;;9.0;;;;;7.0;;;;;1.0;;;1.0;;2583
Goes-G0664;98;;3576;2374;1810;1919;759;1519.0;592.0;;;;;;;;;;;;559.0;;;;;;;11576
Goirle-G0785;33;;2648;1250;778;1126;512;;;12.0;36.0;;38.0;;30.0;205.0;;22.0;;;;;5.0;;;;;7116
Goor-G0156;36;;1799;1700;833;923;100;13.0;;;29.0;30.0;;;;;;;;38.0;;;;;11.0;;;3526
Gorinchem-G0512;52;;2422;3250;1617;1880;392;398.0;436.0;146.0;35.0;;56.0;;;;;53.0;;;;;3.0;;;7.0;;10197
Gorssel-G0239;21;;2524;1429;1841;1158;228;21.0;80.0;16.0;3.0;;33.0;;;;;;;;;;1.0;13.0;;;7.0;3444
Gouda-G0513;100;;5827;5938;3940;4867;1410;1488.0;971.0;758.0;122.0;;146.0;;;;;237.0;;;;;19.0;;;18.0;;21511
Graafstroom-G0693;18;;1921;474;441;335;62;1076.0;347.0;28.0;2.0;;10.0;;;;;;;;;;1.0;;;1.0;;1782
Graft-De Rijp-G0365;7;;750;529;854;334;104;;;11.0;4.0;;35.0;;15.0;;;4.0;;;;;2.0;;1.0;;;1600
Gramsbergen-G0157;9;;1629;792;266;206;34;4.0;;;4.0;154.0;;;;;;;;48.0;;;;;;;;1287
Grave-G0786;10;;1792;565;553;626;186;;;7.0;68.0;;14.0;;24.0;26.0;;16.0;;;;;1.0;;;;;4023
Groenlo-G0240;7;;2426;627;348;380;80;4.0;6.0;10.0;15.0;;8.0;;;;;;;;;;1.0;1.0;;;;2864
Groesbeek-G0241;45;;3090;2050;764;810;404;10.0;19.0;44.0;33.0;;29.0;;;;;;;;;;10.0;7.0;;;18.0;7202
Groningen-G0014;315;;11220;18877;9135;15250;9995;;;;2108.0;4381.0;;;;;671.0;;;;;;156.0;;277.0;;;67054
Grootegast-G0015;14;;2801;850;492;364;115;;;;6.0;496.0;;;;;190.0;;;;;;1.0;;1.0;;;3020
Grubbenvorst-G0912;6;;1744;459;397;225;51;;;;8.0;;;24.0;11.0;;;;;;;;;;;;;2180
Gulpen-G0913;22;;1704;541;269;284;99;;;;10.0;;;258.0;7.0;;;;;;;;;;;;;2525
Haaksbergen-G0158;45;;6050;1762;1336;1328;255;11.0;;;14.0;20.0;;;;;;;;23.0;;;;;6.0;;;6258
Haaren-G0788;8;;1274;218;233;233;86;;;1.0;8.0;;15.0;;4.0;51.0;;9.0;;;;;;;;;;1823
Haarlem-G0392;408;;13312;13124;9259;13808;4656;;;1569.0;121.0;;1178.0;;1136.0;;;;;;;;70.0;;56.0;;;57938
Haarlemmerliede en Spaarnwoude-G0393;9;;853;315;396;344;109;;;38.0;3.0;;67.0;;35.0;;;;;;;;1.0;;3.0;;;1731
Haarlemmermeer-G0394;78;;10541;4643;8371;6374;1938;;;356.0;35.0;;679.0;;1389.0;;;95.0;;;;;;;34.0;;;37674
Haelen-G0914;20;;2115;478;424;419;165;;;;8.0;;;163.0;15.0;;;;;;;;;;;;;3681
Halsteren-G0789;21;;1687;878;689;623;143;;;23.0;20.0;;25.0;;30.0;134.0;;21.0;;;;;4.0;;;;;5570
Haps-G0790;7;;711;160;65;79;15;;;3.0;2.0;;2.0;;;304.0;;5.0;;;;;2.0;;;;;743
Hardenberg-G0160;44;;7821;2654;1032;1087;196;49.0;;;25.0;3027.0;;;;;;;;211.0;;;;;;;;7263
Harderwijk-G0243;37;;5593;1596;2423;1600;429;945.0;1428.0;64.0;43.0;;48.0;;;;;;;;;;10.0;82.0;;;;11067
Hardinxveld-Giessendam-G0523;16;;1786;1150;661;598;95;1950.0;1062.0;49.0;6.0;;15.0;;;;;7.0;;;;;;;;1.0;;4964
Haren-G0017;26;;2528;1841;2685;1932;601;;;;11.0;527.0;;;;;95.0;;;;;;8.0;;6.0;;;4219
Harenkarspel-G0395;20;;2251;813;958;701;204;;;29.0;;;96.0;;59.0;;;;;;;;;;1.0;;;4798
Harlingen-G0072;22;;1653;2348;900;915;375;;;65.0;;258.0;;;;;85.0;;116.0;;;;;;13.0;;;5115
Harmelen-G0318;8;;1405;372;775;430;113;115.0;70.0;32.0;12.0;;;;;;;;;;;;;;;;;2430
Hasselt-G0161;9;;1094;557;269;270;87;206.0;;;4.0;488.0;;;;;;;;331.0;;;;;;;;1459
