RegioNaam;@invalid;@blank;CDA;PvdA;VVD;D66;GL;SGP;GPV/RPF;Centrumdemocraten;SP;Gereformeerd Politiek Verbond (GPV);DG;Partij Nieuw Limburg;SGP-GPV-RPF;Brabantse Onafhankelijke Federatie;SGP/RPF;Centrumpartij;FNP;Reformatorische Politieke Federatie (RPF);Delta Anders;Onafhankelijke Partijen Drenthe;Socialistische Arbeiderspartij;Lokale Partijen Gelderland;VCN: partij van communisten in Nederland;Vooruitstrevende Volkspartij;Lijst Hendriks;@abs
Maasland-G0555;10;;1802;219;577;333;67;59.0;90.0;17.0;5.0;;18.0;;;;;10.0;;;;;;;;;;1474
Maassluis-G0556;47;;3585;2191;2344;2242;373;179.0;487.0;208.0;77.0;;72.0;;;;;108.0;;;;;5.0;;;3.0;;12166
Maastricht-G0935;165;;13548;9889;3968;5922;2735;;;;266.0;;;489.0;163.0;;;;;;;;;;;;;56000
Made en Drimmelen-G0812;11;;1924;798;697;623;106;;;15.0;6.0;;27.0;;19.0;430.0;;23.0;;;;;4.0;;;;;4666
Margraten-G0936;30;;3453;813;803;533;336;;;;6.0;;;737.0;14.0;;;;;;;;;;;;;3479
Mariekerke-G0686;13;;534;69;135;143;32;830.0;111.0;;;;;;;;;;;;47.0;;;;;;;575
Markelo-G0169;20;;1169;917;1121;461;56;21.0;;;4.0;11.0;;;;;;;;25.0;;;;;1.0;;;1712
Marum-G0025;16;;1375;1130;702;438;127;;;;2.0;192.0;;;;;94.0;;;;;;10.0;;1.0;;;2617
Maurik-G0264;8;;710;811;524;260;42;43.0;34.0;16.0;5.0;;7.0;;;;;;;;;;;7.0;;;1.0;2017
Medemblik-G0420;5;;848;420;499;311;122;;;26.0;5.0;;28.0;;60.0;;;;;;;;;;8.0;;;2783
Meerlo-Wanssum-G0993;11;;1861;368;287;240;80;;;;11.0;;;21.0;3.0;;;;;;;;;;;;;2376
Meerssen-G0938;54;;3971;1264;1274;1251;373;;;;25.0;;;674.0;14.0;;;;;;;;;;;;;7249
Megen, Haren en Macharen-G0813;8;;704;151;83;126;32;;;;85.0;;4.0;;2.0;63.0;;2.0;;;;;2.0;;;;;986
Meijel-G0941;14;;1256;305;112;125;30;;;;;;;47.0;2.0;;;;;;;;;;;;;2163
Melick en Herkenbosch-G0939;25;;1843;564;647;382;119;;;;6.0;;;130.0;7.0;;;;;;;;;;;;;3825
Menaldumadeel-G0083;31;;2050;1795;879;686;269;;;15.0;;59.0;;;;;64.0;;685.0;;;;;;3.0;;;3277
Meppel-G0119;34;;2573;3313;1560;1767;445;;;;;476.0;;;;;211.0;;;;;153.0;;;;;;7641
Middelburg-G0687;147;;3535;2809;1901;2980;1022;1710.0;1011.0;;;;;;;;;;;;878.0;;;;;;;13795
Middelharnis-G0559;8;;1424;1248;835;625;153;1726.0;449.0;50.0;13.0;;14.0;;;;;9.0;;;;;2.0;;;3.0;;5503
Middenschouwen-G0688;6;;364;218;254;116;21;150.0;94.0;;;;;;;;;;;;9.0;;;;;;;715
Mierlo-G0814;18;;1831;472;590;561;196;;;10.0;22.0;;8.0;;6.0;322.0;;8.0;;;;;5.0;;;;;3293
Mill en Sint Hubert-G0815;25;;3052;845;321;329;87;;;3.0;18.0;;14.0;;13.0;44.0;;6.0;;;;;1.0;;;;;3286
Millingen aan de Rijn-G0265;4;;857;670;145;231;48;2.0;3.0;3.0;8.0;;12.0;;;;;;;;;;2.0;2.0;;;1.0;2110
Moergestel-G0816;16;;1282;210;276;153;51;;;3.0;10.0;;6.0;;9.0;742.0;;3.0;;;;;1.0;;;;;1728
Moerhuizen-G0647;17;;1176;771;954;611;64;873.0;206.0;36.0;7.0;;43.0;;;;;9.0;;;;;2.0;;;2.0;;2384
Monster-G0562;30;;4011;895;1147;771;158;530.0;298.0;137.0;13.0;;31.0;;;;;49.0;;;;;1.0;;;3.0;;6539
Montfoort-G0335;13;;2398;520;899;752;198;488.0;130.0;44.0;17.0;;;;;;;;;;;;;;;;;3519
Mook en Middelaar-G0944;14;;1071;511;560;491;165;;;;5.0;;;316.0;12.0;;;;;;;;;;;;;2284
Moordrecht-G0563;19;;758;615;557;477;96;236.0;65.0;57.0;20.0;;10.0;;;;;14.0;;;;;6.0;;;3.0;;2230
Muiden-G0424;9;;693;565;972;909;89;;;27.0;1.0;;47.0;;52.0;;;;;;;;4.0;;;;;1790
Naaldwijk-G0565;41;;6446;1235;2194;1058;191;164.0;237.0;95.0;12.0;;25.0;;;;;49.0;;;;;5.0;;;3.0;;8612
Naarden-G0425;7;;1728;946;2761;1451;215;;;62.0;8.0;;82.0;;206.0;;;;;;;;5.0;;;;;5220
Nederhorst den Berg-G0426;8;;825;315;702;418;115;;;26.0;12.0;;37.0;;45.0;;;;;;;;1.0;;;;;1517
Nederlek-G0643;38;;1382;1946;1288;1109;209;660.0;133.0;37.0;22.0;;38.0;;;;;27.0;;;;;3.0;;;1.0;;4169
Nederweert-G0946;49;;3777;1018;433;263;72;;;;13.0;;;365.0;16.0;;;;;;;;;;;;;5707
Neede-G0266;14;;2050;1636;753;690;120;10.0;139.0;21.0;10.0;;6.0;;;;;;;;;;2.0;4.0;;;3.0;3060
Neerijnen-G0304;26;;1453;1175;782;456;124;695.0;69.0;36.0;9.0;;10.0;;;;;;;;;;3.0;2.0;;;5.0;3080
Niedorp-G0412;17;;1144;1150;770;577;190;;;40.0;;;51.0;;12.0;;;;;;;;;;1.0;;;3539
Nieuwegein-G0356;13;;5452;3535;3658;4005;1068;357.0;382.0;258.0;155.0;;;;;;;;;;;;;;;;;23313
Nieuwerkerk aan den IJssel-G0567;38;;1872;1226;1833;1476;191;506.0;339.0;83.0;25.0;;29.0;;;;;30.0;;;;;5.0;;;3.0;;5743
Nieuw-Ginneken-G0817;35;;2520;693;965;786;102;;;27.0;10.0;;31.0;;25.0;141.0;;12.0;;;;;2.0;;;;;3700
Nieuwkoop-G0569;10;;1457;615;1126;531;140;159.0;134.0;26.0;11.0;;15.0;;;;;6.0;;;;;;;;2.0;;3704
Nieuw-Lekkerland-G0571;18;;803;812;354;490;83;1197.0;248.0;27.0;6.0;;9.0;;;;;11.0;;;;;1.0;;;3.0;;2007
Nieuwleusen-G0170;6;;1770;585;472;343;51;167.0;;;2.0;336.0;;;;;;;;73.0;;;;;;;;2216
Nieuwveen-G0573;9;;1323;230;535;283;66;75.0;66.0;17.0;11.0;;6.0;;;;;4.0;;;;;;;;2.0;;2259
Nieuw-Vossemeer-G0818;4;;355;252;87;109;30;;;6.0;;;1.0;;3.0;9.0;;3.0;;;;;;;;;;879
Nijefurd-G0104;18;;2381;1001;571;393;254;;;16.0;;54.0;;;;;105.0;;299.0;;;;;;3.0;;;2674
Nijeveen-G0121;6;;700;228;243;207;19;;;;;37.0;;;;;19.0;;;;;35.0;;;;;;600
Nijkerk-G0267;36;;4937;1280;1229;1123;175;1053.0;1051.0;86.0;15.0;;39.0;;;;;;;;;;6.0;8.0;;;3.0;7386
Nijmegen-G0268;241;;14781;12874;4659;10667;7319;72.0;258.0;403.0;1408.0;;574.0;;;;;;;;;;141.0;43.0;;;110.0;60833
Nistelrode-G0819;21;;1800;367;153;229;44;;;3.0;87.0;;7.0;;1.0;100.0;;2.0;;;;;4.0;;;;;2408
Noorder-Koggenland-G0529;23;;1046;717;1049;608;133;;;41.0;14.0;;76.0;;176.0;;;;;;;;;;5.0;;;3157
Noordoostpolder-G0171;50;;7274;2972;2460;2437;570;;;149.0;;709.0;;;;;1132.0;;;;;;;;;;;9466
Noordwijk-G0575;41;;3238;1474;2681;1311;592;99.0;148.0;83.0;18.0;;52.0;;;;;38.0;;;;;12.0;;;9.0;;9019
Noordwijkerhout-G0576;40;;2847;724;1581;1018;249;12.0;26.0;41.0;7.0;;30.0;;;;;25.0;;;;;4.0;;;2.0;;4516
Nootdorp-G0577;10;;1434;319;710;425;96;20.0;50.0;28.0;2.0;;17.0;;;;;7.0;;;;;1.0;;;;;2228
Norg-G0120;13;;575;865;876;543;181;;;;;55.0;;;;;24.0;;;;;212.0;;;;;;1823
Nuenen, Gerwen en Nederwetten-G0820;20;;3312;1166;1441;1737;379;;;14.0;33.0;;37.0;;65.0;182.0;;5.0;;;;;5.0;;;;;6910
Nuland-G0821;9;;1375;217;84;121;17;;;3.0;48.0;;6.0;;5.0;34.0;;5.0;;;;;4.0;;;;;1548
Nunspeet-G0302;25;;3598;912;1473;913;164;3214.0;1805.0;41.0;20.0;;28.0;;;;;;;;;;3.0;38.0;;;1.0;5775
Nuth-G0951;70;;3059;1216;537;693;312;;;;35.0;;;1896.0;27.0;;;;;;;;;;;;;5370
Obdam-G0429;7;;1195;323;414;295;88;;;20.0;3.0;;23.0;;12.0;;;;;;;;;;4.0;;;1923
Odoorn-G0122;34;;1147;2276;1035;841;196;;;;;114.0;;;;;87.0;;;;;61.0;;;;;;3820
Oeffelt-G0822;6;;498;176;72;97;14;;;2.0;4.0;;2.0;;1.0;94.0;;;;;;;;;;;;715
Oegstgeest-G0579;34;;2189;1224;2579;1914;522;72.0;237.0;58.0;27.0;;69.0;;;;;22.0;;;;;7.0;;;;;4868
Oirschot-G0823;17;;2989;699;463;481;124;;;4.0;29.0;;28.0;;11.0;127.0;;13.0;;;;;5.0;;;;;3716
Oisterwijk-G0824;32;;2572;1108;1175;785;289;;;33.0;31.0;;37.0;;35.0;853.0;;22.0;;;;;2.0;;;;;7031
Oldebroek-G0269;29;;2719;1042;657;514;96;1687.0;2027.0;34.0;25.0;;15.0;;;;;;;;;;12.0;4.0;;;4.0;6444
Oldenzaal-G0173;56;;6323;2344;1402;1856;398;13.0;;;50.0;51.0;;;;;;;;30.0;;;;;21.0;;;9602
Olst-G0174;26;;1632;1210;842;538;135;23.0;;;2.0;15.0;;;;;;;;13.0;;;;;2.0;;;2487
Ommen-G0175;23;;4770;1078;1017;999;156;61.0;;;4.0;1099.0;;;;;;;;173.0;;;;;;;;3752
Onderbanken-G0881;46;;1405;632;192;220;83;;;;27.0;;;932.0;26.0;;;;;;;;;;;;;2784
Oost-, West- en Middelbeers-G0825;8;;1348;250;194;185;46;;;4.0;4.0;;4.0;;5.0;35.0;;2.0;;;;;1.0;;;;;1589
Oostburg-G0692;86;;1790;1743;1810;592;162;194.0;164.0;;;;;;;;;;;;558.0;;;;;;;6798
Oosterbroek-G0033;44;;667;2459;645;718;350;;;;46.0;150.0;;;;;67.0;;;;;;13.0;;17.0;;;4056
Oosterhesselen-G0123;11;;704;741;456;314;77;;;;;81.0;;;;;82.0;;;;;30.0;;;;;;1219
Oosterhout-G0826;52;;5809;3108;2857;3072;412;;;76.0;86.0;;637.0;;118.0;29.0;;87.0;;;;;8.0;;;;;19893
Oostflakkee-G0580;19;;1298;1112;543;395;69;689.0;142.0;43.0;10.0;;13.0;;;;;10.0;;;;;1.0;;;2.0;;2873
Ooststellingwerf-G0085;60;;3145;4288;1813;1478;581;;;62.0;;294.0;;;;;196.0;;166.0;;;;;;7.0;;;6638
Oostzaan-G0431;12;;448;859;730;623;484;;;48.0;9.0;;51.0;;96.0;;;;;;;;;;;;;2727
Ootmarsum-G0176;6;;1591;247;230;197;37;;;;1.0;6.0;;;;;;;;7.0;;;;;4.0;;;992
Oploo, Sint Anthonis en Ledeacker-G0827;26;;2375;441;194;253;132;;;3.0;15.0;;9.0;;3.0;159.0;;1.0;;;;;1.0;;;;;1935
Opmeer-G0432;16;;2080;632;739;524;129;;;20.0;11.0;;55.0;;25.0;;;;;;;;;;1.0;;;3124
Opsterland-G0086;65;;3084;4315;1701;1531;804;;;44.0;;806.0;;;;;284.0;;581.0;;;;;;91.0;;;6562
Oss-G0828;74;;5890;2480;2066;2459;389;;;67.0;2807.0;;69.0;;85.0;131.0;;56.0;;;;;95.0;;;;;21206
Ossendrecht-G0829;8;;737;344;245;215;53;;;9.0;1.0;;4.0;;9.0;12.0;;14.0;;;;;4.0;;;;;2223
Oud- en Nieuw-Gastel-G0831;12;;1294;556;319;263;55;;;15.0;8.0;;10.0;;5.0;12.0;;23.0;;;;;3.0;;;;;3707
Oud-Beijerland-G0584;26;;2084;1527;1497;1480;261;1184.0;283.0;93.0;16.0;;26.0;;;;;14.0;;;;;5.0;;;2.0;;6454
Oudenbosch-G0830;22;;1902;813;836;576;145;;;15.0;12.0;;24.0;;21.0;19.0;;28.0;;;;;6.0;;;;;4700
Ouder-Amstel-G0437;22;;1602;758;1225;1145;216;;;72.0;6.0;;60.0;;115.0;;;36.0;;;;;;;;;;3983
Ouderkerk-G0644;10;;947;688;691;444;66;841.0;190.0;31.0;6.0;;14.0;;;;;12.0;;;;;2.0;;;;;2178
Oudewater-G0589;18;;2279;470;617;496;99;267.0;115.0;38.0;7.0;;;;;;;;;;;;;;;;;2642
Papendrecht-G0590;39;;2979;2304;2059;2160;418;704.0;650.0;83.0;34.0;;35.0;;;;;51.0;;;;;5.0;;;7.0;;9430
Peize-G0124;14;;198;844;501;582;127;;;;;8.0;;;;;14.0;;;;;36.0;;;;;;1546
Pekela-G0765;48;;1043;2520;521;581;780;;;;52.0;35.0;;;;;194.0;;;;;;19.0;;51.0;;;4279
Pijnacker-G0594;26;;3726;928;1597;1304;268;282.0;219.0;94.0;12.0;;38.0;;;;;24.0;;;;;1.0;;;3.0;;4743
Posterholt-G0956;26;;2095;763;486;359;125;;;;11.0;;;187.0;8.0;;;;;;;;;;;;;4431
Prinsenbeek-G0832;30;;1924;605;744;699;69;;;10.0;6.0;;20.0;;21.0;223.0;;14.0;;;;;4.0;;;;;3556
Purmerend-G0439;89;;3139;4752;4477;4943;1256;;;696.0;61.0;;262.0;;238.0;;;;;;;;27.0;;15.0;;;25404
Putte-G0833;21;;349;158;219;172;26;;;10.0;4.0;;11.0;;3.0;52.0;;11.0;;;;;;;;;;1399
Putten-G0273;18;;3922;855;1448;772;109;1364.0;1220.0;45.0;5.0;;16.0;;;;;;;;;;1.0;10.0;;;4.0;5758
Raalte-G0177;31;;8349;1528;1148;1126;278;10.0;;;17.0;32.0;;;;;;;;35.0;;;;;5.0;;;7600
Raamsdonk-G0834;31;;1953;1035;737;639;160;;;14.0;15.0;;36.0;;90.0;26.0;;30.0;;;;;3.0;;;;;5563
Ravenstein-G0835;15;;1741;651;277;340;126;;;3.0;82.0;;6.0;;8.0;161.0;;5.0;;;;;6.0;;;;;2722
Reeuwijk-G0595;21;;2042;590;1344;748;145;522.0;259.0;54.0;5.0;;22.0;;;;;11.0;;;;;;;;4.0;;3582
Reimerswaal-G0703;56;;2201;1244;1014;856;159;3038.0;260.0;;;;;;;;;;;;266.0;;;;;;;5030
Renkum-G0274;46;;4978;3076;3607;2786;711;204.0;322.0;95.0;126.0;;79.0;;;;;;;;;;15.0;29.0;;;12.0;9676
Renswoude-G0339;1;;893;137;211;121;12;226.0;85.0;16.0;;;;;;;;;;;;;;;;;;938
Reusel-G0836;12;;1626;373;297;197;44;;;9.0;5.0;;14.0;;4.0;59.0;;3.0;;;;;;;;;;3078
Rheden-G0275;87;;6289;5979;4043;3645;941;109.0;407.0;140.0;71.0;;91.0;;;;;;;;;;13.0;26.0;;;18.0;14523
Rhenen-G0340;16;;1900;1311;1216;924;297;1310.0;291.0;70.0;9.0;;;;;;;;;;;;;;;;;5182
Ridderkerk-G0597;80;;5040;4406;2506;3476;463;2723.0;776.0;182.0;40.0;;76.0;;;;;140.0;;;;;13.0;;;5.0;;15297
Riethoven-G0837;7;;700;86;171;140;15;;;2.0;1.0;;4.0;;2.0;39.0;;1.0;;;;;2.0;;;;;604
Rijneveld-G0646;40;;3477;1147;1677;1382;276;740.0;367.0;80.0;24.0;;45.0;;;;;22.0;;;;;3.0;;;2.0;;4969
Rijnsburg-G0602;24;;3161;484;603;382;62;181.0;718.0;18.0;6.0;;16.0;;;;;7.0;;;;;1.0;;;1.0;;3823
Rijnwaarden-G0196;14;;1591;749;263;398;60;5.0;9.0;8.0;4.0;;11.0;;;;;;;;;;;51.0;;;3.0;4517
Rijsbergen-G0841;12;;1047;250;212;230;41;;;8.0;1.0;;5.0;;18.0;190.0;;;;;;;;;;;;2302
Rijssen-G0178;50;;3736;1256;450;518;94;4908.0;;;17.0;94.0;;;;;;;;1349.0;;;;;4.0;;;3949
Rijswijk-G0603;93;;5793;3538;4771;4181;853;220.0;363.0;502.0;54.0;;108.0;;;;;180.0;;;;;9.0;;;14.0;;17856
Roden-G0125;34;;1816;2657;1640;1765;447;;;;;339.0;;;;;110.0;;;;;72.0;;;;;;5312
Roermond-G0957;75;;4597;2119;1991;1358;1060;;;;32.0;;;984.0;84.0;;;;;;;;;;;;;18849
Roggel-G0958;22;;1809;344;213;195;124;;;;3.0;;;425.0;1.0;;;;;;;;;;;;;2797
Rolde-G0126;9;;411;1028;1074;520;170;;;;;22.0;;;;;7.0;;;;;75.0;;;;;;1455
Roosendaal en Nispen-G0838;102;;8237;3352;2883;2708;906;;;184.0;141.0;;184.0;;164.0;170.0;;240.0;;;;;24.0;;;;;25772
Rosmalen-G0839;55;;2590;1050;1351;1325;515;;;24.0;1670.0;;50.0;;44.0;2469.0;;23.0;;;;;29.0;;;;;9112
Rossum-G0276;5;;550;339;181;154;64;14.0;2.0;6.0;1.0;;6.0;;;;;;;;;;;1.0;;;;1066
Rotterdam-G0599;2469;;34168;55757;24707;38182;11140;4120.0;3663.0;7721.0;2202.0;;1833.0;;;;;3207.0;;;;;383.0;;;360.0;;232780
Rozenburg-G0600;32;;1324;916;944;933;169;64.0;181.0;68.0;16.0;;20.0;;;;;32.0;;;;;4.0;;;1.0;;5790
Rozendaal-G0277;2;;216;76;279;167;23;5.0;10.0;7.0;;;2.0;;;;;;;;;;;2.0;;;;202
Rucphen-G0840;46;;2629;1475;657;447;100;;;29.0;14.0;;31.0;;29.0;762.0;;44.0;;;;;6.0;;;;;10990
Ruinen-G0127;14;;727;916;1060;445;98;;;;;27.0;;;;;41.0;;;;;359.0;;;;;;1700
Ruinerwold-G0128;5;;480;411;443;179;53;;;;;59.0;;;;;12.0;;;;;304.0;;;;;;752
Ruurlo-G0278;17;;1202;798;1037;369;43;12.0;25.0;8.0;6.0;;6.0;;;;;;;;;;4.0;3.0;;;;2345
Sas van Gent-G0704;41;;911;609;449;325;108;33.0;21.0;;;;;;;;;;;;109.0;;;;;;;3533
Sassenheim-G0604;22;;2699;678;1444;1036;165;53.0;77.0;21.0;25.0;;21.0;;;;;79.0;;;;;2.0;;;6.0;;4377
Schagen-G0441;19;;1387;1357;1493;1183;368;;;56.0;;;107.0;;58.0;;;;;;;;;;10.0;;;6631
Schaijk-G0843;15;;1705;427;321;317;87;;;4.0;63.0;;8.0;;4.0;52.0;;1.0;;;;;;;;;;2791
Scheemda-G0039;23;;1755;2536;692;669;288;;;;18.0;94.0;;;;;236.0;;;;;;10.0;;169.0;;;3904
Schermer-G0458;6;;733;404;380;294;42;;;12.0;8.0;;35.0;;9.0;;;5.0;;;;;1.0;;1.0;;;1257
Scherpenzeel-G0279;15;;1537;526;683;351;51;694.0;302.0;27.0;2.0;;3.0;;;;;;;;;;1.0;4.0;;;2.0;2127
Schiedam-G0606;113;;5972;7174;2985;4693;1536;307.0;399.0;992.0;194.0;;114.0;;;;;386.0;;;;;25.0;;;27.0;;28361
Schiermonnikoog-G0088;1;;164;101;108;94;22;;;;;6.0;;;;;1.0;;4.0;;;;;;;;;230
Schijndel-G0844;34;;3262;1130;648;663;157;;;5.0;1651.0;;12.0;;17.0;232.0;;17.0;;;;;14.0;;;;;8373
Schinnen-G0962;24;;3398;1026;544;625;254;;;;30.0;;;789.0;15.0;;;;;;;;;;;;;3876
Schipluiden-G0607;14;;2428;327;518;386;130;48.0;66.0;31.0;5.0;;16.0;;;;;13.0;;;;;;;;;;2071
Schoonebeek-G0129;2;;1675;789;213;301;53;;;;;19.0;;;;;25.0;;;;;280.0;;;;;;2418
Schoonhoven-G0608;25;;1452;871;851;762;219;447.0;138.0;58.0;6.0;;73.0;;;;;11.0;;;;;2.0;;;2.0;;3552
Schoorl-G0444;23;;806;625;674;575;143;;;31.0;13.0;;83.0;;16.0;;;9.0;;;;;2.0;;1.0;;;2233
Sevenum-G0964;6;;2383;344;202;192;46;;;;54.0;;;30.0;4.0;;;;;;;;;;;;;1950
's-Graveland-G0390;10;;1341;651;907;697;138;;;23.0;1.0;;56.0;;138.0;;;;;;;;1.0;;;;;3164
's-Gravendeel-G0517;14;;1249;939;454;367;73;310.0;108.0;23.0;9.0;;8.0;;;;;6.0;;;;;1.0;;;;;2812
's-Gravenhage-G0518;534;;30465;30624;29842;27970;9060;2212.0;2352.0;6497.0;802.0;;998.0;;;;;2187.0;;;;;261.0;;;899.0;;180423
's-Gravenmoer-G0787;4;;445;108;142;109;24;;;;13.0;;2.0;;99.0;3.0;;3.0;;;;;;;;;;665
's-Gravenzande-G0519;6;;3384;852;1488;600;130;473.0;197.0;51.0;8.0;;20.0;;;;;15.0;;;;;2.0;;;;;6345
's-Hertogenbosch-G0796;279;;9110;5688;3113;4919;2221;;;186.0;942.0;;153.0;;226.0;422.0;;300.0;;;;;33.0;;;;;42441
Simpelveld-G0965;9;;2788;1054;291;335;90;;;;27.0;;;624.0;4.0;;;;;;;;;;;;;3817
Sint Philipsland-G0712;21;;228;131;82;83;15;567.0;39.0;;;;;;;;;;;;4.0;;;;;;;537
Sint-Michielsgestel-G0845;19;;2016;983;554;895;119;;;7.0;96.0;;16.0;;33.0;209.0;;10.0;;;;;5.0;;;;;4431
Sint-Oedenrode-G0846;31;;3539;1023;675;805;222;;;7.0;83.0;;24.0;;19.0;191.0;;11.0;;;;;2.0;;;;;5748
Sittard-G0968;125;;7431;2966;1679;1667;1082;;;;134.0;;;2107.0;47.0;;;;;;;;;;;;;18095
Skarsterlân-G0051;43;;4532;2736;1443;1171;331;;;56.0;;93.0;;;;;153.0;;1223.0;;;;;;17.0;;;6241
Sleen-G0130;21;;994;1891;797;545;138;;;;;38.0;;;;;81.0;;;;;40.0;;;;;;2147
Sliedrecht-G0610;12;;1927;2261;942;1086;222;2113.0;548.0;80.0;10.0;;29.0;;;;;39.0;;;;;7.0;;;1.0;;8208
Slochteren-G0040;19;;1209;1881;1033;904;264;;;;13.0;861.0;;;;;113.0;;;;;;14.0;;20.0;;;4484
Sluis-G0713;10;;308;233;394;110;14;13.0;16.0;;;;;;;;;;;;43.0;;;;;;;988
Smallingerland-G0090;89;;7855;7344;2226;3065;1343;;;76.0;;1174.0;;;;;921.0;;1252.0;;;;;;25.0;;;12406
Smilde-G0131;13;;1703;1113;457;486;187;;;;;156.0;;;;;59.0;;;;;239.0;;;;;;2423
Sneek-G0091;59;;4164;3477;1469;1710;537;;;102.0;;140.0;;;;;247.0;;719.0;;;;;;32.0;;;9711
Soest-G0342;36;;5356;2139;4967;3310;707;249.0;701.0;171.0;28.0;;;;;;;;;;;;;;;;;13393
Someren-G0847;36;;4229;851;562;462;160;;;14.0;12.0;;14.0;;24.0;24.0;;23.0;;;;;4.0;;;;;6286
Son en Breugel-G0848;26;;2526;676;1369;1114;185;;;23.0;22.0;;21.0;;48.0;109.0;;18.0;;;;;2.0;;;;;4986
Spijkenisse-G0612;126;;3963;4935;4342;5240;784;302.0;467.0;469.0;945.0;;121.0;;;;;198.0;;;;;34.0;;;32.0;;27823
Sprang-Capelle-G0849;20;;1452;426;492;327;80;;;13.0;7.0;;21.0;;892.0;51.0;;16.0;;;;;6.0;;;;;3377
Stad Delden-G0179;8;;1908;623;737;596;80;4.0;;;10.0;24.0;;;;;;;;19.0;;;;;2.0;;;1794
Stadskanaal-G0037;84;;5060;4462;1273;1494;504;;;;59.0;717.0;;;;;1084.0;;;;;;33.0;;13.0;;;10965
Standdaarbuiten-G0850;4;;544;221;149;128;29;;;2.0;;;2.0;;8.0;57.0;;2.0;;;;;3.0;;;;;991
Staphorst-G0180;35;;1566;512;608;302;61;2693.0;;;12.0;727.0;;;;;;;;631.0;;;;;;;;2183
Stede Broec-G0532;22;;2408;1044;1059;1100;280;;;69.0;15.0;;96.0;;68.0;;;;;;;;;;10.0;;;7024
Steenbergen-G0851;34;;1752;966;890;489;106;;;20.0;7.0;;23.0;;17.0;93.0;;30.0;;;;;6.0;;;;;6567
Steenderen-G0280;6;;1455;424;291;201;48;12.0;21.0;8.0;1.0;;17.0;;;;;;;;;;;2.0;;;1.0;1069
Steenwijk-G0181;33;;3222;2690;1233;1409;429;31.0;;;10.0;235.0;;;;;;;;269.0;;;;;;;;6396
Stein-G0971;125;;4899;1835;929;1433;376;;;;21.0;;;921.0;30.0;;;;;;;;;;;;;10160
Stramproy-G0973;7;;1200;302;122;111;44;;;;7.0;;;87.0;1.0;;;;;;;;;;;;;1787
Strijen-G0617;12;;992;937;879;393;138;267.0;102.0;19.0;7.0;;6.0;;;;;11.0;;;;;2.0;;;;;2771
Susteren-G0974;54;;3162;922;341;391;123;;;;4.0;;;860.0;27.0;;;;;;;;;;;;;4268
Swalmen-G0975;11;;1579;823;213;201;124;;;;1.0;;;68.0;1.0;;;;;;;;;;;;;3522
Tegelen-G0976;36;;3265;1335;537;570;128;;;;27.0;;;579.0;26.0;;;;;;;;;;;;;7062
Ten Boer-G0009;9;;1099;733;343;494;131;;;;5.0;485.0;;;;;104.0;;;;;;6.0;;8.0;;;1437
Ter Aar-G0480;17;;1811;377;685;401;96;91.0;47.0;21.0;14.0;;12.0;;;;;9.0;;;;;2.0;;;2.0;;2979
Terheijden-G0853;10;;1373;641;446;627;128;;;14.0;19.0;;25.0;;21.0;12.0;;17.0;;;;;3.0;;;;;3065
Terneuzen-G0715;139;;3137;2307;1650;1601;498;1191.0;1033.0;;;;;;;;;;;;507.0;;;;;;;13956
Terschelling-G0093;9;;468;591;596;298;87;;;8.0;;6.0;;;;;16.0;;33.0;;;;;;2.0;;;1573
Teteringen-G0854;5;;1152;307;538;433;72;;;8.0;10.0;;15.0;;9.0;45.0;;18.0;;;;;3.0;;;;;1649
Texel-G0448;21;;1995;1267;1300;586;412;;;32.0;;;77.0;;148.0;;;;;;;;;;12.0;;;3802
Tholen-G0716;47;;1739;1672;1081;714;119;2617.0;535.0;;;;;;;;;;;;37.0;;;;;;;5591
Thorn-G0977;13;;578;229;84;87;33;;;;2.0;;;54.0;5.0;;;;;;;;;;;;;1034
Tiel-G0281;17;;2848;3045;1969;1598;537;117.0;151.0;65.0;24.0;;34.0;;;;;;;;;;8.0;8.0;;;1.0;12765
Tilburg-G0855;143;;17593;9330;4903;7767;3790;;;304.0;1482.0;;305.0;;217.0;230.0;;293.0;;;;;85.0;;;;;74883
Tubbergen-G0183;26;;7815;807;493;368;88;15.0;;;12.0;14.0;;;;;;;;11.0;;;;;4.0;;;4284
Tytsjerksteradiel-G0737;48;;5690;3201;1620;1561;425;;;28.0;;379.0;;;;;440.0;;1204.0;;;;;;3.0;;;7851
Ubbergen-G0282;25;;1918;848;579;574;309;2.0;12.0;14.0;13.0;;19.0;;;;;;;;;;4.0;8.0;;;1.0;3186
Uden-G0856;43;;5861;1740;2157;1940;284;;;27.0;913.0;;26.0;;42.0;58.0;;26.0;;;;;14.0;;;;;13642
Udenhout-G0857;7;;1925;604;340;367;86;;;11.0;5.0;;9.0;;4.0;24.0;;11.0;;;;;2.0;;;;;3241
Uitgeest-G0450;10;;1216;781;787;821;304;;;18.0;19.0;;75.0;;16.0;;;9.0;;;;;4.0;;7.0;;;3204
Uithoorn-G0451;29;;2905;1336;2513;1804;499;;;102.0;11.0;;144.0;;126.0;;;33.0;;;;;;;3.0;;;8211
Ulrum-G0045;31;;1688;1542;776;491;319;;;;24.0;587.0;;;;;111.0;;;;;;11.0;;9.0;;;2937
Urk-G0184;6;;2056;17;33;17;5;;;18.0;;647.0;;;;;2695.0;;;;;;;;;;;2248
