RegioNaam;@invalid;@blank;VVD;PVV;CDA;D66;GL;SP;PvdA;CU;PvdD;50+;SGP;DENK;FvD;VNL (VoorNederland);PPNL;Artikel 1;NIEUWE WEGEN;OndernemersPartij;Lokaal in de Kamer;Niet Stemmers;De Burger Beweging;GeenPeil;JEZUS LEEFT;Vrijzinnige Partij;Libertarische Partij (LP);MenS en Spirit / Basisinkomen Partij / V-R;StemNL;Vrije Democratische Partij (VDP);@abs
Aa en Hunze-G1680;27;18;4268;1681;1740;2163;1534;1937;1830;345;546;612;58;3;246;59;45.0;;25;82;22.0;;9.0;5.0;;3.0;2.0;;;;3222.0
Aalburg-G0738;19;11;1327;1229;1362;294;165;444;149;931;148;154;1954;7;100;49;12.0;0.0;5;12;2.0;7.0;2.0;1.0;12.0;1.0;0.0;;0.0;;1332.0
Aalsmeer-G0358;33;26;6764;2351;2392;2100;1116;915;828;798;505;655;129;115;476;110;60.0;23.0;28;40;11.0;11.0;10.0;5.0;;1.0;;;;;3166.0
Aalten-G0197;41;20;3324;1657;4255;1707;1137;2217;793;814;311;506;117;107;183;44;33.0;4.0;18;36;15.0;9.0;10.0;2.0;7.0;4.0;2.0;5.0;0.0;;3574.0
Achtkarspelen-G0059;28;13;2013;2872;4106;903;788;1948;1085;1767;282;487;277;5;348;44;29.0;;39;21;18.0;;11.0;3.0;;3.0;5.0;;;;4342.0
Alblasserdam-G0482;29;14;1907;1728;1467;797;618;915;684;1112;245;349;1955;210;212;51;28.0;3.0;15;5;9.0;2.0;4.0;1.0;28.0;1.0;1.0;;0.0;;2438.0
Albrandswaard-G0613;24;16;4499;2716;1761;1647;861;1018;742;443;430;563;204;156;473;86;46.0;32.0;19;21;14.0;10.0;7.0;7.0;8.0;4.0;4.0;;0.0;;3168.0
Alkmaar-G0361;203;86;15040;7236;5858;9455;8686;5821;4933;1077;3242;2245;139;1281;1344;379;329.0;138.0;124;109;91.0;50.0;53.0;56.0;;22.0;;;;12.0;14892.0
Almelo-G0141;159;74;7503;7520;6518;4049;2734;4595;2389;1378;886;1265;216;1855;688;147;130.0;18.0;49;49;25.0;31.0;11.0;17.0;;7.0;;;;;12223.0
Almere-G0034;469;236;22822;17134;7151;13311;10890;9527;6535;2859;4251;5029;274;3120;2522;657;668.0;2132.0;256;179;118.0;109.0;80.0;70.0;113.0;39.0;20.0;;;;33275.0
Alphen aan den Rijn-G0484;149;106;17829;7957;9099;8216;5420;4464;3213;3064;1965;1942;1900;1245;1526;324;268.0;76.0;137;84;;45.0;36.0;37.0;43.0;18.0;16.0;;2.0;;13362.0
Alphen-Chaam-G1723;12;9;2051;799;1425;671;329;614;183;44;154;219;13;13;104;27;21.0;0.0;48;11;5.0;2.0;4.0;1.0;3.0;2.0;2.0;;0.0;;1092.0
Ameland-G0060;2;4;715;265;613;261;173;174;240;54;69;75;8;0;80;5;8.0;;2;8;4.0;;0.0;1.0;;0.0;0.0;;;;54.0
Amersfoort-G0307;233;111;20255;8611;9192;14970;11847;6766;5408;6585;3373;1988;910;3414;1404;286;401.0;123.0;147;91;;57.0;40.0;59.0;40.0;28.0;26.0;35.0;6.0;;17463.0
Amstelveen-G0362;143;67;13926;4410;4016;8936;5338;2741;3438;1029;1911;1603;191;399;880;157;196.0;280.0;42;38;26.0;22.0;25.0;32.0;;13.0;;;;;9510.0
Amsterdam-G0363;3007;907;70249;31260;13562;86410;90572;29326;38279;6833;27553;8904;687;31512;5707;954;2506.0;11424.0;459;384;204.0;458.0;239.0;270.0;;150.0;123.0;;;;123401.0
Apeldoorn-G0200;215;155;22460;11773;12862;12410;8902;8364;5995;4938;3063;3307;3308;2010;1691;360;311.0;42.0;107;108;65.0;60.0;60.0;54.0;63.0;21.0;19.0;56.0;5.0;;21710.0
Appingedam-G0003;21;12;889;1095;1033;605;559;1431;673;317;161;270;24;85;98;19;13.0;6.0;10;13;16.0;6.0;6.0;0.0;;0.0;1.0;;;;2196.0
Arnhem-G0202;308;134;15398;10622;6093;14765;13047;9036;5784;2180;4658;2087;221;3268;1369;237;424.0;224.0;108;90;50.0;68.0;54.0;34.0;69.0;46.0;23.0;59.0;4.0;;27128.0
Assen-G0106;89;57;6993;4193;4834;5221;4355;5050;3851;3536;1299;1152;332;215;681;136;167.0;;71;52;40.0;;41.0;16.0;;34.0;10.0;;;;9416.0
Asten-G0743;24;18;2942;1320;2201;1026;586;1304;366;51;214;383;17;10;172;26;24.0;1.0;9;15;14.0;6.0;5.0;3.0;;6.0;2.0;;3.0;;2021.0
Baarle-Nassau-G0744;7;3;1044;726;918;313;214;413;126;23;117;167;9;8;67;9;6.0;0.0;9;3;3.0;2.0;1.0;4.0;3.0;1.0;1.0;;0.0;;1002.0
Baarn-G0308;29;18;4438;1529;1764;2394;1413;931;862;586;593;417;192;246;298;57;48.0;15.0;14;14;;8.0;7.0;7.0;4.0;2.0;22.0;8.0;0.0;;3160.0
Barendrecht-G0489;58;41;7715;4699;3570;3008;1848;1784;1331;1235;737;1061;1294;621;787;161;74.0;86.0;41;28;24.0;11.0;10.0;14.0;16.0;5.0;1.0;;3.0;;5544.0
Barneveld-G0203;71;31;6384;3557;6880;1728;973;1159;698;4232;402;729;8136;373;481;105;57.0;10.0;32;37;16.0;10.0;22.0;9.0;34.0;5.0;8.0;8.0;0.0;;4784.0
Bedum-G0005;9;6;854;503;1446;682;664;885;546;828;186;138;97;0;85;12;20.0;0.0;6;9;10.0;4.0;5.0;1.0;;0.0;0.0;;;;1166.0
Beek-G0888;27;21;2040;2138;1824;1232;636;1213;397;65;276;524;12;45;272;40;34.0;1.0;14;10;;9.0;5.0;7.0;;0.0;0.0;;;;2198.0
Beemster-G0370;7;7;2277;652;723;759;451;308;401;44;227;159;19;12;151;28;13.0;6.0;2;8;7.0;6.0;3.0;4.0;;1.0;;;;2.0;967.0
Beesel-G0889;33;11;1566;1759;1262;804;493;1019;326;40;184;445;13;89;141;36;13.0;3.0;15;5;;3.0;7.0;3.0;;0.0;0.0;;;;2309.0
Bellingwedde-G0007;8;4;821;1123;555;402;411;1069;551;163;271;223;16;1;119;9;24.0;1.0;12;11;6.0;3.0;3.0;1.0;;1.0;1.0;;;;1440.0
Berg en Dal-G1945;39;28;4717;3567;3009;2630;2398;3487;1361;180;844;746;38;37;309;59;61.0;15.0;16;28;14.0;11.0;11.0;6.0;5.0;6.0;4.0;;2.0;;4259.0
Bergeijk-G1724;20;24;3057;1575;2631;1097;575;1386;393;93;252;422;33;6;204;62;26.0;5.0;10;12;30.0;6.0;4.0;1.0;;4.0;3.0;;0.0;;2457.0
Bergen-G0893;28;6;1598;1589;1537;589;372;1699;244;38;165;318;11;8;120;26;10.0;1.0;9;11;;3.0;0.0;2.0;;1.0;0.0;;;;2043.0
Bergen-G0373;40;27;6202;2236;2091;2654;2180;1212;1376;222;1203;630;35;15;438;215;60.0;6.0;44;34;11.0;10.0;12.0;11.0;;9.0;;;;3.0;3123.0
Bergen op Zoom-G0748;138;60;9557;6878;4213;4113;3170;4243;1681;417;989;1628;63;1744;610;122;91.0;16.0;39;43;139.0;25.0;11.0;16.0;20.0;10.0;4.0;;5.0;;10806.0
Berkelland-G1859;65;30;6702;2995;6099;3408;1973;3834;2017;419;575;782;80;69;382;118;54.0;12.0;24;64;33.0;15.0;9.0;4.0;2.0;10.0;2.0;17.0;2.0;;5334.0
Bernheze-G1721;30;27;4835;2237;3845;2077;988;2901;641;108;275;555;21;43;281;59;44.0;12.0;16;25;10.0;2.0;7.0;2.0;;5.0;2.0;;0.0;;4144.0
Best-G0753;40;32;4878;2356;2477;2258;1210;2194;697;403;412;800;39;225;279;86;42.0;8.0;19;27;25.0;13.0;8.0;8.0;;3.0;0.0;;2.0;;3703.0
Beuningen-G0209;29;17;4201;2461;2107;2010;1293;2094;814;146;345;628;23;50;263;71;44.0;9.0;21;23;13.0;8.0;6.0;5.0;4.0;4.0;1.0;;1.0;;3364.0
Beverwijk-G0375;60;26;5187;3773;1834;2634;2232;2323;1383;279;846;1002;39;796;565;146;113.0;37.0;37;31;41.0;10.0;15.0;25.0;;4.0;;;;;6530.0
Binnenmaas-G0585;49;28;4847;2943;2706;1665;929;1278;1147;901;567;654;1169;13;463;100;48.0;6.0;37;15;11.0;11.0;10.0;1.0;11.0;7.0;4.0;;0.0;;3307.0
Bladel-G1728;16;9;3309;1661;2424;1189;677;1781;448;75;261;554;22;3;217;44;24.0;2.0;12;25;31.0;6.0;7.0;4.0;;4.0;2.0;;2.0;;2807.0
Blaricum-G0376;19;6;2733;609;763;917;350;301;336;121;214;187;35;47;221;22;19.0;3.0;23;3;4.0;3.0;0.0;0.0;;3.0;;;;;886.0
Bloemendaal-G0377;27;9;6038;842;1511;2742;1268;462;799;214;638;237;38;16;255;30;34.0;6.0;9;12;3.0;2.0;3.0;1.0;;2.0;;;;;1924.0
Bodegraven-Reeuwijk-G1901;58;35;5952;2554;3516;2056;1243;878;787;1488;386;525;1772;247;394;81;60.0;3.0;23;20;;7.0;12.0;5.0;21.0;2.0;2.0;;1.0;;3356.0
Boekel-G0755;10;17;1585;862;1563;562;256;969;179;26;111;170;8;2;89;28;21.0;2.0;4;12;4.0;3.0;13.0;0.0;;2.0;1.0;;2.0;;1493.0
Bonaire-O9001;39;51;397;122;413;727;222;77;209;92;113;41;12;16;39;13;;38.0;6;4;;;;;;;;;;;9324.0
Borger-Odoorn-G1681;22;14;3280;2520;2197;1524;1087;2434;1490;652;469;612;124;0;338;57;47.0;;22;25;46.0;;22.0;7.0;;6.0;4.0;;;;3558.0
Borne-G0147;20;13;3420;1639;3576;1839;952;1506;775;233;248;347;33;53;245;51;47.0;0.0;15;11;11.0;5.0;4.0;4.0;;1.0;;;;;2429.0
Borsele-G0654;23;15;2752;1650;2459;1026;665;1129;635;507;359;491;2399;4;252;52;43.0;4.0;6;12;10.0;;7.0;12.0;;1.0;2.0;;0.0;;2755.0
Boxmeer-G0756;29;21;3960;1933;3416;1878;1073;5406;649;104;297;353;20;94;226;62;60.0;1.0;17;30;8.0;9.0;9.0;7.0;;1.0;3.0;;1.0;;2768.0
Boxtel-G0757;48;36;4274;2306;2511;2487;1588;2676;930;160;463;569;18;194;266;59;57.0;6.0;15;28;14.0;16.0;7.0;6.0;;2.0;5.0;;1.0;;4751.0
Breda-G0758;290;174;30141;12759;10498;16528;11567;10498;5325;1102;3719;2771;158;2132;1788;341;462.0;122.0;152;121;103.0;57.0;44.0;44.0;32.0;36.0;13.0;;8.0;;27864.0
Brielle-G0501;19;26;3160;1964;1202;1069;604;953;605;151;329;419;50;16;352;60;35.0;5.0;41;22;6.0;8.0;12.0;4.0;6.0;1.0;1.0;;2.0;;2218.0
Bronckhorst-G1876;45;21;6323;2253;5227;2850;1486;2272;1467;512;592;734;225;25;326;80;36.0;10.0;28;44;17.0;6.0;14.0;3.0;13.0;6.0;5.0;12.0;2.0;;4544.0
Brummen-G0213;35;12;3199;1669;1712;1671;1152;1506;1073;246;406;487;57;267;214;55;34.0;2.0;16;19;12.0;8.0;8.0;7.0;2.0;2.0;1.0;8.0;0.0;;2843.0
Brunssum-G0899;23;36;2235;4611;1953;1262;949;3224;739;223;577;955;45;88;322;74;59.0;18.0;29;27;;16.0;12.0;7.0;;5.0;2.0;;;;5402.0
Bunnik-G0312;12;7;2505;798;1494;1700;1362;462;685;328;310;206;161;14;136;16;32.0;8.0;14;9;;2.0;12.0;7.0;1.0;3.0;1.0;1.0;0.0;;1222.0
Bunschoten-G0313;47;12;2040;1775;3342;342;258;310;169;3428;98;242;1015;95;223;29;26.0;4.0;6;5;;4.0;0.0;2.0;63.0;0.0;1.0;5.0;1.0;;1779.0
Buren-G0214;25;25;4801;3020;2077;1567;780;1096;913;465;406;569;886;12;356;66;20.0;3.0;23;30;7.0;0.0;3.0;5.0;6.0;2.0;1.0;;1.0;;3316.0
Capelle aan den IJssel-G0502;135;77;7854;6439;3435;4040;2909;3224;2203;1584;1323;1536;2016;502;860;232;122.0;312.0;55;37;;25.0;9.0;18.0;43.0;12.0;6.0;;3.0;;11581.0
Castricum-G0383;53;34;7082;1997;2815;3616;2686;1715;1732;297;987;682;45;28;480;114;88.0;17.0;35;36;14.0;7.0;10.0;12.0;;7.0;;;;2.0;3301.0
Coevorden-G0109;42;18;5123;3229;3839;2100;1333;2646;1987;582;465;840;174;19;381;93;42.0;;29;26;18.0;;14.0;3.0;;15.0;1.0;;;;4823.0
Cranendonck-G1706;22;15;3211;2300;2329;1193;548;1629;425;89;336;597;18;13;242;55;34.0;3.0;18;15;16.0;4.0;10.0;1.0;;1.0;1.0;;3.0;;2933.0
Cromstrijen-G0611;13;10;2267;1350;1176;755;427;619;468;309;222;324;583;2;183;47;20.0;2.0;10;5;4.0;6.0;1.0;4.0;4.0;1.0;1.0;;1.0;;1468.0
Cuijk-G1684;52;23;3275;1980;2182;1759;1114;3059;631;97;372;440;8;475;182;74;43.0;7.0;8;12;15.0;7.0;11.0;8.0;;8.0;4.0;;3.0;;3306.0
Culemborg-G0216;47;14;3673;2316;1682;2299;2201;1269;1149;504;657;488;175;770;271;55;52.0;28.0;23;14;13.0;11.0;21.0;4.0;15.0;5.0;2.0;;1.0;;3315.0
Dalfsen-G0148;23;19;3620;1462;5958;1574;800;1258;797;1653;306;461;456;3;235;68;31.0;6.0;17;24;11.0;4.0;7.0;9.0;;6.0;;;;;2800.0
Dantumadiel-G1891;24;6;1173;1703;3118;597;551;1484;698;1249;202;320;663;3;152;48;38.0;;26;19;7.0;;4.0;2.0;;2.0;2.0;;;;2736.0
De Bilt-G0310;59;41;7620;2378;2923;4603;3247;1650;1703;999;1124;586;893;234;393;85;91.0;18.0;31;23;;17.0;6.0;14.0;12.0;9.0;4.0;12.0;0.0;;4021.0
De Fryske Marren-G1940;57;45;7265;3636;7443;3164;2205;3055;2333;1037;755;958;360;53;612;122;71.0;;80;61;23.0;;33.0;24.0;;15.0;4.0;;;;6433.0
De Marne-G1663;7;13;864;828;1105;457;574;902;542;521;269;172;81;1;97;21;14.0;0.0;7;14;1.0;4.0;0.0;1.0;;2.0;1.0;;;;1530.0
De Ronde Venen-G0736;45;34;9331;3294;3921;3435;1916;1170;1211;914;812;811;446;207;612;128;80.0;19.0;35;59;;13.0;11.0;9.0;7.0;6.0;6.0;14.0;0.0;;4454.0
De Wolden-G1690;35;19;4452;1527;3024;1592;959;1200;1117;600;388;572;180;3;286;50;23.0;;21;26;20.0;;10.0;4.0;;3.0;6.0;;;;2774.0
Delft-G0503;218;113;10780;6965;4509;12300;8702;4055;3950;1920;2348;1590;324;1142;1032;162;450.0;133.0;71;58;34.0;43.0;20.0;40.0;35.0;17.0;11.0;;5.0;;12941.0
Delfzijl-G0010;42;33;1975;2401;2080;1190;1028;2540;1322;797;345;723;86;268;235;58;55.0;9.0;14;19;13.0;13.0;8.0;8.0;;3.0;4.0;;;;4542.0
Den Helder-G0400;90;65;7297;6459;4026;2921;2144;2783;1877;1083;1086;1793;288;97;996;340;131.0;23.0;62;48;41.0;17.0;25.0;29.0;;10.0;;;;10.0;10628.0
Deurne-G0762;38;39;5185;2891;3884;1812;1081;2764;636;89;370;770;25;39;310;80;59.0;9.0;37;34;19.0;9.0;14.0;6.0;;9.0;5.0;;3.0;;4952.0
Deventer-G0150;196;90;11349;6522;6266;9095;7337;6379;5123;1632;2218;1810;189;2279;780;188;230.0;38.0;78;56;42.0;43.0;48.0;40.0;;16.0;;;;;12801.0
Diemen-G0384;80;31;3112;1826;932;2267;2313;1148;1295;269;678;591;16;352;297;71;107.0;262.0;21;11;16.0;15.0;6.0;15.0;;5.0;;;;;4227.0
Dinkelland-G1774;31;11;4452;1975;6560;1466;594;1093;554;92;186;374;28;7;205;37;26.0;0.0;8;11;13.0;6.0;8.0;1.0;;1.0;;;;;2649.0
Doesburg-G0221;19;7;1354;1054;824;877;629;1078;486;152;248;237;21;271;103;17;14.0;2.0;6;3;8.0;2.0;5.0;4.0;2.0;4.0;2.0;6.0;0.0;;1613.0
Doetinchem-G0222;57;36;7576;4485;4976;4517;2881;4459;2291;815;869;1018;356;508;464;101;107.0;8.0;66;67;22.0;19.0;6.0;8.0;15.0;9.0;2.0;13.0;2.0;;8892.0
Dongen-G0766;44;39;4114;2135;2165;1845;1101;1935;791;212;355;548;54;326;237;64;32.0;4.0;12;23;82.0;6.0;2.0;9.0;7.0;4.0;2.0;;3.0;;3844.0
Dongeradeel-G0058;14;20;1909;1702;4556;1019;901;1589;827;1190;382;396;213;3;289;51;38.0;;23;16;14.0;;9.0;5.0;;10.0;0.0;;;;3345.0
Dordrecht-G0505;310;128;12694;10893;6402;7101;6342;6478;3925;3237;2715;2221;2121;3123;1172;271;268.0;143.0;97;63;50.0;45.0;26.0;22.0;74.0;19.0;15.0;;18.0;;19129.0
Drechterland-G0498;16;10;3929;1510;1833;1497;812;878;650;139;352;447;27;3;321;90;40.0;14.0;22;27;8.0;8.0;8.0;4.0;;3.0;;;;4.0;2143.0
Drimmelen-G1719;27;17;4836;2897;2327;1770;1040;1966;720;145;448;689;47;15;296;67;32.0;4.0;30;22;13.0;3.0;4.0;6.0;3.0;4.0;1.0;;1.0;;3883.0
Dronten-G0303;46;37;6477;2957;4515;2243;1617;1851;1044;1754;569;793;383;282;523;114;81.0;5.0;49;53;10.0;10.0;12.0;6.0;16.0;11.0;7.0;;;;4735.0
Druten-G0225;13;13;3024;1674;1525;1442;777;1565;582;69;249;445;20;208;200;45;26.0;7.0;16;16;12.0;5.0;5.0;3.0;5.0;0.0;2.0;;1.0;;2502.0
Duiven-G0226;40;18;4219;2132;2345;2053;1298;1770;859;253;431;643;36;57;303;53;39.0;7.0;24;25;13.0;7.0;5.0;5.0;1.0;7.0;1.0;7.0;2.0;;3170.0
Echt-Susteren-G1711;37;32;3262;4623;3994;1761;1064;2580;659;107;601;1034;22;47;361;145;48.0;11.0;18;34;;10.0;5.0;10.0;;2.0;2.0;;;;5216.0
Edam-Volendam-G0385;55;20;5517;5212;5251;1657;1219;866;895;157;622;678;45;73;1470;165;46.0;8.0;40;30;19.0;15.0;9.0;7.0;;2.0;;;;4.0;3675.0
Ede-G0228;186;91;13614;7450;10686;6581;4585;3571;2730;7348;1610;1573;9171;1532;1100;226;177.0;30.0;65;74;20.0;33.0;24.0;26.0;63.0;11.0;6.0;42.0;8.0;;12611.0
Eemnes-G0317;13;5;1906;640;804;800;374;344;342;170;207;185;56;8;150;23;18.0;1.0;9;10;;4.0;5.0;1.0;4.0;0.0;1.0;3.0;0.0;;822.0
Eemsmond-G1651;13;18;1259;1124;1731;738;763;1667;960;1018;316;272;140;1;122;32;26.0;5.0;9;13;10.0;10.0;4.0;5.0;;0.0;1.0;;;;2063.0
Eersel-G0770;23;27;3343;1310;2454;1344;661;1437;454;88;266;430;23;5;171;52;31.0;2.0;13;23;24.0;3.0;9.0;6.0;;2.0;4.0;;0.0;;2537.0
Eijsden-Margraten-G1903;22;18;3414;2393;3491;2020;1176;1615;820;104;482;756;17;2;410;44;21.0;3.0;20;28;;9.0;2.0;8.0;;3.0;2.0;;;;3370.0
Eindhoven-G0772;475;277;24122;15850;10882;20279;15240;14599;6620;1986;5050;4506;250;4343;2139;441;811.0;172.0;144;123;86.0;98.0;78.0;75.0;;44.0;29.0;;10.0;;35677.0
Elburg-G0230;27;10;2357;1523;2865;719;437;738;378;2661;206;334;2280;2;140;40;25.0;6.0;10;6;3.0;6.0;5.0;5.0;23.0;2.0;3.0;3.0;1.0;;2501.0
Emmen-G0114;157;78;9869;12418;9455;5367;4304;10227;5627;1953;1412;3008;328;324;1518;237;144.0;;115;101;80.0;;54.0;27.0;;12.0;8.0;;;;18199.0
Enkhuizen-G0388;38;17;2598;1496;1158;1356;1027;1246;802;245;462;412;164;162;223;44;51.0;14.0;13;20;10.0;7.0;5.0;7.0;;6.0;;;;2.0;2592.0
Enschede-G0153;335;134;15236;14331;11163;12362;8574;10653;5837;3231;2551;2124;376;2774;1690;326;581.0;59.0;77;96;66.0;57.0;36.0;55.0;;22.0;;;;;26712.0
Epe-G0232;37;25;5077;2592;3280;2060;1171;1600;1364;1127;559;755;893;364;312;69;43.0;3.0;21;25;17.0;9.0;11.0;4.0;21.0;4.0;2.0;5.0;1.0;;4439.0
Ermelo-G0233;40;21;3646;1642;3574;1321;978;924;604;2217;442;416;1201;68;295;49;41.0;6.0;19;11;10.0;4.0;3.0;14.0;26.0;6.0;5.0;4.0;0.0;;3324.0
Etten-Leur-G0777;89;38;6841;4172;3541;2624;1909;2863;1065;242;561;913;51;539;403;95;42.0;18.0;37;33;49.0;12.0;7.0;13.0;9.0;7.0;4.0;;2.0;;6678.0
Ferwerderadiel-G1722;10;5;780;565;1491;346;328;571;338;410;146;185;54;4;91;15;10.0;;14;3;0.0;;2.0;2.0;;1.0;1.0;;;;1249.0
Franekeradeel-G0070;19;20;2268;1446;2758;1122;1045;1363;1028;562;342;429;61;11;222;45;38.0;;28;14;20.0;;8.0;8.0;;9.0;0.0;;;;2860.0
Geertruidenberg-G0779;24;22;3362;2554;1695;1165;801;1825;582;127;287;523;42;24;303;61;31.0;2.0;16;15;11.0;6.0;1.0;0.0;3.0;4.0;6.0;;0.0;;3437.0
Geldermalsen-G0236;21;13;4408;2860;2308;1505;917;969;731;435;337;555;1745;57;363;69;44.0;4.0;13;15;6.0;5.0;0.0;8.0;5.0;2.0;1.0;;2.0;;2767.0
Geldrop-Mierlo-G1771;42;34;5312;3703;3377;3008;1961;3240;1059;299;724;875;31;236;397;91;104.0;13.0;29;23;25.0;13.0;16.0;6.0;;4.0;9.0;;3.0;;5689.0
Gemert-Bakel-G1652;30;27;4271;2843;3691;1710;1067;2963;581;68;391;614;23;13;280;79;50.0;3.0;13;31;14.0;11.0;6.0;6.0;;3.0;1.0;;3.0;;4230.0
Gennep-G0907;23;11;2276;1376;1520;1109;693;2325;511;83;284;281;11;64;168;38;19.0;0.0;19;9;;5.0;3.0;1.0;;2.0;1.0;;;;2729.0
Giessenlanden-G0689;8;6;2508;1062;1738;677;393;622;503;1022;177;244;688;7;172;38;12.0;3.0;18;5;7.0;1.0;3.0;4.0;27.0;3.0;1.0;;1.0;;1267.0
Gilze en Rijen-G0784;46;17;3903;2356;2256;1816;1161;1975;694;90;365;714;30;472;311;58;45.0;4.0;27;19;29.0;6.0;4.0;8.0;3.0;4.0;1.0;;3.0;;3541.0
Goeree-Overflakkee-G1924;69;33;6179;4954;4105;1687;1098;2102;1376;2330;659;956;5644;8;603;155;51.0;7.0;48;23;16.0;12.0;12.0;9.0;62.0;10.0;2.0;;2.0;;5919.0
Goes-G0664;40;41;4676;2576;3434;2328;1866;2436;1391;1144;733;721;1514;121;358;80;66.0;16.0;56;25;14.0;;6.0;8.0;;8.0;5.0;;1.0;;5719.0
Goirle-G0785;23;20;3719;1917;2018;2036;1275;2015;733;86;359;549;7;80;261;48;25.0;8.0;20;19;17.0;8.0;6.0;0.0;5.0;4.0;2.0;;1.0;;2926.0
Gooise Meren-G1942;76;51;12179;2636;3252;6511;3221;1624;2091;598;1405;896;140;389;706;107;118.0;26.0;32;36;20.0;18.0;9.0;11.0;;7.0;;;;;5665.0
Gorinchem-G0512;66;43;4546;2883;2135;2402;1741;1909;1340;1119;625;657;472;1075;400;68;52.0;16.0;19;19;10.0;11.0;3.0;2.0;38.0;4.0;3.0;;0.0;;5061.0
Gouda-G0513;158;83;7361;5471;4400;5750;4660;3188;2733;2721;1558;1202;1996;1735;797;192;164.0;29.0;78;49;;21.0;19.0;31.0;43.0;9.0;7.0;;7.0;;9158.0
Grave-G0786;9;6;1831;1129;1189;912;527;1265;340;50;207;263;10;6;127;36;25.0;2.0;6;9;2.0;5.0;8.0;2.0;;1.0;2.0;;2.0;;1629.0
Groningen-G0014;272;189;17696;8723;8621;25973;24642;14152;10438;5757;6737;2181;453;501;2220;280;953.0;210.0;137;133;81.0;119.0;82.0;72.0;;45.0;33.0;;;;27293.0
Grootegast-G0015;9;14;1063;867;2052;497;413;781;342;809;132;185;175;1;144;28;20.0;0.0;9;16;5.0;7.0;4.0;1.0;;3.0;0.0;;;;1726.0
Gulpen-Wittem-G1729;25;19;1703;1784;1865;922;856;1198;427;69;288;505;30;11;167;21;20.0;2.0;9;18;;8.0;4.0;6.0;;2.0;2.0;;;;1871.0
Haaksbergen-G0158;47;24;3825;1792;3916;1736;796;1586;814;171;253;472;32;248;247;58;29.0;2.0;11;17;5.0;3.0;4.0;11.0;;5.0;;;;;2922.0
Haaren-G0788;16;4;2546;908;1754;1034;622;911;341;73;203;324;16;9;104;29;17.0;2.0;14;6;20.0;3.0;4.0;2.0;;2.0;0.0;;0.0;;2169.0
Haarlem-G0392;342;191;18447;8998;5853;17293;15172;6753;7512;1682;5476;2658;215;3076;1637;232;468.0;192.0;143;105;49.0;91.0;38.0;69.0;;35.0;;;;;20208.0
Haarlemmerliede en Spaarnwoude-G0393;9;2;1126;452;421;474;346;215;214;44;145;119;8;19;88;25;18.0;4.0;0;12;4.0;3.0;3.0;2.0;;1.0;;;;;632.0
Haarlemmermeer-G0394;320;108;26485;12096;9182;10903;6579;5128;4462;2223;2808;3305;656;1381;2070;470;328.0;272.0;148;115;82.0;81.0;45.0;51.0;;23.0;;;;;17517.0
Halderberge-G1655;53;21;4742;3630;2496;1497;1006;2222;630;146;376;715;33;233;286;55;44.0;4.0;24;28;14.0;6.0;1.0;8.0;5.0;9.0;4.0;;1.0;;4922.0
Hardenberg-G0160;76;36;6705;4347;9959;2661;1551;3351;1710;4936;522;1168;764;30;640;134;74.0;9.0;34;56;30.0;15.0;16.0;15.0;;10.0;;;;;7091.0
Harderwijk-G0243;113;26;6649;3172;4908;2485;1882;1635;1210;2854;709;752;790;1147;454;85;76.0;11.0;45;41;14.0;21.0;18.0;10.0;22.0;1.0;3.0;6.0;0.0;;5599.0
Hardinxveld-Giessendam-G0523;18;8;1832;1319;1741;443;292;616;417;1930;147;230;2360;20;161;21;24.0;1.0;13;12;4.0;5.0;0.0;6.0;25.0;2.0;0.0;;1.0;;1773.0
Haren-G0017;21;14;2946;656;1526;2301;1863;854;1165;766;564;241;75;8;196;26;34.0;7.0;20;14;17.0;6.0;2.0;15.0;;8.0;3.0;;;;1606.0
Harlingen-G0072;48;13;1841;1334;1360;864;771;1233;846;367;347;435;48;15;240;47;31.0;;43;16;7.0;;1.0;5.0;;1.0;0.0;;;;2430.0
Hattem-G0244;12;3;1512;658;1526;827;452;584;563;1342;132;169;180;21;92;25;12.0;2.0;4;4;2.0;1.0;1.0;2.0;26.0;0.0;0.0;3.0;0.0;;1161.0
Heemskerk-G0396;89;36;6013;3436;2663;3048;2300;2372;1524;358;808;1011;51;378;600;133;88.0;40.0;31;24;23.0;16.0;7.0;23.0;;8.0;;;;;5354.0
Heemstede-G0397;34;23;6481;1064;1812;3345;1634;679;1018;289;689;394;46;38;304;44;35.0;15.0;8;10;9.0;12.0;4.0;6.0;;4.0;;;;;2356.0
Heerde-G0246;22;9;2233;1528;2620;902;509;928;697;1599;223;333;468;22;153;32;26.0;0.0;10;6;5.0;5.0;1.0;2.0;11.0;1.0;0.0;1.0;1.0;;2334.0
Heerenveen-G0074;75;48;6259;3120;4318;3757;2996;3781;3378;1106;869;898;125;238;522;107;101.0;;86;57;31.0;;25.0;13.0;;3.0;0.0;;;;7070.0
Heerhugowaard-G0398;154;49;8572;3992;3563;4047;2766;3061;1949;658;1059;1135;69;504;688;163;120.0;36.0;60;72;121.0;27.0;22.0;41.0;;8.0;;;;7.0;7612.0
Heerlen-G0917;215;102;6541;11773;4822;4271;3594;10213;2044;390;1881;2251;83;678;932;162;168.0;37.0;93;62;;33.0;40.0;30.0;;19.0;16.0;;;;18877.0
