RegioNaam;@invalid;@blank;VVD;PVV;CDA;D66;GL;SP;PvdA;CU;PvdD;50+;SGP;DENK;FvD;VNL (VoorNederland);PPNL;Artikel 1;NIEUWE WEGEN;OndernemersPartij;Lokaal in de Kamer;Niet Stemmers;De Burger Beweging;GeenPeil;JEZUS LEEFT;Vrijzinnige Partij;Libertarische Partij (LP);MenS en Spirit / Basisinkomen Partij / V-R;StemNL;Vrije Democratische Partij (VDP);@abs
Sint Anthonis-G1702;8;9;1838;688;2070;684;372;1598;211;37;118;150;21;2;72;9;10.0;0.0;9;15;7.0;5.0;4.0;1.0;;0.0;0.0;;0.0;;1265.0
Sint Eustatius-O9002;4;0;6;8;338;27;15;8;5;4;3;2;0;0;2;0;;14.0;0;0;;;;;;;;;;;1437.0
Sint-Michielsgestel-G0845;32;23;4787;2380;2821;2368;1309;2218;826;136;427;523;18;17;276;70;49.0;6.0;16;19;29.0;6.0;5.0;7.0;;1.0;0.0;;9.0;;3840.0
Sittard-Geleen-G1883;145;110;8944;12115;8609;6130;4576;7525;2450;388;1993;2745;42;570;1141;188;156.0;21.0;68;84;;41.0;27.0;36.0;;15.0;9.0;;;;16835.0
Sliedrecht-G0610;40;19;2411;1998;1990;899;659;1220;715;1652;332;439;2398;216;228;54;39.0;6.0;19;15;9.0;5.0;6.0;6.0;14.0;1.0;2.0;;0.0;;3500.0
Slochteren-G0040;25;16;1590;1088;1250;921;782;1314;777;881;269;297;122;3;135;27;27.0;1.0;12;33;6.0;4.0;6.0;3.0;;0.0;2.0;;;;2022.0
Sluis-G1714;30;26;3544;2305;1881;1032;742;1461;996;229;363;532;187;6;228;67;33.0;4.0;8;18;4.0;;8.0;1.0;;7.0;1.0;;1.0;;3882.0
Smallingerland-G0090;88;61;5075;3982;6048;3200;2800;4445;3103;3235;901;971;500;71;559;104;110.0;;136;43;19.0;;25.0;16.0;;9.0;10.0;;;;7636.0
Soest-G0342;70;31;8575;3449;3414;3805;2334;1472;1311;1073;992;810;481;1130;512;97;91.0;22.0;28;27;;15.0;16.0;5.0;13.0;14.0;1.0;9.0;2.0;;5126.0
Someren-G0847;23;20;3358;1923;2349;1082;522;1379;383;62;202;556;18;16;173;68;22.0;2.0;14;22;8.0;4.0;4.0;9.0;;4.0;1.0;;0.0;;2613.0
Son en Breugel-G0848;14;16;3157;1135;1707;1471;754;901;447;126;311;371;17;12;161;46;29.0;5.0;9;17;7.0;4.0;7.0;4.0;;3.0;0.0;;1.0;;2008.0
Stadskanaal-G0037;50;31;2310;3150;3318;1218;996;3250;1461;1865;345;742;279;7;345;53;54.0;3.0;17;28;32.0;18.0;13.0;6.0;;3.0;3.0;;;;6136.0
Staphorst-G0180;30;11;1095;906;1893;309;212;280;222;1771;111;136;3659;0;136;20;12.0;1.0;8;4;5.0;5.0;4.0;4.0;;2.0;;;;;1045.0
Stede Broec-G0532;39;22;3383;1998;1829;1433;882;1361;709;175;383;624;52;51;287;89;44.0;9.0;24;19;17.0;9.0;12.0;2.0;;4.0;;;;4.0;2867.0
Steenbergen-G0851;23;24;3599;3322;1830;1164;686;1587;531;217;318;607;183;13;289;72;29.0;2.0;15;17;13.0;4.0;7.0;5.0;21.0;5.0;1.0;;2.0;;3728.0
Steenwijkerland-G1708;57;29;5924;3455;5441;2504;1628;2620;2028;1958;653;914;349;132;417;81;61.0;12.0;34;40;23.0;22.0;19.0;17.0;;2.0;;;;;4505.0
Stein-G0971;32;36;2749;3784;2348;1484;1010;2433;573;80;513;1000;24;36;342;67;45.0;6.0;28;45;;17.0;9.0;7.0;;4.0;6.0;;;;3885.0
Stichtse Vecht-G1904;104;49;11581;5296;4789;5675;3263;2363;2116;1341;1254;1288;826;360;743;148;124.0;42.0;51;48;;28.0;19.0;5.0;27.0;11.0;11.0;12.0;1.0;;7523.0
Strijen-G0617;12;11;1449;962;874;492;296;425;315;306;185;188;227;1;178;32;17.0;3.0;11;4;4.0;2.0;4.0;2.0;12.0;0.0;0.0;;1.0;;1139.0
Súdwest-Fryslân-G1900;94;70;10248;5769;12420;5164;4145;5288;3890;2094;1401;1454;289;100;993;190;159.0;;337;69;47.0;;34.0;30.0;;22.0;7.0;;;;10713.0
Ten Boer-G0009;7;2;532;395;852;416;527;643;409;595;145;129;96;1;59;11;22.0;1.0;1;5;10.0;3.0;2.0;0.0;;0.0;0.0;;;;703.0
Terneuzen-G0715;78;47;5634;5351;4244;2493;1754;3349;1723;1447;708;1356;1257;520;512;123;92.0;29.0;43;38;25.0;;20.0;14.0;;11.0;6.0;;6.0;;9643.0
Terschelling-G0093;5;9;1008;345;423;450;335;247;435;78;144;98;9;1;77;12;22.0;;10;8;2.0;;1.0;3.0;;1.0;1.0;;;;330.0
Texel-G0448;18;14;2704;963;1310;1144;1003;806;776;210;373;271;72;1;179;61;32.0;6.0;15;15;12.0;5.0;11.0;1.0;;4.0;;;;0.0;756.0
Teylingen-G1525;44;21;7594;2414;3218;3481;1789;1219;987;512;646;749;93;97;525;73;73.0;6.0;35;24;;14.0;17.0;14.0;5.0;6.0;2.0;;3.0;;3460.0
Tholen-G0716;24;20;2455;2475;1902;712;491;1282;620;1019;277;419;3897;53;258;59;20.0;2.0;13;11;13.0;;4.0;7.0;;9.0;3.0;;1.0;;3104.0
Tiel-G0281;81;22;5488;4179;2319;2479;1982;2091;1468;509;681;903;201;1084;550;104;73.0;14.0;73;25;24.0;12.0;20.0;18.0;20.0;10.0;0.0;;0.0;;6698.0
Tilburg-G0855;365;218;24204;16470;11174;17903;14456;13758;5726;1001;4236;3923;175;3971;1923;396;442.0;205.0;120;123;159.0;67.0;50.0;51.0;60.0;37.0;24.0;;11.0;;40093.0
Tubbergen-G0183;25;9;3222;1599;5749;973;374;748;314;75;119;285;38;1;185;48;16.0;1.0;7;11;6.0;3.0;2.0;3.0;;5.0;;;;;2443.0
Twenterand-G1700;40;28;2966;3287;6200;1065;589;2018;712;2003;214;573;977;5;242;62;57.0;1.0;10;26;18.0;7.0;6.0;10.0;;4.0;;;;;4497.0
Tynaarlo-G1730;33;22;5283;1761;2509;3401;2485;1861;2181;986;702;573;70;9;284;57;62.0;;22;31;52.0;;8.0;8.0;;6.0;5.0;;;;3459.0
Tytsjerksteradiel-G0737;37;25;3099;2216;5099;1808;1526;2130;1611;1350;511;557;234;5;347;95;47.0;;65;40;14.0;;18.0;2.0;;9.0;8.0;;;;3849.0
Uden-G0856;76;44;6544;3304;4026;3020;1644;3756;1029;145;593;746;22;358;415;78;71.0;8.0;21;39;23.0;15.0;27.0;5.0;;3.0;4.0;;4.0;;5935.0
Uitgeest-G0450;19;10;2715;862;980;1267;815;688;568;101;296;270;16;14;210;59;35.0;5.0;11;17;4.0;8.0;3.0;4.0;;0.0;;;;2.0;1308.0
