RegioNaam;@invalid;@blank;PvdA;CDA;VVD;D66;Pacifistisch-Socialistische Partij (PSP);SGP;Communistische Partij van Nederland;Politieke Partij Radikalen (PPR);Reformatorische Politieke Federatie (RPF);CP;Gereformeerd Politiek Verbond (GPV);Evangelische Volkspartij;SP;Democratisch Socialisten '70;Rechtse Volkspartij;Rooms Katholieke Partij Nederland;God Met Ons;Nederlandse Volks Unie (NVU);Progressieve Partij voor Behoud van Milieu, Werk en Maatschappij;Kleine Partij;@abs
Sint-Oedenrode-G0846;38;;1789;4828;1830;472;162;3.0;49.0;157;12.0;15.0;1.0;13.0;49.0;17.0;45.0;12.0;8.0;;;;1613.0
Sittard-G0968;169;;6213;9002;4194;1024;584;14.0;218.0;811;47.0;36.0;6.0;26.0;80.0;49.0;28.0;72.0;142.0;;;;9001.0
Sleen-G0130;33;;2805;1085;1259;175;45;7.0;145.0;46;116.0;11.0;4.0;33.0;9.0;9.0;8.0;1.0;;;;;409.0
Sliedrecht-G0610;22;;4757;2304;2403;550;211;2010.0;115.0;230;491.0;105.0;181.0;115.0;47.0;44.0;38.0;9.0;;;;;2677.0
Slochteren-G0040;47;;3370;1467;1765;297;199;16.0;209.0;75;159.0;19.0;769.0;79.0;30.0;11.0;36.0;4.0;;;;;1583.0
Sloten (F)-G0089;0;;92;200;86;17;7;1.0;1.0;4;25.0;3.0;9.0;3.0;;3.0;;1.0;;;;;
Sluis-G0713;5;;515;554;595;71;7;4.0;6.0;10;16.0;4.0;2.0;3.0;2.0;3.0;2.0;;;;;;333.0
Smallingerland-G0090;100;;12012;8757;4283;950;416;115.0;571.0;381;901.0;46.0;953.0;624.0;65.0;79.0;42.0;11.0;;;;;4036.0
Smilde-G0131;14;;1900;1793;935;177;48;4.0;31.0;57;99.0;12.0;112.0;73.0;15.0;7.0;17.0;2.0;;;;;693.0
Sneek-G0091;57;;6165;5337;3119;621;253;34.0;289.0;275;293.0;23.0;76.0;225.0;52.0;61.0;33.0;13.0;;;;;3375.0
Snelrewaard-G0341;1;;27;265;132;15;10;30.0;;3;12.0;3.0;;4.0;;2.0;;;;;;;58.0
Soest-G0342;102;;4554;6997;8939;1030;391;250.0;151.0;354;462.0;142.0;164.0;227.0;55.0;143.0;44.0;26.0;;;;;4972.0
Someren-G0847;42;;1111;5496;1781;334;142;2.0;26.0;122;5.0;22.0;1.0;2.0;28.0;17.0;45.0;10.0;6.0;;;;2165.0
Son en Breugel-G0848;28;;1232;3250;2807;508;137;2.0;34.0;164;46.0;11.0;16.0;25.0;15.0;30.0;21.0;4.0;2.0;;;;1561.0
Spijkenisse-G0612;87;;10923;3489;6653;1391;591;306.0;441.0;366;238.0;690.0;98.0;135.0;353.0;153.0;54.0;23.0;;;;;7779.0
Sprang-Capelle-G0849;31;;847;1744;1079;136;52;571.0;34.0;33;220.0;14.0;16.0;20.0;14.0;9.0;41.0;2.0;0.0;;;;1031.0
Stad Delden-G0179;29;;882;2101;1179;226;64;4.0;19.0;74;15.0;14.0;10.0;17.0;17.0;15.0;20.0;9.0;;;;;436.0
Stadskanaal-G0037;82;;8398;6264;2357;533;220;42.0;469.0;206;1152.0;19.0;569.0;261.0;75.0;39.0;42.0;24.0;;;;;3940.0
Standdaarbuiten-G0850;8;;387;697;411;71;11;;5.0;7;4.0;8.0;;7.0;2.0;3.0;8.0;5.0;3.0;;;;277.0
Staphorst-G0180;53;;770;1664;1073;171;22;2496.0;9.0;35;582.0;14.0;639.0;40.0;11.0;9.0;58.0;1.0;;;;;580.0
Stavoren-G0092;4;;149;245;109;28;12;;2.0;8;31.0;;;19.0;1.0;;1.0;;;;;;51.0
Stede Broec-G0532;39;;2483;3225;2634;469;289;8.0;246.0;219;58.0;82.0;8.0;30.0;42.0;37.0;28.0;30.0;;;;;2198.0
Stedum-G0041;5;;370;495;147;27;39;2.0;21.0;27;30.0;;59.0;32.0;1.0;8.0;1.0;1.0;;;;;115.0
Steenbergen-G0851;44;;2539;2536;2092;260;105;14.0;52.0;56;14.0;47.0;3.0;12.0;26.0;17.0;26.0;20.0;5.0;;;;2125.0
Steenderen-G0280;9;;578;1561;570;106;22;11.0;4.0;31;20.0;4.0;;13.0;7.0;3.0;10.0;2.0;0.0;;;;274.0
Steenwijk-G0181;59;;5024;3874;2539;498;149;45.0;92.0;238;291.0;29.0;168.0;92.0;22.0;50.0;33.0;6.0;;;;;2114.0
Stein-G0971;154;;3904;5941;2583;832;306;4.0;106.0;222;16.0;34.0;4.0;8.0;49.0;36.0;21.0;34.0;68.0;;;;4607.0
Stevensweert-G0972;11;;178;548;153;44;14;;2.0;12;;1.0;2.0;;;4.0;6.0;3.0;0.0;;;;204.0
Stolwijk-G0615;26;;746;483;786;132;31;410.0;14.0;18;81.0;28.0;3.0;11.0;1.0;13.0;5.0;;;;;;338.0
Stramproy-G0973;15;;432;1369;474;151;59;3.0;6.0;40;2.0;6.0;1.0;1.0;12.0;5.0;6.0;2.0;5.0;;;;656.0
Streefkerk-G0616;9;;389;359;302;49;8;288.0;6.0;5;44.0;8.0;7.0;3.0;6.0;7.0;3.0;2.0;;;;;128.0
Strijen-G0617;23;;1833;955;1447;164;73;260.0;37.0;41;143.0;28.0;17.0;25.0;2.0;10.0;9.0;3.0;;;;;677.0
Susteren-G0974;74;;1722;3411;1163;407;131;1.0;43.0;166;7.0;8.0;2.0;26.0;25.0;6.0;32.0;34.0;38.0;;;;1949.0
Swalmen-G0975;43;;1173;1781;895;226;86;;30.0;54;1.0;6.0;1.0;2.0;19.0;6.0;20.0;15.0;13.0;;;;1803.0
't Zandt-G0054;4;;643;393;262;56;50;2.0;16.0;30;21.0;2.0;21.0;62.0;3.0;2.0;3.0;;;;;;183.0
Tegelen-G0976;61;;2456;4009;1604;408;205;5.0;45.0;99;3.0;24.0;1.0;5.0;28.0;16.0;25.0;28.0;7.0;;;;3289.0
Ten Boer-G0009;16;;1226;1161;683;137;58;13.0;87.0;53;142.0;7.0;394.0;68.0;4.0;7.0;5.0;2.0;;;;;527.0
Ter Aar-G0480;61;;591;2235;1434;165;52;100.0;15.0;66;58.0;24.0;15.0;34.0;13.0;15.0;15.0;15.0;;;;;774.0
Terheijden-G0853;15;;1343;1779;1084;321;101;3.0;31.0;66;2.0;23.0;;9.0;14.0;18.0;29.0;10.0;8.0;;;;903.0
Termunten-G0042;22;;1197;583;379;75;57;7.0;312.0;29;86.0;5.0;11.0;45.0;15.0;9.0;6.0;6.0;;;;;526.0
Terneuzen-G0715;74;;5525;4675;4345;904;268;1013.0;130.0;203;424.0;131.0;599.0;154.0;82.0;68.0;51.0;25.0;;;;;6073.0
Terschelling-G0093;12;;1302;833;1220;152;68;3.0;33.0;63;40.0;15.0;18.0;38.0;7.0;20.0;4.0;2.0;;;;;
Teteringen-G0854;10;;534;1409;1068;154;60;3.0;21.0;51;5.0;7.0;;8.0;10.0;10.0;12.0;8.0;3.0;;;;461.0
Texel-G0448;40;;2348;2506;2481;440;268;43.0;75.0;151;137.0;12.0;18.0;83.0;20.0;32.0;15.0;4.0;;;;;254.0
Tholen-G0716;44;;2939;2007;2249;294;110;2789.0;32.0;55;461.0;51.0;35.0;46.0;41.0;29.0;18.0;3.0;;;;;2232.0
Thorn-G0977;17;;378;880;231;102;27;2.0;4.0;35;1.0;1.0;;1.0;4.0;3.0;8.0;2.0;7.0;;;;283.0
Tiel-G0281;26;;6669;3522;3722;800;256;122.0;96.0;320;122.0;84.0;78.0;90.0;60.0;45.0;24.0;4.0;7.0;;;;4259.0
Tienhoven (ZH)-G0618;2;;52;139;59;2;4;27.0;2.0;7;28.0;1.0;3.0;2.0;;;2.0;;;;;;13.0
Tietjerksteradeel-G0094;46;;5424;6730;3128;610;189;152.0;107.0;146;656.0;23.0;248.0;320.0;24.0;56.0;30.0;8.0;;;;;2360.0
Tilburg-G0855;402;;23763;25249;16229;3740;3860;58.0;1417.0;1843;134.0;538.0;67.0;189.0;1185.0;349.0;317.0;226.0;82.0;;;;33128.0
Tubbergen-G0183;36;;931;8348;1386;271;56;9.0;10.0;97;18.0;7.0;9.0;23.0;21.0;11.0;46.0;28.0;;;;;796.0
Ubbergen-G0282;20;;1387;2688;1188;252;172;2.0;60.0;179;7.0;9.0;4.0;17.0;26.0;11.0;12.0;11.0;7.0;;;;1041.0
Uden-G0856;48;;3580;7555;4640;748;343;12.0;79.0;218;37.0;37.0;10.0;29.0;491.0;43.0;44.0;28.0;4.0;;;;4412.0
Udenhout-G0857;12;;706;2422;889;161;71;2.0;17.0;64;2.0;13.0;;6.0;6.0;11.0;13.0;8.0;2.0;;;;1201.0
Uitgeest-G0450;18;;1410;1586;1692;342;184;5.0;262.0;150;12.0;26.0;12.0;27.0;23.0;22.0;9.0;15.0;;;;;927.0
Uithoorn-G0451;70;;2842;3706;4612;620;274;24.0;141.0;364;108.0;78.0;22.0;87.0;26.0;71.0;24.0;6.0;;;;2.0;2484.0
Ulrum-G0045;5;;571;877;359;59;23;12.0;23.0;16;117.0;2.0;240.0;17.0;1.0;4.0;4.0;3.0;;;;;306.0
Urk-G0184;13;;43;2016;274;16;4;1800.0;7.0;6;1133.0;5.0;231.0;21.0;1.0;1.0;4.0;;;;;;546.0
Usquert-G0046;2;;677;101;188;23;20;;32.0;18;7.0;2.0;21.0;4.0;3.0;2.0;1.0;;;;;;103.0
Utingeradeel-G0095;4;;1636;726;800;128;67;48.0;43.0;45;40.0;4.0;4.0;37.0;2.0;13.0;8.0;4.0;;;;;296.0
Utrecht-G0344;600;;48378;27746;26237;5541;6705;912.0;4230.0;3394;1107.0;2435.0;695.0;1009.0;1394.0;518.0;305.0;234.0;;;;;41060.0
Vaals-G0981;61;;1538;1775;946;206;93;4.0;55.0;55;11.0;11.0;16.0;8.0;11.0;15.0;4.0;35.0;26.0;;;;1676.0
Valburg-G0283;12;;1387;2727;1492;252;127;429.0;25.0;140;97.0;11.0;16.0;46.0;12.0;11.0;24.0;3.0;2.0;;;;1149.0
Valkenburg (ZH)-G0619;16;;258;652;411;33;8;65.0;8.0;24;67.0;11.0;83.0;22.0;7.0;4.0;5.0;;;;;;344.0
Valkenburg aan de Geul-G0994;74;;2210;4942;2416;487;261;6.0;57.0;142;38.0;36.0;5.0;28.0;25.0;32.0;21.0;44.0;53.0;;;;2145.0
Valkenisse-G0720;8;;642;1415;1191;192;32;231.0;10.0;71;64.0;18.0;38.0;63.0;7.0;13.0;5.0;6.0;;;;;316.0
Valkenswaard-G0858;44;;3449;6409;3589;832;233;5.0;53.0;313;40.0;47.0;15.0;32.0;60.0;36.0;46.0;22.0;11.0;;;;4381.0
Veendam-G0047;87;;8943;2732;3135;566;244;19.0;425.0;156;285.0;27.0;121.0;195.0;109.0;54.0;37.0;14.0;;;;;3121.0
Veenendaal-G0345;10;;4478;6972;5073;911;237;2110.0;94.0;344;2142.0;95.0;402.0;244.0;56.0;51.0;79.0;5.0;;;;;4526.0
Veere-G0717;11;;351;1307;694;146;17;243.0;17.0;68;86.0;6.0;125.0;54.0;4.0;18.0;2.0;2.0;;;;;199.0
Veghel-G0860;66;;2423;6144;2973;590;312;4.0;71.0;185;32.0;53.0;7.0;17.0;93.0;34.0;56.0;18.0;7.0;;;;3500.0
Veldhoven-G0861;71;;3804;7636;4738;1010;419;11.0;88.0;543;85.0;64.0;18.0;126.0;117.0;44.0;59.0;60.0;12.0;;;;5560.0
Velsen-G0453;257;;11605;8545;9224;1623;1075;139.0;1001.0;700;473.0;319.0;188.0;220.0;181.0;202.0;81.0;43.0;;;;14.0;8815.0
Venhuizen-G0454;14;;902;1392;1368;199;114;1.0;40.0;62;11.0;30.0;1.0;11.0;6.0;14.0;7.0;18.0;;;;;624.0
Venlo-G0983;172;;6896;14158;6856;1429;623;6.0;280.0;578;41.0;83.0;23.0;35.0;175.0;85.0;54.0;127.0;39.0;;;;13152.0
Venray-G0984;92;;3283;8911;3006;759;585;5.0;115.0;266;16.0;28.0;8.0;18.0;101.0;32.0;49.0;49.0;19.0;;;;5590.0
Vessem, Wintelre en Knegsel-G0862;1;;239;1820;494;86;36;1.0;7.0;44;2.0;1.0;;4.0;4.0;2.0;6.0;7.0;0.0;;;;452.0
Vianen-G0620;30;;2515;2080;2139;402;146;194.0;103.0;135;55.0;70.0;14.0;95.0;32.0;30.0;14.0;4.0;;;;;1430.0
Vierlingsbeek-G0863;18;;631;2810;776;207;121;5.0;20.0;60;2.0;4.0;1.0;4.0;15.0;8.0;10.0;14.0;3.0;;;;727.0
Vinkeveen en Waverveen-G0346;17;;603;1873;1868;208;65;138.0;44.0;67;110.0;33.0;12.0;15.0;6.0;14.0;13.0;5.0;;;;;941.0
Vlaardingen-G0622;136;;17683;8150;9814;1911;840;1293.0;717.0;725;951.0;735.0;273.0;423.0;1081.0;192.0;110.0;44.0;;;;;11502.0
Vlagtwedde-G0048;53;;4469;3151;1586;266;96;5.0;186.0;73;192.0;18.0;46.0;83.0;23.0;24.0;31.0;14.0;;;;;2003.0
Vledder-G0132;10;;1041;416;582;111;37;6.0;24.0;36;11.0;4.0;7.0;18.0;1.0;10.0;4.0;1.0;;;;;237.0
Vleuten-De Meern-G0347;35;;1508;3896;3469;403;156;101.0;59.0;201;71.0;50.0;80.0;62.0;16.0;28.0;17.0;36.0;;;;;1239.0
Vlieland-G0096;1;;382;170;363;85;38;;4.0;10;11.0;1.0;11.0;6.0;;5.0;1.0;;;;;;
Vlijmen-G0864;40;;1867;3460;1838;346;108;3.0;56.0;104;8.0;19.0;6.0;10.0;32.0;26.0;32.0;26.0;2.0;;;;1664.0
Vlissingen-G0718;118;;9300;5536;6320;1097;441;694.0;316.0;422;396.0;252.0;124.0;258.0;176.0;122.0;57.0;15.0;;;;;7729.0
Vlist-G0623;4;;46;160;83;8;3;59.0;5.0;2;30.0;;1.0;1.0;;2.0;4.0;2.0;;;;;38.0
Vlodrop-G0985;8;;248;615;237;74;15;;4.0;16;;2.0;;1.0;2.0;10.0;2.0;2.0;3.0;;;;360.0
