RegioNaam;@invalid;@blank;PvdA;KVP;ARP;CHU;VVD;Communistische Partij van Nederland;Katholieke Nationale Partij;SGP;Gereformeerd Politiek Verbond (GPV);Middenstands Partij;Partij voor Recht, Vrijheid en Welvaart;Socialistische Unie;Jong Conservatief Verbond;@abs
Edam-Volendam-G0385;0;;774.0;3801.0;175.0;185.0;475.0;115.0;101.0;5.0;2.0;4.0;13.0;5.0;15.0;159.0
Ede-G0228;0;;5695.0;1380.0;5149.0;5279.0;1829.0;274.0;247.0;4831.0;55.0;52.0;107.0;39.0;70.0;789.0
Eelde-G0113;0;;1335.0;38.0;108.0;90.0;595.0;82.0;20.0;;9.0;103.0;12.0;5.0;1.0;209.0
Eemnes-G0317;0;;147.0;491.0;249.0;65.0;58.0;41.0;63.0;72.0;;1.0;1.0;2.0;;76.0
Eenrum-G0011;0;;781.0;35.0;213.0;31.0;286.0;23.0;4.0;1.0;150.0;34.0;1.0;2.0;;72.0
Eersel-G0770;0;;26.0;1944.0;3.0;24.0;8.0;3.0;36.0;1.0;1.0;2.0;1.0;;;13.0
Eethen-G0771;0;;228.0;46.0;518.0;339.0;88.0;3.0;3.0;266.0;3.0;1.0;;;;117.0
Egmond aan Zee-G0386;0;;1488.0;332.0;156.0;88.0;306.0;146.0;33.0;;4.0;9.0;5.0;7.0;3.0;259.0
Egmond-Binnen-G0387;0;;134.0;1217.0;27.0;23.0;73.0;22.0;40.0;1.0;;;2.0;;;
Eibergen-G0229;0;;1651.0;2629.0;452.0;832.0;428.0;17.0;19.0;2.0;17.0;3.0;4.0;2.0;;391.0
Eijgelshoven-G0904;0;;354.0;1458.0;15.0;20.0;19.0;122.0;190.0;5.0;9.0;;15.0;2.0;;301.0
Eijsden-G0905;0;;107.0;1922.0;9.0;20.0;10.0;1.0;121.0;1.0;4.0;;25.0;1.0;;245.0
Eindhoven-G0772;0;;19374.0;41163.0;2469.0;1664.0;2893.0;1600.0;2850.0;147.0;144.0;86.0;206.0;137.0;;3719.0
Elburg-G0230;0;;230.0;31.0;339.0;552.0;66.0;10.0;20.0;397.0;2.0;1.0;5.0;4.0;2.0;20.0
Elkerzee-G1053;0;;75.0;1.0;91.0;58.0;40.0;;;26.0;5.0;12.0;;2.0;;32.0
Ellemeet-G1054;0;;126.0;1.0;27.0;48.0;45.0;1.0;2.0;7.0;;2.0;;1.0;;29.0
Ellewoutsdijk-G0663;0;;109.0;4.0;14.0;88.0;33.0;1.0;3.0;10.0;;20.0;;;;27.0
Elsloo-G0903;0;;122.0;1442.0;3.0;2.0;4.0;4.0;43.0;2.0;1.0;;3.0;;;152.0
Elst-G0231;0;;1093.0;3238.0;434.0;502.0;270.0;35.0;114.0;53.0;1.0;17.0;17.0;3.0;;189.0
Elten-G1055;0;;110.0;269.0;3.0;12.0;13.0;5.0;13.0;2.0;1.0;;1.0;;;46.0
Emmen-G0114;0;;9186.0;4523.0;4007.0;3476.0;2269.0;2446.0;83.0;25.0;144.0;36.0;40.0;39.0;14.0;3358.0
Empel en Meerwijk-G0773;0;;23.0;392.0;1.0;;1.0;;12.0;;;;;;;51.0
Engelen-G0774;0;;48.0;325.0;4.0;10.0;;3.0;3.0;3.0;;2.0;;;;65.0
Enkhuizen-G0388;0;;2307.0;812.0;1234.0;668.0;517.0;166.0;32.0;199.0;26.0;24.0;7.0;20.0;8.0;308.0
Enschede-G0153;0;;18792.0;13002.0;4112.0;4637.0;6621.0;9199.0;1167.0;231.0;1300.0;82.0;92.0;146.0;38.0;4818.0
Epe-G0232;0;;4328.0;1043.0;1394.0;1605.0;1388.0;146.0;103.0;426.0;14.0;17.0;39.0;17.0;10.0;212.0
Ermelo-G0233;0;;1931.0;375.0;3151.0;3460.0;798.0;128.0;110.0;1913.0;141.0;10.0;33.0;23.0;19.0;
Erp-G0775;0;;13.0;1754.0;;;;1.0;5.0;4.0;;1.0;1.0;;;50.0
Esch-G0776;0;;12.0;422.0;;4.0;1.0;;4.0;1.0;;;;;;25.0
Est en Opijnen-G0234;0;;261.0;4.0;64.0;102.0;65.0;;2.0;89.0;;2.0;1.0;;;59.0
Etten-Leur-G0777;0;;696.0;4770.0;41.0;128.0;35.0;24.0;193.0;9.0;5.0;12.0;11.0;5.0;;543.0
Everdingen-G0508;0;;75.0;83.0;147.0;51.0;88.0;3.0;2.0;146.0;;3.0;;;;40.0
Ewijk-G0235;0;;184.0;1400.0;5.0;47.0;5.0;2.0;22.0;1.0;;;1.0;;;114.0
Ezinge-G0012;0;;428.0;4.0;405.0;31.0;179.0;2.0;2.0;;15.0;15.0;2.0;1.0;2.0;44.0
Ferwerderadeel-G0068;0;;972.0;10.0;2318.0;873.0;340.0;23.0;2.0;10.0;212.0;21.0;;17.0;;242.0
Fijnaart en Heijningen-G0778;0;;264.0;996.0;287.0;800.0;55.0;4.0;33.0;64.0;0.0;2.0;3.0;0.0;0.0;179.0
Finsterwolde-G0013;0;;478.0;10.0;41.0;75.0;197.0;1009.0;;9.0;4.0;19.0;1.0;2.0;;221.0
Franeker-G0069;0;;1635.0;521.0;1121.0;525.0;347.0;269.0;37.0;32.0;2.0;26.0;9.0;18.0;4.0;834.0
Franekeradeel-G0070;0;;1085.0;112.0;563.0;617.0;243.0;54.0;6.0;10.0;25.0;6.0;3.0;13.0;16.0;165.0
Gaasterland-G0071;0;;511.0;781.0;718.0;1195.0;113.0;22.0;15.0;197.0;2.0;1.0;6.0;4.0;2.0;158.0
Gameren-G1058;0;;233.0;8.0;300.0;22.0;19.0;;7.0;429.0;6.0;1.0;;1.0;;137.0
Gasselte-G0115;0;;968.0;24.0;260.0;262.0;288.0;220.0;7.0;2.0;2.0;6.0;5.0;6.0;1.0;166.0
Geertruidenberg-G0779;0;;270.0;1312.0;72.0;71.0;46.0;10.0;48.0;10.0;1.0;1.0;6.0;1.0;;151.0
Geervliet-G0509;0;;292.0;5.0;80.0;78.0;138.0;11.0;;47.0;;1.0;1.0;;;52.0
Geffen-G0780;0;;73.0;979.0;1.0;;2.0;;18.0;;;2.0;1.0;2.0;;90.0
Geldermalsen-G0236;0;;1453.0;62.0;280.0;584.0;249.0;27.0;10.0;353.0;8.0;6.0;1.0;4.0;;257.0
Geldrop-G0781;0;;1407.0;4396.0;111.0;119.0;145.0;105.0;184.0;8.0;10.0;9.0;4.0;9.0;;537.0
Geleen-G0906;0;;1845.0;6848.0;360.0;144.0;166.0;290.0;485.0;20.0;15.0;;42.0;10.0;;768.0
Gemert-G0782;0;;169.0;4238.0;33.0;23.0;44.0;11.0;76.0;2.0;1.0;2.0;111.0;2.0;;356.0
Gendringen-G0237;0;;528.0;4867.0;246.0;480.0;70.0;16.0;73.0;6.0;5.0;2.0;18.0;1.0;;270.0
Gendt-G0238;0;;75.0;1858.0;27.0;63.0;13.0;1.0;55.0;11.0;3.0;6.0;1.0;;;75.0
Genemuiden-G0154;0;;378.0;3.0;448.0;441.0;46.0;3.0;;641.0;13.0;2.0;;;;304.0
Gennep-G0907;0;;310.0;1552.0;28.0;41.0;30.0;7.0;238.0;2.0;1.0;;3.0;1.0;;145.0
Geulle-G0908;0;;69.0;827.0;1.0;;6.0;4.0;24.0;;;;1.0;;;125.0
Giessen-G0783;0;;37.0;;84.0;124.0;15.0;;;18.0;19.0;;;;;45.0
Giessendam-G1063;0;;460.0;2.0;593.0;252.0;258.0;46.0;5.0;618.0;123.0;;;2.0;;410.0
Giessen-Nieuwkerk-G1062;0;;139.0;;294.0;64.0;77.0;;;68.0;1.0;2.0;;2.0;;40.0
Gieten-G0116;0;;1253.0;23.0;100.0;217.0;459.0;47.0;12.0;;5.0;42.0;4.0;;5.0;181.0
Giethoorn-G0155;0;;726.0;6.0;103.0;223.0;180.0;156.0;2.0;;12.0;6.0;5.0;12.0;;100.0
Gilze en Rijen-G0784;0;;334.0;4814.0;96.0;45.0;101.0;16.0;280.0;8.0;1.0;5.0;10.0;;;238.0
Goedereede-G0511;0;;197.0;4.0;225.0;40.0;91.0;5.0;1.0;105.0;1.0;1.0;;;;104.0
Goes-G0664;0;;2190.0;1103.0;1000.0;1434.0;520.0;33.0;88.0;305.0;40.0;602.0;78.0;9.0;;478.0
Goirle-G0785;0;;217.0;2966.0;22.0;17.0;32.0;33.0;216.0;1.0;4.0;9.0;3.0;1.0;;243.0
Goor-G0156;0;;1597.0;783.0;115.0;164.0;293.0;226.0;30.0;12.0;5.0;2.0;2.0;6.0;4.0;119.0
Gorinchem-G0512;0;;4007.0;958.0;1466.0;591.0;1344.0;274.0;91.0;217.0;37.0;15.0;30.0;301.0;;788.0
Gorssel-G0239;0;;2017.0;330.0;878.0;1405.0;1098.0;147.0;48.0;12.0;4.0;6.0;10.0;6.0;12.0;377.0
Gouda-G0513;0;;7619.0;4203.0;2413.0;1645.0;2293.0;1186.0;485.0;828.0;154.0;54.0;45.0;172.0;32.0;1767.0
Gouderak-G0514;0;;340.0;21.0;292.0;60.0;186.0;4.0;1.0;188.0;;1.0;;4.0;;84.0
Goudriaan-G0515;0;;40.0;1.0;179.0;12.0;66.0;;;51.0;;;;;;20.0
Goudswaard-G0516;0;;131.0;1.0;143.0;38.0;101.0;2.0;2.0;319.0;;;;;;86.0
Graauw en Langendam-G0665;0;;181.0;680.0;8.0;4.0;5.0;3.0;27.0;;1.0;2.0;2.0;;;117.0
Graft-G0389;0;;251.0;191.0;16.0;14.0;83.0;79.0;;;;;;1.0;;28.0
Gramsbergen-G0157;0;;743.0;67.0;738.0;817.0;172.0;14.0;4.0;5.0;40.0;1.0;6.0;1.0;;142.0
Grathem-G0909;0;;9.0;865.0;;1.0;;;19.0;1.0;1.0;;;;;46.0
Grave-G0786;0;;199.0;1863.0;78.0;29.0;63.0;12.0;112.0;1.0;2.0;4.0;18.0;;;346.0
Grevenbicht-G0910;0;;75.0;907.0;;67.0;6.0;15.0;47.0;1.0;1.0;;;;;161.0
Grijpskerk-G0016;0;;308.0;10.0;1171.0;173.0;236.0;5.0;2.0;7.0;98.0;9.0;1.0;5.0;;49.0
Grijpskerke-G1067;0;;38.0;4.0;301.0;99.0;5.0;15.0;;66.0;7.0;;;1.0;;42.0
Groede-G0667;0;;478.0;204.0;74.0;156.0;337.0;6.0;10.0;6.0;2.0;24.0;1.0;5.0;;129.0
Groenlo-G0240;0;;383.0;2068.0;23.0;54.0;91.0;11.0;71.0;5.0;4.0;4.0;2.0;1.0;;170.0
Groesbeek-G0241;0;;773.0;4299.0;89.0;147.0;93.0;58.0;187.0;7.0;1.0;11.0;9.0;4.0;;495.0
Groningen-G0014;0;;29857.0;5747.0;8998.0;6605.0;9677.0;6828.0;1079.0;190.0;3037.0;1344.0;309.0;401.0;226.0;8077.0
Gronsveld-G0911;0;;29.0;1050.0;3.0;2.0;3.0;1.0;59.0;1.0;1.0;;32.0;;;79.0
Groot-Ammers-G0520;0;;167.0;11.0;298.0;33.0;186.0;2.0;;186.0;8.0;1.0;1.0;;;100.0
Grootebroek-G0391;0;;170.0;2083.0;9.0;4.0;40.0;49.0;18.0;2.0;1.0;2.0;;;;57.0
Grootegast-G0015;0;;923.0;16.0;2338.0;450.0;209.0;89.0;2.0;7.0;178.0;6.0;8.0;6.0;9.0;228.0
Grubbenvorst-G0912;0;;32.0;1541.0;;;1.0;;36.0;1.0;;;;;;47.0
Gulpen-G0913;0;;123.0;1467.0;11.0;11.0;12.0;14.0;104.0;2.0;4.0;;5.0;4.0;;125.0
Haaften-G0242;0;;667.0;7.0;204.0;332.0;46.0;3.0;;243.0;4.0;3.0;1.0;;;153.0
Haaksbergen-G0158;0;;1007.0;3918.0;109.0;72.0;519.0;51.0;119.0;9.0;4.0;3.0;2.0;1.0;2.0;436.0
Haamstede-G1068;0;;277.0;8.0;206.0;228.0;196.0;2.0;;68.0;4.0;28.0;;1.0;;11.0
Haaren-G0788;0;;50.0;1285.0;4.0;;3.0;2.0;36.0;;1.0;1.0;;;;28.0
Haarlem-G0392;0;;32042.0;20300.0;7566.0;4016.0;9827.0;8656.0;4484.0;328.0;237.0;248.0;474.0;415.0;828.0;8862.0
Haarlemmerliede en Spaarnwoude-G0393;0;;280.0;935.0;173.0;90.0;213.0;99.0;115.0;18.0;1.0;1.0;;5.0;6.0;155.0
Haarlemmermeer-G0394;0;;4680.0;4163.0;3882.0;3028.0;1312.0;1075.0;438.0;378.0;167.0;37.0;65.0;39.0;34.0;1498.0
Haarzuilens-G1069;0;;1.0;243.0;19.0;12.0;2.0;;9.0;2.0;;;;;;2.0
Haastrecht-G0521;0;;302.0;477.0;190.0;72.0;192.0;11.0;40.0;65.0;1.0;;;2.0;2.0;61.0
Haelen-G0914;0;;45.0;1419.0;1.0;2.0;2.0;1.0;47.0;2.0;1.0;;;;;63.0
Hagestein-G0522;0;;41.0;168.0;46.0;74.0;53.0;1.0;;101.0;;;;;;35.0
Halsteren-G0789;0;;660.0;2574.0;107.0;77.0;63.0;27.0;144.0;16.0;8.0;15.0;16.0;4.0;;485.0
Haps-G0790;0;;11.0;876.0;2.0;;3.0;;11.0;;;3.0;;;;38.0
Hardenberg-G0160;0;;2258.0;1091.0;2941.0;2106.0;546.0;77.0;9.0;22.0;964.0;29.0;1.0;3.0;4.0;572.0
Harderwijk-G0243;0;;1353.0;366.0;1755.0;2374.0;409.0;96.0;69.0;640.0;44.0;8.0;29.0;2.0;8.0;
Hardinxveld-G1070;0;;1546.0;20.0;656.0;197.0;377.0;100.0;7.0;948.0;65.0;4.0;7.0;6.0;;637.0
Haren-G0017;0;;1999.0;110.0;1319.0;944.0;1528.0;199.0;66.0;3.0;132.0;124.0;25.0;23.0;23.0;610.0
Harenkarspel-G0395;0;;309.0;1267.0;100.0;2.0;107.0;46.0;6.0;;6.0;12.0;;3.0;2.0;50.0
Harlingen-G0072;0;;2339.0;748.0;692.0;890.0;481.0;366.0;67.0;3.0;138.0;33.0;15.0;15.0;6.0;565.0
Harmelen-G0318;0;;82.0;570.0;238.0;275.0;27.0;2.0;57.0;76.0;6.0;1.0;2.0;;;75.0
Haskerland-G0073;0;;2310.0;634.0;678.0;1276.0;418.0;136.0;20.0;21.0;16.0;9.0;6.0;36.0;5.0;455.0
Hasselt-G0161;0;;276.0;52.0;363.0;319.0;58.0;9.0;9.0;66.0;105.0;;2.0;2.0;4.0;108.0
Hattem-G0244;0;;1194.0;44.0;437.0;801.0;298.0;169.0;21.0;43.0;208.0;5.0;15.0;12.0;2.0;130.0
Havelte-G0117;0;;1403.0;35.0;109.0;173.0;543.0;20.0;3.0;;7.0;17.0;2.0;6.0;2.0;189.0
Hazerswoude-G0524;0;;129.0;1025.0;734.0;522.0;62.0;9.0;27.0;163.0;1.0;2.0;1.0;1.0;;132.0
Hedel-G0245;0;;178.0;435.0;107.0;83.0;15.0;6.0;24.0;220.0;3.0;;2.0;;;66.0
Heel en Panheel-G0915;0;;17.0;1377.0;5.0;1.0;3.0;1.0;28.0;;2.0;;;;;46.0
Heemskerk-G0396;0;;279.0;2153.0;27.0;111.0;100.0;101.0;52.0;6.0;;1.0;1.0;4.0;5.0;104.0
Heemstede-G0397;0;;2160.0;3102.0;1693.0;847.0;2840.0;317.0;1489.0;47.0;30.0;17.0;123.0;64.0;275.0;1397.0
Heenvliet-G0525;0;;252.0;8.0;64.0;34.0;208.0;99.0;4.0;14.0;;2.0;1.0;3.0;;83.0
Heer-G0916;0;;926.0;2088.0;13.0;7.0;41.0;34.0;197.0;2.0;7.0;;14.0;6.0;;344.0
Heerde-G0246;0;;2215.0;49.0;1115.0;1861.0;561.0;34.0;17.0;134.0;196.0;4.0;4.0;2.0;9.0;290.0
Heerenveen-G0074;0;;5608.0;457.0;1559.0;1198.0;1660.0;1735.0;42.0;35.0;95.0;65.0;16.0;422.0;11.0;1385.0
Heerewaarden-G0247;0;;425.0;24.0;25.0;18.0;110.0;3.0;2.0;2.0;;;1.0;;;28.0
Heerhugowaard-G0398;0;;403.0;2004.0;180.0;46.0;168.0;27.0;26.0;5.0;;2.0;1.0;;1.0;111.0
Heerjansdam-G0526;0;;246.0;3.0;184.0;237.0;79.0;18.0;;44.0;;;;1.0;;44.0
Heerlen-G0917;0;;5657.0;18266.0;532.0;658.0;412.0;1564.0;2216.0;14.0;51.0;;53.0;41.0;;2646.0
Heesch-G0791;0;;101.0;1860.0;11.0;17.0;6.0;8.0;20.0;1.0;1.0;1.0;1.0;;;123.0
Heeswijk-G1072;0;;4.0;1033.0;;;;1.0;15.0;;;;3.0;;;29.0
Heeze-G0793;0;;145.0;1826.0;9.0;60.0;23.0;1.0;82.0;1.0;;3.0;1.0;;;118.0
Hei- en Boeicop-G0527;0;;34.0;1.0;140.0;27.0;33.0;1.0;;155.0;;;;;;35.0
Heiloo-G0399;0;;1587.0;2322.0;234.0;209.0;720.0;213.0;144.0;16.0;5.0;7.0;19.0;19.0;15.0;614.0
Heinenoord-G0528;0;;376.0;14.0;272.0;176.0;147.0;6.0;;186.0;1.0;5.0;3.0;;;84.0
Heinkenszand-G0672;0;;78.0;555.0;141.0;251.0;49.0;;24.0;51.0;;31.0;1.0;;;50.0
Heino-G0162;0;;307.0;886.0;75.0;471.0;55.0;2.0;26.0;2.0;50.0;1.0;;;1.0;38.0
Hekelingen-G1074;0;;328.0;5.0;63.0;35.0;139.0;4.0;;32.0;;;2.0;1.0;;48.0
Hekendorp-G1075;0;;37.0;118.0;65.0;75.0;53.0;1.0;6.0;41.0;;;2.0;;;30.0
Helden-G0918;0;;45.0;4000.0;2.0;5.0;11.0;5.0;69.0;1.0;3.0;;4.0;1.0;;160.0
Hellendoorn-G0163;0;;1825.0;2201.0;1858.0;3262.0;419.0;111.0;31.0;202.0;126.0;7.0;4.0;6.0;;234.0
Hellevoetsluis-G0530;0;;384.0;48.0;70.0;63.0;127.0;11.0;3.0;12.0;2.0;;2.0;1.0;;53.0
Helmond-G0794;0;;3162.0;12568.0;202.0;161.0;420.0;718.0;486.0;15.0;18.0;36.0;65.0;20.0;;1400.0
Helvoirt-G0795;0;;47.0;1204.0;3.0;37.0;14.0;5.0;87.0;1.0;1.0;;;;;77.0
Hemelumer Oldeferd-G0075;0;;547.0;113.0;607.0;1348.0;112.0;6.0;4.0;39.0;6.0;13.0;11.0;4.0;2.0;148.0
Hemmen-G1076;0;;10.0;3.0;29.0;47.0;9.0;1.0;;31.0;;;1.0;;;3.0
Hendrik-Ido-Ambacht-G0531;0;;930.0;21.0;745.0;413.0;225.0;19.0;3.0;716.0;10.0;;;4.0;;189.0
Hengelo-G0248;0;;608.0;1091.0;654.0;443.0;241.0;10.0;10.0;36.0;2.0;2.0;1.0;4.0;;196.0
Hengelo-G0164;0;;10054.0;9488.0;1568.0;1848.0;2702.0;1913.0;433.0;83.0;88.0;36.0;41.0;104.0;32.0;2076.0
Hennaarderadeel-G0076;0;;641.0;130.0;550.0;1075.0;212.0;6.0;8.0;17.0;2.0;2.0;2.0;6.0;1.0;145.0
Hensbroek-G0401;0;;155.0;279.0;2.0;3.0;61.0;17.0;2.0;2.0;;1.0;1.0;;;33.0
Herkingen-G1078;0;;87.0;4.0;159.0;13.0;25.0;;;221.0;;;;;;90.0
Herten-G0919;0;;40.0;819.0;1.0;4.0;;;44.0;1.0;;;;;;85.0
Herwen en Aerdt-G0249;0;;563.0;1866.0;86.0;127.0;76.0;12.0;159.0;11.0;2.0;8.0;3.0;4.0;;314.0
Herwijnen-G0250;0;;328.0;4.0;267.0;210.0;72.0;2.0;1.0;83.0;;;;;;80.0
Het Bildt-G0063;0;;1675.0;36.0;1626.0;800.0;509.0;319.0;8.0;17.0;22.0;45.0;6.0;67.0;3.0;346.0
Heteren-G0251;0;;237.0;1268.0;263.0;280.0;40.0;8.0;16.0;268.0;1.0;3.0;14.0;;;124.0
Heukelum-G0533;0;;449.0;12.0;213.0;115.0;157.0;9.0;1.0;22.0;2.0;1.0;;1.0;;63.0
Heumen-G0252;0;;93.0;1266.0;19.0;12.0;20.0;1.0;53.0;2.0;;;1.0;1.0;;93.0
Heusden-G0797;0;;314.0;967.0;76.0;146.0;49.0;6.0;15.0;55.0;2.0;4.0;;4.0;;115.0
Heythuysen-G0920;0;;25.0;1451.0;1.0;;6.0;;67.0;;3.0;;;1.0;;63.0
Hillegom-G0534;0;;1160.0;3177.0;685.0;895.0;294.0;72.0;589.0;74.0;3.0;10.0;14.0;17.0;6.0;346.0
Hilvarenbeek-G0798;0;;316.0;1869.0;10.0;86.0;25.0;13.0;206.0;4.0;1.0;1.0;2.0;;;157.0
Hilversum-G0402;0;;14785.0;8649.0;7049.0;4129.0;6551.0;3561.0;2230.0;982.0;111.0;132.0;467.0;309.0;199.0;4146.0
Hindeloopen-G0077;0;;255.0;9.0;77.0;121.0;7.0;21.0;;1.0;2.0;1.0;;1.0;;35.0
Hoedekenskerke-G0673;0;;88.0;445.0;58.0;124.0;36.0;3.0;25.0;110.0;;13.0;3.0;;;43.0
Hoek-G0674;0;;551.0;30.0;135.0;277.0;191.0;5.0;6.0;278.0;81.0;10.0;;;;88.0
Hoenkoop-G0319;0;;23.0;147.0;73.0;27.0;14.0;;8.0;15.0;;;;;;11.0
Hoensbroek-G0921;0;;1709.0;4949.0;141.0;153.0;66.0;632.0;329.0;9.0;28.0;;20.0;19.0;;894.0
Hoevelaken-G0253;0;;222.0;40.0;136.0;285.0;35.0;3.0;11.0;216.0;5.0;;2.0;2.0;1.0;52.0
Hoeven-G0799;0;;194.0;1934.0;8.0;10.0;8.0;15.0;144.0;3.0;2.0;5.0;8.0;;;282.0
Holten-G0165;0;;753.0;62.0;425.0;1227.0;379.0;17.0;4.0;23.0;4.0;6.0;3.0;3.0;11.0;105.0
Hontenisse-G0675;0;;283.0;2425.0;23.0;96.0;26.0;3.0;40.0;9.0;18.0;5.0;2.0;;;275.0
Hoofdplaat-G0676;0;;63.0;520.0;13.0;45.0;8.0;1.0;5.0;7.0;1.0;6.0;;;;29.0
Hoogblokland-G0535;0;;146.0;;163.0;9.0;147.0;2.0;;30.0;;;;4.0;;17.0
Hooge en Lage Mierde-G0801;0;;50.0;1150.0;9.0;11.0;2.0;12.0;15.0;4.0;;1.0;1.0;;;
Hooge en Lage Zwaluwe-G0802;0;;336.0;1184.0;174.0;622.0;82.0;5.0;12.0;28.0;;4.0;4.0;;;264.0
Hoogeloon, Hapert en Casteren-G0800;0;;13.0;1536.0;2.0;39.0;;;13.0;;;;;;;137.0
Hoogeveen-G0118;0;;2206.0;103.0;3957.0;2097.0;508.0;464.0;23.0;228.0;233.0;18.0;10.0;13.0;7.0;1250.0
Hoogezand-Sappemeer-G0018;0;;5187.0;874.0;940.0;465.0;1533.0;1844.0;129.0;16.0;84.0;228.0;37.0;54.0;18.0;1506.0
Hoogkarspel-G0403;0;;249.0;922.0;4.0;8.0;74.0;9.0;20.0;1.0;;;2.0;2.0;;52.0
Hoogkerk-G1084;0;;957.0;69.0;532.0;289.0;195.0;110.0;6.0;15.0;280.0;28.0;5.0;13.0;4.0;192.0
Hoogland-G0320;0;;122.0;1579.0;81.0;201.0;24.0;4.0;17.0;59.0;13.0;;1.0;1.0;1.0;84.0
Hoogwoud-G0404;0;;382.0;668.0;6.0;6.0;174.0;50.0;1.0;;1.0;7.0;6.0;2.0;3.0;39.0
Hoorn-G0405;0;;2960.0;2495.0;404.0;287.0;961.0;435.0;147.0;24.0;17.0;25.0;23.0;47.0;9.0;637.0
Hoornaar-G0536;0;;109.0;;181.0;19.0;99.0;2.0;;42.0;;;;;;26.0
Horn-G0922;0;;61.0;1214.0;2.0;2.0;1.0;2.0;47.0;2.0;1.0;;4.0;;;
Horssen-G0254;0;;13.0;498.0;;47.0;1.0;;3.0;3.0;;1.0;;;;16.0
Horst-G0923;0;;82.0;4584.0;12.0;12.0;7.0;48.0;171.0;;3.0;;3.0;1.0;;111.0
Houten-G0321;0;;123.0;927.0;107.0;87.0;33.0;4.0;50.0;162.0;;2.0;4.0;;2.0;96.0
Huijbergen-G0803;0;;17.0;445.0;3.0;2.0;3.0;;12.0;;;;;;;4.0
Huissen-G0255;0;;330.0;2891.0;27.0;119.0;24.0;10.0;104.0;6.0;;3.0;;;;154.0
Huizen-G0406;0;;1338.0;137.0;2283.0;1162.0;506.0;153.0;65.0;742.0;;5.0;36.0;20.0;18.0;468.0
Hulsberg-G0924;0;;54.0;905.0;11.0;3.0;3.0;15.0;36.0;;1.0;;2.0;;;99.0
Hulst-G0677;0;;434.0;1624.0;13.0;31.0;52.0;7.0;169.0;5.0;3.0;15.0;3.0;1.0;;248.0
Hummelo en Keppel-G0256;0;;694.0;297.0;264.0;280.0;363.0;16.0;24.0;20.0;;4.0;;2.0;;114.0
Hunsel-G0925;0;;26.0;1379.0;5.0;1.0;1.0;2.0;19.0;;;;;;;64.0
Hurwenen-G1089;0;;123.0;106.0;17.0;35.0;19.0;3.0;2.0;13.0;;2.0;;;;28.0
Idaarderadeel-G0078;0;;2507.0;210.0;242.0;158.0;520.0;134.0;7.0;4.0;1.0;4.0;6.0;105.0;2.0;257.0
IJlst-G0102;0;;220.0;11.0;253.0;280.0;31.0;3.0;;5.0;;;4.0;1.0;;30.0
IJsselmuiden-G0191;0;;397.0;441.0;621.0;780.0;91.0;6.0;14.0;1084.0;207.0;1.0;4.0;;;280.0
IJsselstein-G0353;0;;410.0;1435.0;230.0;383.0;52.0;12.0;62.0;265.0;3.0;2.0;;;10.0;146.0
IJzendijke-G0730;0;;322.0;734.0;72.0;90.0;99.0;12.0;74.0;5.0;;16.0;4.0;1.0;;119.0
Ilpendam-G0407;0;;456.0;314.0;99.0;131.0;107.0;263.0;10.0;6.0;2.0;6.0;2.0;2.0;;61.0
Itteren-G0926;0;;23.0;297.0;;;;3.0;12.0;;;;5.0;;;14.0
Jabeek-G0927;0;;16.0;287.0;1.0;;1.0;1.0;1.0;;;;;1.0;;30.0
Jisp-G0408;0;;202.0;37.0;8.0;7.0;110.0;68.0;1.0;;;2.0;3.0;3.0;;33.0
Jutphaas-G0322;0;;1948.0;1987.0;635.0;497.0;204.0;175.0;91.0;181.0;25.0;32.0;10.0;6.0;1.0;397.0
Kamerik-G0323;0;;45.0;386.0;204.0;244.0;15.0;4.0;8.0;218.0;2.0;2.0;;;;65.0
Kampen-G0166;0;;3207.0;1194.0;2622.0;2825.0;565.0;102.0;104.0;1281.0;1000.0;15.0;30.0;13.0;12.0;852.0
Kantens-G0020;0;;527.0;16.0;236.0;132.0;184.0;14.0;6.0;;119.0;31.0;4.0;;;64.0
Kapelle-G0678;0;;506.0;42.0;431.0;702.0;204.0;8.0;4.0;222.0;;134.0;;1.0;;152.0
Kattendijke-G0679;0;;336.0;1.0;43.0;177.0;51.0;1.0;;17.0;;26.0;;;;53.0
Katwijk-G0537;0;;1650.0;595.0;1775.0;4999.0;417.0;57.0;121.0;1191.0;75.0;16.0;16.0;10.0;41.0;873.0
Katwoude-G0409;0;;37.0;16.0;29.0;37.0;25.0;2.0;;;;;;;;7.0
Kedichem-G0538;0;;256.0;8.0;129.0;32.0;188.0;7.0;1.0;25.0;3.0;;;2.0;;43.0
Kerkrade-G0928;0;;2989.0;13983.0;185.0;223.0;158.0;1008.0;870.0;26.0;55.0;;38.0;25.0;;2535.0
Kerkwerve-G1095;0;;104.0;9.0;147.0;92.0;43.0;6.0;2.0;57.0;10.0;13.0;1.0;1.0;;
Kerkwijk-G0257;0;;188.0;2.0;331.0;76.0;24.0;2.0;;109.0;3.0;1.0;;;;62.0
Kessel-G0929;0;;17.0;1063.0;3.0;;3.0;2.0;25.0;;;;;1.0;;57.0
Kesteren-G0258;0;;701.0;22.0;544.0;126.0;152.0;17.0;8.0;1037.0;3.0;4.0;;3.0;;259.0
Klaaswaal-G0539;0;;413.0;6.0;181.0;214.0;206.0;5.0;1.0;163.0;;2.0;;;;133.0
