RegioNaam;@invalid;@blank;PvdA;KVP;ARP;CHU;VVD;Communistische Partij van Nederland;Katholieke Nationale Partij;SGP;Gereformeerd Politiek Verbond (GPV);Middenstands Partij;Partij voor Recht, Vrijheid en Welvaart;Socialistische Unie;Jong Conservatief Verbond;@abs
Assendelft-G0367;0;;999.0;1426.0;132.0;45.0;179.0;666.0;24.0;43.0;19.0;7.0;2.0;4.0;3.0;177.0
Asten-G0743;0;;91.0;3346.0;8.0;37.0;13.0;8.0;149.0;1.0;1.0;5.0;3.0;2.0;;204.0
Avenhorn-G0368;0;;266.0;395.0;7.0;7.0;109.0;20.0;3.0;;1.0;;;2.0;1.0;21.0
Avereest-G0143;0;;1321.0;540.0;1243.0;1918.0;544.0;20.0;46.0;36.0;21.0;17.0;4.0;4.0;2.0;643.0
Axel-G0650;0;;919.0;712.0;732.0;772.0;249.0;6.0;30.0;180.0;472.0;19.0;5.0;2.0;;254.0
Baarderadeel-G0061;0;;1418.0;122.0;425.0;302.0;534.0;27.0;1.0;8.0;5.0;19.0;5.0;30.0;;173.0
Baarland-G0651;0;;75.0;106.0;105.0;112.0;24.0;21.0;4.0;39.0;;10.0;1.0;;;23.0
Baarle-Nassau-G0744;0;;58.0;1652.0;14.0;11.0;7.0;4.0;60.0;1.0;3.0;1.0;3.0;;;76.0
Baarn-G0308;0;;2720.0;1340.0;2037.0;750.0;1419.0;301.0;426.0;264.0;67.0;31.0;59.0;31.0;51.0;992.0
Baexem-G0886;0;;;659.0;;;;;9.0;;;;;;;
Baflo-G0004;0;;509.0;8.0;737.0;83.0;216.0;12.0;;1.0;45.0;11.0;4.0;1.0;3.0;66.0
Bakel en Milheeze-G0745;0;;35.0;1978.0;7.0;11.0;2.0;9.0;21.0;1.0;1.0;;1.0;;;106.0
Barendrecht-G0489;0;;893.0;43.0;1510.0;595.0;425.0;18.0;4.0;261.0;39.0;11.0;;4.0;;231.0
Barneveld-G0203;0;;1607.0;712.0;2223.0;3218.0;511.0;90.0;120.0;1989.0;88.0;14.0;23.0;7.0;23.0;
Barradeel-G0062;0;;1260.0;38.0;1287.0;1258.0;289.0;55.0;7.0;2.0;40.0;16.0;3.0;9.0;8.0;230.0
Barsingerhorn-G0369;0;;531.0;51.0;53.0;31.0;224.0;170.0;1.0;2.0;3.0;5.0;2.0;5.0;3.0;99.0
Barwoutswaarder-G1017;0;;43.0;78.0;105.0;155.0;10.0;4.0;8.0;47.0;;;;;;24.0
Batenburg-G0204;0;;9.0;223.0;15.0;35.0;6.0;;4.0;;;;;2.0;;22.0
Bathmen-G0144;0;;409.0;28.0;24.0;287.0;509.0;11.0;1.0;3.0;;;1.0;4.0;;74.0
Bedum-G0005;0;;992.0;159.0;1721.0;135.0;365.0;21.0;8.0;2.0;395.0;39.0;16.0;3.0;10.0;159.0
Beegden-G0887;0;;5.0;510.0;;;;1.0;20.0;;;;;1.0;;29.0
Beek-G0888;0;;308.0;3158.0;27.0;39.0;48.0;27.0;240.0;4.0;2.0;;5.0;;;299.0
Beek en Donk-G0746;0;;68.0;1828.0;5.0;8.0;31.0;5.0;33.0;1.0;2.0;4.0;1.0;;;146.0
Beemster-G0370;0;;1211.0;959.0;163.0;90.0;669.0;227.0;19.0;5.0;1.0;13.0;9.0;9.0;2.0;162.0
Beers-G0747;0;;6.0;1065.0;;;;;6.0;;;2.0;1.0;;;17.0
Beerta-G0006;0;;624.0;23.0;52.0;73.0;304.0;928.0;6.0;7.0;4.0;17.0;8.0;1.0;4.0;272.0
Beesd-G0205;0;;326.0;632.0;76.0;346.0;53.0;10.0;18.0;102.0;2.0;2.0;2.0;4.0;;86.0
Beesel-G0889;0;;95.0;2608.0;9.0;1.0;5.0;5.0;295.0;1.0;2.0;;4.0;3.0;;148.0
Beets-G0371;0;;167.0;6.0;4.0;17.0;96.0;11.0;;3.0;;13.0;;;;14.0
Beilen-G0107;0;;2087.0;46.0;1207.0;1067.0;579.0;72.0;6.0;9.0;99.0;7.0;6.0;3.0;29.0;332.0
Belfeld-G0890;0;;23.0;1187.0;1.0;2.0;2.0;;79.0;2.0;2.0;;1.0;;;94.0
Bellingwolde-G1019;0;;1863.0;47.0;203.0;280.0;421.0;623.0;1.0;5.0;11.0;16.0;7.0;5.0;3.0;354.0
Bemelen-G0891;0;;6.0;143.0;;1.0;2.0;;5.0;;;;;;;13.0
Bemmel-G0206;0;;415.0;3524.0;50.0;188.0;83.0;10.0;142.0;9.0;1.0;17.0;3.0;1.0;;297.0
Bennebroek-G0372;0;;214.0;460.0;311.0;119.0;223.0;18.0;177.0;10.0;12.0;2.0;10.0;4.0;4.0;707.0
Benschop-G0309;0;;111.0;326.0;235.0;191.0;73.0;2.0;14.0;169.0;;1.0;;;;61.0
Benthuizen-G0490;0;;102.0;8.0;75.0;97.0;33.0;3.0;;300.0;;1.0;;;;43.0
Berg en Terblijt-G0892;0;;56.0;1026.0;5.0;13.0;12.0;3.0;27.0;1.0;2.0;;4.0;;;39.0
Bergambacht-G0491;0;;722.0;9.0;412.0;134.0;273.0;71.0;2.0;449.0;;6.0;4.0;;6.0;152.0
Bergen-G0373;0;;1794.0;1737.0;412.0;202.0;1092.0;223.0;193.0;10.0;10.0;17.0;42.0;56.0;37.0;
Bergen-G0893;0;;136.0;4021.0;14.0;9.0;13.0;5.0;63.0;2.0;2.0;;38.0;1.0;;302.0
Bergen op Zoom-G0748;0;;3451.0;7897.0;676.0;322.0;643.0;185.0;1583.0;48.0;18.0;29.0;53.0;3.0;;1335.0
Bergeyk-G0749;0;;54.0;1846.0;14.0;43.0;7.0;4.0;43.0;1.0;;5.0;6.0;6.0;;170.0
Bergh-G0207;0;;747.0;5130.0;61.0;71.0;98.0;45.0;112.0;12.0;;10.0;8.0;2.0;;404.0
Bergharen-G0208;0;;50.0;779.0;9.0;104.0;7.0;1.0;5.0;;1.0;2.0;;;;35.0
Berghem-G0750;0;;107.0;1352.0;7.0;2.0;8.0;5.0;12.0;;1.0;1.0;2.0;2.0;;120.0
Bergschenhoek-G0492;0;;258.0;405.0;202.0;552.0;114.0;19.0;17.0;89.0;45.0;2.0;4.0;1.0;2.0;111.0
Berkel en Rodenrijs-G0493;0;;113.0;1347.0;355.0;647.0;57.0;5.0;39.0;26.0;252.0;;2.0;;;48.0
Berkel-Enschot-G0751;0;;56.0;1418.0;9.0;4.0;4.0;2.0;71.0;1.0;;;4.0;;;171.0
Berkenwoude-G0494;0;;93.0;5.0;67.0;11.0;179.0;3.0;2.0;126.0;;;;6.0;;40.0
Berkhout-G0374;0;;574.0;962.0;28.0;25.0;168.0;24.0;11.0;4.0;;1.0;5.0;1.0;;54.0
Berlicum-G0752;0;;122.0;1952.0;6.0;17.0;6.0;7.0;35.0;1.0;;8.0;1.0;;;171.0
Best-G0753;0;;479.0;3191.0;14.0;18.0;22.0;17.0;112.0;;7.0;2.0;5.0;;;78.0
Beuningen-G0209;0;;235.0;1535.0;17.0;66.0;13.0;7.0;74.0;3.0;;7.0;8.0;3.0;;174.0
Beusichem-G0210;0;;416.0;58.0;79.0;133.0;196.0;15.0;2.0;68.0;;3.0;;;;64.0
Beverwijk-G0375;0;;4094.0;6156.0;903.0;671.0;1073.0;2000.0;400.0;44.0;49.0;39.0;37.0;86.0;42.0;259.0
Bierum-G0008;0;;523.0;4.0;914.0;658.0;205.0;25.0;1.0;2.0;11.0;15.0;3.0;2.0;47.0;156.0
Biervliet-G0652;0;;436.0;327.0;45.0;146.0;128.0;1.0;6.0;40.0;3.0;15.0;;2.0;;78.0
Biggekerke-G1022;0;;43.0;12.0;149.0;179.0;11.0;18.0;1.0;76.0;4.0;17.0;;;;
Bingelrade-G0894;0;;6.0;320.0;;3.0;;;3.0;;;;;;;10.0
Bladel en Netersel-G0754;0;;17.0;1529.0;10.0;37.0;3.0;1.0;29.0;2.0;1.0;1.0;1.0;;;126.0
Blankenham-G0145;0;;96.0;23.0;5.0;71.0;85.0;;1.0;;;;;;;22.0
Blaricum-G0376;0;;576.0;806.0;269.0;111.0;623.0;153.0;214.0;18.0;3.0;1.0;54.0;61.0;9.0;335.0
Bleiswijk-G0495;0;;170.0;412.0;273.0;260.0;123.0;4.0;43.0;142.0;4.0;8.0;;;3.0;54.0
Bleskensgraaf en Hofwegen-G0496;0;;98.0;2.0;193.0;32.0;43.0;3.0;;238.0;1.0;2.0;;;;115.0
Bloemendaal-G0377;0;;2165.0;1949.0;1436.0;615.0;2903.0;149.0;892.0;32.0;11.0;11.0;109.0;42.0;190.0;2236.0
Blokker-G0378;0;;160.0;958.0;12.0;12.0;181.0;17.0;10.0;3.0;;7.0;3.0;1.0;;33.0
Blokzijl-G0146;0;;296.0;10.0;154.0;129.0;75.0;9.0;;10.0;13.0;2.0;;7.0;;54.0
Bocholtz-G0895;0;;190.0;1383.0;3.0;4.0;11.0;28.0;44.0;2.0;4.0;;5.0;2.0;;205.0
Bodegraven-G0497;0;;554.0;802.0;1218.0;591.0;234.0;20.0;51.0;307.0;27.0;;1.0;2.0;1.0;227.0
Boekel-G0755;0;;17.0;2282.0;3.0;1.0;4.0;3.0;11.0;;;1.0;;1.0;;117.0
Bolsward-G0064;0;;1072.0;1333.0;626.0;524.0;216.0;95.0;50.0;5.0;3.0;4.0;4.0;6.0;22.0;287.0
Borculo-G0211;0;;1532.0;402.0;294.0;389.0;868.0;39.0;16.0;2.0;3.0;5.0;14.0;3.0;;305.0
Borger-G0108;0;;2744.0;85.0;694.0;793.0;781.0;229.0;5.0;2.0;37.0;37.0;12.0;3.0;;425.0
Borgharen-G0896;0;;76.0;468.0;2.0;1.0;;4.0;10.0;;2.0;;1.0;;;79.0
Born-G0897;0;;101.0;1651.0;2.0;9.0;13.0;10.0;48.0;2.0;2.0;;2.0;;;124.0
Borne-G0147;0;;1388.0;3698.0;265.0;511.0;249.0;306.0;136.0;29.0;9.0;3.0;5.0;3.0;5.0;271.0
Borsele-G0654;0;;122.0;123.0;92.0;189.0;46.0;;24.0;227.0;1.0;20.0;;;;69.0
Boskoop-G0499;0;;827.0;997.0;1105.0;670.0;657.0;56.0;80.0;266.0;4.0;5.0;5.0;2.0;1.0;222.0
Bovenkarspel-G0379;0;;212.0;1232.0;38.0;5.0;109.0;16.0;28.0;3.0;1.0;5.0;1.0;;2.0;71.0
