RegioNaam;@invalid;@blank;PvdA;CDA;VVD;D66;Algemeen Ouderen Verbond (AOV);GL;Centrumdemocraten;Reformatorische Politieke Federatie (RPF);SGP;Gereformeerd Politiek Verbond (GPV);SP;Ouderen Unie 55+;Centrumpartij;Natuurwetpartij;Vrije Indische Partij;DG;Nieuwe Communistische Partij;Solidariteit Boerenpartij;Partij voor Milieu en Recht;Solidair '93;Pacifistisch Socialistische Partij '92;De Nieuwe Partij;Algemeen Democratische Partij;Patriottisch Democratisch Appèl;Socialistische Arbeiderspartij;Libertarische Partij;@abs
Baarn-G0308;;36;2848;2996;4649;2409;461;403;297;432;127;176;89;110;47;57;21;20;6;10;15;14.0;21;10;4.0;19.0;2;8;3429.0
Bakel en Milheeze-G0745;;11;645;1992;639;649;193;61;117;3;4;8;31;22;14;16;1;6;1;8;5;;0;0;9.0;2.0;2;1;1330.0
Barendrecht-G0489;;17;2079;3277;3420;2071;250;205;209;407;870;268;60;56;40;22;7;8;5;4;4;2.0;5;6;2.0;4.0;6;2;2623.0
Barneveld-G0203;;68;2537;8124;4722;2372;493;270;508;2319;4581;729;51;101;65;40;38;5;10;50;15;6.0;8;10;17.0;;5;4;3841.0
Bathmen-G0144;;11;802;821;1107;568;63;50;31;9;3;5;6;23;5;3;1;1;1;9;1;1.0;1;0;0.0;;1;0;461.0
Bedum-G0005;;7;1550;2222;669;884;154;147;46;101;19;835;35;25;7;22;3;7;5;6;0;0.0;3;0;4.0;;0;0;838.0
Beek-G0888;;55;2366;2954;1888;1595;548;297;265;13;5;42;71;92;42;74;17;7;2;7;14;9.0;9;3;5.0;;9;2;2761.0
Beek en Donk-G0746;;27;1167;1799;765;796;325;243;147;9;6;9;101;54;5;16;4;2;3;9;6;;0;3;4.0;1.0;7;4;1625.0
Beemster-G0370;;29;1154;1120;1754;684;175;103;71;24;2;9;18;30;11;25;4;14;1;8;3;4.0;8;3;5.0;7.0;1;1;842.0
Beesel-G0889;;35;1733;2249;1170;1018;342;173;375;18;10;14;34;93;19;33;10;4;4;3;13;8.0;0;2;1.0;;1;1;2374.0
Beilen-G0107;;20;3412;2157;1703;1005;167;198;74;119;23;232;38;23;13;11;8;16;4;35;6;5.0;1;1;120.0;;1;2;1818.0
Belfeld-G0890;;2;694;1025;516;417;72;42;83;0;3;1;17;33;8;10;3;9;0;1;1;1.0;3;2;0.0;;0;1;973.0
Bellingwedde-G0007;;46;2913;611;796;600;224;270;119;116;13;39;44;34;18;12;3;11;97;21;4;6.0;5;3;8.0;;2;2;1493.0
Bemmel-G0206;;35;2287;3276;1539;1886;263;157;175;17;11;19;27;60;17;15;16;6;3;6;4;2.0;2;2;5.0;;2;0;2564.0
Bennebroek-G0372;;14;494;1032;1271;462;108;84;34;20;4;23;9;24;4;17;0;6;0;1;2;2.0;1;1;0.0;1.0;1;0;635.0
Bergambacht-G0491;;14;1491;1038;1473;654;110;68;186;223;679;44;19;23;18;7;9;5;5;8;4;3.0;1;4;1.0;;3;0;816.0
Bergen-G0373;;13;1863;1740;3045;1581;300;387;109;31;3;26;18;68;17;71;6;43;3;7;4;8.0;7;25;0.0;3.0;2;2;1610.0
Bergen-G0893;;38;1709;2789;1128;910;287;107;148;5;3;16;35;64;20;25;4;4;3;18;8;10.0;6;1;2.0;;3;3;2506.0
Bergen op Zoom-G0748;;58;4972;5018;5582;4286;1761;747;1000;90;40;72;343;188;123;38;97;36;21;11;29;11.0;26;20;5.0;20.0;7;12;9539.0
Bergeyk-G0749;;13;1180;2471;1114;864;331;133;178;27;10;20;41;51;9;2;2;3;10;6;9;;0;0;0.0;4.0;5;0;1482.0
Bergh-G0207;;60;2898;3629;1580;1505;347;177;239;23;17;31;36;80;21;35;7;17;5;12;10;3.0;5;4;4.0;;4;2;3150.0
Bergschenhoek-G0492;;19;613;1459;1401;682;138;102;169;146;47;161;20;27;31;8;1;2;0;0;8;3.0;0;0;0.0;;1;0;999.0
Berkel en Rodenrijs-G0493;;26;1091;3151;2451;1550;240;168;190;96;55;761;45;42;24;25;6;14;1;1;13;5.0;2;3;2.0;;2;1;1392.0
Berkel-Enschot-G0751;;25;957;2387;1694;1107;250;142;89;19;9;16;30;49;14;9;4;5;3;1;6;0.0;1;3;2.0;7.0;1;3;1098.0
Berlicum-G0752;;9;1333;1710;944;779;211;107;104;7;10;6;139;34;14;22;2;5;2;5;7;;1;2;2.0;1.0;2;2;1197.0
Bernisse-G0568;;12;1481;1602;2314;1264;161;109;156;99;118;52;38;65;42;30;3;5;6;12;12;5.0;1;2;3.0;2.0;3;3;1887.0
Best-G0753;;46;2758;3668;2565;2442;828;241;378;53;25;91;159;96;39;55;19;15;4;6;10;;11;9;4.0;4.0;9;3;3212.0
Beuningen-G0209;;45;3234;3375;2490;2781;425;387;276;51;16;35;138;96;24;32;17;19;7;11;13;;9;17;9.0;;2;0;3661.0
Beverwijk-G0375;;76;5656;3782;4143;3490;1354;724;504;117;27;86;129;288;59;96;67;76;29;12;33;33.0;15;13;12.0;48.0;35;8;6011.0
Binnenmaas-G0585;;23;2634;2326;3371;1674;241;169;296;255;687;92;44;44;26;18;6;15;5;4;7;2.0;1;10;0.0;3.0;3;2;2507.0
Bladel en Netersel-G0754;;16;1116;2222;944;891;319;136;138;10;8;21;81;31;20;33;1;5;4;9;7;;3;0;2.0;2.0;4;0;1898.0
Blaricum-G0376;;13;1096;1237;2576;1120;187;155;94;37;12;27;30;58;11;26;17;7;3;4;5;4.0;3;4;0.0;6.0;4;0;978.0
Bleiswijk-G0495;;8;684;1700;1743;784;115;70;113;214;118;66;15;28;19;13;8;3;2;1;3;1.0;2;1;1.0;;0;2;1078.0
Bloemendaal-G0377;;27;1496;2352;4782;1742;288;318;99;57;19;68;22;75;13;30;13;16;6;1;8;1.0;9;6;2.0;14.0;1;1;1637.0
Boarnsterhim-G0055;;34;4565;1946;2273;1710;235;339;95;106;31;46;65;37;21;20;6;8;24;11;9;10.0;20;4;3.0;;6;2;2019.0
Bodegraven-G0497;;27;1579;3377;2408;1543;249;244;272;511;503;187;38;68;54;11;11;9;8;10;14;1.0;3;1;5.0;;3;3;2378.0
Boekel-G0755;;22;998;2421;727;698;229;87;83;8;3;9;92;37;10;10;1;5;1;12;7;;6;6;13.0;0.0;3;1;1275.0
Bolsward-G0064;;22;1669;2015;768;796;149;180;49;101;12;70;96;39;10;7;2;5;4;4;8;13.0;7;2;2.0;;0;2;1428.0
Borculo-G0211;;31;2017;1360;1730;835;120;125;90;32;1;37;27;66;5;10;6;10;2;4;22;4.0;1;1;0.0;;0;1;1129.0
Borger-G0108;;29;3552;1467;1609;1087;176;178;107;96;15;123;45;48;14;21;3;8;11;19;10;7.0;8;9;45.0;;4;3;1430.0
Born-G0897;;52;2180;2714;1160;1320;522;252;251;22;13;38;68;71;13;41;25;11;7;4;16;5.0;3;3;4.0;;11;4;2180.0
Borne-G0147;;30;3138;5008;2367;1780;276;272;176;82;17;78;69;165;34;33;13;13;5;15;6;3.0;6;5;5.0;;0;2;2506.0
Borsele-G0654;;44;2213;3369;2163;1571;455;230;315;303;1443;144;42;117;46;27;13;18;6;11;4;;2;10;3.0;;2;3;2933.0
Boskoop-G0499;;21;1299;2624;2337;1341;159;289;253;345;296;94;48;57;30;16;6;6;4;5;10;3.0;3;8;1.0;;3;5;1559.0
Boxmeer-G0756;;36;2892;4433;1872;1711;411;298;218;36;13;26;363;78;16;49;12;3;3;6;15;;18;9;0.0;6.0;3;3;2395.0
Boxtel-G0757;;25;3263;3579;2203;2443;659;399;354;28;20;38;608;372;37;57;20;14;8;6;9;;22;8;9.0;5.0;1;4;4655.0
Brakel-G0212;;15;928;953;480;302;88;42;69;226;943;55;9;11;4;2;1;2;2;0;0;;1;0;2.0;;1;0;792.0
Breda-G0758;;157;15817;12888;14276;15514;3706;3813;2179;272;119;245;693;680;286;209;291;70;90;16;108;28.0;50;89;16.0;34.0;31;29;26998.0
Brederwiede-G0194;;28;1997;2385;1264;790;150;116;97;202;47;657;21;39;19;7;3;8;6;23;3;2.0;6;2;10.0;;1;2;1188.0
Breukelen-G0311;;0;1182;2279;2356;1403;257;294;133;337;507;66;31;77;22;24;9;12;3;8;3;2.0;2;4;1.0;4.0;3;0;1571.0
Brielle-G0501;;23;1985;1511;3171;1899;276;178;234;71;44;30;56;146;34;29;13;11;10;7;9;6.0;10;0;1.0;1.0;7;3;2291.0
Broekhuizen-G0898;;5;195;516;202;124;33;29;21;0;3;4;4;6;6;7;0;0;0;4;0;0.0;2;1;1.0;;0;2;244.0
Brouwershaven-G0656;;4;684;360;656;396;61;45;28;45;51;82;17;13;5;18;0;2;3;0;2;;2;2;0.0;;2;0;479.0
Bruinisse-G0657;;8;453;419;516;199;40;18;38;121;367;24;9;10;11;4;2;0;0;0;0;;5;1;2.0;;2;0;334.0
Brummen-G0213;;48;4391;2201;2795;2164;327;310;191;103;37;72;62;73;32;48;12;11;37;24;10;4.0;8;29;3.0;;8;0;2663.0
Brunssum-G0899;;37;4728;4049;1786;2094;1066;394;528;99;29;143;839;191;90;93;37;38;62;10;18;7.0;28;16;3.0;;8;5;6957.0
Budel-G0759;;24;1514;2502;1061;936;432;103;232;19;3;10;61;58;23;20;2;5;5;9;14;;3;8;5.0;10.0;4;2;2284.0
Bunnik-G0312;;16;1565;2639;2452;1505;243;443;174;115;118;59;35;66;32;28;6;13;4;4;4;3.0;4;4;1.0;2.0;2;2;1236.0
Bunschoten-G0313;;23;678;3521;1422;557;125;56;195;1108;312;3293;11;25;31;7;7;5;1;15;6;2.0;3;3;1.0;3.0;0;1;1548.0
Buren-G0214;;21;1603;993;1907;1028;88;116;257;53;147;33;31;66;19;18;5;4;3;9;3;;2;4;4.0;;0;0;1229.0
Bussum-G0381;;42;3623;3752;6347;3170;714;660;382;232;102;158;90;103;63;67;35;30;9;21;18;7.0;16;41;1.0;18.0;12;6;4762.0
Capelle aan den IJssel-G0502;;54;7672;4082;8440;6037;1161;744;1068;551;2007;821;382;180;203;85;100;35;24;10;23;90.0;16;16;8.0;;15;6;10756.0
Castricum-G0383;;29;3229;3255;4167;2769;487;642;181;83;7;54;51;117;16;128;16;30;11;7;19;10.0;9;6;3.0;13.0;6;3;2375.0
Chaam-G0760;;9;389;852;635;321;93;33;68;0;1;2;20;9;1;6;2;6;0;0;3;1.0;0;0;0.0;1.0;0;0;397.0
Coevorden-G0109;;25;3139;2428;1224;1288;182;164;111;95;12;54;59;53;6;15;4;1;7;45;7;9.0;2;2;17.0;;13;2;2246.0
Cothen-G0314;;5;259;577;344;199;34;36;34;17;33;7;4;9;2;1;0;3;1;0;0;0.0;0;3;2.0;0.0;0;0;378.0
Cromstrijen-G0611;;11;1959;1340;1995;1234;124;104;126;150;450;52;23;22;11;12;8;4;2;4;6;4.0;6;5;3.0;4.0;2;5;1828.0
Cuijk en Sint Agatha-G0761;;57;3294;3839;2084;2179;666;364;407;20;13;17;131;102;44;40;20;6;0;7;6;;7;7;3.0;4.0;3;9;3376.0
Culemborg-G0216;;16;2915;2409;2830;2107;428;452;556;147;130;52;516;155;35;35;21;10;9;7;11;;18;9;9.0;;3;3;3585.0
Dalen-G0110;;16;1255;672;1122;515;61;52;42;22;2;17;14;16;0;2;3;7;4;46;0;0.0;3;1;12.0;;2;0;437.0
Dalfsen-G0148;;27;1612;4380;1506;1122;163;133;83;202;53;871;12;53;27;10;2;14;0;41;4;1.0;0;1;21.0;;0;2;1364.0
Dantumadeel-G0065;;15;3257;3807;940;918;156;183;93;853;639;435;54;21;34;20;6;19;16;15;5;15.0;7;3;5.0;;6;3;2795.0
De Bilt-G0310;;39;3917;3922;6814;3972;667;911;278;297;218;379;171;146;67;75;34;28;5;9;16;8.0;11;23;2.0;7.0;6;5;3648.0
De Lier-G0552;;14;514;2887;1822;531;92;63;153;52;22;154;10;35;24;7;8;3;3;6;8;0.0;6;1;1.0;0.0;0;4;1160.0
De Marne-G1663;;30;2207;1597;992;605;195;262;90;138;18;582;48;41;12;14;1;35;10;9;7;5.0;4;35;3.0;;4;3;1576.0
De Ronde Venen-G0736;;0;2374;5600;6235;2881;622;397;439;576;311;183;66;138;71;39;14;9;3;25;21;9.0;6;8;2.0;33.0;5;2;4248.0
De Wijk-G0135;;11;946;625;937;430;65;60;38;24;9;44;10;25;7;11;1;2;6;8;2;0.0;1;1;29.0;;0;0;598.0
Delft-G0503;;206;14161;8863;10600;11796;1891;3412;1522;757;373;572;952;476;182;171;143;94;56;24;66;28.0;61;48;8.0;40.0;41;12;14486.0
Delfzijl-G0010;;28;6767;3340;2557;2373;759;425;312;411;34;380;197;128;74;24;31;49;102;17;14;7.0;11;10;26.0;;27;8;5515.0
Den Dungen-G0768;;15;635;905;360;389;113;47;53;0;4;2;52;37;3;7;0;0;1;2;1;;1;2;1.0;2.0;1;5;618.0
Den Ham-G0159;;31;2054;3836;780;616;135;68;117;635;60;492;19;45;14;7;3;5;4;29;7;4.0;1;1;6.0;;1;0;1831.0
Den Helder-G0400;;104;7359;5072;8833;5452;1869;893;836;645;174;484;132;724;166;81;144;42;29;26;41;36.0;21;15;8.0;51.0;15;15;13023.0
Denekamp-G0149;;35;1355;4204;1020;809;191;80;97;22;10;23;36;70;10;16;0;8;1;15;12;1.0;1;3;4.0;;3;2;1294.0
Deurne-G0762;;92;3161;6429;2523;2482;748;409;394;22;31;39;196;232;38;61;12;14;1;30;17;;51;7;8.0;5.0;16;15;5614.0
Deventer-G0150;;74;14208;5858;6480;7366;1211;2110;828;366;78;261;451;441;144;154;117;73;37;24;34;29.0;42;34;8.0;;61;19;10828.0
Didam-G0218;;28;2814;3596;1290;1395;249;168;276;15;11;15;37;72;17;16;7;4;0;6;7;3.0;1;4;3.0;;0;1;2536.0
Diemen-G0384;;61;3186;1528;3833;2373;573;608;416;57;8;51;81;93;58;38;30;33;18;5;14;5.0;6;9;6.0;28.0;5;3;3463.0
Diepenheim-G0151;;6;637;349;529;271;41;26;16;5;10;9;4;23;0;4;0;0;4;1;1;0.0;1;0;1.0;;0;0;212.0
Diepenveen-G0152;;23;1487;2424;1669;1094;168;119;85;45;14;42;21;36;9;17;9;2;2;13;1;4.0;1;5;3.0;;2;2;939.0
Diessen-G0763;;6;359;1204;418;303;72;54;44;5;11;2;12;16;4;2;0;5;0;5;1;0.0;0;1;1.0;1.0;0;1;526.0
Diever-G0111;;4;884;528;544;323;89;43;32;24;1;22;8;18;0;9;3;0;1;2;2;0.0;3;9;10.0;;1;1;270.0
Dinteloord en Prinsenland-G0764;;14;883;793;712;370;103;52;121;128;198;20;9;35;16;6;2;13;0;2;2;1.0;2;0;0.0;0.0;0;1;875.0
Dinxperlo-G0219;;21;1064;1971;576;576;119;64;56;79;10;19;13;21;8;6;1;7;0;1;5;0.0;1;1;1.0;;1;0;1438.0
Dirksland-G0504;;17;945;763;721;455;103;61;116;298;1082;43;20;19;9;10;3;5;5;6;7;6.0;4;2;0.0;2.0;0;0;994.0
Dodewaard-G0220;;3;831;511;389;298;46;31;48;86;247;27;4;10;5;3;2;2;2;2;0;0.0;0;1;2.0;;0;0;461.0
Doesburg-G0221;;14;1890;1203;964;953;191;153;162;56;15;55;567;33;12;15;32;3;2;3;2;1.0;2;1;2.0;;1;1;1581.0
Doetinchem-G0222;;75;7763;6004;4403;4354;891;964;452;282;214;152;238;185;45;51;73;26;6;16;25;14.0;20;24;2.0;;8;4;6655.0
Domburg-G0660;;5;501;691;609;335;109;68;42;131;274;41;5;24;1;8;0;4;0;2;2;;2;6;3.0;;1;0;140.0
Dongen-G0766;;21;2730;3409;2097;2193;439;217;201;33;24;28;770;167;29;33;29;17;4;15;19;4.0;15;14;0.0;6.0;13;8;3625.0
Dongeradeel-G0058;;40;3326;6732;1339;1337;211;234;116;752;117;460;50;56;25;24;5;15;18;14;8;17.0;10;12;3.0;;1;3;3038.0
Doorn-G0315;;29;1038;1484;2138;1033;220;187;100;143;198;82;10;49;9;23;18;7;8;3;1;0.0;3;13;0.0;4.0;2;0;1452.0
Dordrecht-G0505;;122;16584;9551;11778;11280;1901;2273;2397;1358;1628;790;510;694;295;177;273;99;54;17;66;43.0;59;49;15.0;97.0;19;27;20506.0
Drechterland-G0498;;8;947;1688;1395;784;178;144;84;30;3;15;15;40;10;20;9;11;1;9;4;12.0;3;2;31.0;5.0;0;4;1016.0
Driebergen-Rijsenburg-G0316;;17;2052;2539;2979;1872;432;488;167;330;326;185;34;74;24;33;20;30;1;7;7;3.0;8;58;0.0;10.0;6;2;2340.0
Dronten-G0303;;19;2890;4645;4367;2125;523;332;249;517;155;628;127;214;43;42;12;70;20;23;10;7.0;11;6;;15.0;0;4;3275.0
Drunen-G0767;;33;2031;3144;2216;1811;744;199;285;33;26;34;214;119;39;19;31;9;2;16;13;3.0;2;3;2.0;8.0;2;12;2363.0
Druten-G0225;;20;2630;2415;1518;1431;318;180;215;13;13;13;83;56;20;17;11;7;0;10;17;;2;8;3.0;;1;1;2490.0
Duiveland-G0662;;10;675;534;726;343;52;18;51;191;841;39;9;17;3;5;0;1;0;6;0;;1;0;1.0;;1;0;624.0
Duiven-G0226;;28;2788;3312;2783;2994;507;316;192;79;10;106;89;68;33;26;31;6;3;14;14;5.0;9;5;1.0;;2;2;3318.0
Dussen-G0769;;9;827;1093;736;606;150;40;146;87;78;38;12;29;27;2;1;4;1;6;4;1.0;0;8;1.0;5.0;0;2;854.0
Dwingeloo-G0112;;7;914;575;635;396;65;67;40;27;7;13;11;12;1;12;1;1;3;10;2;3.0;2;3;19.0;;1;1;212.0
Echt-G0902;;0;2579;3345;1298;1297;1409;393;386;18;19;48;59;22;20;52;11;13;6;13;8;10.0;6;6;3.0;;5;5;3548.0
Echteld-G0227;;10;1252;696;859;463;71;41;82;104;597;47;14;23;9;4;4;2;1;5;2;;4;2;15.0;;1;4;782.0
Edam-Volendam-G0385;;22;2107;5631;4602;1409;528;266;441;37;19;118;39;121;44;50;6;14;10;8;19;5.0;4;4;4.0;26.0;9;4;3679.0
Ede-G0228;;168;8191;14182;12173;7226;1664;1398;1267;4091;6357;1009;275;375;109;111;276;62;20;248;48;23.0;21;27;34.0;;11;11;11218.0
Eelde-G0113;;8;2315;873;2080;1307;186;135;54;43;7;43;17;14;12;26;7;9;5;13;11;3.0;2;1;3.0;;4;0;1175.0
Eemnes-G0317;;10;768;1213;1575;835;115;115;69;112;41;34;20;32;20;16;8;5;2;9;0;3.0;4;1;1.0;2.0;0;2;765.0
Eemsmond-G1651;;38;3613;2513;1276;896;247;243;113;159;35;988;101;47;17;20;1;26;14;19;9;11.0;10;5;10.0;;2;1;1897.0
Eersel-G0770;;19;1338;2773;1462;1141;324;175;111;40;8;17;44;51;21;24;11;2;1;10;7;;6;2;2.0;1.0;0;2;1660.0
Egmond-G0357;;13;1707;1735;1974;1020;288;199;200;28;6;20;28;69;30;50;1;21;3;2;9;5.0;8;2;0.0;9.0;1;6;1634.0
Eibergen-G0229;;18;2683;4077;1694;1160;140;264;101;49;1;43;68;49;23;12;3;18;5;17;13;1.0;5;7;1.0;;3;1;2144.0
Eijsden-G0905;;43;1728;2254;1129;1002;257;178;131;9;4;22;29;43;7;28;8;7;5;4;6;3.0;4;1;1.0;;3;2;1943.0
Eindhoven-G0772;;258;23413;22530;18469;20309;14104;4947;3126;638;201;645;2327;630;409;351;267;139;60;112;142;;136;159;18.0;36.0;190;80;37662.0
Elburg-G0230;;40;1581;3392;1981;1144;216;121;154;1802;1868;379;18;80;35;24;21;8;3;101;5;4.0;3;3;9.0;;1;0;2330.0
Elst-G0231;;27;2409;3171;2139;2511;235;303;134;44;38;58;66;51;18;22;24;18;1;5;8;1.0;10;3;17.0;;8;3;3158.0
Emmen-G0114;;94;22475;11880;6396;7694;965;1296;658;1055;85;723;1417;477;167;99;34;97;84;58;42;48.0;68;30;30.0;;41;20;16262.0
Enkhuizen-G0388;;32;2687;1798;1782;1641;384;402;144;212;136;46;54;108;10;41;4;11;15;6;6;5.0;27;10;3.0;10.0;3;7;2329.0
