RegioNaam;@invalid;@blank;PvdA;CDA;VVD;D66;Algemeen Ouderen Verbond (AOV);GL;Centrumdemocraten;Reformatorische Politieke Federatie (RPF);SGP;Gereformeerd Politiek Verbond (GPV);SP;Ouderen Unie 55+;Centrumpartij;Natuurwetpartij;Vrije Indische Partij;DG;Nieuwe Communistische Partij;Solidariteit Boerenpartij;Partij voor Milieu en Recht;Solidair '93;Pacifistisch Socialistische Partij '92;De Nieuwe Partij;Algemeen Democratische Partij;Patriottisch Democratisch Appèl;Socialistische Arbeiderspartij;Libertarische Partij;@abs
Enschede-G0153;;208;26652;15029;14291;13485;2137;3261;1599;1075;177;2419;1141;1340;324;205;255;142;230;56;61;41.0;84;52;15.0;;23;30;27314.0
Epe-G0232;;112;5709;4931;4555;2894;565;427;478;654;662;192;76;137;51;57;40;7;6;67;29;11.0;7;6;7.0;;5;7;4128.0
Ermelo-G0233;;32;1683;5584;3370;1915;363;324;201;1145;708;676;209;80;17;34;33;11;4;16;3;5.0;1;5;5.0;;4;4;3332.0
Esch-G0776;;2;225;522;185;195;45;23;35;7;2;6;9;30;4;4;0;0;0;0;1;;0;4;0.0;1.0;0;0;224.0
Etten-Leur-G0777;;62;4324;4383;3945;3724;696;473;546;86;23;41;325;124;52;40;35;19;7;30;23;7.0;10;11;5.0;8.0;7;8;6159.0
Ferwerderadeel-G0068;;3;1213;2286;617;460;56;82;48;113;17;267;21;19;15;8;2;10;3;9;1;1.0;10;2;6.0;;1;0;1226.0
Fijnaart en Heijningen-G0778;;4;1127;1053;740;524;145;54;136;59;31;18;20;29;15;5;2;4;2;1;6;1.0;0;3;4.0;4.0;1;2;911.0
Franekeradeel-G0070;;37;3715;3807;1831;1451;376;315;124;302;19;193;56;57;35;39;2;22;32;10;9;12.0;9;6;4.0;;3;3;2869.0
Gaasterlân-Sleat-G0653;;21;1121;2510;900;636;137;100;63;205;149;46;10;25;11;12;4;2;13;9;4;5.0;2;3;4.0;;1;2;1063.0
Gasselte-G0115;;12;1260;383;533;353;58;77;38;12;3;23;7;18;6;2;1;2;4;4;3;1.0;3;0;6.0;;1;0;529.0
Geertruidenberg-G0779;;18;1001;725;709;687;221;89;104;8;12;9;37;64;12;17;28;6;3;6;7;3.0;2;9;1.0;5.0;2;2;1247.0
Geldermalsen-G0236;;20;3178;3067;3393;1893;295;277;487;195;1081;119;81;73;55;23;5;6;2;15;15;;9;12;3.0;;5;2;2812.0
Geldrop-G0781;;25;3269;4082;2660;2893;1329;452;380;81;28;58;175;112;39;60;35;9;8;9;14;;10;47;2.0;4.0;15;8;4641.0
Geleen-G0906;;21;5088;4718;2404;2411;1320;1144;704;57;25;61;193;257;68;125;88;41;10;3;16;11.0;15;16;2.0;;13;7;7525.0
Gemert-G0782;;24;2543;3669;1456;1449;417;290;234;23;16;23;191;212;33;44;35;17;8;2;11;;15;7;15.0;2.0;7;9;3066.0
Gendringen-G0237;;17;3123;4886;1462;1726;374;270;186;42;8;31;81;108;25;22;19;12;2;3;20;5.0;3;6;2.0;;6;4;2903.0
Gendt-G0238;;18;1203;1368;595;754;112;75;51;2;2;4;13;23;9;9;3;3;0;3;5;1.0;3;1;3.0;;1;0;1091.0
Genemuiden-G0154;;10;663;897;342;183;40;21;52;881;1311;81;9;14;7;1;1;0;0;2;3;4.0;2;2;10.0;;1;0;910.0
Gennep-G0907;;21;2305;3000;1369;1538;365;229;188;30;10;27;39;89;23;24;7;11;0;11;8;6.0;4;5;0.0;;4;4;3356.0
Giessenlanden-G0689;;21;1949;2092;2162;1295;148;119;166;837;410;70;27;33;14;6;10;5;2;8;12;1.0;3;3;1.0;4.0;0;3;1155.0
Gieten-G0116;;10;1597;417;1002;599;101;77;35;34;3;16;12;30;3;8;1;5;4;13;4;2.0;0;2;5.0;;4;4;689.0
Gilze en Rijen-G0784;;58;2952;3830;2726;2453;569;262;458;39;24;26;217;160;58;43;24;8;7;17;30;4.0;9;19;1.0;5.0;8;6;3399.0
Goedereede-G0511;;23;1071;1462;1251;613;102;67;110;500;1907;93;27;24;16;6;5;6;1;4;6;2.0;3;4;0.0;3.0;1;1;885.0
Goes-G0664;;76;4771;4358;3481;3105;680;741;376;535;1386;303;103;213;103;73;47;15;11;18;19;;14;11;12.0;;4;4;5120.0
Goirle-G0785;;16;2566;2742;1994;2052;591;382;201;23;13;27;212;89;34;30;6;12;6;9;11;3.0;20;12;1.0;4.0;4;5;2980.0
Goor-G0156;;18;2437;1891;1398;1050;138;116;111;70;13;32;124;133;25;16;11;8;4;8;7;2.0;7;2;1.0;;2;0;1603.0
Gorinchem-G0512;;54;5174;2684;3472;3187;682;517;495;540;361;223;146;113;105;42;42;17;14;6;10;9.0;7;30;5.0;9.0;8;3;4492.0
Gorssel-G0239;;21;2037;2350;2718;1396;179;162;75;60;10;67;20;36;19;30;7;13;7;17;11;4.0;3;9;7.0;;0;2;1426.0
Gouda-G0513;;79;9300;6508;8457;7118;1300;1470;1687;1003;1314;602;305;298;248;119;61;64;25;14;42;60.0;28;44;17.0;;13;12;9879.0
Graafstroom-G0693;;23;714;1905;909;464;46;56;93;577;1022;78;13;7;8;1;0;6;0;5;4;1.0;0;1;0.0;0.0;1;2;736.0
Graft-De Rijp-G0365;;10;925;833;1222;610;114;112;47;3;2;4;25;24;9;30;1;1;8;1;2;2.0;6;0;1.0;5.0;2;0;669.0
Gramsbergen-G0157;;13;1116;1596;465;326;62;46;36;73;5;173;3;20;3;4;1;0;2;121;0;1.0;0;0;10.0;;2;0;525.0
Grave-G0786;;21;1466;2069;1308;1368;320;244;125;13;12;13;142;51;9;9;22;5;3;5;3;;4;1;1.0;1.0;2;0;1863.0
Groenlo-G0240;;14;1257;2343;805;747;112;108;80;4;8;8;20;83;4;8;3;8;2;9;9;2.0;5;9;0.0;;0;2;1191.0
Groesbeek-G0241;;60;3783;3275;1448;1491;428;352;304;36;8;27;111;108;24;22;21;13;4;11;9;;6;5;7.0;;6;4;3085.0
Groningen-G0014;;139;36699;12253;16281;21012;2817;8596;1002;1033;136;4369;3820;620;199;315;161;224;397;45;90;51.0;231;67;23.0;;110;24;30505.0
Grootegast-G0015;;9;1347;2793;801;540;70;98;52;291;36;583;12;23;4;8;4;8;4;16;5;2.0;5;5;27.0;;2;2;1566.0
Grubbenvorst-G0912;;18;835;1511;862;549;118;48;106;3;1;11;8;21;9;10;6;2;0;4;5;1.0;1;2;0.0;;1;5;985.0
Gulpen-G0913;;176;1257;1524;572;639;227;118;122;11;5;25;67;41;9;44;0;5;2;12;13;8.0;2;2;0.0;;4;2;1050.0
Haaksbergen-G0158;;43;2958;5665;2649;1913;313;225;234;52;17;53;65;197;28;29;35;16;15;35;15;6.0;5;9;8.0;;4;3;2982.0
Haaren-G0788;;10;564;1371;566;418;80;103;54;2;1;3;18;17;4;4;4;3;3;5;2;;1;1;2.0;0.0;0;0;818.0
Haarlem-G0392;;204;23142;13357;18316;16028;3987;5051;1957;765;218;584;448;1176;400;410;180;269;129;50;102;294.0;117;85;31.0;121.0;37;42;27657.0
Haarlemmerliede en Spaarnwoude-G0393;;1;589;848;870;611;122;105;77;21;7;22;7;36;5;12;1;17;4;7;3;3.0;1;1;0.0;12.0;1;2;646.0
Haarlemmermeer-G0394;;79;9477;12405;18703;9865;2190;2031;1084;872;482;568;220;555;218;171;91;98;38;62;67;28.0;61;85;18.0;102.0;29;16;16139.0
Haelen-G0914;;10;1163;1875;1195;844;244;147;147;19;10;34;27;50;5;25;4;4;2;2;7;4.0;5;5;8.0;;3;6;1696.0
Halsteren-G0789;;33;1888;1664;1571;1336;418;159;380;21;26;18;94;57;42;13;20;8;2;10;9;2.0;7;3;1.0;7.0;3;5;2286.0
Hardenberg-G0160;;68;4295;7958;2029;1958;361;237;167;382;69;3411;59;109;30;9;6;12;9;122;16;11.0;2;4;51.0;;9;2;2946.0
Harderwijk-G0243;;81;2972;6527;4426;2722;448;440;364;1227;803;682;129;87;38;56;37;13;20;17;16;1.0;11;17;11.0;;10;12;5033.0
Hardinxveld-Giessendam-G0523;;38;1831;2098;1494;1036;142;83;208;1170;1805;582;25;48;24;12;8;2;3;3;7;1.0;3;15;0.0;3.0;2;1;2136.0
Haren-G0017;;28;3008;2631;3460;2022;375;410;102;120;18;563;47;50;14;20;12;25;10;16;3;6.0;4;15;5.0;;2;2;1702.0
Harenkarspel-G0395;;28;1644;2731;1995;1290;241;272;125;22;11;47;20;77;17;49;4;24;2;15;9;7.0;7;5;5.0;4.0;2;5;1908.0
Harlingen-G0072;;31;3407;1758;1367;1234;275;315;175;2;6;257;50;135;28;22;11;15;21;10;11;19.0;9;118;4.0;;0;2;2120.0
Harmelen-G0318;;6;636;1468;1296;736;100;119;104;86;89;26;18;32;14;5;7;11;1;6;5;1.0;7;2;0.0;6.0;4;0;1113.0
Hasselt-G0161;;6;871;1146;542;322;57;49;18;476;186;552;10;19;12;6;0;2;1;6;0;1.0;1;2;8.0;;0;1;688.0
Hattem-G0244;;14;1976;2023;1117;798;113;88;92;368;70;851;13;29;25;6;8;14;1;7;2;1.0;5;2;2.0;;0;0;1098.0
Havelte-G0117;;12;1606;430;1214;529;91;98;59;20;3;18;9;20;4;28;0;2;1;10;8;2.0;4;6;33.0;;0;2;661.0
Hedel-G0245;;8;489;684;554;363;85;37;82;51;200;28;9;22;3;1;3;1;0;4;3;;3;7;1.0;;1;0;420.0
Heel-G1937;;12;1001;1405;799;720;274;98;82;4;2;7;13;57;12;13;2;3;0;5;8;5.0;0;5;2.0;;0;2;1848.0
Heemskerk-G0396;;59;4803;4647;3903;3874;1054;868;358;116;42;120;122;308;49;106;69;30;8;6;26;12.0;11;74;6.0;28.0;26;14;5062.0
Heemstede-G0397;;17;2758;3903;6285;2763;402;473;143;118;29;90;34;153;21;55;21;36;4;3;17;5.0;7;11;1.0;11.0;4;5;3064.0
Heerde-G0246;;27;3053;3317;1650;1219;173;124;147;1128;374;378;10;55;19;20;4;5;2;266;6;2.0;5;0;3.0;;4;4;2008.0
Heerenveen-G0074;;6;9023;4423;4038;3559;559;1004;325;401;54;293;145;97;74;60;15;31;147;20;20;30.0;12;18;16.0;;6;4;5858.0
Heerewaarden-G0247;;5;359;89;214;96;23;19;26;6;4;1;1;7;2;0;0;1;0;1;1;;0;1;0.0;;0;1;115.0
Heerhugowaard-G0398;;37;4637;4808;5388;4101;604;621;252;190;15;90;179;174;65;168;17;33;19;19;27;19.0;18;8;2.0;16.0;11;11;5578.0
Heerjansdam-G0526;;4;530;531;531;320;67;30;49;68;50;18;11;14;9;7;2;2;0;0;3;0.0;1;1;0.0;2.0;1;1;390.0
Heerlen-G0917;;218;12774;10879;5545;7428;3325;1720;1897;185;54;295;5238;509;173;324;175;57;52;23;77;37.0;43;34;13.0;;25;24;22189.0
Heesch-G0791;;41;3026;6289;2366;2181;461;259;251;14;25;16;849;175;32;30;5;9;1;25;13;;17;11;13.0;3.0;11;5;4201.0
Heeze-G0793;;16;1158;1905;1340;963;371;130;107;11;4;11;29;25;18;5;2;2;4;3;6;;2;5;0.0;0.0;1;2;1192.0
Heiloo-G0399;;32;2769;3354;4129;2301;460;437;140;95;13;56;50;110;27;77;5;25;12;15;16;6.0;8;1;3.0;12.0;9;6;2245.0
Heino-G0162;;7;918;1958;748;633;83;92;28;88;5;154;12;22;7;10;1;17;0;11;0;0.0;0;5;7.0;;3;1;657.0
Helden-G0918;;22;1770;4117;1846;1318;361;193;205;17;19;19;45;66;22;27;14;4;2;18;7;6.0;12;4;1.0;;3;12;3659.0
Hellendoorn-G0163;;52;4324;10302;2691;2438;510;363;236;833;107;541;100;246;42;32;12;19;5;81;16;15.0;2;3;3.0;;4;5;3512.0
Hellevoetsluis-G0530;;37;4630;2004;5907;3673;632;639;679;206;72;102;130;395;105;50;38;33;29;21;48;23.0;14;15;8.0;9.0;11;8;6652.0
Helmond-G0794;;87;8614;8450;5756;5940;2771;1013;1918;102;72;87;1518;775;159;107;94;34;79;40;45;;42;30;7.0;18.0;10;12;14933.0
Helvoirt-G0795;;17;507;1073;691;450;109;68;50;4;7;12;22;24;11;1;1;1;2;0;6;;0;4;0.0;2.0;3;0;530.0
Hendrik-Ido-Ambacht-G0531;;7;2186;2332;2711;1837;307;151;202;408;1451;250;57;56;34;15;21;12;6;4;6;8.0;4;5;0.0;5.0;3;1;2528.0
Hengelo-G0164;;112;12365;11962;7902;7358;1127;1716;793;618;64;609;1111;1644;193;143;196;65;33;42;54;23.0;42;29;7.0;;8;8;10559.0
Hengelo-G0248;;22;1376;2023;1116;602;93;76;71;28;10;15;10;20;1;10;2;4;1;8;4;0.0;0;1;0.0;;2;1;961.0
Het Bildt-G0063;;21;1955;2106;804;587;111;166;78;101;18;73;42;25;12;13;2;20;6;10;3;6.0;10;2;6.0;;3;0;1329.0
Heteren-G0251;;4;1189;1711;921;834;101;125;132;100;145;59;21;17;16;5;2;8;4;1;10;1.0;0;4;5.0;;0;0;1124.0
Heumen-G0252;;9;1722;2826;1656;1599;248;294;112;13;2;26;43;50;15;19;8;4;1;2;4;;2;3;4.0;;0;1;1609.0
Heusden-G0797;;10;695;865;647;603;216;73;144;40;43;14;34;54;8;4;3;5;0;3;6;4.0;2;3;0.0;1.0;1;3;1056.0
Heythuysen-G0920;;33;1163;2766;1241;967;277;137;142;19;5;23;35;37;10;38;7;6;2;8;6;3.0;2;5;17.0;;3;2;1853.0
Hillegom-G0534;;37;2104;3244;3197;1951;556;300;243;121;72;56;69;138;39;37;3;10;5;8;14;18.0;16;10;8.0;;7;5;2730.0
Hilvarenbeek-G0798;;12;1407;2226;1161;895;243;146;78;11;9;7;51;41;14;18;3;4;2;11;7;1.0;5;4;0.0;2.0;2;2;1219.0
Hilversum-G0402;;89;11698;8707;12951;8835;2291;1782;1190;844;403;562;620;358;304;178;94;93;55;31;57;29.0;55;59;7.0;46.0;22;23;13933.0
Hoevelaken-G0253;;6;806;1296;1530;836;109;96;76;156;375;155;8;29;10;6;3;6;2;4;8;1.0;2;1;0.0;;2;1;928.0
Hoeven-G0799;;13;1007;1268;1140;851;178;46;227;17;5;4;19;33;27;12;2;3;1;6;8;1.0;0;4;2.0;6.0;2;0;1562.0
Holten-G0165;;19;1495;1892;1669;731;100;63;61;88;15;37;11;41;8;0;4;1;2;15;4;0.0;1;0;2.0;;1;0;556.0
Hontenisse-G0675;;30;1187;1522;795;630;198;70;117;22;9;7;26;93;23;11;4;7;4;20;6;;1;0;7.0;;0;1;1184.0
Hooge en Lage Mierde-G0801;;7;334;1216;363;281;98;31;27;4;1;6;26;14;1;2;2;2;0;5;0;0.0;1;1;1.0;0.0;1;1;504.0
Hooge en Lage Zwaluwe-G0802;;6;869;948;867;561;130;54;135;32;16;19;20;32;14;12;2;8;4;10;2;2.0;0;1;1.0;1.0;1;1;948.0
Hoogeloon, Hapert en Casteren-G0800;;14;915;2103;869;715;201;60;87;10;6;11;24;41;12;6;2;9;6;1;2;;1;2;8.0;3.0;1;0;1109.0
Hoogeveen-G0118;;0;7612;8333;3432;3316;661;622;359;1215;241;1001;152;206;52;38;41;30;39;236;20;18.0;12;12;309.0;;8;4;6832.0
Hoogezand-Sappemeer-G0018;;119;7904;2232;3029;2783;789;824;385;220;26;550;235;176;61;43;45;28;94;24;22;12.0;13;10;8.0;;7;7;5820.0
Hoorn-G0405;;79;8817;5243;8409;6501;1460;1682;612;269;29;115;281;406;55;143;71;66;120;25;36;29.0;44;37;6.0;39.0;12;22;9440.0
Horst-G0923;;19;1889;4745;1483;1250;265;136;152;28;27;31;429;73;43;24;5;13;2;36;14;8.0;11;5;5.0;;4;1;3371.0
Houten-G0321;;0;3024;4099;3890;3256;391;703;272;466;451;340;113;206;46;46;17;10;10;6;13;6.0;10;6;4.0;10.0;1;9;3054.0
Huijbergen-G0803;;4;220;379;293;170;41;22;34;4;1;5;10;6;3;2;1;0;0;3;4;0.0;0;0;3.0;0.0;0;1;291.0
Huissen-G0255;;24;2111;2726;1883;1864;244;183;109;33;7;19;36;45;13;39;10;6;8;5;6;6.0;1;4;3.0;;2;2;2049.0
Huizen-G0406;;37;3881;4866;6850;4140;597;654;428;1397;558;322;116;135;54;87;56;31;13;11;23;21.0;11;17;5.0;28.0;11;6;5245.0
Hulst-G0677;;50;2569;2426;1846;1498;474;196;424;39;10;17;64;123;58;27;8;15;7;8;20;;10;13;6.0;;5;2;3565.0
Hummelo en Keppel-G0256;;11;759;807;790;434;66;43;24;15;8;5;17;13;1;11;4;3;0;5;2;1.0;2;1;1.0;;0;0;377.0
Hunsel-G0925;;19;631;1425;488;440;135;69;112;9;2;6;26;23;3;5;0;4;0;4;6;5.0;2;1;6.0;;1;0;969.0
IJsselham-G0195;;10;932;1147;676;318;82;72;38;120;14;55;9;27;13;18;1;7;4;8;8;0.0;2;3;15.0;;0;0;497.0
IJsselmuiden-G0191;;19;928;2587;819;510;85;65;96;1379;1523;290;10;24;32;3;3;2;0;25;1;4.0;1;0;32.0;;0;0;966.0
IJsselstein-G0353;;15;2569;2949;3195;2551;326;389;278;312;235;63;82;69;57;16;22;19;3;10;11;4.0;6;10;1.0;9.0;1;6;3215.0
Jacobswoude-G0645;;17;837;2192;1828;1041;192;150;144;80;110;41;46;42;16;13;1;26;1;4;8;2.0;1;1;6.0;;2;3;1267.0
Kampen-G0166;;44;4488;4896;2258;2361;467;649;348;2079;928;1028;125;136;70;31;34;31;8;21;12;11.0;4;11;54.0;;3;5;4009.0
Kapelle-G0678;;10;1231;1681;1374;783;223;103;139;237;572;89;23;38;18;18;6;4;1;13;1;;5;0;2.0;;0;2;1323.0
Katwijk-G0537;;34;2844;7255;3347;2191;533;338;298;2586;2837;342;130;130;119;29;23;28;10;14;14;10.0;6;4;0.0;;1;14;6154.0
Kerkrade-G0928;;154;9029;5520;2225;3039;1870;1066;1010;58;45;124;720;356;58;195;57;40;22;16;57;46.0;20;23;10.0;;9;13;11909.0
Kerkwijk-G0257;;8;564;959;631;260;71;35;49;341;914;37;10;11;4;6;0;2;1;5;4;;2;0;4.0;;3;0;757.0
Kessel-G0929;;12;523;1026;413;313;93;34;71;2;1;1;4;20;3;8;0;0;1;2;3;0.0;0;0;1.0;;1;0;551.0
Kesteren-G0258;;15;1255;909;704;498;79;67;128;168;1841;52;18;27;11;10;7;1;3;3;4;;1;1;5.0;;1;0;1096.0
Klundert-G0804;;12;759;1263;786;491;118;50;130;244;77;52;15;28;11;4;2;10;0;5;4;0.0;4;2;0.0;2.0;0;1;1027.0
Kollumerland en Nieuwkruisland-G0079;;35;1809;3200;674;576;126;116;92;384;112;240;51;14;17;11;4;12;15;19;8;2.0;5;8;2.0;;4;3;1769.0
Korendijk-G0588;;13;1275;1032;1458;677;109;74;153;154;1044;71;17;31;21;11;2;10;1;4;9;2.0;2;6;0.0;2.0;2;5;1415.0
Kortgene-G0682;;6;614;450;555;325;110;64;36;57;84;16;7;20;7;7;0;10;1;1;1;;1;2;0.0;;0;7;411.0
Krimpen aan den IJssel-G0542;;24;3834;2525;3986;2503;474;283;495;453;2017;450;92;86;116;23;40;18;7;0;13;13.0;7;13;2.0;;2;4;3421.0
Landerd-G1685;;36;1660;3354;1313;1098;268;150;124;7;14;19;215;85;10;17;2;8;1;10;8;;4;6;5.0;1.0;2;2;2081.0
Landgraaf-G0882;;76;6129;4531;2461;3276;1398;728;746;50;43;96;1403;230;158;158;45;35;23;34;39;18.0;48;10;8.0;;72;8;8426.0
Landsmeer-G0415;;13;2015;698;1987;1133;302;186;163;53;21;14;42;78;11;11;8;19;16;5;9;2.0;12;2;0.0;23.0;1;3;1273.0
Langbroek-G0325;;2;183;351;238;114;31;26;15;69;177;39;1;9;0;5;0;1;1;3;0;0.0;2;3;0.0;0.0;0;0;273.0
Langedijk-G0416;;22;2574;3418;3519;2274;457;383;173;212;32;158;51;104;35;75;3;24;7;8;13;17.0;16;9;2.0;11.0;5;2;2618.0
Laren-G0417;;1;1190;1588;3069;1076;247;161;93;32;19;29;25;55;24;26;17;11;7;3;7;2.0;8;4;0.0;2.0;0;3;1655.0
Leek-G0022;;25;3273;2370;1732;1401;218;306;138;207;32;847;62;60;9;16;12;14;14;24;2;7.0;6;3;26.0;;4;3;2501.0
Leende-G0805;;4;331;1240;550;304;157;35;29;4;3;8;12;8;5;5;0;1;0;7;1;;1;1;0.0;0.0;0;0;457.0
Leerdam-G0545;;26;2738;2422;2201;1439;302;182;314;584;738;242;77;49;52;15;32;8;9;6;10;8.0;3;4;2.0;1.0;5;1;2762.0
Leersum-G0326;;7;852;861;1437;638;138;119;93;89;254;64;11;42;8;18;5;4;0;5;7;2.0;2;8;0.0;3.0;0;1;699.0
Leeuwarden-G0080;;126;19996;9585;7520;9057;1464;2750;646;838;110;822;501;301;179;207;114;67;89;20;46;72.0;57;38;22.0;;30;11;13783.0
Leeuwarderadeel-G0081;;15;2139;1600;923;828;113;109;57;107;8;82;15;19;11;22;1;3;10;5;4;3.0;7;2;2.0;;1;0;870.0
Leiden-G0546;;235;18087;9344;14441;14253;1750;4644;1870;559;239;485;2494;332;264;223;93;172;80;13;69;33.0;111;54;25.0;;47;29;18116.0
Leiderdorp-G0547;;20;2677;3112;4126;2805;567;534;187;129;107;113;146;144;41;43;36;15;9;6;12;8.0;12;10;4.0;;5;8;2907.0
Leidschendam-G0548;;42;3257;4880;6205;3515;471;545;445;151;52;127;770;358;116;54;95;27;6;18;21;15.0;9;11;4.0;;8;10;4704.0
Lelystad-G0995;;71;7819;3722;6606;5952;1645;1263;901;443;107;354;1048;463;248;666;68;94;82;15;55;13.0;44;11;;43.0;15;9;10826.0
Lemsterland-G0082;;12;1866;1860;1081;799;119;97;69;249;44;45;24;20;42;15;2;8;441;3;1;3.0;5;2;11.0;;2;1;1738.0
Leusden-G0327;;13;2732;4172;4526;3165;396;501;183;234;247;685;70;110;28;65;23;17;4;21;10;7.0;8;9;7.0;19.0;6;9;2826.0
Lichtenvoorde-G0260;;27;2070;5157;1687;1475;203;202;140;18;11;20;38;88;14;26;11;5;3;21;8;4.0;5;7;3.0;;1;3;2400.0
Liemeer-G1673;;10;381;1411;1155;466;76;69;107;98;46;23;43;23;13;3;1;5;0;8;3;0.0;3;0;1.0;;0;0;1032.0
Liempde-G0806;;15;605;1008;379;419;118;48;77;3;2;7;26;41;6;5;2;0;0;2;1;;1;4;6.0;2.0;1;1;665.0
Lienden-G0261;;13;1439;793;960;425;65;57;102;138;371;43;10;20;9;7;1;2;1;16;2;;1;0;1.0;;0;0;828.0
Lieshout-G0807;;14;796;1381;547;542;202;62;124;5;2;2;35;36;8;4;0;0;1;3;2;;3;1;6.0;4.0;0;1;829.0
Liesveld-G0694;;23;1033;1348;1140;533;69;69;125;560;742;196;10;10;10;7;2;0;5;8;3;1.0;2;0;0.0;1.0;2;0;849.0
Limmen-G0418;;8;650;1183;939;535;91;76;38;5;5;8;15;24;2;29;0;7;1;1;4;1.0;4;3;0.0;0.0;1;3;712.0
Lingewaal-G0733;;9;1593;1769;1299;735;120;80;151;243;276;98;27;29;14;9;0;5;5;6;3;;5;7;5.0;;3;2;1271.0
Lisse-G0553;;25;1822;3902;3424;2030;475;240;196;271;661;125;52;109;32;30;15;18;6;10;14;6.0;12;5;5.0;;3;8;2611.0
Lith-G0808;;16;826;1416;632;439;147;53;97;6;3;5;128;51;8;11;1;1;1;3;2;;1;2;7.0;0.0;2;1;930.0
Littenseradiel-G0140;;4;1668;2022;1124;690;85;173;45;88;15;64;25;22;8;37;6;14;6;3;7;3.0;4;2;10.0;;0;0;1311.0
Lochem-G0262;;52;3383;2365;3214;1971;269;347;131;81;17;40;44;76;23;23;8;15;3;17;12;4.0;5;10;1.0;;1;1;2565.0
Loenen-G0329;;958;944;1291;1733;809;167;139;93;101;105;68;12;77;6;11;3;5;1;13;5;0.0;4;3;2.0;17.0;3;1;
Loon op Zand-G0809;;21;2786;3953;2750;2001;511;322;324;34;107;37;122;127;44;39;8;14;4;9;6;4.0;8;4;6.0;9.0;4;6;3695.0
Loosdrecht-G0330;;15;786;1242;2313;905;185;72;98;85;79;45;9;24;15;18;1;5;0;4;3;0.0;2;3;1.0;4.0;1;5;1102.0
Lopik-G0331;;31;1001;2643;1622;856;135;97;261;414;741;110;19;47;28;10;9;5;6;11;3;0.0;2;0;3.0;5.0;2;0;1444.0
Loppersum-G0024;;10;2016;1965;794;730;131;253;56;178;21;431;50;31;13;8;2;17;4;4;5;3.0;5;6;17.0;;3;2;1394.0
Losser-G0168;;33;3266;5282;1980;1850;436;210;293;69;13;44;64;198;28;20;19;21;15;15;24;15.0;7;10;8.0;;3;6;3057.0
Luyksgestel-G0810;;5;342;767;331;207;73;31;36;2;0;5;4;12;4;5;0;5;0;3;0;;0;0;0.0;0.0;0;1;322.0
Maarheeze-G0811;;9;953;2065;1251;704;303;73;92;14;6;15;35;29;15;11;7;3;0;2;4;;0;2;0.0;1.0;1;3;1344.0
Maarn-G0332;;5;663;905;1349;577;104;115;60;56;130;43;9;48;10;25;2;5;0;4;3;1.0;3;2;0.0;0.0;2;1;448.0
Maarssen-G0333;;46;4884;4281;6701;4574;609;815;461;410;126;166;178;169;87;61;28;23;20;11;9;10.0;15;20;5.0;18.0;9;6;5838.0
Maartensdijk-G0334;;4;874;1249;1580;840;144;120;95;246;549;65;20;22;13;29;11;3;3;2;3;2.0;2;2;0.0;1.0;1;0;1027.0
Maasbracht-G0933;;46;1650;2575;1526;1048;620;213;238;47;11;23;35;60;7;28;8;7;4;11;13;8.0;3;7;7.0;;3;3;2506.0
Maasbree-G0934;;18;1130;3070;1223;965;192;146;134;9;18;17;37;48;8;19;1;10;0;10;5;0.0;4;6;2.0;;4;0;1968.0
Maasdonk-G1671;;10;1313;2547;1013;744;267;74;212;14;11;11;227;80;14;8;0;2;1;7;9;;4;4;3.0;3.0;1;1;1674.0
Maasdriel-G0263;;7;1019;1844;1211;654;252;47;204;12;19;8;42;29;17;5;0;6;0;7;10;;1;4;1.0;;3;2;1429.0
Maasland-G0555;;3;420;1809;1157;439;67;67;75;87;45;61;15;12;8;9;1;4;0;3;6;1.0;1;0;1.0;3.0;1;0;523.0
Maassluis-G0556;;75;4070;3797;4701;3194;600;389;675;383;169;256;180;144;95;45;51;20;7;3;9;31.0;7;14;3.0;15.0;8;4;5080.0
Maastricht-G0935;;235;18784;13401;8372;11363;3504;3082;1836;167;76;286;1036;765;150;356;161;37;31;32;83;103.0;44;65;5.0;;37;18;29234.0
Made en Drimmelen-G0812;;14;1900;1913;1348;1403;292;85;232;9;16;12;31;59;22;12;6;6;4;18;6;5.0;2;14;1.0;1.0;1;1;2017.0
Margraten-G0936;;37;1897;3049;1346;1267;313;246;174;25;6;43;40;71;9;35;2;9;6;17;4;11.0;2;10;7.0;;3;2;1881.0
Mariekerke-G0686;;5;188;695;225;162;52;33;29;125;848;46;4;9;5;4;0;2;1;6;1;;0;0;0.0;;0;0;228.0
Markelo-G0169;;21;1207;1053;1689;574;60;60;71;74;13;11;9;71;3;4;0;6;5;19;0;0.0;1;1;0.0;;4;2;623.0
Marum-G0025;;38;1713;1433;981;608;123;114;106;132;20;218;17;34;12;5;4;5;4;37;10;4.0;2;2;11.0;;0;0;1385.0
Maurik-G0264;;16;1271;779;934;520;73;47;145;44;47;17;15;31;13;7;3;1;2;11;4;;0;5;4.0;;4;2;884.0
Medemblik-G0420;;18;928;983;953;586;203;116;101;63;11;25;17;60;16;9;1;6;8;3;2;0.0;3;4;2.0;11.0;0;6;1193.0
Meerlo-Wanssum-G0993;;19;805;1743;622;576;113;104;60;5;2;5;17;42;7;20;1;6;0;3;4;0.0;0;1;1.0;;2;0;1134.0
