RegioNaam;@invalid;@blank;VVD;PvdA;CDA;PVV;SP;D66;GL;CU;50+;SGP;PvdD;CU-SGP;FNP;Ouderenpartij Noord-Holland;PARTIJ VOOR ZEELAND (PVZ);Partij voor het Noorden;Partij Nieuw Limburg (PNL);Platform Lokale Partijen;Unie van Democraten (De Unie);Provinciaal Belang Fryslân;Partij voor Mens en Spirit (MenS);Onafhankelijke Partij Drenthe O.P.D.;Brabant Nu;Platform Lokale Partijen Utrecht (PLU);DG;Mooi Utrecht;Solidara;DPS/Groep van Bergen/De Groenen;Leefbaar Almere;Gelderse Centrumdemocraten (Gelderse C.D.);Verenigd Links-Feriene Lofts;@abs
Kapelle-G0678;3;5;1142;838;1067;555;451;254;162;379.0;114;867.0;93.0;;;;211.0;;;;;;;;;;;;;;;;;3070
Katwijk-G0537;47;30;4391;1938;6046;3239;1381;936;682;2811.0;420;2936.0;362.0;;;;;;;109.0;19.0;;;;;;;;;;;;;20657
Kerkrade-G0928;25;24;1459;3327;2305;3994;2119;388;665;101.0;730;;324.0;;;;;;273.0;;;;;;;;;;;;;;;20371
Koggenland-G1598;16;11;2542;1139;2258;1239;724;589;425;;351;;203.0;70.0;;267.0;;;;;;;;;;;10.0;;;;;;;6747
Kollumerland en Nieuwkruisland-G0079;5;16;625;800;1553;523;373;115;147;584.0;46;;;;788.0;;;29.0;;;;40.0;;;;;;;;;;;19.0;4308
Korendijk-G0588;9;5;986;503;654;676;364;196;179;221.0;109;1061.0;113.0;;;;;;;25.0;0.0;;;;;;;;;;;;;3243
Krimpen aan den IJssel-G0542;20;7;2405;1960;1423;1830;931;694;462;843.0;351;2150.0;201.0;;;;;;;241.0;5.0;;;;;;;;;;;;;8417
Laarbeek-G1659;16;4;1724;973;2011;1191;1459;398;571;;238;;111.0;36.0;;;;;;;;;;;10.0;;;;;;;;;7814
Landerd-G1685;9;7;1237;712;1725;816;1000;299;268;;201;;170.0;26.0;;;;;;;;;;;11.0;;;;;;;;;4908
Landgraaf-G0882;20;16;1446;1938;2118;3451;2219;473;627;122.0;602;;300.0;;;;;;1101.0;;;;;;;;;;;;;;;15892
Landsmeer-G0415;5;0;1391;964;330;791;428;559;342;;61;;124.0;51.0;;78.0;;;;;;;;;;;7.0;;;;;;;2891
Langedijk-G0416;15;11;3043;1686;1875;1416;979;956;728;;241;;255.0;382.0;;247.0;;;;;;;;;;;20.0;;;;;;;8361
Lansingerland-G1621;26;20;6375;2145;3686;3232;1310;1743;901;1381.0;507;303.0;402.0;;;;;;;100.0;9.0;;;;;;;;;;;;;16586
Laren-G0417;17;4;2744;545;608;530;311;527;234;;120;;106.0;34.0;;45.0;;;;;;;;;;;9.0;;;;;;;2628
Leek-G0022;13;11;1469;2110;1444;671;846;493;484;973.0;121;;110.0;;;;;205.0;;;;;;;;;;;;;;;;5814
Leerdam-G0545;14;7;1585;1215;1275;1250;552;774;209;602.0;167;897.0;123.0;;;;;;;80.0;13.0;;;;;;;;;;;;;6595
Leeuwarden-G0080;61;67;5337;12254;3840;3337;4733;2846;3318;1890.0;685;;;;1906.0;;;150.0;;;;263.0;;;;;;;;;;;98.0;32944
Leeuwarderadeel-G0081;12;6;662;1405;832;334;394;222;207;266.0;61;;;;748.0;;;14.0;;;;203.0;;;;;;;;;;;5.0;2602
Leiden-G0546;126;91;8645;10177;3200;5087;6866;10240;6151;1116.0;682;213.0;1597.0;;;;;;;186.0;59.0;;;;;;;;;;;;;34201
Leiderdorp-G0547;19;7;3214;1974;1404;1406;1213;1466;924;273.0;272;142.0;251.0;;;;;;;41.0;15.0;;;;;;;;;;;;;7474
Leidschendam-Voorburg-G1916;63;51;8843;4688;4038;4197;2649;3564;1909;555.0;1028;145.0;820.0;;;;;;;79.0;27.0;;;;;;;;;;;;;22293
Lelystad-G0995;59;35;6407;5354;2172;4546;2999;1845;1706;1261.0;1011;210.0;826.0;;;;;;;;;;;;;;;;;;28.0;;;26395
Lemsterland-G0082;7;4;1219;1203;1039;693;509;286;197;258.0;93;;;;326.0;;;19.0;;;;211.0;;;;;;;;;;;2.0;4139
Leudal-G1640;24;23;3345;1217;3796;3027;1514;686;770;99.0;572;;216.0;;;;;;436.0;;;;;;;;;;;;;;;12608
Leusden-G0327;19;21;4039;1899;2107;1305;1126;1379;949;867.0;325;293.0;291.0;;;;;;;;;;;;;110.0;;20.0;;;;;;7032
Liesveld-G0694;6;9;830;536;1029;472;207;124;73;674.0;86;708.0;56.0;;;;;;;16.0;5.0;;;;;;;;;;;;;2318
Lingewaal-G0733;7;1;1051;708;963;777;310;230;157;458.0;83;276.0;82.0;;;;;;;;;;6.0;;;;;;;3.0;;;;3172
Lingewaard-G1705;26;28;4060;2899;3407;2175;2053;1688;1123;149.0;461;25.0;282.0;;;;;;;;;;40.0;;;;;;;10.0;;24.0;;16515
Lisse-G0553;15;5;2826;986;1873;1384;817;844;377;263.0;207;623.0;189.0;;;;;;;69.0;5.0;;;;;;;;;;;;;6560
Littenseradiel-G0140;6;8;731;1127;1239;280;357;169;325;161.0;43;;;;1113.0;;;18.0;;;;27.0;;;;;;;;;;;5.0;2590
Lochem-G0262;25;12;4913;3428;2783;1195;1235;1717;1146;266.0;304;29.0;330.0;;;;;;;;;;80.0;;;;;;;60.0;;17.0;;8566
Loon op Zand-G0809;14;10;1985;1113;1880;1508;1012;523;442;;310;;194.0;117.0;;;;;;;;;;;32.0;;;;;;;;;8756
Lopik-G0331;12;10;1172;458;1831;1024;303;210;126;529.0;111;543.0;93.0;;;;;;;;;;;;;12.0;;14.0;;;;;;3939
Loppersum-G0024;3;6;580;1104;1060;312;593;227;420;569.0;76;;107.0;;;;;175.0;;;;;;;;;;;;;;;;2858
Losser-G0168;13;5;1461;1423;2546;1079;818;595;338;98.0;389;12.0;106.0;;;;;;;;;;;;;;;;4.0;;;;;8736
Maasdonk-G1671;5;6;759;351;1267;635;614;214;134;;137;;47.0;20.0;;;;;;;;;;;12.0;;;;;;;;;4341
Maasdriel-G0263;19;6;1892;963;3278;1824;731;409;459;92.0;203;206.0;163.0;;;;;;;;;;29.0;;;;;;;3.0;;;;7817
Maasgouw-G1641;23;15;1970;914;2720;2250;924;372;420;61.0;429;;185.0;;;;;;97.0;;;;;;;;;;;;;;;9136
Maassluis-G0556;31;21;2851;2378;1860;2184;1249;891;422;495.0;425;121.0;290.0;;;;;;;67.0;48.0;;;;;;;;;;;;;11030
Maastricht-G0935;89;69;6254;8634;6125;7596;4917;4550;3830;374.0;2254;;1006.0;;;;;;325.0;;;;;;;;;;;;;;;45951
Marum-G0025;4;2;828;971;859;485;405;207;190;404.0;61;;77.0;;;;;78.0;;;;;;;;;;;;;;;;3369
Medemblik-G0420;22;15;4416;2275;3364;2495;1463;1125;714;;614;;372.0;589.0;;471.0;;;;;;;;;;;24.0;;;;;;;14302
Meerssen-G0938;22;9;1510;1082;1705;1629;908;502;478;42.0;454;;143.0;;;;;;187.0;;;;;;;;;;;;;;;6797
Menameradiel-G1908;6;8;873;1748;1188;489;489;243;366;247.0;90;;;;839.0;;;10.0;;;;159.0;;;;;;;;;;;7.0;3759
Menterwolde-G1987;6;4;707;1502;461;575;917;254;396;219.0;103;;97.0;;;;;159.0;;;;;;;;;;;;;;;;4331
Meppel-G0119;30;20;3015;3556;2019;1436;1482;1137;845;1001.0;273;55.0;;;;;;;;;;;;115.0;;;;;15.0;;;;;9876
Middelburg-G0687;22;19;3216;4342;2615;1823;2209;1362;1445;1475.0;387;2153.0;527.0;;;;562.0;;;;;;;;;;;;;;;;;14103
Middelharnis-G0559;16;9;1386;991;1023;1026;610;277;204;713.0;182;1675.0;135.0;;;;;;;50.0;4.0;;;;;;;;;;;;;5657
Midden-Delfland-G1842;12;4;2231;759;2157;966;557;642;430;324.0;148;48.0;120.0;;;;;;;30.0;1.0;;;;;;;;;;;;;5079
Midden-Drenthe-G1731;22;18;3214;4146;2941;1497;1393;868;911;822.0;224;76.0;;;;;;;;;;;;423.0;;;;;15.0;;;;;9530
Mill en Sint Hubert-G0815;5;2;753;426;1458;660;870;185;151;;75;;79.0;17.0;;;;;;;;;;;12.0;;;;;;;;;3814
Millingen aan de Rijn-G0265;5;1;411;614;301;279;393;136;110;14.0;64;1.0;46.0;;;;;;;;;;3.0;;;;;;;2.0;;;;2175
Moerdijk-G1709;19;14;3235;1784;2604;2249;1958;718;628;;513;;319.0;578.0;;;;;;;;;;;39.0;;;;;;;;;13573
Montferland-G1955;20;6;2725;2296;3446;1912;1460;765;474;112.0;403;16.0;237.0;;;;;;;;;;42.0;;;;;;;7.0;;15.0;;13392
Montfoort-G0335;9;1;1611;548;1155;824;337;385;524;390.0;145;381.0;74.0;;;;;;;;;;;;;209.0;;14.0;;;;;;3324
Mook en Middelaar-G0944;5;5;947;584;540;323;462;376;347;14.0;86;;69.0;;;;;;159.0;;;;;;;;;;;;;;;2221
Muiden-G0424;10;0;877;549;400;339;181;529;192;;73;;64.0;24.0;;46.0;;;;;;;;;;;1.0;;;;;;;1598
Naarden-G0425;12;4;3329;1012;886;663;397;1130;594;;146;;180.0;135.0;;66.0;;;;;;;;;;;10.0;;;;;;;3868
Neder-Betuwe-G1740;11;5;1464;1502;1240;1246;412;295;176;503.0;119;3436.0;95.0;;;;;;;;;;4.0;;;;;;;13.0;;;;5734
Nederlek-G0643;5;4;1542;1125;765;989;621;336;212;256.0;188;525.0;181.0;;;;;;;58.0;2.0;;;;;;;;;;;;;4149
Nederweert-G0946;7;12;1353;669;2361;1407;750;223;198;26.0;178;;85.0;;;;;;54.0;;;;;;;;;;;;;;;5755
Neerijnen-G0304;7;3;1208;796;858;832;322;227;140;177.0;99;782.0;91.0;;;;;;;;;;4.0;;;;;;;8.0;;;;3256
Niedorp-G0412;5;3;1379;901;701;695;515;385;244;;97;;152.0;31.0;;129.0;;;;;;;;;;;6.0;;;;;;;3929
Nieuwegein-G0356;41;25;5109;4220;2420;4028;3222;1943;1438;727.0;1127;135.0;532.0;;;;;;;;;;;;;138.0;;61.0;;;;;;21957
Nieuwkoop-G0569;17;8;3329;983;2890;1790;802;766;419;337.0;276;239.0;154.0;;;;;;;35.0;5.0;;;;;;;;;;;;;8596
Nieuw-Lekkerland-G0571;1;2;408;491;481;476;245;109;73;661.0;75;1362.0;54.0;;;;;;;3.0;1.0;;;;;;;;;;;;;2293
Nijkerk-G0267;21;2;3791;1771;4226;2243;929;861;588;1867.0;317;1524.0;197.0;;;;;;;;;;41.0;;;;;;;16.0;;11.0;;11260
Nijmegen-G0268;140;94;8839;14820;5775;5321;12573;10723;10340;895.0;1468;69.0;1499.0;;;;;;;;;;219.0;;;;;;;122.0;;;;54897
Noord-Beveland-G1695;8;1;836;576;651;452;343;175;120;105.0;58;207.0;83.0;;;;123.0;;;;;;;;;;;;;;;;;2213
Noordenveld-G1699;19;10;3288;4193;1648;1468;1463;1152;1099;700.0;329;49.0;;;;;;;;;;;;191.0;;;;;17.0;;;;;8596
Noordoostpolder-G0171;35;13;4269;2450;4728;1822;1519;943;766;1922.0;369;810.0;265.0;;;;;;;;;;;;;;;;;;3.0;;;13488
Noordwijk-G0575;14;18;3575;1339;1720;1742;979;821;556;213.0;230;46.0;226.0;;;;;;;49.0;6.0;;;;;;;;;;;;;7915
Noordwijkerhout-G0576;13;12;2163;700;1385;1130;556;479;375;66.0;190;10.0;143.0;;;;;;;22.0;2.0;;;;;;;;;;;;;4562
Nuenen, Gerwen en Nederwetten-G0820;16;5;2693;1198;1821;1060;1283;1131;703;;334;;161.0;105.0;;;;;;;;;;;12.0;;;;;;;;;6733
Nunspeet-G0302;20;5;2003;792;2444;1262;510;366;221;1969.0;140;3697.0;161.0;;;;;;;;;;19.0;;;;;;;13.0;;8.0;;6323
Nuth-G0951;5;13;1080;982;1590;1502;676;281;469;42.0;372;;137.0;;;;;;236.0;;;;;;;;;;;;;;;5213
Oegstgeest-G0579;12;16;3484;1627;1184;882;858;1799;963;320.0;171;50.0;262.0;;;;;;;26.0;6.0;;;;;;;;;;;;;4776
Oirschot-G0823;12;16;1505;839;2068;981;974;442;302;;300;;127.0;32.0;;;;;;;;;;;14.0;;;;;;;;;6159
Oisterwijk-G0824;17;7;2829;1249;2292;1266;1236;903;635;;353;;216.0;87.0;;;;;;;;;;;12.0;;;;;;;;;8676
Oldambt-G1895;31;26;2142;5239;1736;1734;2729;655;689;797.0;252;;357.0;;;;;755.0;;;;;;;;;;;;;;;;14262
Oldebroek-G0269;14;5;975;1003;2239;856;395;241;179;2296.0;137;1645.0;80.0;;;;;;;;;;3.0;;;;;;;7.0;;11.0;;7093
Oldenzaal-G0173;27;15;2624;2334;2881;1317;1479;1300;807;109.0;465;19.0;154.0;;;;;;;;;;;;;;;;35.0;;;;;11021
Olst-Wijhe-G1773;12;2;1458;1827;1810;623;734;535;490;158.0;169;42.0;140.0;;;;;;;;;;;;;;;;7.0;;;;;5324
Ommen-G0175;7;7;1527;929;2721;699;502;508;274;1255.0;174;132.0;115.0;;;;;;;;;;;;;;;;13.0;;;;;4626
Onderbanken-G0881;6;5;498;592;540;830;393;87;105;36.0;140;;57.0;;;;;;31.0;;;;;;;;;;;;;;;3015
Oost Gelre-G1586;10;13;2713;1844;4001;1224;1238;822;401;91.0;270;19.0;112.0;;;;;;;;;;48.0;;;;;;;6.0;;19.0;;10117
Oosterhout-G0826;36;16;5187;2973;2917;3418;2402;1746;1169;;712;;376.0;153.0;;;;;;;;;;;52.0;;;;;;;;;20131
Oostflakkee-G0580;9;2;790;742;577;767;382;130;114;381.0;125;463.0;100.0;;;;;;;79.0;0.0;;;;;;;;;;;;;3514
Ooststellingwerf-G0085;23;17;1934;3035;1970;1216;1238;517;768;639.0;189;;;;272.0;;;96.0;;;;241.0;;;;;;;;;;;8.0;8208
Oostzaan-G0431;5;2;1113;797;289;841;382;324;305;;59;;93.0;79.0;;98.0;;;;;;;;;;;5.0;;;;;;;2587
Opmeer-G0432;5;4;1145;612;1180;644;342;295;159;;201;;90.0;32.0;;161.0;;;;;;;;;;;7.0;;;;;;;3726
Opsterland-G0086;12;20;1995;3611;2086;973;1367;671;802;1330.0;128;;;;915.0;;;57.0;;;;134.0;;;;;;;;;;;0.0;8754
Oss-G0828;59;27;6270;4215;5250;4034;6307;2541;1536;;1020;;449.0;152.0;;;;;;;;;;;44.0;;;;;;;;;32314
Oud-Beijerland-G0584;11;8;2104;1228;1195;1284;886;645;543;570.0;254;1083.0;200.0;;;;;;;85.0;5.0;;;;;;;;;;;;;7754
Oude IJsselstreek-G1509;27;24;3266;3128;3901;1913;2032;1076;598;257.0;422;28.0;269.0;;;;;;;;;;44.0;;;;;;;8.0;;21.0;;13634
Ouder-Amstel-G0437;11;7;1863;1015;743;684;421;850;520;;106;;142.0;134.0;;88.0;;;;;;;;;;;9.0;;;;;;;3263
Ouderkerk-G0644;6;3;721;529;531;518;212;163;105;368.0;59;719.0;63.0;;;;;;;21.0;0.0;;;;;;;;;;;;;2118
Oudewater-G0589;9;6;1117;371;1150;647;217;223;150;244.0;103;182.0;67.0;;;;;;;;;;;;;15.0;;58.0;;;;;;2860
Overbetuwe-G1734;29;9;4135;2789;3413;2049;2013;1781;1023;691.0;387;472.0;278.0;;;;;;;;;;40.0;;;;;;;19.0;;18.0;;15164
Papendrecht-G0590;13;15;2792;1833;1705;1943;1232;822;430;939.0;438;734.0;263.0;;;;;;;43.0;4.0;;;;;;;;;;;;;11178
Peel en Maas-G1894;22;22;3202;1562;4796;3831;1492;580;798;72.0;547;;188.0;;;;;;341.0;;;;;;;;;;;;;;;15831
Pekela-G0765;16;6;433;1577;491;656;1012;123;205;216.0;90;;91.0;;;;;180.0;;;;;;;;;;;;;;;;4925
Pijnacker-Nootdorp-G1926;34;19;5344;2116;3111;2913;1406;1984;1227;539.0;384;223.0;458.0;;;;;;;80.0;18.0;;;;;;;;;;;;;14875
Purmerend-G0439;72;30;7246;6211;1911;6269;3639;2479;1585;;571;;799.0;325.0;;990.0;;;;;;;;;;;38.0;;;;;;;28489
Putten-G0273;14;3;2165;711;2930;1309;391;361;254;1770.0;147;1324.0;141.0;;;;;;;;;;24.0;;;;;;;5.0;;13.0;;6263
Raalte-G0177;20;12;2860;2316;6260;1163;1228;1226;697;338.0;439;24.0;163.0;;;;;;;;;;;;;;;;12.0;;;;;11497
Reimerswaal-G0703;15;3;1188;941;1183;1175;554;173;122;630.0;182;3571.0;94.0;;;;282.0;;;;;;;;;;;;;;;;;5176
Renkum-G0274;26;11;3831;2891;2127;1294;1427;2057;1403;401.0;319;130.0;404.0;;;;;;;;;;63.0;;;;;;;23.0;;20.0;;8355
Renswoude-G0339;4;4;516;85;746;256;71;38;24;108.0;25;422.0;19.0;;;;;;;;;;;;;4.0;;2.0;;;;;;1106
Reusel-De Mierden-G1667;7;4;871;472;1326;637;788;210;174;;186;;91.0;21.0;;;;;;;;;;;10.0;;;;;;;;;5096
Rheden-G0275;29;16;4266;4308;2561;2114;2769;2103;1550;552.0;401;79.0;526.0;;;;;;;;;;91.0;;;;;;;30.0;;19.0;;13407
Rhenen-G0340;11;4;1865;1032;1298;1211;511;559;419;397.0;135;1632.0;160.0;;;;;;;;;;;;;16.0;;12.0;;;;;;4954
Ridderkerk-G0597;31;12;3018;2672;2134;3173;1797;899;510;1156.0;897;2281.0;369.0;;;;;;;266.0;18.0;;;;;;;;;;;;;16583
Rijnwaarden-G0196;2;4;624;776;813;724;503;214;148;35.0;129;0.0;69.0;;;;;;;;;;27.0;;;;;;;4.0;;5.0;;4431
Rijnwoude-G1672;11;21;2134;964;1813;1166;800;617;347;406.0;158;624.0;142.0;;;;;;;40.0;3.0;;;;;;;;;;;;;4936
Rijssen-Holten-G1742;29;7;2379;1964;3647;1357;575;556;267;2277.0;219;5157.0;128.0;;;;;;;;;;;;;;;;17.0;;;;;8709
Rijswijk-G0603;44;27;4432;3166;2106;3766;1851;1882;1133;358.0;811;102.0;608.0;;;;;;;104.0;30.0;;;;;;;;;;;;;16272
Roerdalen-G1669;10;8;1537;1054;1867;2230;800;319;413;47.0;376;;167.0;;;;;;204.0;;;;;;;;;;;;;;;7675
Roermond-G0957;35;35;5308;2791;2569;3976;1999;1256;1428;133.0;744;;415.0;;;;;;217.0;;;;;;;;;;;;;;;21512
Roosendaal-G1674;64;26;6045;4380;4293;5646;3417;2025;1293;;1003;;565.0;228.0;;;;;;;;;;;70.0;;;;;;;;;29700
Rotterdam-G0599;791;271;30233;48124;12126;32334;22198;19116;13531;4909.0;5565;1866.0;5240.0;;;;;;;761.0;1186.0;;;;;;;;;;;;;242519
Rozendaal-G0277;2;0;447;97;104;61;45;115;61;14.0;11;3.0;18.0;;;;;;;;;;2.0;;;;;;;1.0;;1.0;;176
Rucphen-G0840;23;5;1311;889;1174;2324;551;310;185;;267;;163.0;28.0;;;;;;;;;;;7.0;;;;;;;;;11016
Schagen-G0441;11;2;2056;1674;903;893;1001;673;414;;194;;180.0;86.0;;263.0;;;;;;;;;;;19.0;;;;;;;6252
Schermer-G0458;3;2;766;399;440;311;188;207;94;;71;;61.0;22.0;;53.0;;;;;;;;;;;7.0;;;;;;;1413
Scherpenzeel-G0279;6;0;1029;341;982;517;136;165;93;380.0;60;1010.0;32.0;;;;;;;;;;4.0;;;;;;;1.0;;2.0;;2129
Schiedam-G0606;73;46;4026;5414;2106;4932;3339;2114;1350;485.0;860;153.0;693.0;;;;;;;64.0;118.0;;;;;;;;;;;;;29749
Schiermonnikoog-G0088;1;0;107;113;91;43;51;37;46;15.0;3;;;;9.0;;;1.0;;;;11.0;;;;;;;;;;;1.0;222
Schijndel-G0844;17;6;1594;1112;1631;1135;1484;548;395;;303;;144.0;31.0;;;;;;;;;;;25.0;;;;;;;;;9442
Schinnen-G0962;13;8;991;822;1331;1158;787;291;327;63.0;250;;96.0;;;;;;77.0;;;;;;;;;;;;;;;4226
Schoonhoven-G0608;12;10;1247;867;803;679;437;402;239;344.0;119;173.0;146.0;;;;;;;15.0;1.0;;;;;;;;;;;;;3573
Schouwen-Duiveland-G1676;31;13;4023;2282;2430;2026;1235;707;552;701.0;313;1914.0;368.0;;;;541.0;;;;;;;;;;;;;;;;;9828
's-Gravenhage-G0518;642;248;34133;37661;10957;24660;15702;20490;12009;2982.0;3747;935.0;5167.0;;;;;;;342.0;1474.0;;;;;;;;;;;;;168546
's-Hertogenbosch-G0796;138;63;11678;8626;5875;7247;8645;5949;5422;;1561;;1122.0;446.0;;;;;;;;;;;171.0;;;;;;;;;51183
Simpelveld-G0965;8;10;441;791;1118;1055;458;157;138;25.0;213;;75.0;;;;;;66.0;;;;;;;;;;;;;;;3929
Sint Anthonis-G1702;12;11;979;366;1978;489;1180;213;201;;94;;73.0;19.0;;;;;;;;;;;13.0;;;;;;;;;3376
Sint-Michielsgestel-G0845;6;24;2619;1429;2201;1316;1619;1127;627;;432;;177.0;70.0;;;;;;;;;;;23.0;;;;;;;;;9856
Sint-Oedenrode-G0846;12;12;1562;825;2108;850;1163;436;313;;223;;75.0;39.0;;;;;;;;;;;8.0;;;;;;;;;6020
Sittard-Geleen-G1883;53;53;4961;5319;7695;8077;4739;1903;2419;301.0;1371;;739.0;;;;;;887.0;;;;;;;;;;;;;;;36131
Skarsterlân-G0051;13;10;1999;2668;2495;986;597;477;509;455.0;183;;;;2640.0;;;43.0;;;;84.0;;;;;;;;;;;10.0;7746
Sliedrecht-G0610;18;9;1370;1317;1251;1259;907;362;232;1060.0;273;2040.0;168.0;;;;;;;17.0;5.0;;;;;;;;;;;;;8035
Slochteren-G0040;12;11;1146;1585;919;693;862;359;351;850.0;120;;139.0;;;;;192.0;;;;;;;;;;;;;;;;4700
Sluis-G1714;20;7;1836;1503;1550;1275;755;370;279;136.0;156;97.0;119.0;;;;2102.0;;;;;;;;;;;;;;;;;7905
Smallingerland-G0090;33;34;2978;6320;4110;2091;2411;1068;1156;3090.0;298;;;;1672.0;;;107.0;;;;240.0;;;;;;;;;;;12.0;16685
Soest-G0342;61;23;6403;2717;2826;2836;1507;1951;1280;744.0;594;329.0;466.0;;;;;;;;;;;;;52.0;;82.0;;;;;;12560
Someren-G0847;13;9;1899;722;1987;1091;824;324;229;;214;;103.0;38.0;;;;;;;;;;;16.0;;;;;;;;;6713
Son en Breugel-G0848;5;4;1986;665;1293;650;715;589;436;;384;;113.0;73.0;;;;;;;;;;;14.0;;;;;;;;;4785
Spijkenisse-G0612;46;24;4407;4454;1634;5495;3431;1264;861;661.0;1085;187.0;674.0;;;;;;;93.0;17.0;;;;;;;;;;;;;31855
Stadskanaal-G0037;15;8;1338;3471;2813;1351;1536;404;318;1636.0;271;;187.0;;;;;345.0;;;;;;;;;;;;;;;;12224
Staphorst-G0180;9;6;806;455;1490;645;149;163;99;1548.0;61;2798.0;47.0;;;;;;;;;;;;;;;;4.0;;;;;3005
Stede Broec-G0532;19;9;1963;1269;1396;1430;1000;559;336;;316;;194.0;138.0;;212.0;;;;;;;;;;;10.0;;;;;;;7325
Steenbergen-G0851;16;6;1888;1137;1447;1715;876;490;251;;317;;199.0;251.0;;;;;;;;;;;16.0;;;;;;;;;9657
Steenwijkerland-G1708;29;18;4112;3954;4189;2031;1649;1133;943;1504.0;428;216.0;306.0;;;;;;;;;;;;;;;;13.0;;;;;12960
Stein-G0971;25;16;1342;1275;2053;2900;1381;453;462;49.0;519;;185.0;;;;;;174.0;;;;;;;;;;;;;;;9899
Stichtse Vecht-G1904;35;22;7755;3752;3732;3675;2006;2670;1617;894.0;930;726.0;565.0;;;;;;;;;;;;;133.0;;62.0;;;;;;19258
Strijen-G0617;4;1;896;511;603;602;322;150;174;248.0;114;163.0;105.0;;;;;;;19.0;1.0;;;;;;;;;;;;;3047
Súdwest-Fryslân-G1900;54;35;5629;8288;8034;3085;2602;1582;1722;1592.0;572;;;;4205.0;;;71.0;;;;277.0;;;;;;;;;;;61.0;25096
Ten Boer-G0009;8;0;415;815;600;219;370;188;236;602.0;45;;60.0;;;;;137.0;;;;;;;;;;;;;;;;1850
Terneuzen-G0715;35;11;3181;4083;2936;3223;1682;725;547;1214.0;444;1137.0;282.0;;;;2149.0;;;;;;;;;;;;;;;;;19454
Terschelling-G0093;1;4;625;431;377;258;140;106;257;39.0;34;;;;41.0;;;10.0;;;;9.0;;;;;;;;;;;1.0;1479
Texel-G0448;3;7;1550;1299;1245;778;677;446;442;;105;;127.0;154.0;;107.0;;;;;;;;;;;6.0;;;;;;;3579
Teylingen-G1525;25;30;5180;1833;2887;1939;1219;1673;826;310.0;307;40.0;277.0;;;;;;;57.0;4.0;;;;;;;;;;;;;9804
Tholen-G0716;16;2;1568;1284;1267;1516;833;226;139;767.0;145;3193.0;217.0;;;;288.0;;;;;;;;;;;;;;;;;7422
Tiel-G0281;35;28;3528;3157;1440;2442;1259;1030;1108;327.0;436;135.0;332.0;;;;;;;;;;40.0;;;;;;;9.0;;;;14934
Tilburg-G0855;162;113;13066;12407;8177;9402;10702;8266;5995;;2539;;1533.0;505.0;;;;;;;;;;;138.0;;;;;;;;;83953
Tubbergen-G0183;10;8;1464;650;4938;835;346;294;160;61.0;164;14.0;79.0;;;;;;;;;;;;;;;;2.0;;;;;6684
Twenterand-G1700;21;10;1375;2014;4427;1267;733;455;290;2154.0;300;691.0;153.0;;;;;;;;;;;;;;;;4.0;;;;;11511
Tynaarlo-G1730;22;14;3950;4274;1635;1291;1418;1600;1391;742.0;298;31.0;;;;;;;;;;;;166.0;;;;;25.0;;;;;8277
Tytsjerksteradiel-G0737;17;16;1815;3210;3372;1255;1035;503;937;1066.0;162;;;;2071.0;;;38.0;;;;126.0;;;;;;;;;;;9.0;8918
Ubbergen-G0282;6;4;787;823;814;334;612;446;522;38.0;105;2.0;119.0;;;;;;;;;;22.0;;;;;;;3.0;;;;2715
Uden-G0856;26;18;3667;1797;3250;2273;2885;1193;702;;421;;267.0;78.0;;;;;;;;;;;30.0;;;;;;;;;14375
Uitgeest-G0450;10;4;1456;948;706;702;561;630;377;;94;;126.0;40.0;;118.0;;;;;;;;;;;14.0;;;;;;;3751
Uithoorn-G0451;7;13;3927;1787;1458;1805;945;1094;677;;234;;246.0;172.0;;179.0;;;;;;;;;;;5.0;;;;;;;8193
Urk-G0184;11;7;159;31;1315;515;53;11;5;1740.0;17;3297.0;11.0;;;;;;;;;;;;;;;;;;0.0;;;4625
Utrecht-G0344;323;218;22492;26961;8468;10531;12379;23674;23210;2930.0;1841;483.0;3223.0;;;;;;;;;;;;;392.0;;284.0;;;;;;93935
Utrechtse Heuvelrug-G1581;59;19;6909;3084;3414;2343;1825;2429;2077;834.0;490;1278.0;619.0;;;;;;;;;;;;;93.0;;36.0;;;;;;11765
Vaals-G0981;8;4;342;505;558;664;297;106;144;25.0;154;;70.0;;;;;;27.0;;;;;;;;;;;;;;;3330
Valkenburg aan de Geul-G0994;19;4;1264;818;1690;1638;678;537;357;50.0;420;;147.0;;;;;;121.0;;;;;;;;;;;;;;;6014
Valkenswaard-G0858;12;21;2361;1755;2407;2033;1659;770;550;;500;;168.0;94.0;;;;;;;;;;;27.0;;;;;;;;;11845
Veendam-G0047;13;6;1672;3745;1070;1183;1634;574;603;504.0;211;;206.0;;;;;400.0;;;;;;;;;;;;;;;;10199
Veenendaal-G0345;54;27;5092;2990;4443;3757;1637;1280;869;4019.0;402;3406.0;281.0;;;;;;;;;;;;;45.0;;35.0;;;;;;17518
Veere-G0717;9;1;2381;1528;2066;1025;632;430;421;603.0;192;1858.0;260.0;;;;495.0;;;;;;;;;;;;;;;;;4981
Veghel-G0860;28;20;3091;1605;3635;1959;2162;886;589;;441;;213.0;57.0;;;;;;;;;;;32.0;;;;;;;;;13168
