RegioNaam;@invalid;@blank;VVD;CDA;D66;PVV;SP;PvdA;GL;CU;PvdD;50+;SGP;CU-SGP;FNP;Ouderenpartij Noord-Holland;Groninger Belang;Lokaal Brabant;Hart voor Holland;PPNL;Volkspartij Limburg;LOKAAL-LIMBURG;LOKAAL OVERIJSSEL;STERK LOKAAL;Nederland Lokaal;Lokaal Belang Gelderland / 1 Achterhoek;Lokale Partijen Gelderland;Verenigde Lokale Partijen Zuid-Holland;Zeeland Lokaal;PARTIJ VOOR ZEELAND (PVZ);Libertarische Partij (LP);Vrouwen Partij (VP);Partij voor het Noorden;Multicultureel Plus Partij (M+);Provincie@Inwonersbelangen;Senioren Belang Noord;JEZUS LEEFT;Partij voor Mens en Spirit (MenS);Seniorenpartij Groningen;Provinciaal Belang Zeeland;PSP'92 Gelderland;Groningen Centraal!;Vrijzinnige Partij;Grunnegers veur Stad en Ommelaand;Vrede en Recht;Verenigde Communistische Partij;Partij voor Leefbaarheid en Democratie;Friese Koers;Ouderen Politiek Actief (OPA);PLATFORM VRIJE POLITIEK;StemNL;Gelderse Centrumdemocraten (Gelderse C.D.);Red het Noorden;Verenigd Links-Feriene Lofts;Vrij Mandaat;@abs
Epe-G0232;33;28;2443;1926;1427;1347;905;1229;460;945.0;388.0;607;782.0;;;;;;;;;;;;;45.0;61.0;;;;11.0;;;;;;;34.0;;;37.0;;4.0;;57.0;;;;;;;6.0;;;;12728
Ermelo-G0233;28;25;1744;2549;835;961;661;653;373;1661.0;349.0;282;1232.0;;;;;;;;;;;;;34.0;33.0;;;;21.0;;;;;;;27.0;;;25.0;;13.0;;18.0;;;;;;;7.0;;;;9059
Etten-Leur-G0777;45;45;2356;2421;1506;2095;1722;1058;413;;396.0;638;;152.0;;;;624.0;;;;;;;;;;;;;20.0;;;;;;52.0;;;;;;;;;;;;;4.0;8.0;;;;;18866
Ferwerderadiel-G1722;4;10;325;1035;125;266;273;378;81;344.0;69.0;52;;;530.0;;;;;;;;;;;;;;;;2.0;;;;;;;;;;;;;;;;;18.0;;;;;;1.0;;3146
Franekeradeel-G0070;19;28;819;2022;531;710;876;1111;237;465.0;192.0;180;;;1064.0;;;;;;;;;;;;;;;;8.0;;;;;;;;;;;;;;;;;40.0;;;;;;7.0;;7420
Geertruidenberg-G0779;20;20;1261;983;593;1123;1039;449;457;;192.0;347;;94.0;;;;135.0;;;;;;;;;;;;;7.0;;;;;;4.0;;;;;;;;;;;;;2.0;3.0;;;;;10195
Geldermalsen-G0236;27;27;2022;1472;970;1435;647;796;354;350.0;271.0;300;1534.0;;;;;;;;;;;;;45.0;794.0;;;;14.0;;;;;;;14.0;;;19.0;;4.0;;15.0;;;;;;;;;;;8692
Geldrop-Mierlo-G1771;26;54;2046;2227;1699;1828;2529;1030;727;;498.0;668;;199.0;;;;213.0;;;;;;;;;;;;;67.0;;;;;;;;;;;;;;;;;;;12.0;9.0;;;;;16229
Gemert-Bakel-G1652;30;52;1388;3033;937;1373;1918;536;261;;273.0;326;;56.0;;;;151.0;;;;;;;;;;;;;25.0;;;;;;;;;;;;;;;;;;;7.0;6.0;;;;;12312
Gennep-G0907;16;18;854;1322;695;645;1530;539;163;;142.0;146;;;;;;;;;31.0;34.0;;;;;;;;;;;;;;;;;;;;;;;;;13.0;;;;;;;;;7453
Giessenlanden-G0689;8;5;1376;1327;379;648;474;522;116;818.0;120.0;140;528.0;;;;;;;;;;;;9.0;;;13.0;;;11.0;;;;;;23.0;;;;;;2.0;;;;;;;;;;;;;4543
Gilze en Rijen-G0784;24;25;1513;1490;938;1072;1448;785;283;;240.0;521;;55.0;;;;217.0;;;;;;;;;;;;;15.0;;;;;;15.0;;;;;;;;;;;;;3.0;3.0;;;;;11252
Goeree-Overflakkee-G1924;52;28;2920;2176;943;2905;1456;1431;363;1643.0;506.0;546;5396.0;;;;;;;;;;;;39.0;;;41.0;;;25.0;;;;;;75.0;;;;;;11.0;;;;;;;;;;;;;17029
Goes-G0664;39;35;2197;2367;1398;1384;1973;1641;700;979.0;;409;1399.0;;;;;;;;;;;;;;;;246.0;380.0;;;;;;;;;;152.0;;;;;;;;;;;;;;;;13853
Goirle-G0785;11;16;1429;1462;1188;932;1504;739;406;;263.0;302;;44.0;;;;175.0;;;;;;;;;;;;;12.0;;;;;;10.0;;;;;;;;;;;;;5.0;7.0;;;;;9481
Gorinchem-G0512;34;44;1942;1338;1275;1419;1643;1344;532;816.0;340.0;354;398.0;;;;;;;;;;;;42.0;;;25.0;;;17.0;;;;;;45.0;;;;;;9.0;;;;;;;;;;;;;14719
Gouda-G0513;80;94;3397;2875;3875;3527;2503;3017;1761;2206.0;1131.0;858;1864.0;;;;;;;;;;;;77.0;;;90.0;;;60.0;;;;;;;;;;;;37.0;;;;;;;;;;;;;25780
Grave-G0786;15;8;772;920;493;644;997;351;169;;159.0;162;;36.0;;;;77.0;;;;;;;;;;;;;8.0;;;;;;;;;;;;;;;;;;;3.0;4.0;;;;;4745
Groesbeek-G0241;34;49;1911;2263;1647;1600;2209;1302;1034;95.0;573.0;469;28.0;;;;;;;;;;;;;48.0;79.0;;;;16.0;;;;;;;54.0;;;109.0;;27.0;;22.0;;;;;;;;;;;13905
Groningen-G0014;209;399;7513;6253;13184;4422;13401;10867;9224;4985.0;4246.0;1133;;;;;2223.0;;;;;;;;;;;;;;;;1473.0;;;;;448.0;677.0;;;651.0;;302.0;;188.0;;;;;;;101.0;;127.0;75782
Grootegast-G0015;16;13;387;1186;213;360;406;322;111;792.0;102.0;83;;;;;644.0;;;;;;;;;;;;;;;;66.0;;;;;11.0;23.0;;;8.0;;9.0;;5.0;;;;;;;4.0;;2.0;4440
Gulpen-Wittem-G1729;19;27;505;1815;467;1056;804;325;453;;181.0;214;;;;;;;;;36.0;137.0;;;;;;;;;;;;;;;;;;;;;;;;;11.0;;;;;;;;;5876
Haaksbergen-G0158;22;19;1400;2682;1034;926;917;894;235;100.0;161.0;309;24.0;;;;;;;;;;437.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9795
Haaren-G0788;6;16;1035;1249;547;461;595;311;202;;139.0;198;;45.0;;;;108.0;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;4.0;1.0;;;;;5782
Haarlem-G0392;177;219;8129;4032;10214;4886;6406;7861;5410;;3591.0;1585;;1330.0;;1021.0;;;410.0;616.0;;;;;;;;;;;;383.0;;244.0;;;;;;;;;;;;;;;;;;;;;;59852
Haarlemmerliede en Spaarnwoude-G0393;4;6;499;326;304;284;149;190;118;;90.0;80;;42.0;;37.0;;;27.0;19.0;;;;;;;;;;;;13.0;;3.0;;;;;;;;;;;;;;;;;;;;;;2113
Haarlemmermeer-G0394;135;113;11736;5741;6260;6911;3420;3969;1892;;1717.0;1862;;2228.0;;1043.0;;;476.0;420.0;;;;;;;;;;;;319.0;;98.0;;;;;;;;;;;;;;;;;;;;;;57182
Halderberge-G1655;21;38;1830;1567;843;1538;1416;625;210;;282.0;777;;94.0;;;;221.0;;;;;;;;;;;;;10.0;;;;;;23.0;;;;;;;;;;;;;7.0;6.0;;;;;13705
Hardenberg-G0160;51;38;2377;6421;1459;2306;1733;1776;501;4337.0;308.0;720;531.0;;;;;;;;;;617.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22186
Harderwijk-G0243;40;43;2825;2851;1728;1556;1136;1484;570;2556.0;477.0;447;634.0;;;;;;;;;;;;;53.0;83.0;;;;27.0;;;;;;;42.0;;;46.0;;9.0;;31.0;;;;;;;15.0;;;;17588
Hardinxveld-Giessendam-G0523;14;7;814;995;248;768;366;423;76;1562.0;104.0;146;2058.0;;;;;;;;;;;;9.0;;;7.0;;;1.0;;;;;;27.0;;;;;;3.0;;;;;;;;;;;;;5730
Haren-G0017;26;23;1784;1152;1613;438;892;1184;859;722.0;413.0;150;;;;;302.0;;;;;;;;;;;;;;;;247.0;;;;;38.0;79.0;;;46.0;;28.0;;8.0;;;;;;;6.0;;3.0;4652
Harlingen-G0072;18;25;824;966;422;652;925;958;248;308.0;209.0;308;;;250.0;;;;;;;;;;;;;;;;11.0;;;;;;;;;;;;;;;;;42.0;;;;;;15.0;;6057
Hattem-G0244;7;10;722;948;541;298;351;510;187;1107.0;88.0;103;133.0;;;;;;;;;;;;;11.0;18.0;;;;8.0;;;;;;;13.0;;;13.0;;2.0;;7.0;;;;;;;5.0;;;;4039
Heemskerk-G0396;48;44;2177;2006;1743;1902;1635;1472;623;;471.0;638;;334.0;;316.0;;;355.0;108.0;;;;;;;;;;;;94.0;;72.0;;;;;;;;;;;;;;;;;;;;;;16296
Heemstede-G0397;38;22;3807;1394;2381;702;652;1015;786;;509.0;345;;230.0;;160.0;;;183.0;80.0;;;;;;;;;;;;36.0;;3.0;;;;;;;;;;;;;;;;;;;;;;7782
Heerde-G0246;12;16;1029;1496;582;723;594;627;198;1528.0;179.0;214;316.0;;;;;;;;;;;;;19.0;20.0;;;;13.0;;;;;;;11.0;;;12.0;;4.0;;17.0;;;;;;;4.0;;;;6981
Heerenveen-G0074;51;61;2711;2915;1897;1562;2349;4104;862;973.0;583.0;457;;;1811.0;;;;;;;;;;;;;;;;24.0;;;;;;;;;;;;;;;;;73.0;;;;;;21.0;;18440
Heerhugowaard-G0398;49;55;3455;2142;2172;2426;2305;1655;633;;607.0;699;;506.0;;752.0;;;238.0;157.0;;;;;;;;;;;;129.0;;59.0;;;;;;;;;;;;;;;;;;;;;;21618
Heerlen-G0917;89;99;2272;3960;2278;6076;7196;2208;919;;1037.0;1323;;;;;;;;;424.0;561.0;;;;;;;;;;;;;;;;;;;;;;;;;52.0;;;;;;;;;41373
Heeze-Leende-G1658;9;21;1352;1413;767;614;805;466;203;;175.0;223;;39.0;;;;114.0;;;;;;;;;;;;;13.0;;;;;;;;;;;;;;;;;;;4.0;7.0;;;;;6014
Heiloo-G0399;22;24;2381;1296;1704;835;703;1231;596;;474.0;382;;194.0;;168.0;;;131.0;101.0;;;;;;;;;;;;46.0;;1.0;;;;;;;;;;;;;;;;;;;;;;7445
Hellendoorn-G0163;25;25;1465;5537;1191;1221;1331;1144;436;905.0;241.0;364;163.0;;;;;;;;;;174.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13513
Hellevoetsluis-G0530;52;33;2501;1154;1125;2638;1462;1319;379;291.0;551.0;783;73.0;;;;;;;;;;;;95.0;;;71.0;;;28.0;;;;;;38.0;;;;;;7.0;;;;;;;;;;;;;17794
Helmond-G0794;71;73;3978;3173;2454;4724;5157;2108;1009;;726.0;1198;;367.0;;;;274.0;;;;;;;;;;;;;60.0;;;;;;;;;;;;;;;;;;;70.0;165.0;;;;;39502
Hendrik-Ido-Ambacht-G0531;26;31;1690;1313;873;1452;702;795;206;811.0;310.0;387;2178.0;;;;;;;;;;;;32.0;;;30.0;;;13.0;;;;;;25.0;;;;;;8.0;;;;;;;;;;;;;10788
Hengelo-G0164;109;85;3568;5477;3714;3099;5683;3414;1405;885.0;890.0;788;152.0;;;;;;;;;;380.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32496
Het Bildt-G0063;8;4;429;1049;192;376;457;649;90;187.0;108.0;85;;;442.0;;;;;;;;;;;;;;;;4.0;;;;;;;;;;;;;;;;;21.0;;;;;;3.0;;3789
Heumen-G0252;14;16;1203;1280;1160;529;869;719;501;73.0;263.0;182;8.0;;;;;;;;;;;;;24.0;46.0;;;;13.0;;;;;;;24.0;;;13.0;;10.0;;7.0;;;;;;;;;;;5725
Heusden-G0797;36;40;3003;2628;1743;1910;2060;912;449;;440.0;611;;245.0;;;;310.0;;;;;;;;;;;;;24.0;;;;;;;;;;;;;;;;;;;7.0;6.0;;;;;18824
Hillegom-G0534;26;18;1751;1240;1005;1035;737;668;380;115.0;337.0;634;77.0;;;;;;;;;;;;21.0;;;104.0;;;8.0;;;;;;;;;;;;14.0;;;;;;;;;;;;;7809
Hilvarenbeek-G0798;15;12;1092;1459;666;488;822;439;234;;186.0;220;;28.0;;;;119.0;;;;;;;;;;;;;4.0;;;;;;5.0;;;;;;;;;;;;;28.0;0.0;;;;;6021
Hilversum-G0402;120;104;6168;2849;5471;3103;3478;3230;1945;;1331.0;806;;1315.0;;308.0;;;1954.0;278.0;;;;;;;;;;;;147.0;;47.0;;;;;;;;;;;;;;;;;;;;;;31933
Hof van Twente-G1735;45;37;3056;4867;1506;1276;1421;1711;513;243.0;233.0;375;88.0;;;;;;;;;;137.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11862
Hollands Kroon-G1911;53;43;3802;2485;1485;2295;1417;1466;446;;453.0;481;;514.0;;1765.0;;;546.0;147.0;;;;;;;;;;;;93.0;;9.0;;;;;;;;;;;;;;;;;;;;;;20062
Hoogeveen-G0118;39;51;2175;4546;1314;2475;2616;2118;615;2033.0;;613;502.0;;;;;;;;;;;704.0;;;;;;;;;;;;232.0;;;;;;;;;;;;;;;;;;;;22399
Hoogezand-Sappemeer-G0018;41;31;1156;913;819;1349;2424;1729;491;717.0;349.0;398;;;;;1305.0;;;;;;;;;;;;;;;;246.0;;;;;31.0;169.0;;;204.0;;119.0;;40.0;;;;;;;29.0;;11.0;14329
Hoorn-G0405;76;114;4008;2250;3389;2970;3045;2798;1338;;924.0;1043;;531.0;;731.0;;;330.0;217.0;;;;;;;;;;;;174.0;;33.0;;;;;;;;;;;;;;;;;;;;;;30156
Horst aan de Maas-G1507;24;67;1803;5152;1353;1758;2549;882;426;;301.0;601;;;;;;;;;129.0;101.0;;;;;;;;;;;;;;;;;;;;;;;;;47.0;;;;;;;;;16776
Houten-G0321;38;60;3514;2330;3236;1703;1604;1896;1329;1540.0;709.0;622;890.0;;;;;;;;;;;;;;;;;;12.0;;;;136.0;;29.0;;;;;;17.0;;;;;;;;;;;;;16115
Huizen-G0406;28;40;3700;2490;2176;1863;1146;1188;714;;576.0;547;;1819.0;;237.0;;;283.0;87.0;;;;;;;;;;;;78.0;;27.0;;;;;;;;;;;;;;;;;;;;;;14942
Hulst-G0677;22;36;1364;1627;519;1145;1343;782;227;77.0;;465;31.0;;;;;;;;;;;;;;;;1474.0;146.0;;;;;;;;;;203.0;;;;;;;;;;;;;;;;10578
IJsselstein-G0353;32;33;2471;1591;1854;1413;1321;989;476;433.0;382.0;454;193.0;;;;;;;;;;;;;;;;;;3.0;;;;90.0;;25.0;;;;;;24.0;;;;;;;;;;;;;13577
Kaag en Braassem-G1884;28;37;2578;1951;1320;1266;632;768;304;182.0;322.0;425;60.0;;;;;;;;;;;;18.0;;;207.0;;;10.0;;;;;;;;;;;;16.0;;;;;;;;;;;;;9825
Kampen-G0166;36;46;1631;3921;1201;1813;2173;1445;1294;3633.0;295.0;493;3217.0;;;;;;;;;;252.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16656
Kapelle-G0678;15;7;976;921;392;432;448;463;133;507.0;;146;964.0;;;;;;;;;;;;;;;;118.0;213.0;;;;;;;;;;70.0;;;;;;;;;;;;;;;;3649
Katwijk-G0537;69;72;2631;4744;1209;3113;1113;1144;426;2894.0;534.0;810;3485.0;;;;;;;;;;;;58.0;;;389.0;;;25.0;;;;;;;;;;;;17.0;;;;;;;;;;;;;24566
Kerkrade-G0928;52;69;774;2781;827;3601;2947;1146;645;;464.0;809;;;;;;;;;253.0;186.0;;;;;;;;;;;;;;;;;;;;;;;;;21.0;;;;;;;;;20862
Koggenland-G1598;25;26;2113;1894;844;946;613;632;305;;275.0;331;;99.0;;255.0;;;239.0;64.0;;;;;;;;;;;;48.0;;10.0;;;;;;;;;;;;;;;;;;;;;;8380
Kollumerland en Nieuwkruisland-G0079;20;10;496;1442;156;563;414;463;85;657.0;106.0;108;;;659.0;;;;;;;;;;;;;;;;17.0;;;;;;;;;;;;;;;;;18.0;;;;;;3.0;;4737
Korendijk-G0588;10;11;657;538;286;638;328;308;97;173.0;150.0;140;1214.0;;;;;;;;;;;;31.0;;;134.0;;;4.0;;;;;;15.0;;;;;;23.0;;;;;;;;;;;;;3574
Krimpen aan den IJssel-G0542;24;27;1757;1316;1081;1666;891;1048;283;928.0;388.0;374;2425.0;;;;;;;;;;;;136.0;;;46.0;;;33.0;;;;;;;;;;;;10.0;;;;;;;;;;;;;9899
Krimpenerwaard-G1931;62;52;4339;2983;1983;2702;1703;2276;528;1926.0;795.0;726;3008.0;;;;;;;;;;;;99.0;;;146.0;;;28.0;;;;;;;;;;;;15.0;;;;;;;;;;;;;18453
Laarbeek-G1659;19;24;1069;1356;1018;900;1471;688;675;;209.0;262;;78.0;;;;87.0;;;;;;;;;;;;;13.0;;;;;;;;;;;;;;;;;;;10.0;11.0;;;;;9196
Landerd-G1685;19;23;1039;1467;464;682;1112;353;130;;133.0;199;;42.0;;;;70.0;;;;;;;;;;;;;11.0;;;;;;;;;;;;;;;;;;;4.0;3.0;;;;;6043
Landgraaf-G0882;28;38;1022;2218;912;3191;2719;1139;427;;448.0;502;;;;;;;;;149.0;171.0;;;;;;;;;;;;;;;;;;;;;;;;;31.0;;;;;;;;;17077
Landsmeer-G0415;17;7;1085;368;602;672;538;578;276;;253.0;141;;68.0;;79.0;;;43.0;32.0;;;;;;;;;;;;21.0;;5.0;;;;;;;;;;;;;;;;;;;;;;3632
Langedijk-G0416;20;30;2085;1768;1222;1173;911;929;460;;380.0;398;;447.0;;213.0;;;148.0;101.0;;;;;;;;;;;;66.0;;11.0;;;;;;;;;;;;;;;;;;;;;;10472
Lansingerland-G1621;44;67;5384;3350;2710;2576;1161;1485;672;1604.0;734.0;620;333.0;;;;;;;;;;;;224.0;;;94.0;;;40.0;;;;;;;;;;;;32.0;;;;;;;;;;;;;20595
Laren-G0417;23;10;1944;653;792;418;280;267;127;;163.0;104;;47.0;;39.0;;;142.0;14.0;;;;;;;;;;;;15.0;;1.0;;;;;;;;;;;;;;;;;;;;;;3479
Leek-G0022;22;22;959;1265;712;708;1058;1002;362;1099.0;203.0;240;;;;;235.0;;;;;;;;;;;;;;;;130.0;;;;;22.0;48.0;;;48.0;;17.0;;15.0;;;;;;;6.0;;6.0;6811
Leerdam-G0545;15;19;1033;1080;690;1016;545;519;139;629.0;181.0;205;1049.0;;;;;;;;;;;;116.0;;;28.0;;;9.0;;;;;;29.0;;;;;;2.0;;;;;;;;;;;;;8153
Leeuwarden-G0080;134;138;4282;4956;4212;3744;5600;8761;2249;2187.0;1503.0;1215;;;2411.0;;;;;;;;;;;;;;;;95.0;;;;;;;;;;;;;;;;;140.0;;;;;;207.0;;42600
Leeuwarderadeel-G0081;9;6;470;929;295;314;479;916;117;295.0;115.0;85;;;624.0;;;;;;;;;;;;;;;;7.0;;;;;;;;;;;;;;;;;16.0;;;;;;2.0;;3397
Leiden-G0546;161;224;6315;3222;10385;4382;5008;6992;5800;1208.0;2689.0;935;274.0;;;;;;;;;;;;108.0;;;114.0;;;105.0;;;;;;;;;;;;37.0;;;;;;;;;;;;;43105
Leiderdorp-G0547;52;50;2179;1360;1997;1185;893;1263;689;261.0;388.0;388;175.0;;;;;;;;;;;;39.0;;;48.0;;;15.0;;;;;;;;;;;;9.0;;;;;;;;;;;;;9511
Leidschendam-Voorburg-G1916;119;81;6654;3819;4876;3558;2346;2960;1397;709.0;1374.0;1079;187.0;;;;;;;;;;;;63.0;;;146.0;;;48.0;;;;;;;;;;;;55.0;;;;;;;;;;;;;26430
Lelystad-G0995;76;80;3998;2529;2473;4068;3196;2638;1285;1380.0;1205.0;1788;292.0;;;;;;;;;;;;;;;;;;;;;;;;90.0;;;;;;;;;;;;276.0;;;;;;;30795
Leudal-G1640;29;73;2100;3641;1844;1934;1437;585;352;;279.0;450;;;;;;;;;448.0;354.0;;;;;;;;;;;;;;;;;;;;;;;;;56.0;;;;;;;;;14922
Leusden-G0327;29;32;2829;2089;2145;931;1092;1210;661;1012.0;488.0;456;327.0;;;;;;;;;;;;;;;;;;9.0;;;;102.0;;24.0;;;;;;5.0;;;;;;;;;;;;;9048
Lingewaal-G0733;8;6;714;783;335;560;281;396;97;580.0;130.0;117;309.0;;;;;;;;;;;;;10.0;48.0;;;;3.0;;;;;;;2.0;;;9.0;;4.0;;10.0;;;;;;;;;;;4131
Lingewaard-G1705;38;68;3064;2504;2348;1705;2225;1366;728;172.0;428.0;546;48.0;;;;;;;;;;;;;286.0;111.0;;;;15.0;;;;;;;52.0;;;42.0;;13.0;;25.0;;;;;;;17.0;;;;19604
Lisse-G0553;25;19;1886;1552;1179;988;590;613;206;300.0;263.0;500;666.0;;;;;;;;;;;;15.0;;;339.0;;;9.0;;;;;;;;;;;;10.0;;;;;;;;;;;;;8133
Littenseradiel-G0140;5;7;594;1306;273;223;357;798;179;163.0;109.0;74;;;940.0;;;;;;;;;;;;;;;;8.0;;;;;;;;;;;;;;;;;14.0;;;;;;3.0;;3237
Lochem-G0262;29;44;3698;2149;2450;792;1343;1648;1052;256.0;516.0;365;41.0;;;;;;;;;;;;;220.0;56.0;;;;13.0;;;;;;;48.0;;;24.0;;9.0;;11.0;;;;;;;16.0;;;;11701
Loon op Zand-G0809;16;28;1560;1444;841;1190;1020;558;333;;278.0;306;;151.0;;;;164.0;;;;;;;;;;;;;20.0;;;;;;8.0;;;;;;;;;;;;;5.0;4.0;;;;;10161
Lopik-G0331;14;18;871;1423;329;761;301;251;83;706.0;152.0;166;648.0;;;;;;;;;;;;;;;;;;7.0;;;;43.0;;29.0;;;;;;6.0;;;;;;;;;;;;;4769
Loppersum-G0024;10;19;339;802;256;284;620;515;334;629.0;171.0;52;;;;;661.0;;;;;;;;;;;;;;;;95.0;;;;;6.0;40.0;;;97.0;;14.0;;13.0;;;;;;;4.0;;4.0;3015
Losser-G0168;17;17;1025;2454;719;1114;865;551;205;69.0;158.0;255;21.0;;;;;;;;;;556.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9579
Maasdriel-G0263;17;35;1721;1751;788;1569;929;503;240;170.0;230.0;355;276.0;;;;;;;;;;;;;18.0;75.0;;;;9.0;;;;;;;21.0;;;13.0;;6.0;;12.0;;;;;;;;;;;9527
Maasgouw-G1641;28;42;1312;2411;679;1448;873;575;203;;250.0;300;;;;;;;;;364.0;218.0;;;;;;;;;;;;;;;;;;;;;;;;;38.0;;;;;;;;;10669
Maassluis-G0556;43;46;1978;2031;1079;1893;1149;1180;261;523.0;382.0;590;141.0;;;;;;;;;;;;201.0;;;41.0;;;13.0;;;;;;39.0;;;;;;6.0;;;;;;;;;;;;;13042
Maastricht-G0935;150;173;3989;5444;5712;6284;6284;3992;2619;;1640.0;1432;;;;;;;;;431.0;434.0;;;;;;;;;;;;;;;;;;;;;;;;;83.0;;;;;;;;;52304
Marum-G0025;10;15;570;734;257;393;416;474;138;415.0;112.0;93;;;;;251.0;;;;;;;;;;;;;;;;59.0;;;;;12.0;28.0;;;26.0;;8.0;;4.0;;;;;;;4.0;;2.0;3940
Medemblik-G0420;45;43;3234;3559;1584;1899;1236;1065;470;;497.0;571;;680.0;;328.0;;;448.0;106.0;;;;;;;;;;;;64.0;;6.0;;;;;;;;;;;;;;;;;;;;;;17078
Meerssen-G0938;16;27;981;1492;858;1198;977;462;311;;226.0;345;;;;;;;;;265.0;379.0;;;;;;;;;;;;;;;;;;;;;;;;;23.0;;;;;;;;;7800
Menameradiel-G1908;15;24;599;1258;388;434;626;1120;187;242.0;129.0;126;;;897.0;;;;;;;;;;;;;;;;7.0;;;;;;;;;;;;;;;;;23.0;;;;;;1.0;;4429
Menterwolde-G1987;7;11;430;380;309;599;1140;432;153;236.0;163.0;82;;;;;657.0;;;;;;;;;;;;;;;;125.0;;;;;7.0;93.0;;;57.0;;161.0;;24.0;;;;;;;13.0;;28.0;4633
Meppel-G0119;37;49;2074;1700;1530;1189;1696;1830;831;1094.0;;498;84.0;;;;;;;;;;;254.0;;;;;;;;;;;;201.0;;;;;;;;;;;;;;;;;;;;12159
Middelburg-G0687;38;38;2205;2357;1894;1424;2374;2675;1242;1591.0;;488;2163.0;;;;;;;;;;;;;;;;331.0;443.0;;;;;;;;;;234.0;;;;;;;;;;;;;;;;17148
Midden-Delfland-G1842;13;22;2129;1951;923;737;400;621;327;329.0;237.0;234;58.0;;;;;;;;;;;;13.0;;;18.0;;;12.0;;;;;;23.0;;;;;;7.0;;;;;;;;;;;;;6133
Midden-Drenthe-G1731;35;34;2565;2317;1282;1265;1549;2408;678;918.0;;620;125.0;;;;;;;;;;;258.0;;;;;;;;;;;;215.0;;;;;;;;;;;;;;;;;;;;12044
Mill en Sint Hubert-G0815;23;15;681;1070;241;528;935;249;74;;102.0;160;;36.0;;;;56.0;;;;;;;;;;;;;6.0;;;;;;;;;;;;;;;;;;;2.0;1.0;;;;;4380
Moerdijk-G1709;25;33;2352;2033;994;1903;1615;908;363;;425.0;642;;624.0;;;;323.0;;;;;;;;;;;;;25.0;;;;;;22.0;;;;;;;;;;;;;2.0;11.0;;;;;16264
Molenwaard-G1927;28;19;1483;2193;511;1047;620;775;143;2177.0;236.0;273;3430.0;;;;;;;;;;;;31.0;;;19.0;;;4.0;;;;;;66.0;;;;;;4.0;;;;;;;;;;;;;8131
Montferland-G1955;33;33;2096;3150;1220;1844;1698;987;261;89.0;304.0;448;37.0;;;;;;;;;;;;;251.0;96.0;;;;12.0;;;;;;;38.0;;;39.0;;13.0;;16.0;;;;;;;15.0;;;;15244
Montfoort-G0335;4;14;1156;1088;622;576;341;339;415;382.0;154.0;173;430.0;;;;;;;;;;;;;;;;;;5.0;;;;267.0;;22.0;;;;;;2.0;;;;;;;;;;;;;4204
Mook en Middelaar-G0944;6;17;638;462;628;301;450;364;330;;136.0;95;;;;;;;;;20.0;17.0;;;;;;;;;;;;;;;;;;;;;;;;;6.0;;;;;;;;;2672
Muiden-G0424;7;8;575;318;574;256;172;352;144;;126.0;91;;29.0;;32.0;;;28.0;20.0;;;;;;;;;;;;11.0;;2.0;;;;;;;;;;;;;;;;;;;;;;2019
Naarden-G0425;25;19;2476;783;1476;505;345;702;395;;240.0;140;;163.0;;80.0;;;52.0;30.0;;;;;;;;;;;;21.0;;3.0;;;;;;;;;;;;;;;;;;;;;;5032
Neder-Betuwe-G1740;19;18;961;932;471;1107;454;705;102;469.0;141.0;169;3906.0;;;;;;;;;;;;;57.0;67.0;;;;11.0;;;;;;;17.0;;;15.0;;8.0;;7.0;;;;;;;;;;;6968
Nederweert-G0946;20;29;913;2650;387;868;615;323;109;;134.0;243;;;;;;;;;55.0;74.0;;;;;;;;;;;;;;;;;;;;;;;;;20.0;;;;;;;;;6893
Neerijnen-G0304;13;7;873;612;377;634;301;355;139;210.0;146.0;95;853.0;;;;;;;;;;;;;11.0;145.0;;;;8.0;;;;;;;5.0;;;9.0;;6.0;;11.0;;;;;;;;;;;4190
Nieuwegein-G0356;51;77;3345;2316;2723;2936;3032;2068;1003;830.0;852.0;1257;185.0;;;;;;;;;;;;;;;;;;37.0;;;;318.0;;53.0;;;;;;36.0;;;;;;;;;;;;;26313
Nieuwkoop-G0569;30;24;2788;2060;986;1265;603;670;288;379.0;291.0;424;283.0;;;;;;;;;;;;27.0;;;39.0;;;27.0;;;;;;;;;;;;4.0;;;;;;;;;;;;;10862
Nijkerk-G0267;40;30;2621;3227;1336;1932;862;875;481;2215.0;326.0;447;1726.0;;;;;;;;;;;;;73.0;86.0;;;;27.0;;;;;;;48.0;;;29.0;;21.0;;24.0;;;;;;;12.0;;;;14098
Nijmegen-G0268;179;266;6736;4553;12110;4699;11330;7605;10064;922.0;3000.0;1283;146.0;;;;;;;;;;;;;229.0;234.0;;;;77.0;;;;;;;288.0;;;378.0;;78.0;;99.0;;;;;;;;;;;69667
