RegioNaam;@invalid;@blank;VVD;CDA;D66;PVV;SP;PvdA;GL;CU;PvdD;50+;SGP;CU-SGP;FNP;Ouderenpartij Noord-Holland;Groninger Belang;Lokaal Brabant;Hart voor Holland;PPNL;Volkspartij Limburg;LOKAAL-LIMBURG;LOKAAL OVERIJSSEL;STERK LOKAAL;Nederland Lokaal;Lokaal Belang Gelderland / 1 Achterhoek;Lokale Partijen Gelderland;Verenigde Lokale Partijen Zuid-Holland;Zeeland Lokaal;PARTIJ VOOR ZEELAND (PVZ);Libertarische Partij (LP);Vrouwen Partij (VP);Partij voor het Noorden;Multicultureel Plus Partij (M+);Provincie@Inwonersbelangen;Senioren Belang Noord;JEZUS LEEFT;Partij voor Mens en Spirit (MenS);Seniorenpartij Groningen;Provinciaal Belang Zeeland;PSP'92 Gelderland;Groningen Centraal!;Vrijzinnige Partij;Grunnegers veur Stad en Ommelaand;Vrede en Recht;Verenigde Communistische Partij;Partij voor Leefbaarheid en Democratie;Friese Koers;Ouderen Politiek Actief (OPA);PLATFORM VRIJE POLITIEK;StemNL;Gelderse Centrumdemocraten (Gelderse C.D.);Red het Noorden;Verenigd Links-Feriene Lofts;Vrij Mandaat;@abs
Barneveld-G0203;59;45;3091;4087;1219;2008;810;700;301;3792.0;298.0;449;6891.0;;;;;;;;;;;;;80.0;76.0;;;;27.0;;;;;;;45.0;;;28.0;;21.0;;31.0;;;;;;;8.0;;;;15627
Bedum-G0005;12;17;364;972;292;251;650;583;234;854.0;137.0;66;;;;;392.0;;;;;;;;;;;;;;;;159.0;;;;;15.0;29.0;;;57.0;;8.0;;3.0;;;;;;;8.0;;5.0;3067
Beek-G0888;17;25;906;1557;707;1241;831;431;152;;204.0;236;;;;;;;;;85.0;240.0;;;;;;;;;;;;;;;;;;;;;;;;;20.0;;;;;;;;;6520
Beemster-G0370;12;12;1567;428;438;372;257;353;181;;163.0;99;;37.0;;88.0;;;26.0;22.0;;;;;;;;;;;;13.0;;2.0;;;;;;;;;;;;;;;;;;;;;;2956
Beesel-G0889;13;28;542;1302;385;872;587;310;123;;90.0;182;;;;;;;;;150.0;58.0;;;;;;;;;;;;;;;;;;;;;;;;;53.0;;;;;;;;;5910
Bellingwedde-G0007;15;10;399;321;222;546;952;496;134;132.0;194.0;90;;;;;200.0;;;;;;;;;;;;;;;;102.0;;;;;11.0;28.0;;;26.0;;18.0;;34.0;;;;;;;6.0;;8.0;3347
Bergeijk-G1724;15;20;1116;2489;481;812;808;407;169;;186.0;223;;42.0;;;;95.0;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;4.0;3.0;;;;;7321
Bergen-G0893;14;25;461;1485;299;775;847;273;101;;111.0;132;;;;;;;;;24.0;31.0;;;;;;;;;;;;;;;;;;;;;;;;;14.0;;;;;;;;;5776
Bergen-G0373;26;39;2976;1709;1886;1376;1030;1297;1146;;785.0;436;;135.0;;271.0;;;172.0;70.0;;;;;;;;;;;;69.0;;1.0;;;;;;;;;;;;;;;;;;;;;;10598
Bergen op Zoom-G0748;61;74;4060;2476;2530;3585;2946;1924;639;;728.0;1322;;255.0;;;;464.0;;;;;;;;;;;;;18.0;;;;;;38.0;;;;;;;;;;;;;7.0;13.0;;;;;29438
Berkelland-G1859;46;66;3920;3629;2133;1551;2934;1872;712;318.0;459.0;521;62.0;;;;;;;;;;;;;356.0;56.0;;;;22.0;;;;;;;56.0;;;44.0;;16.0;;14.0;;;;;;;9.0;;;;16239
Bernheze-G1721;18;26;1818;2514;1153;908;2040;590;277;;184.0;328;;41.0;;;;133.0;;;;;;;;;;;;;8.0;;;;;;;;;;;;;;;;;;;4.0;3.0;;;;;12610
Best-G0753;18;48;1904;1468;1577;1138;1407;710;365;;320.0;574;;334.0;;;;193.0;;;;;;;;;;;;;15.0;;;;;;;;;;;;;;;;;;;13.0;7.0;;;;;11704
Beuningen-G0209;19;23;1685;1232;1292;1069;1426;725;438;99.0;241.0;340;9.0;;;;;;;;;;;;;38.0;72.0;;;;18.0;;;;;;;19.0;;;31.0;;12.0;;18.0;;;;;;;;;;;11021
Beverwijk-G0375;39;44;1820;1188;1524;1813;1501;1179;558;;545.0;531;;180.0;;274.0;;;298.0;108.0;;;;;;;;;;;;108.0;;167.0;;;;;;;;;;;;;;;;;;;;;;17711
Binnenmaas-G0585;29;35;2245;1853;958;1671;946;1128;273;573.0;427.0;462;1076.0;;;;;;;;;;;;46.0;;;104.0;;;25.0;;;;;;36.0;;;;;;3.0;;;;;;;;;;;;;10807
Bladel-G1728;13;19;1106;1635;529;889;1001;618;261;;188.0;366;;45.0;;;;256.0;;;;;;;;;;;;;13.0;;;;;;;;;;;;;;;;;;;8.0;2.0;;;;;8497
Blaricum-G0376;6;8;1459;527;624;424;250;300;103;;120.0;96;;96.0;;43.0;;;256.0;13.0;;;;;;;;;;;;15.0;;3.0;;;;;;;;;;;;;;;;;;;;;;2907
Bloemendaal-G0377;31;34;3310;1095;2103;643;510;795;893;;425.0;214;;175.0;;93.0;;;435.0;62.0;;;;;;;;;;;;38.0;;8.0;;;;;;;;;;;;;;;;;;;;;;5910
Bodegraven-Reeuwijk-G1901;42;38;2846;2871;1302;1494;658;836;451;1040.0;334.0;364;1570.0;;;;;;;;;;;;24.0;;;66.0;;;20.0;;;;;;;;;;;;9.0;;;;;;;;;;;;;11195
Boekel-G0755;20;16;654;1122;283;423;610;169;81;;109.0;120;;18.0;;;;46.0;;;;;;;;;;;;;6.0;;;;;;;;;;;;;;;;;;;4.0;5.0;;;;;3940
Borger-Odoorn-G1681;41;26;1524;1255;812;1507;1239;1689;365;471.0;;519;60.0;;;;;;;;;;;962.0;;;;;;;;;;;;256.0;;;;;;;;;;;;;;;;;;;;9806
Borne-G0147;21;14;1156;2645;1061;816;1203;860;373;150.0;174.0;255;25.0;;;;;;;;;;122.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8112
Borsele-G0654;31;14;1192;1802;579;918;724;729;285;383.0;;223;2059.0;;;;;;;;;;;;;;;;141.0;587.0;;;;;;;;;;130.0;;;;;;;;;;;;;;;;7264
Boxmeer-G0756;31;48;1747;2545;962;1047;3773;650;294;;224.0;246;;64.0;;;;101.0;;;;;;;;;;;;;14.0;;;;;;;;;;;;;;;;;;;11.0;6.0;;;;;10225
Boxtel-G0757;31;45;1545;2087;1292;1029;1920;878;490;;311.0;358;;91.0;;;;151.0;;;;;;;;;;;;;17.0;;;;;;;;;;;;;;;;;;;12.0;6.0;;;;;13016
Breda-G0758;187;184;12073;6932;9776;5962;8049;5629;3582;;2169.0;2178;;677.0;;;;814.0;;;;;;;;;;;;;109.0;;;;;;83.0;;;;;;;;;;;;;43.0;32.0;;;;;80032
Brielle-G0501;15;27;1305;797;603;980;1005;504;166;113.0;242.0;280;35.0;;;;;;;;;;;;40.0;;;20.0;;;13.0;;;;;;7.0;;;;;;2.0;;;;;;;;;;;;;6886
Bronckhorst-G1876;18;25;3416;3377;1747;1204;1469;1341;588;451.0;425.0;390;212.0;;;;;;;;;;;;;434.0;97.0;;;;13.0;;;;;;;54.0;;;23.0;;12.0;;17.0;;;;;;;12.0;;;;13959
Brummen-G0213;11;17;1730;1026;969;853;901;1013;395;148.0;281.0;257;55.0;;;;;;;;;;;;;99.0;48.0;;;;8.0;;;;;;;29.0;;;23.0;;4.0;;11.0;;;;;;;3.0;;;;8800
Brunssum-G0899;43;32;1142;1337;484;2175;1872;1173;172;;296.0;370;;;;;;;;;76.0;878.0;;;;;;;;;;;;;;;;;;;;;;;;;24.0;;;;;;;;;12961
Bunnik-G0312;15;19;1269;1157;1242;461;442;781;820;210.0;280.0;180;165.0;;;;;;;;;;;;;;;;;;4.0;;;;37.0;;16.0;;;;;;4.0;;;;;;;;;;;;;4128
Bunschoten-G0313;31;13;702;1864;199;1171;246;151;47;2633.0;82.0;138;908.0;;;;;;;;;;;;;;;;;;6.0;;;;9.0;;43.0;;;;;;6.0;;;;;;;;;;;;;6862
Buren-G0214;24;23;2128;1254;1130;1500;693;898;253;350.0;349.0;241;768.0;;;;;;;;;;;;;46.0;361.0;;;;16.0;;;;;;;17.0;;;35.0;;6.0;;15.0;;;;;;;;;;;10084
Bussum-G0381;38;44;3506;1195;2472;1060;880;1251;740;;498.0;286;;473.0;;270.0;;;167.0;98.0;;;;;;;;;;;;55.0;;10.0;;;;;;;;;;;;;;;;;;;;;;11232
Capelle aan den IJssel-G0502;78;93;3334;1955;2485;3552;2399;2088;582;1218.0;906.0;1165;1847.0;;;;;;;;;;;;78.0;;;94.0;;;23.0;;;;;;;;;;;;15.0;;;;;;;;;;;;;28795
Castricum-G0383;41;30;3365;2064;2184;1256;1748;1559;1079;;636.0;442;;206.0;;266.0;;;410.0;132.0;;;;;;;;;;;;82.0;;9.0;;;;;;;;;;;;;;;;;;;;;;11661
Coevorden-G0109;40;31;2676;2439;1161;1646;1824;2071;472;434.0;;521;107.0;;;;;;;;;;;429.0;;;;;;;;;;;;239.0;;;;;;;;;;;;;;;;;;;;13812
Cranendonck-G1706;23;28;1152;1550;633;1199;1004;450;136;;193.0;368;;48.0;;;;116.0;;;;;;;;;;;;;13.0;;;;;;;;;;;;;;;;;;;8.0;5.0;;;;;9078
Cromstrijen-G0611;15;26;1015;822;461;709;451;487;128;154.0;160.0;192;496.0;;;;;;;;;;;;18.0;;;64.0;;;7.0;;;;;;5.0;;;;;;8.0;;;;;;;;;;;;;4975
Cuijk-G1684;32;33;1432;1506;1043;929;2345;652;313;;206.0;247;;49.0;;;;110.0;;;;;;;;;;;;;16.0;;;;;;;;;;;;;;;;;;;3.0;3.0;;;;;10042
Culemborg-G0216;22;39;1586;1248;1627;1121;1020;1080;996;436.0;394.0;280;133.0;;;;;;;;;;;;;25.0;67.0;;;;9.0;;;;;;;46.0;;;30.0;;10.0;;14.0;;;;;;;;;;;10454
Dalfsen-G0148;21;29;1501;3883;971;708;748;924;237;1491.0;197.0;301;352.0;;;;;;;;;;527.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9370
Dantumadiel-G1891;17;13;390;2083;221;871;786;784;165;1515.0;129.0;122;;;842.0;;;;;;;;;;;;;;;;14.0;;;;;;;;;;;;;;;;;15.0;;;;;;3.0;;6917
De Bilt-G0310;38;46;4167;2281;3629;1504;1732;1827;1564;706.0;864.0;472;889.0;;;;;;;;;;;;;;;;;;23.0;;;;94.0;;35.0;;;;;;16.0;;;;;;;;;;;;;12619
De Friese Meren-G1921;29;57;3053;5163;1530;1758;1792;2673;550;1034.0;487.0;541;;;2707.0;;;;;;;;;;;;;;;;34.0;;;;;;;;;;;;;;;;;80.0;;;;;;12.0;;17971
De Marne-G1663;18;15;466;781;202;377;677;548;284;491.0;218.0;83;;;;;216.0;;;;;;;;;;;;;;;;79.0;;;;;7.0;35.0;;;24.0;;8.0;;7.0;;;;;;;6.0;;3.0;3531
De Ronde Venen-G0736;44;56;4495;3386;2451;1956;960;1185;694;611.0;601.0;864;397.0;;;;;;;;;;;;;;;;;;25.0;;;;240.0;;55.0;;;;;;21.0;;;;;;;;;;;;;14534
De Wolden-G1690;30;18;2386;1887;1045;849;738;1139;527;548.0;;334;71.0;;;;;;;;;;;839.0;;;;;;;;;;;;122.0;;;;;;;;;;;;;;;;;;;;8134
Delft-G0503;118;276;5408;3239;7714;3867;3741;4927;3558;1311.0;1668.0;1135;305.0;;;;;;;;;;;;155.0;;;92.0;;;99.0;;;;;;64.0;;;;;;22.0;;;;;;;;;;;;;36882
Delfzijl-G0010;28;34;810;1039;458;928;1376;976;194;780.0;261.0;202;;;;;1366.0;;;;;;;;;;;;;;;;178.0;;;;;13.0;469.0;;;167.0;;32.0;;38.0;;;;;;;16.0;;18.0;10737
Den Helder-G0400;55;48;2965;1952;1476;3043;1688;1734;384;;593.0;1102;;961.0;;588.0;;;530.0;129.0;;;;;;;;;;;;160.0;;31.0;;;;;;;;;;;;;;;;;;;;;;27276
Deurne-G0762;34;42;1960;2505;1059;1360;1683;659;409;;287.0;649;;84.0;;;;111.0;;;;;;;;;;;;;20.0;;;;;;;;;;;;;;;;;;;13.0;5.0;;;;;14090
Deventer-G0150;99;105;4959;4030;5782;2889;4426;6406;2786;1235.0;1337.0;1342;157.0;;;;;;;;;;586.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37647
Diemen-G0384;43;34;1363;562;1264;1148;1109;1162;712;;458.0;449;;191.0;;118.0;;;79.0;108.0;;;;;;;;;;;;69.0;;19.0;;;;;;;;;;;;;;;;;;;;;;10789
Dinkelland-G1774;26;11;1691;4964;867;1017;575;532;205;68.0;137.0;189;23.0;;;;;;;;;;117.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9588
Doesburg-G0221;9;6;617;573;598;528;759;559;213;103.0;157.0;113;12.0;;;;;;;;;;;;;64.0;27.0;;;;3.0;;;;;;;17.0;;;8.0;;5.0;;16.0;;;;;;;3.0;;;;4546
