RegioNaam;@invalid;@blank;KVP;PvdA;VVD;ARP;CHU;Communistische Partij van Nederland;SGP;Gereformeerd Politiek Verbond (GPV);Protestants Christelijke Groep;Pacifistisch-Socialistische Partij (PSP);Samenwerkende Christelijke Groepering;Boeren Partij;Wereldburgers;Lijst Voogd;@abs
Grootegast-G0015;71;0;11;851;354;2371;460;53;0;200;0;0;0;0;0;0.0;257.0
Grubbenvorst-G0912;13;0;1705;32;0;0;0;0;0;0;0;0;3;0;0;0.0;26.0
Gulpen-G0913;85;0;1730;128;0;0;0;6;0;0;0;0;20;0;0;0.0;60.0
Haaften-G0242;26;0;8;650;48;204;401;7;191;4;0;0;0;6;0;0.0;112.0
Haaksbergen-G0158;77;0;4768;1182;643;53;84;44;4;6;0;0;0;0;0;0.0;163.0
Haamstede-G1068;21;0;14;257;211;208;254;0;82;5;0;0;0;0;0;0.0;94.0
Haaren-G0788;14;0;1441;36;2;0;0;0;0;0;2;0;0;0;0;0.0;37.0
Haarlem-G0392;3718;0;25976;32084;13859;6662;4950;5602;418;295;0;3464;0;0;0;0.0;5827.0
Haarlemmerliede en Spaarnwoude-G0393;58;0;1162;308;313;147;109;82;21;4;0;17;0;0;0;0.0;111.0
Haarlemmermeer-G0394;556;0;5152;5200;2261;3775;3175;834;382;201;0;422;0;0;0;0.0;1125.0
Haastrecht-G0521;22;0;540;324;215;181;67;4;54;5;0;0;0;0;0;8.0;48.0
Haelen-G0914;37;0;1580;46;0;0;0;0;0;0;0;0;14;0;0;0.0;77.0
Hagestein-G0522;8;0;173;48;38;30;102;1;109;0;0;0;0;0;0;0.0;23.0
Halsteren-G0789;241;0;3205;531;111;0;0;31;13;0;168;0;0;0;0;0.0;222.0
Haps-G0790;9;0;985;10;2;0;0;0;0;0;1;0;0;0;0;0.0;66.0
Hardenberg-G0160;111;0;1156;2257;652;2813;2405;38;24;1152;0;0;0;0;0;0.0;531.0
Harderwijk-G0243;139;0;557;1512;738;1613;2677;35;644;55;0;0;0;0;0;0.0;555.0
Hardinxveld-G1070;157;0;50;2021;531;1048;638;109;1421;188;0;0;0;0;0;0.0;968.0
Haren-G0017;214;0;208;2090;2097;1258;987;145;0;201;0;0;0;0;0;0.0;577.0
Harenkarspel-G0395;10;0;1395;294;102;84;10;21;3;4;0;20;0;0;0;0.0;90.0
Harlingen-G0072;108;0;851;2628;651;603;884;198;12;224;0;0;0;0;0;0.0;486.0
Harmelen-G0318;24;0;723;154;78;246;299;2;89;5;0;0;0;0;3;0.0;66.0
Haskerland-G0073;168;0;702;2315;492;675;1452;99;17;19;0;0;0;0;0;0.0;456.0
Hasselt-G0161;18;0;56;280;65;381;346;5;57;101;0;0;0;0;0;0.0;140.0
Hattem-G0244;75;0;144;1407;419;526;927;85;38;235;0;0;0;0;0;0.0;175.0
Havelte-G0117;99;0;29;1308;736;144;218;13;0;7;0;0;0;0;0;0.0;137.0
Hazerswoude-G0524;37;0;1178;200;94;698;528;14;162;1;0;0;0;0;0;2.0;98.0
Hedel-G0245;26;0;527;180;27;59;268;0;171;0;0;0;0;0;0;0.0;95.0
Heel en Panheel-G0915;23;0;1443;16;0;0;0;0;0;0;0;0;8;0;0;0.0;87.0
Heemskerk-G0396;66;0;2667;570;131;64;173;71;3;5;0;19;0;0;0;0.0;136.0
Heemstede-G0397;396;0;4475;2251;4201;1379;877;180;41;36;0;353;0;0;0;0.0;1247.0
Heenvliet-G0525;33;0;6;296;199;58;44;68;18;2;0;0;0;0;0;0.0;72.0
Heer-G0916;312;0;3048;761;0;0;0;31;0;0;0;0;83;0;0;0.0;209.0
Heerde-G0246;131;0;82;2391;643;1125;2106;14;134;196;0;0;0;0;0;0.0;290.0
Heerenveen-G0074;549;0;479;6114;2048;1581;1303;1643;27;100;0;0;0;0;0;0.0;1204.0
Heerewaarden-G0247;23;0;28;448;69;12;36;0;7;0;0;0;0;0;0;0.0;60.0
Heerhugowaard-G0398;29;0;2113;376;151;170;57;16;1;1;0;11;0;0;0;0.0;83.0
Heerjansdam-G0526;18;0;5;244;76;180;285;8;59;2;0;0;0;0;0;0.0;53.0
Heerlen-G0917;1411;0;24474;6308;0;0;0;1035;0;112;0;0;1819;0;0;0.0;1223.0
Heesch-G0791;27;0;2326;115;6;0;0;3;0;3;25;0;0;0;0;0.0;94.0
Heeswijk-G1072;4;0;1131;16;2;0;0;2;0;0;1;0;0;0;0;0.0;50.0
Heeze-G0793;75;0;2180;90;46;0;0;3;0;0;78;0;0;0;0;0.0;75.0
Hei- en Boeicop-G0527;7;0;1;47;26;139;48;0;143;0;0;0;0;0;0;0.0;44.0
Heiloo-G0399;115;0;2770;1612;1097;270;211;107;15;8;0;119;0;0;0;0.0;579.0
Heinenoord-G0528;28;0;19;364;175;247;203;9;163;0;0;0;0;0;0;0.0;91.0
Heinkenszand-G0672;11;0;572;91;35;124;278;0;43;0;0;0;0;0;0;0.0;70.0
Heino-G0162;18;0;939;287;56;73;494;3;3;49;0;0;0;0;0;0.0;56.0
Hekelingen-G1074;7;0;5;346;140;56;43;7;38;0;0;0;0;0;0;0.0;46.0
Hekendorp-G1075;9;0;135;50;46;60;80;1;45;0;0;0;0;0;0;0.0;16.0
Helden-G0918;54;0;4407;56;0;0;0;6;0;0;0;0;16;0;0;0.0;130.0
Hellendoorn-G0163;141;0;2785;2399;396;2124;4005;58;153;123;0;0;0;0;0;0.0;392.0
Hellevoetsluis-G0530;27;0;101;662;187;96;99;26;28;4;0;0;0;0;0;0.0;83.0
Helmond-G0794;958;0;14899;3874;571;0;0;456;0;0;355;0;0;0;0;0.0;752.0
Helvoirt-G0795;30;0;1330;48;32;0;0;1;2;0;53;0;0;0;0;0.0;76.0
Hemelumer Oldeferd-G0075;28;0;98;454;133;549;1341;5;27;8;0;0;0;0;0;0.0;54.0
Hendrik-Ido-Ambacht-G0531;79;0;40;1163;300;773;565;19;752;18;0;0;0;0;0;0.0;161.0
Hengelo-G0164;910;0;11628;11815;3738;1612;2049;1188;65;143;0;0;0;0;0;0.0;1372.0
Hengelo-G0248;52;0;1296;677;224;644;512;9;39;1;0;0;0;0;0;0.0;162.0
Hennaarderadeel-G0076;25;0;130;522;243;542;1071;4;4;4;0;0;0;0;0;0.0;170.0
Hensbroek-G0401;8;0;296;152;61;3;3;17;1;0;0;3;0;0;0;0.0;18.0
Herkingen-G1078;7;0;7;61;16;110;29;3;278;0;0;0;0;0;0;0.0;85.0
Herten-G0919;37;0;974;50;0;0;0;0;0;0;0;0;14;0;0;0.0;86.0
Herwen en Aerdt-G0249;72;0;2595;341;71;86;170;16;4;4;0;0;0;0;0;0.0;198.0
Herwijnen-G0250;8;0;2;353;63;234;238;1;80;0;0;0;0;1;0;0.0;53.0
Het Bildt-G0063;85;0;25;1629;677;1583;774;247;9;22;0;0;0;0;0;0.0;255.0
Heteren-G0251;34;0;1401;274;58;313;320;12;194;1;0;0;0;7;0;0.0;74.0
Heukelum-G0533;35;0;10;438;164;183;166;7;19;3;0;0;0;0;0;0.0;61.0
Heumen-G0252;33;0;1506;56;27;18;12;0;3;0;0;0;0;0;0;0.0;70.0
Heusden-G0797;54;0;1060;339;90;0;0;0;24;2;289;0;0;0;0;0.0;82.0
Heythuysen-G0920;21;0;1676;37;0;0;0;0;0;0;0;0;5;0;0;0.0;38.0
Hillegom-G0534;117;0;3879;1257;448;638;892;64;76;11;0;0;0;0;0;0.0;464.0
Hilvarenbeek-G0798;54;0;2453;169;23;0;0;4;5;0;104;0;0;0;0;0.0;96.0
Hilversum-G0402;1974;0;12010;15736;10755;5558;5167;2193;810;162;0;1435;0;0;0;0.0;3634.0
Hindeloopen-G0077;8;0;7;215;13;73;131;8;0;3;0;0;0;0;0;0.0;22.0
Hoedekenskerke-G0673;19;0;498;102;19;49;146;3;99;0;0;0;0;0;0;0.0;28.0
Hoek-G0674;33;0;37;470;187;139;318;2;233;71;0;0;0;0;0;0.0;118.0
Hoenkoop-G0319;2;0;190;34;23;68;43;0;9;0;0;0;0;0;0;0.0;12.0
Hoensbroek-G0921;441;0;6811;2088;0;0;0;480;0;39;0;0;328;0;0;0.0;394.0
Hoevelaken-G0253;31;0;43;280;43;94;386;5;148;5;0;0;0;2;0;0.0;63.0
Hoeven-G0799;89;0;2195;94;8;0;0;7;3;0;12;0;0;0;0;0.0;159.0
Holten-G0165;53;0;67;788;812;412;1037;14;19;5;0;0;0;0;0;0.0;146.0
Hontenisse-G0675;73;0;2622;139;29;12;97;5;5;10;0;0;0;0;0;0.0;223.0
Hoofdplaat-G0676;21;0;498;46;10;12;63;1;4;0;0;0;0;0;0;0.0;18.0
Hoogblokland-G0535;10;0;9;156;137;178;7;3;35;0;0;0;0;0;0;0.0;17.0
Hooge en Lage Mierde-G0801;4;0;1194;10;4;0;0;2;0;0;11;0;0;0;0;0.0;34.0
Hooge en Lage Zwaluwe-G0802;22;0;1298;308;74;0;0;0;23;0;736;0;0;0;0;0.0;116.0
Hoogeloon, Hapert en Casteren-G0800;20;0;1782;22;1;0;0;1;0;1;40;0;0;0;0;0.0;55.0
Hoogeveen-G0118;817;0;198;2695;630;4455;2556;465;0;252;0;0;0;0;0;0.0;676.0
Hoogezand-Sappemeer-G0018;967;0;1054;6162;1900;906;596;1266;0;112;0;0;0;0;0;0.0;809.0
Hoogkarspel-G0403;19;0;987;231;88;7;8;12;0;0;0;12;0;0;0;0.0;
Hoogkerk-G1084;65;0;70;992;293;521;249;92;0;279;0;0;0;0;0;0.0;109.0
Hoogland-G0320;36;0;1711;161;31;65;225;3;66;13;0;0;0;0;2;0.0;70.0
Hoogwoud-G0404;7;0;748;368;162;6;11;25;3;0;0;31;0;0;0;0.0;42.0
Hoorn-G0405;252;0;2899;3098;1084;377;288;260;16;14;0;230;0;0;0;0.0;475.0
Hoornaar-G0536;4;0;3;151;94;201;11;4;29;0;0;0;0;0;0;0.0;23.0
Horn-G0922;29;0;1269;53;0;0;0;0;0;0;0;0;11;0;0;0.0;68.0
Horssen-G0254;6;0;525;7;5;2;49;0;4;0;0;0;0;0;0;0.0;10.0
Horst-G0923;68;0;5434;69;0;0;0;0;0;0;0;0;21;0;0;0.0;89.0
