RegioNaam;@invalid;@blank;KVP;PvdA;VVD;ARP;CHU;Communistische Partij van Nederland;SGP;Gereformeerd Politiek Verbond (GPV);Protestants Christelijke Groep;Pacifistisch-Socialistische Partij (PSP);Samenwerkende Christelijke Groepering;Boeren Partij;Wereldburgers;Lijst Voogd;@abs
Maarn-G0332;41;0;160;463;306;198;363;21;154;1;0;0;0;0;17;0.0;112.0
Maarssen-G0333;138;0;1381;1453;432;878;1264;73;151;12;0;0;0;0;27;0.0;292.0
Maartensdijk-G0334;80;0;257;791;473;662;562;32;504;22;0;0;0;0;26;0.0;275.0
Maasbracht-G0933;37;0;1766;63;0;0;0;0;0;0;0;0;220;0;0;0.0;558.0
Maasbree-G0934;41;0;3007;36;0;0;0;1;0;0;0;0;10;0;0;0.0;84.0
Maasdam-G0554;27;0;4;362;164;147;202;3;125;1;0;0;0;0;0;0.0;72.0
Maasdriel-G0263;58;0;2364;155;21;31;204;0;19;0;0;0;0;0;0;0.0;157.0
Maasland-G0555;16;0;367;70;79;733;715;4;26;10;0;0;0;0;0;0.0;53.0
Maasniel-G1110;156;0;3011;296;0;0;0;0;0;0;0;0;97;0;0;0.0;143.0
Maassluis-G0556;126;0;467;2113;390;1794;1381;62;181;35;0;0;0;0;0;;378.0
Maastricht-G0935;2355;0;30901;11851;0;0;0;743;0;182;0;0;1016;0;0;0.0;3015.0
Made en Drimmelen-G0812;113;0;2792;216;57;0;0;0;24;4;176;0;0;0;0;0.0;260.0
Margraten-G0936;20;0;877;12;0;0;0;2;0;0;0;0;1;0;0;0.0;39.0
Markelo-G0169;91;0;200;1165;1048;373;607;18;26;4;0;0;0;0;0;0.0;247.0
Marken-G0419;4;0;2;113;16;294;410;2;4;0;0;6;0;0;0;0.0;32.0
Marum-G0025;97;0;14;1410;829;1080;188;116;0;39;0;0;0;0;0;0.0;238.0
Maurik-G0264;49;0;150;1184;355;211;565;20;80;3;0;0;0;24;0;0.0;179.0
Medemblik-G0420;30;0;1021;648;125;196;170;85;10;5;0;19;0;0;0;0.0;145.0
Meeden-G0026;52;0;2;540;129;250;44;45;0;26;0;0;0;0;0;0.0;42.0
Meerkerk-G0557;15;0;9;335;197;365;99;5;131;1;0;0;0;0;0;0.0;63.0
Meerlo-G0937;8;0;1485;15;0;0;0;0;0;0;0;0;6;0;0;0.0;28.0
Meerssen-G0938;158;0;3571;390;0;0;0;22;0;10;0;0;37;0;0;0.0;64.0
Megen, Haren en Macharen-G0813;12;0;1037;54;4;0;0;0;0;0;1;0;0;0;0;0.0;19.0
Meijel-G0941;29;0;1555;26;0;0;0;0;0;0;0;0;4;0;0;0.0;34.0
Melick en Herkenbosch-G0939;57;0;1511;82;0;0;0;0;0;0;0;0;18;0;0;0.0;49.0
Meliskerke-G1112;0;0;1;2;3;124;35;0;207;2;0;0;0;0;0;0.0;27.0
Melissant-G1113;23;0;27;277;60;171;159;5;325;5;0;0;0;0;0;0.0;97.0
Menaldumadeel-G0083;88;0;301;2597;806;1325;812;78;11;14;0;0;0;0;0;0.0;248.0
Meppel-G0119;323;0;337;3886;1409;1449;1969;85;0;91;0;0;0;0;0;0.0;588.0
Merkelbeek-G0940;17;0;825;25;0;0;0;2;0;1;0;0;7;0;0;0.0;39.0
Mheer-G0942;11;0;561;16;0;0;0;3;0;0;0;0;2;0;0;0.0;43.0
Middelburg-G0687;381;0;1029;4711;1455;2326;1987;89;843;68;0;0;0;0;0;0.0;932.0
Middelharnis-G0559;37;0;102;796;392;653;171;8;637;11;0;0;0;0;0;0.0;291.0
Middelie-G0421;10;0;6;192;89;8;11;5;0;0;0;5;0;0;0;0.0;16.0
Middelstum-G0027;11;0;9;363;158;757;103;22;0;113;0;0;0;0;0;0.0;41.0
Midwolda-G0028;64;0;8;823;217;706;629;135;0;10;0;0;0;0;0;0.0;121.0
Midwoud-G0422;10;0;32;386;209;2;7;16;2;0;0;20;0;0;0;0.0;27.0
Mierlo-G0814;126;0;3477;328;34;0;0;51;0;0;37;0;0;0;0;0.0;106.0
Mijdrecht-G0336;48;0;1381;457;112;555;549;19;133;25;0;0;0;0;8;0.0;133.0
Mijnsheerenland-G0564;14;0;5;246;183;344;198;1;84;1;0;0;0;0;0;0.0;80.0
Mill en Sint Hubert-G0815;61;0;3247;87;21;0;0;0;0;0;16;0;0;0;0;0.0;134.0
Millingen aan de Rijn-G0265;110;0;1600;210;10;8;4;0;3;0;0;0;0;0;0;0.0;200.0
Moergestel-G0816;27;0;1670;34;4;0;0;0;0;0;6;0;0;0;0;0.0;27.0
Moerkapelle-G0560;3;0;3;154;40;180;86;4;127;1;0;0;0;0;0;0.0;33.0
Molenaarsgraaf-G0561;6;0;2;55;33;111;28;0;107;3;0;0;0;0;0;0.0;20.0
Monnickendam-G0423;24;0;431;415;151;165;460;58;0;1;0;37;0;0;0;0.0;81.0
Monster-G0562;63;0;3513;937;451;947;621;29;715;84;0;0;0;0;0;0.0;239.0
Montfoort-G0335;11;0;914;110;33;75;106;4;66;1;0;0;0;0;0;0.0;43.0
Montfort-G0943;48;0;1015;48;0;0;0;0;0;0;0;0;9;0;0;0.0;25.0
Mook en Middelaar-G0944;47;0;1221;76;0;0;0;0;0;0;0;0;51;0;0;0.0;60.0
Moordrecht-G0563;46;0;211;662;245;332;84;14;239;1;0;0;0;0;0;7.0;92.0
Muiden-G0424;39;0;419;586;209;289;522;48;27;3;0;18;0;0;0;0.0;99.0
Munstergeleen-G0945;39;0;1053;87;0;0;0;4;0;3;0;0;16;0;0;0.0;36.0
Muntendam-G0029;83;0;34;1222;224;128;173;210;0;8;0;0;0;0;0;0.0;128.0
Naaldwijk-G0565;80;0;3142;1370;919;1811;1358;31;166;7;0;0;0;0;0;0.0;305.0
Naarden-G0425;252;0;1550;1840;2547;836;517;101;88;22;0;122;0;0;0;0.0;494.0
Nederhorst den Berg-G0426;30;0;513;253;39;246;304;79;5;8;0;19;0;0;0;0.0;60.0
Nederweert-G0946;134;0;4365;72;0;0;0;0;0;0;0;0;12;0;0;0.0;94.0
Neede-G0266;94;0;954;2159;618;330;339;39;6;52;0;0;0;30;0;0.0;185.0
Neer-G0947;26;0;1282;19;0;0;0;0;0;0;0;0;6;0;0;0.0;30.0
Nibbixwoud-G0427;4;0;584;150;115;6;8;7;0;0;0;2;0;0;0;0.0;15.0
Nieuw- en Sint Joosland-G1117;14;0;5;190;62;92;229;3;94;0;0;0;0;0;0;0.0;50.0
Nieuw-Beijerland-G0566;17;0;8;345;86;100;43;3;294;0;0;0;0;0;0;0.0;124.0
Nieuwe Niedorp-G0428;19;0;273;360;190;13;12;43;0;1;0;160;0;0;0;0.0;58.0
Nieuwe Pekela-G0030;102;0;227;1024;305;562;442;328;0;6;0;0;0;0;0;0.0;269.0
Nieuwe Tonge-G1119;30;0;8;432;86;223;31;5;343;2;0;0;0;0;0;0.0;103.0
Nieuwenhagen-G0948;217;0;2749;692;0;0;0;106;0;10;0;0;71;0;0;0.0;138.0
Nieuwenhoorn-G1121;26;0;19;569;285;47;53;26;4;0;0;0;0;0;0;0.0;76.0
Nieuwer-Amstel-G1249;430;0;4681;3973;3982;2346;2252;321;75;115;0;286;0;0;0;0.0;925.0
Nieuwerkerk-G1122;7;0;15;231;111;189;116;0;235;1;0;0;0;0;0;0.0;78.0
Nieuwerkerk aan den IJssel-G0567;61;0;219;879;333;321;526;24;318;8;0;0;0;0;0;8.0;175.0
Nieuweschans-G0031;69;0;14;466;143;48;52;294;0;5;0;0;0;0;0;0.0;65.0
Nieuw-Ginneken-G0817;62;0;2936;191;84;0;0;10;3;0;46;0;0;0;0;0.0;135.0
Nieuw-Helvoet-G1118;35;0;26;829;301;108;59;7;10;0;0;0;0;0;0;0.0;85.0
Nieuwkoop-G0569;32;0;1151;225;199;174;329;8;97;1;0;0;0;0;0;2.0;60.0
Nieuwland-G0570;4;0;0;84;56;118;22;1;58;3;0;0;0;0;0;0.0;25.0
Nieuw-Lekkerland-G0571;49;0;20;797;159;445;273;28;744;39;0;0;0;0;0;0.0;175.0
Nieuwleusen-G0170;53;0;12;415;354;367;1048;4;120;46;0;0;0;0;0;0.0;201.0
Nieuwolda-G0032;23;0;7;507;177;175;151;19;0;1;0;0;0;0;0;0.0;79.0
Nieuwpoort-G0572;7;0;4;128;68;142;32;2;77;4;0;0;0;0;0;0.0;39.0
Nieuwstadt-G0949;34;0;783;53;0;0;0;3;0;2;0;0;3;0;0;0.0;11.0
Nieuwveen-G0573;25;0;512;129;50;237;206;5;30;3;0;0;0;0;0;1.0;39.0
Nieuwvliet-G0690;9;0;4;121;102;7;49;3;2;0;0;0;0;0;0;0.0;23.0
Nieuw-Vossemeer-G0818;20;0;743;41;17;0;0;1;1;0;39;0;0;0;0;0.0;62.0
Nigtevecht-G0337;9;0;40;115;39;96;169;11;4;11;0;0;0;0;6;0.0;29.0
Nijeveen-G0121;15;0;0;151;182;247;309;0;0;2;0;0;0;0;0;0.0;57.0
Nijkerk-G0267;166;0;537;1611;246;1663;2663;26;520;54;0;0;0;0;0;0.0;357.0
Nijmegen-G0268;2282;0;40700;14016;3949;1335;2124;1158;184;123;0;0;0;0;0;0.0;3234.0
Nisse-G0691;7;0;67;76;18;33;96;1;60;4;0;0;0;0;0;0.0;30.0
Nistelrode-G0819;16;0;1898;53;4;0;0;2;0;2;5;0;0;0;0;0.0;41.0
Noorbeek-G0950;3;0;443;4;0;0;0;0;0;0;0;0;4;0;0;0.0;14.0
Noordbroek-G1126;76;0;19;603;273;19;58;124;0;7;0;0;0;0;0;0.0;86.0
Noorddijk-G1127;96;0;28;706;420;115;106;68;0;65;0;0;0;0;0;0.0;110.0
Noordeloos-G0574;5;0;1;126;108;283;45;1;115;3;0;0;0;0;0;0.0;39.0
Noordgouwe-G1128;22;0;7;193;96;58;83;0;30;2;0;0;0;0;0;0.0;24.0
Noordwelle-G1129;8;0;5;74;62;18;27;0;6;0;0;0;0;0;0;0.0;18.0
Noordwijk-G0575;208;0;3873;1348;646;963;1012;86;85;21;0;0;0;0;0;0.0;1245.0
Noordwijkerhout-G0576;51;0;3968;238;87;88;261;8;10;3;0;0;0;0;0;0.0;549.0
Nootdorp-G0577;18;0;925;106;62;74;147;2;13;6;0;0;0;0;0;0.0;41.0
Norg-G0120;106;0;58;1106;789;380;262;18;0;27;0;0;0;0;0;0.0;171.0
Nuenen, Gerwen en Nederwetten-G0820;77;0;2624;242;57;0;0;12;0;0;105;0;0;0;0;0.0;94.0
Nuland-G0821;10;0;1124;24;4;0;0;1;0;1;0;0;0;0;0;0.0;49.0
Numansdorp-G0578;39;0;10;1051;267;518;400;17;325;3;0;0;0;0;0;0.0;119.0
Nuth-G0951;71;0;2552;316;0;0;0;22;0;5;0;0;24;0;0;0.0;64.0
Obbicht en Papenhoven-G0952;37;0;865;69;0;0;0;0;0;0;0;0;14;0;0;0.0;27.0
Obdam-G0429;1;0;1095;72;38;3;4;1;0;0;0;1;0;0;0;0.0;33.0
Odijk-G1131;1;0;194;44;10;8;71;0;20;0;0;0;0;0;2;0.0;18.0
Odoorn-G0122;424;0;329;2903;1303;547;832;315;0;94;0;0;0;0;0;0.0;318.0
Oeffelt-G0822;10;0;775;21;5;0;0;0;0;0;3;0;0;0;0;0.0;48.0
Oegstgeest-G0579;109;0;1497;1048;1684;967;1133;40;115;46;0;0;0;0;0;0.0;972.0
Ohé en Laak-G0953;6;0;333;10;0;0;0;0;0;0;0;0;2;0;0;0.0;17.0
Oirsbeek-G0954;48;0;1375;30;0;0;0;5;0;0;0;0;12;0;0;0.0;17.0
Oirschot-G0823;31;0;3506;108;34;0;0;5;4;2;41;0;0;0;0;0.0;182.0
Oisterwijk-G0824;167;0;4071;875;126;0;0;21;14;0;94;0;0;0;0;0.0;227.0
Oldebroek-G0269;189;0;267;1461;294;1514;1746;36;1068;390;0;0;0;0;0;0.0;454.0
Oldehove-G0035;16;0;5;336;170;476;101;6;0;127;0;0;0;0;0;0.0;42.0
Oldekerk-G0036;14;0;7;200;184;516;92;8;0;43;0;0;0;0;0;0.0;33.0
Oldemarkt-G0172;25;0;216;531;68;121;719;4;2;3;0;0;0;0;0;0.0;104.0
Oldenzaal-G0173;211;0;7700;1010;379;135;305;66;10;62;0;0;0;0;0;0.0;391.0
Olst-G0174;79;0;1106;1602;807;99;359;59;22;2;0;0;0;0;0;0.0;180.0
Ommen-G0175;60;0;589;836;431;1475;2379;13;40;349;0;0;0;0;0;0.0;329.0
Onstwedde-G1250;400;0;1401;3084;644;1993;2748;681;0;283;0;0;0;0;0;0.0;803.0
Ooltgensplaat-G1133;23;0;273;432;91;239;247;8;247;4;0;0;0;0;0;0.0;171.0
Oost- en West-Souburg-G1135;86;0;201;1540;199;774;847;35;183;17;0;0;0;0;0;0.0;198.0
Oost-, West- en Middelbeers-G0825;8;0;1101;20;6;0;0;1;1;2;5;0;0;0;0;0.0;35.0
Oostburg-G0692;63;0;703;639;363;180;159;6;38;14;0;0;0;0;0;0.0;140.0
Oostdongeradeel-G0084;44;0;12;353;202;2405;1118;9;12;6;0;0;0;0;0;0.0;167.0
Oosterhesselen-G0123;72;0;2;740;402;455;190;47;0;65;0;0;0;0;0;0.0;76.0
Oosterhout-G0826;394;0;10101;1074;142;0;0;0;22;14;144;0;0;0;0;0.0;204.0
Oosterland-G1136;7;0;8;249;133;61;187;0;341;6;0;0;0;0;0;0.0;116.0
Oosthuizen-G0430;10;0;57;366;143;11;27;17;0;1;0;10;0;0;0;0.0;17.0
Oostkapelle-G1137;18;0;10;138;90;279;274;1;141;13;0;0;0;0;0;0.0;70.0
Ooststellingwerf-G0085;585;0;102;4333;1134;1600;1268;630;12;107;0;0;0;0;0;0.0;590.0
Oostvoorne-G0581;84;0;82;1293;761;178;192;110;24;2;0;0;0;0;0;0.0;158.0
Oostzaan-G0431;71;0;66;1195;439;182;197;569;47;6;0;60;0;0;0;0.0;183.0
Ootmarsum-G0176;10;0;1048;72;21;6;46;0;1;0;0;0;0;0;0;0.0;37.0
Ophemert-G0270;17;0;11;319;126;59;166;6;29;2;0;0;0;11;0;0.0;71.0
Oploo, Sint Anthonis en Ledeacker-G0827;23;0;2413;22;13;0;0;0;0;0;18;0;0;0;0;0.0;96.0
Opmeer-G0432;1;0;234;93;32;8;8;3;0;0;0;1;0;0;0;0.0;5.0
Opperdoes-G0433;11;0;2;84;38;345;127;2;52;2;0;4;0;0;0;0.0;27.0
Opsterland-G0086;530;0;86;5061;1443;1960;912;832;19;343;0;0;0;0;0;0.0;963.0
Oss-G0828;509;0;10129;2579;489;0;0;0;0;0;286;0;0;0;0;0.0;625.0
Ossendrecht-G0829;131;0;1493;391;63;0;0;7;7;0;91;0;0;0;0;0.0;141.0
Oterleek-G0434;11;0;48;267;117;16;12;11;1;0;0;9;0;0;0;0.0;39.0
Ottersum-G0955;39;0;1443;43;0;0;0;0;0;0;0;0;18;0;0;0.0;81.0
Ottoland-G0582;4;0;1;34;26;184;61;1;40;1;0;0;0;0;0;0.0;21.0
Oud- en Nieuw-Gastel-G0831;134;0;3477;210;22;0;0;9;1;0;62;0;0;0;0;0.0;154.0
Oud-Alblas-G0583;16;0;1;132;35;231;107;2;196;2;0;0;0;0;0;0.0;63.0
Oud-Beijerland-G0584;58;0;150;1232;403;1058;340;13;732;2;0;0;0;0;0;0.0;382.0
Ouddorp-G1142;19;0;4;268;146;452;119;5;1134;3;0;0;0;0;0;0.0;380.0
Oude Niedorp-G0436;10;0;604;106;45;14;5;6;1;0;0;5;0;0;0;0.0;20.0
Oude Pekela-G0038;179;0;303;1861;347;357;322;803;0;17;0;0;0;0;0;0.0;341.0
Oude Tonge-G1143;20;0;354;489;162;151;68;6;263;0;0;0;0;0;0;0.0;124.0
Oudelande-G0695;12;0;53;115;52;79;142;3;21;1;0;0;0;0;0;0.0;23.0
Oudenbosch-G0830;128;0;3303;251;58;0;0;0;4;4;103;0;0;0;0;0.0;154.0
Oudendijk-G0435;6;0;8;177;44;10;2;14;0;0;0;6;0;0;0;0.0;12.0
Oudenhoorn-G0586;19;0;1;283;136;36;56;11;10;0;0;0;0;0;0;0.0;32.0
Ouder-Amstel-G0437;65;0;1450;671;376;384;600;59;30;4;0;42;0;0;0;0.0;139.0
Ouderkerk aan den IJssel-G0587;28;0;6;464;271;436;74;8;781;2;0;0;0;0;0;10.0;262.0
Oudewater-G0589;23;0;1097;274;96;239;256;7;86;2;0;0;0;0;0;2.0;84.0
Oudorp-G0438;15;0;618;306;91;49;37;26;1;1;0;16;0;0;0;0.0;63.0
Oud-Vossemeer-G0696;26;0;325;172;98;188;279;0;125;0;0;0;0;0;0;0.0;64.0
Ouwerkerk-G1148;5;0;3;161;55;21;24;0;19;0;0;0;0;0;0;0.0;26.0
Overasselt-G0271;8;0;1314;22;6;1;20;0;2;0;0;0;0;0;0;0.0;35.0
Overslag-G0697;8;0;96;16;1;0;7;0;3;1;0;0;0;0;0;0.0;6.0
Ovezande-G0698;10;0;633;28;18;7;98;1;2;0;0;0;0;0;0;0.0;4.0
Pannerden-G0272;14;0;801;21;3;0;6;2;0;0;0;0;0;0;0;0.0;50.0
Papekop-G1151;0;0;93;11;6;48;54;0;14;0;0;0;0;0;0;0.0;5.0
Papendrecht-G0590;117;0;142;1727;315;1014;384;84;505;16;0;0;0;0;0;0.0;354.0
Peize-G0124;131;0;13;801;521;57;78;48;0;3;0;0;0;0;0;0.0;129.0
Philippine-G0699;24;0;463;73;9;10;20;2;7;0;0;0;0;0;0;0.0;33.0
Piershil-G0591;4;0;0;178;68;66;62;4;119;0;0;0;0;0;0;0.0;51.0
Pijnacker-G0594;72;0;1629;686;374;444;1237;22;284;36;0;0;0;0;0;3.0;177.0
Polsbroek-G0338;10;0;101;59;46;149;76;1;80;0;0;0;0;0;0;0.0;22.0
Poortugal-G0592;37;0;137;724;256;315;271;27;70;8;0;0;0;0;0;0.0;587.0
Poortvliet-G0700;25;0;4;148;30;106;219;0;348;0;0;0;0;0;0;0.0;86.0
Posterholt-G0956;36;0;1361;65;0;0;0;0;0;0;0;0;7;0;0;0.0;94.0
Prinsenbeek-G0832;55;0;2048;108;16;0;0;2;1;0;0;0;0;0;0;0.0;55.0
Purmerend-G0439;90;0;1416;1698;734;238;179;401;10;4;0;111;0;0;0;0.0;298.0
Putte-G0833;78;0;677;160;18;0;0;11;7;0;33;0;0;0;0;0.0;58.0
Putten-G0273;200;0;135;1048;318;780;2850;74;725;26;0;0;0;0;0;0.0;364.0
Puttershoek-G0593;39;0;49;712;210;217;211;12;147;0;0;0;0;0;0;0.0;168.0
Raalte-G0177;55;0;5303;630;128;72;985;6;5;2;0;0;0;0;0;0.0;221.0
Raamsdonk-G0834;149;0;2846;304;74;0;0;0;69;8;658;0;0;0;0;0.0;507.0
Rauwerderhem-G0087;27;0;201;692;227;153;116;9;0;6;0;0;0;0;0;0.0;81.0
Ravenstein-G0835;43;0;2681;142;14;0;0;0;0;0;20;0;0;0;0;0.0;112.0
Reeuwijk-G0595;67;0;848;694;391;469;193;37;206;8;0;0;0;0;0;14.0;129.0
Renesse-G1159;10;0;10;198;194;44;111;0;25;1;0;0;0;0;0;0.0;62.0
Renkum-G0274;438;0;3409;3871;2534;2331;2198;163;349;52;0;0;0;54;0;0.0;1384.0
Renswoude-G0339;28;0;42;223;78;232;496;8;153;4;0;0;0;0;1;0.0;76.0
Retranchement-G0701;9;0;5;182;98;23;46;3;1;1;0;0;0;0;0;0.0;19.0
Reusel-G0836;12;0;1809;19;2;0;0;1;1;1;1;0;0;0;0;0.0;8.0
Rheden-G0275;600;0;3745;7860;3031;1844;3531;261;96;55;0;0;0;0;0;0.0;1086.0
Rhenen-G0340;189;0;258;2507;523;541;1462;40;886;16;0;0;0;0;32;0.0;380.0
Rhoon-G0596;52;0;309;483;359;402;697;16;91;1;0;0;0;0;0;0.0;130.0
Ridderkerk-G0597;300;0;332;4265;1006;2784;2194;169;1988;75;0;0;0;0;0;0.0;711.0
Riethoven-G0837;0;0;526;4;1;0;0;0;1;1;0;0;0;0;0;0.0;9.0
Rietveld-G1160;11;0;85;37;26;48;101;4;26;0;0;0;0;0;0;3.0;28.0
Rijnsaterwoude-G0601;2;0;161;55;16;56;64;0;38;0;0;0;0;0;0;1.0;25.0
Rijnsburg-G0602;48;0;89;304;46;1433;931;4;123;107;0;0;0;0;0;0.0;84.0
Rijsbergen-G0841;40;0;1685;34;7;0;0;4;0;0;27;0;0;0;0;0.0;72.0
Rijssen-G0178;102;0;776;1279;213;1265;578;25;2926;26;0;0;0;0;0;0.0;528.0
Rijswijk-G0603;434;0;5255;4348;4181;2181;1676;238;219;62;0;0;0;0;0;0.0;1099.0
Rijswijk (NB)-G0842;6;0;2;94;10;0;0;0;7;0;307;0;0;0;0;0.0;32.0
Rilland-Bath-G0702;20;0;169;388;128;122;394;5;171;3;0;0;0;0;0;0.0;59.0
Ritthem-G1163;2;0;0;44;13;51;163;0;34;0;0;0;0;0;0;0.0;24.0
Rockanje-G0598;112;0;12;708;593;264;97;118;10;0;0;0;0;0;0;0.0;253.0
Roden-G0125;183;0;29;1644;925;630;369;117;0;66;0;0;0;0;0;0.0;251.0
Roermond-G0957;756;0;9795;1850;0;0;0;0;0;0;0;0;519;0;0;0.0;736.0
Roggel-G0958;37;0;1362;11;0;0;0;0;0;0;0;0;2;0;0;0.0;36.0
Rolde-G0126;89;0;26;947;970;78;77;15;0;9;0;0;0;0;0;0.0;32.0
Roosendaal en Nispen-G0838;910;0;14798;2594;349;0;0;113;39;0;535;0;0;0;0;0.0;968.0
Roosteren-G0959;18;0;600;18;0;0;0;0;0;0;0;0;5;0;0;0.0;33.0
Rosmalen-G0839;117;0;3572;239;37;0;0;15;0;2;40;0;0;0;0;0.0;144.0
Rossum-G0276;18;0;407;421;61;51;282;0;17;0;0;0;0;0;0;0.0;69.0
Rotterdam-G0599;20545;0;60235;178988;56966;37806;28534;26663;9283;2422;0;0;0;0;0;0.0;29200.0
Rozenburg-G0600;30;0;24;342;169;491;722;6;41;50;0;0;0;0;0;0.0;73.0
Rozendaal-G0277;11;0;69;127;155;54;97;2;4;2;0;0;0;0;0;0.0;50.0
Rucphen-G0840;237;0;6148;362;40;0;0;24;27;0;24;0;0;0;0;0.0;184.0
Ruinen-G0127;154;0;43;1188;1000;429;288;10;0;5;0;0;0;0;0;0.0;226.0
Ruinerwold-G0128;34;0;4;437;732;361;141;0;0;30;0;0;0;0;0;0.0;50.0
Ruurlo-G0278;94;0;732;895;795;176;178;4;5;1;0;0;0;138;0;0.0;158.0
Ruwiel-G1164;3;0;57;19;24;80;66;1;81;5;0;0;0;0;1;0.0;30.0
Sas van Gent-G0704;81;0;1071;633;299;22;46;17;14;1;0;0;0;0;0;0.0;119.0
Sassenheim-G0604;65;0;2118;495;289;986;558;11;53;9;0;0;0;0;0;0.0;182.0
Schaesberg-G0960;327;0;4806;1256;0;0;0;133;0;21;0;0;262;0;0;0.0;171.0
Schagen-G0441;61;0;681;953;666;85;81;86;1;3;0;61;0;0;0;0.0;171.0
Schaijk-G0843;25;0;1889;37;13;0;0;0;0;0;6;0;0;0;0;0.0;105.0
Schalkwijk-G1169;8;0;729;33;12;35;56;2;7;0;0;0;0;0;2;0.0;27.0
Scheemda-G0039;182;0;27;1783;474;645;712;405;0;17;0;0;0;0;0;0.0;248.0
Schellinkhout-G0442;10;0;17;144;115;7;11;1;0;0;0;7;0;0;0;0.0;18.0
Schelluinen-G0605;3;0;1;114;64;46;7;4;61;1;0;0;0;0;0;0.0;13.0
Schermerhorn-G0443;13;0;248;186;45;93;19;8;3;0;0;4;0;0;0;0.0;26.0
Scherpenisse-G0705;24;0;7;190;65;47;107;0;292;0;0;0;0;0;0;0.0;108.0
Scherpenzeel-G0279;27;0;23;396;111;217;507;4;128;2;0;0;0;13;0;0.0;77.0
Schiedam-G0606;1266;0;11283;16394;4024;3803;4206;1991;689;420;0;0;0;0;0;0.0;1917.0
Schiermonnikoog-G0088;6;0;11;144;71;128;48;2;1;4;0;0;0;0;0;0.0;56.0
Schijndel-G0844;115;0;5757;292;26;0;0;20;0;11;27;0;0;0;0;0.0;174.0
Schimmert-G0961;17;0;1150;23;0;0;0;0;0;0;0;0;4;0;0;0.0;21.0
Schinnen-G0962;65;0;2297;123;0;0;0;13;0;1;0;0;15;0;0;0.0;56.0
Schinveld-G0963;51;0;1819;111;0;0;0;18;0;5;0;0;29;0;0;0.0;64.0
Schipluiden-G0607;17;0;1603;121;51;420;467;5;48;3;0;0;0;0;0;0.0;55.0
Schoondijke-G0706;53;0;243;358;216;169;113;3;28;10;0;0;0;0;0;0.0;61.0
Schoonebeek-G0129;46;0;1062;587;179;446;660;13;0;3;0;0;0;0;0;0.0;108.0
Schoonhoven-G0608;81;0;572;1064;336;691;376;14;232;2;0;0;0;0;0;4.0;149.0
Schoonrewoerd-G0609;7;0;3;77;32;193;92;2;166;2;0;0;0;0;0;0.0;60.0
Schoorl-G0444;39;0;596;721;401;41;39;69;4;2;0;58;0;0;0;0.0;137.0
Serooskerke (Schouwen)-G1175;4;0;2;66;17;4;30;0;2;1;0;0;0;0;0;0.0;5.0
Serooskerke (Walcheren)-G1176;7;0;3;33;8;536;212;0;96;24;0;0;0;0;0;0.0;35.0
Sevenum-G0964;15;0;2051;13;0;0;0;0;0;0;0;0;2;0;0;0.0;69.0
's-Graveland-G0390;31;0;169;177;134;174;234;16;41;6;0;11;0;0;0;0.0;75.0
's-Gravendeel-G0517;45;0;19;1076;346;662;653;9;257;3;0;0;0;0;0;0.0;184.0
's-Gravenhage-G0518;14882;0;68654;114486;69321;35789;25194;15244;5313;1714;0;0;0;0;0;0.0;25287.0
's-Gravenmoer-G0787;15;0;26;69;31;0;0;0;16;7;611;0;0;0;0;0.0;57.0
's-Gravenpolder-G0666;10;0;63;69;23;103;218;5;265;0;0;0;0;0;0;0.0;56.0
's-Gravenzande-G0519;71;0;370;1204;647;1141;1309;23;352;9;0;0;0;0;0;0.0;119.0
's-Heer Abtskerke-G0669;2;0;36;15;25;6;129;1;16;0;0;0;0;0;0;0.0;19.0
's-Heer Arendskerke-G0670;51;0;535;349;118;583;801;4;161;8;0;0;0;0;0;0.0;117.0
's-Heerenhoek-G0671;21;0;691;29;6;10;15;1;0;1;0;0;0;0;0;0.0;22.0
's-Hertogenbosch-G0796;1148;0;23469;7012;1320;0;0;393;0;112;1363;0;0;0;0;0.0;2184.0
Sijbekarspel-G0447;9;0;321;238;159;5;7;3;0;1;0;3;0;0;0;0.0;24.0
Simpelveld-G0965;115;0;2154;126;0;0;0;14;0;0;0;0;11;0;0;0.0;49.0
Sint Annaland-G0708;47;0;14;317;113;234;97;0;653;0;0;0;0;0;0;0.0;247.0
Sint Geertruid-G0966;5;0;581;2;0;0;0;0;0;0;0;0;0;0;0;0.0;2.0
Sint Jansteen-G0709;133;0;1573;286;31;16;27;14;8;2;0;0;0;0;0;0.0;119.0
Sint Laurens-G1179;8;0;6;100;46;293;241;4;98;3;0;0;0;0;0;0.0;54.0
Sint Maarten-G0445;12;0;161;216;129;150;3;23;0;9;0;22;0;0;0;0.0;34.0
Sint Maartensdijk-G0711;38;0;15;613;133;86;167;0;413;0;0;0;0;0;0;0.0;211.0
Sint Odiliënberg-G0967;25;0;738;28;0;0;0;0;0;0;0;0;4;0;0;0.0;52.0
Sint Pancras-G0446;16;0;30;267;145;203;224;29;12;1;0;5;0;0;0;0.0;83.0
Sint Philipsland-G0712;13;0;3;142;51;148;204;0;667;0;0;0;0;0;0;0.0;134.0
Sint-Michielsgestel-G0845;93;0;3239;257;48;0;0;21;0;8;44;0;0;0;0;0.0;139.0
Sint-Oedenrode-G0846;79;0;4389;194;44;0;0;32;4;0;43;0;0;0;0;0.0;249.0
