div;seats;layout;orientation;ratio;cx;cy
S01;11;Regular;;;285.834;520.197
S02;8;Regular;;;328.545;396.445
S03;11;Regular;L;;443.536;434.775
S04;15;Regular;L;;361.256;695.421
S05;15;Regular;;;551.956;682.279
S06;13;Regular;;;655.995;440.251
S07;16;Regular;;;493.913;219.030
S08;12;Regular;;;255.170;191.651
