Code B.Vote;@abs;@blank;@null;EÉLV;LR;LREM;Respirations;LFI;PS;RN;LC;LO;UPR;G-Dalmais;G-Jouteux
836;709;0;16;109;55;61;41;22;46;20;10;7;2;;
837;1198;3;7;169;43;77;48;40;40;48;12;2;7;;
838;712;3;8;76;40;52;21;41;35;37;3;7;0;;
839;743;2;14;96;49;73;44;38;43;27;5;5;3;;
840;580;1;2;59;29;50;48;20;28;25;3;2;5;;
841;575;4;4;63;27;39;20;12;24;27;7;8;3;;
842;656;3;5;32;23;30;16;10;16;13;3;12;1;;
843;524;3;8;135;79;92;44;23;37;25;7;0;4;;
844;597;6;1;68;29;54;23;10;27;27;7;2;3;;
901;716;1;11;123;21;70;27;37;24;26;6;9;;;1
902;545;1;3;97;18;40;14;37;22;21;8;4;;;0
903;739;0;7;181;29;79;43;45;18;20;11;3;;;1
904;591;2;5;136;20;96;25;43;20;20;6;3;;;1
906;539;4;5;152;29;75;26;32;24;13;8;1;;;1
907;683;1;4;80;20;67;23;25;28;25;8;6;;;7
908;594;2;6;67;39;63;43;15;22;14;6;2;;;3
909;575;2;6;57;26;45;9;13;32;12;5;7;;;7
910;585;4;8;73;30;86;37;18;23;30;5;3;;;1
911;500;2;7;62;39;53;37;10;17;17;6;2;;;3
912;426;3;1;110;27;57;23;52;20;11;7;5;;;1
913;562;0;4;112;31;41;29;50;19;19;6;3;;;2
914;734;2;7;189;32;75;25;49;32;15;8;5;;;5
915;837;3;6;196;35;85;29;63;36;31;7;2;;;6
916;732;1;6;151;57;85;51;38;31;21;15;3;;;4
917;571;3;4;69;18;61;23;17;26;12;6;2;;;1
918;706;4;4;35;18;61;21;21;21;20;9;7;;;4
919;430;4;6;46;8;56;14;18;18;15;20;8;;;1
920;512;3;4;40;4;36;11;13;15;11;35;2;;;5
921;784;3;7;29;3;64;12;13;6;6;19;4;;;1
922;556;1;5;26;30;33;16;20;9;29;8;2;;;0
923;607;1;11;35;35;50;15;21;11;29;17;4;;;0
924;621;1;5;61;34;51;26;22;13;18;3;4;;;0
925;593;0;3;109;32;88;27;17;11;20;8;3;;;2
926;409;0;1;46;46;49;16;18;53;8;15;2;;;2
927;533;1;8;94;74;70;16;36;19;20;12;3;;;2
928;429;1;8;78;43;75;14;22;19;21;9;1;;;0
929;511;0;7;71;49;89;28;22;15;7;8;2;;;0
930;792;2;7;66;39;109;40;20;14;17;19;10;;;4
