;@abs;@blank;@invalid;EÉLV;UCD;Respirations
809;581;6;6;150;105;69
810;574;3;2;188;145;123
811;516;5;4;144;75;55
812;534;4;8;152;74;62
813;615;9;5;169;70;64
814;613;7;1;74;39;19
815;578;3;4;94;51;66
816;535;2;1;97;49;49
817;718;10;13;143;68;62
818;664;1;4;84;55;30
819;611;0;4;30;79;9
820;616;4;2;76;75;47
821;636;3;2;93;76;43
822;577;5;8;114;84;56
823;454;6;4;115;53;48
824;412;8;5;66;35;21
825;577;4;0;26;45;13
826;479;2;1;53;46;21
827;605;1;5;52;41;19
829;763;3;2;60;68;21
830;676;3;8;107;91;64
831;535;1;1;36;44;19
832;530;0;9;66;52;37
833;654;3;3;62;30;33
834;699;4;5;191;76;56
835;694;5;3;96;67;61
836;752;3;4;189;73;78
837;1257;5;6;260;96;83
838;757;1;4;141;67;64
839;786;5;7;193;90;57
840;619;2;3;106;53;70
841;619;2;1;101;63;29
842;682;5;6;52;37;43
843;505;4;4;226;126;115
844;624;2;2;124;49;55
901;757;5;7;216;91;
902;540;7;5;191;63;
903;758;10;5;300;104;
904;635;4;2;222;104;
906;558;11;7;258;78;
907;728;8;8;158;84;
908;582;11;8;159;118;
909;591;4;12;123;74;
910;611;12;9;132;148;
911;501;20;6;131;98;
912;400;7;7;211;115;
913;600;4;8;192;77;
914;754;6;5;327;91;
915;886;9;7;322;115;
916;754;20;7;272;141;
917;587;4;4;141;78;
918;699;5;4;110;114;
919;461;4;4;108;67;
920;553;1;4;79;64;
921;792;6;4;63;86;
922;570;5;4;75;83;
923;632;6;8;109;83;
924;617;6;7;136;93;
925;620;6;3;186;104;
926;386;6;9;149;118;
927;589;10;5;156;130;
928;434;10;4;148;125;
929;538;10;5;154;107;
930;804;8;11;171;154;
